concept,stratum,C2,de,en,uk,ru,isv,isv_cyr,cs,sk,pl,sl,hr_sr,bg,es,fr,pt,gl,ca,it,ro,rm,ar,fa,my_id,branch_coverage_slavic,action_class,sensitivity,best_alt_mean_MAG,lane_count,concept_norm,source_weight_total,source_weight_profile,priority_score,priority_band,risk_flags,ws_west_status,ws_south_status,ws_candidates,ws_lang_forms,c2_context_covered,main_sources,canonical_or_ledger_terms,lane_status_summary,weighted_top_by_scheme,weighted_current_scores,weighted_best_noncurrent,weighted_review_question,isv_source_cue,isv_cyr_source_cue,uk_source_cue,ru_source_cue,register_doublet_group,register_branch_profile,register_doublet_policy,register_evidence
statement,proof_grammar,yes,,statement,,,,,,,,,,,,,,,,,,,,,pernyataan,0,,,,1,statement,1.13,"{""cross_lane_spine"": 0.08, ""lane_interslavic"": 0.2, ""lane_malay_indonesian"": 0.1, ""native_ws_context_shelf"": 0.75}",6,D_background,,no_hit,no_hit,{},{},yes,bg:bulgarian_sofia_rings_lecture7.txt; cs:czech_cuni_algebra_2021.txt; interslavic:noether_paper02_section15_terms.json; malay_indonesian:UKM proof-course rows; sk:slovak_abstraktna_algebra.txt; sl:slovenian_komutativna_algebra_noetherian.txt,,"{""interslavic"": ""review_needed"", ""malay_indonesian"": ""malay_strong_indonesian_gap""}",{},{},,,,,,,,,,
subset,curriculum_algebra,yes,,subset,,,podmnožstvo?,,≈? [S],≈? [S],podzbiór/(ascii) [C],≈? [S],podskup [C],≈? [S],,,,,,,,,جزئية,زیرمجموعه,subset/subhimpunan,2,confirm_current,stable,-0.586,3,subset,4.82,"{""adverse_competitor_channel"": 0.9, ""cross_lane_spine"": 0.12, ""lane_arabic_farsi_persianate"": 0.75, ""lane_controlled_arabic"": 0.75, ""lane_malay_indonesian"": 0.2, ""native_ws_context_shelf"": 0.75, ""native_ws_witness_candidate"": 0.75, ""weighted_marginal_analysis"": 0.1, ""ws_mechanical_probe"": 0.5}",6,D_background,,support+competitor,support+competitor,"{""cognate of ISV form"": 148, ""hr/sr podskup"": 37, ""pl (ascii)"": 23, ""pl podzbiór"": 13}","{""bg"": [""cognate of ISV form""], ""cs"": [""cognate of ISV form""], ""hr"": [""hr/sr podskup""], ""pl"": [""pl (ascii)"", ""pl podzbiór""], ""sk"": [""cognate of ISV form""], ""sl"": [""cognate of ISV form""], ""sr"": [""hr/sr podskup""]}",yes,bg:bulgarian_sofia_noncommutative_body_problem.txt; cs:czech_cuni_algebra_2021.txt; hr:croatian_mathhr_algebra_structures_2024.txt; malay_indonesian:UM terminology; Indonesian set rows; pl:polish_impan_algebra_lecture3.txt; pl:polish_mimuw_algebra2_galois.txt; sk:slovak_abstraktna_algebra.txt; sl:slovenian_komutativna_algebra_noetherian.txt; sr:serbian_belgrade_algebra_i_lecture9.txt; ws:bulgarian_sofia_noncommutative_body_problem.txt; ws:bulgarian_sofia_rings_lecture7.txt; ws:croatian_mathhr_algebra_structures_2024.txt; ws:croatian_pmf_split_prsteni.txt; ws:czech_cuni_algebra_2021.txt; ws:czech_cuni_representation_idempotents.txt; ws:czech_karlin_commutative_rings_fields.txt; ws:polish_impan_algebra_lecture3.txt; ws:polish_mimuw_algebra2_galois.txt; ws:polish_mimuw_left_ideals_idempotents.txt; ws:polish_mimuw_noncommutative_body.txt; ws:polish_uj_algebra1_noetherian.txt,,"{""arabic_farsi_persianate"": ""ar:attested_needs_review; fa:source_backed_seed; bridge:promotable_seed_with_review"", ""controlled_arabic"": ""attested_needs_review"", ""malay_indonesian"": ""variant_pair_required""}","{""dependence_pd"": ""podmnožstvo?"", ""equal_branch"": ""podmnožstvo?"", ""equal_splits"": ""podmnožstvo?"", ""population_proxy"": ""podmnožstvo?""}","{""dependence_pd"": 0.8181818181818182, ""equal_branch"": 1.0, ""equal_splits"": 0.7222222222222222, ""population_proxy"": 0.7462154942119323}",pl podzbiór,Confirm 'podmnožstvo?' (support pattern acceptable) or note preferred variant policy.,,,,,,,,
variable,algebra_general,yes,variable; variabeln; veränderliche; veraenderliche,variable,,,,,,,,,,,,,,,,,,,,متغیر,pemboleh ubah/variabel,0,,,,2,variable,2.22,"{""canonical_source_normalization"": 0.9, ""cross_lane_spine"": 0.12, ""draft_triangulation"": 0.15, ""lane_arabic_farsi_persianate"": 0.75, ""lane_interslavic"": 0.2, ""lane_malay_indonesian"": 0.1}",6,D_background,,no_hit,no_hit,{},{},,interslavic:noether_paper02_section01_terms.json; interslavic:noether_paper02_section06_terms.json; malay_indonesian:UKM/UM terminology,de:variable; variabeln; veränderliche; veraenderliche,"{""arabic_farsi_persianate"": ""ar:not_in_arabic_spine; fa:source_backed_seed; bridge:promotable_seed_with_review"", ""interslavic"": ""stable"", ""malay_indonesian"": ""malay_strong_indonesian_gap""}",{},{},,,,,,,,,,
vector,curriculum_algebra,yes,,vector,,,vektor,,≈? [S],≈? [S],≈? [S],≈? [S],≈? [S],,,,,,,,,,متجه,بردار,vektor,2,confirm_current,stable,-999,3,vector,3.92,"{""cross_lane_spine"": 0.12, ""lane_arabic_farsi_persianate"": 0.75, ""lane_controlled_arabic"": 0.75, ""lane_malay_indonesian"": 0.2, ""native_ws_context_shelf"": 0.75, ""native_ws_witness_candidate"": 0.75, ""weighted_marginal_analysis"": 0.1, ""ws_mechanical_probe"": 0.5}",6,D_background,,support,support,"{""cognate of ISV form"": 626}","{""cs"": [""cognate of ISV form""], ""hr"": [""cognate of ISV form""], ""pl"": [""cognate of ISV form""], ""sk"": [""cognate of ISV form""], ""sl"": [""cognate of ISV form""]}",yes,cs:czech_cuni_algebra_2021.txt; hr:croatian_mathhr_algebra_structures_2024.txt; malay_indonesian:UKM vector-space rows; Indonesian sparse hit; pl:polish_mimuw_algebra2_galois.txt; sk:slovak_abstraktna_algebra.txt; sl:slovenian_uvod_v_algebro.txt; ws:croatian_mathhr_algebra_structures_2024.txt; ws:czech_cuni_algebra_2021.txt; ws:czech_cuni_noncommutative_body_thesis.txt; ws:czech_cuni_representation_idempotents.txt; ws:czech_karlin_commutative_rings_fields.txt; ws:polish_mimuw_algebra2_galois.txt; ws:polish_mimuw_noncommutative_body.txt; ws:polish_uj_algebra1_noetherian.txt; ws:polish_uwr_algebra2_rings.txt; ws:slovak_abstraktna_algebra.txt; ws:slovenian_uvod_v_algebro.txt,,"{""arabic_farsi_persianate"": ""ar:attested_needs_review; fa:source_backed_seed; bridge:promotable_seed_with_review"", ""controlled_arabic"": ""attested_needs_review"", ""malay_indonesian"": ""shared_promotable_seed""}","{""dependence_pd"": ""vektor"", ""equal_branch"": ""vektor"", ""equal_splits"": ""vektor"", ""population_proxy"": ""vektor""}","{""dependence_pd"": 0.9090909090909091, ""equal_branch"": 1.0, ""equal_splits"": 0.8888888888888888, ""population_proxy"": 0.9652715939447908}",,Confirm 'vektor' (support pattern acceptable) or note preferred variant policy.,,,,,,,,
associated prime ideal,noether_corpus,,zugehöriges Primideal; zugehöriges Primideal / zu p gehören,associated prime ideal,асоційований простий ідеал,ассоциированный простой идеал,asociovany prost ideal,асоциованы прост идеал,,,,,,,,,,,,,,,,,,,,,,,associated prime ideal,1.05,"{""canonical_source_normalization"": 0.9, ""draft_triangulation"": 0.15}",4,D_background,source_gap,no_hit,no_hit,{},{},,,de:zugehöriges Primideal; zugehöriges Primideal / zu p gehören; uk:асоційований простий ідеал; асоційований простий ідеал / належати до p; належний простий ідеал; ru:ассоциированный простой идеал; ассоциированный простой идеал / принадлежать p; isv:asociovany prost ideal; asociovany prosty ideal / naležati k p; isv_cyr:асоциованы прост идеал,{},{},{},,,asociovany prost ideal; asociovany prosty ideal / naležati k p,,асоційований простий ідеал; асоційований простий ідеал / належати до p; належний простий ідеал,ассоциированный простой идеал; ассоциированный простой идеал / принадлежать p,,,,
bordering operation,noether_corpus,,Ränderung,bordering operation,облямування,окаймление,obrubljenje,обрубльенье,,,,,,,,,,,,,,,,,,,,,,,bordering operation,1.05,"{""canonical_source_normalization"": 0.9, ""draft_triangulation"": 0.15}",4,D_background,source_gap,no_hit,no_hit,{},{},,,de:Ränderung; uk:облямування; ru:окаймление; isv:obrubljenje; isv_cyr:обрубльенье,{},{},{},,,,,,,,,,
burnside theorem,noether_corpus,,Burnsidescher Satz / verallgemeinerter Burnsidescher Satz,burnside theorem,,,,,,,,,,,,,,,,,,,,,,,,,,,burnside theorem,1.05,"{""canonical_source_normalization"": 0.9, ""draft_triangulation"": 0.15}",4,D_background,source_gap,no_hit,no_hit,{},{},,,de:Burnsidescher Satz / verallgemeinerter Burnsidescher Satz; uk:теорема Бернсайда / узагальнена теорема Бернсайда; ru:теорема Бернсайда / обобщенная теорема Бернсайда; isv:teorema Burnsida / obobčena teorema Burnsida; isv_cyr:теорема Бурнсида / обобчена теорема Бурнсида,{},{},{},,,teorema Burnsida / obobčena teorema Burnsida,теорема Бурнсида / обобчена теорема Бурнсида,теорема Бернсайда / узагальнена теорема Бернсайда,теорема Бернсайда / обобщенная теорема Бернсайда,,,,
chain condition,noether_corpus,,Teilerkettensatz / feste Wohlordnung / endliche Idealbasis,chain condition,,,,,,,,,,,,,,,,,,,,,,,,,,,chain condition,1.05,"{""canonical_source_normalization"": 0.9, ""draft_triangulation"": 0.15}",4,D_background,source_gap,no_hit,no_hit,{},{},,,de:Teilerkettensatz / feste Wohlordnung / endliche Idealbasis; uk:умова ланцюгів дільників / фіксований добрий порядок / скінченний базис ідеалу; ru:условие цепей делителей / фиксированный хороший порядок / конечный базис идеала; isv:uslovje cěpov děliteljev / fiksovany dobry porjadok / konečna baza ideala,{},{},{},,,uslovje cěpov děliteljev / fiksovany dobry porjadok / konečna baza ideala,,умова ланцюгів дільників / фіксований добрий порядок / скінченний базис ідеалу,условие цепей делителей / фиксированный хороший порядок / конечный базис идеала,,,,
characteristic series,noether_corpus,,charakteristische Reihe,characteristic series,характеристичний ряд,характеристический ряд,karakterističny rjad,карактеристичны рјад,,,,,,,,,,,,,,,,,,,,,,,characteristic series,1.05,"{""canonical_source_normalization"": 0.9, ""draft_triangulation"": 0.15}",4,D_background,source_gap,no_hit,no_hit,{},{},,,de:charakteristische Reihe; uk:характеристичний ряд; ru:характеристический ряд; isv:karakterističny rjad; isv_cyr:карактеристичны рјад,{},{},{},,,,,,,,,,
commutant theorem,noether_corpus,,elementenweise vertauschbare Unterringe; Kommutantensatz,commutant theorem,,,,,,,,,,,,,,,,,,,,,,,,,,,commutant theorem,1.05,"{""canonical_source_normalization"": 0.9, ""draft_triangulation"": 0.15}",4,D_background,source_gap,no_hit,no_hit,{},{},,,de:elementenweise vertauschbare Unterringe; Kommutantensatz; uk:елементно комутуючі підкільця; теорема про комутант; ru:элементно коммутирующие подкольца; теорема о коммутанте; isv:elementno komutujuče podkolca; komutantny teorem,{},{},{},,,elementno komutujuče podkolca; komutantny teorem,,елементно комутуючі підкільця; теорема про комутант,элементно коммутирующие подкольца; теорема о коммутанте,,,,
complete form sequence,noether_corpus,,Gesamtformenreihe,complete form sequence,повний ряд форм,полный ряд форм,cěly ręd form,целы ряд форм,,,,,,,,,,,,,,,,,,,,,,,complete form sequence,1.05,"{""canonical_source_normalization"": 0.9, ""draft_triangulation"": 0.15}",4,D_background,source_gap,no_hit,no_hit,{},{},,,de:Gesamtformenreihe; uk:повний ряд форм; ru:полный ряд форм; isv:cěly ręd form; obći ręd form; isv_cyr:целы ряд форм,{},{},{},,,cěly ręd form; obći ręd form,,,,,,,
crossed product,noether_corpus,,verschränktes Produkt,crossed product,схрещений добуток,скрещенное произведение,skrěženy produkt,,,,,,,,,,,,,,,,,,,,,,,,crossed product,1.05,"{""canonical_source_normalization"": 0.9, ""draft_triangulation"": 0.15}",4,D_background,source_gap,no_hit,no_hit,{},{},,,de:verschränktes Produkt; uk:схрещений добуток; ru:скрещенное произведение; isv:skrěženy produkt,{},{},{},,,,,,,,,,
crossed representation,noether_corpus,,verschränkte Darstellung,crossed representation,схрещене представлення,скрещенное представление,skrěženo predstavjenje,,,,,,,,,,,,,,,,,,,,,,,,crossed representation,1.05,"{""canonical_source_normalization"": 0.9, ""draft_triangulation"": 0.15}",4,D_background,source_gap,no_hit,no_hit,{},{},,,de:verschränkte Darstellung; uk:схрещене представлення; ru:скрещенное представление; isv:skrěženo predstavjenje,{},{},{},,,,,,,,,,
decomposition identity,noether_corpus,,Zerlegungsidentität; dualististische Zerlegungsidentität,decomposition identity,,,dualistična razkladna identičnost,,,,,,,,,,,,,,,,,,,,,,,,decomposition identity,1.05,"{""canonical_source_normalization"": 0.9, ""draft_triangulation"": 0.15}",4,D_background,source_gap,no_hit,no_hit,{},{},,,de:Zerlegungsidentität; dualististische Zerlegungsidentität; isv:dualistična razkladna identičnost; razkladna identičnost,{},{},{},,,dualistična razkladna identičnost; razkladna identičnost,,,,,,,
dedekind mertens theorem,noether_corpus,,Dedekind-Mertensscher Satz,dedekind mertens theorem,теорема Дедекінда--Мертенса,теорема Дедекинда--Мертенса,teorem Dedekinda--Mertensa,теорем Дедекинда--Мертенса,,,,,,,,,,,,,,,,,,,,,,,dedekind mertens theorem,1.05,"{""canonical_source_normalization"": 0.9, ""draft_triangulation"": 0.15}",4,D_background,source_gap,no_hit,no_hit,{},{},,,de:Dedekind-Mertensscher Satz; uk:теорема Дедекінда--Мертенса; ru:теорема Дедекинда--Мертенса; isv:teorem Dedekinda--Mertensa; isv_cyr:теорем Дедекинда--Мертенса,{},{},{},,,,,,,,,,
double reduction,noether_corpus,,doppelte Reduktion; durch doppelte Reduktion,double reduction,подвійна редукція,двойная редукция,dvojna redukcija,двојна редукција,,,,,,,,,,,,,,,,,,,,,,,double reduction,1.05,"{""canonical_source_normalization"": 0.9, ""draft_triangulation"": 0.15}",4,D_background,source_gap,no_hit,no_hit,{},{},,,de:doppelte Reduktion; durch doppelte Reduktion; uk:подвійна редукція; ru:двойная редукция; isv:dvojna redukcija; črez dvojnu redukciju; isv_cyr:двојна редукција,{},{},{},,,dvojna redukcija; črez dvojnu redukciju,,,,,,,
extension of the first kind,noether_corpus,,Erweiterung erster Art; Erweiterung erster Art / zweiter Art; Funktion erster Art / Körper erster Art; erster Art,extension of the first kind,,,,,,,,,,,,,,,,,,,,,,,,,,,extension of the first kind,1.05,"{""canonical_source_normalization"": 0.9, ""draft_triangulation"": 0.15}",4,D_background,source_gap,no_hit,no_hit,{},{},,,de:Erweiterung erster Art; Erweiterung erster Art / zweiter Art; Funktion erster Art / Körper erster Art; erster Art; uk:першого роду; розширення першого роду; розширення першого роду / другого роду; функція першого роду / поле першого роду; ru:первого рода; расширение первого рода; расширение первого рода / второго рода; функция первого рода / поле первого рода; isv:funkcija prvogo roda / polje prvogo roda; prvogo roda; razširenje prvogo roda; razširjenje prvogo roda / vtorogo roda; isv_cyr:разширенье првого рода; разширјенье првого рода / второго рода; функција првого рода / поље првого рода,{},{},{},,,funkcija prvogo roda / polje prvogo roda; prvogo roda; razširenje prvogo roda; razširjenje prvogo roda / vtorogo roda,разширенье првого рода; разширјенье првого рода / второго рода; функција првого рода / поље првого рода,першого роду; розширення першого роду; розширення першого роду / другого роду; функція першого роду / поле першого роду,первого рода; расширение первого рода; расширение первого рода / второго рода; функция первого рода / поле первого рода,,,,
factor system,noether_corpus,,Faktorensystem,factor system,фактор-система,фактор-система,faktorna sistema,,,,,,,,,,,,,,,,,,,,,,,,factor system,1.05,"{""canonical_source_normalization"": 0.9, ""draft_triangulation"": 0.15}",4,D_background,source_gap,no_hit,no_hit,{},{},,,de:Faktorensystem; uk:фактор-система; ru:фактор-система; isv:faktorna sistema,{},{},{},,,,,,,,,,
field of automorphisms,noether_corpus,,Automorphismenkörper K_ν,field of automorphisms,тіло автоморфізмів K_ν,тело автоморфизмов K_ν,tělo avtomorfizmov K_ν,тело автоморфизмов K_ν,,,,,,,,,,,,,,,,,,,,,,,field of automorphisms,1.05,"{""canonical_source_normalization"": 0.9, ""draft_triangulation"": 0.15}",4,D_background,source_gap,no_hit,no_hit,{},{},,,de:Automorphismenkörper K_ν; uk:тіло автоморфізмів K_ν; ru:тело автоморфизмов K_ν; isv:tělo avtomorfizmov K_ν; isv_cyr:тело автоморфизмов K_ν,{},{},{},,,,,,,,,,
finiteness theorem,noether_corpus,,endlichkeitssatz,finiteness theorem,,,,,,,,,,,,,,,,,,,,,,,,,,,finiteness theorem,1.05,"{""canonical_source_normalization"": 0.9, ""draft_triangulation"": 0.15}",4,D_background,source_gap,no_hit,no_hit,{},{},,,de:endlichkeitssatz,{},{},{},,,,,,,,,,
folding,noether_corpus,,"Defekt der Faltung; Faltung; Faltung von $\theta$ mit $\nu$; Faltung von $f$ mit $\nu$; Faltung von $s$ mit $\nu; H; L; H^2$; Faltung von K,j,\A mit \nu; f mit H; Faltung von s mit den Formen 7. Ordnung; Faltung von s mit den Formen fünfter Ordnung und dem Produkt; Faltung von s mit den Formen sechster Ordnung; Faltungsprozeß / Faltung; Faltungsprozeß/Faltung; Faltungsprozeß/Faltungen; Faltungsprozeß/Grundfaltungen; Reduktionen folgen direkt ... durch einmalige Faltung; Schema zur Faltung; direkte Faltung; einmalige Faltung; kogrediente Faltung vom Defekt \rho; spezielle zweimalige Faltung; sukzessive einmalige Faltung; tritt nicht in Faltung ein",folding,згортання,,,,,,,,,,,,,,,,,,,,,,,,,,folding,1.05,"{""canonical_source_normalization"": 0.9, ""draft_triangulation"": 0.15}",4,D_background,source_gap,no_hit,no_hit,{},{},,,"de:Defekt der Faltung; Faltung; Faltung von $\theta$ mit $\nu$; Faltung von $f$ mit $\nu$; Faltung von $s$ mit $\nu; H; L; H^2$; Faltung von K,j,\A mit \nu; f mit H; Faltung von s mit den Formen 7. Ordnung; Faltung von s mit den Formen fünfter Ordnung und dem Produkt; Faltung von s mit den Formen sechster Ordnung; Faltungsprozeß / Faltung; Faltungsprozeß/Faltung; Faltungsprozeß/Faltungen; Faltungsprozeß/Grundfaltungen; Reduktionen folgen direkt ... durch einmalige Faltung; Schema zur Faltung; direkte Faltung; einmalige Faltung; kogrediente Faltung vom Defekt \rho; spezielle zweimalige Faltung; sukzessive einmalige Faltung; tritt nicht in Faltung ein; uk:згортання; згортання $s$ з $\nu; H; L; H^2$; згортання s з формами 5-го порядку і з добутком; згортання s з формами 6-го порядку; ru:не входит в свертку; однократная свертка; процесс свёртки / свёртка; редукции непосредственно следуют ... посредством однократной свертки; isv:Svijanje $\theta$ s $\nu$; Svijanje $f$ s $\nu$; Svijanje K,j,\A s \nu; f s H; defekt svijanja; isv_cyr:не входи в свијанье; процес свијаньа / свијанье; редукције следујут непосредно ... чрез једнократно свијанье; свијанье",{},{},{},,,"Svijanje $\theta$ s $\nu$; Svijanje $f$ s $\nu$; Svijanje K,j,\A s \nu; f s H; defekt svijanja",не входи в свијанье; процес свијаньа / свијанье; редукције следујут непосредно ... чрез једнократно свијанье; свијанье,згортання; згортання $s$ з $\nu; H; L; H^2$; згортання s з формами 5-го порядку і з добутком; згортання s з формами 6-го порядку,не входит в свертку; однократная свертка; процесс свёртки / свёртка; редукции непосредственно следуют ... посредством однократной свертки,,,,
form,noether_corpus,,Formen von n Variabeln; Fundamentalgleichung / Fundamentalform; Normalform; Produkte von Formen niedrigeren Grades ausgelassen; Produktsatz in allgemeinster Form; Relationen für die zerfallenden Formen; Zerfallen oder Reduzibilität der übrigen Formen; Zerlegungsidentitäten in expliziter Form; beliebige Formen; die übrigen Formen; dualistischen Formen; durch Zurückgehen ... auf niedrigere Formen; einzelne Formen; entsprechenden Formen; höhere Form; höhere Formen; kontragrediente Formen; ternäre biquadratische Form; übernommene Formen,form,безбазисна форма,безбазисная форма,,безбазисна форма,,,,,,,,,,,,,,,,,,,,,,,form,1.05,"{""canonical_source_normalization"": 0.9, ""draft_triangulation"": 0.15}",4,D_background,source_gap,no_hit,no_hit,{},{},,,de:Formen von n Variabeln; Fundamentalgleichung / Fundamentalform; Normalform; Produkte von Formen niedrigeren Grades ausgelassen; Produktsatz in allgemeinster Form; Relationen für die zerfallenden Formen; Zerfallen oder Reduzibilität der übrigen Formen; Zerlegungsidentitäten in expliziter Form; beliebige Formen; die übrigen Formen; dualistischen Formen; durch Zurückgehen ... auf niedrigere Formen; einzelne Formen; entsprechenden Formen; höhere Form; höhere Formen; kontragrediente Formen; ternäre biquadratische Form; übernommene Formen; uk:вища форма; відповідні форми; дуалістичні форми; контрагредієнтні форми; ru:более высокая форма; дуалистические формы; заимствованные формы; контрагредиентные формы; isv:Razkladanje ili reducibilnost ostalyh form; dualistične formy; form v $n$ prěměnnyh; fundamentalno uravnenje / fundamentalna forma; isv_cyr:взете формы; выша форма; дуалистичне формы; контрагредиентне формы,{},{},{},,,Razkladanje ili reducibilnost ostalyh form; dualistične formy; form v $n$ prěměnnyh; fundamentalno uravnenje / fundamentalna forma,взете формы; выша форма; дуалистичне формы; контрагредиентне формы,вища форма; відповідні форми; дуалістичні форми; контрагредієнтні форми,более высокая форма; дуалистические формы; заимствованные формы; контрагредиентные формы,,,,
form sequence,noether_corpus,,Formenreihe; Formenreihe/Formenreihen; zerfallende Formenreihe; zerfallende Formenreihen oder Formen,form sequence,розкладний ряд форм,разложимый ряд форм,razkladny ręd form,разкладны ряд форм,,,,,,,,,,,,,,,,,,,,,,,form sequence,1.05,"{""canonical_source_normalization"": 0.9, ""draft_triangulation"": 0.15}",4,D_background,source_gap,no_hit,no_hit,{},{},,,"de:Formenreihe; Formenreihe/Formenreihen; zerfallende Formenreihe; zerfallende Formenreihen oder Formen; uk:розкладний ряд форм; ряд форм; ряд форм / ряди форм; ряди форм чи форми, що розкладаються на множники; ru:разложимый ряд форм; ряд форм; ряд форм / ряды форм; ряды форм или формы, распадающиеся на множители; isv:razkladny ręd form; razložime rědy form ili formy; ręd form; ręd form / rędy form; isv_cyr:разкладны ряд форм; разложиме реды форм или формы; ряд форм; ряд форм / ряды форм",{},{},{},,,razkladny ręd form; razložime rědy form ili formy; ręd form; ręd form / rędy form,разкладны ряд форм; разложиме реды форм или формы; ряд форм; ряд форм / ряды форм,"розкладний ряд форм; ряд форм; ряд форм / ряди форм; ряди форм чи форми, що розкладаються на множники","разложимый ряд форм; ряд форм; ряд форм / ряды форм; ряды форм или формы, распадающиеся на множители",,,,
functional determinant,noether_corpus,,Funktionaldeterminante; Funktionaldeterminanten; Zerfallen von Überschiebungen mit Funktionaldeterminanten; Überschiebung über Funktionaldeterminanten; Überschiebung über eine Funktionaldeterminante; Überschiebungen über Funktionaldeterminanten,functional determinant,,,funkcionalne determinanty,,,,,,,,,,,,,,,,,,,,,,,,functional determinant,1.05,"{""canonical_source_normalization"": 0.9, ""draft_triangulation"": 0.15}",4,D_background,source_gap,no_hit,no_hit,{},{},,,de:Funktionaldeterminante; Funktionaldeterminanten; Zerfallen von Überschiebungen mit Funktionaldeterminanten; Überschiebung über Funktionaldeterminanten; Überschiebung über eine Funktionaldeterminante; Überschiebungen über Funktionaldeterminanten; uk:трансвекція через функціональний детермінант; функціональний детермінант; функціональні детермінанти; ru:трансвекция через функциональный детерминант; функциональные детерминанты; функциональный детерминант; isv:funkcionalne determinanty; funkcionalny determinant; razkladanje transvekcij s funkcionalnymi determinantami; transvekcija črez funkcionalne determinanty; isv_cyr:трансвекција чрез функционалны детерминант; функционалне детерминанты; функционалны детерминант,{},{},{},,,funkcionalne determinanty; funkcionalny determinant; razkladanje transvekcij s funkcionalnymi determinantami; transvekcija črez funkcionalne determinanty,трансвекција чрез функционалны детерминант; функционалне детерминанты; функционалны детерминант,трансвекція через функціональний детермінант; функціональний детермінант; функціональні детермінанти,трансвекция через функциональный детерминант; функциональные детерминанты; функциональный детерминант,,,,
general ideal theory,noether_corpus,,allgemeine Idealtheorie,general ideal theory,загальна теорія ідеалів,общая теория идеалов,obča teorija idealov,обча теорија идеалов,,,,,,,,,,,,,,,,,,,,,,,general ideal theory,1.05,"{""canonical_source_normalization"": 0.9, ""draft_triangulation"": 0.15}",4,D_background,source_gap,no_hit,no_hit,{},{},,,de:allgemeine Idealtheorie; uk:загальна теорія ідеалів; ru:общая теория идеалов; isv:obča teorija idealov; isv_cyr:обча теорија идеалов,{},{},{},,,,,,,,,,
hilbert basis theorem,noether_corpus,,hilbertscher basissatz; basissatz,hilbert basis theorem,,,,,,,,,,,,,,,,,,,,,,,,,,,hilbert basis theorem,1.05,"{""canonical_source_normalization"": 0.9, ""draft_triangulation"": 0.15}",4,D_background,source_gap,no_hit,no_hit,{},{},,,de:hilbertscher basissatz; basissatz,{},{},{},,,,,,,,,,
hypercomplex system,noether_corpus,,Einordnung der hyperkomplexen Systeme; Hyperkomplexes System,hypercomplex system,,,,,,,,,,,,,,,,,,,,,,,,,,,hypercomplex system,1.05,"{""canonical_source_normalization"": 0.9, ""draft_triangulation"": 0.15}",4,D_background,source_gap,no_hit,no_hit,{},{},,,de:Einordnung der hyperkomplexen Systeme; Hyperkomplexes System; uk:Впорядкування гіперкомплексних систем у теорії; гіперкомплексна система; ru:Встраивание гиперкомплексных систем в теорию; гиперкомплексная система; isv:Uvrstjenje hiperkompleksnyh sistemov v teoriju; hiperkompleksny sistem; isv_cyr:Уврстјенье хиперкомплексных системов в теорију; хиперкомплексны систем,{},{},{},,,Uvrstjenje hiperkompleksnyh sistemov v teoriju; hiperkompleksny sistem,Уврстјенье хиперкомплексных системов в теорију; хиперкомплексны систем,Впорядкування гіперкомплексних систем у теорії; гіперкомплексна система,Встраивание гиперкомплексных систем в теорию; гиперкомплексная система,,,,
initial form,noether_corpus,,Anfangsform,initial form,початкова форма,начальная форма,početna forma,почетна форма,,,,,,,,,,,,,,,,,,,,,,,initial form,1.05,"{""canonical_source_normalization"": 0.9, ""draft_triangulation"": 0.15}",4,D_background,source_gap,no_hit,no_hit,{},{},,,de:Anfangsform; uk:початкова форма; ru:начальная форма; isv:početna forma; isv_cyr:почетна форма,{},{},{},,,,,,,,,,
multiplier domain,noether_corpus,,Multiplikatorenbereich; absoluter Multiplikatorenbereich,multiplier domain,абсолютна область множників,абсолютная область множителей,absolutna oblast množiteljev,абсолутна област множительев,,,,,,,,,,,,,,,,,,,,,,,multiplier domain,1.05,"{""canonical_source_normalization"": 0.9, ""draft_triangulation"": 0.15}",4,D_background,source_gap,no_hit,no_hit,{},{},,,de:Multiplikatorenbereich; absoluter Multiplikatorenbereich; uk:абсолютна область множників; область множників; ru:абсолютная область множителей; область множителей; isv:absolutna oblast množiteljev; oblast množiteljev; isv_cyr:абсолутна област множительев; област множительев,{},{},{},,,absolutna oblast množiteljev; oblast množiteljev,абсолутна област множительев; област множительев,абсолютна область множників; область множників,абсолютная область множителей; область множителей,,,,
prime function / primary function,noether_corpus,,Primfunktion; Primfunktion / Primärfunktion; Primärfunktion,prime function / primary function,первинна функція,первичная функция,,,,,,,,,,,,,,,,,,,,,,,,,prime function / primary function,1.05,"{""canonical_source_normalization"": 0.9, ""draft_triangulation"": 0.15}",4,D_background,source_gap,no_hit,no_hit,{},{},,,de:Primfunktion; Primfunktion / Primärfunktion; Primärfunktion; uk:первинна функція; проста функція; проста функція / первинна функція; ru:первичная функция; простая функция; простая функция / первичная функция; isv:primarna funkcija; prosta funkcija; prosta funkcija / primarna funkcija; isv_cyr:примарна функција; проста функција; проста функција / примарна функција,{},{},{},,,primarna funkcija; prosta funkcija; prosta funkcija / primarna funkcija,примарна функција; проста функција; проста функција / примарна функција,первинна функція; проста функція; проста функція / первинна функція,первичная функция; простая функция; простая функция / первичная функция,,,,
