term_id,source_term,isv_latin,isv_cyrillic,concept_link,reason_class,status,bias_flag,safe_external,records,sources
ISV-adjungieren_von_log_x_zum_rationalitätsb--adjungovati_funkciju,adjungieren von log x zum Rationalitätsbereich,adjungovati funkciju log x k oblasti racionalnosti,адјунговати функцију лог кс к области рационалности,,unstated,unstated,F10-1,review,1,noether_paper17_terms.json
ISV-adjunktion--adjunkcija,Adjunktion,adjunkcija,адјункција,,pan_slavic_native|international,unstated,F10-0,yes,4,noether_paper06_section01_terms.json; noether_paper06_section04_terms.json; noether_paper09_introduction_terms.json; noether_paper10_section03_terms.json
ISV-adjunktion_adjungieren--adjunkcija_adjungova,Adjunktion / adjungieren,adjunkcija / adjungovati,адјункција / адјунговати,,pan_slavic_native|international,unstated,F10-0,yes,1,noether_paper09_section10_terms.json
ISV-adjunktion_der_u_munu--prisojedinjenje_u_mu,Adjunktion der u_{\mu\nu},prisojedinjenje u_{\mu\nu},присојединјенье u_{\mu\nu},,pan_slavic_native,unstated,F10-1,review,1,noether_paper24_section02_terms.json
ISV-adjunktion_der_unbestimmten_u_mu_nu--prisojedinjenje_neop,Adjunktion der Unbestimmten u_{mu nu},prisojedinjenje neopreděljenyh u_{mu nu},присојединјенье неопредельеных u_{mu nu},,unstated,unstated,F10-1,review,1,noether_paper22_terms.json
ISV-adjunktion_eines_primitiven_elementes_er--prisojedinjenje_prim,Adjunktion eines primitiven Elementes erster Art,prisojedinjenje primitivnogo elementa prvogo roda,присојединјенье примитивного елемента првого рода,element,source_fidelity,unstated,F10-1,review,1,noether_paper31_section03_entry03_terms.json
ISV-affekt_affektlos--afekt_bez_afekta,Affekt / affektlos,afekt / bez afekta,,,script_stability,unstated,F10-1,review,1,noether_paper11_terms.json
ISV-affektlose_gleichungen--jednačenja_bez_afekt,affektlose Gleichungen,"jednačenja ""bez afekta""","једначеньа ""без афекта""",,source_fidelity,unstated,F10-1,review,1,noether_paper05_terms.json
ISV-algebraic_gebilde--algebraično_obrazova,Algebraic Gebilde,algebraično obrazovanje,алгебраично образованье,algebra,unstated,unstated,F10-1,review,2,noether_paper22_section07_terms.json; noether_paper22_terms.json
ISV-algebraisch-abgeschlossener_algebraische--algebraično_zatvorje,algebraisch-abgeschlossener / algebraischer Erweiterungskörper,algebraično zatvorjeno polje / algebraično razširiteljno polje,алгебраично затворјено полье / алгебраично разширительно полье,algebra,unstated,unstated,F10-0,yes,1,noether_paper22_terms.json
ISV-algebraisch-abgeschlossener_unterring_p--algebraično_zamknjen,algebraisch-abgeschlossener Unterring P,algebraično zamknjeno podkolco P,алгебраично замкньено подколцо P,algebra,unstated,unstated,F10-3,no_fix_first,1,noether_paper31_section06_entry02_terms.json
ISV-algebraisch-abhängig_algebraisch-unabhän--algebraično_zavisny_,algebraisch-abhängig / algebraisch-unabhängig,algebraično zavisny / algebraično nezavisny,,algebra,unstated,unstated,F10-1,review,1,noether_paper10_section02_terms.json
ISV-algebraisch-ganz_abgeschlossen--algebraično-cělo_zat,algebraisch-ganz abgeschlossen,algebraično-cělo zatvorjena,алгебраично-цело затворјена,algebra,unstated,unstated,F10-1,review,1,noether_paper09_section09_terms.json
ISV-algebraisch-ganz_abhängig_von_hxi_i--algebraično-cělo_zav,"algebraisch-ganz abhängig von [H,xi_i]","algebraično-cělo zavisi od [H,xi_i]","алгебраично-цело зависи од [H,xi_i]",algebra,unstated,unstated,F10-1,review,1,noether_paper09_section07_terms.json
ISV-algebraisch-ganz_algebraisch-gebrochen--algebraično-cěle_alg,algebraisch-ganz / algebraisch-gebrochen,algebraično-cěle / algebraično-drobne,алгебраично-целе / алгебраично-дробне,algebra,unstated,unstated,F10-1,review,1,noether_paper09_section10_terms.json
ISV-algebraisch-ganz_rational-ganz--algebraično-cěly_rac,algebraisch-ganz / rational-ganz,algebraično-cěly / racionalno-cěly,алгебраично-целы / рационално-целы,algebra,unstated,unstated,F10-1,review,1,noether_paper09_introduction_terms.json
ISV-algebraisch-ganz_und_ganzzahlig_in_bezug--algebraično_cěla_i_c,algebraisch-ganz und ganzzahlig in Bezug auf,algebraično cěla i celočislena vzhodno k,алгебраично цела и целочислена взходно к,algebra,unstated,unstated,F10-1,review,1,noether_paper06_section15_terms.json
ISV-algebraisch-ganze_abgeschlossenheit--algebraično-cěla_zat,algebraisch-ganze Abgeschlossenheit,algebraično-cěla zatvorenost,алгебраично-цела затвореност,algebra,unstated,unstated,F10-1,review,1,noether_paper09_introduction_terms.json
ISV-algebraisch-ganzzahlige_polynome--algebraično-celočisl,algebraisch-ganzzahlige Polynome,algebraično-celočislene polinomy,алгебраично-целочислене полиномы,algebra,unstated,unstated,F10-1,review,1,noether_paper06_section15_terms.json
ISV-algebraisch-ganzzahlige_substitutionen_a--algebraično-cěle_sub,algebraisch-ganzzahlige Substitutionen / algebraische ganze Zahlen,algebraično-cěle substitucije / cěle algebraične čisla,,algebra,unstated,unstated,F10-1,review,1,noether_paper15_terms.json
ISV-algebraisch-gebrochene_zahl--algebraično-drobno_č,algebraisch-gebrochene Zahl,algebraično-drobno čislo,алгебраично-дробно число,algebra,unstated,unstated,F10-1,review,1,noether_paper09_section07_terms.json
ISV-algebraisch_abgeschlossener_körper--algebraično_zamknjen,algebraisch abgeschlossener Körper,algebraično zamknjeno polje,алгебраично замкньено полье,algebra,pan_slavic_native,unstated,F10-0,yes,1,noether_paper20_terms.json
ISV-algebraisch_abhängig_unabhängig--algebraično_zavisimy,algebraisch abhängig / unabhängig,algebraično zavisimy / nezavisimy,алгебраично зависимы / независимы,algebra,unstated,unstated,F10-1,review,1,noether_paper09_section07_terms.json
ISV-algebraisch_abhängig_unabhängig--algebraično_zavisny_,algebraisch abhängig / unabhängig,algebraično zavisny / nezavisny,,algebra,unstated,unstated,F10-1,review,1,noether_paper10_section03_terms.json
ISV-algebraisch_unabhängig--algebraično_nezavisn,algebraisch unabhängig,algebraično nezavisne,алгебраично независне,algebra,unstated,unstated,F10-1,review,1,noether_paper06_section06_terms.json
ISV-algebraisch_unabhängig_abhängig--algebraično_nezavisn,algebraisch unabhängig / abhängig,algebraično nezavisne / zavisne,алгебраично независне / зависне,algebra,unstated,unstated,F10-1,review,1,noether_paper06_section01_terms.json
ISV-algebraisch_unabhängige_funktionen--algebraično_nezavisn,algebraisch unabhängige Funktionen,algebraično nezavisne funkcije,алгебраично независне функције,algebra,unstated,unstated,F10-1,review,1,noether_paper06_section04_terms.json
ISV-algebraische_basis--algebraična_baza,algebraische Basis,algebraična baza,алгебраична база,algebra,unstated,unstated,F10-1,review,1,noether_paper09_section08_terms.json
ISV-algebraische_basis_h_aus_theta--algebraična_baza_h_i,algebraische Basis H aus Theta,algebraična baza H iz Theta,алгебраична база H из Theta,algebra,unstated,unstated,F10-1,review,1,noether_paper09_section07_terms.json
ISV-algebraische_basis_rationale_basis--algebraična_baza_rac,algebraische Basis / rationale Basis,algebraična baza / racionalna baza,алгебраична база / рационална база,algebra,unstated,unstated,F10-1,review,1,noether_paper09_introduction_terms.json
ISV-algebraische_erweiterung--algebraično_razširen,algebraische Erweiterung,algebraično razširenje,алгебраично разширенье,algebra,unstated,unstated,F10-1,review,1,noether_paper06_section06_terms.json
ISV-algebraischer_rang--algebraičny_rang,algebraischer Rang,algebraičny rang,алгебраичны ранг,algebra,unstated,unstated,F10-1,review,2,noether_paper06_section01_terms.json; noether_paper06_section04_terms.json
ISV-algebraischer_rang_restklassenkörper--algebraičny_rang_pol,algebraischer Rang / Restklassenkörper,algebraičny rang / polje ostatkovyh klasov,алгебраичны ранг / полье остатковых класов,algebra,unstated,unstated,F10-0,yes,1,noether_paper24_section04_terms.json
ISV-algebraischer_zahlkörper--algebraično_čislovo_,algebraischer Zahlkörper,algebraično čislovo polje,алгебраично числово полье,algebra,source_fidelity,unstated,F10-0,yes,2,noether_paper15_terms.json; noether_paper24_section04_terms.json
ISV-alle_geraden_ganzen_rationalen_zahlen--vse_parne_cěle_racio,"alle geraden, ganzen rationalen Zahlen",vse parne cěle racionalne čisla,все парне целе рационалне числа,,unstated,unstated,F10-1,review,1,noether_paper19_terms.json
ISV-alle_systeme_von_je_n_elementen_aus_t--vse_sistemy_iz_n_ele,alle Systeme von je n Elementen aus T,vse sistemy iz n elementov iz T,все системы из n елементов из T,element,unstated,unstated,F10-1,review,1,noether_paper31_section08_entry04_terms.json
ISV-allgemeine_idealtheorie--obča_teorija_idealov,allgemeine Idealtheorie,obča teorija idealov,обча теорија идеалов,ideal,unstated,unstated,F10-1,review,1,noether_paper24_section01_terms.json
ISV-allgemeiner_diskriminantensatz--obči_teorem_o_diskri,Allgemeiner Diskriminantensatz,obči teorem o diskriminantu,обчи теорем о дискриминанту,,unstated,unstated,F10-1,review,1,noether_paper31_section08_entry09_terms.json
ISV-als_kovariante_betrachtet--razmatrivana_kako_ko,als Kovariante betrachtet,razmatrivana kako kovariant,разматривана како ковариант,,pan_slavic_native,stable_provisional,F10-1,review,1,noether_paper02_section19_terms.json
ISV-als_moduln_adjungiert--adjungujut_se_kako_m,als Moduln adjungiert,adjungujut se kako moduly,адјунгујут се како модулы,,international,review_needed,F10-0,yes,1,noether_paper02_section07_terms.json; logbook:2026-06-10: Paper 02 §7 Interslavic Decisions
ISV-als_produkte_von_system_i_und_ii_bleiben--kako_produkty_sistem,Als Produkte von System I und II bleiben,kako produkty sistemov I i II ostavaju,како продукты системов И и ИИ оставају,,script_stability,stable_provisional,F10-1,review,1,noether_paper02_section19_terms.json
ISV-anfangsform--početna_forma,Anfangsform,početna forma,почетна форма,,pan_slavic_native,stable,F10-1,review,1,noether_paper02_section01_terms.json
ISV-ansatz--shema,Ansatz,shema,схема,,unstated,unstated,F10-1,review,1,noether_paper02_section22_terms.json; logbook:2026-06-10: Paper 02 Section 22 Interslavic Decisions
ISV-antistrophe_matrix--antistrofna_matrica,antistrophe Matrix,antistrofna matrica,антистрофна матрица,matrix,international|script_stability,unstated,F10-0,yes,1,noether_paper34_section23_source_fidelity_terms.json
ISV-anzahlgleichheit_der_komponenten--ravnost_čisla_kompon,Anzahlgleichheit der Komponenten,ravnost čisla komponentov,равност числа компонентов,,unstated,unstated,F10-1,review,2,noether_paper19_terms.json; noether_paper19_terms_before_section09_utf8_repair_20260613_121052.json
ISV-arithmetische_fassung_des_dimensionsbegr--aritmetična_formulac,Arithmetische Fassung des Dimensionsbegriffes,Aritmetična formulacija pojma dimenzije,Аритметична формулација појма димензије,dimension,unstated,unstated,F10-1,review,1,noether_paper24_section04_terms.json
ISV-associated_system_of_values--prinaležny_sistem_ve,Associated system of values,prinaležny sistem veličin,приналежны систем величин,,unstated,unstated,F10-1,review,2,noether_paper22_section07_terms.json; noether_paper22_terms.json
ISV-aufgefaßt_als_r-moduln_--_isomorph--izomorfne_kako_r-mod,aufgefaßt als R-Moduln -- isomorph,izomorfne kako R-moduly,изоморфне како R-модулы,,unstated,unstated,F10-1,review,1,noether_paper31_section04_entry04_terms.json
ISV-auflösbarer_zerfällungskörper--rěšimo_polje_razlože,auflösbarer Zerfällungskörper,rěšimo polje razloženja,,,unstated,unstated,F10-0,yes,1,noether_paper38_source_fidelity_terms.json
ISV-aus_s_in_t_abgeleiteter_ring_ideal_p-mod--kolco_ideal_p-modul_,aus S in T abgeleiteter Ring / Ideal / P-Modul,kolco / ideal / P-modul izvedeny iz S v T,колцо / идеал / П-модул изведены из С в Т,ideal,unstated,unstated,F10-3,no_fix_first,1,noether_paper31_section01_entries01_02_terms.json
ISV-ausgelassen_sind--sut_izpušćene,ausgelassen sind,sut izpušćene,сут изпушчене,,unstated,unstated,F10-1,review,1,noether_paper02_section23_terms.json
ISV-ausgezeichnete_basis--vyznačena_baza,ausgezeichnete Basis,vyznačena baza,,basis,source_fidelity,unstated,F10-1,review,1,noether_paper30_section06_terms.json
ISV-ausnahmeprimzahlen_ausnahme-primideale--izključene_prvočisla,Ausnahmeprimzahlen / Ausnahme-Primideale,izključene prvočisla / izključene proste idealy,,ideal,pan_slavic_native,unstated,F10-1,review,1,noether_paper35_source_fidelity_terms.json
ISV-auswahlpostulat--postulat_izbora,Auswahlpostulat,postulat izbora,постулат избора,,source_fidelity,unstated,F10-1,review,2,noether_paper19_terms.json; noether_paper19_terms_before_section09_utf8_repair_20260613_121052.json
ISV-automorphismenkörper_k_ν--tělo_avtomorfizmov_k,Automorphismenkörper K_ν,tělo avtomorfizmov K_ν,тело автоморфизмов K_ν,automorphism,unstated,unstated,F10-0,yes,1,noether_paper34_section20_source_fidelity_terms.json
ISV-automorphismenring--kolco_avtomorfizmov,Automorphismenring,kolco avtomorfizmov,колцо автоморфизмов,automorphism,source_fidelity,unstated,F10-3,no_fix_first,1,noether_paper34_section02_terms.json
ISV-basis_der_direkten_summe_blockdiagonale_--baza_direktnoj_sumy_,Basis der direkten Summe / blockdiagonale Diskriminantenmatrix,baza direktnoj sumy / blokovo-diagonalna diskriminantna matrica,база директној сумы / блоково-диагонална дискриминантна матрица,basis,unstated,unstated,F10-1,review,1,noether_paper31_section05_entry02_terms.json
ISV-basis_des_abgeleiteten_primideals--element_ktory_poražd,Basis des abgeleiteten Primideals,"element, ktory poraždaje izvedeny prosty ideal","елемент, кторы пораждаје изведены просты идеал",basis,unstated,unstated,F10-1,review,1,noether_paper31_section08_entry06_terms.json
ISV-basis_des_erweiterungsideals_des_diskrim--baza_razširjenogo_id,Basis des Erweiterungsideals des Diskriminantenideals,baza razširjenogo ideala diskriminantnogo ideala,база разширјеного идеала дискриминантного идеала,basis,source_fidelity,unstated,F10-0,yes,1,noether_paper31_section08_entry08_terms.json
ISV-basis_zur_erzeugung_der_spur--baza_za_tvorjenje_sl,Basis zur Erzeugung der Spur,baza za tvorjenje slěda,база за творјенье следа,basis,unstated,unstated,F10-1,review,1,noether_paper31_section08_entry03_terms.json
ISV-basisbegriffe--pojmy_bazy,Basisbegriffe,pojmy bazy,појмы базы,basis,source_fidelity,unstated,F10-1,review,1,noether_paper06_section04_terms.json
ISV-basisfragen--pitanja_o_bazah,Basisfragen,pitanja o bazah,питаньа о базах,basis,source_fidelity,unstated,F10-1,review,1,noether_paper06_introduction_terms.json
ISV-basisfreie_form--bezbazisna_forma,basisfreie Form,bezbazisna forma,безбазисна форма,basis,unstated,unstated,F10-1,review,2,noether_paper19_terms.json; noether_paper19_terms_before_section09_utf8_repair_20260613_121052.json
ISV-bereich_aller_geraden_polynome--oblast_vseh_parnyh_p,Bereich aller geraden Polynome,oblast vseh parnyh polinomov,област всех парных полиномов,,unstated,unstated,F10-1,review,1,noether_paper19_terms.json
ISV-bereich_aller_homogenen_formen--oblast_vseh_homogeny,Bereich aller homogenen Formen,oblast vseh homogenyh form,област всех хомогеных форм,,international|source_fidelity,unstated,F10-0,yes,1,noether_paper19_terms.json
ISV-bereich_zahlbereich--oblast_čislova_oblas,Bereich / Zahlbereich,oblast / čislova oblast,област / числова област,,source_fidelity,unstated,F10-1,review,1,noether_paper09_introduction_terms.json
ISV-beschränkt_in_x_i_den_grad_k_nicht_errei--ograničeny_po_x_i_ne,beschränkt in x_i / den Grad k nicht erreichen,ograničeny po x_i / ne dosega stepena k,ограничены по x_i / не досега степени k,,unstated,unstated,F10-1,review,2,noether_paper22_section04_terms.json; noether_paper22_terms.json
ISV-bibliographie--bibliografija,Bibliographie,bibliografija,,,international|disambiguation,unstated,F10-0,yes,1,noether_postbibliography_source_fidelity_terms.json
ISV-binäre_form_binäre_linearform--binarna_forma_binarn,binäre Form / binäre Linearform,binarna forma / binarna linearna forma,,linear,international,unstated,F10-0,yes,1,noether_paper15_terms.json
ISV-birationale_transformation--biracionalna_transfo,birationale Transformation,biracionalna transformacija,бирационална трансформација,,unstated,unstated,F10-1,review,1,noether_paper06_section04_terms.json
ISV-block-dreiecksform_matrizendarstellung--blokovo-trikutna_for,Block-Dreiecksform / Matrizendarstellung,blokovo-trikutna forma / matrično predstavjenje,блоково-трикутна форма / матрично представјенье,,pan_slavic_native,unstated,F10-2,no_fix_first,1,noether_paper31_section06_entry01_terms.json
ISV-buchbesprechungen--recenzije,Buchbesprechungen,recenzije,,,unstated,unstated,F10-1,review,1,noether_postbibliography_source_fidelity_terms.json
ISV-burnsidescher_satz_verallgemeinerter_bur--teorema_burnsida_obo,Burnsidescher Satz / verallgemeinerter Burnsidescher Satz,teorema Burnsida / obobčena teorema Burnsida,теорема Бурнсида / обобчена теорема Бурнсида,,unstated,unstated,F10-1,review,1,noether_paper34_section20_source_fidelity_terms.json
ISV-bücher_entstanden_unter_mitwirkung_von_e--knjigy_sostavjene_s_,"Bücher, entstanden unter Mitwirkung von Emmy Noether","knjigy, sostavjene s učestjem Emmy Noether",,,unstated,unstated,F10-1,review,1,noether_postbibliography_source_fidelity_terms.json
ISV-characteristic_zero--karakteristika_nul,Characteristic zero,karakteristika nul,карактеристика нул,zero,international,unstated,F10-0,yes,2,noether_paper22_section07_terms.json; noether_paper22_terms.json
ISV-charakter--karakter,Charakter,karakter,карактер,,unstated,unstated,F10-1,review,1,noether_paper34_section26_source_fidelity_terms.json
ISV-charaktere--karaktere,Charaktere,karaktere,карактере,,international,unstated,F10-0,yes,1,noether_paper34_section22_source_fidelity_terms.json
ISV-charakteristik--karakteristika,Charakteristik,karakteristika,карактеристика,,unstated,unstated,F10-1,review,1,noether_paper31_section03_entry04_terms.json
ISV-charakteristik_0_p--karakteristika_0_p,Charakteristik 0 / p,karakteristika 0 / p,карактеристика 0 / p,,source_fidelity,unstated,F10-1,review,1,noether_paper09_section10_terms.json
ISV-charakteristik_null_primkörper--karakteristika_nul_p,Charakteristik Null / Primkörper,karakteristika nul / prosto polje,карактеристика нул / просто полје,,unstated,unstated,F10-0,yes,2,noether_paper22_section04_terms.json; noether_paper22_terms.json
ISV-charakteristik_p--harakteristika_p,Charakteristik p,harakteristika p,характеристика p,,international,unstated,F10-0,yes,1,noether_paper06_introduction_terms.json
ISV-charakteristische_multiplizität--harakteristična_mnog,charakteristische Multiplizität,harakteristična mnogokratnost,характеристична многократност,,pan_slavic_native,unstated,F10-2,no_fix_first,1,noether_paper18_terms.json
ISV-charakteristische_reihe--karakterističny_rjad,charakteristische Reihe,karakterističny rjad,карактеристичны рјад,,unstated,unstated,F10-1,review,1,noether_paper34_section03_terms.json
ISV-conjugate_factors--konjugovane_faktory,Conjugate factors,konjugovane faktory,конјуговане факторы,factor,international,unstated,F10-0,yes,2,noether_paper22_section07_terms.json; noether_paper22_terms.json
ISV-cyrillic_reader_generation_for_section_1--matematične_proměnne,Cyrillic reader generation for Section 15,matematične proměnne i rimske označenja ostavajut zaštićene,математичне променне и римске означеньа оставајут заштичене,,script_stability,stable_production_rule,F10-1,review,1,noether_paper02_section15_terms.json
ISV-d--d,\D,\D,\Д,,unstated,unstated,F10-1,review,1,noether_paper02_section24_terms.json
ISV-damit_ist_der_satz_bewiesen--tym_teorem_jest_doka,Damit ist der Satz bewiesen,Tym teorem jest dokazany,Тым теорем јест доказаны,,unstated,unstated,F10-1,review,1,noether_paper31_section06_entry05_terms.json
ISV-darstellung_als_kleinstes_gemeinsames_vi--predstavjenje_kako_n,Darstellung als kleinstes gemeinsames Vielfaches,predstavjenje kako najmenše obče mnogokratno,,,source_fidelity,unstated,F10-1,review,1,noether_paper30_section06_terms.json
ISV-darstellung_mit_festem_nenner--predstavjenje_s_stal,Darstellung mit festem Nenner,predstavjenje s stalym imenovateljem,представјенье с сталым именователем,,source_fidelity,unstated,F10-1,review,1,noether_paper06_introduction_terms.json
ISV-darstellung_von_spur_norm_und_diskrimina--predstavjenje_slěda_,"Darstellung von Spur, Norm und Diskriminante","predstavjenje slěda, normy i diskriminanta","представјенье следа, нормы и дискриминанта",,international,unstated,F10-0,yes,1,noether_paper31_section06_entry06_terms.json
ISV-darstellungsklassen--klasy_predstavjenj,Darstellungsklassen,klasy predstavjenj,класы представјень,,unstated,unstated,F10-1,review,1,noether_paper31_section04_entry04_terms.json
ISV-darstellungsmoduln--moduly_predstavjenja,Darstellungsmoduln,moduly predstavjenja,модулы представјеньа,,unstated,unstated,F10-1,review,1,noether_paper34_section17_terms.json
ISV-das_zeichen_equiv_bedeutet--znak_equiv_znači,Das Zeichen \equiv bedeutet ...,Znak \equiv znači ...,Знак \еqуив значи ...,,unstated,unstated,F10-1,review,1,noether_paper02_section23_terms.json
ISV-das_zum_nullideal_gehörige_primideal--prosty_ideal_asociov,das zum Nullideal gehörige Primideal,"prosty ideal, asociovany s nulovym idealom","просты идеал, асоциованы с нуловым идеалом",ideal,pan_slavic_native|international,unstated,F10-0,yes,1,noether_paper31_section06_entry01_terms.json
ISV-dedekind-mertensscher_satz--dedekind--mertensov_,Dedekind-Mertensscher Satz,Dedekind--Mertensov teorem,Дедекинд--Мертенсов теорем,,international|script_stability,unstated,F10-0,yes,1,noether_paper22_terms.json
ISV-dedekind-mertensscher_satz--teorem_dedekinda--me,Dedekind-Mertensscher Satz,teorem Dedekinda--Mertensa,теорем Дедекинда--Мертенса,,international|script_stability,unstated,F10-0,yes,1,noether_paper24_section02_terms.json
ISV-dedekindsche_folgerung_iii--dedekindov_poslědok_,Dedekindsche Folgerung I/II,Dedekindov poslědok I/II,Дедекиндов последок I/II,,source_fidelity,unstated,F10-1,review,1,noether_paper30_section01_terms.json
ISV-determinante_eines_hyperkomplexen_system--determinanta_hiperko,Determinante eines hyperkomplexen Systems,determinanta hiperkompleksnogo sistema,детерминанта хиперкомплексного система,determinant,pan_slavic_native|international,unstated,F10-0,yes,1,noether_paper34_section23_source_fidelity_terms.json
ISV-determinanten_aus_je_n_basiselementen_un--determinanty_iz_vsak,Determinanten aus je n Basiselementen und ihren Konjugierten,determinanty iz vsakih n baznyh elementov i jih konjugovanyh elementov,детерминанты из всакых n базных елементов и јих конјугованых елементов,basis,unstated,unstated,F10-1,review,1,noether_paper31_section08_entry08_terms.json
ISV-determinantenquadrat_der_konjugierten_ba--kvadrat_determinanta,"Determinantenquadrat der konjugierten Basiselemente (§6, 4)","kvadrat determinanta soprjaženyh bazovyh elementov (§6, 4)","квадрат детерминанта сопрјаженых базовых елементов (§6, 4)",basis,pan_slavic_native,unstated,F10-1,review,1,noether_paper31_section08_entry03_terms.json
ISV-determinantenteiler--determinantny_dělite,Determinantenteiler,determinantny dělitelj,детерминантны делитель,determinant,source_fidelity,unstated,F10-1,review,2,noether_paper22_section01_terms.json; noether_paper22_terms.json
ISV-diagonalglied--diagonalny_člen,Diagonalglied,diagonalny člen,диагоналны член,,unstated,stable,F10-1,review,1,noether_paper02_section01_terms.json
ISV-diagonalmatrix_durch_diagonalmatrizen_tr--diagonalna_matrica_t,Diagonalmatrix / durch Diagonalmatrizen transformiert,diagonalna matrica / transformovane čerez diagonalne matrice,диагонална матрица / трансформоване через диагоналне матрице,matrix,unstated,unstated,F10-1,review,1,noether_paper17_terms.json
ISV-diagonalschema--diagonalna_shema,Diagonalschema,diagonalna shema,диагонална схема,,pan_slavic_native|international,unstated,F10-0,yes,1,noether_paper17_terms.json
ISV-die_definition_deckt_sich_mit_der_in_7_1--definicija_se_pokryv,"die Definition deckt sich mit der in §7, 1","definicija se pokryva s definicijeju v §7, 1","дефиниција се покрыва с дефиницијеју в §7, 1",definition,unstated,unstated,F10-1,review,1,noether_paper31_section08_entry04_terms.json
