"action_id","timestamp_utc","paper","page_or_locus","origin_type","origin_source","what_changed_or_was_checked","current_head_or_artifact","promoted_or_logged","status","notes"
"CO-20260705-011","2026-07-05","P19","p32 and p49","Web_found_previous_then_local_survival_checked","Web R711 archaeology report plus local Codex current-head TeX locus check","Verified survival of p32 complement family A_i and p49 product dot in \bar{\ideal R}\cdot\bar{\ideal L}^{*}\equiv0(\ideal R); no TeX patch needed.","Noether_LocalCodex_20260705_P24p233_SourceStyleRecovery_from_R796","logged","done","Web found/reported the source-backed fixes; local Codex checked that both survive in the current head. This is not user-directed and not a new local-discovered mathematical error."
"CO-20260705-012","2026-07-05","P30","p40-p41","local_Codex_found_previous_then_local_survival_checked","Local R781 report plus local Codex current-head TeX locus check","Verified survival of source-backed P30 isomorphism glyph repairs: current head uses \simeq in checked loci; no TeX patch needed.","Noether_LocalCodex_20260705_P24p233_SourceStyleRecovery_from_R796","logged","done","Earlier local work found/reported the glyph issue; current local Codex checked survival. This pass did not visually reopen source pages."
"CO-20260705-013","2026-07-05","process/P30","hard-math ledger pp30-35","local_Codex_found_during_ledger_review","Local Codex comparison of hard-math ledger against page ledger and current-head survival status","Relabeled P30 pp30-32 and pp33-35 from broad partial-open continuation rows to closed known bands that are not global P30 certification.","NOETHER_HARD_MATH_ERROR_LEDGER_20260705.csv","logged","done","This is a ledger/provenance correction found by local Codex during the user-directed origin-ledger review; it is not a new mathematical source correction."
"CO-20260705-014","2026-07-05","tail/Schur","collected p763 / source PDF p777 / tail-slice page 53","local_Codex_found_from_better_page_render","IA tail source slice page 53 rendered at 1000dpi for inspection from embedded 360ppi source; relation-line crop stored in Noether_tail_p763_symbol_work_20260705","Resolved former p763 relation-symbol trap: current head changed from `P^*/N\\mathfrak Z^*\\simeq\\mathfrak G` to source-visible `P^*/N\\mathfrak Z^*\\sim\\mathfrak G`.","Noether_LocalCodex_20260705_P24p233_SourceStyleRecovery_from_R796/1/01_current/cum_de_R796.tex","promoted","done","This is not user-directed and not a Web/WebB discovery. Local Codex found it by correcting a page-numbering ambiguity and reopening the actual collected p763 source page visually; XeLaTeX passed twice at 466 pages."
"CO-20260705-015","2026-07-05","process/P24","page-ledger aggregate pp233-246","local_Codex_found_during_ledger_validation","Local Codex validation of page ledger after P24 survival/recovery closure","Relabeled stale P24 pp233-246 page-ledger aggregate row from `OPEN_HIGHEST_PRIORITY` to `closed_known_band_not_global_P24_cert`.","NOETHER_PAGE_QC_LEDGER_20260705.csv","logged","done","This is a ledger/provenance correction, not a new source correction. It prevents Web/local agents from reopening a closed known band as if it were still the active highest-priority hard-math queue."
"CO-20260705-016","2026-07-05","P06","p195","Web_found_previous_then_local_survival_checked","Web R286 report plus local Codex current-head TeX locus check","Verified survival of Web R286 hard-formula repair: current head has `F(x)=\\frac{\\Gamma(H_1(x)\\rcdots H_\\sigma(x))}{i}.` at the P06 p195 locus.","Noether_LocalCodex_20260705_P24p233_SourceStyleRecovery_from_R796/1/01_current/cum_de_R796.tex","logged","done","No TeX patch made here. The mathematical correction was found by Web R286; local Codex checked current-head survival."
"CO-20260705-017","2026-07-05","P36","p17","Web_claim_later_disproved_by_direct_source_audit","Web R719 archaeology report plus an earlier nominal current-head locus check","Historical row: the Web report claimed `Der Beweis soll in den Math. Ann. erscheinen.` This was not the source or the later live text; v22 directly confirmed `Eine ausführliche Darstellung soll in den Math. Ann. erscheinen.`","Noether_LocalCodex_20260705_P24p233_SourceStyleRecovery_from_R796/1/01_current/cum_de_R796.tex","logged_historical_claim","superseded_incorrect_survival_claim","Superseded by CO-20260711-114 and CO-20260711-115. No incorrect phrase survives in the v22 cumulative."
"CO-20260705-018","2026-07-05","Tail/Backmatter","p777","Web_found_previous_then_local_survival_checked","Web R719 archaeology report plus local Codex current-head TeX locus check","Verified survival of Web R719 bibliography correction: current head has `R. Fricke, E. N. Öystein Orne. Vieweg, Brauschweig 1930--1932` at the Dedekind collected-works entry.","Noether_LocalCodex_20260705_P24p233_SourceStyleRecovery_from_R796/1/01_current/cum_de_R796.tex","logged","done","No TeX patch made here. The correction was found by Web R719; local Codex checked current-head survival. Other `Ore` and `Braunschweig` occurrences elsewhere were not treated as global errors."
"CO-20260705-019","2026-07-05","process/P24","p245-p246 next-action fields","local_Codex_found_during_ledger_validation","Local Codex validation of page ledger after P24 aggregate closure","Removed stale p245/p246 next-action phrasing that said the broader P24 pp233-244/adjacent chain remained open; replaced with the current status that pp233-246 is a closed known band but not whole-paper certification.","NOETHER_PAGE_QC_LEDGER_20260705.csv","logged","done","This is a ledger/provenance correction, not a source correction. It was found locally during validation of stale open/needs markers."
"CO-20260705-020","2026-07-05","P30","p043-p049","local_Codex_found_previous_then_local_survival_checked","Recovered R126 P30 p043-p049 source-fix payload plus current R796 TeX locus checks","Verified survival of previous local source fixes: p43 product exponent, p46 quasi-lexicographic footnote notation, p49 even-integers example, and p49 Satz IV proof structure.","NOETHER_P30_R126_p043_061_SURVIVAL_CHECK_20260705.csv","logged","done","No TeX patch made here. The corrections were found by previous local Codex; current local Codex checked survival and repaired the ledger gap."
"CO-20260705-021","2026-07-05","P30","p050-p052","local_Codex_found_previous_then_local_survival_checked","Recovered R126 P30 p050-p052 source-fix payload plus current R796 TeX locus checks","Verified survival of previous local source fixes: p50 Hilfssatz/Zusatz proof block, p51 power-chain and determinant repairs, p51-p52 exponent-two proof, and p52 sigma/lambda induction formulation.","NOETHER_P30_R126_p043_061_SURVIVAL_CHECK_20260705.csv","logged","done","No TeX patch made here. The source fixes were already in the current head; this turn records survival and origin."
"CO-20260705-022","2026-07-05","P30","p053-p055","local_Codex_found_previous_then_local_survival_checked","Recovered R126 P30 p053-p055 source-fix payload plus current R796 TeX locus checks","Verified survival of previous local source fixes: p53 congruence reversal, p53-p54 Axiom IV/I-II proof structure, p54 Hauptidealring proof, and p55 broken-ideal group proof.","NOETHER_P30_R126_p043_061_SURVIVAL_CHECK_20260705.csv","logged","done","No TeX patch made here. The corrections were previous local source repairs; current local Codex logged their survival."
"CO-20260705-023","2026-07-05","P30","p056-p061","local_Codex_found_previous_then_local_survival_checked","Recovered R126 P30 p056-p061 source-fix payload and manual dispositions plus current R796 TeX locus checks","Verified survival of previous local source fixes on p56-p57 and logged prior visual no-patch disposition for pp58-p61.","NOETHER_P30_R126_p043_061_SURVIVAL_CHECK_20260705.csv","logged","done","No TeX patch made here. Previous local Codex found the p56-p57 fixes and visually checked pp58-p61; current local Codex made the survival/page-ledger status explicit."
"CO-20260705-024","2026-07-05","P13","p249","Web_found_then_local_promoted","Web R781 whole-paper audit package plus local current-head check and local compile","Promoted Web R781 source-backed correction: changed `\\left. B_i(...,t)\\right|_{t=1}` to baseline subscript `B_i(...,t)_{t=1}` at the P13 p249 integration display.","Noether_LocalCodex_20260705_P24p233_SourceStyleRecovery_from_R796/1/01_current/cum_de_R796.tex","promoted","done","This correction was found by Web R781, not by user instruction and not by local Codex. Local Codex checked that current R796 still had the bad evaluation-bar form, patched it, and XeLaTeX passed twice at 466 pages."
"CO-20260705-025","2026-07-05","P34","p682","WebB_found_then_local_visual_confirmed_and_promoted","WebB R706/R705 confirmed_fixes plus local visual inspection of P34_p682_sim_Omega_source.png","Promoted recovered WebB source-backed relation-glyph correction: `(und \simeq\Omega sind)` -> `(und \sim\Omega sind)` in the P34 center-decomposition paragraph.","Noether_LocalCodex_20260705_P24p233_SourceStyleRecovery_from_R796/1/01_current/cum_de_R796.tex","promoted","done","This correction was found by WebB R705/R706, then lost in the current R796 head. Local Codex re-opened the source crop from the R706 package, visually confirmed the single-tilde relation, patched current TeX, and XeLaTeX passed twice at 466 pages."
"CO-20260705-026","2026-07-05","P13","p254","broad_archaeology_found_then_local_source_confirmed","NOETHER_BROAD_RECENT_DANGEROUS_SIGNATURE_ADJUDICATION_20260705.csv signature e31894437c71f816 plus Web R781 GDZ p254 source page","Promoted source punctuation after `Divergenzrelationen`: changed `Divergenzrelationen werden` to `Divergenzrelationen' werden`.","Noether_LocalCodex_20260705_P24p233_SourceStyleRecovery_from_R796/1/01_current/cum_de_R796.tex","promoted","done","Source crop P13_p254_Divergenzrelationen_apostrophe_source_crop.jpg visibly shows the apostrophe. XeLaTeX passed twice; PDF remains 466 pages."
"CO-20260705-027","2026-07-05","P30","p31","WebB_found_then_local_promoted","Web2 package Noether_R781_WebB_R780_P30p31_33_DenseClusterFix_20260705_COMPLETE plus local current-head check","Promoted dense-symbol correction in second formulation chain: `\mC\mA_n` -> `\mC\mA_\mu`.","Noether_LocalCodex_20260705_P24p233_SourceStyleRecovery_from_R796/1/01_current/cum_de_R796.tex","promoted","done","Source crop P30_p31_second_fassung_CA_mu_source_x6.png supports `\mA_\mu`; current R796 still had `\mA_n` before this pass. XeLaTeX passed twice at 466 pages."
"CO-20260705-028","2026-07-05","P30","p32","WebB_found_then_local_promoted","Web2 package Noether_R781_WebB_R780_P30p31_33_DenseClusterFix_20260705_COMPLETE plus local current-head check","Promoted proof-chain first clause correction: `die Kette der \mA_n mit \mA_n` -> `die Kette der \mA_\mu mit \mA_n`.","Noether_LocalCodex_20260705_P24p233_SourceStyleRecovery_from_R796/1/01_current/cum_de_R796.tex","promoted","done","Source crop P30_p32_Amu_with_An_source_x6.png supports first index `\mu` and second index `n`."
"CO-20260705-029","2026-07-05","P30","p32","WebB_found_then_local_promoted_with_mechanical_incoming_fix","Web2 package Noether_R781_WebB_R780_P30p31_33_DenseClusterFix_20260705_COMPLETE plus local visual source check","Promoted proof equivalence correction: `\mA_n=\mA_{n+1}=\cdots` -> `\mA_n=\mA_{n+\nu}\cdots`.","Noether_LocalCodex_20260705_P24p233_SourceStyleRecovery_from_R796/1/01_current/cum_de_R796.tex","promoted","done","Web2 found the source correction but its incoming TeX line mechanically broke `\nu` into a newline plus `u`; local Codex patched the clean source-intended `\nu` form after checking P30_p32_chain_Amu_An_Anplusnu_source_x2.png and P30_p32_An_eq_Anplusnu_source_x6.png."
"CO-20260705-030","2026-07-05","P30","p32","WebB_found_then_local_promoted","Web2 package Noether_R781_WebB_R780_P30p31_33_DenseClusterFix_20260705_COMPLETE plus local current-head check","Promoted chain noun correction: `Das Abbrechen der Kette der \mA_n` -> `Das Abbrechen der Kette der \mA_\mu`.","Noether_LocalCodex_20260705_P24p233_SourceStyleRecovery_from_R796/1/01_current/cum_de_R796.tex","promoted","done","Same source band as P30 p32 proof-chain correction; source uses `\mA_\mu`."
"CO-20260705-031","2026-07-05","P30","p32","WebB_found_then_local_promoted","Web2 package Noether_R781_WebB_R780_P30p31_33_DenseClusterFix_20260705_COMPLETE plus local current-head check","Promoted consequence first chain correction: `\mC\mA_n` -> `\mC\mA_\mu`.","Noether_LocalCodex_20260705_P24p233_SourceStyleRecovery_from_R796/1/01_current/cum_de_R796.tex","promoted","done","Source crop P30_p32_CA_mu_chain_source_x6.png supports `\mC\mA_\mu`."
"CO-20260705-032","2026-07-05","P30","p32","WebB_found_then_local_promoted","Web2 package Noether_R781_WebB_R780_P30p31_33_DenseClusterFix_20260705_COMPLETE plus local current-head check","Promoted consequence second chain and noun correction: `\mC\mA_n`; `\mA_n` -> `\mC\mA_\mu`; `\mA_\mu`.","Noether_LocalCodex_20260705_P24p233_SourceStyleRecovery_from_R796/1/01_current/cum_de_R796.tex","promoted","done","Source crop P30_p32_CA_mu_chain_source_x6.png supports `\mu` in the second chain and following noun."
"CO-20260705-033","2026-07-05","P30","p33","WebB_found_then_local_promoted","Web2 package Noether_R781_WebB_R780_P30p31_33_DenseClusterFix_20260705_COMPLETE plus local current-head check","Promoted integrally-closed criterion product correction: `\mC\mR_\alpha` -> `\mC\cdot\mR_\alpha`.","Noether_LocalCodex_20260705_P24p233_SourceStyleRecovery_from_R796/1/01_current/cum_de_R796.tex","promoted","done","Source crop P30_p33_CdotRalpha_source_x6.png visibly shows the centered product dot."
"CO-20260705-034","2026-07-05","P24","p233","broad_archaeology_found_then_local_source_confirmed","NOETHER_BROAD_RECENT_DANGEROUS_SIGNATURE_ADJUDICATION_20260705.csv signature 80f497cdc3e36575 plus 650dpi P24 p233 source page","Promoted congruence correction in Grundideale definition: `b^{(i)}G(x)=0(\frakm)` -> `b^{(i)}G(x)\equiv0(\frakm)`.","Noether_LocalCodex_20260705_P24p233_SourceStyleRecovery_from_R796/1/01_current/cum_de_R796.tex","promoted","done","Source crop _source_checks_20260705/P24_p233/P24_p233_biGx_congruence_line_650dpi_crop.png visibly shows the triple-bar congruence. XeLaTeX passed twice; PDF remains 466 pages."
"CO-20260705-035","2026-07-05","P24","p233","broad_archaeology_found_then_local_source_confirmed","NOETHER_BROAD_RECENT_DANGEROUS_SIGNATURE_ADJUDICATION_20260705.csv signature 15a116d61b45d06a plus 650dpi P24 p233 source page","Promoted congruence correction in displayed formula (2): `B^{(i)}\frakg_{i-1}=0\;(\frakm)` -> `B^{(i)}\frakg_{i-1}\equiv0(\frakm)`.","Noether_LocalCodex_20260705_P24p233_SourceStyleRecovery_from_R796/1/01_current/cum_de_R796.tex","promoted","done","Source crop _source_checks_20260705/P24_p233/P24_p233_Bi_g_congruence_formula2_650dpi_crop.png visibly shows the triple-bar congruence. XeLaTeX passed twice; PDF remains 466 pages."
"CO-20260705-036","2026-07-05","P15","p151","broad_archaeology_stale_row_closed_by_WebB_source_survival","NOETHER_BROAD_RECENT_DANGEROUS_SIGNATURE_ADJUDICATION_20260705.csv signatures 0de376d0eb08a5f3 and f54f20f2a39bbf64 plus WebB R779 source crop","Checked stale `P^{(1)}` -> `P^{(l)}` archaeology claim against later WebB R779 source-backed repair; current head already has `P^{(\nu)}` and `S_0^{(\nu)}` with equality before `F_0`.","NOETHER_MEDIUM_QUEUE_CLOSURES_20260705.csv","logged_no_text_patch","done","This is a no-patch closure: promoting the older `l` proposal would undo WebB R779's more precise Greek-nu source reading."
"CO-20260705-037","2026-07-05","P13","p246","broad_archaeology_stale_row_closed_by_current_anchor_check","NOETHER_BROAD_RECENT_DANGEROUS_SIGNATURE_ADJUDICATION_20260705.csv signature b15aba13581fd11f plus current TeX line 8760 and prior P13 p246 source-footnote package","Checked footnote placement candidate `enthalten.\footnote` -> `enthalten\footnote{...}.`; current head already has marker-before-period at the true P13 p246 anchor.","NOETHER_MEDIUM_QUEUE_CLOSURES_20260705.csv","logged_no_text_patch","done","The broad archaeology literal hit was stale/mislocalized. No TeX patch was needed."
"CO-20260705-038","2026-07-05","P30","p36","local_Codex_found_by_manual_visual_recheck_after_Web2_R781","P30 raw JP2 fullres p36 source page and focused crop `P30_p036_lambda_index_source_crop.png`","Promoted source-backed index-family correction in the no-unit supplementary construction: `\xi_{k+i}`/`\xi_i` -> `\xi_{k+\lambda}`/`\xi_\lambda`, `\mathfrak a_i` -> `\mathfrak a_\lambda`, and `\mathfrak n_i` -> `\mathfrak n_\lambda` in the generic sentence about assigned ideals.","Noether_LocalCodex_20260705_P24p233_SourceStyleRecovery_from_R796/1/01_current/cum_de_R796.tex","promoted","done","This error was found by local Codex while rechecking adjacent P30 pages after Web2 R781 exposed missed index-family errors. XeLaTeX passed twice after both the first patch and the completed v2 patch at 466 pages."
"CO-20260705-039","2026-07-05","P40","p515","Web_archaeology_candidate_then_local_source_promoted","14-day confirmed-fix harvest plus GDZ400 p515 visual source page","Promoted source-backed punctuation correction in the noncommutative-algebra introduction: `wird nichtkommutativ behandelt, vermöge` -> `wird nichtkommutativ, behandelt, vermöge`.","Noether_LocalCodex_20260705_P24p233_SourceStyleRecovery_from_R796/1/01_current/cum_de_R796.tex","promoted","done","Candidate came from older R711/R727 confirmed-fix rows and survived the current-head harvest. Local Codex opened `P40_GDZ_MathZ37_canvas00000519_printed_p515_fullres.jpg`; the source visibly has commas after `nichtkommutativ` and `behandelt`. XeLaTeX passed twice at 466 pages after the patch."
"CO-20260705-040","2026-07-05","P19","p57","First_Web_R784_stale_span_check_then_local_1000dpi_source_promoted","First-Web package Noether_R784_P19_PageByPage_5PNG_PerPage_20260705; earlier Web R781 P13/P19 audit; local 1000dpi render of P19 source PDF page 34","Promoted source-backed rollback at the §9-to-§10 transition: current R796 had `b_\varrho a_k^{(\varrho)}` / `b_\varrho\alpha^{(\varrho)}` but the 1000dpi source render shows `b_e a_k^{(e)}` / `b_e\alpha^{(e)}`.","Noether_LocalCodex_20260705_P24p233_SourceStyleRecovery_from_R796/1/01_current/cum_de_R796.tex","promoted","done","This began as an R784-vs-current span diff. Local Codex first misread the low-resolution crop, then rendered the source PDF page at 1000dpi and corrected the current head. XeLaTeX passed twice after patch. Evidence: `_source_checks_20260705/P19_p57/P19_p57_formula_and_following_sentence_1000dpi_crop.png`."
"CO-20260705-041","2026-07-05","P30","p32","WebB_R782_found_then_local_source_promoted","WebB package Noether_R782_WebB_R781_P30p32_33_ChainExponentFix_20260705_COMPLETE and source crop P30_p32_eq_nplus1_source_x6.png","Promoted the source-backed second chain-equivalence displayed equation from `\alpha^n+r_1\alpha^{n-1}+\cdots+r_n=0.` to `\alpha^n+r_1\alpha^{n+1}+\cdots+r_n=0.`; left the earlier ordinary integrality equation at `n-1` and rejected p33 extra-`\beta` churn.","Noether_LocalCodex_20260705_P24p233_SourceStyleRecovery_from_R796/1/01_current/cum_de_R796.tex","promoted","done","R782 internally contradicted itself by diff-inserting `\beta` on p33 while its no-patch ledger rejects that insertion. Only the source-supported p32 exponent hunk was promoted. XeLaTeX passed twice after patch."
"CO-20260705-042","2026-07-05","tail","p763","R742_archaeology_found_then_local_source_promoted","R742 tail source PDF rendered at 650dpi; crop `_source_checks_20260705/R742_tail_p763_symbol/tail_p763_p763_normclass_line_crop_650.png`","Promoted the source-backed norm-class glyph from `P^*/N\mathfrak Z^*\sim\mathfrak G.` to `P^*/N\mathfrak Z^*\simeq\mathfrak G.`","Noether_LocalCodex_20260705_P24p233_SourceStyleRecovery_from_R796/1/01_current/cum_de_R796.tex","promoted","done","R742 was not safe wholesale: its Göttingen-title policy is superseded by later R786/current, but its p763 source crop clearly supports `\simeq`. This is a real archaeology miss caused by treating a no-patch package too broadly."
"CO-20260705-043","2026-07-05","P41","p412","R738_archaeology_survival_check_then_local_promoted","Noether_R738_LocalCodex_P41_SourceAudit_20260704.zip; crop `P41_source_p412_Analogon_crop_650render.png`","Promoted source-backed typo repair `Anologon` -> `Analogon` in the sentence `ein hier noch einfacheres Analogon zu dem Speiserschen Beweis`.","Noether_LocalCodex_20260705_P24p233_SourceStyleRecovery_from_R796/1/01_current/cum_de_R796.tex","promoted","done","R738 had already found and repaired this, but the current R796-chain head still contained `Anologon`. This is a recovered lost archaeology fix."
"CO-20260705-044","2026-07-05","P40","p515","R546_archaeology_conflict_reopened_against_full_source_page","Noether_R546_WebB_R544FullCarry_P40Kapferer_20260702_COMPLETE; full source image `P40_p515_GDZ400_fullres.jpg`","Corrected earlier bad comma recovery: `wird nichtkommutativ, behandelt, vermöge` -> source `wird nichtkommutativ behandelt, vermöge`.","Noether_LocalCodex_20260705_P24p233_SourceStyleRecovery_from_R796/1/01_current/cum_de_R796.tex","promoted","done","This explicitly supersedes CO-20260705-039 at the same locus. The earlier focused crop was not adequate/misleading for this phrase; the full source page clearly has no comma after `nichtkommutativ` and has the comma after `behandelt`."
"CO-20260705-045","2026-07-05","Kapferer/Noether tail","MathAnn97 p559 title block","R604_original_publication_witness_reopened_against_raw_GDZ_page","Noether_R604_LocalCodex_R603_KapfererGDZOriginalSubtitle_SourceFix_20260702; raw GDZ image `Kapferer_Noether_MathAnn97_canvas00000565_full.jpg`","Promoted original-publication subtitle form in the article title block: `(Mit einem Zusatz, gemeinsam mit E. Noether)` -> `(Mit einem Zusatz, gemeinsam mit E. Noether in Göttingen.)`.","Noether_LocalCodex_20260705_P24p233_SourceStyleRecovery_from_R796/1/01_current/cum_de_R796.tex","promoted","done","This reverses the earlier collected-volume/no-Göttingen title-block policy for the article body only. The generated backmatter list entry remains no-Göttingen because R604 did not patch that list and no separate list-source witness was adjudicated here. XeLaTeX passed twice after patch."
"CO-20260705-046","2026-07-05","P24","p260","R636_source_crop_reopen_then_local_promoted_single_hunk","Noether_R636_LocalCodex_P24p259_263_SourceAudit_20260703; 1000dpi crop `R636_P24_p260_c02_UV_denominator_inline_chain_LABELLED_1000dpi.png`","Promoted exponent correction in Satz XVI proof: `V_i^{\\sigma}D^{(i)}` -> `V_i^{\\rho}D^{(i)}`.","Noether_LocalCodex_20260705_P24p233_SourceStyleRecovery_from_R796/1/01_current/cum_de_R796.tex","promoted_then_superseded","superseded_by_CO-20260705-048","This was a local source-read error. The R636 crop label said rho, but the printed glyph itself is sigma. R580 reopened the same source page with wider context and showed the correct source reading is `V_i^{\\sigma}D^{(i)}`. The `x_i^l` no-fix trap remains valid."
"CO-20260705-047","2026-07-05","P02","body pp23-90 and tables","R603_P02_residual_queue_closure_no_text_patch","Noether_R603_LocalCodex_R602_P02ResidualTriage_NoPatch_20260702; P02_R603_triage.csv; P02_RA_progress_synthesis_R603.csv; summary_R603.json","Logged that R603 promotes no TeX patch but closes the stale generic P02 queue: RA29 closed the body, RA31 Tabelle I, RA33 Tabelle II rows 0-7, RA34 Tabelle II rows 8-23, and R300/R598 prove the validated German branch survives current.","NOETHER_CORRECTION_ORIGIN_LEDGER_20260705.csv; NOETHER_PAGE_QC_LEDGER_20260705.csv; _noether_archaeology_20260705/tex_span_candidate_manual_adjudication_20260705.csv","logged_no_text_patch","done","This is queue-control archaeology, not fresh visual recertification of every P02 glyph. The 763 inherited R122 P02 rows are retained provenance only, not an active bulk task. Reopen P02 only for a concrete mismatch, language propagation, or a deliberate strict final page-by-page recertification."
"CO-20260705-048","2026-07-05","P24","p260","R580_R636_conflict_reopened_against_wide_source_context","Noether_R580_WebB_R579_P24P40_HardSymbolFix_20260702_COMPLETE; P24_p260_bottom_formula_context_x2_source.png; R636 crop rechecked","Corrected the corrected correction: `V_i^{\\rho}D^{(i)}` -> source `V_i^{\\sigma}D^{(i)}` in Satz XVI proof.","Noether_LocalCodex_20260705_P24p233_SourceStyleRecovery_from_R796/1/01_current/cum_de_R796.tex","promoted","done","R580 and the R636 image itself both visibly support sigma; R636's textual label was misleading. This explicitly supersedes CO-20260705-046. The source still supports `R^{(i)}=V_i(u)x_i^l+...`, so the rejected `x_i^{e_i}` drift remains rejected."
"CO-20260705-049","2026-07-05","P40","pp536-538","R580_R573_rebased_P40_survival_check_no_text_patch","Noether_R580_WebB_R579_P24P40_HardSymbolFix_20260702_COMPLETE; confirmed_fixes_R580.csv; R573 provenance source crops for printed pp536-538","Logged that all nine R580/R573 P40 pp536-538 source-backed hunks already survive in current R796: `algebraisch-abgeschlossenen`, emphasized `einzigen`, source `Z=r^{(1)}+...`, `Z^{(i)}\\leqq\\Gamma`, `Z\\to Z`, `Z_Z`, `Z_{Z^{(i)}}`, emphasized Untergruppen phrase, and `für Z mit erledigt`.","NOETHER_CORRECTION_ORIGIN_LEDGER_20260705.csv; NOETHER_PAGE_QC_LEDGER_20260705.csv; _noether_archaeology_20260705/tex_span_candidate_manual_adjudication_20260705.csv","logged_no_text_patch","done","This is an archaeology survival closure, not a new patch. R580 was still valuable because the same package exposed and corrected the P24 p260 sigma/rho conflict; its P40 side is now explicitly closed against current TeX lines 19655-19691."
