"paper","printed_page","qc_record_count","current_heads","last_updated_utc","qc_instances","audit_depths","fixes_found","fixes_integrated","statuses","hard_math_record_count","hard_math_classes","next_actions","evidence","notes"
"P02","29","1","Noether_LocalCodex_20260705_P24p233_SourceStyleRecovery_from_R796","2026-07-05","origin=R603_queue_control_no_patch_closure","aggregate P02 body/table current-branch survival check","no new source-backed patch found","n/a: R603 promotes no TeX patch; current P02 body equals the R273 closure extract after wrapper-only normalization and current table block equals the RA34 validated table reference","superseded_by_20260718_page_level_secondpass","0","","Use the 39 canonical rows for pp58-90/leaves91-96; separately audit pp23-57.","_noether_archaeology_20260705/extracted_today_20260705/Noether_R603_LocalCodex_R602_P02ResidualTriage_NoPatch_20260702/.../audit/P02_R603_triage.csv; summary_R603.json; P02_comparison_results_R603.csv","R603 prevents stale inherited R122 crosswalk rows from looking like active P02 work. Known no-fix traps remain: body `L_j^2` and the `H_3` / `H^3u` distinction. This aggregate closure was disproved by the 2026-07-18 second pass, which found 508 linked-family substitutions and eight table repairs."
"P02","30","1","Noether_LocalCodex_20260705_P24p233_SourceStyleRecovery_from_R796","2026-07-05","origin=R603_queue_control_no_patch_closure","aggregate P02 body/table current-branch survival check","no new source-backed patch found","n/a: R603 promotes no TeX patch; current P02 body equals the R273 closure extract after wrapper-only normalization and current table block equals the RA34 validated table reference","superseded_by_20260718_page_level_secondpass","0","","Use the 39 canonical rows for pp58-90/leaves91-96; separately audit pp23-57.","_noether_archaeology_20260705/extracted_today_20260705/Noether_R603_LocalCodex_R602_P02ResidualTriage_NoPatch_20260702/.../audit/P02_R603_triage.csv; summary_R603.json; P02_comparison_results_R603.csv","R603 prevents stale inherited R122 crosswalk rows from looking like active P02 work. Known no-fix traps remain: body `L_j^2` and the `H_3` / `H^3u` distinction. This aggregate closure was disproved by the 2026-07-18 second pass, which found 508 linked-family substitutions and eight table repairs."
"P02","31","1","Noether_LocalCodex_20260705_P24p233_SourceStyleRecovery_from_R796","2026-07-05","origin=R603_queue_control_no_patch_closure","aggregate P02 body/table current-branch survival check","no new source-backed patch found","n/a: R603 promotes no TeX patch; current P02 body equals the R273 closure extract after wrapper-only normalization and current table block equals the RA34 validated table reference","superseded_by_20260718_page_level_secondpass","0","","Use the 39 canonical rows for pp58-90/leaves91-96; separately audit pp23-57.","_noether_archaeology_20260705/extracted_today_20260705/Noether_R603_LocalCodex_R602_P02ResidualTriage_NoPatch_20260702/.../audit/P02_R603_triage.csv; summary_R603.json; P02_comparison_results_R603.csv","R603 prevents stale inherited R122 crosswalk rows from looking like active P02 work. Known no-fix traps remain: body `L_j^2` and the `H_3` / `H^3u` distinction. This aggregate closure was disproved by the 2026-07-18 second pass, which found 508 linked-family substitutions and eight table repairs."
"P02","32","1","Noether_LocalCodex_20260705_P24p233_SourceStyleRecovery_from_R796","2026-07-05","origin=R603_queue_control_no_patch_closure","aggregate P02 body/table current-branch survival check","no new source-backed patch found","n/a: R603 promotes no TeX patch; current P02 body equals the R273 closure extract after wrapper-only normalization and current table block equals the RA34 validated table reference","superseded_by_20260718_page_level_secondpass","0","","Use the 39 canonical rows for pp58-90/leaves91-96; separately audit pp23-57.","_noether_archaeology_20260705/extracted_today_20260705/Noether_R603_LocalCodex_R602_P02ResidualTriage_NoPatch_20260702/.../audit/P02_R603_triage.csv; summary_R603.json; P02_comparison_results_R603.csv","R603 prevents stale inherited R122 crosswalk rows from looking like active P02 work. Known no-fix traps remain: body `L_j^2` and the `H_3` / `H^3u` distinction. This aggregate closure was disproved by the 2026-07-18 second pass, which found 508 linked-family substitutions and eight table repairs."
"P02","33","1","Noether_LocalCodex_20260705_P24p233_SourceStyleRecovery_from_R796","2026-07-05","origin=R603_queue_control_no_patch_closure","aggregate P02 body/table current-branch survival check","no new source-backed patch found","n/a: R603 promotes no TeX patch; current P02 body equals the R273 closure extract after wrapper-only normalization and current table block equals the RA34 validated table reference","superseded_by_20260718_page_level_secondpass","0","","Use the 39 canonical rows for pp58-90/leaves91-96; separately audit pp23-57.","_noether_archaeology_20260705/extracted_today_20260705/Noether_R603_LocalCodex_R602_P02ResidualTriage_NoPatch_20260702/.../audit/P02_R603_triage.csv; summary_R603.json; P02_comparison_results_R603.csv","R603 prevents stale inherited R122 crosswalk rows from looking like active P02 work. Known no-fix traps remain: body `L_j^2` and the `H_3` / `H^3u` distinction. This aggregate closure was disproved by the 2026-07-18 second pass, which found 508 linked-family substitutions and eight table repairs."
"P02","34","1","Noether_LocalCodex_20260705_P24p233_SourceStyleRecovery_from_R796","2026-07-05","origin=R603_queue_control_no_patch_closure","aggregate P02 body/table current-branch survival check","no new source-backed patch found","n/a: R603 promotes no TeX patch; current P02 body equals the R273 closure extract after wrapper-only normalization and current table block equals the RA34 validated table reference","superseded_by_20260718_page_level_secondpass","0","","Use the 39 canonical rows for pp58-90/leaves91-96; separately audit pp23-57.","_noether_archaeology_20260705/extracted_today_20260705/Noether_R603_LocalCodex_R602_P02ResidualTriage_NoPatch_20260702/.../audit/P02_R603_triage.csv; summary_R603.json; P02_comparison_results_R603.csv","R603 prevents stale inherited R122 crosswalk rows from looking like active P02 work. Known no-fix traps remain: body `L_j^2` and the `H_3` / `H^3u` distinction. This aggregate closure was disproved by the 2026-07-18 second pass, which found 508 linked-family substitutions and eight table repairs."
"P02","35","1","Noether_LocalCodex_20260705_P24p233_SourceStyleRecovery_from_R796","2026-07-05","origin=R603_queue_control_no_patch_closure","aggregate P02 body/table current-branch survival check","no new source-backed patch found","n/a: R603 promotes no TeX patch; current P02 body equals the R273 closure extract after wrapper-only normalization and current table block equals the RA34 validated table reference","superseded_by_20260718_page_level_secondpass","0","","Use the 39 canonical rows for pp58-90/leaves91-96; separately audit pp23-57.","_noether_archaeology_20260705/extracted_today_20260705/Noether_R603_LocalCodex_R602_P02ResidualTriage_NoPatch_20260702/.../audit/P02_R603_triage.csv; summary_R603.json; P02_comparison_results_R603.csv","R603 prevents stale inherited R122 crosswalk rows from looking like active P02 work. Known no-fix traps remain: body `L_j^2` and the `H_3` / `H^3u` distinction. This aggregate closure was disproved by the 2026-07-18 second pass, which found 508 linked-family substitutions and eight table repairs."
"P02","36","1","Noether_LocalCodex_20260705_P24p233_SourceStyleRecovery_from_R796","2026-07-05","origin=R603_queue_control_no_patch_closure","aggregate P02 body/table current-branch survival check","no new source-backed patch found","n/a: R603 promotes no TeX patch; current P02 body equals the R273 closure extract after wrapper-only normalization and current table block equals the RA34 validated table reference","superseded_by_20260718_page_level_secondpass","0","","Use the 39 canonical rows for pp58-90/leaves91-96; separately audit pp23-57.","_noether_archaeology_20260705/extracted_today_20260705/Noether_R603_LocalCodex_R602_P02ResidualTriage_NoPatch_20260702/.../audit/P02_R603_triage.csv; summary_R603.json; P02_comparison_results_R603.csv","R603 prevents stale inherited R122 crosswalk rows from looking like active P02 work. Known no-fix traps remain: body `L_j^2` and the `H_3` / `H^3u` distinction. This aggregate closure was disproved by the 2026-07-18 second pass, which found 508 linked-family substitutions and eight table repairs."
"P02","37","1","Noether_LocalCodex_20260705_P24p233_SourceStyleRecovery_from_R796","2026-07-05","origin=R603_queue_control_no_patch_closure","aggregate P02 body/table current-branch survival check","no new source-backed patch found","n/a: R603 promotes no TeX patch; current P02 body equals the R273 closure extract after wrapper-only normalization and current table block equals the RA34 validated table reference","superseded_by_20260718_page_level_secondpass","0","","Use the 39 canonical rows for pp58-90/leaves91-96; separately audit pp23-57.","_noether_archaeology_20260705/extracted_today_20260705/Noether_R603_LocalCodex_R602_P02ResidualTriage_NoPatch_20260702/.../audit/P02_R603_triage.csv; summary_R603.json; P02_comparison_results_R603.csv","R603 prevents stale inherited R122 crosswalk rows from looking like active P02 work. Known no-fix traps remain: body `L_j^2` and the `H_3` / `H^3u` distinction. This aggregate closure was disproved by the 2026-07-18 second pass, which found 508 linked-family substitutions and eight table repairs."
"P02","38","1","Noether_LocalCodex_20260705_P24p233_SourceStyleRecovery_from_R796","2026-07-05","origin=R603_queue_control_no_patch_closure","aggregate P02 body/table current-branch survival check","no new source-backed patch found","n/a: R603 promotes no TeX patch; current P02 body equals the R273 closure extract after wrapper-only normalization and current table block equals the RA34 validated table reference","superseded_by_20260718_page_level_secondpass","0","","Use the 39 canonical rows for pp58-90/leaves91-96; separately audit pp23-57.","_noether_archaeology_20260705/extracted_today_20260705/Noether_R603_LocalCodex_R602_P02ResidualTriage_NoPatch_20260702/.../audit/P02_R603_triage.csv; summary_R603.json; P02_comparison_results_R603.csv","R603 prevents stale inherited R122 crosswalk rows from looking like active P02 work. Known no-fix traps remain: body `L_j^2` and the `H_3` / `H^3u` distinction. This aggregate closure was disproved by the 2026-07-18 second pass, which found 508 linked-family substitutions and eight table repairs."
"P02","39","1","Noether_LocalCodex_20260705_P24p233_SourceStyleRecovery_from_R796","2026-07-05","origin=R603_queue_control_no_patch_closure","aggregate P02 body/table current-branch survival check","no new source-backed patch found","n/a: R603 promotes no TeX patch; current P02 body equals the R273 closure extract after wrapper-only normalization and current table block equals the RA34 validated table reference","superseded_by_20260718_page_level_secondpass","0","","Use the 39 canonical rows for pp58-90/leaves91-96; separately audit pp23-57.","_noether_archaeology_20260705/extracted_today_20260705/Noether_R603_LocalCodex_R602_P02ResidualTriage_NoPatch_20260702/.../audit/P02_R603_triage.csv; summary_R603.json; P02_comparison_results_R603.csv","R603 prevents stale inherited R122 crosswalk rows from looking like active P02 work. Known no-fix traps remain: body `L_j^2` and the `H_3` / `H^3u` distinction. This aggregate closure was disproved by the 2026-07-18 second pass, which found 508 linked-family substitutions and eight table repairs."
"P02","40","1","Noether_LocalCodex_20260705_P24p233_SourceStyleRecovery_from_R796","2026-07-05","origin=R603_queue_control_no_patch_closure","aggregate P02 body/table current-branch survival check","no new source-backed patch found","n/a: R603 promotes no TeX patch; current P02 body equals the R273 closure extract after wrapper-only normalization and current table block equals the RA34 validated table reference","superseded_by_20260718_page_level_secondpass","0","","Use the 39 canonical rows for pp58-90/leaves91-96; separately audit pp23-57.","_noether_archaeology_20260705/extracted_today_20260705/Noether_R603_LocalCodex_R602_P02ResidualTriage_NoPatch_20260702/.../audit/P02_R603_triage.csv; summary_R603.json; P02_comparison_results_R603.csv","R603 prevents stale inherited R122 crosswalk rows from looking like active P02 work. Known no-fix traps remain: body `L_j^2` and the `H_3` / `H^3u` distinction. This aggregate closure was disproved by the 2026-07-18 second pass, which found 508 linked-family substitutions and eight table repairs."
"P02","41","1","Noether_LocalCodex_20260705_P24p233_SourceStyleRecovery_from_R796","2026-07-05","origin=R603_queue_control_no_patch_closure","aggregate P02 body/table current-branch survival check","no new source-backed patch found","n/a: R603 promotes no TeX patch; current P02 body equals the R273 closure extract after wrapper-only normalization and current table block equals the RA34 validated table reference","superseded_by_20260718_page_level_secondpass","0","","Use the 39 canonical rows for pp58-90/leaves91-96; separately audit pp23-57.","_noether_archaeology_20260705/extracted_today_20260705/Noether_R603_LocalCodex_R602_P02ResidualTriage_NoPatch_20260702/.../audit/P02_R603_triage.csv; summary_R603.json; P02_comparison_results_R603.csv","R603 prevents stale inherited R122 crosswalk rows from looking like active P02 work. Known no-fix traps remain: body `L_j^2` and the `H_3` / `H^3u` distinction. This aggregate closure was disproved by the 2026-07-18 second pass, which found 508 linked-family substitutions and eight table repairs."
