"paper","printed_page_or_range","current_head","last_updated_utc","source_witness_or_basis","source_quality","audited_by_or_qc_instances","audit_depth","fixes_found","fixes_integrated","current_status","next_action","evidence_files","notes"
"P03","102","Noether_LocalCodex_20260718_P04p133_Eq28_SourceFix","2026-07-18","Noether_P03_GDZ_DMV19_1910_p102_canvas00000110_fullres.jpg; Noether_P03_Zur_Invariantentheorie_DMV19_1910_pp101_104_GDZ_article.pdf","complete original GDZ article page; raw page 3352x5277 plus high-detail prior inspection witness","RA57 complete-page audit; R273 survival comparison; LocalCodex 2026-07-18 live-span/source reconciliation (3 source-reading/survival instances)","complete printed page: symbolic-method prose, Study and dissertation footnotes, folding-product notation, n-variable transition, matrix correspondence statement and source emphasis","no new patch; inherited emphasis on `in den Reihen S^rho explizite symbolische Darstellung` is source-visible and retained","not applicable; current live text matches source","closed_current_head_complete_page_source_checked_best_available","Reopen only on a concrete source contradiction.","p03_RA57_source_page_dispositions.csv; P03_current_span_lines3520_3561.tex; live-vs-prior span comparison; raw p102","[Canonicalized 2026-07-18 from 1 record(s). Prior head value(s): cum_de_Local_20260718_P01FullPaperClosed_after_P30EvidenceReconcile.] The later emphasis edit is an improvement over the prior audited span, not unverified style normalization."
"P03","103","Noether_LocalCodex_20260718_P04p133_Eq28_SourceFix","2026-07-18","Noether_P03_GDZ_DMV19_1910_p103_canvas00000111_fullres.jpg; P03_source_p103_formula1_formula2_LABELLED_1000dpi_inspection.png","complete original GDZ article page; raw page 3352x5277 plus 1000 dpi formula witness","RA57 complete-page and formula audit; R273 survival comparison; LocalCodex 2026-07-18 live-span/source reconciliation (3 source-reading/survival instances)","complete dense printed page: matrix-product definition, formula (1), formula (2), Pascal footnote, linked rho-index family, inequality, prose and emphasis","prior formula (2) correction `< n` to `\le n` survives; inherited emphasis on the explicit matrix-product claim is source-visible; no new patch","yes; prior RA57 mathematical fix retained and source reconfirmed","closed_current_head_complete_page_source_checked_best_available","Keep `\rho=\sum_{i=1}^{k}\rho_i\le n`; reopen only on a concrete source contradiction.","p03_RA57_confirmed_fixes.csv; P03_source_p103_formula1_formula2_LABELLED_1000dpi_inspection.png; current TeX lines 3540-3555","[Canonicalized 2026-07-18 from 1 record(s). Prior head value(s): cum_de_Local_20260718_P01FullPaperClosed_after_P30EvidenceReconcile.] The inequality is a consequential source-backed mathematical guardrail."
"P03","104","Noether_LocalCodex_20260718_P04p133_Eq28_SourceFix","2026-07-18","Noether_P03_GDZ_DMV19_1910_p104_canvas00000112_fullres.jpg; Noether_P03_Zur_Invariantentheorie_DMV19_1910_pp101_104_GDZ_article.pdf","complete original GDZ article page; raw page 3352x5277 plus high-detail prior inspection witness","RA57 complete-page audit; R273 survival comparison; LocalCodex 2026-07-18 live-span/source reconciliation (3 source-reading/survival instances)","complete printed page: ending proof/prose, Mertens footnote, differential-operator statement, source emphasis, article termination and following-paper boundary","no new patch; inherited emphasis on generation by successive cogredient contractions of defect 1 is source-visible and retained","not applicable; current live text matches source","closed_current_head_complete_page_source_checked_best_available","Reopen only on a concrete source contradiction.","p03_RA57_source_page_dispositions.csv; P03_current_span_lines3520_3561.tex; live-vs-prior span comparison; raw p104","[Canonicalized 2026-07-18 from 1 record(s). Prior head value(s): cum_de_Local_20260718_P01FullPaperClosed_after_P30EvidenceReconcile.] Noether's article ends before the following article on the shared source page; no terminal material is omitted."
"P04","118","Noether_LocalCodex_20260718_P04p133_Eq28_SourceFix","2026-07-18","P04_Crelle139_360ppi_source.pdf; RA41 source page index 0","best available complete original-publication article; 360 ppi class, enlarged as needed","RA36 legacy complete-page pass; RA41 aggregate closure; LocalCodex 2026-07-18 exact current-span survival comparison || English/Germanic manager source-defect notice; LocalCodex independent scan and bibliographic adjudication 2026-07-18","complete legacy source page opened/compared in RA36; current article body content-diffed against final RA41; not misrepresented as a fresh 2026-07-18 visual re-audit || original-print bibliographic-error check","legacy page-specific fix count not normalized in retained summary; no regression or loss detected by exact RA41-to-live content comparison","yes; RA41 body content survives current head","closed_current_head_legacy_complete_page_source_audit_content_survival_checked || source_bibliographic_error_documented_body_preserved","Reopen only on a concrete source contradiction or if an independent second visual pass is explicitly prioritized. || Preserve printed Bd. 1 in diplomatic German; expose correct vol. 10 (1909), pp. 1-49 only through apparatus or disclosed translation note","N_SYM_RA41_P04_complete_20260613/02_audit/WORKSPACE_STATE_RA41.md; P04_RA41_to_current.diff; P04_CURRENT_SURVIVAL_SUMMARY_20260718.csv; RA41 aggregate closure; tranche-specific page ledger not retained in current core || paper_04_crelle139_pp118_154_ORIGINAL.pdf SHA256 D7F7CE6D4B311FFD968ED47DC9C1478CFFCF9F446A86BF90263E0C9D1B41C9EF; zbMATH/Study bibliographic control","[Canonicalized 2026-07-18 from 1 record(s). Prior head value(s): cum_de_Local_20260718_P01FullPaperClosed_after_P30EvidenceReconcile.] Canonical row migrated from the documented RA36-RA41 closure; batch attribution follows the sequential tranche scope recorded by RA41. || Printed source reads Transactions ... Bd. 1 [1909]; bibliographic control is vol. 10 (1909), pp. 1-49. No silent German-body emendation."
"P04","119","Noether_LocalCodex_20260718_P04p133_Eq28_SourceFix","2026-07-18","P04_Crelle139_360ppi_source.pdf; RA41 source page index 1","best available complete original-publication article; 360 ppi class, enlarged as needed","RA36 legacy complete-page pass; RA41 aggregate closure; LocalCodex 2026-07-18 exact current-span survival comparison","complete legacy source page opened/compared in RA36; current article body content-diffed against final RA41; not misrepresented as a fresh 2026-07-18 visual re-audit","legacy page-specific fix count not normalized in retained summary; no regression or loss detected by exact RA41-to-live content comparison","yes; RA41 body content survives current head","closed_current_head_legacy_complete_page_source_audit_content_survival_checked","Reopen only on a concrete source contradiction or if an independent second visual pass is explicitly prioritized.","N_SYM_RA41_P04_complete_20260613/02_audit/WORKSPACE_STATE_RA41.md; P04_RA41_to_current.diff; P04_CURRENT_SURVIVAL_SUMMARY_20260718.csv; RA41 aggregate closure; tranche-specific page ledger not retained in current core","[Canonicalized 2026-07-18 from 1 record(s). Prior head value(s): cum_de_Local_20260718_P01FullPaperClosed_after_P30EvidenceReconcile.] Canonical row migrated from the documented RA36-RA41 closure; batch attribution follows the sequential tranche scope recorded by RA41."
"P04","120","Noether_LocalCodex_20260718_P04p133_Eq28_SourceFix","2026-07-18","P04_Crelle139_360ppi_source.pdf; RA41 source page index 2","best available complete original-publication article; 360 ppi class, enlarged as needed","RA36 legacy complete-page pass; RA41 aggregate closure; LocalCodex 2026-07-18 exact current-span survival comparison","complete legacy source page opened/compared in RA36; current article body content-diffed against final RA41; not misrepresented as a fresh 2026-07-18 visual re-audit","legacy page-specific fix count not normalized in retained summary; no regression or loss detected by exact RA41-to-live content comparison","yes; RA41 body content survives current head","closed_current_head_legacy_complete_page_source_audit_content_survival_checked","Reopen only on a concrete source contradiction or if an independent second visual pass is explicitly prioritized.","N_SYM_RA41_P04_complete_20260613/02_audit/WORKSPACE_STATE_RA41.md; P04_RA41_to_current.diff; P04_CURRENT_SURVIVAL_SUMMARY_20260718.csv; RA41 aggregate closure; tranche-specific page ledger not retained in current core","[Canonicalized 2026-07-18 from 1 record(s). Prior head value(s): cum_de_Local_20260718_P01FullPaperClosed_after_P30EvidenceReconcile.] Canonical row migrated from the documented RA36-RA41 closure; batch attribution follows the sequential tranche scope recorded by RA41."
"P04","121","Noether_LocalCodex_20260718_P04p133_Eq28_SourceFix","2026-07-18","P04_Crelle139_360ppi_source.pdf; RA41 source page index 3","best available complete original-publication article; 360 ppi class, enlarged as needed","RA36 legacy complete-page pass; RA41 aggregate closure; LocalCodex 2026-07-18 exact current-span survival comparison","complete legacy source page opened/compared in RA36; current article body content-diffed against final RA41; not misrepresented as a fresh 2026-07-18 visual re-audit","legacy page-specific fix count not normalized in retained summary; no regression or loss detected by exact RA41-to-live content comparison","yes; RA41 body content survives current head","closed_current_head_legacy_complete_page_source_audit_content_survival_checked","Reopen only on a concrete source contradiction or if an independent second visual pass is explicitly prioritized.","N_SYM_RA41_P04_complete_20260613/02_audit/WORKSPACE_STATE_RA41.md; P04_RA41_to_current.diff; P04_CURRENT_SURVIVAL_SUMMARY_20260718.csv; RA41 aggregate closure; tranche-specific page ledger not retained in current core","[Canonicalized 2026-07-18 from 1 record(s). Prior head value(s): cum_de_Local_20260718_P01FullPaperClosed_after_P30EvidenceReconcile.] Canonical row migrated from the documented RA36-RA41 closure; batch attribution follows the sequential tranche scope recorded by RA41."
"P04","122","Noether_LocalCodex_20260718_P04p133_Eq28_SourceFix","2026-07-18","P04_Crelle139_360ppi_source.pdf; RA41 source page index 4","best available complete original-publication article; 360 ppi class, enlarged as needed","RA37 legacy complete-page pass; RA41 aggregate closure; LocalCodex 2026-07-18 exact current-span survival comparison","complete legacy source page opened/compared in RA37; current article body content-diffed against final RA41; not misrepresented as a fresh 2026-07-18 visual re-audit","legacy page-specific fix count not normalized in retained summary; no regression or loss detected by exact RA41-to-live content comparison","yes; RA41 body content survives current head","closed_current_head_legacy_complete_page_source_audit_content_survival_checked","Reopen only on a concrete source contradiction or if an independent second visual pass is explicitly prioritized.","N_SYM_RA41_P04_complete_20260613/02_audit/WORKSPACE_STATE_RA41.md; P04_RA41_to_current.diff; P04_CURRENT_SURVIVAL_SUMMARY_20260718.csv; retained tranche-specific page ledger plus RA41 aggregate closure","[Canonicalized 2026-07-18 from 1 record(s). Prior head value(s): cum_de_Local_20260718_P01FullPaperClosed_after_P30EvidenceReconcile.] Canonical row migrated from the documented RA36-RA41 closure; batch attribution follows the sequential tranche scope recorded by RA41."
"P04","123","Noether_LocalCodex_20260718_P04p133_Eq28_SourceFix","2026-07-18","P04_Crelle139_360ppi_source.pdf; RA41 source page index 5","best available complete original-publication article; 360 ppi class, enlarged as needed","RA37 legacy complete-page pass; RA41 aggregate closure; LocalCodex 2026-07-18 exact current-span survival comparison","complete legacy source page opened/compared in RA37; current article body content-diffed against final RA41; not misrepresented as a fresh 2026-07-18 visual re-audit","legacy page-specific fix count not normalized in retained summary; no regression or loss detected by exact RA41-to-live content comparison","yes; RA41 body content survives current head","closed_current_head_legacy_complete_page_source_audit_content_survival_checked","Reopen only on a concrete source contradiction or if an independent second visual pass is explicitly prioritized.","N_SYM_RA41_P04_complete_20260613/02_audit/WORKSPACE_STATE_RA41.md; P04_RA41_to_current.diff; P04_CURRENT_SURVIVAL_SUMMARY_20260718.csv; retained tranche-specific page ledger plus RA41 aggregate closure","[Canonicalized 2026-07-18 from 1 record(s). Prior head value(s): cum_de_Local_20260718_P01FullPaperClosed_after_P30EvidenceReconcile.] Canonical row migrated from the documented RA36-RA41 closure; batch attribution follows the sequential tranche scope recorded by RA41."
"P04","124","Noether_LocalCodex_20260718_P04p133_Eq28_SourceFix","2026-07-18","P04_Crelle139_360ppi_source.pdf; RA41 source page index 6","best available complete original-publication article; 360 ppi class, enlarged as needed","RA37 legacy complete-page pass; RA41 aggregate closure; LocalCodex 2026-07-18 exact current-span survival comparison","complete legacy source page opened/compared in RA37; current article body content-diffed against final RA41; not misrepresented as a fresh 2026-07-18 visual re-audit","legacy page-specific fix count not normalized in retained summary; no regression or loss detected by exact RA41-to-live content comparison","yes; RA41 body content survives current head","closed_current_head_legacy_complete_page_source_audit_content_survival_checked","Reopen only on a concrete source contradiction or if an independent second visual pass is explicitly prioritized.","N_SYM_RA41_P04_complete_20260613/02_audit/WORKSPACE_STATE_RA41.md; P04_RA41_to_current.diff; P04_CURRENT_SURVIVAL_SUMMARY_20260718.csv; retained tranche-specific page ledger plus RA41 aggregate closure","[Canonicalized 2026-07-18 from 1 record(s). Prior head value(s): cum_de_Local_20260718_P01FullPaperClosed_after_P30EvidenceReconcile.] Canonical row migrated from the documented RA36-RA41 closure; batch attribution follows the sequential tranche scope recorded by RA41."
"P04","125","Noether_LocalCodex_20260718_P04p133_Eq28_SourceFix","2026-07-18","P04_Crelle139_360ppi_source.pdf; RA41 source page index 7","best available complete original-publication article; 360 ppi class, enlarged as needed","RA37 legacy complete-page pass; RA41 aggregate closure; LocalCodex 2026-07-18 exact current-span survival comparison","complete legacy source page opened/compared in RA37; current article body content-diffed against final RA41; not misrepresented as a fresh 2026-07-18 visual re-audit","legacy page-specific fix count not normalized in retained summary; no regression or loss detected by exact RA41-to-live content comparison","yes; RA41 body content survives current head","closed_current_head_legacy_complete_page_source_audit_content_survival_checked","Reopen only on a concrete source contradiction or if an independent second visual pass is explicitly prioritized.","N_SYM_RA41_P04_complete_20260613/02_audit/WORKSPACE_STATE_RA41.md; P04_RA41_to_current.diff; P04_CURRENT_SURVIVAL_SUMMARY_20260718.csv; retained tranche-specific page ledger plus RA41 aggregate closure","[Canonicalized 2026-07-18 from 1 record(s). Prior head value(s): cum_de_Local_20260718_P01FullPaperClosed_after_P30EvidenceReconcile.] Canonical row migrated from the documented RA36-RA41 closure; batch attribution follows the sequential tranche scope recorded by RA41."
"P04","126","Noether_LocalCodex_20260718_P04p133_Eq28_SourceFix","2026-07-18","P04_Crelle139_360ppi_source.pdf; RA41 source page index 8","best available complete original-publication article; 360 ppi class, enlarged as needed","RA37 legacy complete-page pass; RA41 aggregate closure; LocalCodex 2026-07-18 exact current-span survival comparison || English/Germanic manager independent section audit; LocalCodex original-scan adjudication 2026-07-18","complete legacy source page opened/compared in RA37; current article body content-diffed against final RA41; not misrepresented as a fresh 2026-07-18 visual re-audit || exact formula-(7) note-call and sigma relation check","legacy page-specific fix count not normalized in retained summary; no regression or loss detected by exact RA41-to-live content comparison || Removed duplicated lambda-range footnote absent from print; restored source sigma>=tau after lost equality stroke","yes; RA41 body content survives current head || yes: second lambda note deleted and sigma>tau changed to sigma>=tau in current cumulative","closed_current_head_after_source_backed_P04p126_geq_and_duplicate_note_repair","No action unless contradicted; translation branches must restore sigma>=tau and must not duplicate the lambda note","N_SYM_RA41_P04_complete_20260613/02_audit/WORKSPACE_STATE_RA41.md; P04_RA41_to_current.diff; P04_CURRENT_SURVIVAL_SUMMARY_20260718.csv; retained tranche-specific page ledger plus RA41 aggregate closure || P04 original p126; local p126 image SHA256 A8056877D6D6FE2E5FB4489F8A627FA953BA24B1F826A9EED09B0CB516465C74; shared alert N04-P04-R823-001/002","[Canonicalized 2026-07-18 from 1 record(s). Prior head value(s): cum_de_Local_20260718_P01FullPaperClosed_after_P30EvidenceReconcile.] Canonical row migrated from the documented RA36-RA41 closure; batch attribution follows the sequential tranche scope recorded by RA41. || Both defects were independently source-confirmed. The equality-stroke loss is mathematically substantive."
"P04","127","Noether_LocalCodex_20260718_P04p133_Eq28_SourceFix","2026-07-18","P04_Crelle139_360ppi_source.pdf; RA41 source page index 9","best available complete original-publication article; 360 ppi class, enlarged as needed","RA37 legacy complete-page pass; RA41 aggregate closure; LocalCodex 2026-07-18 exact current-span survival comparison || English/Germanic manager negative-control notice; LocalCodex original p127 visual confirmation 2026-07-18","complete legacy source page opened/compared in RA37; current article body content-diffed against final RA41; not misrepresented as a fresh 2026-07-18 visual re-audit || formula (11) operator-structure negative control","legacy page-specific fix count not normalized in retained summary; no regression or loss detected by exact RA41-to-live content comparison","yes; RA41 body content survives current head","closed_current_head_legacy_complete_page_source_audit_content_survival_checked || closed_no_patch_formula11_mixed_operator_guard","Reopen only on a concrete source contradiction or if an independent second visual pass is explicitly prioritized. || Do not homogenize formula (11): one pairing/matrix product followed by one ordinary product is source-correct","N_SYM_RA41_P04_complete_20260613/02_audit/WORKSPACE_STATE_RA41.md; P04_RA41_to_current.diff; P04_CURRENT_SURVIVAL_SUMMARY_20260718.csv; retained tranche-specific page ledger plus RA41 aggregate closure || P04 original p127 image visually checked 2026-07-18","[Canonicalized 2026-07-18 from 1 record(s). Prior head value(s): cum_de_Local_20260718_P01FullPaperClosed_after_P30EvidenceReconcile.] Canonical row migrated from the documented RA36-RA41 closure; batch attribution follows the sequential tranche scope recorded by RA41."
