entry_id,lemma,english_gloss,class,variant_count,variants_sample,provenance,status,source_use,permitted_use_weight,support_path_weight,review_risk_weight,automaton_path
reg-ekvivalentny,ekvivalentny,equivalent,math_general,7,ekvivalentne; ekvivalentny; ekvivalent; ekvivalentnym; ekvivalentnyh; ekvivalentnymi; ekvivalencije,chatgpt_v1;chatgpt_v4_longtail_attach,proposed_internal_insert; needs linguistic review,generated_internal_consistency,0.35,0.2892,0.4,START -> PROOF_REGISTER[0.35] -> LEMMA -> VARIANT_SET[7] -> REVIEW[0.60]
reg-fakt,fakt,fact,discourse_noun,5,fakt; faktično; faktov; faktu; faktom,chatgpt_v1;chatgpt_v4_longtail_attach,proposed_internal_insert; needs linguistic review,generated_internal_consistency,0.35,0.2497,0.4,START -> PROOF_REGISTER[0.35] -> LEMMA -> VARIANT_SET[5] -> REVIEW[0.60]
reg-gore,gore,above,location_marker,1,gore,chatgpt_v1,proposed_internal_insert; needs linguistic review,generated_internal_consistency,0.35,0.0774,0.4,START -> PROOF_REGISTER[0.35] -> LEMMA -> VARIANT_SET[1] -> REVIEW[0.60]
reg-govoriti,govoriti,says; speaks,discourse_predicate,4,govori; govoriti; govorimo; govoret,chatgpt_v1;chatgpt_v4_longtail_attach,proposed_internal_insert; needs linguistic review,generated_internal_consistency,0.35,0.2212,0.4,START -> PROOF_REGISTER[0.35] -> LEMMA -> VARIANT_SET[4] -> REVIEW[0.60]
reg-imenno,imenno,namely; exactly,discourse_adverb,9,imenno; imenně; imeno; imenom; imenovane; naime; namrec; namreč; totiž,chatgpt_v1;chatgpt_v4_longtail_attach;fable_pass28_kwic;fable_pass29_kwic,proposed_internal_insert; needs linguistic review,generated_internal_consistency,0.35,0.3131,0.4,START -> PROOF_REGISTER[0.35] -> LEMMA -> VARIANT_SET[9] -> REVIEW[0.60]
reg-inače,inače,otherwise,discourse_connective,2,inako; inače,chatgpt_v1,proposed_internal_insert; needs linguistic review,generated_internal_consistency,0.35,0.1377,0.4,START -> PROOF_REGISTER[0.35] -> LEMMA -> VARIANT_SET[2] -> REVIEW[0.60]
reg-izčezati,izčezati,vanishes,vanishing_predicate,13,isčezaje; izcezn; izčezaje; izčezajut; izčezajuče; izčezajuči; izčezanju; izčezati; izčezava; izčezly; izčezne; izčeznjenje,chatgpt_v1;chatgpt_v4_longtail_attach;fable_pass29_kwic;fable_pass29b,proposed_internal_insert; needs linguistic review,generated_internal_consistency,0.35,0.3364,0.4,START -> PROOF_REGISTER[0.35] -> LEMMA -> VARIANT_SET[13] -> REVIEW[0.60]
reg-jeden,jeden,one; a certain,quantifier,1,jeden,chatgpt_v1,proposed_internal_insert; needs linguistic review,generated_internal_consistency,0.35,0.0774,0.4,START -> PROOF_REGISTER[0.35] -> LEMMA -> VARIANT_SET[1] -> REVIEW[0.60]
well-defined,jednoznačno oprěděljeny,well-defined / uniquely determined,proof_grammar,16,jednoznacn; jednoznačn; opredel; oprěděl; opreděljenogo; opreděljenoj; opreděljenja; opreděljeny; opreděljenu; opreděljenom; opredělimo; opreděljenyh,fable_v1;chatgpt_v4_longtail_attach,proposed_internal_insert; needs linguistic review,generated_internal_consistency,0.35,0.3436,0.4,START -> PROOF_REGISTER[0.35] -> LEMMA -> VARIANT_SET[16] -> REVIEW[0.60]
reg-jego,jego,its/his; anaphoric reference,pronoun_reference,1,jego,chatgpt_v1,proposed_internal_insert; needs linguistic review,generated_internal_consistency,0.35,0.0774,0.4,START -> PROOF_REGISTER[0.35] -> LEMMA -> VARIANT_SET[1] -> REVIEW[0.60]
reg-ješče,ješče,still; yet; additionally,discourse_adverb,4,ešte; ješče; josce; jošče,chatgpt_v1;fable_pass28_kwic,proposed_internal_insert; needs linguistic review,generated_internal_consistency,0.35,0.2212,0.4,START -> PROOF_REGISTER[0.35] -> LEMMA -> VARIANT_SET[4] -> REVIEW[0.60]
reg-koliko,koliko,how much; as many,quantity_marker,1,koliko,chatgpt_v1,proposed_internal_insert; needs linguistic review,generated_internal_consistency,0.35,0.0774,0.4,START -> PROOF_REGISTER[0.35] -> LEMMA -> VARIANT_SET[1] -> REVIEW[0.60]
reg-kromě,kromě,besides; except,discourse_connective,1,kromě,chatgpt_v1,proposed_internal_insert; needs linguistic review,generated_internal_consistency,0.35,0.0774,0.4,START -> PROOF_REGISTER[0.35] -> LEMMA -> VARIANT_SET[1] -> REVIEW[0.60]
reg-legko,legko,easily,modality,2,lahko; legko,chatgpt_v1;fable_pass27_kwic,proposed_internal_insert; needs linguistic review,generated_internal_consistency,0.35,0.1377,0.4,START -> PROOF_REGISTER[0.35] -> LEMMA -> VARIANT_SET[2] -> REVIEW[0.60]
reg-ležati,ležati,lies; belongs,set_membership_predicate,9,lezet; ležat; ležati; leže; ležet; ležeče; ležeči; ležečih; leži,chatgpt_v1;chatgpt_v4_longtail_attach;fable_pass29_kwic;fable_v4_review,proposed_internal_insert; needs linguistic review,generated_internal_consistency,0.35,0.3131,0.4,START -> PROOF_REGISTER[0.35] -> LEMMA -> VARIANT_SET[9] -> REVIEW[0.60]
arbitrary,libovoljny,arbitrary,proof_grammar,9,libovoljn; proizvoljn; libovolno; libovolne; libovolnymi; libovolnyh; libovolnogo; libovolnom; libovolnu,fable_v1;chatgpt_v4_longtail_attach,proposed_internal_insert; needs linguistic review,generated_internal_consistency,0.35,0.3131,0.4,START -> PROOF_REGISTER[0.35] -> LEMMA -> VARIANT_SET[9] -> REVIEW[0.60]
reg-metod,metod,methods,math_general,6,metod; metody; metodu; metodov; metodah; metodam,chatgpt_v1;chatgpt_v4_longtail_attach,proposed_internal_insert; needs linguistic review,generated_internal_consistency,0.35,0.2719,0.4,START -> PROOF_REGISTER[0.35] -> LEMMA -> VARIANT_SET[6] -> REVIEW[0.60]
reg-mogti,mogti,can/may (plural),modal,5,mogl; moglo; mogti; mogu; mogut,chatgpt_v1;fable_pass27_kwic;fable_pass29_kwic,proposed_internal_insert; needs linguistic review,generated_internal_consistency,0.35,0.2497,0.4,START -> PROOF_REGISTER[0.35] -> LEMMA -> VARIANT_SET[5] -> REVIEW[0.60]
reg-morati,morati,must,modal,9,mora; morajut; morati; muset; musi; moraju; musil; musimo; musili,chatgpt_v1;chatgpt_v4_longtail_attach,proposed_internal_insert; needs linguistic review,generated_internal_consistency,0.35,0.3131,0.4,START -> PROOF_REGISTER[0.35] -> LEMMA -> VARIANT_SET[9] -> REVIEW[0.60]
reg-najmanje,najmanje,at least,comparison_marker,2,najmanje; najmanjšego,chatgpt_v1;chatgpt_v4_longtail_attach,proposed_internal_insert; needs linguistic review,generated_internal_consistency,0.35,0.1377,0.4,START -> PROOF_REGISTER[0.35] -> LEMMA -> VARIANT_SET[2] -> REVIEW[0.60]
reg-naležati,naležati,belongs; is contained/located,set_membership_predicate,13,nalez; nalež; naležati; naleži; naležeči; naležeča; naležečih; naležeču; naležečej; naležali; naleženja; naležečego,chatgpt_v1;fable_v1;chatgpt_v4_longtail_attach,proposed_internal_insert; needs linguistic review,generated_internal_consistency,0.35,0.3364,0.4,START -> PROOF_REGISTER[0.35] -> LEMMA -> VARIANT_SET[13] -> REVIEW[0.60]
reg-napr.,napr.,for example / e.g.,abbreviation,6,napr; napr.; napriměr; napravdu; naprijed; naproti,chatgpt_v1;chatgpt_v4_longtail_attach,proposed_internal_insert; needs linguistic review,generated_internal_consistency,0.35,0.2719,0.4,START -> PROOF_REGISTER[0.35] -> LEMMA -> VARIANT_SET[6] -> REVIEW[0.60]
reg-nastavati,nastavati,arises/comes about,sequence_predicate,18,nastaja; nastaje; nastal; nastalo; nastane; nastavaje; nastavati; nastajut; nastali; nastati; nastajuča; nastavajučih,chatgpt_v1;chatgpt_v4_longtail_attach,proposed_internal_insert; needs linguistic review,generated_internal_consistency,0.35,0.3461,0.4,START -> PROOF_REGISTER[0.35] -> LEMMA -> VARIANT_SET[18] -> REVIEW[0.60]
reg-nastupati,nastupati,arise/occur/follow,sequence_predicate,8,nastupaje; nastupajut; nastupati; nastupiti; nastupajuče; nastupajučih; nastupanje; nastupajuči,chatgpt_v1;chatgpt_v4_longtail_attach,proposed_internal_insert; needs linguistic review,generated_internal_consistency,0.35,0.3026,0.4,START -> PROOF_REGISTER[0.35] -> LEMMA -> VARIANT_SET[8] -> REVIEW[0.60]
is-called,nazyvaje se,is called / is named,proof_grammar,21,naziva; nazivajut; nazva; nazvane; nazvanje; nazvano; nazvany; nazyva; nazyvaje; nazyvajut; nazyvamo; nazyvana,chatgpt_v1;chatgpt_v4_longtail_attach;fable_pass29_kwic;fable_v1,proposed_internal_insert; needs linguistic review,generated_internal_consistency,0.35,0.3482,0.4,START -> PROOF_REGISTER[0.35] -> LEMMA -> VARIANT_SET[21] -> REVIEW[0.60]
reg-nehaj,nehaj,let; suppose,proof_directive,3,neha; nehaj; neka,chatgpt_v1;fable_v4_review,proposed_internal_insert; needs linguistic review,generated_internal_consistency,0.35,0.1847,0.4,START -> PROOF_REGISTER[0.35] -> LEMMA -> VARIANT_SET[3] -> REVIEW[0.60]
reg-njih,njih,their/them,pronoun_reference,6,njih; njihov; njihova; njihovo; njim; njimi,chatgpt_v1;chatgpt_v4_longtail_attach;fable_pass27_kwic,proposed_internal_insert; needs linguistic review,generated_internal_consistency,0.35,0.2719,0.4,START -> PROOF_REGISTER[0.35] -> LEMMA -> VARIANT_SET[6] -> REVIEW[0.60]
reg-novy,novy,new,modifier,6,nove; novej; novih; novo; novy; novym,chatgpt_v1;chatgpt_v4_longtail_attach;fable_pass27_kwic,proposed_internal_insert; needs linguistic review,generated_internal_consistency,0.35,0.2719,0.4,START -> PROOF_REGISTER[0.35] -> LEMMA -> VARIANT_SET[6] -> REVIEW[0.60]
reg-nužno,nužno,necessarily; it is necessary,modal,4,neobhodimo; neobhodn; nužno; nužnym,chatgpt_v1;fable_v4_review,proposed_internal_insert; needs linguistic review,generated_internal_consistency,0.35,0.2212,0.4,START -> PROOF_REGISTER[0.35] -> LEMMA -> VARIANT_SET[4] -> REVIEW[0.60]
reg-několiko,několiko,several,quantifier,3,nekoliko; několiko; několikyh,chatgpt_v1;chatgpt_v4_longtail_attach;fable_pass27_kwic,proposed_internal_insert; needs linguistic review,generated_internal_consistency,0.35,0.1847,0.4,START -> PROOF_REGISTER[0.35] -> LEMMA -> VARIANT_SET[3] -> REVIEW[0.60]
reg-obstajati,obstajati,exists,existence_predicate,8,obstaja; obstajanja; obstajanje; obstajati; obstaje; obstavaje; obstavanje; postoji,chatgpt_v1;chatgpt_v4_longtail_attach;fable_v4_review,proposed_internal_insert; needs linguistic review,generated_internal_consistency,0.35,0.3026,0.4,START -> PROOF_REGISTER[0.35] -> LEMMA -> VARIANT_SET[8] -> REVIEW[0.60]
reg-obći,obći,general — orthographic scatter obće/obču/vobče/voobče,discourse_adverb,27,najobcejs; najobče; najobčejš; najobčejša; najobčejšej; najobčejših; najobčejšim; najobščejše; najobščejših; obcego; obcu; obća,chatgpt_v1;chatgpt_v4_longtail_attach;fable_pass28_kwic;fable_pass29_kwic;fable_pass8;fable_v4_review,proposed_internal_insert; needs linguistic review,generated_internal_consistency,0.35,0.3496,0.4,START -> PROOF_REGISTER[0.35] -> LEMMA -> VARIANT_SET[27] -> REVIEW[0.60]
reg-odnovrěmenno,odnovrěmenno,simultaneously,discourse_adverb,6,istocasno; istočasno; odnovocasno; odnovočasno; odnovrěmenno; odnovremenno,chatgpt_v1;chatgpt_v4_longtail_attach,proposed_internal_insert; needs linguistic review,generated_internal_consistency,0.35,0.2719,0.4,START -> PROOF_REGISTER[0.35] -> LEMMA -> VARIANT_SET[6] -> REVIEW[0.60]
respectively-adv,odpovědno,respectively,proof_grammar,14,odpovedn; odpovědn; sootvetstv; odpovědajut; sootvěčajut; odpověda; odpovědajuči; sootvětstvujut; sootvěčne; sootvěčno; odpovědajučih; sootvetnomu,fable_v1;chatgpt_v4_longtail_attach,proposed_internal_insert; needs linguistic review,generated_internal_consistency,0.35,0.3394,0.4,START -> PROOF_REGISTER[0.35] -> LEMMA -> VARIANT_SET[14] -> REVIEW[0.60]
reg-opirati se,opirati se,rests/relies on,proof_predicate,4,opira; opiraje; opirati se; opirajut,chatgpt_v1;chatgpt_v4_longtail_attach,proposed_internal_insert; needs linguistic review,generated_internal_consistency,0.35,0.2212,0.4,START -> PROOF_REGISTER[0.35] -> LEMMA -> VARIANT_SET[4] -> REVIEW[0.60]
reg-opreděljenje,opreděljenje,definition,definition_marker,1,opreděljenje,chatgpt_v1,proposed_internal_insert; needs linguistic review,generated_internal_consistency,0.35,0.0774,0.4,START -> PROOF_REGISTER[0.35] -> LEMMA -> VARIANT_SET[1] -> REVIEW[0.60]
foundation-basis,osnova,foundation / basis (osnova),proof_grammar,5,baze; bazoj; bazoju; bazě; osnov,fable_v1;chatgpt_v4_longtail_attach,proposed_internal_insert; needs linguistic review,generated_internal_consistency,0.35,0.2497,0.4,START -> PROOF_REGISTER[0.35] -> LEMMA -> VARIANT_SET[5] -> REVIEW[0.60]
reg-osoblivo,osoblivo,especially; in particular,discourse_adverb,8,osobito; osoblivo; osoblive; osoblivyh; osoblivu; osobliva; osoblivoj; osoblivym,chatgpt_v1;chatgpt_v4_longtail_attach,proposed_internal_insert; needs linguistic review,generated_internal_consistency,0.35,0.3026,0.4,START -> PROOF_REGISTER[0.35] -> LEMMA -> VARIANT_SET[8] -> REVIEW[0.60]
denotes,označaje,denotes / designates,proof_grammar,2,oznac; označ,fable_v1,proposed_internal_insert; needs linguistic review,generated_internal_consistency,0.35,0.1377,0.4,START -> PROOF_REGISTER[0.35] -> LEMMA -> VARIANT_SET[2] -> REVIEW[0.60]
reg-platiti,platiti/važiti,holds; applies,validity_predicate,2,plati; platiti,chatgpt_v1,proposed_internal_insert; needs linguistic review,generated_internal_consistency,0.35,0.1377,0.4,START -> PROOF_REGISTER[0.35] -> LEMMA -> VARIANT_SET[2] -> REVIEW[0.60]
reg-pokazati,pokazati,shows,proof_predicate,15,pokaz; pokazano; pokazati; pokazuje; pokazyva; pokaže; pokazujut; pokazuju; pokazyvaje; pokazala; pokažut; pokazana,chatgpt_v1;chatgpt_v4_longtail_attach,proposed_internal_insert; needs linguistic review,generated_internal_consistency,0.35,0.3418,0.4,START -> PROOF_REGISTER[0.35] -> LEMMA -> VARIANT_SET[15] -> REVIEW[0.60]
reg-poneže,poneže/poněže,since; because,proof_connective,3,poneže; poněvadže; poněže,chatgpt_v1;fable_pass29_kwic,proposed_internal_insert; needs linguistic review,generated_internal_consistency,0.35,0.1847,0.4,START -> PROOF_REGISTER[0.35] -> LEMMA -> VARIANT_SET[3] -> REVIEW[0.60]
consequence,poslědstvije,consequence,proof_grammar,5,posledic; posledstv; poslědic; poslědstv; posle,fable_v1;chatgpt_v4_longtail_attach,proposed_internal_insert; needs linguistic review,generated_internal_consistency,0.35,0.2497,0.4,START -> PROOF_REGISTER[0.35] -> LEMMA -> VARIANT_SET[5] -> REVIEW[0.60]
power-exponent,potęga,power (exponentiation),curriculum_algebra,10,poteg; potenca; potęg; potęga; potęgah; stepen; stepenj; stupenj; stupnja; stupnje,fable_pass28_kwic;fable_v1;fable_v4_review,proposed_internal_insert; needs linguistic review,generated_internal_consistency,0.35,0.3213,0.4,START -> PROOF_REGISTER[0.35] -> LEMMA -> VARIANT_SET[10] -> REVIEW[0.60]
runs-through,proběgaje,runs through / ranges over,proof_grammar,4,probega; proběga; proběž; proběgati,fable_v1;chatgpt_v4_longtail_attach,proposed_internal_insert; needs linguistic review,generated_internal_consistency,0.35,0.2212,0.4,START -> PROOF_REGISTER[0.35] -> LEMMA -> VARIANT_SET[4] -> REVIEW[0.60]
reg-prvy,prvy,first,ordinal,8,prva; prve; prvi; prvoj; prvom; prvu; prvy; prvomu,chatgpt_v1;chatgpt_v4_longtail_attach,proposed_internal_insert; needs linguistic review,generated_internal_consistency,0.35,0.3026,0.4,START -> PROOF_REGISTER[0.35] -> LEMMA -> VARIANT_SET[8] -> REVIEW[0.60]
reg-pytanje,pytanje,question,discourse_noun,11,pytanj; pytanja; pytanjam; pytanje; pytanjem; pytanju; vopros; vprasanj; vprašanj; vprašanja; vprašanje,chatgpt_v1;chatgpt_v4_longtail_attach;fable_pass28_kwic,proposed_internal_insert; needs linguistic review,generated_internal_consistency,0.35,0.3276,0.4,START -> PROOF_REGISTER[0.35] -> LEMMA -> VARIANT_SET[11] -> REVIEW[0.60]
equal,ravny,equal (to),proof_grammar,3,raven; ravn; rovny,fable_pass28_kwic;fable_pass29_kwic;fable_v1,proposed_internal_insert; needs linguistic review,generated_internal_consistency,0.35,0.1847,0.4,START -> PROOF_REGISTER[0.35] -> LEMMA -> VARIANT_SET[3] -> REVIEW[0.60]
reg-razuměti,razuměti,to understand; to mean,definition/interpretation_marker,9,razuměje; razumějemo; razuměti; razuměju; razuměnje; razuměny; razumějem; razuměli; razuměnju,chatgpt_v1;chatgpt_v4_longtail_attach,proposed_internal_insert; needs linguistic review,generated_internal_consistency,0.35,0.3131,0.4,START -> PROOF_REGISTER[0.35] -> LEMMA -> VARIANT_SET[9] -> REVIEW[0.60]
series-sequence-red,ręd,series / sequence (ręd),technical_general,13,red; redu; redy; ręd; ręda; rędam; rędami; rędom; rędov; rěda; rědom; rědov,chatgpt_v1;chatgpt_v4_longtail_attach;fable_pass28_kwic;fable_pass29_kwic;fable_v1,proposed_internal_insert; needs linguistic review,generated_internal_consistency,0.35,0.3364,0.4,START -> PROOF_REGISTER[0.35] -> LEMMA -> VARIANT_SET[13] -> REVIEW[0.60]
reg-rěšenje,rěšenje,solution,math_general,6,reseno; rěšena; rěšenje; rěšeno; rěšenj; rěšene,chatgpt_v1;chatgpt_v4_longtail_attach,proposed_internal_insert; needs linguistic review,generated_internal_consistency,0.35,0.2719,0.4,START -> PROOF_REGISTER[0.35] -> LEMMA -> VARIANT_SET[6] -> REVIEW[0.60]
reg-sadržati,sadržati,contains,containment_predicate,9,obsahuje; sadržati; sadrže; sadrži; obsahujut; sadržaje; sadržuje; sadržet; sadržane,chatgpt_v1;chatgpt_v4_longtail_attach,proposed_internal_insert; needs linguistic review,generated_internal_consistency,0.35,0.3131,0.4,START -> PROOF_REGISTER[0.35] -> LEMMA -> VARIANT_SET[9] -> REVIEW[0.60]
reg-sigurno,sigurno,certainly/surely,modality,1,sigurno,chatgpt_v1,proposed_internal_insert; needs linguistic review,generated_internal_consistency,0.35,0.0774,0.4,START -> PROOF_REGISTER[0.35] -> LEMMA -> VARIANT_SET[1] -> REVIEW[0.60]
reg-slovo,slovo/slovami,in words,discourse_phrase,2,slovami; slovo,chatgpt_v1,proposed_internal_insert; needs linguistic review,generated_internal_consistency,0.35,0.1377,0.4,START -> PROOF_REGISTER[0.35] -> LEMMA -> VARIANT_SET[2] -> REVIEW[0.60]
case-instance,slučaj,case (in the case of),proof_grammar,6,padě; pripad; slucaj; slućaj; slučaj; slućaju,fable_v1;chatgpt_v4_longtail_attach,proposed_internal_insert; needs linguistic review,generated_internal_consistency,0.35,0.2719,0.4,START -> PROOF_REGISTER[0.35] -> LEMMA -> VARIANT_SET[6] -> REVIEW[0.60]
follows-from,slěduje,follows (from),proof_grammar,5,sledi; sleduj; slijedi; slěduj; vyplyva,fable_v1,proposed_internal_insert; needs linguistic review,generated_internal_consistency,0.35,0.2497,0.4,START -> PROOF_REGISTER[0.35] -> LEMMA -> VARIANT_SET[5] -> REVIEW[0.60]
reg-sostojati,sostojati,consists of,structure_predicate,9,sostaji; sostoj; sostojati; sostoji; sostojí; sostojat; sostojany; sostojajuči; sostojajuču,chatgpt_v1;fable_v1;chatgpt_v4_longtail_attach,proposed_internal_insert; needs linguistic review,generated_internal_consistency,0.35,0.3131,0.4,START -> PROOF_REGISTER[0.35] -> LEMMA -> VARIANT_SET[9] -> REVIEW[0.60]
coincides,sovpada,coincides (with),proof_grammar,5,pokryva; sovpada; sovpadati; sovpadanja; sovpadaje,fable_v1;chatgpt_v4_longtail_attach,proposed_internal_insert; needs linguistic review,generated_internal_consistency,0.35,0.2497,0.4,START -> PROOF_REGISTER[0.35] -> LEMMA -> VARIANT_SET[5] -> REVIEW[0.60]
reg-suma,suma,sums,math_general,5,suma; sumi; sumoju; sumu; sumy,chatgpt_v1;chatgpt_v4_longtail_attach,proposed_internal_insert; needs linguistic review,generated_internal_consistency,0.35,0.2497,0.4,START -> PROOF_REGISTER[0.35] -> LEMMA -> VARIANT_SET[5] -> REVIEW[0.60]
property,svojstvo,property,proof_grammar,2,svojstv; vlastnost,fable_v1,proposed_internal_insert; needs linguistic review,generated_internal_consistency,0.35,0.1377,0.4,START -> PROOF_REGISTER[0.35] -> LEMMA -> VARIANT_SET[2] -> REVIEW[0.60]
reg-teda,teda,therefore; thus,proof_connective,2,dakle; teda,chatgpt_v1;fable_v4_review,proposed_internal_insert; needs linguistic review,generated_internal_consistency,0.35,0.1377,0.4,START -> PROOF_REGISTER[0.35] -> LEMMA -> VARIANT_SET[2] -> REVIEW[0.60]
reg-teper,teper,now,proof_sequence,2,teper; teraz,chatgpt_v1;chatgpt_v4_longtail_attach,proposed_internal_insert; needs linguistic review,generated_internal_consistency,0.35,0.1377,0.4,START -> PROOF_REGISTER[0.35] -> LEMMA -> VARIANT_SET[2] -> REVIEW[0.60]
reg-togda,togda,then; in that case,proof_connective,3,tada; tegda; togda,chatgpt_v1;fable_pass28_kwic,proposed_internal_insert; needs linguistic review,generated_internal_consistency,0.35,0.1847,0.4,START -> PROOF_REGISTER[0.35] -> LEMMA -> VARIANT_SET[3] -> REVIEW[0.60]
reg-toliko,toliko,so much; as many,quantity_marker,1,toliko,chatgpt_v1,proposed_internal_insert; needs linguistic review,generated_internal_consistency,0.35,0.0774,0.4,START -> PROOF_REGISTER[0.35] -> LEMMA -> VARIANT_SET[1] -> REVIEW[0.60]
reg-točno,točno,exactly; precisely,precision_marker,5,točno; točnogo; točnoj; točnomu; točny,chatgpt_v1;chatgpt_v4_longtail_attach;fable_pass29_kwic,proposed_internal_insert; needs linguistic review,generated_internal_consistency,0.35,0.2497,0.4,START -> PROOF_REGISTER[0.35] -> LEMMA -> VARIANT_SET[5] -> REVIEW[0.60]
reg-trěba,trěba,it is necessary; need,modal,2,trěba; trěbalo,chatgpt_v1;chatgpt_v4_longtail_attach,proposed_internal_insert; needs linguistic review,generated_internal_consistency,0.35,0.1377,0.4,START -> PROOF_REGISTER[0.35] -> LEMMA -> VARIANT_SET[2] -> REVIEW[0.60]
forms-constitutes,tvori,forms / constitutes,proof_grammar,14,tvore; tvorenju; tvoret; tvori; tvorit; tvoriti; tvorjen; tvorut; tvoręt; utvorena; utvorene; utvoriti,chatgpt_v1;chatgpt_v4_longtail_attach;fable_pass27_kwic;fable_pass28_kwic;fable_v1,proposed_internal_insert; needs linguistic review,generated_internal_consistency,0.35,0.3394,0.4,START -> PROOF_REGISTER[0.35] -> LEMMA -> VARIANT_SET[14] -> REVIEW[0.60]
condition,uslovje,condition,proof_grammar,3,podmink; uslov; uvjet,fable_v1,proposed_internal_insert; needs linguistic review,generated_internal_consistency,0.35,0.1847,0.4,START -> PROOF_REGISTER[0.35] -> LEMMA -> VARIANT_SET[3] -> REVIEW[0.60]
holds-is-valid,važi,holds / is valid,proof_grammar,6,platn; vazi; važat; važi; važiti; važy,chatgpt_v1;fable_pass28_kwic;fable_pass29_kwic;fable_v1,proposed_internal_insert; needs linguistic review,generated_internal_consistency,0.35,0.2719,0.4,START -> PROOF_REGISTER[0.35] -> LEMMA -> VARIANT_SET[6] -> REVIEW[0.60]
reg-vměsto,vměsto,instead of,discourse_connective,5,namesto; naměsto; vmesto; vměsto; vměstě,chatgpt_v1;chatgpt_v4_longtail_attach,proposed_internal_insert; needs linguistic review,generated_internal_consistency,0.35,0.2497,0.4,START -> PROOF_REGISTER[0.35] -> LEMMA -> VARIANT_SET[5] -> REVIEW[0.60]
