concept_norm,term_count,E_mass,W_mass,S_mass,I_mass,X_mass,candidate_W_add,candidate_S_add,D1_effective_branches_certified,D1_effective_branches_candidate,KL_to_balanced_certified,KL_to_balanced_candidate,mean_accept_support_candidate_pct,adverse_terms,writeback_candidates,top_flags,top_actions,routes,example_term_ids
ring,17,35.0,1.0,0.0,0.0,1.0,0.0,0.0,1.135,1.135,0.972,0.972,19.26,17,0,F10-3:11; F10-1:6,P1_REVIEW_ADVERSE_OR_COMPETITOR:17,(none):11; A_probe_covered_concept:6,ISV-echter_unterring--vlastno_podkolco; ISV-erweiterungsring_erweiterungsmodul--kolco_razširenja_mod; ISV-gruppenring--grupno_kolco; ISV-gruppenring--grupovo_kolco; ISV-halbeinfacher_ring--poluprosto_kolco
determinant,15,21.0,1.0,1.0,0.0,2.0,9.1,9.1,1.427,2.809,0.743,0.066,25.08,15,14,F10-1:14; F10-0:1,WRITEBACK_CANDIDATE_AFTER_ROW_CHECK:14; REVIEW_OR_CONTEXT_CHECK:1,A_probe_covered_concept:14; (none):1,ISV-determinantenteiler--determinantny_dělite; ISV-einordnung_der_hyperkomplexen_systeme--uvrstjenje_hiperkomp; ISV-funktionaldeterminante--funkcionalny_determi; ISV-funktionaldeterminante_funktionalmatrix--funkcionalny_determi; ISV-funktionaldeterminanten--funkcionalne_determi
irreducible,12,25.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.099,1.099,6.18,0,0,F10-1:12,MISSING_WITNESS_BACKFILL:12,C_concept_linked_shelf_plausible:12,ISV-gegenseitig_relativprim--vzaimno_relativno_pr; ISV-irreduzibel--nerazložimy_nerazlož; ISV-paarweise_teilerfremd--poparno_vzaimno_pros; ISV-relativprim-irreduzibel--relativno-prosto-ner; ISV-relativprim-irreduzibel--relativno-prosto-ner
polynomial,12,26.0,4.0,4.0,0.0,0.0,7.8,7.8,2.031,2.778,0.39,0.077,20.5,12,12,F10-1:12,WRITEBACK_CANDIDATE_AFTER_ROW_CHECK:12,A_probe_covered_concept:12,ISV-alle_geraden_ganzen_rationalen_zahlen--vse_parne_cěle_racio; ISV-bereich_aller_geraden_polynome--oblast_vseh_parnyh_p; ISV-größter_gemeinsamer_teiler_im_polynomsin--največši_obči_dělite; ISV-irreducible_polynomials--nerazložimy_polinomy; ISV-modul_historical_generated_polynomial_se--modul
dimension,10,20.0,3.0,3.0,0.0,0.0,5.85,5.85,2.014,2.764,0.398,0.082,24.39,10,9,F10-1:9; F10-4:1,WRITEBACK_CANDIDATE_AFTER_ROW_CHECK:9; AUTHORITY_OR_SPECIALIST_NEEDED:1,A_probe_covered_concept:9; (none):1,ISV-arithmetische_fassung_des_dimensionsbegr--aritmetična_formulac; ISV-dimension_schlechthin--dimenzija_v_sobstven; ISV-dimensionszahlen--dimenzijne_čisla; ISV-dreidimensionaler_raum--tridimensionalny_pro; ISV-homogene_resultante_der_glieder_höchster--homogena_rezultanta_
group,10,19.0,6.0,6.0,0.0,0.0,6.5,6.5,2.549,2.938,0.163,0.021,26.35,0,10,F10-1:10,WRITEBACK_CANDIDATE_AFTER_ROW_CHECK:10,A_probe_covered_concept:10,ISV-ein-eindeutige_abbildung--vzaimno_jednoznačno_; ISV-eindeutige_bestimmtheit--jednoznačnost; ISV-eindeutige_produktdarstellung_durch_irre--jednoznačno_produktn; ISV-einfache_gruppe--prosta_grupa; ISV-klassen_ähnlicher_algebren_gruppe_der_kl--klasy_podobnyh_algeb
reduk,10,10.0,1.0,1.0,0.0,0.0,0.0,0.0,1.761,1.761,0.533,0.533,5.95,0,0,F10-1:10,MISSING_WITNESS_BACKFILL:10,B_intl_stem_probeable:10,ISV-reduktion_oder_zerfallen--redukcija_abo_razkla; ISV-reduktionen_folgen_direkt_durch_einmalig--redukcije_slědujut_n; ISV-reduziert_in_bezug_auf_das_komplement_in--redukovano_v_odnosu_; ISV-reduzierte_darstellung--redukovano_predstavj; ISV-reduzierter_grad_exponent--redukovany_stepenj_e
corollary,9,18.0,0.0,4.0,0.0,0.0,0.0,0.0,1.607,1.607,0.624,0.624,15.07,9,0,F10-1:9,P1_REVIEW_ADVERSE_OR_COMPETITOR:9,A_probe_covered_concept:9,ISV-bücher_entstanden_unter_mitwirkung_von_e--knjigy_sostavjene_s_; ISV-dedekindsche_folgerung_iii--dedekindov_poslědok_; ISV-e_noether_o_ore_witness_normalization--e_noether_o_ore; ISV-folgerung--poslědok; ISV-folgerungen--poslědki
modul,9,15.0,3.0,3.0,0.0,1.0,0.0,0.0,2.217,2.217,0.302,0.302,12.36,0,0,F10-1:9,MISSING_WITNESS_BACKFILL:9,B_intl_stem_probeable:9,ISV-darstellungsmoduln--moduly_predstavjenja; ISV-doppelmodul--dvojny_modul_odnosno; ISV-kompositionsreihe_des_darstellungsmoduls--kompozicijna_serija_; ISV-modul_in_σt--modul_v_σt; ISV-moduldarstellung--modulno_predstavjenj
teorem,9,14.0,0.0,1.0,0.0,0.0,0.0,0.0,1.278,1.278,0.854,0.854,7.89,0,0,F10-1:9,MISSING_WITNESS_BACKFILL:9,B_intl_stem_probeable:9,ISV-burnsidescher_satz_verallgemeinerter_bur--teorema_burnsida_obo; ISV-endlichkeitssatz--teorem_o_konečnosti; ISV-fundamentalsatz_der_eliminationstheorie--fundamentalny_teorem; ISV-hauptgeschlechtssatz--teorem_o_glavnom_rod; ISV-produktsatz_für_matrizen--teorema_produkta_za_
algebra,8,16.0,2.0,2.0,0.0,0.0,0.0,0.0,1.895,1.895,0.46,0.46,34.91,0,0,F10-1:5; F10-0:2; F10-2:1,MISSING_WITNESS_BACKFILL:5; ACCEPTABLE_LOW_PRIORITY:2; OVERCLAIM_BACKFILL_NEEDED:1,B_intl_stem_probeable:4; (none):3; A_probe_covered_concept:1,ISV-algebraischer_rang_restklassenkörper--algebraičny_rang_pol; ISV-algebraischer_zahlkörper--algebraično_čislovo_; ISV-divisionsalgebra_zugeordnete_divisionsal--dělitvena_algebra_pr; ISV-normale_divisionsalgebra--normalna_dělitvena_a; ISV-normale_einfache_algebra--normalna_prosta_alge
direct factor,8,14.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.099,1.099,7.66,0,0,F10-1:8,MISSING_WITNESS_BACKFILL:8,C_concept_linked_shelf_plausible:8,ISV-direkt-unzerlegbar--direktno_nerazložimy; ISV-direkt-unzerlegbar_zerlegbar--direktno_nerazložimy; ISV-direkt_unzerlegbare_faktoren--direktno_nerazložime; ISV-direkter_faktor--direktny_faktor; ISV-kompositionsfaktoren--kompozicijne_faktory
equation,8,11.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.099,1.099,8.8,0,0,F10-1:8,MISSING_WITNESS_BACKFILL:8,A_probe_covered_concept:8,ISV-affektlose_gleichungen--jednačenja_bez_afekt; ISV-irreduzible_zweiseitige_klassen--nerazložime_dvustran; ISV-niedrigeren_grades--nižšego_stepena; ISV-nullstelle--nuljeva_točka; ISV-nullstellen--nulje
extension of the first kind,8,17.0,1.0,2.0,0.0,0.0,0.0,0.0,1.679,1.679,0.58,0.58,8.89,0,0,F10-1:8,MISSING_WITNESS_BACKFILL:8,C_concept_linked_shelf_plausible:8,ISV-bereich_zahlbereich--oblast_čislova_oblas; ISV-doppelbereich_σt--dvojna_oblast_σt; ISV-erweiterung_des_grundkörpers--razširenje_osnovnogo; ISV-erweiterung_erster_art--razširenje_prvogo_ro; ISV-erweiterung_erster_art_zweiter_art--razširjenje_prvogo_r
linear,8,16.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.099,1.099,10.74,0,0,F10-1:8,MISSING_WITNESS_BACKFILL:8,B_intl_stem_probeable:7; A_probe_covered_concept:1,ISV-endlich_viele_linear_unabhängige_restkla--konečno_mnogo_ostatk; ISV-linear_gebrochene_abhängigkeit--linearno-drobna_zavi; ISV-linear_unabhängig_voneinander_und_von--linearno_nezavisne_m; ISV-lineare_gleichungssysteme--linearne_sistemy_jed; ISV-lineare_transformation--linearna_transformac
representation,8,14.0,4.0,4.0,0.0,0.0,0.0,0.0,2.478,2.478,0.191,0.191,10.98,8,0,F10-1:8,MISSING_WITNESS_BACKFILL:8,C_concept_linked_shelf_plausible:8,ISV-kürzeste_darstellung--najkrajše_predstavje; ISV-kürzeste_darstellungen--najkratše_predstavje; ISV-parameterdarstellung--parametrično_predsta; ISV-rechtsdarstellung_linksdarstellung--pravo_predstavjenje_; ISV-zentrum--centar
set,8,10.0,0.0,0.0,0.0,2.0,4.55,4.55,1.0,2.78,1.099,0.076,24.03,8,0,F10-1:7; F10-0:1,P1_REVIEW_ADVERSE_OR_COMPETITOR:8,A_probe_covered_concept:7; (none):1,ISV-durch_dualistisch_entgegengesetzte_betra--po_dualistično_proti; ISV-einige_der_unbestimmten_durch_zahlen_ers--něktore_neopreděljen; ISV-gesetz_der_unbeschränkten_und_eindeutige--zakon_neograničenogo; ISV-zusammensetzung--skladanje; ISV-LB-zusammengesetzte_polaren
sistem,7,11.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.099,1.099,6.18,0,0,F10-1:7,MISSING_WITNESS_BACKFILL:7,B_intl_stem_probeable:7,ISV-abbildungssystem--odobražajuči_sistem; ISV-faktorensystem--faktorna_sistema; ISV-formensystem--sistema_form; ISV-restklassensystem--sistem_ostatkovyh_kl; ISV-volles_invariantensystem--polny_sistem_invaria
lemma,6,12.0,2.0,2.0,0.0,0.0,3.9,3.9,2.087,2.82,0.363,0.062,21.98,6,6,F10-1:6,WRITEBACK_CANDIDATE_AFTER_ROW_CHECK:6,A_probe_covered_concept:6,ISV-hauptsatz--glavna_teorema; ISV-hauptsatz_hilfssatz_zusatz_bemerkung--glavny_teorem_pomočn; ISV-umkehrung_von_1_nach_1--obrat_1_po_1; ISV-umkehrung_von_hilfssatz_i--obrat_lemy_i; ISV-verdanke_ich_hentzelt_bemerkungen--zahvaljujem_hentzelt
unit,6,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.099,1.099,7.75,0,0,F10-1:6,MISSING_WITNESS_BACKFILL:6,C_concept_linked_shelf_plausible:6,ISV-einheit_aus_omega--jedinica_iz_omega; ISV-linkseinheit--lěva_jedinica; ISV-linkseinheit_rechtseinheit--lěva_jedinica_prava_; ISV-matrizeneinheiten--matrične_jedinice; ISV-nte_einheitswurzeln--n-e_korenje_iz_jedin
adjunction,5,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.099,1.099,7.17,0,0,F10-1:5,MISSING_WITNESS_BACKFILL:5,C_concept_linked_shelf_plausible:5,ISV-adjunktion_der_u_munu--prisojedinjenje_u_mu; ISV-adjunktion_der_unbestimmten_u_mu_nu--prisojedinjenje_neop; ISV-erster_art--prvogo_roda; ISV-eventuelle_adjunktion_von_unbestimmten--možno_prisojedinjenj; ISV-LB-adjungieren
decomposition,5,6.0,1.0,1.0,0.0,0.0,0.0,0.0,2.087,2.087,0.363,0.363,7.14,0,0,F10-1:5,MISSING_WITNESS_BACKFILL:5,C_concept_linked_shelf_plausible:5,ISV-explizite_zerlegung--eksplicitno_razložen; ISV-peircesche_zerlegung--peirceovo_razloženje; ISV-sukzessive_zerlegung--sukcesivno_razloženj; ISV-LB-sukzessive_einmalige_faltung; ISV-LB-explizite_darstellung
ansatz / setup,4,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.099,1.099,2.13,0,0,F10-1:4,MISSING_WITNESS_BACKFILL:4,C_concept_linked_shelf_plausible:4,ISV-ansatz--shema; ISV-LB-nach_dem_ansatz; ISV-LB-nach_dem_ansatz; ISV-LB-nach_dem_ansatz
crossed representation,4,6.0,1.0,1.0,0.0,0.0,0.0,0.0,2.087,2.087,0.363,0.363,7.52,0,0,F10-1:4,MISSING_WITNESS_BACKFILL:4,C_concept_linked_shelf_plausible:4,ISV-darstellung_als_kleinstes_gemeinsames_vi--predstavjenje_kako_n; ISV-darstellung_mit_festem_nenner--predstavjenje_s_stal; ISV-verschränkte_darstellung--skrěženo_predstavjen; ISV-verschränkte_darstellung--unnamed
grup,4,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.099,1.099,10.49,0,0,F10-1:4,MISSING_WITNESS_BACKFILL:4,B_intl_stem_probeable:4,ISV-einfach--prosta_grupa; ISV-gruppeneinteilung_nach_nicht-teilerfremd--grupno_razděljenje_p; ISV-untergruppen--podgrupy; ISV-zerlegungsgruppe_verzweigungsstellen_unv--grupa_razloženja_raz
identity relation,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0,0,F10-1:4,MISSING_WITNESS_BACKFILL:4,C_concept_linked_shelf_plausible:4,ISV-LB-identitäten_entstehen_nicht; ISV-LB-erschöpft; ISV-LB-symbolische_identitäten; ISV-LB-gesamtheit_der_unzerlegbaren_identitäten
least common multiple,4,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.099,1.099,5.25,0,0,F10-1:4,MISSING_WITNESS_BACKFILL:4,C_concept_linked_shelf_plausible:4,ISV-größter_gemeinsamer_teiler--največši_obči_dělite; ISV-kleinstes_gemeinsames_vielfaches_gleich_--najmenše_obče_mnogok; ISV-kleinstes_gemeinsames_vielfaches_größter--najmenše_obče_mnogok; ISV-LB-unter_gleichzeitiger_betrachtung
one-to-one,4,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.099,1.099,7.23,0,0,F10-1:4,MISSING_WITNESS_BACKFILL:4,C_concept_linked_shelf_plausible:4,ISV-eineindeutig--vzaimno-jednoznačno; ISV-eineindeutig_eineindeutig_zuordnen--jedno-jednoznačno_je; ISV-multiplikationstafel--tablica_množenja; ISV-verknüpfungsarten_addition_und_multiplik--operacije_vrsty_spoj
relation,4,4.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.099,1.099,19.04,0,0,F10-1:2; F10-0:1; F10-4:1,MISSING_WITNESS_BACKFILL:2; REVIEW_OR_CONTEXT_CHECK:1; AUTHORITY_OR_SPECIALIST_NEEDED:1,(none):2; A_probe_covered_concept:2,ISV-orthogonalitätsrelationen--relacije_ortogonalno; ISV-relationen--relacije; ISV-LB-relationen_für_die_zerfallenden_formen; ISV-LB-quadratische_relationen
crossed product,3,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.099,1.099,6.33,0,0,F10-1:3,MISSING_WITNESS_BACKFILL:3,C_concept_linked_shelf_plausible:3,ISV-verschränktes_produkt--skrěženy_produkt; ISV-verschränktes_produkt--unnamed; ISV-LB-produkt
decomposition identity,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0,0,F10-1:3,MISSING_WITNESS_BACKFILL:3,C_concept_linked_shelf_plausible:3,ISV-LB-zerlegungsidentität; ISV-LB-zerlegungsidentität; ISV-LB-dualististische_zerlegungsidentität
definition,3,4.0,1.0,1.0,0.0,0.0,1.95,1.95,2.381,2.967,0.231,0.011,30.51,0,3,F10-1:3,WRITEBACK_CANDIDATE_AFTER_ROW_CHECK:3,A_probe_covered_concept:3,ISV-ketten_von_primidealen_kettendefinition--cepi_prostyh_idealov; ISV-produkt_von_idealen_definition_iiia--produkt_idealov; ISV-LB-zerfallen_oder_reduzibilität_der_übrigen
discriminant,3,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.099,1.099,5.44,0,0,F10-1:3,MISSING_WITNESS_BACKFILL:3,C_concept_linked_shelf_plausible:3,ISV-rechts-_bzw_linksklassen--prave_odnosno_lěve_k; ISV-strahlklassen--lučne_klasy; ISV-strahlklasseneinteilung--unnamed
funkci,3,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.099,1.099,11.78,0,0,F10-1:3,MISSING_WITNESS_BACKFILL:3,B_intl_stem_probeable:3,ISV-funktionalbereich--funkcionalna_oblast; ISV-primfunktion--prosta_funkcija; ISV-primärfunktion--primarna_funkcija
integral,3,7.0,1.0,1.0,0.0,0.0,0.0,0.0,1.981,1.981,0.415,0.415,11.39,0,0,F10-1:3,MISSING_WITNESS_BACKFILL:3,B_intl_stem_probeable:3,ISV-ganz_abgeschlossen--integralno_zamknjeny; ISV-ganzzahligkeit_der_darstellung--integralnost_predsta; ISV-integritätsbereiche--integralne_oblasti
matrix product,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0,0,F10-1:3,MISSING_WITNESS_BACKFILL:3,C_concept_linked_shelf_plausible:3,ISV-LB-matrizenprodukte; ISV-LB-matrizenprodukt; ISV-LB-matrizenprodukt
normal,3,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.099,1.099,12.58,0,0,F10-1:3,MISSING_WITNESS_BACKFILL:3,B_intl_stem_probeable:3,ISV-normalform--normalna_forma; ISV-normalteiler--normalny_dělitelj; ISV-normalteiler--normalny_podgrup
prime ideal,3,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.099,1.099,8.61,3,0,F10-1:3,P1_REVIEW_ADVERSE_OR_COMPETITOR:3,C_concept_linked_shelf_plausible:3,ISV-eigentliche_eliminationstheorie--vlastna_teorija_elim; ISV-mit_ausnahme_von--s_izključenjem; ISV-potenzsumme--stepenna_suma
proper divisor,3,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.099,1.099,7.93,0,0,F10-1:3,MISSING_WITNESS_BACKFILL:3,C_concept_linked_shelf_plausible:3,ISV-echter_teiler--vlastny_dělitelj; ISV-echter_teiler_gliederzahl--vlastny_dělitelj_čis; ISV-potenzprodukt--stepenovy_produkt
quotient,3,7.0,1.0,1.0,0.0,2.0,0.0,0.0,1.981,1.981,0.415,0.415,52.23,0,0,F10-0:2; F10-3:1,REVIEW_OR_CONTEXT_CHECK:1; ACCEPTABLE_LOW_PRIORITY:1; P1_REVIEW_ADVERSE_OR_COMPETITOR:1,(none):3,ISV-quotientenbildung--tvorjenje_kvocientov; ISV-quotientenkörper--polje_kvocientov; ISV-quotientenring--kolco_kvocientov
remark,3,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.099,1.099,6.15,0,0,F10-1:3,MISSING_WITNESS_BACKFILL:3,C_concept_linked_shelf_plausible:3,ISV-nachbemerkung--dodatna_primětka; ISV-nachbemerkung--primětka; ISV-LB-nachbemerkung
associated prime ideal,2,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.099,1.099,8.37,0,0,F10-1:2,MISSING_WITNESS_BACKFILL:2,C_concept_linked_shelf_plausible:2,ISV-cyrillic_reader_generation_for_section_1--matematične_proměnne; ISV-ungerade_primzahl--neparno_prosto_čislo
automorphism,2,4.0,1.0,1.0,0.0,0.0,0.0,0.0,2.381,2.381,0.231,0.231,57.88,0,0,F10-0:1; F10-3:1,ACCEPTABLE_LOW_PRIORITY:1; P1_REVIEW_ADVERSE_OR_COMPETITOR:1,(none):2,ISV-automorphismenkörper_k_ν--tělo_avtomorfizmov_k; ISV-automorphismenring--kolco_avtomorfizmov
direct sum,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0,0,F10-1:2,MISSING_WITNESS_BACKFILL:2,A_probe_covered_concept:2,ISV-LB-direkte_faltung_mit_den_reduzenten; ISV-LB-direkte_faltung
galois,2,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.099,1.099,13.32,0,0,F10-1:2,MISSING_WITNESS_BACKFILL:2,A_probe_covered_concept:2,ISV-relativ-galoissche_zahlkörper--relativno-galoisove_; ISV-relativ-galoissche_zahlkörper--unnamed
homomorphism,2,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.099,1.099,26.49,0,0,F10-1:2,MISSING_WITNESS_BACKFILL:2,B_intl_stem_probeable:2,ISV-homomorphismen_von_z_in_omega--homomorfizmy_iz_cent; ISV-operatorhomomorphismus--operatorny_homomorfi
izomorf,2,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.099,1.099,8.96,0,0,F10-1:2,MISSING_WITNESS_BACKFILL:2,B_intl_stem_probeable:2,ISV-eineindeutig_und_isomorph_abbilden--jedno-jednoznačno_i_; ISV-operatorisomorphie--operatorny_izomorfiz
maksimal,2,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.099,1.099,10.84,0,0,F10-1:2,MISSING_WITNESS_BACKFILL:2,B_intl_stem_probeable:2,ISV-maximalbedingung--uslovje_maksimalnost; ISV-maximalbereich--maksimalna_oblast
multiplier domain,2,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.099,1.099,9.43,0,0,F10-1:2,MISSING_WITNESS_BACKFILL:2,C_concept_linked_shelf_plausible:2,ISV-absoluter_multiplikatorenbereich--absolutna_oblast_mno; ISV-multiplikatorenbereich--oblast_množiteljev
residue class,2,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.099,1.099,5.94,0,0,F10-1:2,MISSING_WITNESS_BACKFILL:2,C_concept_linked_shelf_plausible:2,ISV-endlichkeit_im_engeren_sinn--konečnost_v_užšem_sm; ISV-restklasse--ostatkova_klasa
resultant,2,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.099,1.099,15.79,0,0,F10-1:2,MISSING_WITNESS_BACKFILL:2,A_probe_covered_concept:2,ISV-resultantenbedeutung--rezultantno_značenje; ISV-schnittpunktmultiplizitaet_resultantenmu--mnogokratnost_prěsek
splitting form,2,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.099,1.099,6.14,0,0,F10-1:2,MISSING_WITNESS_BACKFILL:2,C_concept_linked_shelf_plausible:2,ISV-zerfällt_zerfallen--razkladaje_se_razkla; ISV-LB-zerfälltzerfallen
