source,lane,path_or_gap,artifact_role,required_action,claim_boundary
current-head-branch-delta,R6 Indigenous/Creole/Sign,transfer-audits/session12-20260705/B3_WHOLE_CORPUS_33B23_PACKAGE_QUEUE_20260706/B3_POST_1A1110E_R6_A2C52A42_LIVE_RECOVERY_BATCH_AUDIT_20260706.md,blocker-recovery-probe,R6 Indigenous/Creole/Sign: execute recovery/probe next actions or keep blocker active.,"source-use/provenance/gap/draft/non-canonical routing only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
current-head-branch-delta,R6 Indigenous/Creole/Sign,transfer-audits/session12-20260705/B3_WHOLE_CORPUS_33B23_PACKAGE_QUEUE_20260706/B3_POST_1A1110E_R6_A2C52A42_LIVE_RECOVERY_BATCH_MANIFEST_20260706.csv,blocker-recovery-probe,R6 Indigenous/Creole/Sign: execute recovery/probe next actions or keep blocker active.,"source-use/provenance/gap/draft/non-canonical routing only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
current-head-branch-delta,R6 Indigenous/Creole/Sign,transfer-audits/session12-20260705/B3_WHOLE_CORPUS_33B23_PACKAGE_QUEUE_20260706/B3_POST_1A1110E_R6_A2C52A42_LIVE_RECOVERY_BATCH_SHA256SUMS_20260706.txt,blocker-recovery-probe,R6 Indigenous/Creole/Sign: execute recovery/probe next actions or keep blocker active.,"source-use/provenance/gap/draft/non-canonical routing only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
current-head-branch-delta,R3 Arabic/Persianate linear algebra,transfer-audits/session12-20260705/B3_WHOLE_CORPUS_33B23_PACKAGE_QUEUE_20260706/B3_POST_3AD5B7A_R3_AD3E3AA_DRIFT_FOLLOWUP_BATCH_AUDIT_20260706.md,b3-uploader-transfer,R3 Arabic/Persianate linear algebra: record branch-visible route evidence and keep no-claim boundary.,"source-use/provenance/gap/draft/non-canonical routing only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
current-head-branch-delta,R3 Arabic/Persianate linear algebra,transfer-audits/session12-20260705/B3_WHOLE_CORPUS_33B23_PACKAGE_QUEUE_20260706/B3_POST_3AD5B7A_R3_AD3E3AA_DRIFT_FOLLOWUP_BATCH_MANIFEST_20260706.csv,manifest-sha-validation,R3 Arabic/Persianate linear algebra: verify hashes and route to B3 package handoff.,"source-use/provenance/gap/draft/non-canonical routing only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
current-head-branch-delta,R3 Arabic/Persianate linear algebra,transfer-audits/session12-20260705/B3_WHOLE_CORPUS_33B23_PACKAGE_QUEUE_20260706/B3_POST_3AD5B7A_R3_AD3E3AA_DRIFT_FOLLOWUP_BATCH_SHA256SUMS_20260706.txt,manifest-sha-validation,R3 Arabic/Persianate linear algebra: verify hashes and route to B3 package handoff.,"source-use/provenance/gap/draft/non-canonical routing only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
current-head-branch-delta,R3 Arabic/Persianate linear algebra,transfer-audits/session12-20260705/B3_WHOLE_CORPUS_33B23_PACKAGE_QUEUE_20260706/B3_POST_AD3E3AA_R3_A2C52A42_BRANCH_DELTA_BATCH_AUDIT_20260706.md,b3-uploader-transfer,R3 Arabic/Persianate linear algebra: record branch-visible route evidence and keep no-claim boundary.,"source-use/provenance/gap/draft/non-canonical routing only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
current-head-branch-delta,R3 Arabic/Persianate linear algebra,transfer-audits/session12-20260705/B3_WHOLE_CORPUS_33B23_PACKAGE_QUEUE_20260706/B3_POST_AD3E3AA_R3_A2C52A42_BRANCH_DELTA_BATCH_MANIFEST_20260706.csv,manifest-sha-validation,R3 Arabic/Persianate linear algebra: verify hashes and route to B3 package handoff.,"source-use/provenance/gap/draft/non-canonical routing only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
current-head-branch-delta,R3 Arabic/Persianate linear algebra,transfer-audits/session12-20260705/B3_WHOLE_CORPUS_33B23_PACKAGE_QUEUE_20260706/B3_POST_AD3E3AA_R3_A2C52A42_BRANCH_DELTA_BATCH_SHA256SUMS_20260706.txt,manifest-sha-validation,R3 Arabic/Persianate linear algebra: verify hashes and route to B3 package handoff.,"source-use/provenance/gap/draft/non-canonical routing only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
current-head-branch-delta,R6 Indigenous/Creole/Sign,uploader-transfer/r6-a2c52a42-branch-advance-live-recovery-probe-cycle-20260706/R6_A2C52A42_BRANCH_ADVANCE_LIVE_RECOVERY_PROBE_CYCLE_20260706/MANIFEST.csv,blocker-recovery-probe,R6 Indigenous/Creole/Sign: execute recovery/probe next actions or keep blocker active.,"source-use/provenance/gap/draft/non-canonical routing only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
current-head-branch-delta,R6 Indigenous/Creole/Sign,uploader-transfer/r6-a2c52a42-branch-advance-live-recovery-probe-cycle-20260706/R6_A2C52A42_BRANCH_ADVANCE_LIVE_RECOVERY_PROBE_CYCLE_20260706/R6_AC6F_LIVE_RECOVERY_SCOPE_SUMMARY.csv,blocker-recovery-probe,R6 Indigenous/Creole/Sign: execute recovery/probe next actions or keep blocker active.,"source-use/provenance/gap/draft/non-canonical routing only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
current-head-branch-delta,R6 Indigenous/Creole/Sign,uploader-transfer/r6-a2c52a42-branch-advance-live-recovery-probe-cycle-20260706/R6_A2C52A42_BRANCH_ADVANCE_LIVE_RECOVERY_PROBE_CYCLE_20260706/README.md,blocker-recovery-probe,R6 Indigenous/Creole/Sign: execute recovery/probe next actions or keep blocker active.,"source-use/provenance/gap/draft/non-canonical routing only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
current-head-branch-delta,R6 Indigenous/Creole/Sign,uploader-transfer/r6-a2c52a42-branch-advance-live-recovery-probe-cycle-20260706/R6_A2C52A42_BRANCH_ADVANCE_LIVE_RECOVERY_PROBE_CYCLE_20260706/SHA256SUMS.txt,blocker-recovery-probe,R6 Indigenous/Creole/Sign: execute recovery/probe next actions or keep blocker active.,"source-use/provenance/gap/draft/non-canonical routing only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
current-head-branch-delta,R6 Indigenous/Creole/Sign,uploader-transfer/r6-a2c52a42-branch-advance-live-recovery-probe-cycle-20260706/R6_A2C52A42_BRANCH_ADVANCE_LIVE_RECOVERY_PROBE_CYCLE_20260706/b3/B3_ROUTE.csv,blocker-recovery-probe,R6 Indigenous/Creole/Sign: execute recovery/probe next actions or keep blocker active.,"source-use/provenance/gap/draft/non-canonical routing only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
current-head-branch-delta,R6 Indigenous/Creole/Sign,uploader-transfer/r6-a2c52a42-branch-advance-live-recovery-probe-cycle-20260706/R6_A2C52A42_BRANCH_ADVANCE_LIVE_RECOVERY_PROBE_CYCLE_20260706/blockers/R6_AC6F_LIVE_RECOVERY_BLOCKERS_AND_NEXT_ACTIONS.csv,blocker-recovery-probe,R6 Indigenous/Creole/Sign: execute recovery/probe next actions or keep blocker active.,"source-use/provenance/gap/draft/non-canonical routing only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
current-head-branch-delta,R6 Indigenous/Creole/Sign,uploader-transfer/r6-a2c52a42-branch-advance-live-recovery-probe-cycle-20260706/R6_A2C52A42_BRANCH_ADVANCE_LIVE_RECOVERY_PROBE_CYCLE_20260706/branch-advance/A2C52A42_BRANCH_ADVANCE_COMPARISON_NOTE.csv,blocker-recovery-probe,R6 Indigenous/Creole/Sign: execute recovery/probe next actions or keep blocker active.,"source-use/provenance/gap/draft/non-canonical routing only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
current-head-branch-delta,R6 Indigenous/Creole/Sign,uploader-transfer/r6-a2c52a42-branch-advance-live-recovery-probe-cycle-20260706/R6_A2C52A42_BRANCH_ADVANCE_LIVE_RECOVERY_PROBE_CYCLE_20260706/branch-advance/A2C52A42_COMPARE_FILE_INDEX.csv,blocker-recovery-probe,R6 Indigenous/Creole/Sign: execute recovery/probe next actions or keep blocker active.,"source-use/provenance/gap/draft/non-canonical routing only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
current-head-branch-delta,R6 Indigenous/Creole/Sign,uploader-transfer/r6-a2c52a42-branch-advance-live-recovery-probe-cycle-20260706/R6_A2C52A42_BRANCH_ADVANCE_LIVE_RECOVERY_PROBE_CYCLE_20260706/branch-advance/AD3_OBSERVED_REMOTE_AFTER_A2C52A42_COMPARISON_NOTE.csv,blocker-recovery-probe,R6 Indigenous/Creole/Sign: execute recovery/probe next actions or keep blocker active.,"source-use/provenance/gap/draft/non-canonical routing only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
current-head-branch-delta,R6 Indigenous/Creole/Sign,uploader-transfer/r6-a2c52a42-branch-advance-live-recovery-probe-cycle-20260706/R6_A2C52A42_BRANCH_ADVANCE_LIVE_RECOVERY_PROBE_CYCLE_20260706/branch-advance/AD3_OBSERVED_REMOTE_AFTER_A2C52A42_FILE_INDEX.csv,blocker-recovery-probe,R6 Indigenous/Creole/Sign: execute recovery/probe next actions or keep blocker active.,"source-use/provenance/gap/draft/non-canonical routing only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
current-head-branch-delta,R6 Indigenous/Creole/Sign,uploader-transfer/r6-a2c52a42-branch-advance-live-recovery-probe-cycle-20260706/R6_A2C52A42_BRANCH_ADVANCE_LIVE_RECOVERY_PROBE_CYCLE_20260706/local-references/R6_AC6F_LOCAL_SOURCE_GATED_REFERENCE_CHECK.csv,blocker-recovery-probe,R6 Indigenous/Creole/Sign: execute recovery/probe next actions or keep blocker active.,"source-use/provenance/gap/draft/non-canonical routing only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
current-head-branch-delta,R6 Indigenous/Creole/Sign,uploader-transfer/r6-a2c52a42-branch-advance-live-recovery-probe-cycle-20260706/R6_A2C52A42_BRANCH_ADVANCE_LIVE_RECOVERY_PROBE_CYCLE_20260706/local-references/R6_AC6F_PREVIOUS_SCOPE_BOUNDARY_SUMMARY_CARRY_FORWARD.csv,blocker-recovery-probe,R6 Indigenous/Creole/Sign: execute recovery/probe next actions or keep blocker active.,"source-use/provenance/gap/draft/non-canonical routing only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
current-head-branch-delta,R6 Indigenous/Creole/Sign,uploader-transfer/r6-a2c52a42-branch-advance-live-recovery-probe-cycle-20260706/R6_A2C52A42_BRANCH_ADVANCE_LIVE_RECOVERY_PROBE_CYCLE_20260706/logs/LOGBOOK_EXCERPT_20260706.md,blocker-recovery-probe,R6 Indigenous/Creole/Sign: execute recovery/probe next actions or keep blocker active.,"source-use/provenance/gap/draft/non-canonical routing only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
current-head-branch-delta,R6 Indigenous/Creole/Sign,uploader-transfer/r6-a2c52a42-branch-advance-live-recovery-probe-cycle-20260706/R6_A2C52A42_BRANCH_ADVANCE_LIVE_RECOVERY_PROBE_CYCLE_20260706/probe-results/R6_AC6F_EXTRACTED_ROUTE_LINK_CANDIDATES.csv,blocker-recovery-probe,R6 Indigenous/Creole/Sign: execute recovery/probe next actions or keep blocker active.,"source-use/provenance/gap/draft/non-canonical routing only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
current-head-branch-delta,R6 Indigenous/Creole/Sign,uploader-transfer/r6-a2c52a42-branch-advance-live-recovery-probe-cycle-20260706/R6_A2C52A42_BRANCH_ADVANCE_LIVE_RECOVERY_PROBE_CYCLE_20260706/probe-results/R6_AC6F_LIVE_RECOVERY_HTTP_PROBES.csv,blocker-recovery-probe,R6 Indigenous/Creole/Sign: execute recovery/probe next actions or keep blocker active.,"source-use/provenance/gap/draft/non-canonical routing only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
prior-a2c52-ad3e-gap-queue,Interlanguage/Fable authority,interlanguage-sidecar/interlanguage-authority-ac6f4e-current-head-refresh-20260706/INTERLANGUAGE_FABLE_AC6F4E_CURRENT_HEAD_AUTHORITY_REFRESH_20260706/AC6F4E_AUTHORITY_ROUTING_ROWS.csv,b3/package-or-triage,inspect AC6F-to-A2C52 delta for source-use/Fable/interlanguage authority relevance,"A2C52A42 branch-delta authority refresh/support only; generated-draft/noncanonical/source-use/provenance/gap labels; no native review, community consent, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
prior-a2c52-ad3e-gap-queue,Interlanguage/Fable authority,interlanguage-sidecar/interlanguage-authority-ac6f4e-current-head-refresh-20260706/INTERLANGUAGE_FABLE_AC6F4E_CURRENT_HEAD_AUTHORITY_REFRESH_20260706/AC6F4E_AUTHORITY_ROUTING_ROWS.json,b3/package-or-triage,inspect AC6F-to-A2C52 delta for source-use/Fable/interlanguage authority relevance,"A2C52A42 branch-delta authority refresh/support only; generated-draft/noncanonical/source-use/provenance/gap labels; no native review, community consent, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
prior-a2c52-ad3e-gap-queue,Interlanguage/Fable authority,interlanguage-sidecar/interlanguage-authority-ac6f4e-current-head-refresh-20260706/INTERLANGUAGE_FABLE_AC6F4E_CURRENT_HEAD_AUTHORITY_REFRESH_20260706/AC6F4E_CURRENT_HEAD_LANE_ENFORCEMENT_REFRESH.csv,b3/package-or-triage,inspect AC6F-to-A2C52 delta for source-use/Fable/interlanguage authority relevance,"A2C52A42 branch-delta authority refresh/support only; generated-draft/noncanonical/source-use/provenance/gap labels; no native review, community consent, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
prior-a2c52-ad3e-gap-queue,Interlanguage/Fable authority,interlanguage-sidecar/interlanguage-authority-ac6f4e-current-head-refresh-20260706/INTERLANGUAGE_FABLE_AC6F4E_CURRENT_HEAD_AUTHORITY_REFRESH_20260706/AC6F4E_CURRENT_HEAD_LANE_ENFORCEMENT_REFRESH.json,b3/package-or-triage,inspect AC6F-to-A2C52 delta for source-use/Fable/interlanguage authority relevance,"A2C52A42 branch-delta authority refresh/support only; generated-draft/noncanonical/source-use/provenance/gap labels; no native review, community consent, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
prior-a2c52-ad3e-gap-queue,Interlanguage/Fable authority,interlanguage-sidecar/interlanguage-authority-ac6f4e-current-head-refresh-20260706/INTERLANGUAGE_FABLE_AC6F4E_CURRENT_HEAD_AUTHORITY_REFRESH_20260706/AC6F4E_EXACT_GAP_AND_RECOVERY_QUEUE.csv,b3/package-or-triage,inspect AC6F-to-A2C52 delta for source-use/Fable/interlanguage authority relevance,"A2C52A42 branch-delta authority refresh/support only; generated-draft/noncanonical/source-use/provenance/gap labels; no native review, community consent, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
prior-a2c52-ad3e-gap-queue,Interlanguage/Fable authority,interlanguage-sidecar/interlanguage-authority-ac6f4e-current-head-refresh-20260706/INTERLANGUAGE_FABLE_AC6F4E_CURRENT_HEAD_AUTHORITY_REFRESH_20260706/AC6F4E_EXACT_GAP_AND_RECOVERY_QUEUE.json,b3/package-or-triage,inspect AC6F-to-A2C52 delta for source-use/Fable/interlanguage authority relevance,"A2C52A42 branch-delta authority refresh/support only; generated-draft/noncanonical/source-use/provenance/gap labels; no native review, community consent, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
prior-a2c52-ad3e-gap-queue,Interlanguage/Fable authority,interlanguage-sidecar/interlanguage-authority-ac6f4e-current-head-refresh-20260706/INTERLANGUAGE_FABLE_AC6F4E_CURRENT_HEAD_AUTHORITY_REFRESH_20260706/AC6F4E_FABLE_STANDARD_COVERAGE_REFRESH.csv,b3/package-or-triage,inspect AC6F-to-A2C52 delta for source-use/Fable/interlanguage authority relevance,"A2C52A42 branch-delta authority refresh/support only; generated-draft/noncanonical/source-use/provenance/gap labels; no native review, community consent, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
prior-a2c52-ad3e-gap-queue,Interlanguage/Fable authority,interlanguage-sidecar/interlanguage-authority-ac6f4e-current-head-refresh-20260706/INTERLANGUAGE_FABLE_AC6F4E_CURRENT_HEAD_AUTHORITY_REFRESH_20260706/AC6F4E_FABLE_STANDARD_COVERAGE_REFRESH.json,b3/package-or-triage,inspect AC6F-to-A2C52 delta for source-use/Fable/interlanguage authority relevance,"A2C52A42 branch-delta authority refresh/support only; generated-draft/noncanonical/source-use/provenance/gap labels; no native review, community consent, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
prior-a2c52-ad3e-gap-queue,Interlanguage/Fable authority,interlanguage-sidecar/interlanguage-authority-ac6f4e-current-head-refresh-20260706/INTERLANGUAGE_FABLE_AC6F4E_CURRENT_HEAD_AUTHORITY_REFRESH_20260706/AC6F4E_SIBLING_WAKE_DISPATCH_LOG.csv,b3/package-or-triage,inspect AC6F-to-A2C52 delta for source-use/Fable/interlanguage authority relevance,"A2C52A42 branch-delta authority refresh/support only; generated-draft/noncanonical/source-use/provenance/gap labels; no native review, community consent, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
prior-a2c52-ad3e-gap-queue,Interlanguage/Fable authority,interlanguage-sidecar/interlanguage-authority-ac6f4e-current-head-refresh-20260706/INTERLANGUAGE_FABLE_AC6F4E_CURRENT_HEAD_AUTHORITY_REFRESH_20260706/AC6F4E_SIBLING_WAKE_DISPATCH_LOG.json,b3/package-or-triage,inspect AC6F-to-A2C52 delta for source-use/Fable/interlanguage authority relevance,"A2C52A42 branch-delta authority refresh/support only; generated-draft/noncanonical/source-use/provenance/gap labels; no native review, community consent, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
prior-a2c52-ad3e-gap-queue,Interlanguage/Fable authority,interlanguage-sidecar/interlanguage-authority-ac6f4e-current-head-refresh-20260706/INTERLANGUAGE_FABLE_AC6F4E_CURRENT_HEAD_AUTHORITY_REFRESH_20260706/ACTIVE_SESSION_STATE.md,b3/package-or-triage,inspect AC6F-to-A2C52 delta for source-use/Fable/interlanguage authority relevance,"A2C52A42 branch-delta authority refresh/support only; generated-draft/noncanonical/source-use/provenance/gap labels; no native review, community consent, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
prior-a2c52-ad3e-gap-queue,Interlanguage/Fable authority,interlanguage-sidecar/interlanguage-authority-ac6f4e-current-head-refresh-20260706/INTERLANGUAGE_FABLE_AC6F4E_CURRENT_HEAD_AUTHORITY_REFRESH_20260706/B3_UPLOADER_READY_SUMMARY_AC6F4E.md,b3/package-or-triage,inspect AC6F-to-A2C52 delta for source-use/Fable/interlanguage authority relevance,"A2C52A42 branch-delta authority refresh/support only; generated-draft/noncanonical/source-use/provenance/gap labels; no native review, community consent, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
prior-a2c52-ad3e-gap-queue,Interlanguage/Fable authority,interlanguage-sidecar/interlanguage-authority-ac6f4e-current-head-refresh-20260706/INTERLANGUAGE_FABLE_AC6F4E_CURRENT_HEAD_AUTHORITY_REFRESH_20260706/BRANCH_212DFB_TO_AC6F4E_COMPARE_META.json,b3/package-or-triage,inspect AC6F-to-A2C52 delta for source-use/Fable/interlanguage authority relevance,"A2C52A42 branch-delta authority refresh/support only; generated-draft/noncanonical/source-use/provenance/gap labels; no native review, community consent, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
prior-a2c52-ad3e-gap-queue,Interlanguage/Fable authority,interlanguage-sidecar/interlanguage-authority-ac6f4e-current-head-refresh-20260706/INTERLANGUAGE_FABLE_AC6F4E_CURRENT_HEAD_AUTHORITY_REFRESH_20260706/BRANCH_212DFB_TO_AC6F4E_COMPARE_QUEUE.csv,b3/package-or-triage,inspect AC6F-to-A2C52 delta for source-use/Fable/interlanguage authority relevance,"A2C52A42 branch-delta authority refresh/support only; generated-draft/noncanonical/source-use/provenance/gap labels; no native review, community consent, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
prior-a2c52-ad3e-gap-queue,Interlanguage/Fable authority,interlanguage-sidecar/interlanguage-authority-ac6f4e-current-head-refresh-20260706/INTERLANGUAGE_FABLE_AC6F4E_CURRENT_HEAD_AUTHORITY_REFRESH_20260706/BRANCH_212DFB_TO_AC6F4E_COMPARE_QUEUE.json,b3/package-or-triage,inspect AC6F-to-A2C52 delta for source-use/Fable/interlanguage authority relevance,"A2C52A42 branch-delta authority refresh/support only; generated-draft/noncanonical/source-use/provenance/gap labels; no native review, community consent, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
prior-a2c52-ad3e-gap-queue,Interlanguage/Fable authority,interlanguage-sidecar/interlanguage-authority-ac6f4e-current-head-refresh-20260706/INTERLANGUAGE_FABLE_AC6F4E_CURRENT_HEAD_AUTHORITY_REFRESH_20260706/BRANCH_AC6F4E_AUTHORITY_ARTIFACT_INDEX.csv,b3/package-or-triage,inspect AC6F-to-A2C52 delta for source-use/Fable/interlanguage authority relevance,"A2C52A42 branch-delta authority refresh/support only; generated-draft/noncanonical/source-use/provenance/gap labels; no native review, community consent, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
