source,lane,branch_path,bytes,sha256,artifact_role,required_action,claim_boundary
prior-a2c52-ad3e-source-queue,Interlanguage/Fable authority,FABLE_INTERLANGUAGE_PROGRAM_BLOCKING_DIRECTIVE_20260705.md,,67ABA906DD890146A275B71938541A649B50596E63558444924FD8FF2A246010,branch-instruction-or-provenance-body,continue as source-linked authority input; no source certification,"method/provenance body only; no source certification, license clearance, review, finality, or completion"
prior-a2c52-ad3e-source-queue,Interlanguage/Fable authority,SET_THIS_AS_YOUR_GOAL_VERBATIM_20260705.md,,61D856AE2F55D1789E66D9773B2234C6E2D6D2B1A34924E1369B868ED990B16E,branch-instruction-or-provenance-body,continue as source-linked authority input; no source certification,"method/provenance body only; no source certification, license clearance, review, finality, or completion"
prior-a2c52-ad3e-source-queue,Interlanguage/Fable authority,coordination/OTHER_PC_ACTIVE_DISPATCH_BOARD_20260705.md,,1EABDE25050C15EC3EA019036F94D9444E20DA95AB6DF90CD59E3D02E050BF02,branch-instruction-or-provenance-body,continue as source-linked authority input; no source certification,"method/provenance body only; no source certification, license clearance, review, finality, or completion"
prior-a2c52-ad3e-source-queue,Interlanguage/Fable authority,coordination/OTHER_PC_SESSION_MANAGER_AND_LOGBOOK_DIRECTIVE_20260705.md,,76139E34EFCD7E763FA8702A6E39D873A9FC50A88EE13776E6BF169AFA93FF51,branch-instruction-or-provenance-body,continue as source-linked authority input; no source certification,"method/provenance body only; no source certification, license clearance, review, finality, or completion"
prior-a2c52-ad3e-source-queue,Interlanguage/Fable authority,coordination/TO_OTHER_AI_LATEX_SOURCE_DIRECTIVE_20260705.md,,E07949EB2BEECA590FAE54872B8DCD67010AFC0E666C90EB0E40AF9440769B78,branch-instruction-or-provenance-body,continue as source-linked authority input; no source certification,"method/provenance body only; no source certification, license clearance, review, finality, or completion"
prior-a2c52-ad3e-source-queue,Interlanguage/Fable authority,interlanguage-sidecar/20260705/fable_chatgpt_interlingua_program_full/interlingua_program_20260704/DO_NOT_USE_LEDGER_20260704.json,,4673A48355D4E3065F2A1E714466BA9351F2908A670CB4115C52542E80691223,branch-instruction-or-provenance-body,continue as source-linked authority input; no source certification,"method/provenance body only; no source certification, license clearance, review, finality, or completion"
prior-a2c52-ad3e-source-queue,Interlanguage/Fable authority,interlanguage-sidecar/20260705/fable_chatgpt_interlingua_program_full/interlingua_program_20260704/DO_NOT_USE_LEDGER_20260704.md,,1B257B988FEA6541D538E267488CBFF7FE75D2855943B2A73CBE410B6F95C7A2,branch-instruction-or-provenance-body,continue as source-linked authority input; no source certification,"method/provenance body only; no source certification, license clearance, review, finality, or completion"
prior-a2c52-ad3e-source-queue,Interlanguage/Fable authority,interlanguage-sidecar/20260705/fable_chatgpt_interlingua_program_full/interlingua_program_20260704/user made flr with chat web stuff/WEIGHTED_INTELLIGIBILITY_SCORES_v3_20260704.json,,A764A8FE8F3C0538F0C87B282B4F7B8A8E26B830CED92A3EA55C93F48D585B83,branch-instruction-or-provenance-body,continue as source-linked authority input; no source certification,"method/provenance body only; no source certification, license clearance, review, finality, or completion"
prior-a2c52-ad3e-source-queue,Interlanguage/Fable authority,interlanguage-sidecar/20260705/fable_chatgpt_interlingua_program_full/interlingua_program_20260704/user made flr with chat web stuff/WEIGHTED_INTELLIGIBILITY_SCORES_v3_20260704.md,,60ECBAD20372D632056B090A108B50F725AED0E0B24A5BA398F99078DDFE4D85,branch-instruction-or-provenance-body,continue as source-linked authority input; no source certification,"method/provenance body only; no source certification, license clearance, review, finality, or completion"
prior-a2c52-ad3e-source-queue,Interlanguage/Fable authority,interlanguage-sidecar/20260705/fable_chatgpt_interlingua_program_full/interlingua_program_20260704/user made flr with chat web stuff/enclosures/WEIGHTED_INTELLIGIBILITY_SCORES_v3_20260704.md,,60ECBAD20372D632056B090A108B50F725AED0E0B24A5BA398F99078DDFE4D85,branch-instruction-or-provenance-body,continue as source-linked authority input; no source certification,"method/provenance body only; no source certification, license clearance, review, finality, or completion"
prior-a2c52-ad3e-source-queue,Interlanguage/Fable authority,interlanguage-sidecar/20260706/claude_chatgpt_interlingua_program_full_provenance_dump/README_FOR_OTHER_PC_CODEX.md,,59B850530CCAA580CBFAF275E8B30027D631E4B21A4012EDEC4BDBAC604951B3,branch-instruction-or-provenance-body,continue as source-linked authority input; no source certification,"method/provenance body only; no source certification, license clearance, review, finality, or completion"
prior-a2c52-ad3e-source-queue,Interlanguage/Fable authority,interlanguage-sidecar/20260706/claude_chatgpt_interlingua_program_full_provenance_dump/SUMMARY.json,,BD0BA81791B441DC6FBCF3490FE84BC72D301AFDF9A18BCAC0C424AB28A677E7,branch-instruction-or-provenance-body,continue as source-linked authority input; no source certification,"method/provenance body only; no source certification, license clearance, review, finality, or completion"
prior-a2c52-ad3e-source-queue,Interlanguage/Fable authority,interlanguage-sidecar/20260706/claude_chatgpt_interlingua_program_full_provenance_dump/interlingua_program_20260704/DO_NOT_USE_LEDGER_20260704.json,,55B308E6FFFF7120C2178C631529949595F667246BA32EACCBD12C300B0AFDEF,branch-instruction-or-provenance-body,continue as source-linked authority input; no source certification,"method/provenance body only; no source certification, license clearance, review, finality, or completion"
prior-a2c52-ad3e-source-queue,Interlanguage/Fable authority,interlanguage-sidecar/20260706/claude_chatgpt_interlingua_program_full_provenance_dump/interlingua_program_20260704/DO_NOT_USE_LEDGER_20260704.md,,7465982E79EDA9BDAB40526A2978465FD944BA7DEA4ED80ECC064839399C777A,branch-instruction-or-provenance-body,continue as source-linked authority input; no source certification,"method/provenance body only; no source certification, license clearance, review, finality, or completion"
prior-a2c52-ad3e-source-queue,Interlanguage/Fable authority,interlanguage-sidecar/20260706/claude_chatgpt_interlingua_program_full_provenance_dump/interlingua_program_20260704/INTERLINGUAL_MARKER_TABLE_v3_4_20260705.csv,,1F6A395E70754181FC37909DA4CA4F946F074B2A5725080EF5518CA9FED22F4C,branch-instruction-or-provenance-body,continue as source-linked authority input; no source certification,"method/provenance body only; no source certification, license clearance, review, finality, or completion"
prior-a2c52-ad3e-source-queue,Interlanguage/Fable authority,interlanguage-sidecar/20260706/claude_chatgpt_interlingua_program_full_provenance_dump/interlingua_program_20260704/INTERLINGUAL_MARKER_TABLE_v3_4_20260705.json,,C63D13448E50B13247E89A0F9A88C247399C16239305D698749994DE04C62F03,branch-instruction-or-provenance-body,continue as source-linked authority input; no source certification,"method/provenance body only; no source certification, license clearance, review, finality, or completion"
prior-a2c52-ad3e-source-queue,Interlanguage/Fable authority,interlanguage-sidecar/20260706/claude_chatgpt_interlingua_program_full_provenance_dump/interlingua_program_20260704/NORMALIZATION_DECISIONS_R1_DRAFT_v1_20260705.json,,84793FCED5AD4E71B4B9013CCE27005BADFECFFE9F38A32B46FE284531500C28,branch-instruction-or-provenance-body,continue as source-linked authority input; no source certification,"method/provenance body only; no source certification, license clearance, review, finality, or completion"
prior-a2c52-ad3e-source-queue,Interlanguage/Fable authority,interlanguage-sidecar/20260706/claude_chatgpt_interlingua_program_full_provenance_dump/interlingua_program_20260704/NORMALIZATION_DECISIONS_R1_DRAFT_v1_20260705.md,,2214359BB09E48467E0BC8173DE6A89C98E3E3E9D223A06982B250570A032739,branch-instruction-or-provenance-body,continue as source-linked authority input; no source certification,"method/provenance body only; no source certification, license clearance, review, finality, or completion"
prior-a2c52-ad3e-source-queue,Interlanguage/Fable authority,interlanguage-sidecar/20260706/claude_chatgpt_interlingua_program_full_provenance_dump/interlingua_program_20260704/SOURCE_USE_POLICY.md,,FD1D166E5F9369CDB63C7BA848D2459F0CBFFAFD5E748238A1079D799606EB1C,branch-instruction-or-provenance-body,continue as source-linked authority input; no source certification,"method/provenance body only; no source certification, license clearance, review, finality, or completion"
prior-a2c52-ad3e-source-queue,Interlanguage/Fable authority,interlanguage-sidecar/20260706/claude_chatgpt_interlingua_program_full_provenance_dump/interlingua_program_20260704/user made flr with chat web stuff/WEIGHTED_INTELLIGIBILITY_SCORES_v3_20260704.json,,A764A8FE8F3C0538F0C87B282B4F7B8A8E26B830CED92A3EA55C93F48D585B83,branch-instruction-or-provenance-body,continue as source-linked authority input; no source certification,"method/provenance body only; no source certification, license clearance, review, finality, or completion"
prior-a2c52-ad3e-source-queue,Interlanguage/Fable authority,interlanguage-sidecar/20260706/claude_chatgpt_interlingua_program_full_provenance_dump/interlingua_program_20260704/user made flr with chat web stuff/WEIGHTED_INTELLIGIBILITY_SCORES_v3_20260704.md,,60ECBAD20372D632056B090A108B50F725AED0E0B24A5BA398F99078DDFE4D85,branch-instruction-or-provenance-body,continue as source-linked authority input; no source certification,"method/provenance body only; no source certification, license clearance, review, finality, or completion"
prior-a2c52-ad3e-source-queue,Interlanguage/Fable authority,interlanguage-sidecar/20260706/claude_chatgpt_interlingua_program_full_provenance_dump/interlingua_program_20260704/user made flr with chat web stuff/enclosures/WEIGHTED_INTELLIGIBILITY_SCORES_v3_20260704.md,,60ECBAD20372D632056B090A108B50F725AED0E0B24A5BA398F99078DDFE4D85,branch-instruction-or-provenance-body,continue as source-linked authority input; no source certification,"method/provenance body only; no source certification, license clearance, review, finality, or completion"
prior-a2c52-ad3e-source-queue,Interlanguage/Fable authority,AC6F authority refresh,,,local-authority-support-package,route package for B3 packaging and current-head reconciliation,"A2C52A42 branch-delta authority refresh/support only; generated-draft/noncanonical/source-use/provenance/gap labels; no native review, community consent, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
prior-a2c52-ad3e-source-queue,Arabic RTL,Arabic AC6F support,,,local-authority-support-package,route package for B3 packaging and current-head reconciliation,"A2C52A42 branch-delta authority refresh/support only; generated-draft/noncanonical/source-use/provenance/gap labels; no native review, community consent, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
prior-a2c52-ad3e-source-queue,Arabic RTL,R3 AC6F support,,,local-authority-support-package,route package for B3 packaging and current-head reconciliation,"A2C52A42 branch-delta authority refresh/support only; generated-draft/noncanonical/source-use/provenance/gap labels; no native review, community consent, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
prior-a2c52-ad3e-source-queue,Arabic RTL,C:\Users\memo_\Documents\Codex\2026-07-04\noether-github-package-steward-b3\worktrees\payload-20260705-split4\language-source-bodies\arabic-rtl-source-bodies-20260705,,,native-source-body / OCR-witness / generated-draft,"cite exact source-body route if present; if path not materialized, request B3 route/rematerialization","source-use/provenance/gap/draft/non-canonical routing only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
prior-a2c52-ad3e-source-queue,CJK draft/source,C:\Users\memo_\Documents\Codex\2026-07-04\noether-github-package-steward-b3\worktrees\payload-20260705-split4\language-source-bodies\cjk,,,native-source-body / generated-draft / support,"cite exact source-body route if present; if path not materialized, request B3 route/rematerialization","source-use/provenance/gap/draft/non-canonical routing only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
prior-a2c52-ad3e-source-queue,CJK draft/source,C:\Users\memo_\Documents\Codex\2026-07-04\noether-github-package-steward-b3\worktrees\payload-20260705-split4\language-source-bodies\cjk-native-source-bodies-20260705,,,native-source-body,"cite exact source-body route if present; if path not materialized, request B3 route/rematerialization","source-use/provenance/gap/draft/non-canonical routing only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
prior-a2c52-ad3e-source-queue,Persianate/Tajik,C:\Users\memo_\Documents\Codex\2026-07-04\noether-github-package-steward-b3\worktrees\payload-20260705-split4\language-source-bodies\persianate-tajik-source-bodies-20260705,,,native-source-body / gap-row,"cite exact source-body route if present; if path not materialized, request B3 route/rematerialization","source-use/provenance/gap/draft/non-canonical routing only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
prior-a2c52-ad3e-source-queue,R2 Pan-Turkic,C:\Users\memo_\Documents\Codex\2026-07-04\noether-github-package-steward-b3\worktrees\payload-20260705-split4\language-source-bodies\pan-turkic-source-bodies-20260705,,,source-body / blocker,"cite exact source-body route if present; if path not materialized, request B3 route/rematerialization","source-use/provenance/gap/draft/non-canonical routing only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
prior-a2c52-ad3e-source-queue,R6 Indigenous/Creole/Sign,C:\Users\memo_\Documents\Codex\2026-07-04\noether-github-package-steward-b3\worktrees\payload-20260705-split4\language-source-bodies\r6-indigenous-creole-sign-20260705,,,source-body / ethics-boundary,"cite exact source-body route if present; if path not materialized, request B3 route/rematerialization","source-use/provenance/gap/draft/non-canonical routing only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
prior-a2c52-ad3e-source-queue,R7 Malay/SEA/Pacific,C:\Users\memo_\Documents\Codex\2026-07-04\noether-github-package-steward-b3\worktrees\payload-20260705-split4\language-source-bodies\r7-malay-sea-pacific-20260705,,,source-body / pointer-repair,"cite exact source-body route if present; if path not materialized, request B3 route/rematerialization","source-use/provenance/gap/draft/non-canonical routing only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
prior-a2c52-ad3e-source-queue,R9 Africa/Horn/West,C:\Users\memo_\Documents\Codex\2026-07-04\noether-github-package-steward-b3\worktrees\payload-20260705-split4\language-source-bodies\r9-africa-horn-west-20260705,,,native-source-body,"cite exact source-body route if present; if path not materialized, request B3 route/rematerialization","source-use/provenance/gap/draft/non-canonical routing only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
prior-a2c52-ad3e-source-queue,Romance,C:\Users\memo_\Documents\Codex\2026-07-04\noether-github-package-steward-b3\worktrees\payload-20260705-split4\language-source-bodies\romance-germanic-baselines-20260705-spanish-san-salvador,,,native-source-body,"cite exact source-body route if present; if path not materialized, request B3 route/rematerialization","source-use/provenance/gap/draft/non-canonical routing only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
prior-a2c52-ad3e-source-queue,Arabic RTL,C:\Users\memo_\Documents\Codex\2026-07-04\noether-github-package-steward-b3\worktrees\payload-20260705-split4\language-source-bodies\rtl-persianate-arabic-20260705-r3-witness-layer,,,native-source-body / source witness,"cite exact source-body route if present; if path not materialized, request B3 route/rematerialization","source-use/provenance/gap/draft/non-canonical routing only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
prior-a2c52-ad3e-source-queue,Arabic RTL,C:\Users\memo_\Documents\Codex\2026-07-04\noether-github-package-steward-b3\worktrees\payload-20260705-split4\language-source-bodies\rtl-persianate-arabic-20260705-r3-full-source-bodies,,,native-source-body,"cite exact source-body route if present; if path not materialized, request B3 route/rematerialization","source-use/provenance/gap/draft/non-canonical routing only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
prior-a2c52-ad3e-source-queue,Interlanguage/Fable authority,interlanguage-sidecar/interlanguage-authority-c7fb-body-linked-standardization-20260706/INTERLANGUAGE_WHOLE_CORPUS_C7FB7E_BODY_LINKED_STANDARDIZATION_20260706/B3_UPLOADER_READY_ARTIFACT_INDEX_C7FB.csv,,,source-body/source-witness/source-use,owner lane compares branch-visible artifact against local output and applies source-gated rows only,"source-use/provenance/gap/draft/non-canonical routing only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
prior-a2c52-ad3e-source-queue,Interlanguage/Fable authority,interlanguage-sidecar/interlanguage-authority-c7fb-body-linked-standardization-20260706/INTERLANGUAGE_WHOLE_CORPUS_C7FB7E_BODY_LINKED_STANDARDIZATION_20260706/B3_UPLOADER_READY_ARTIFACT_INDEX_C7FB.json,,,source-body/source-witness/source-use,owner lane compares branch-visible artifact against local output and applies source-gated rows only,"source-use/provenance/gap/draft/non-canonical routing only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
prior-a2c52-ad3e-source-queue,Interlanguage/Fable authority,interlanguage-sidecar/interlanguage-authority-c7fb-body-linked-standardization-20260706/INTERLANGUAGE_WHOLE_CORPUS_C7FB7E_BODY_LINKED_STANDARDIZATION_20260706/B3_UPLOADER_READY_SUMMARY_C7FB.md,,,source-body/source-witness/source-use,owner lane compares branch-visible artifact against local output and applies source-gated rows only,"source-use/provenance/gap/draft/non-canonical routing only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
prior-a2c52-ad3e-source-queue,Interlanguage/Fable authority,interlanguage-sidecar/interlanguage-authority-c7fb-body-linked-standardization-20260706/INTERLANGUAGE_WHOLE_CORPUS_C7FB7E_BODY_LINKED_STANDARDIZATION_20260706/BODY_LINKED_ADVERSE_DO_NOT_USE_LEDGER_C7FB.csv,,,source-body/source-witness/source-use,owner lane compares branch-visible artifact against local output and applies source-gated rows only,"source-use/provenance/gap/draft/non-canonical routing only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
prior-a2c52-ad3e-source-queue,Interlanguage/Fable authority,interlanguage-sidecar/interlanguage-authority-c7fb-body-linked-standardization-20260706/INTERLANGUAGE_WHOLE_CORPUS_C7FB7E_BODY_LINKED_STANDARDIZATION_20260706/BODY_LINKED_ADVERSE_DO_NOT_USE_LEDGER_C7FB.json,,,source-body/source-witness/source-use,owner lane compares branch-visible artifact against local output and applies source-gated rows only,"source-use/provenance/gap/draft/non-canonical routing only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
prior-a2c52-ad3e-source-queue,Interlanguage/Fable authority,interlanguage-sidecar/interlanguage-authority-c7fb-body-linked-standardization-20260706/INTERLANGUAGE_WHOLE_CORPUS_C7FB7E_BODY_LINKED_STANDARDIZATION_20260706/BODY_LINKED_AUTHORITY_BOUNDARY_LEDGER_C7FB.csv,,,source-body/source-witness/source-use,owner lane compares branch-visible artifact against local output and applies source-gated rows only,"source-use/provenance/gap/draft/non-canonical routing only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
prior-a2c52-ad3e-source-queue,Interlanguage/Fable authority,interlanguage-sidecar/interlanguage-authority-c7fb-body-linked-standardization-20260706/INTERLANGUAGE_WHOLE_CORPUS_C7FB7E_BODY_LINKED_STANDARDIZATION_20260706/BODY_LINKED_AUTHORITY_BOUNDARY_LEDGER_C7FB.json,,,source-body/source-witness/source-use,owner lane compares branch-visible artifact against local output and applies source-gated rows only,"source-use/provenance/gap/draft/non-canonical routing only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
prior-a2c52-ad3e-source-queue,Interlanguage/Fable authority,interlanguage-sidecar/interlanguage-authority-c7fb-body-linked-standardization-20260706/INTERLANGUAGE_WHOLE_CORPUS_C7FB7E_BODY_LINKED_STANDARDIZATION_20260706/BODY_LINKED_BRANCH_WEIGHT_LEDGER_C7FB.csv,,,source-body/source-witness/source-use,owner lane compares branch-visible artifact against local output and applies source-gated rows only,"source-use/provenance/gap/draft/non-canonical routing only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
prior-a2c52-ad3e-source-queue,Interlanguage/Fable authority,interlanguage-sidecar/interlanguage-authority-c7fb-body-linked-standardization-20260706/INTERLANGUAGE_WHOLE_CORPUS_C7FB7E_BODY_LINKED_STANDARDIZATION_20260706/BODY_LINKED_BRANCH_WEIGHT_LEDGER_C7FB.json,,,source-body/source-witness/source-use,owner lane compares branch-visible artifact against local output and applies source-gated rows only,"source-use/provenance/gap/draft/non-canonical routing only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
prior-a2c52-ad3e-source-queue,Interlanguage/Fable authority,interlanguage-sidecar/interlanguage-authority-c7fb-body-linked-standardization-20260706/INTERLANGUAGE_WHOLE_CORPUS_C7FB7E_BODY_LINKED_STANDARDIZATION_20260706/BODY_LINKED_MARGINAL_INTELLIGIBILITY_LEDGER_C7FB.csv,,,source-body/source-witness/source-use,owner lane compares branch-visible artifact against local output and applies source-gated rows only,"source-use/provenance/gap/draft/non-canonical routing only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
prior-a2c52-ad3e-source-queue,Interlanguage/Fable authority,interlanguage-sidecar/interlanguage-authority-c7fb-body-linked-standardization-20260706/INTERLANGUAGE_WHOLE_CORPUS_C7FB7E_BODY_LINKED_STANDARDIZATION_20260706/BODY_LINKED_MARGINAL_INTELLIGIBILITY_LEDGER_C7FB.json,,,source-body/source-witness/source-use,owner lane compares branch-visible artifact against local output and applies source-gated rows only,"source-use/provenance/gap/draft/non-canonical routing only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
prior-a2c52-ad3e-source-queue,Interlanguage/Fable authority,interlanguage-sidecar/interlanguage-authority-c7fb-body-linked-standardization-20260706/INTERLANGUAGE_WHOLE_CORPUS_C7FB7E_BODY_LINKED_STANDARDIZATION_20260706/BODY_LINKED_MARKER_INTERLINEAR_LEDGER_C7FB.csv,,,source-gated draft/pretranslation/interlinear support,owner lane compares branch-visible artifact against local output and applies source-gated rows only,"source-use/provenance/gap/draft/non-canonical routing only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
