printed_page	folio_as_printed	running_head_as_printed	imprint_as_printed	signature_as_printed	rules	evidence	disposition
77	77	D’UNE CLASSE DE FORMULES DU QUATRIÈME DEGRÉ.				qa/s04/source/p077_authority.png; qa/s04/MANUAL_COLD_COLLATION.json#/77	FR furniture reproduced; EN running heads and imprint translated; no additional author page counted
78	78	RECHERCHES SUR LES DIVISEURS PREMIERS				qa/s04/source/p078_authority.png; qa/s04/MANUAL_COLD_COLLATION.json#/78	FR furniture reproduced; EN running heads and imprint translated; no additional author page counted
79	79	D’UNE CLASSE DE FORMULES DU QUATRIÈME DEGRÉ.				qa/s04/source/p079_authority.png; qa/s04/MANUAL_COLD_COLLATION.json#/79	FR furniture reproduced; EN running heads and imprint translated; no additional author page counted
80	80	RECHERCHES SUR LES DIVISEURS PREMIERS				qa/s04/source/p080_authority.png; qa/s04/MANUAL_COLD_COLLATION.json#/80	FR furniture reproduced; EN running heads and imprint translated; no additional author page counted
81	81	D’UNE CLASSE DE FORMULES DU QUATRIÈME DEGRÉ.	G. Lejeune Dirichlet’s Werke.	11		qa/s04/source/p081_authority.png; qa/s04/MANUAL_COLD_COLLATION.json#/81	FR furniture reproduced; EN running heads and imprint translated; no additional author page counted
82	82	RECHERCHES SUR LES DIVISEURS PREMIERS				qa/s04/source/p082_authority.png; qa/s04/MANUAL_COLD_COLLATION.json#/82	FR furniture reproduced; EN running heads and imprint translated; no additional author page counted
83	83	D’UNE CLASSE DE FORMULES DU QUATRIÈME DEGRÉ.		11*		qa/s04/source/p083_authority.png; qa/s04/MANUAL_COLD_COLLATION.json#/83	FR furniture reproduced; EN running heads and imprint translated; no additional author page counted
84	84	RECHERCHES SUR LES DIVISEURS PREMIERS				qa/s04/source/p084_authority.png; qa/s04/MANUAL_COLD_COLLATION.json#/84	FR furniture reproduced; EN running heads and imprint translated; no additional author page counted
85	85	D’UNE CLASSE DE FORMULES DU QUATRIÈME DEGRÉ.			long rule before Addition heading; short rule below heading	qa/s04/source/p085_authority.png; qa/s04/MANUAL_COLD_COLLATION.json#/85	FR furniture reproduced; EN running heads and imprint translated; no additional author page counted
86	86	RECHERCHES SUR LES DIVISEURS PREMIERS				qa/s04/source/p086_authority.png; qa/s04/MANUAL_COLD_COLLATION.json#/86	FR furniture reproduced; EN running heads and imprint translated; no additional author page counted
87	87	D’UNE CLASSE DE FORMULES DU QUATRIÈME DEGRÉ.				qa/s04/source/p087_authority.png; qa/s04/MANUAL_COLD_COLLATION.json#/87	FR furniture reproduced; EN heads and imprint translated; not counted as additional author pages
88	88	RECHERCHES SUR LES DIVISEURS PREMIERS				qa/s04/source/p088_authority.png; qa/s04/MANUAL_COLD_COLLATION.json#/88	FR furniture reproduced; EN heads and imprint translated; not counted as additional author pages
89	89	D’UNE CLASSE DE FORMULES DU QUATRIÈME DEGRÉ.	G. Lejeune Dirichlet’s Werke.	12		qa/s04/source/p089_authority.png; qa/s04/MANUAL_COLD_COLLATION.json#/89	FR furniture reproduced; EN heads and imprint translated; not counted as additional author pages
90	90	RECHERCHES SUR LES DIVISEURS PREMIERS				qa/s04/source/p090_authority.png; qa/s04/MANUAL_COLD_COLLATION.json#/90	FR furniture reproduced; EN heads and imprint translated; not counted as additional author pages
91	91	D’UNE CLASSE DE FORMULES DU QUATRIÈME DEGRÉ.		12*		qa/s04/source/p091_authority.png; qa/s04/MANUAL_COLD_COLLATION.json#/91	FR furniture reproduced; EN heads and imprint translated; not counted as additional author pages
92	92	RECHERCHES SUR LES DIVISEURS PREMIERS				qa/s04/source/p092_authority.png; qa/s04/MANUAL_COLD_COLLATION.json#/92	FR furniture reproduced; EN heads and imprint translated; not counted as additional author pages
93	93	D’UNE CLASSE DE FORMULES DU QUATRIÈME DEGRÉ.				qa/s04/source/p093_authority.png; qa/s04/MANUAL_COLD_COLLATION.json#/93	FR furniture reproduced; EN heads and imprint translated; not counted as additional author pages
94	94	RECHERCHES SUR LES DIVISEURS PREMIERS				qa/s04/source/p094_authority.png; qa/s04/MANUAL_COLD_COLLATION.json#/94	FR furniture reproduced; EN heads and imprint translated; not counted as additional author pages
95	95	D’UNE CLASSE DE FORMULES DU QUATRIÈME DEGRÉ.				qa/s04/source/p095_authority.png; qa/s04/MANUAL_COLD_COLLATION.json#/95	FR furniture reproduced; EN heads and imprint translated; not counted as additional author pages
96	96	RECHERCHES SUR LES DIVISEURS PREMIERS				qa/s04/source/p096_authority.png; qa/s04/MANUAL_COLD_COLLATION.json#/96	FR furniture reproduced; EN heads and imprint translated; not counted as additional author pages
97	97	D’UNE CLASSE DE FORMULES DU QUATRIÈME DEGRÉ.	G. Lejeune Dirichlet’s Werke.	13		qa/s04/source/p097_authority.png; qa/s04/MANUAL_COLD_COLLATION.json#/97	FR furniture reproduced; EN heads and imprint translated; not counted as additional author pages
98	98	RECHERCHES SUR LES DIVISEURS PREMIERS D’UNE CLASSE DE FORMULES ETC.			terminal horizontal rule after final quoted example	qa/s04/source/p098_authority.png; qa/s04/MANUAL_COLD_COLLATION.json#/98	FR furniture reproduced; EN heads and imprint translated; not counted as additional author pages
