decision_id,source_tranche,source_ledger_path,source_ledger_sha256,feature,decision,alternatives_considered,supporting_rationale,adverse_evidence,status,scope,evidence_tier,human_observations,native_validation,promotion_effect
G011,R823_HG_T001,R823_HG_T001/grammar/CONTROLLED_ROMANCE_GRAMMAR_TEST_v1.csv,01387F3DB1E3D7A6875BD094DBD8BED07BF0E3CE8163BE03C162998DA3461B7F,conditional,si P comma in tal caso Q,si...alora; alors; entonces,explicit consequent avoids the prior ambiguous alora,no natural standard uses the full fixed phrase identically,test_only,source_keyed_test_tranches_T001_T006_only,E0_constructed_control_with_source_use,0,False,none
G012,R823_HG_T001,R823_HG_T001/grammar/CONTROLLED_ROMANCE_GRAMMAR_TEST_v1.csv,01387F3DB1E3D7A6875BD094DBD8BED07BF0E3CE8163BE03C162998DA3461B7F,not_only_but,non solmente X ma etiam Y,no solo; non seulement; non solo,learned formal pair with explicit scope,high-register and not corpus-verified across all cohorts,test_only,source_keyed_test_tranches_T001_T006_only,E0_constructed_control_with_source_use,0,False,none
G013,R823_HG_T001,R823_HG_T001/grammar/CONTROLLED_ROMANCE_GRAMMAR_TEST_v1.csv,01387F3DB1E3D7A6875BD094DBD8BED07BF0E3CE8163BE03C162998DA3461B7F,demonstrative,invariant iste,este; cette; questo; acest,learned compromise and distinct from article,not native-neutral,test_only,source_keyed_test_tranches_T001_T006_only,E0_constructed_control_with_source_use,0,False,none
G014,R823_HG_T001,R823_HG_T001/grammar/CONTROLLED_ROMANCE_GRAMMAR_TEST_v1.csv,01387F3DB1E3D7A6875BD094DBD8BED07BF0E3CE8163BE03C162998DA3461B7F,possessive,invariant su,son/sa; seu; suo; său,compact shared stem,number/gender distinctions erased,test_only,source_keyed_test_tranches_T001_T006_only,E0_constructed_control_with_source_use,0,False,none
G015,R823_HG_T001,R823_HG_T001/grammar/CONTROLLED_ROMANCE_GRAMMAR_TEST_v1.csv,01387F3DB1E3D7A6875BD094DBD8BED07BF0E3CE8163BE03C162998DA3461B7F,prepositions,fixed de in con per a,language-specific contractions,small analytic inventory,semantic mapping and contractions remain artificial,test_only,source_keyed_test_tranches_T001_T006_only,E0_constructed_control_with_source_use,0,False,none
G016,R823_HG_T001,R823_HG_T001/grammar/CONTROLLED_ROMANCE_GRAMMAR_TEST_v1.csv,01387F3DB1E3D7A6875BD094DBD8BED07BF0E3CE8163BE03C162998DA3461B7F,derivation,-tion abstract nouns; -ism map nouns; -ic/-iv/-al adjectives,-ción/-zione/-isme families,learned stems reduce pivot morphology,stress and collision review still open,test_only,source_keyed_test_tranches_T001_T006_only,E0_constructed_control_with_source_use,0,False,none
G017,R823_HG_T001,R823_HG_T001/grammar/CONTROLLED_ROMANCE_GRAMMAR_TEST_v1.csv,01387F3DB1E3D7A6875BD094DBD8BED07BF0E3CE8163BE03C162998DA3461B7F,left_right_actions,equation-first notation and explicit side label,derecha/gauche/destra/dreapta families,avoids premature lexical selection in noncommutative algebra,prose side words still needed later,test_only,source_keyed_test_tranches_T001_T006_only,E0_constructed_control_with_source_use,0,False,none
G018,R823_HG_T001,R823_HG_T001/grammar/CONTROLLED_ROMANCE_GRAMMAR_TEST_v1.csv,01387F3DB1E3D7A6875BD094DBD8BED07BF0E3CE8163BE03C162998DA3461B7F,pronunciation,no standard pronunciation promoted,phonemic pan-Romance pronunciation,written experiment can be tested independently,oral comprehension untested,held,source_keyed_test_tranches_T001_T006_only,E0_constructed_control_with_source_use,0,False,none
G019,R823_HG_T003,R823_HG_T003/grammar/CONTROLLED_ROMANCE_GRAMMAR_T003_DELTA_v1.csv,77B7B9D67C8BC79DB4D0BFE080A1A7896697B5B16132636844C1615D67159294,side_actions,use operand order cm / m tau / tau-star m-star and avoid a promoted left/right lexeme,sinistre/dextere; gauche/droit; izquierdo/derecho,equations are unambiguous and prevent a branch-dominant lexical choice,running prose may later require reviewed side words,test_only,source_keyed_test_tranches_T001_T006_only,E0_constructed_control_with_source_use,0,False,none
G020,R823_HG_T003,R823_HG_T003/grammar/CONTROLLED_ROMANCE_GRAMMAR_T003_DELTA_v1.csv,77B7B9D67C8BC79DB4D0BFE080A1A7896697B5B16132636844C1615D67159294,implication,P implica Q,si P in tal caso Q; P => Q,compact learned verb while formulas remain visible,verb morphology and register need native review,test_only,source_keyed_test_tranches_T001_T006_only,E0_constructed_control_with_source_use,0,False,none
G021,R823_HG_T003,R823_HG_T003/grammar/CONTROLLED_ROMANCE_GRAMMAR_T003_DELTA_v1.csv,77B7B9D67C8BC79DB4D0BFE080A1A7896697B5B16132636844C1615D67159294,paired_actions,le duo actiones,ambes actiones; le duas actiones,avoids selecting a gendered cardinal while preserving pair scope,slightly analytic and artificial,test_only,source_keyed_test_tranches_T001_T006_only,E0_constructed_control_with_source_use,0,False,none
G022,R823_HG_T003,R823_HG_T003/grammar/CONTROLLED_ROMANCE_GRAMMAR_T003_DELTA_v1.csv,77B7B9D67C8BC79DB4D0BFE080A1A7896697B5B16132636844C1615D67159294,source_ambiguous_term,retain the source-facing word plus an editorial non-promotion note,silent modernization; silent literal promotion,preserves historical evidence without claiming a modern sense,readers need the note to avoid false equivalence,test_only,source_keyed_test_tranches_T001_T006_only,E0_constructed_control_with_source_use,0,False,none
G023,R823_HG_T004,R823_HG_T004/grammar/CONTROLLED_ROMANCE_GRAMMAR_T004_DELTA_v1.csv,62737A80381C0328CB3CD14EECCC6EBD03EE9988426D97176709B04335699CFF,uniqueness_scope,place in maniera unic immediately before un classe de representation and explain that bases yield multiple representatives,un representation unic; unicmente determina,prevents the theorem from asserting one representation per module,the short headline can still invite a scope misread,test_only,source_keyed_test_tranches_T001_T006_only,E0_constructed_control_with_source_use,0,False,none
G024,R823_HG_T004,R823_HG_T004/grammar/CONTROLLED_ROMANCE_GRAMMAR_T004_DELTA_v1.csv,62737A80381C0328CB3CD14EECCC6EBD03EE9988426D97176709B04335699CFF,self_map_direction,use de M a se mesme rather than sur M or sobre M,de M sur se; endomorfism,avoids importing a surjectivity meaning while retaining a self-map,the analytic phrase is less compact,test_only,source_keyed_test_tranches_T001_T006_only,E0_constructed_control_with_source_use,0,False,none
G025,R823_HG_T004,R823_HG_T004/grammar/CONTROLLED_ROMANCE_GRAMMAR_T004_DELTA_v1.csv,62737A80381C0328CB3CD14EECCC6EBD03EE9988426D97176709B04335699CFF,definition_voice,use se defini and se nomina for source definitions,passive morphology; first-person plural,stable impersonal construction shared with earlier tranches,register remains provisional,test_only,source_keyed_test_tranches_T001_T006_only,E0_constructed_control_with_source_use,0,False,none
G026,R823_HG_T004,R823_HG_T004/grammar/CONTROLLED_ROMANCE_GRAMMAR_T004_DELTA_v1.csv,62737A80381C0328CB3CD14EECCC6EBD03EE9988426D97176709B04335699CFF,composition_order,name the product as a composed transformation and retain the terminal equality c1c2m,reverse functional-composition convention; omit the prose label,the source fixes its convention by the displayed action and it must control,modern composition notation can use the opposite reading,test_only,source_keyed_test_tranches_T001_T006_only,E0_constructed_control_with_source_use,0,False,none
G027,R823_HG_T004,R823_HG_T004/grammar/CONTROLLED_ROMANCE_GRAMMAR_T004_DELTA_v1.csv,62737A80381C0328CB3CD14EECCC6EBD03EE9988426D97176709B04335699CFF,reference_expansion,repeat le matrices e le transformationes where a pronoun could obscure mutual determination,illos; celles-ci,keeps the bijective correspondence explicit across cohorts,repetition is stylistically heavy,test_only,source_keyed_test_tranches_T001_T006_only,E0_constructed_control_with_source_use,0,False,none
G028,R823_HG_T005,R823_HG_T005/grammar/CONTROLLED_ROMANCE_GRAMMAR_T005_DELTA_v1.csv,FD75180F056EBC3745DF613FC174D6745F25B2D94A0D0897DAF4025B33C65E5D,row_vector_side,retain the ordered basis tuple as a row and place C D and P on its right,column-vector transcription; transpose all formulas,the source-side convention determines both product and conjugation order,row notation is less common in some modern expositions,test_only,source_keyed_test_tranches_T001_T006_only,E0_constructed_control_with_source_use,0,False,none
G029,R823_HG_T005,R823_HG_T005/grammar/CONTROLLED_ROMANCE_GRAMMAR_T005_DELTA_v1.csv,FD75180F056EBC3745DF613FC174D6745F25B2D94A0D0897DAF4025B33C65E5D,symbol_case_pairing,repeat c with C and d with D before using the additive and multiplicative formulas,pronouns only; omit the second pairing,prevents case-insensitive or OCR-mediated confusion between ring elements and matrices,repetition is stylistically heavy,test_only,source_keyed_test_tranches_T001_T006_only,E0_constructed_control_with_source_use,0,False,none
G030,R823_HG_T005,R823_HG_T005/grammar/CONTROLLED_ROMANCE_GRAMMAR_T005_DELTA_v1.csv,FD75180F056EBC3745DF613FC174D6745F25B2D94A0D0897DAF4025B33C65E5D,homomorphism_order,retain c+d to C+D and cd to CD and repeat that CD is not reversed,modern function-composition order with DC; abstract statement without calculation,the source supplies an explicit row-vector calculation whose terminal equality controls the map,readers trained on left column vectors may expect the opposite order,test_only,source_keyed_test_tranches_T001_T006_only,E0_constructed_control_with_source_use,0,False,none
G031,R823_HG_T005,R823_HG_T005/grammar/CONTROLLED_ROMANCE_GRAMMAR_T005_DELTA_v1.csv,FD75180F056EBC3745DF613FC174D6745F25B2D94A0D0897DAF4025B33C65E5D,basis_change_direction,state y=xP before stating that the new matrix is P^{-1}CP,choose x=yP; use PCP^{-1},the two formulas form one direction-locked change-of-basis package,either alternative is valid under a different convention and therefore dangerous if mixed,test_only,source_keyed_test_tranches_T001_T006_only,E0_constructed_control_with_source_use,0,False,none
G032,R823_HG_T005,R823_HG_T005/grammar/CONTROLLED_ROMANCE_GRAMMAR_T005_DELTA_v1.csv,FD75180F056EBC3745DF613FC174D6745F25B2D94A0D0897DAF4025B33C65E5D,class_quantifier_scope,use tote le representationes de un classe de representation and retain the all-bases condition,tote le matrices; tote le representationes; omit de un classe,the theorem concludes coverage of representatives inside one class only,the source headline is compact enough to invite global overreading,test_only,source_keyed_test_tranches_T001_T006_only,E0_constructed_control_with_source_use,0,False,none
G033,R823_HG_T005,R823_HG_T005/grammar/CONTROLLED_ROMANCE_GRAMMAR_T005_DELTA_v1.csv,FD75180F056EBC3745DF613FC174D6745F25B2D94A0D0897DAF4025B33C65E5D,negative_scope_note,explicitly state that the conclusion does not reach every matrix in T_n or every representation class,leave the restriction implicit; add it to the translated theorem sentence,the editorial note makes the safeguard visible without inserting a new negative clause into the source translation,the note is analytic and has no native-reader validation,test_only,source_keyed_test_tranches_T001_T006_only,E0_constructed_control_with_source_use,0,False,none
G034,R823_HG_T006,R823_HG_T006/grammar/CONTROLLED_ROMANCE_GRAMMAR_T006_DELTA_v1.csv,637EE08D2CCF09EB6B5BC3327450A7F90EFC214B246C95141E4F5AEC503E2E80,theorem_scope,retain cata classe and repeat that the theorem is limited to direct representations,every representation; omit the parenthetical,the source quantifies over classes and then narrows the main proof to direct ones,compact wording can invite a global all-matrices reading,test_only,source_keyed_test_tranches_T001_T006_only,E0_constructed_control_with_source_use,0,False,none
G035,R823_HG_T006,R823_HG_T006/grammar/CONTROLLED_ROMANCE_GRAMMAR_T006_DELTA_v1.csv,637EE08D2CCF09EB6B5BC3327450A7F90EFC214B246C95141E4F5AEC503E2E80,proof_heading,use the sense-scoped test form demostracio for formal mathematical proof,prova; pruva; demonstration,the WordWeb separates formal proof from test or trial and the cross-branch medoid candidate is not identical to standard Spanish or French,the form remains a hypothesis and has no native validation,test_only,source_keyed_test_tranches_T001_T006_only,E0_constructed_control_with_source_use,0,False,none
G036,R823_HG_T006,R823_HG_T006/grammar/CONTROLLED_ROMANCE_GRAMMAR_T006_DELTA_v1.csv,637EE08D2CCF09EB6B5BC3327450A7F90EFC214B246C95141E4F5AEC503E2E80,module_side,encode action side first by operand order x_i tau_i and c times the sum then add analytic side glosses,promote a single left/right lexical pair,Romance branches split sharply between gauche droite; izquierda derecha; sinistra destra; stânga dreapta,analytic glosses are longer than standard-language labels,test_only,source_keyed_test_tranches_T001_T006_only,E0_constructed_control_with_source_use,0,False,none
G037,R823_HG_T006,R823_HG_T006/grammar/CONTROLLED_ROMANCE_GRAMMAR_T006_DELTA_v1.csv,637EE08D2CCF09EB6B5BC3327450A7F90EFC214B246C95141E4F5AEC503E2E80,coefficient_uniqueness,render dann und nur dann as si e solmente si and retain the bidirectional arrow,one-way si; omit the prose phrase,the iff condition makes the formal generators coordinate-independent,a weak connective would change the construction,test_only,source_keyed_test_tranches_T001_T006_only,E0_constructed_control_with_source_use,0,False,none
G038,R823_HG_T006,R823_HG_T006/grammar/CONTROLLED_ROMANCE_GRAMMAR_T006_DELTA_v1.csv,637EE08D2CCF09EB6B5BC3327450A7F90EFC214B246C95141E4F5AEC503E2E80,mixed_associativity,reuse lege associativ mixed and display c(m rho)=(cm)rho,direct calque of durchlaufend; ordinary associativity,the equation concerns compatibility of two actions rather than one multiplication,the analytic term is provisional and not native-reviewed,test_only,source_keyed_test_tranches_T001_T006_only,E0_constructed_control_with_source_use,0,False,none
G039,R823_HG_T006,R823_HG_T006/grammar/CONTROLLED_ROMANCE_GRAMMAR_T006_DELTA_v1.csv,637EE08D2CCF09EB6B5BC3327450A7F90EFC214B246C95141E4F5AEC503E2E80,direct_reciprocal_orientation,keep the direct row with matrices on the right and the reciprocal column with C on the left,normalize both cases to rows; normalize both to columns,the source deliberately changes orientation and star placement between the constructions,modern notation can tempt a silent transpose,test_only,source_keyed_test_tranches_T001_T006_only,E0_constructed_control_with_source_use,0,False,none
G040,R823_HG_T006,R823_HG_T006/grammar/CONTROLLED_ROMANCE_GRAMMAR_T006_DELTA_v1.csv,637EE08D2CCF09EB6B5BC3327450A7F90EFC214B246C95141E4F5AEC503E2E80,class_remainder_scope,use restante representationes del classe and differente representationes de un classe,all representations; all classes,the source varies bases only within one fixed equivalence class,the theorem headline may otherwise be overread,test_only,source_keyed_test_tranches_T001_T006_only,E0_constructed_control_with_source_use,0,False,none
G041,R823_HG_T006,R823_HG_T006/grammar/CONTROLLED_ROMANCE_GRAMMAR_T006_DELTA_v1.csv,637EE08D2CCF09EB6B5BC3327450A7F90EFC214B246C95141E4F5AEC503E2E80,zero_human_boundary,state explicitly that every form and grammar rule is a construction candidate with zero observations or pilot results,omit the boundary note,the access ledger contains no human data and cannot certify comprehension,the prose may look polished enough to be mistaken for a validated standard,test_only,source_keyed_test_tranches_T001_T006_only,E0_constructed_control_with_source_use,0,False,none
G042,R823_HG_T007,R823_HG_T007/grammar/CONTROLLED_ROMANCE_GRAMMAR_T007_DELTA_v1.csv,1636359592FEF18264F9299CC224AD1AA9A063BC6869CF15105F77E574288B24,chapter_scope,retain both teoria de Galois and de corps commutativ in the Chapter II title,shorten to teoria de Galois; broaden to all fields,the German title explicitly restricts the chapter framing to commutative fields,the prior introduction also mentioned noncommutative fields and could invite accidental carryover,test_only,source_keyed_test_tranche_T007_only,E0_constructed_control_with_source_use,0,False,none
G043,R823_HG_T007,R823_HG_T007/grammar/CONTROLLED_ROMANCE_GRAMMAR_T007_DELTA_v1.csv,1636359592FEF18264F9299CC224AD1AA9A063BC6869CF15105F77E574288B24,intro_dependency,use two sentences while retaining that the representation theory already developed supplies the new foundation and that this foundation has the stated advantage,attach the advantage to representation theory in general; omit the back-reference,the German relative clause compares this foundation with the usual one,a pronoun-only rendering could make the advantage's antecedent unclear,test_only,source_keyed_test_tranche_T007_only,E0_constructed_control_with_source_use,0,False,none
G044,R823_HG_T007,R823_HG_T007/grammar/CONTROLLED_ROMANCE_GRAMMAR_T007_DELTA_v1.csv,1636359592FEF18264F9299CC224AD1AA9A063BC6869CF15105F77E574288B24,source_note_scope,keep the source note attached to the introductory claim and preserve every M. Z. section number,move the note to an unlinked bibliography; omit the definition reference,the note supplies exact comparison and definition locators,reformatting can detach the §21 claim from the following Galois section,test_only,source_keyed_test_tranche_T007_only,E0_constructed_control_with_source_use,0,False,none
G045,R823_HG_T007,R823_HG_T007/grammar/CONTROLLED_ROMANCE_GRAMMAR_T007_DELTA_v1.csv,1636359592FEF18264F9299CC224AD1AA9A063BC6869CF15105F77E574288B24,proof_omission,render the proof as explicitly remaining undeveloped and do not invent proof steps,present the subsequent definitions as a proof; omit the reason,the source announces a theorem but says its proof shall remain unexecuted because it is nearly self-evident,the complete construction can look like an implicit proof if the omission is softened,test_only,source_keyed_test_tranche_T007_only,E0_constructed_control_with_source_use,0,False,none
G046,R823_HG_T007,R823_HG_T007/grammar/CONTROLLED_ROMANCE_GRAMMAR_T007_DELTA_v1.csv,1636359592FEF18264F9299CC224AD1AA9A063BC6869CF15105F77E574288B24,formal_sum_quantifier,retain collection de tote le summas formal and omega_i in Omega before the rules,a generic span; an already evaluated sum,the source defines a formal coordinate set and later supplies coefficientwise equality,a span reading could presuppose relations not yet defined,test_only,source_keyed_test_tranche_T007_only,E0_constructed_control_with_source_use,0,False,none
G047,R823_HG_T007,R823_HG_T007/grammar/CONTROLLED_ROMANCE_GRAMMAR_T007_DELTA_v1.csv,1636359592FEF18264F9299CC224AD1AA9A063BC6869CF15105F77E574288B24,biconditional_index_scope,use si e solmente si and pro cata i inside the displayed equality rule,a one-way si; leave the index quantifier implicit,the source requires equality of every corresponding coefficient,a weakened connective or lost quantifier changes the formal object,test_only,source_keyed_test_tranche_T007_only,E0_constructed_control_with_source_use,0,False,none
G048,R823_HG_T007,R823_HG_T007/grammar/CONTROLLED_ROMANCE_GRAMMAR_T007_DELTA_v1.csv,1636359592FEF18264F9299CC224AD1AA9A063BC6869CF15105F77E574288B24,two_sided_omega_linkage,retain both left and right Omega actions and the final commutation equality then describe the module as connectite commutativmente con Omega,call Omega commutative; retain only one scalar action,the source assumes only that the center of Omega contains P and makes full commutativity a later conditional,the historical phrase is linguistically provisional and requires the formulas as its semantic control,test_only,source_keyed_test_tranche_T007_only,E0_constructed_control_with_source_use,0,False,none
G049,R823_HG_T007,R823_HG_T007/grammar/CONTROLLED_ROMANCE_GRAMMAR_T007_DELTA_v1.csv,1636359592FEF18264F9299CC224AD1AA9A063BC6869CF15105F77E574288B24,extension_role_split,distinguish Omega as an anel de extension de P from o_Omega as scalar-extended system and later an anel de extension de o,use one undifferentiated extension label for all three roles,the source assigns different operands and logical stages to the extension relations,the shared word extension can obscure which inclusion or construction is meant,test_only,source_keyed_test_tranche_T007_only,E0_constructed_control_with_source_use,0,False,none
G050,R823_HG_T007,R823_HG_T007/grammar/CONTROLLED_ROMANCE_GRAMMAR_T007_DELTA_v1.csv,1636359592FEF18264F9299CC224AD1AA9A063BC6869CF15105F77E574288B24,multiplication_index_fidelity,copy the displayed multiplication exactly with the same i-indexed sum printed in both left factors and the double i j sum on the right,silently change the second left factor to a j-indexed sum; normalize dummy indices,the pinned authority prints the repeated left factor and user requires exact mathematical preservation,the source notation may look like a typographical shorthand or error but correction is not authorized,test_only,source_keyed_test_tranche_T007_only,E0_constructed_control_with_source_use,0,False,none
G051,R823_HG_T007,R823_HG_T007/grammar/CONTROLLED_ROMANCE_GRAMMAR_T007_DELTA_v1.csv,1636359592FEF18264F9299CC224AD1AA9A063BC6869CF15105F77E574288B24,rank_basis_condition,render rango n super Omega as free-module rank controlled by the displayed c_i basis and keep basis independence separate from the final commutative-field condition,use matrix rank; state Omega is already commutative,the three source conclusions have distinct scopes and order,rango has ordinary-language and matrix-rank competitors,test_only,source_keyed_test_tranche_T007_only,E0_constructed_control_with_source_use,0,False,none
G052,R823_HG_T007,R823_HG_T007/grammar/CONTROLLED_ROMANCE_GRAMMAR_T007_DELTA_v1.csv,1636359592FEF18264F9299CC224AD1AA9A063BC6869CF15105F77E574288B24,zero_human_boundary,state that all vocabulary and grammar forms remain provisional construction candidates with zero human native or pilot evidence,omit the boundary because the prose is polished,the v10 access ledger records zero human observations and no form promotions,internal source and mechanical QA cannot certify comprehension,test_only,source_keyed_test_tranche_T007_only,E0_constructed_control_with_source_use,0,False,none
G053,R823_HG_T008,R823_HG_T008/grammar/CONTROLLED_ROMANCE_GRAMMAR_T008_DELTA_v1.csv,CCD12853FE774DBF7C0978D364EBF0D40DAF6062065E01F9CEAF80D96798DCC8,section_scope,retain both representationes irreducibile and de sistems commutativ in the section heading,shorten to representationes; modernize systems to algebras,the source fixes both irreducibility and commutativity while preserving historical System terminology,modernization can silently strengthen the algebraic category,test_only,source_keyed_test_tranche_T008_only,E0_constructed_control_with_source_use,0,False,none
G054,R823_HG_T008,R823_HG_T008/grammar/CONTROLLED_ROMANCE_GRAMMAR_T008_DELTA_v1.csv,CCD12853FE774DBF7C0978D364EBF0D40DAF6062065E01F9CEAF80D96798DCC8,field_hypothesis,render Omega as a corp de extension algebraicamente claudite of P,call Omega only commutative; reuse the earlier extension-ring condition,section 6 explicitly replaces the broader section 5 Omega hypothesis with an algebraically closed extension field,field and extension-ring wording are easy to conflate across adjacent sections,test_only,source_keyed_test_tranche_T008_only,E0_constructed_control_with_source_use,0,False,none
G055,R823_HG_T008,R823_HG_T008/grammar/CONTROLLED_ROMANCE_GRAMMAR_T008_DELTA_v1.csv,CCD12853FE774DBF7C0978D364EBF0D40DAF6062065E01F9CEAF80D96798DCC8,two_direction_reduction,mark the forward construction from Z to Z_Omega and the converse containment as distinct directions,collapse both to an assertion that the representation sets are identical,the source supplies a reason for each direction before allowing the reduced question,an equality claim would exceed the compact historical argument,test_only,source_keyed_test_tranche_T008_only,E0_constructed_control_with_source_use,0,False,none
G056,R823_HG_T008,R823_HG_T008/grammar/CONTROLLED_ROMANCE_GRAMMAR_T008_DELTA_v1.csv,CCD12853FE774DBF7C0978D364EBF0D40DAF6062065E01F9CEAF80D96798DCC8,basis_sufficiency_literalism,retain the compact clause about basis elements already contained in P without inventing a primitive element,resolve the historical wording into a modern primitive-element theorem,the source itself states only sufficiency for constructing the whole representation,the Chapter II introduction mentions generating systems and can invite an unsupported modernization,test_only,source_keyed_test_tranche_T008_only,E0_constructed_control_with_source_use,0,False,none
G057,R823_HG_T008,R823_HG_T008/grammar/CONTROLLED_ROMANCE_GRAMMAR_T008_DELTA_v1.csv,CCD12853FE774DBF7C0978D364EBF0D40DAF6062065E01F9CEAF80D96798DCC8,regular_representation_definition,keep the source's own definition that Z_Omega itself is used as representation module,use regular to mean nonsingular; omit the defining apposition,the apposition fixes the representation-theoretic sense locally,regular has ordinary and matrix senses that are adverse here,test_only,source_keyed_test_tranche_T008_only,E0_constructed_control_with_source_use,0,False,none
G058,R823_HG_T008,R823_HG_T008/grammar/CONTROLLED_ROMANCE_GRAMMAR_T008_DELTA_v1.csv,CCD12853FE774DBF7C0978D364EBF0D40DAF6062065E01F9CEAF80D96798DCC8,radical_scope,use radical C and do not add Jacobson or nilradical,choose a modern subtype from context,the printed source names only das Radikal von Z_Omega,the likely historical interpretation does not authorize a silent subtype label,test_only,source_keyed_test_tranche_T008_only,E0_constructed_control_with_source_use,0,False,none
G059,R823_HG_T008,R823_HG_T008/grammar/CONTROLLED_ROMANCE_GRAMMAR_T008_DELTA_v1.csv,CCD12853FE774DBF7C0978D364EBF0D40DAF6062065E01F9CEAF80D96798DCC8,reducibility_chain,preserve the inference fully reducible therefore direct sum of finite-degree fields then algebraic closure therefore Omega-isomorphic summands,compress directly to a product of copies of Omega,the source displays each logical stage and its reason,compression would conceal both finite degree and the algebraic-closure premise,test_only,source_keyed_test_tranche_T008_only,E0_constructed_control_with_source_use,0,False,none
