inventory_id,tranche,term_id,source_term,target_term,sense,construction_status,source_evidence,source_ledger_path,source_ledger_sha256,effective_wordweb_link,semantic_compatibility_status,semantic_compatibility_rationale,alternatives_or_crosswalk,adverse_evidence,source_rationale,comparison_method,spanish_comparators,french_comparators,exact_spanish_carrier,exact_french_carrier,dominance_diagnostic,attestation_effect,human_observations,native_validation,promotion_effect
L013,R823_HG_T001,HG13,Ergänzung,complemento,supplement/complement to another text,construction_candidate,R823:21053,R823_HG_T001/terminology/R823_HG_T001_TERMINOLOGY_v1.csv,5B2DA488BBEE420B966F0E1EF4B1DF14127518D7B724E71B021DFCEB5D51DDB0,,false_nearest_match_removed,Editorial supplement to another text is not the T33-S1 direct-complement sense.,supplement; complément,not a direct-sum complement here,Register-specific use logged,not_comparable,,,False,False,not_comparable_no_exact_standard_row,none_existing_evidence_only,0,False,none
L014,R823_HG_T001,HG14,Begriff,concepto,defined mathematical concept,construction_candidate,R823:21053;21055,R823_HG_T001/terminology/R823_HG_T001_TERMINOLOGY_v1.csv,5B2DA488BBEE420B966F0E1EF4B1DF14127518D7B724E71B021DFCEB5D51DDB0,,explicit_unlinked_outside_reviewed_spine,No v9 WordWeb link was asserted; v10 does not infer one.,notion; concetto,ordinary idea sense,Learned technical noun,not_comparable,,,False,False,not_comparable_no_exact_standard_row,none_existing_evidence_only,0,False,none
L015,R823_HG_T001,HG15,Darstellungsmodul,modul de representation,representation module,construction_candidate,R823:21055,R823_HG_T001/terminology/R823_HG_T001_TERMINOLOGY_v1.csv,5B2DA488BBEE420B966F0E1EF4B1DF14127518D7B724E71B021DFCEB5D51DDB0,T05-S1;T17-S1,approved_semantic_or_context_link,Retained after v10 link audit; every target token resolves to a v9 core sense or C2 node.,module de représentation; módulo de representación,module/modulo sense trap,Explicit analytic compound and C2 MODULE-sense constraint,source_term_exact,módulo de representación,module de représentation,False,False,no_exact_dominant_carrier,none_existing_evidence_only,0,False,none
L016,R823_HG_T001,HG16,reziproker Darstellungsmodul,modul reciproc de representation,reciprocal representation module,historical_construction_candidate,R823:21055,R823_HG_T001/terminology/R823_HG_T001_TERMINOLOGY_v1.csv,5B2DA488BBEE420B966F0E1EF4B1DF14127518D7B724E71B021DFCEB5D51DDB0,T05-S1;T17-S2,approved_semantic_or_context_link,Retained after v10 link audit; every target token resolves to a v9 core sense or C2 node.,module de représentation réciproque,reciprocal has inverse/fraction senses,Source term retained pending modern crosswalk,effective_sense_link,módulo;representación,module,False,False,no_exact_dominant_carrier,none_existing_evidence_only,0,False,none
L017,R823_HG_T001,HG17,reziproke Darstellung,representation reciproc,reciprocal/anti-representation,historical_construction_candidate,R823:21055;21069,R823_HG_T001/terminology/R823_HG_T001_TERMINOLOGY_v1.csv,5B2DA488BBEE420B966F0E1EF4B1DF14127518D7B724E71B021DFCEB5D51DDB0,T17-S2,approved_semantic_or_context_link,Retained after v10 link audit; every target token resolves to a v9 core sense or C2 node.,anti-representation; représentation réciproque,not ordinary converse or inverse,Source-facing label with explicit product-order definition,source_term_exact,representación recíproca,représentation réciproque,False,False,no_exact_dominant_carrier,none_existing_evidence_only,0,False,none
L018,R823_HG_T001,HG18,direkte Darstellung,representation direct,direct representation,construction_candidate,R823:21061;21063,R823_HG_T001/terminology/R823_HG_T001_TERMINOLOGY_v1.csv,5B2DA488BBEE420B966F0E1EF4B1DF14127518D7B724E71B021DFCEB5D51DDB0,T17-S1,approved_semantic_or_context_link,Retained after v10 link audit; every target token resolves to a v9 core sense or C2 node.,representación directa; représentation directe,direct may mean unmediated in ordinary prose,Shared learned adjective,source_term_exact,,représentation directe,False,False,no_exact_dominant_carrier,none_existing_evidence_only,0,False,none
L019,R823_HG_T001,HG19,n-ten Grades,de grado n,degree n,construction_candidate,R823:21063;21071,R823_HG_T001/terminology/R823_HG_T001_TERMINOLOGY_v1.csv,5B2DA488BBEE420B966F0E1EF4B1DF14127518D7B724E71B021DFCEB5D51DDB0,,explicit_unlinked_outside_reviewed_spine,No v9 WordWeb link was asserted; v10 does not infer one.,de degré n; di grado n,rank/degree distinction,Formula-facing analytic phrase,not_comparable,,,False,False,not_comparable_no_exact_standard_row,none_existing_evidence_only,0,False,none
L020,R823_HG_T001,HG20,Teilring,subanel,subring,productive_compound_candidate,R823:21063;21071,R823_HG_T001/terminology/R823_HG_T001_TERMINOLOGY_v1.csv,5B2DA488BBEE420B966F0E1EF4B1DF14127518D7B724E71B021DFCEB5D51DDB0,T01-S1,approved_semantic_or_context_link,Retained after v10 link audit; every target token resolves to a v9 core sense or C2 node.,subanillo; sous-anneau; sottoanello,not a subset lacking closure,Productive sub- compound,effective_sense_link,anillo,anneau,False,False,no_exact_dominant_carrier,none_existing_evidence_only,0,False,none
L021,R823_HG_T001,HG21,Matrix,matrice,matrix,construction_candidate,R823:21063;21077,R823_HG_T001/terminology/R823_HG_T001_TERMINOLOGY_v1.csv,5B2DA488BBEE420B966F0E1EF4B1DF14127518D7B724E71B021DFCEB5D51DDB0,T38-S1,approved_semantic_or_context_link,Retained after v10 link audit; every target token resolves to a v9 core sense or C2 node.,matriz; matriu,material-matrix sense,FR/IT/RO-supported learned form rotates away from Spanish pivot,source_term_exact,matriz,,False,False,no_exact_dominant_carrier,none_existing_evidence_only,0,False,none
L022,R823_HG_T001,HG22,Element,element,algebraic element,construction_candidate,R823:21063;21071;21077,R823_HG_T001/terminology/R823_HG_T001_TERMINOLOGY_v1.csv,5B2DA488BBEE420B966F0E1EF4B1DF14127518D7B724E71B021DFCEB5D51DDB0,C2-element,corrected_exact_extension_node,Algebraic element has an explicit C2 element node and is not the T06-S1 ideal sense.,elemento; élément,ordinary component sense,Consonantal learned stem,not_comparable,,,False,False,not_comparable_no_exact_standard_row,none_existing_evidence_only,0,False,none
L023,R823_HG_T001,HG23,ringhomomorph abgebildet,applicar per un homomorfism de anels,map by a ring homomorphism,analytic_construction_candidate,R823:21063;21071,R823_HG_T001/terminology/R823_HG_T001_TERMINOLOGY_v1.csv,5B2DA488BBEE420B966F0E1EF4B1DF14127518D7B724E71B021DFCEB5D51DDB0,T18-S1,approved_semantic_or_context_link,Retained after v10 link audit; every target token resolves to a v9 core sense or C2 node.,mappar; envoyer; aplicar,map/image object must not be conflated,Unpacks the relation instead of inventing an adjective,effective_sense_link,homomorfismo,,False,False,no_exact_dominant_carrier,none_existing_evidence_only,0,False,none
L024,R823_HG_T001,HG24,reziprok ringhomomorph,homomorfism reciproc de anels,multiplication-reversing ring homomorphism,historical_construction_candidate,R823:21071,R823_HG_T001/terminology/R823_HG_T001_TERMINOLOGY_v1.csv,5B2DA488BBEE420B966F0E1EF4B1DF14127518D7B724E71B021DFCEB5D51DDB0,T18-S1;T17-S2,approved_semantic_or_context_link,Retained after v10 link audit; every target token resolves to a v9 core sense or C2 node.,anti-homomorfism,ordinary reciprocal/inverse,Immediately defined by exact product and sum order,source_term_exact,,antihomomorphisme d'anneaux,False,False,no_exact_dominant_carrier,none_existing_evidence_only,0,False,none
L025,R823_HG_T001,HG25,Produkt,producto,multiplicative product,construction_candidate,R823:21071,R823_HG_T001/terminology/R823_HG_T001_TERMINOLOGY_v1.csv,5B2DA488BBEE420B966F0E1EF4B1DF14127518D7B724E71B021DFCEB5D51DDB0,T14-S1,approved_semantic_or_context_link,Retained after v10 link audit; every target token resolves to a v9 core sense or C2 node.,produit; prodotto; producte,commercial product,Final vowel retained here as branch-balanced test word,source_term_exact,producto,,True,False,spanish_exact,none_existing_evidence_only,0,False,none
L026,R823_HG_T001,HG26,Summe,suma,additive sum,construction_candidate,R823:21071,R823_HG_T001/terminology/R823_HG_T001_TERMINOLOGY_v1.csv,5B2DA488BBEE420B966F0E1EF4B1DF14127518D7B724E71B021DFCEB5D51DDB0,,false_nearest_match_removed,Additive sum is not the T14-S1 multiplicative-product sense; no exact core node exists.,somme; somma,summa/direct-sum compounds differ,Short Ibero-Italo form with French sidecar only,not_comparable,,,False,False,not_comparable_no_exact_standard_row,none_existing_evidence_only,0,False,none
L027,R823_HG_T001,HG27,kommutativer Körper,corp commutativ,commutative algebraic field,source_preserving_candidate,R823:21077,R823_HG_T001/terminology/R823_HG_T001_TERMINOLOGY_v1.csv,5B2DA488BBEE420B966F0E1EF4B1DF14127518D7B724E71B021DFCEB5D51DDB0,T02-S1,approved_semantic_or_context_link,Retained after v10 link audit; every target token resolves to a v9 core sense or C2 node.,corps commutatif; campo commutativo,body/field senses,Consistent with historical Körper translation in this tranche,effective_sense_link,cuerpo,,False,False,no_exact_dominant_carrier,none_existing_evidence_only,0,False,none
L028,R823_HG_T001,HG28,gespiegelte Matrizen,matrices transponite,transposed matrices,editorial_modernization_logged,R823:21077,R823_HG_T001/terminology/R823_HG_T001_TERMINOLOGY_v1.csv,5B2DA488BBEE420B966F0E1EF4B1DF14127518D7B724E71B021DFCEB5D51DDB0,T38-S1,approved_semantic_or_context_link,Retained after v10 link audit; every target token resolves to a v9 core sense or C2 node.,matrices réfléchies,mirror/reflection could be misread,Mathematical operation identified as transpose; requires source-expert confirmation,effective_sense_link,matriz,,False,False,no_exact_dominant_carrier,none_existing_evidence_only,0,False,none
L029,R823_HG_T001,HG29,Zuordnung,association,assignment/correspondence,construction_candidate,R823:21077;21081,R823_HG_T001/terminology/R823_HG_T001_TERMINOLOGY_v1.csv,5B2DA488BBEE420B966F0E1EF4B1DF14127518D7B724E71B021DFCEB5D51DDB0,,explicit_unlinked_outside_reviewed_spine,No v9 WordWeb link was asserted; v10 does not infer one.,correspondentia; application,ordinary association,Learned transparent noun,not_comparable,,,False,False,not_comparable_no_exact_standard_row,none_existing_evidence_only,0,False,none
L030,R823_HG_T001,HG30,Ringisomorphismus,isomorfism de anels,ring isomorphism,construction_candidate,R823:21077,R823_HG_T001/terminology/R823_HG_T001_TERMINOLOGY_v1.csv,5B2DA488BBEE420B966F0E1EF4B1DF14127518D7B724E71B021DFCEB5D51DDB0,T19-S1,approved_semantic_or_context_link,Retained after v10 link audit; every target token resolves to a v9 core sense or C2 node.,isomorfismo; isomorphisme,similarity is weaker,Uses consistent -ism derivation,effective_sense_link,isomorfismo,,False,False,no_exact_dominant_carrier,none_existing_evidence_only,0,False,none
L031,R823_HG_T001,HG31,Symbol,simbol,formal symbol,construction_candidate,R823:21081;21087,R823_HG_T001/terminology/R823_HG_T001_TERMINOLOGY_v1.csv,5B2DA488BBEE420B966F0E1EF4B1DF14127518D7B724E71B021DFCEB5D51DDB0,,explicit_unlinked_outside_reviewed_spine,No v9 WordWeb link was asserted; v10 does not infer one.,símbolo; symbole; simbolo,ordinary emblem sense,Consonantal learned form,not_comparable,,,False,False,not_comparable_no_exact_standard_row,none_existing_evidence_only,0,False,none
L032,R823_HG_T001,HG32,Addition,addition,addition operation,construction_candidate,R823:21081,R823_HG_T001/terminology/R823_HG_T001_TERMINOLOGY_v1.csv,5B2DA488BBEE420B966F0E1EF4B1DF14127518D7B724E71B021DFCEB5D51DDB0,,explicit_unlinked_outside_reviewed_spine,No v9 WordWeb link was asserted; v10 does not infer one.,adición; addition; addizione,not set union,Learned operation noun,not_comparable,,,False,False,not_comparable_no_exact_standard_row,none_existing_evidence_only,0,False,none
L033,R823_HG_T001,HG33,Multiplikation,multiplication,multiplication operation,construction_candidate,R823:21081,R823_HG_T001/terminology/R823_HG_T001_TERMINOLOGY_v1.csv,5B2DA488BBEE420B966F0E1EF4B1DF14127518D7B724E71B021DFCEB5D51DDB0,,explicit_unlinked_outside_reviewed_spine,No v9 WordWeb link was asserted; v10 does not infer one.,multiplicación; multiplication; moltiplicazione,operation type context required,Learned operation noun,not_comparable,,,False,False,not_comparable_no_exact_standard_row,none_existing_evidence_only,0,False,none
L034,R823_HG_T001,HG34,Menge der Symbole,collection de simbols,set/collection of symbols,constructed_hold_word,R823:21087,R823_HG_T001/terminology/R823_HG_T001_TERMINOLOGY_v1.csv,5B2DA488BBEE420B966F0E1EF4B1DF14127518D7B724E71B021DFCEB5D51DDB0,C2-set,approved_semantic_or_context_link,Retained after v10 link audit; every target token resolves to a v9 core sense or C2 node.,ensemble; conjunto; insieme; mulțime,four-way no-attractor split,Uses neutral learned collection only as a test; explicitly sent for review,not_comparable,,,False,False,not_comparable_no_exact_standard_row,none_existing_evidence_only,0,False,none
L035,R823_HG_T001,HG35,reziprok isomorpher Ring,anel isomorf reciproc,opposite/reciprocal-isomorphic ring,historical_construction_candidate,R823:21079;21087,R823_HG_T001/terminology/R823_HG_T001_TERMINOLOGY_v1.csv,5B2DA488BBEE420B966F0E1EF4B1DF14127518D7B724E71B021DFCEB5D51DDB0,T01-S1;T19-S1,approved_semantic_or_context_link,Retained after v10 link audit; every target token resolves to a v9 core sense or C2 node.,opposite ring; anneau opposé,reciprocal is not ordinary inverse,Exact operation definition controls the sense,effective_sense_link,anillo;isomorfismo,anneau,False,False,no_exact_dominant_carrier,none_existing_evidence_only,0,False,none
L036,R823_HG_T002,HG36,Darstellungsklasse,classe de representation,equivalence class of representations under conjugation,construction_candidate,R823:21089;21095,R823_HG_T002/terminology/R823_HG_T002_TERMINOLOGY_v1.csv,29F5465F1D4088A303EFB56870989ED83F810CA9C273D83F63FE6B33ACB9BB55,T17-S1;T19-S1,approved_semantic_or_context_link,Retained after v10 link audit; every target token resolves to a v9 core sense or C2 node.,clase de representaciones; classe de représentations; classe di rappresentazioni,class in programming or social senses,Analytic compound keeps the head concept distinct from representation,source_term_exact,,classe de représentations,False,False,no_exact_dominant_carrier,none_existing_evidence_only,0,False,none
L037,R823_HG_T002,HG37,direkte Darstellung,representation direct,direct representation,carried_construction_candidate,R823:21091,R823_HG_T002/terminology/R823_HG_T002_TERMINOLOGY_v1.csv,29F5465F1D4088A303EFB56870989ED83F810CA9C273D83F63FE6B33ACB9BB55,T17-S1,approved_semantic_or_context_link,Retained after v10 link audit; every target token resolves to a v9 core sense or C2 node.,representación directa; représentation directe; rappresentazione diretta,direct may mean unmediated in ordinary prose,Reuses the explicitly defined T001 form,source_term_exact,,représentation directe,False,False,no_exact_dominant_carrier,none_existing_evidence_only,0,False,none
L038,R823_HG_T002,HG38,isomorphe Darstellung,representation isomorf,isomorphic representation,construction_candidate,R823:21091,R823_HG_T002/terminology/R823_HG_T002_TERMINOLOGY_v1.csv,29F5465F1D4088A303EFB56870989ED83F810CA9C273D83F63FE6B33ACB9BB55,T17-S1;T19-S1,approved_semantic_or_context_link,Retained after v10 link audit; every target token resolves to a v9 core sense or C2 node.,representación isomorfa; représentation isomorphe; rappresentazione isomorfa,equivalent is not automatically identical to every isomorphism,Learned shared stem with the distinction stated in the sense note,effective_sense_link,isomorfismo;representación,,False,False,no_exact_dominant_carrier,none_existing_evidence_only,0,False,none
L039,R823_HG_T002,HG39,elementweise,cata matrice,matrix by matrix in the representation image,analytic_source_expansion,R823:21091,R823_HG_T002/terminology/R823_HG_T002_TERMINOLOGY_v1.csv,29F5465F1D4088A303EFB56870989ED83F810CA9C273D83F63FE6B33ACB9BB55,T38-S1,approved_semantic_or_context_link,Retained after v10 link audit; every target token resolves to a v9 core sense or C2 node.,elemento a elemento; terme à terme; elemento per elemento,ordinary each-element readings can obscure that C is a matrix,Names the iterated represented matrix explicitly,effective_sense_link,matriz,,False,False,no_exact_dominant_carrier,none_existing_evidence_only,0,False,none
L040,R823_HG_T002,HG40,reguläre Matrix,matrice regular,invertible/nonsingular matrix in this historical passage,source_preserving_with_modern_note,R823:21091;21097,R823_HG_T002/terminology/R823_HG_T002_TERMINOLOGY_v1.csv,29F5465F1D4088A303EFB56870989ED83F810CA9C273D83F63FE6B33ACB9BB55,T38-S1,approved_semantic_or_context_link,Retained after v10 link audit; every target token resolves to a v9 core sense or C2 node.,matrice invertibile; matriz no singular; matrice non singulière,regular matrix has other modern specialized senses,Preserves the historical wording while the editorial note fixes the intended invertibility sense,effective_sense_link,matriz,,False,False,no_exact_dominant_carrier,none_existing_evidence_only,0,False,none
L041,R823_HG_T002,HG41,transformieren,transformar,conjugate each representing matrix by P,construction_candidate,R823:21091;21093;21097,R823_HG_T002/terminology/R823_HG_T002_TERMINOLOGY_v1.csv,29F5465F1D4088A303EFB56870989ED83F810CA9C273D83F63FE6B33ACB9BB55,T19-S1,approved_semantic_or_context_link,Retained after v10 link audit; every target token resolves to a v9 core sense or C2 node.,conjugar; transformer; trasformare,generic transformation is broader than conjugation,Exact P inverse C P formula controls the narrower use,effective_sense_link,isomorfismo,,False,False,no_exact_dominant_carrier,none_existing_evidence_only,0,False,none
L042,R823_HG_T002,HG42,zuordnen,associar,assign the transformed matrix to ring element c,construction_candidate,R823:21091,R823_HG_T002/terminology/R823_HG_T002_TERMINOLOGY_v1.csv,29F5465F1D4088A303EFB56870989ED83F810CA9C273D83F63FE6B33ACB9BB55,T18-S1,approved_semantic_or_context_link,Retained after v10 link audit; every target token resolves to a v9 core sense or C2 node.,asignar; associer; associare,ordinary social association,Argument order is made explicit in the target sentence,effective_sense_link,homomorfismo,,False,False,no_exact_dominant_carrier,none_existing_evidence_only,0,False,none
L043,R823_HG_T002,HG43,äquivalent,equivalente,equivalent under the section's regular-matrix transformation,construction_candidate,R823:21093;21095;21097,R823_HG_T002/terminology/R823_HG_T002_TERMINOLOGY_v1.csv,29F5465F1D4088A303EFB56870989ED83F810CA9C273D83F63FE6B33ACB9BB55,T19-S1,approved_semantic_or_context_link,Retained after v10 link audit; every target token resolves to a v9 core sense or C2 node.,equivalente; équivalent; echivalent,false collapse into isomorphic or equal,Definition is local and the distinction is explicitly logged,effective_sense_link,isomorfismo,,False,False,no_exact_dominant_carrier,none_existing_evidence_only,0,False,none
L044,R823_HG_T002,HG44,reziproke Darstellung,representation reciproc,reciprocal/anti-representation,historical_construction_candidate,R823:21097,R823_HG_T002/terminology/R823_HG_T002_TERMINOLOGY_v1.csv,29F5465F1D4088A303EFB56870989ED83F810CA9C273D83F63FE6B33ACB9BB55,T17-S2,approved_semantic_or_context_link,Retained after v10 link audit; every target token resolves to a v9 core sense or C2 node.,anti-representation; représentation réciproque,ordinary reciprocal or inverse sense,Reuses T001's source-facing label under its multiplication-reversing definition,source_term_exact,representación recíproca,représentation réciproque,False,False,no_exact_dominant_carrier,none_existing_evidence_only,0,False,none
L045,R823_HG_T002,HG45,feste reziproke Darstellung,representation reciproc fix,fixed reciprocal representation anchoring an equivalence class,construction_candidate,R823:21097,R823_HG_T002/terminology/R823_HG_T002_TERMINOLOGY_v1.csv,29F5465F1D4088A303EFB56870989ED83F810CA9C273D83F63FE6B33ACB9BB55,T17-S2;T19-S1,approved_semantic_or_context_link,Retained after v10 link audit; every target token resolves to a v9 core sense or C2 node.,représentation réciproque fixée; rappresentazione reciproca fissata,fixed can mean repaired or immutable,Class-definition context supplies the anchor sense,effective_sense_link,isomorfismo;representación,,False,False,no_exact_dominant_carrier,none_existing_evidence_only,0,False,none
L046,R823_HG_T003,HG46,Darstellungsmodul,modul de representation,representation module,carried_construction_candidate,R823:21099,R823_HG_T003/terminology/R823_HG_T003_TERMINOLOGY_v1.csv,798D56C07C5BFDA7BA4996A89FA64B2A57C2194EC17592E11C44FA370F042F97,T05-S1;T17-S1,approved_semantic_or_context_link,Retained after v10 link audit; every target token resolves to a v9 core sense or C2 node.,module de représentation; módulo de representación,module/modulo false-sense trap,Reuses the sense-scoped T001 analytic compound,source_term_exact,módulo de representación,module de représentation,False,False,no_exact_dominant_carrier,none_existing_evidence_only,0,False,none
L047,R823_HG_T003,HG47,direkter Darstellungsmodul,modul direct de representation,direct representation module,historical_construction_candidate,R823:21101;21103,R823_HG_T003/terminology/R823_HG_T003_TERMINOLOGY_v1.csv,798D56C07C5BFDA7BA4996A89FA64B2A57C2194EC17592E11C44FA370F042F97,T05-S1;T17-S1,approved_semantic_or_context_link,Retained after v10 link audit; every target token resolves to a v9 core sense or C2 node.,module de représentation direct; módulo de representación directa,direct can be ordinary unmediated,Exact source-facing subtype label,effective_sense_link,módulo;representación,module,False,False,no_exact_dominant_carrier,none_existing_evidence_only,0,False,none
L048,R823_HG_T003,HG48,Doppelmodul,bimodul,bimodule with two compatible actions,construction_candidate,R823:21103,R823_HG_T003/terminology/R823_HG_T003_TERMINOLOGY_v1.csv,798D56C07C5BFDA7BA4996A89FA64B2A57C2194EC17592E11C44FA370F042F97,T05-S1,approved_semantic_or_context_link,Retained after v10 link audit; every target token resolves to a v9 core sense or C2 node.,bimódulo; bimodule; bimodulo,not merely any module with two labels,Action order and mixed associativity equation define the sense,source_term_exact,,bimodule,False,False,no_exact_dominant_carrier,none_existing_evidence_only,0,False,none
