unit_id,source_locator_detail,target_locator_detail,method,reviewed_structures,reviewed_formulas,reviewed_notes,findings,reviewer_provenance,supporting_artifacts,review_state
P11,R823 P11 authority slice lines 7855--8060,expanded French P11 slice lines 7460--7755,"For P11, compared the complete expanded French paper slice directly with the frozen R823 German slice, then repeated the comparison after live repairs.","For P11, checked paper boundaries, title and section order, paragraph flow, theorem/definition/lemma topology, and the final 43-paper structural-audit row.","For P11, checked the ordered display stream, numbered tags, inline variables, operators, bars, exponents, dummy indices, congruences, and explicit products.","For P11, checked footnote/source-note count, order, anchors, continuation text, bibliographic metadata, and any counter reset visible in the authority slice.","P11: P11 is source-reconciled after the final live-file pass; no residual structural, formula, note, terminology, or metadata blocker remains.","French R823 manager review for P11, independently checked in the disjoint P01--P21 or P22--P43 audit tranche and revalidated from the live include graph.",evidence/R823_FRENCH_FINAL_RECONCILIATION_AUDIT_20260718.md,review-complete
P12,R823 P12 authority slice lines 8061--8461,expanded French P12 slice lines 7756--8209,"For P12, compared the complete expanded French paper slice directly with the frozen R823 German slice, then repeated the comparison after live repairs.","For P12, checked paper boundaries, title and section order, paragraph flow, theorem/definition/lemma topology, and the final 43-paper structural-audit row.","For P12, checked the ordered display stream, numbered tags, inline variables, operators, bars, exponents, dummy indices, congruences, and explicit products.","For P12, checked footnote/source-note count, order, anchors, continuation text, bibliographic metadata, and any counter reset visible in the authority slice.","P12: P12 is source-reconciled after the final live-file pass; no residual structural, formula, note, terminology, or metadata blocker remains.","French R823 manager review for P12, independently checked in the disjoint P01--P21 or P22--P43 audit tranche and revalidated from the live include graph.",evidence/R823_FRENCH_FINAL_RECONCILIATION_AUDIT_20260718.md,review-complete
P13,R823 P13 authority slice lines 8462--9077,expanded French P13 slice lines 8210--8949,"For P13, compared the complete expanded French paper slice directly with the frozen R823 German slice, then repeated the comparison after live repairs.","For P13, checked paper boundaries, title and section order, paragraph flow, theorem/definition/lemma topology, and the final 43-paper structural-audit row.","For P13, checked the ordered display stream, numbered tags, inline variables, operators, bars, exponents, dummy indices, congruences, and explicit products.","For P13, checked footnote/source-note count, order, anchors, continuation text, bibliographic metadata, and any counter reset visible in the authority slice.","P13: Restored varkappa and suppressed-index conventions, fraktur transformations, source products, and the conserved first integral; the supported T_r emendation is documented.","French R823 manager review for P13, independently checked in the disjoint P01--P21 or P22--P43 audit tranche and revalidated from the live include graph.",evidence/R823_FRENCH_FINAL_RECONCILIATION_AUDIT_20260718.md,review-complete
P14,R823 P14 authority slice lines 9078--9256,expanded French P14 slice lines 8950--9273,"For P14, compared the complete expanded French paper slice directly with the frozen R823 German slice, then repeated the comparison after live repairs.","For P14, checked paper boundaries, title and section order, paragraph flow, theorem/definition/lemma topology, and the final 43-paper structural-audit row.","For P14, checked the ordered display stream, numbered tags, inline variables, operators, bars, exponents, dummy indices, congruences, and explicit products.","For P14, checked footnote/source-note count, order, anchors, continuation text, bibliographic metadata, and any counter reset visible in the authority slice.","P14: P14 is source-reconciled after the final live-file pass; no residual structural, formula, note, terminology, or metadata blocker remains.","French R823 manager review for P14, independently checked in the disjoint P01--P21 or P22--P43 audit tranche and revalidated from the live include graph.",evidence/R823_FRENCH_FINAL_RECONCILIATION_AUDIT_20260718.md,review-complete
P15,R823 P15 authority slice lines 9257--9876,expanded French P15 slice lines 9274--10068,"For P15, compared the complete expanded French paper slice directly with the frozen R823 German slice, then repeated the comparison after live repairs.","For P15, checked paper boundaries, title and section order, paragraph flow, theorem/definition/lemma topology, and the final 43-paper structural-audit row.","For P15, checked the ordered display stream, numbered tags, inline variables, operators, bars, exponents, dummy indices, congruences, and explicit products.","For P15, checked footnote/source-note count, order, anchors, continuation text, bibliographic metadata, and any counter reset visible in the authority slice.",P15: Restored the authority's arbitrary alpha/beta/gamma exponents and the lambda bound index without changing the separate bounded a/b/c basis.,"French R823 manager review for P15, independently checked in the disjoint P01--P21 or P22--P43 audit tranche and revalidated from the live include graph.",evidence/R823_FRENCH_FINAL_RECONCILIATION_AUDIT_20260718.md,review-complete
P16,R823 P16 authority slice lines 9877--10043,expanded French P16 slice lines 10069--10295,"For P16, compared the complete expanded French paper slice directly with the frozen R823 German slice, then repeated the comparison after live repairs.","For P16, checked paper boundaries, title and section order, paragraph flow, theorem/definition/lemma topology, and the final 43-paper structural-audit row.","For P16, checked the ordered display stream, numbered tags, inline variables, operators, bars, exponents, dummy indices, congruences, and explicit products.","For P16, checked footnote/source-note count, order, anchors, continuation text, bibliographic metadata, and any counter reset visible in the authority slice.","P16: P16 is source-reconciled after the final live-file pass; no residual structural, formula, note, terminology, or metadata blocker remains.","French R823 manager review for P16, independently checked in the disjoint P01--P21 or P22--P43 audit tranche and revalidated from the live include graph.",evidence/R823_FRENCH_FINAL_RECONCILIATION_AUDIT_20260718.md,review-complete
P17,R823 P17 authority slice lines 10044--11190,expanded French P17 slice lines 10296--11621,"For P17, compared the complete expanded French paper slice directly with the frozen R823 German slice, then repeated the comparison after live repairs.","For P17, checked paper boundaries, title and section order, paragraph flow, theorem/definition/lemma topology, and the final 43-paper structural-audit row.","For P17, checked the ordered display stream, numbered tags, inline variables, operators, bars, exponents, dummy indices, congruences, and explicit products.","For P17, checked footnote/source-note count, order, anchors, continuation text, bibliographic metadata, and any counter reset visible in the authority slice.","P17: Restored all chi-to-varkappa drift, finite-basis indices, modulo-module congruences, Schmeidler indices, and the source's distinguished dummy-index roles.","French R823 manager review for P17, independently checked in the disjoint P01--P21 or P22--P43 audit tranche and revalidated from the live include graph.",evidence/R823_FRENCH_FINAL_RECONCILIATION_AUDIT_20260718.md,review-complete
P18,R823 P18 authority slice lines 11191--11219,expanded French P18 slice lines 11622--11661,"For P18, compared the complete expanded French paper slice directly with the frozen R823 German slice, then repeated the comparison after live repairs.","For P18, checked paper boundaries, title and section order, paragraph flow, theorem/definition/lemma topology, and the final 43-paper structural-audit row.","For P18, checked the ordered display stream, numbered tags, inline variables, operators, bars, exponents, dummy indices, congruences, and explicit products.","For P18, checked footnote/source-note count, order, anchors, continuation text, bibliographic metadata, and any counter reset visible in the authority slice.","P18: P18 is source-reconciled after the final live-file pass; no residual structural, formula, note, terminology, or metadata blocker remains.","French R823 manager review for P18, independently checked in the disjoint P01--P21 or P22--P43 audit tranche and revalidated from the live include graph.",evidence/R823_FRENCH_FINAL_RECONCILIATION_AUDIT_20260718.md,review-complete
P19,R823 P19 authority slice lines 11220--12370,expanded French P19 slice lines 11662--13111,"For P19, compared the complete expanded French paper slice directly with the frozen R823 German slice, then repeated the comparison after live repairs.","For P19, checked paper boundaries, title and section order, paragraph flow, theorem/definition/lemma topology, and the final 43-paper structural-audit row.","For P19, checked the ordered display stream, numbered tags, inline variables, operators, bars, exponents, dummy indices, congruences, and explicit products.","For P19, checked footnote/source-note count, order, anchors, continuation text, bibliographic metadata, and any counter reset visible in the authority slice.","P19: Exhaustive second pass cleared divisor-direction semantics, ideal families, definitions, theorems, lemmas, formula tags, 51 notes, and canonical teilerfremd terminology.","French R823 manager review for P19, independently checked in the disjoint P01--P21 or P22--P43 audit tranche and revalidated from the live include graph.",evidence/R823_FRENCH_FINAL_RECONCILIATION_AUDIT_20260718.md,review-complete
P20,R823 P20 authority slice lines 12371--12582,expanded French P20 slice lines 13112--13371,"For P20, compared the complete expanded French paper slice directly with the frozen R823 German slice, then repeated the comparison after live repairs.","For P20, checked paper boundaries, title and section order, paragraph flow, theorem/definition/lemma topology, and the final 43-paper structural-audit row.","For P20, checked the ordered display stream, numbered tags, inline variables, operators, bars, exponents, dummy indices, congruences, and explicit products.","For P20, checked footnote/source-note count, order, anchors, continuation text, bibliographic metadata, and any counter reset visible in the authority slice.","P20: Restored barred specializations, x-lambda notation, the literal second tag (12), and the explicit Delta product in the active external French source.","French R823 manager review for P20, independently checked in the disjoint P01--P21 or P22--P43 audit tranche and revalidated from the live include graph.",evidence/R823_FRENCH_FINAL_RECONCILIATION_AUDIT_20260718.md,review-complete
P21,R823 P21 authority slice lines 12583--12674,expanded French P21 slice lines 13372--13553,"For P21, compared the complete expanded French paper slice directly with the frozen R823 German slice, then repeated the comparison after live repairs.","For P21, checked paper boundaries, title and section order, paragraph flow, theorem/definition/lemma topology, and the final 43-paper structural-audit row.","For P21, checked the ordered display stream, numbered tags, inline variables, operators, bars, exponents, dummy indices, congruences, and explicit products.","For P21, checked footnote/source-note count, order, anchors, continuation text, bibliographic metadata, and any counter reset visible in the authority slice.","P21: Formula sequence (140)--(146), notes, prose, and metadata pass; the authority's II,3 versus III,3 internal conflict is recorded without conjectural correction.","French R823 manager review for P21, independently checked in the disjoint P01--P21 or P22--P43 audit tranche and revalidated from the live include graph.",evidence/R823_FRENCH_FINAL_RECONCILIATION_AUDIT_20260718.md,review-complete
P22,R823 P22 authority slice lines 12675--13506,expanded French P22 slice lines 13554--14745,"For P22, compared the complete expanded French paper slice directly with the frozen R823 German slice, then repeated the comparison after live repairs.","For P22, checked paper boundaries, title and section order, paragraph flow, theorem/definition/lemma topology, and the final 43-paper structural-audit row.","For P22, checked the ordered display stream, numbered tags, inline variables, operators, bars, exponents, dummy indices, congruences, and explicit products.","For P22, checked footnote/source-note count, order, anchors, continuation text, bibliographic metadata, and any counter reset visible in the authority slice.",P22: Late source-note reset and formula-order repairs were rechecked in the frozen P22--P43 tranche; no residual exact blocker remains.,"French R823 manager review for P22, independently checked in the disjoint P01--P21 or P22--P43 audit tranche and revalidated from the live include graph.",evidence/R823_FRENCH_FINAL_RECONCILIATION_AUDIT_20260718.md,review-complete
P23,R823 P23 authority slice lines 13507--13630,expanded French P23 slice lines 14746--14922,"For P23, compared the complete expanded French paper slice directly with the frozen R823 German slice, then repeated the comparison after live repairs.","For P23, checked paper boundaries, title and section order, paragraph flow, theorem/definition/lemma topology, and the final 43-paper structural-audit row.","For P23, checked the ordered display stream, numbered tags, inline variables, operators, bars, exponents, dummy indices, congruences, and explicit products.","For P23, checked footnote/source-note count, order, anchors, continuation text, bibliographic metadata, and any counter reset visible in the authority slice.","P23: P23 is source-reconciled after the final live-file pass; no residual structural, formula, note, terminology, or metadata blocker remains.","French R823 manager review for P23, independently checked in the disjoint P01--P21 or P22--P43 audit tranche and revalidated from the live include graph.",evidence/R823_FRENCH_FINAL_RECONCILIATION_AUDIT_20260718.md,review-complete
P24,R823 P24 authority slice lines 13631--14119,expanded French P24 slice lines 14923--15503,"For P24, compared the complete expanded French paper slice directly with the frozen R823 German slice, then repeated the comparison after live repairs.","For P24, checked paper boundaries, title and section order, paragraph flow, theorem/definition/lemma topology, and the final 43-paper structural-audit row.","For P24, checked the ordered display stream, numbered tags, inline variables, operators, bars, exponents, dummy indices, congruences, and explicit products.","For P24, checked footnote/source-note count, order, anchors, continuation text, bibliographic metadata, and any counter reset visible in the authority slice.",P24: Restored the authority's exact k/l/m exponents and alpha endpoints and rechecked the full formula and note sequence.,"French R823 manager review for P24, independently checked in the disjoint P01--P21 or P22--P43 audit tranche and revalidated from the live include graph.",evidence/R823_FRENCH_FINAL_RECONCILIATION_AUDIT_20260718.md,review-complete
P25,R823 P25 authority slice lines 14120--14178,expanded French P25 slice lines 15504--15562,"For P25, compared the complete expanded French paper slice directly with the frozen R823 German slice, then repeated the comparison after live repairs.","For P25, checked paper boundaries, title and section order, paragraph flow, theorem/definition/lemma topology, and the final 43-paper structural-audit row.","For P25, checked the ordered display stream, numbered tags, inline variables, operators, bars, exponents, dummy indices, congruences, and explicit products.","For P25, checked footnote/source-note count, order, anchors, continuation text, bibliographic metadata, and any counter reset visible in the authority slice.",P25: Restored the barred Galois-closure notation and rechecked the paper's complete mathematical stream.,"French R823 manager review for P25, independently checked in the disjoint P01--P21 or P22--P43 audit tranche and revalidated from the live include graph.",evidence/R823_FRENCH_FINAL_RECONCILIATION_AUDIT_20260718.md,review-complete
P26,R823 P26 authority slice lines 14179--14191,expanded French P26 slice lines 15563--15577,"For P26, compared the complete expanded French paper slice directly with the frozen R823 German slice, then repeated the comparison after live repairs.","For P26, checked paper boundaries, title and section order, paragraph flow, theorem/definition/lemma topology, and the final 43-paper structural-audit row.","For P26, checked the ordered display stream, numbered tags, inline variables, operators, bars, exponents, dummy indices, congruences, and explicit products.","For P26, checked footnote/source-note count, order, anchors, continuation text, bibliographic metadata, and any counter reset visible in the authority slice.","P26: P26 is source-reconciled after the final live-file pass; no residual structural, formula, note, terminology, or metadata blocker remains.","French R823 manager review for P26, independently checked in the disjoint P01--P21 or P22--P43 audit tranche and revalidated from the live include graph.",evidence/R823_FRENCH_FINAL_RECONCILIATION_AUDIT_20260718.md,review-complete
P27,R823 P27 authority slice lines 14192--14200,expanded French P27 slice lines 15578--15588,"For P27, compared the complete expanded French paper slice directly with the frozen R823 German slice, then repeated the comparison after live repairs.","For P27, checked paper boundaries, title and section order, paragraph flow, theorem/definition/lemma topology, and the final 43-paper structural-audit row.","For P27, checked the ordered display stream, numbered tags, inline variables, operators, bars, exponents, dummy indices, congruences, and explicit products.","For P27, checked footnote/source-note count, order, anchors, continuation text, bibliographic metadata, and any counter reset visible in the authority slice.","P27: P27 is source-reconciled after the final live-file pass; no residual structural, formula, note, terminology, or metadata blocker remains.","French R823 manager review for P27, independently checked in the disjoint P01--P21 or P22--P43 audit tranche and revalidated from the live include graph.",evidence/R823_FRENCH_FINAL_RECONCILIATION_AUDIT_20260718.md,review-complete
P28,R823 P28 authority slice lines 14201--14215,expanded French P28 slice lines 15589--15607,"For P28, compared the complete expanded French paper slice directly with the frozen R823 German slice, then repeated the comparison after live repairs.","For P28, checked paper boundaries, title and section order, paragraph flow, theorem/definition/lemma topology, and the final 43-paper structural-audit row.","For P28, checked the ordered display stream, numbered tags, inline variables, operators, bars, exponents, dummy indices, congruences, and explicit products.","For P28, checked footnote/source-note count, order, anchors, continuation text, bibliographic metadata, and any counter reset visible in the authority slice.","P28: P28 is source-reconciled after the final live-file pass; no residual structural, formula, note, terminology, or metadata blocker remains.","French R823 manager review for P28, independently checked in the disjoint P01--P21 or P22--P43 audit tranche and revalidated from the live include graph.",evidence/R823_FRENCH_FINAL_RECONCILIATION_AUDIT_20260718.md,review-complete
P29,R823 P29 authority slice lines 14216--14315,expanded French P29 slice lines 15608--15713,"For P29, compared the complete expanded French paper slice directly with the frozen R823 German slice, then repeated the comparison after live repairs.","For P29, checked paper boundaries, title and section order, paragraph flow, theorem/definition/lemma topology, and the final 43-paper structural-audit row.","For P29, checked the ordered display stream, numbered tags, inline variables, operators, bars, exponents, dummy indices, congruences, and explicit products.","For P29, checked footnote/source-note count, order, anchors, continuation text, bibliographic metadata, and any counter reset visible in the authority slice.","P29: P29 is source-reconciled after the final live-file pass; no residual structural, formula, note, terminology, or metadata blocker remains.","French R823 manager review for P29, independently checked in the disjoint P01--P21 or P22--P43 audit tranche and revalidated from the live include graph.",evidence/R823_FRENCH_FINAL_RECONCILIATION_AUDIT_20260718.md,review-complete
P30,R823 P30 authority slice lines 14316--15576,expanded French P30 slice lines 15714--16607,"For P30, compared the complete expanded French paper slice directly with the frozen R823 German slice, then repeated the comparison after live repairs.","For P30, checked paper boundaries, title and section order, paragraph flow, theorem/definition/lemma topology, and the final 43-paper structural-audit row.","For P30, checked the ordered display stream, numbered tags, inline variables, operators, bars, exponents, dummy indices, congruences, and explicit products.","For P30, checked footnote/source-note count, order, anchors, continuation text, bibliographic metadata, and any counter reset visible in the authority slice.","P30: P30 is source-reconciled after the final live-file pass; no residual structural, formula, note, terminology, or metadata blocker remains.","French R823 manager review for P30, independently checked in the disjoint P01--P21 or P22--P43 audit tranche and revalidated from the live include graph.",evidence/R823_FRENCH_FINAL_RECONCILIATION_AUDIT_20260718.md,review-complete
P31,R823 P31 authority slice lines 15577--16068,expanded French P31 slice lines 16608--17131,"For P31, compared the complete expanded French paper slice directly with the frozen R823 German slice, then repeated the comparison after live repairs.","For P31, checked paper boundaries, title and section order, paragraph flow, theorem/definition/lemma topology, and the final 43-paper structural-audit row.","For P31, checked the ordered display stream, numbered tags, inline variables, operators, bars, exponents, dummy indices, congruences, and explicit products.","For P31, checked footnote/source-note count, order, anchors, continuation text, bibliographic metadata, and any counter reset visible in the authority slice.",P31: The dedicated P31 structural reconciliation and artifact-hash audit pass against the live frozen target slice.,"French R823 manager review for P31, independently checked in the disjoint P01--P21 or P22--P43 audit tranche and revalidated from the live include graph.",evidence/R823_FRENCH_FINAL_RECONCILIATION_AUDIT_20260718.md,review-complete
P32,R823 P32 authority slice lines 16069--16237,expanded French P32 slice lines 17132--17288,"For P32, compared the complete expanded French paper slice directly with the frozen R823 German slice, then repeated the comparison after live repairs.","For P32, checked paper boundaries, title and section order, paragraph flow, theorem/definition/lemma topology, and the final 43-paper structural-audit row.","For P32, checked the ordered display stream, numbered tags, inline variables, operators, bars, exponents, dummy indices, congruences, and explicit products.","For P32, checked footnote/source-note count, order, anchors, continuation text, bibliographic metadata, and any counter reset visible in the authority slice.","P32: P32 is source-reconciled after the final live-file pass; no residual structural, formula, note, terminology, or metadata blocker remains.","French R823 manager review for P32, independently checked in the disjoint P01--P21 or P22--P43 audit tranche and revalidated from the live include graph.",evidence/R823_FRENCH_FINAL_RECONCILIATION_AUDIT_20260718.md,review-complete
P33,R823 P33 authority slice lines 16238--16311,expanded French P33 slice lines 17289--17363,"For P33, compared the complete expanded French paper slice directly with the frozen R823 German slice, then repeated the comparison after live repairs.","For P33, checked paper boundaries, title and section order, paragraph flow, theorem/definition/lemma topology, and the final 43-paper structural-audit row.","For P33, checked the ordered display stream, numbered tags, inline variables, operators, bars, exponents, dummy indices, congruences, and explicit products.","For P33, checked footnote/source-note count, order, anchors, continuation text, bibliographic metadata, and any counter reset visible in the authority slice.",P33: The repaired P33 mathematical slice passes isolated and integrated builds with its final target hash frozen.,"French R823 manager review for P33, independently checked in the disjoint P01--P21 or P22--P43 audit tranche and revalidated from the live include graph.",evidence/R823_FRENCH_FINAL_RECONCILIATION_AUDIT_20260718.md,review-complete
P34,R823 P34 authority slice lines 16312--18335,expanded French P34 slice lines 17364--19399,"For P34, compared the complete expanded French paper slice directly with the frozen R823 German slice, then repeated the comparison after live repairs.","For P34, checked paper boundaries, title and section order, paragraph flow, theorem/definition/lemma topology, and the final 43-paper structural-audit row.","For P34, checked the ordered display stream, numbered tags, inline variables, operators, bars, exponents, dummy indices, congruences, and explicit products.","For P34, checked footnote/source-note count, order, anchors, continuation text, bibliographic metadata, and any counter reset visible in the authority slice.","P34: P34 is source-reconciled after the final live-file pass; no residual structural, formula, note, terminology, or metadata blocker remains.","French R823 manager review for P34, independently checked in the disjoint P01--P21 or P22--P43 audit tranche and revalidated from the live include graph.",evidence/R823_FRENCH_FINAL_RECONCILIATION_AUDIT_20260718.md,review-complete
P35,R823 P35 authority slice lines 18336--18599,expanded French P35 slice lines 19400--19642,"For P35, compared the complete expanded French paper slice directly with the frozen R823 German slice, then repeated the comparison after live repairs.","For P35, checked paper boundaries, title and section order, paragraph flow, theorem/definition/lemma topology, and the final 43-paper structural-audit row.","For P35, checked the ordered display stream, numbered tags, inline variables, operators, bars, exponents, dummy indices, congruences, and explicit products.","For P35, checked footnote/source-note count, order, anchors, continuation text, bibliographic metadata, and any counter reset visible in the authority slice.","P35: Metadata, Russian summary, formulas, and note topology pass the R823 source review.","French R823 manager review for P35, independently checked in the disjoint P01--P21 or P22--P43 audit tranche and revalidated from the live include graph.",evidence/R823_FRENCH_FINAL_RECONCILIATION_AUDIT_20260718.md,review-complete
