authority_sha256,target_document_sha256,paper,source_chars,target_chars,char_ratio,source_displays,target_displays,source_display_rows,target_display_rows,source_inline_math_openers,target_inline_math_openers,source_math_tokens,target_math_tokens,math_token_ratio,source_commands,target_commands,status,note
EE8955BCF7A263917BE57DBC8F682601550CDCB5260D02CA6D486C6A6DFD4F21,073368D0421BBF37232EF4F2F474398AE45DA6A66CCE97942F3D653A82B45F8D,23,22301,23069,1.0344,5,14,1,16,240,180,913,1678,1.8379,352,413,present-structural-review,
EE8955BCF7A263917BE57DBC8F682601550CDCB5260D02CA6D486C6A6DFD4F21,073368D0421BBF37232EF4F2F474398AE45DA6A66CCE97942F3D653A82B45F8D,24,96694,104725,1.0831,45,54,8,7,2546,2528,9508,9609,1.0106,1774,2014,present-structural-review,
EE8955BCF7A263917BE57DBC8F682601550CDCB5260D02CA6D486C6A6DFD4F21,073368D0421BBF37232EF4F2F474398AE45DA6A66CCE97942F3D653A82B45F8D,25,13055,12900,0.9881,3,3,1,1,304,292,810,753,0.9296,153,148,present-structural-review,
EE8955BCF7A263917BE57DBC8F682601550CDCB5260D02CA6D486C6A6DFD4F21,073368D0421BBF37232EF4F2F474398AE45DA6A66CCE97942F3D653A82B45F8D,26,1020,1123,1.1010,0,0,0,0,0,0,0,0,1.0000,4,5,present-structural-review,
EE8955BCF7A263917BE57DBC8F682601550CDCB5260D02CA6D486C6A6DFD4F21,073368D0421BBF37232EF4F2F474398AE45DA6A66CCE97942F3D653A82B45F8D,27,1638,1797,1.0971,0,0,0,0,12,14,30,43,1.4333,8,19,present-structural-review,
EE8955BCF7A263917BE57DBC8F682601550CDCB5260D02CA6D486C6A6DFD4F21,073368D0421BBF37232EF4F2F474398AE45DA6A66CCE97942F3D653A82B45F8D,28,1402,1499,1.0692,0,0,0,0,0,0,0,0,1.0000,5,5,present-structural-review,
EE8955BCF7A263917BE57DBC8F682601550CDCB5260D02CA6D486C6A6DFD4F21,073368D0421BBF37232EF4F2F474398AE45DA6A66CCE97942F3D653A82B45F8D,29,20957,21404,1.0213,5,7,2,2,610,610,1888,1903,1.0079,342,348,present-structural-review,
EE8955BCF7A263917BE57DBC8F682601550CDCB5260D02CA6D486C6A6DFD4F21,073368D0421BBF37232EF4F2F474398AE45DA6A66CCE97942F3D653A82B45F8D,30,106640,108989,1.0220,79,88,9,8,2870,2684,7685,7181,0.9344,3438,3209,present-structural-review,
EE8955BCF7A263917BE57DBC8F682601550CDCB5260D02CA6D486C6A6DFD4F21,073368D0421BBF37232EF4F2F474398AE45DA6A66CCE97942F3D653A82B45F8D,31,80004,78434,0.9804,33,36,18,16,2322,2336,5961,5509,0.9242,1992,1896,present-structural-review,
EE8955BCF7A263917BE57DBC8F682601550CDCB5260D02CA6D486C6A6DFD4F21,073368D0421BBF37232EF4F2F474398AE45DA6A66CCE97942F3D653A82B45F8D,32,22264,22236,0.9987,19,19,19,17,506,506,1491,1492,1.0007,305,265,present-structural-review,
EE8955BCF7A263917BE57DBC8F682601550CDCB5260D02CA6D486C6A6DFD4F21,073368D0421BBF37232EF4F2F474398AE45DA6A66CCE97942F3D653A82B45F8D,33,9327,9532,1.0220,2,2,8,8,52,52,192,188,0.9792,136,128,present-structural-review,
EE8955BCF7A263917BE57DBC8F682601550CDCB5260D02CA6D486C6A6DFD4F21,073368D0421BBF37232EF4F2F474398AE45DA6A66CCE97942F3D653A82B45F8D,34,122335,125328,1.0245,235,254,89,60,2991,2825,13266,12660,0.9543,3936,3842,present-structural-review,
EE8955BCF7A263917BE57DBC8F682601550CDCB5260D02CA6D486C6A6DFD4F21,073368D0421BBF37232EF4F2F474398AE45DA6A66CCE97942F3D653A82B45F8D,35,32701,33403,1.0215,6,8,3,2,944,942,3173,3191,1.0057,696,663,present-structural-review,
EE8955BCF7A263917BE57DBC8F682601550CDCB5260D02CA6D486C6A6DFD4F21,073368D0421BBF37232EF4F2F474398AE45DA6A66CCE97942F3D653A82B45F8D,36,629,668,1.0620,0,0,0,0,0,0,0,0,1.0000,8,9,present-structural-review,
EE8955BCF7A263917BE57DBC8F682601550CDCB5260D02CA6D486C6A6DFD4F21,073368D0421BBF37232EF4F2F474398AE45DA6A66CCE97942F3D653A82B45F8D,37,21537,24187,1.1230,15,15,4,4,275,278,1808,2647,1.4640,462,468,present-structural-review,
EE8955BCF7A263917BE57DBC8F682601550CDCB5260D02CA6D486C6A6DFD4F21,073368D0421BBF37232EF4F2F474398AE45DA6A66CCE97942F3D653A82B45F8D,38,26344,26719,1.0142,19,19,2,2,333,330,1626,1636,1.0062,459,452,present-structural-review,
EE8955BCF7A263917BE57DBC8F682601550CDCB5260D02CA6D486C6A6DFD4F21,073368D0421BBF37232EF4F2F474398AE45DA6A66CCE97942F3D653A82B45F8D,39,18348,18894,1.0298,3,8,7,7,120,120,577,884,1.5321,154,164,present-structural-review,
EE8955BCF7A263917BE57DBC8F682601550CDCB5260D02CA6D486C6A6DFD4F21,073368D0421BBF37232EF4F2F474398AE45DA6A66CCE97942F3D653A82B45F8D,40,81688,82774,1.0133,43,89,19,7,1265,1188,4927,4673,0.9484,1394,1181,present-structural-review,
EE8955BCF7A263917BE57DBC8F682601550CDCB5260D02CA6D486C6A6DFD4F21,073368D0421BBF37232EF4F2F474398AE45DA6A66CCE97942F3D653A82B45F8D,41,26717,27016,1.0112,7,40,2,2,306,259,2057,2249,1.0933,319,322,present-structural-review,
EE8955BCF7A263917BE57DBC8F682601550CDCB5260D02CA6D486C6A6DFD4F21,073368D0421BBF37232EF4F2F474398AE45DA6A66CCE97942F3D653A82B45F8D,42,23653,24623,1.0410,17,32,4,4,686,318,1791,2010,1.1223,580,540,present-structural-review,
EE8955BCF7A263917BE57DBC8F682601550CDCB5260D02CA6D486C6A6DFD4F21,073368D0421BBF37232EF4F2F474398AE45DA6A66CCE97942F3D653A82B45F8D,43,88370,91905,1.0400,108,108,8,8,2891,2226,10162,10183,1.0021,2455,2465,present-structural-review,
