authority_sha256,target_document_sha256,section,source_chars,target_chars,char_ratio,source_displays,target_displays,source_display_rows,target_display_rows,source_inline_math_openers,target_inline_math_openers,source_commands,target_commands,status,note
EE8955BCF7A263917BE57DBC8F682601550CDCB5260D02CA6D486C6A6DFD4F21,4D462118A83980092DFC055009D1138B14E7D1813319DA93EB76262766EBBB2E,11,6824,7100,1.0404,16,16,0,0,128,128,281,281,present-structural-review,
EE8955BCF7A263917BE57DBC8F682601550CDCB5260D02CA6D486C6A6DFD4F21,4D462118A83980092DFC055009D1138B14E7D1813319DA93EB76262766EBBB2E,12,1706,1699,0.9959,7,7,6,6,13,13,104,105,present-structural-review,
EE8955BCF7A263917BE57DBC8F682601550CDCB5260D02CA6D486C6A6DFD4F21,4D462118A83980092DFC055009D1138B14E7D1813319DA93EB76262766EBBB2E,13,3394,3619,1.0663,9,9,0,0,43,43,157,159,present-structural-review,
EE8955BCF7A263917BE57DBC8F682601550CDCB5260D02CA6D486C6A6DFD4F21,4D462118A83980092DFC055009D1138B14E7D1813319DA93EB76262766EBBB2E,14,1881,1966,1.0452,7,7,0,0,19,19,65,70,present-structural-review,
EE8955BCF7A263917BE57DBC8F682601550CDCB5260D02CA6D486C6A6DFD4F21,4D462118A83980092DFC055009D1138B14E7D1813319DA93EB76262766EBBB2E,15,3573,3795,1.0621,6,6,0,0,65,63,87,86,present-structural-review,
EE8955BCF7A263917BE57DBC8F682601550CDCB5260D02CA6D486C6A6DFD4F21,4D462118A83980092DFC055009D1138B14E7D1813319DA93EB76262766EBBB2E,16,760,841,1.1066,5,5,4,4,2,3,28,29,present-structural-review,
EE8955BCF7A263917BE57DBC8F682601550CDCB5260D02CA6D486C6A6DFD4F21,4D462118A83980092DFC055009D1138B14E7D1813319DA93EB76262766EBBB2E,17,7503,7695,1.0256,11,11,5,5,134,138,289,291,present-structural-review,
EE8955BCF7A263917BE57DBC8F682601550CDCB5260D02CA6D486C6A6DFD4F21,4D462118A83980092DFC055009D1138B14E7D1813319DA93EB76262766EBBB2E,18,5476,5604,1.0234,20,20,1,1,81,81,236,239,present-structural-review,
EE8955BCF7A263917BE57DBC8F682601550CDCB5260D02CA6D486C6A6DFD4F21,4D462118A83980092DFC055009D1138B14E7D1813319DA93EB76262766EBBB2E,19,9263,9566,1.0327,19,19,17,17,120,125,312,316,present-structural-review,
EE8955BCF7A263917BE57DBC8F682601550CDCB5260D02CA6D486C6A6DFD4F21,4D462118A83980092DFC055009D1138B14E7D1813319DA93EB76262766EBBB2E,20,13796,14277,1.0349,15,15,3,3,268,273,320,323,present-structural-review,
EE8955BCF7A263917BE57DBC8F682601550CDCB5260D02CA6D486C6A6DFD4F21,4D462118A83980092DFC055009D1138B14E7D1813319DA93EB76262766EBBB2E,21,7300,7591,1.0399,10,10,1,1,122,128,192,195,present-structural-review,
EE8955BCF7A263917BE57DBC8F682601550CDCB5260D02CA6D486C6A6DFD4F21,4D462118A83980092DFC055009D1138B14E7D1813319DA93EB76262766EBBB2E,22,8548,8731,1.0214,14,14,0,0,122,122,329,332,present-structural-review,
EE8955BCF7A263917BE57DBC8F682601550CDCB5260D02CA6D486C6A6DFD4F21,4D462118A83980092DFC055009D1138B14E7D1813319DA93EB76262766EBBB2E,23,7532,7674,1.0189,23,23,1,1,127,127,286,289,present-structural-review,
EE8955BCF7A263917BE57DBC8F682601550CDCB5260D02CA6D486C6A6DFD4F21,4D462118A83980092DFC055009D1138B14E7D1813319DA93EB76262766EBBB2E,24,20844,21720,1.0420,60,60,6,6,336,334,855,858,present-structural-review,
EE8955BCF7A263917BE57DBC8F682601550CDCB5260D02CA6D486C6A6DFD4F21,4D462118A83980092DFC055009D1138B14E7D1813319DA93EB76262766EBBB2E,25,11879,12375,1.0418,44,44,3,3,168,169,291,298,present-structural-review,
EE8955BCF7A263917BE57DBC8F682601550CDCB5260D02CA6D486C6A6DFD4F21,4D462118A83980092DFC055009D1138B14E7D1813319DA93EB76262766EBBB2E,26,3708,3884,1.0475,8,8,1,1,50,50,100,102,present-structural-review,
EE8955BCF7A263917BE57DBC8F682601550CDCB5260D02CA6D486C6A6DFD4F21,4D462118A83980092DFC055009D1138B14E7D1813319DA93EB76262766EBBB2E,27,10600,11297,1.0658,15,15,2,2,195,194,302,305,present-structural-review,
EE8955BCF7A263917BE57DBC8F682601550CDCB5260D02CA6D486C6A6DFD4F21,4D462118A83980092DFC055009D1138B14E7D1813319DA93EB76262766EBBB2E,28,9767,10295,1.0541,14,14,1,1,136,136,357,361,present-structural-review,
EE8955BCF7A263917BE57DBC8F682601550CDCB5260D02CA6D486C6A6DFD4F21,4D462118A83980092DFC055009D1138B14E7D1813319DA93EB76262766EBBB2E,29,1893,2032,1.0734,2,2,0,0,30,30,40,45,present-structural-review,
EE8955BCF7A263917BE57DBC8F682601550CDCB5260D02CA6D486C6A6DFD4F21,4D462118A83980092DFC055009D1138B14E7D1813319DA93EB76262766EBBB2E,30,5183,5482,1.0577,8,8,1,1,73,72,128,128,present-structural-review,
EE8955BCF7A263917BE57DBC8F682601550CDCB5260D02CA6D486C6A6DFD4F21,4D462118A83980092DFC055009D1138B14E7D1813319DA93EB76262766EBBB2E,31,4793,5075,1.0588,1,1,0,0,78,80,87,100,present-structural-review,
