authority_sha256,target_document_sha256,paper,source_chars,target_chars,char_ratio,source_displays,target_displays,source_display_rows,target_display_rows,source_inline_math_openers,target_inline_math_openers,source_math_tokens,target_math_tokens,math_token_ratio,source_commands,target_commands,status,note
EE8955BCF7A263917BE57DBC8F682601550CDCB5260D02CA6D486C6A6DFD4F21,6C86D2BE2AB697A11DB859BED8E147E124E04DBB7678B78097D2FEB8080D656B,20,20862,21938,1.0516,12,29,9,6,474,472,1549,2674,1.7263,539,574,present-structural-review,
EE8955BCF7A263917BE57DBC8F682601550CDCB5260D02CA6D486C6A6DFD4F21,6C86D2BE2AB697A11DB859BED8E147E124E04DBB7678B78097D2FEB8080D656B,21,9885,12424,1.2569,5,12,6,5,98,96,432,958,2.2176,271,446,present-structural-review,
EE8955BCF7A263917BE57DBC8F682601550CDCB5260D02CA6D486C6A6DFD4F21,6C86D2BE2AB697A11DB859BED8E147E124E04DBB7678B78097D2FEB8080D656B,22,79209,93207,1.1767,105,105,20,16,2271,2274,12695,12648,0.9963,2630,3413,present-structural-review,
EE8955BCF7A263917BE57DBC8F682601550CDCB5260D02CA6D486C6A6DFD4F21,6C86D2BE2AB697A11DB859BED8E147E124E04DBB7678B78097D2FEB8080D656B,23,22301,22822,1.0234,5,14,1,16,240,180,913,1669,1.8280,352,405,present-structural-review,
EE8955BCF7A263917BE57DBC8F682601550CDCB5260D02CA6D486C6A6DFD4F21,6C86D2BE2AB697A11DB859BED8E147E124E04DBB7678B78097D2FEB8080D656B,24,96694,105362,1.0896,45,54,8,3,2546,2530,9508,9540,1.0034,1774,1969,present-structural-review,
EE8955BCF7A263917BE57DBC8F682601550CDCB5260D02CA6D486C6A6DFD4F21,6C86D2BE2AB697A11DB859BED8E147E124E04DBB7678B78097D2FEB8080D656B,25,13055,13443,1.0297,3,3,1,0,304,306,810,740,0.9136,153,150,present-structural-review,
EE8955BCF7A263917BE57DBC8F682601550CDCB5260D02CA6D486C6A6DFD4F21,6C86D2BE2AB697A11DB859BED8E147E124E04DBB7678B78097D2FEB8080D656B,26,1020,1122,1.1000,0,0,0,0,0,0,0,0,1.0000,4,5,present-structural-review,
EE8955BCF7A263917BE57DBC8F682601550CDCB5260D02CA6D486C6A6DFD4F21,6C86D2BE2AB697A11DB859BED8E147E124E04DBB7678B78097D2FEB8080D656B,27,1638,1803,1.1007,0,0,0,0,12,12,30,41,1.3667,8,18,present-structural-review,
EE8955BCF7A263917BE57DBC8F682601550CDCB5260D02CA6D486C6A6DFD4F21,6C86D2BE2AB697A11DB859BED8E147E124E04DBB7678B78097D2FEB8080D656B,28,1402,1474,1.0514,0,0,0,0,0,0,0,0,1.0000,5,4,present-structural-review,
EE8955BCF7A263917BE57DBC8F682601550CDCB5260D02CA6D486C6A6DFD4F21,6C86D2BE2AB697A11DB859BED8E147E124E04DBB7678B78097D2FEB8080D656B,29,20957,21305,1.0166,5,7,2,1,610,608,1888,1901,1.0069,342,342,present-structural-review,
EE8955BCF7A263917BE57DBC8F682601550CDCB5260D02CA6D486C6A6DFD4F21,6C86D2BE2AB697A11DB859BED8E147E124E04DBB7678B78097D2FEB8080D656B,30,106640,102056,0.9570,79,78,9,1,2870,2422,7685,6379,0.8301,3438,2881,present-structural-review,
EE8955BCF7A263917BE57DBC8F682601550CDCB5260D02CA6D486C6A6DFD4F21,6C86D2BE2AB697A11DB859BED8E147E124E04DBB7678B78097D2FEB8080D656B,31,80004,78442,0.9805,33,36,18,16,2322,2336,5961,5509,0.9242,1992,1895,present-structural-review,
EE8955BCF7A263917BE57DBC8F682601550CDCB5260D02CA6D486C6A6DFD4F21,6C86D2BE2AB697A11DB859BED8E147E124E04DBB7678B78097D2FEB8080D656B,32,22264,22125,0.9938,19,19,19,10,506,506,1491,1516,1.0168,305,259,present-structural-review,
EE8955BCF7A263917BE57DBC8F682601550CDCB5260D02CA6D486C6A6DFD4F21,6C86D2BE2AB697A11DB859BED8E147E124E04DBB7678B78097D2FEB8080D656B,33,9327,8543,0.9159,2,2,8,5,52,28,192,141,0.7344,136,87,present-structural-review,
EE8955BCF7A263917BE57DBC8F682601550CDCB5260D02CA6D486C6A6DFD4F21,6C86D2BE2AB697A11DB859BED8E147E124E04DBB7678B78097D2FEB8080D656B,34,122335,116712,0.9540,235,246,89,43,2991,2633,13266,11961,0.9016,3936,3610,present-structural-review,
EE8955BCF7A263917BE57DBC8F682601550CDCB5260D02CA6D486C6A6DFD4F21,6C86D2BE2AB697A11DB859BED8E147E124E04DBB7678B78097D2FEB8080D656B,35,32701,31764,0.9713,6,6,3,0,944,938,3173,2918,0.9196,696,561,present-structural-review,
EE8955BCF7A263917BE57DBC8F682601550CDCB5260D02CA6D486C6A6DFD4F21,6C86D2BE2AB697A11DB859BED8E147E124E04DBB7678B78097D2FEB8080D656B,36,629,639,1.0159,0,0,0,0,0,0,0,0,1.0000,8,8,present-structural-review,
EE8955BCF7A263917BE57DBC8F682601550CDCB5260D02CA6D486C6A6DFD4F21,6C86D2BE2AB697A11DB859BED8E147E124E04DBB7678B78097D2FEB8080D656B,37,21537,23839,1.1069,15,15,4,4,275,276,1808,2656,1.4690,462,461,present-structural-review,
EE8955BCF7A263917BE57DBC8F682601550CDCB5260D02CA6D486C6A6DFD4F21,6C86D2BE2AB697A11DB859BED8E147E124E04DBB7678B78097D2FEB8080D656B,38,26344,26707,1.0138,19,19,2,2,333,330,1626,1636,1.0062,459,451,present-structural-review,
EE8955BCF7A263917BE57DBC8F682601550CDCB5260D02CA6D486C6A6DFD4F21,6C86D2BE2AB697A11DB859BED8E147E124E04DBB7678B78097D2FEB8080D656B,39,18348,18869,1.0284,3,8,7,7,120,120,577,884,1.5321,154,163,present-structural-review,
EE8955BCF7A263917BE57DBC8F682601550CDCB5260D02CA6D486C6A6DFD4F21,6C86D2BE2AB697A11DB859BED8E147E124E04DBB7678B78097D2FEB8080D656B,40,81688,82759,1.0131,43,89,19,7,1265,1186,4927,4673,0.9484,1394,1179,present-structural-review,
EE8955BCF7A263917BE57DBC8F682601550CDCB5260D02CA6D486C6A6DFD4F21,6C86D2BE2AB697A11DB859BED8E147E124E04DBB7678B78097D2FEB8080D656B,41,26717,20601,0.7711,7,35,2,0,306,194,2057,1748,0.8498,319,197,present-structural-review,
EE8955BCF7A263917BE57DBC8F682601550CDCB5260D02CA6D486C6A6DFD4F21,6C86D2BE2AB697A11DB859BED8E147E124E04DBB7678B78097D2FEB8080D656B,42,23653,19247,0.8137,17,30,4,3,686,236,1791,1561,0.8716,580,406,present-structural-review,
EE8955BCF7A263917BE57DBC8F682601550CDCB5260D02CA6D486C6A6DFD4F21,6C86D2BE2AB697A11DB859BED8E147E124E04DBB7678B78097D2FEB8080D656B,43,88370,91959,1.0406,108,108,8,8,2891,2217,10162,10169,1.0007,2455,2458,present-structural-review,
