concept_id,unit_id,item,unit_type,fr_count,en_count,source_pages,evidence,scope
coherent-sheaf,fga.212,212,expose,1,1,99--118,"équivalente à la catégorie opposée de la catégorie des faisceaux cohérents d'algèbres commutatives sur S , ou encore, si S est affine d'anneau A , à la catégorie opposée",aggregate
coherent-sheaf,fga.212.proposition.1-1,212,proposition,1,1,102--103,"équivalente à la catégorie opposée de la catégorie des faisceaux cohérents d'algèbres commutatives sur S , ou encore, si S est affine d'anneau A , à la catégorie opposée",precise
coherent-sheaf,fga.221,221,expose,37,23,249--276,"n déduit donc un K -préschéma X_K=X _k K . Si F est un faisceau cohérent sur X_K , et si K' est une extension de K , alors F _K K'= F_ K' est un faisceau quasi-cohéren",aggregate
coherent-sheaf,fga.221.s1,221,section,27,22,249--253,"n déduit donc un K -préschéma X_K=X _k K . Si F est un faisceau cohérent sur X_K , et si K' est une extension de K , alors F _K K'= F_ K' est un faisceau quasi-cohéren",aggregate
coherent-sheaf,fga.221.s1.definition.1-1,221,definition,5,3,251--252,"DÉFINITION 1.1 Soit E un ensemble de classes de faisceaux cohérents sur les fibres de X/S . On dit que E est limité, s'il existe un préschéma S' de type fini sur ",precise
coherent-sheaf,fga.221.s1.proposition.1-2,221,proposition,4,4,252--253,"on peut supposer E et E' définis respectivement par un faisceau cohérent G et G' sur un X_T/T , T de type fini sur S . De plus, on peut supposer satisfaites certaines ",precise
coherent-sheaf,fga.221.s1.proposition.1-3,221,proposition,1,0,253--253," faisceaux structuraux des (supp F)_ réd , où F est un faisceau cohérent sur un X_K , avec K algébriquement clos, dont la classe est dans E , forment une famille limit",precise
coherent-sheaf,fga.221.s2,221,section,8,0,253--258," (1) correspondant, qui sera encore très ample. À tout faisceau cohérent F sur X_K , on associe la fonction \[ P_ F (n)=caractéristique d'Euler–Poincaré de F(n) sur X_",aggregate
coherent-sheaf,fga.221.s2.theorem.2-1,221,theorem,2,0,254--254,satisfasse les conditions suivantes : (a) Il existe un faisceau cohérent L sur X (qu'on peut supposer de la forme O_X(-n)^N ) tel que E soit contenu dans la famille de,precise
coherent-sheaf,fga.221.s2.lemma.2-5,221,lemma,2,0,255--257,"LEMME 2.5 Soient L un faisceau cohérent sur X , E un ensemble de classes de faisceaux quotient F de faisceaux L_K ( K extension résidu",precise
coherent-sheaf,fga.221.s3,221,section,1,1,258--266, encore de la classe de F dans l'anneau des classes de faisceaux cohérents sur X . REMARQUES 3.9 On notera aussi que la construction des Quot_ F/X/S et Quot^P_ F/X/S a é,aggregate
coherent-sheaf,fga.221.s3.proposition.3-8,221,proposition,1,1,265--266, encore de la classe de F dans l'anneau des classes de faisceaux cohérents sur X .,precise
coherent-sheaf,fga.221.s5,221,section,1,0,268--273,"du Module F_0= F_K sur le K -préschéma X_K . Soit A le faisceau cohérent sur X_K défini par \[ A=Hom_ O_ X_0 ( K_0, G_0). \] Alors l'espace tangent de Zariski de la fi",aggregate
coherent-sheaf,fga.221.s5.corollary.5-3,221,corollary,1,0,269--271,"du Module F_0= F_K sur le K -préschéma X_K . Soit A le faisceau cohérent sur X_K défini par \[ A=Hom_ O_ X_0 ( K_0, G_0). \] Alors l'espace tangent de Zariski de la fi",precise
ext-functor,fga.149,149,expose,19,18,169--193,"ologique de Cartan–Eilenberg, sous la forme [2]. 1 Les Ext de faisceaux de modules ( [2] , chap. 3 et 4) Soit X un espace topologique muni d'un faisceau ",aggregate
ext-functor,fga.149.s1,149,section,3,3,169--171,"1 Les Ext de faisceaux de modules ( [2] , chap. 3 et 4) Soit X un espace topologique muni d'un faisceau ",aggregate
ext-functor,fga.149.s1.proposition.3,149,proposition,1,1,171--171,")) dans ce dernier. Pour finir, indiquons que les deux foncteurs Ext introduits dans (1.2) sont non seulement des foncteurs cohomologiques en B , mais des bifoncte",precise
ext-functor,fga.149.s2,149,section,10,10,171--173,2 Loi de composition dans les Ext Les résultats de ce numéro sont dus indépendamment à CARTIER et à YONEDA ; voir un exposé de C,aggregate
ext-functor,fga.149.s3,149,section,2,2,173--177," \] d'où, en composant avec les homomorphismes sur les Ext et les Tor déduits de l'homomorphisme d'augmentation H_0(K_ x ) A/J , des homomorphismes equat",aggregate
ext-functor,fga.149.s3.proposition.5,149,proposition,1,1,176--177,"sant l'hypothèse de récurrence, et la suite exacte des Ext , au cas où J est engendré par un « système de paramètres » comme dans la proposition 4 et où ",precise
ext-functor,fga.149.s5,149,section,2,1,181--185," _X^ n ) L' equation déduit de l'homomorphisme sur les Ext^ n associé à _X k_x : equation 5.5 Ext_ _X ^ n (X;k_x, _X^ n ) Ext_ _X ^ n (X; _X, _X^ n ) =H^",aggregate
ext-functor,fga.149.s5.corollary.u.n01,149,corollary,1,1,182--183," _X^ n ) L' equation déduit de l'homomorphisme sur les Ext^ n associé à _X k_x : equation 5.5 Ext_ _X ^ n (X;k_x, _X^ n ) Ext_ _X ^ n (X; _X, _X^ n ) =H^",precise
ext-functor,fga.149.s5.corollary.u.n02,149,corollary,1,0,183--184,"hérents sur P est coeffaçable, et il en est de même du foncteur Ext_ _X ^ i (X;F,B) sur la catégorie des faisceaux algébriques cohérents sur X . 184",precise
ext-functor,fga.149.s6,149,section,1,1,185--187,"alors les accouplements définis par la composition des Ext : equation 6.4 H^ p (X,F) Ext_ _X ^ n-p (X;F, _X^ n ) H^ n (X, _X^ n ), equation et composons-",aggregate
ext-functor,fga.195,195,expose,2,2,369--390,"ur k , F(I_A, ) s'identifie à un sous- A -module de \[ Ext^1_ O_ P_A (P_A; I_ X_A , O_ X_A ), \] où on pose P_A=X_A _ X_A , où O_ X_A est regardé comme u",aggregate
ext-functor,fga.195.sc,195,section,2,2,378--390,"ur k , F(I_A, ) s'identifie à un sous- A -module de \[ Ext^1_ O_ P_A (P_A; I_ X_A , O_ X_A ), \] où on pose P_A=X_A _ X_A , où O_ X_A est regardé comme u",aggregate
ext-functor,fga.195.sc.remark.u.n04,195,remark,2,2,386--389,"ur k , F(I_A, ) s'identifie à un sous- A -module de \[ Ext^1_ O_ P_A (P_A; I_ X_A , O_ X_A ), \] où on pose P_A=X_A _ X_A , où O_ X_A est regardé comme u",precise
ext-functor,fga.221,221,expose,3,3,249--276,"pérations locales telles que Tor_i(E,E') , Hom(E,E') , Ext^i(E,E') . On peut cependant montrer que ces opérations transforment encore ensembles limités e",aggregate
ext-functor,fga.221.s1,221,section,3,3,249--253,"pérations locales telles que Tor_i(E,E') , Hom(E,E') , Ext^i(E,E') . On peut cependant montrer que ces opérations transforment encore ensembles limités e",aggregate
ext-functor,fga.221.s1.definition.1-1,221,definition,2,2,251--252,"pérations locales telles que Tor_i(E,E') , Hom(E,E') , Ext^i(E,E') . On peut cependant montrer que ces opérations transforment encore ensembles limités e",precise
ext-functor,fga.221.s1.proposition.1-2,221,proposition,1,1,252--253," la formation du faisceau f_ T* (Hom_ X_T ( G, G')) et Ext^ 1 _ f_T ( G, G') commute au changement de base pour un morphisme quelconque T' T . De plus, o",precise
local-cohomology,fga.149,149,expose,1,1,169--193,"t, compte tenu de l'isomorphisme (1.5). 3 Résultats de cohomologie locale Soit A un anneau commutatif avec unité muni d'un idéal J . Nous allons définir, pour un A -mod",aggregate
local-cohomology,fga.149.s3,149,section,1,1,173--177,"3 Résultats de cohomologie locale Soit A un anneau commutatif avec unité muni d'un idéal J . Nous allons définir, pour un A -mod",aggregate
duality,fga.149,149,expose,18,17,169--193,Exposé 149 — Théorèmes de dualité pour les faisceaux algébriques cohérents 149 169 (Mai 1957) THÉORÈMES DE DUALITÉ POUR LES FAIS,aggregate
duality,fga.149.s3,149,section,1,1,173--177,"ion intrinsèque des E^ i (F) à l'aide d'un théorème de dualité locale qui ne peut être donné ici. COROLLAIRE Désignons par _Y^ q le faisceau _ _X ^ p ( _Y, _",aggregate
duality,fga.149.s3.proposition.5,149,proposition,1,1,176--177,ion intrinsèque des E^ i (F) à l'aide d'un théorème de dualité locale qui ne peut être donné ici.,precise
duality,fga.149.s5,149,section,4,4,181--185,"5 Le théorème de dualité Dans ce numéro, X désigne une variété projective non singulière de dimension n . THÉORÈME 2 La",aggregate
duality,fga.149.s5.lemma.5,149,lemma,3,3,184--185," isomorphisme pour tout p . Cela prouve le théorème de dualité pour l'espace projectif. Supposons maintenant X quelconque, mais non singulier. D'après le thé",precise
duality,fga.149.s6,149,section,3,3,185--187,6 Le théorème de dualité pour les variétés singulières Soit X une partie fermée de dimension n de l'espace projectif P ,aggregate
duality,fga.149.s6.proposition.6,149,proposition,1,1,186--187,"F, _P^ r ). equation En effet, en vertu du théorème de dualité sur P , le premier membre de (6.6) est isomorphe à Ext_ _P ^ r-i (P;F(-m), _P^ r ) , donc (6.6",precise
duality,fga.149.s6.corollary.u.n01,149,corollary,1,1,187--187,"signifie en vertu du théorème 3 bis que le théorème de dualité est vrai pour X , i.e. que (6.5) est un isomorphisme pour tout p et tout F . On peut donner de",precise
duality,fga.149.s7,149,section,3,3,187--189,7 La dualité de Poincaré Soit X une variété projective non singulière de dimension n . Alors \[ H^ * (X)=H^,aggregate
duality,fga.149.s7.theorem.4,149,theorem,1,1,188--189," obtient ainsi un équivalent exact du formalisme de la dualité de Poincaré sur les variétés orientées compactes. En particulier, le théorème 4 permet de déte",precise
duality,fga.149.s8,149,section,3,2,189--192,8 Généralisation du théorème de dualité Soit X une variété algébrique non singulière telle que tout faisceau algébrique cohérent F sur,aggregate
duality,fga.149.s8.theorem.6,149,theorem,2,1,191--192,"non singulière, alors les accouplements (8.6) sont des dualités. Cela résulte de façon purement formelle du corollaire au théorème 3. Il résulte en effet fac",precise
duality,fga.149.add,149,supplement,1,1,193--193,"ement résolues, grâce à une extension des théorèmes de dualité à des variétés quelconques (à singularités arbitraires). Pour cette théorie, qui peut se formu",aggregate
duality,fga.e149,e149,erratum,2,2,298--298,"rratum à l'exposé no 149 footnote 0 298 1. Théorème de dualité pour les faisceaux algébriques cohérents. center [Séminaire Bourbaki, t. 9, 1956/57, no 149, 2",aggregate
duality,fga.232,232,expose,1,1,143--161,"as de Picard en général. En particulier, la théorie de dualité pour les schémas abéliens, et notamment les résultats du type Cartier, deviennent à peu près f",aggregate
duality,fga.232.s5,232,section,1,1,154--157,"as de Picard en général. En particulier, la théorie de dualité pour les schémas abéliens, et notamment les résultats du type Cartier, deviennent à peu près f",aggregate
duality,fga.232.s5.remark.5-3,232,remark,1,1,156--157,"as de Picard en général. En particulier, la théorie de dualité pour les schémas abéliens, et notamment les résultats du type Cartier, deviennent à peu près f",precise
fundamental-class,fga.149,149,expose,3,3,169--193,"légié, correspondant à l'élément unité de A/J , appelé classe fondamentale de l'idéal J dans A . (Elle peut en fait se définir sous des conditions sensiblement plus larg",aggregate
fundamental-class,fga.149.s3,149,section,1,1,173--177,"légié, correspondant à l'élément unité de A/J , appelé classe fondamentale de l'idéal J dans A . (Elle peut en fait se définir sous des conditions sensiblement plus larg",aggregate
fundamental-class,fga.149.s3.corollary.1,149,corollary,1,1,175--175,"légié, correspondant à l'élément unité de A/J , appelé classe fondamentale de l'idéal J dans A . (Elle peut en fait se définir sous des conditions sensiblement plus larg",precise
fundamental-class,fga.149.s4,149,section,1,1,177--181,"d pas du point x choisi, on le note _X et on l'appelle classe fondamentale de H^ n (X, _X^ n ) . REMARQUE Pour avoir une théorie satisfaisante, il faudrait définir P_X(Z",aggregate
fundamental-class,fga.149.s4.corollary.1,149,corollary,1,1,181--181,"d pas du point x choisi, on le note _X et on l'appelle classe fondamentale de H^ n (X, _X^ n ) .",precise
fundamental-class,fga.149.s5,149,section,1,1,181--185,"ojective non singulière de dimension n . THÉORÈME 2 La classe fondamentale _X de H^ n (X, _X^ n ) est une base de cet espace vectoriel. (La démonstration sera donnée plu",aggregate
fundamental-class,fga.149.s5.theorem.2,149,theorem,1,1,181--182,"THÉORÈME 2 La classe fondamentale _X de H^ n (X, _X^ n ) est une base de cet espace vectoriel. (La démonstration sera donnée plu",precise
poincare-duality,fga.149,149,expose,2,2,169--193,"plète » dans une variété ambiante non singulière. 7 La dualité de Poincaré Soit X une variété projective non singulière de dimension n . Alors \[ H^ * (X)=H^ * (X, _X^ *",aggregate
poincare-duality,fga.149.s7,149,section,2,2,187--189,"7 La dualité de Poincaré Soit X une variété projective non singulière de dimension n . Alors \[ H^ * (X)=H^ * (X, _X^ *",aggregate
poincare-duality,fga.149.s7.theorem.4,149,theorem,1,1,188--189," obtient ainsi un équivalent exact du formalisme de la dualité de Poincaré sur les variétés orientées compactes. En particulier, le théorème 4 permet de déterminer la cl",precise
formal-geometry,fga.182,182,expose,2,2,193--220,Exposé 182 — Géométrie formelle et géométrie algébrique 182 193 (Mai 1959) GÉOMÉTRIE FORMELLE ET GÉOMÉTRIE ALGÉBRIQUE par Alex,aggregate
formal-geometry,fga.e182,e182,erratum,1,1,298--299,"oc chapter Erratum à l'exposé no 182 footnote 0 298 2. Géométrie formelle et géométrie algébrique. center [Séminaire Bourbaki, t. 11, 1958/59, no 182, 28 p.] center 8, ",aggregate
formal-geometry,fga.190,190,expose,3,2,299--327,"inte le cas échéant aux théorèmes fondamentaux de la « géométrie formelle », cf. [3]) est à la base de la plupart des théorèmes d'existence en géométrie algébrique. L'e",aggregate
formal-geometry,fga.195,195,expose,2,2,369--390,"enir encore une solution (du moins, pour l'instant, en géométrie formelle). La règle d'or à retenir, dans le contexte du présent 385 numéro et des suivants, et chaque f",aggregate
formal-geometry,fga.195.sc,195,section,1,1,378--390,"enir encore une solution (du moins, pour l'instant, en géométrie formelle). La règle d'or à retenir, dans le contexte du présent 385 numéro et des suivants, et chaque f",aggregate
formal-geometry,fga.195.sc.remark.u.n03,195,remark,1,1,384--386,"enir encore une solution (du moins, pour l'instant, en géométrie formelle). La règle d'or à retenir, dans le contexte du présent 385 numéro et des suivants, et chaque f",precise
formal-geometry,fga.221,221,expose,1,1,249--276,"trie analytique, pas plus qu'elles ne se présentent en Géométrie formelle (cf. [2], II).) Par contre, si X est un schéma propre sur le spectre S d'un corps k , et si Z ",aggregate
formal-geometry,fga.221.s7,221,section,1,1,275--276,"trie analytique, pas plus qu'elles ne se présentent en Géométrie formelle (cf. [2], II).) Par contre, si X est un schéma propre sur le spectre S d'un corps k , et si Z ",aggregate
formal-geometry,fga.232,232,expose,2,1,143--161,"à éléments nilpotents et les théorèmes fondamentaux de géométrie formelle [3], permettent de vérifier, dans le cas d'égales caractéristiques, une conjecture de Mumford,",aggregate
formal-geometry,fga.232.s6,232,section,1,1,157--161,"à éléments nilpotents et les théorèmes fondamentaux de géométrie formelle [3], permettent de vérifier, dans le cas d'égales caractéristiques, une conjecture de Mumford,",aggregate
formal-geometry,fga.232.s6.remark.6-8,232,remark,1,1,160--161,"à éléments nilpotents et les théorèmes fondamentaux de géométrie formelle [3], permettent de vérifier, dans le cas d'égales caractéristiques, une conjecture de Mumford,",precise
formal-scheme,fga.182,182,expose,25,19,193--220,"orphes à un conoyau d'un homomorphisme _X^ m _X^ n . 2 Schémas formels Soient X un schéma, et X' une partie fermée de X . Alors il existe un sous-faisceau cohérent J",aggregate
formal-scheme,fga.182.s2,182,section,6,6,195--196,"2 Schémas formels Soient X un schéma, et X' une partie fermée de X . Alors il existe un sous-faisceau cohérent J",aggregate
formal-scheme,fga.182.s3,182,section,9,8,196--199," correspondants. Alors f induit un morphisme f: X Y de schémas formels, qui est d'ailleurs propre. Soit F un faisceau cohérent sur X , alors F est un faisceau cohére",aggregate
formal-scheme,fga.182.s3.theorem.1,182,theorem,1,1,196--197,si on partait d'un morphisme propre quelconque de deux schémas formels. Le théorème 1 ne concernait que la « cohomologie formelle ». Le théorème suivant 197 la met e,precise
formal-scheme,fga.182.s3.corollary.1.n02,182,corollary,1,0,198--198,"émas fermés de X correspondent biunivoquement aux sous-schémas formels fermés de X . En effet, ils correspondent aux sous-faisceaux cohérents de _X , resp. de _X . R",precise
formal-scheme,fga.182.s3.corollary.2.n02,182,corollary,4,4,198--198,morphismes les morphismes induits) de la catégorie des schémas formels propres sur Y . On fera attention cependant qu'il existe des schémas formels propres sur Y qui,precise
formal-scheme,fga.182.s3.theorem.4,182,theorem,1,1,198--199,"érien local complet de corps résiduel k , et soit X un schéma formel propre sur A (muni de sa topologie m(A) -adique). On suppose : enumerate [i.] que les anneaux ",precise
formal-scheme,fga.182.s6,182,section,3,3,203--207," trois théorèmes fondamentaux. PROPOSITION 3 Soit X un schéma formel propre et plat au-dessus de A , soit F_0 un faisceau localement libre sur X_0 tel que \[ H^2 (",aggregate
formal-scheme,fga.182.s6.proposition.3,182,proposition,1,1,203--203,"PROPOSITION 3 Soit X un schéma formel propre et plat au-dessus de A , soit F_0 un faisceau localement libre sur X_0 tel que \[ H^2 (",precise
formal-scheme,fga.182.s6.corollary.3,182,corollary,1,1,205--205,"orps résiduel k , pourvu qu'on y introduise X comme un schéma formel sur A :",precise
formal-scheme,fga.182.s6.theorem.9,182,theorem,1,1,205--206,"un isomorphisme près induisant l'identité sur X_0 ) de schémas formels X sur A , de type fini et plats sur A , tels que X _A k=X_0 . Avec ces notations : enumerate [",precise
