candidate_id,concept_id,candidate_topic,relation,confidence,evidence_units,evidence_pages,official_tag,tag_status,justification
pre.frobenius-radicial,frobenius-radicial,Frobenius and radicial morphisms,historical_precursor_or_overlap,high,fga.182;fga.182.s8;fga.182.s8.lemma.2;fga.182.s8.lemma.5;fga.190;fga.190.sa;fga.190.sa.remark.u.n01;fga.190.sb;fga.190.sb.lemma.1-2;fga.190.sb.theorem.3;fga.190.sb.remark.u.n01;fga.212;fga.212.proposition.2-1;fga.221;fga.221.s5;fga.221.s5.proposition.5-7,99;103;193;209;211;212;249;268;272;299;300;303;307;314;317;318,,UNASSIGNED,Internal migration topic only; no official Stacks tag asserted or invented.
pre.normality,normality,Normality,historical_precursor_or_overlap,high,fga.149;fga.149.s6;fga.149.s6.corollary.u.n01;fga.182;fga.182.s8;fga.182.s8.remark.u.n01;fga.182.s8.corollary.1;fga.182.s8.corollary.4;fga.182.s8.corollary.4.n02;fga.190;fga.190.sa;fga.190.sa.remark.u.n01;fga.195;fga.195.sc;fga.195.sc.proposition.5-1;fga.212,99;114;115;143;157;158;159;160;169;185;187;193;209;213;214;215;217;221;222;223;228;231;232;233,,UNASSIGNED,Internal migration topic only; no official Stacks tag asserted or invented.
pre.serre-s2,serre-s2,Serre condition S2,historical_precursor_or_overlap,medium,fga.e236,303,,UNASSIGNED,Internal migration topic only; no official Stacks tag asserted or invented.
pre.boundedness,boundedness,Boundedness,historical_precursor_or_overlap,high,fga.190;fga.221;fga.221.s1;fga.221.s1.definition.1-1;fga.221.s1.proposition.1-2;fga.221.s1.proposition.1-3;fga.221.s2;fga.221.s2.theorem.2-1;fga.221.s2.theorem.2-2;fga.221.s2.lemma.2-5;fga.221.s2.lemma.2-6;fga.236;fga.236.s4;fga.236.s4.theorem.4-1;fga.e236,221;241;242;249;251;252;253;254;255;257;299;303,,UNASSIGNED,Internal migration topic only; no official Stacks tag asserted or invented.
pre.numerical-equivalence,numerical-equivalence,Numerical equivalence,historical_precursor_or_overlap,medium,fga.236;fga.236.s1;fga.236.s1.remark.u.n01;fga.236.s4;fga.e236,221;222;223;241;303,,UNASSIGNED,Internal migration topic only; no official Stacks tag asserted or invented.
pre.algebraic-equivalence,algebraic-equivalence,Algebraic equivalence,historical_precursor_or_overlap,medium,fga.236;fga.236.s1;fga.236.s1.remark.u.n01,221;222;223,,UNASSIGNED,Internal migration topic only; no official Stacks tag asserted or invented.
pre.torsion-equivalence,torsion-equivalence,Torsion equivalence,historical_precursor_or_overlap,medium,fga.236;fga.236.s4,221;241,,UNASSIGNED,Internal migration topic only; no official Stacks tag asserted or invented.
pre.euler-characteristic,euler-characteristic,Euler–Poincaré characteristic,historical_precursor_or_overlap,medium,fga.221;fga.221.s2;fga.e236,249;253;303,,UNASSIGNED,Internal migration topic only; no official Stacks tag asserted or invented.
pre.base-change,base-change,Base change,historical_precursor_or_overlap,high,fga.182;fga.182.s1;fga.182.s7;fga.190;fga.190.sa;fga.212;fga.212.s8;fga.221;fga.221.s1;fga.221.s1.definition.1-1;fga.221.s1.proposition.1-2;fga.221.s3;fga.221.s3.theorem.3-2;fga.221.s3.lemma.3-3;fga.221.s3.remark.3-9;fga.221.s4,99;116;143;146;148;150;152;153;154;155;193;207;221;222;224;226;228;236;237;240;249;251;252;258,,UNASSIGNED,Internal migration topic only; no official Stacks tag asserted or invented.
pre.formal-functions,formal-functions,Formal functions,historical_precursor_or_overlap,low,,,,UNASSIGNED,Internal migration topic only; no official Stacks tag asserted or invented.
pre.cohomology,cohomology,Cohomology,historical_precursor_or_overlap,high,fga.149;fga.149.s1;fga.149.s1.proposition.3;fga.149.s2;fga.149.s3;fga.149.s4;fga.149.s4.lemma.1;fga.149.s4.theorem.1;fga.149.s7;fga.149.s7.theorem.4;fga.149.s8;fga.149.s8.theorem.6;fga.149.add;fga.e149;fga.182;fga.182.s3,169;171;173;177;179;187;188;189;191;193;196;200;202;249;258;261;298;299;300;307;312;314;316,,UNASSIGNED,Internal migration topic only; no official Stacks tag asserted or invented.
