id,kind,source_id,reference_id,candidate_ids,reason,evidence,action,status
res.ref.fr.000319,reference_resolution,fga.182.s3.corollary.1.n02,ref.fr.000319,fga.182.s3.corollary.1;fga.182.s3.corollary.1.n02;fga.182.s4.corollary.1;fga.182.s6.corollary.1;fga.182.s6.corollary.1.n02;fga.182.s6.corollary.1.n03;fga.182.s8.corollary.1;fga.182.s8.corollary.1.n02;fga.182.s8.corollary.1.n03,More than one target fits the printed label.,fr/182.tex:263 corollaire 1,Human mathematical resolution; do not guess.,AMBIGUOUS
res.ref.fr.000324,reference_resolution,fga.182.s4,ref.fr.000324,fga.182.s3.corollary.1;fga.182.s3.corollary.1.n02;fga.182.s4.corollary.1;fga.182.s6.corollary.1;fga.182.s6.corollary.1.n02;fga.182.s6.corollary.1.n03;fga.182.s8.corollary.1;fga.182.s8.corollary.1.n02;fga.182.s8.corollary.1.n03,More than one target fits the printed label.,fr/182.tex:337 corollaire 1,Human mathematical resolution; do not guess.,AMBIGUOUS
res.ref.fr.000325,reference_resolution,fga.182.s4.corollary.2,ref.fr.000325,fga.182.s3.corollary.1;fga.182.s3.corollary.1.n02;fga.182.s4.corollary.1;fga.182.s6.corollary.1;fga.182.s6.corollary.1.n02;fga.182.s6.corollary.1.n03;fga.182.s8.corollary.1;fga.182.s8.corollary.1.n02;fga.182.s8.corollary.1.n03,More than one target fits the printed label.,fr/182.tex:378 corollaire 1,Human mathematical resolution; do not guess.,AMBIGUOUS
res.ref.fr.000330,reference_resolution,fga.182.s5.proposition.2,ref.fr.000330,fga.182.s3.corollary.3;fga.182.s5.corollary.3;fga.182.s6.corollary.3;fga.182.s6.corollary.3.n02;fga.182.s8.corollary.3;fga.182.s8.corollary.3.n02,More than one target fits the printed label.,fr/182.tex:485 corollaire 3,Human mathematical resolution; do not guess.,AMBIGUOUS
res.ref.fr.000338,reference_resolution,fga.182.s6.corollary.1.n03,ref.fr.000338,fga.182.s3.corollary.2;fga.182.s3.corollary.2.n02;fga.182.s4.corollary.2;fga.182.s5.corollary.2;fga.182.s6.corollary.2;fga.182.s6.corollary.2.n02;fga.182.s8.corollary.2;fga.182.s8.corollary.2.n02,More than one target fits the printed label.,fr/182.tex:692 corollaire 2,Human mathematical resolution; do not guess.,AMBIGUOUS
res.ref.fr.000340,reference_resolution,fga.182.s6.corollary.2.n02,ref.fr.000340,fga.182.s3.corollary.1;fga.182.s3.corollary.1.n02;fga.182.s4.corollary.1;fga.182.s6.corollary.1;fga.182.s6.corollary.1.n02;fga.182.s6.corollary.1.n03;fga.182.s8.corollary.1;fga.182.s8.corollary.1.n02;fga.182.s8.corollary.1.n03,More than one target fits the printed label.,fr/182.tex:698 corollaire 1,Human mathematical resolution; do not guess.,AMBIGUOUS
res.ref.fr.000344,reference_resolution,fga.182.s6.remark.u.n01,ref.fr.000344,fga.182.s3.corollary.1;fga.182.s3.corollary.1.n02;fga.182.s4.corollary.1;fga.182.s6.corollary.1;fga.182.s6.corollary.1.n02;fga.182.s6.corollary.1.n03;fga.182.s8.corollary.1;fga.182.s8.corollary.1.n02;fga.182.s8.corollary.1.n03,More than one target fits the printed label.,fr/182.tex:749 corollaire 1,Human mathematical resolution; do not guess.,AMBIGUOUS
res.ref.fr.000360,reference_resolution,fga.182.s8.corollary.1,ref.fr.000360,fga.182.s3.corollary.1;fga.182.s3.corollary.1.n02;fga.182.s4.corollary.1;fga.182.s6.corollary.1;fga.182.s6.corollary.1.n02;fga.182.s6.corollary.1.n03;fga.182.s8.corollary.1;fga.182.s8.corollary.1.n02;fga.182.s8.corollary.1.n03,More than one target fits the printed label.,fr/182.tex:1095 corollaire 1,Human mathematical resolution; do not guess.,AMBIGUOUS
res.ref.fr.000366,reference_resolution,fga.182.s8.corollary.3,ref.fr.000366,fga.182.s3.corollary.3;fga.182.s5.corollary.3;fga.182.s6.corollary.3;fga.182.s6.corollary.3.n02;fga.182.s8.corollary.3;fga.182.s8.corollary.3.n02,More than one target fits the printed label.,fr/182.tex:1132 corollaire 3,Human mathematical resolution; do not guess.,AMBIGUOUS
res.ref.fr.000368,reference_resolution,fga.182.s8.remark.u.n02,ref.fr.000368,fga.182.s6.corollary.4;fga.182.s8.corollary.4;fga.182.s8.corollary.4.n02,More than one target fits the printed label.,fr/182.tex:1178 corollaire 4,Human mathematical resolution; do not guess.,AMBIGUOUS
res.ref.fr.000376,reference_resolution,fga.182.s8.corollary.2.n02,ref.fr.000376,fga.182.s6.corollary.4;fga.182.s8.corollary.4;fga.182.s8.corollary.4.n02,More than one target fits the printed label.,fr/182.tex:1247 corollaire 4,Human mathematical resolution; do not guess.,AMBIGUOUS
res.ref.fr.000377,reference_resolution,fga.182.s8.corollary.5.n02,ref.fr.000377,fga.182.s8.corollary.5;fga.182.s8.corollary.5.n02,More than one target fits the printed label.,fr/182.tex:1321 corollaire 5,Human mathematical resolution; do not guess.,AMBIGUOUS
res.ref.fr.000379,reference_resolution,fga.182.s8.theorem.13,ref.fr.000379,fga.182.s3.corollary.2;fga.182.s3.corollary.2.n02;fga.182.s4.corollary.2;fga.182.s5.corollary.2;fga.182.s6.corollary.2;fga.182.s6.corollary.2.n02;fga.182.s8.corollary.2;fga.182.s8.corollary.2.n02,More than one target fits the printed label.,fr/182.tex:1335 corollaire 2,Human mathematical resolution; do not guess.,AMBIGUOUS
res.ref.fr.000383,reference_resolution,fga.182.s8.theorem.14,ref.fr.000383,fga.182.s6.corollary.4;fga.182.s8.corollary.4;fga.182.s8.corollary.4.n02,More than one target fits the printed label.,fr/182.tex:1370 corollaire 4,Human mathematical resolution; do not guess.,AMBIGUOUS
res.ref.fr.000386,reference_resolution,fga.182.s8.theorem.14,ref.fr.000386,fga.182.s3.corollary.3;fga.182.s5.corollary.3;fga.182.s6.corollary.3;fga.182.s6.corollary.3.n02;fga.182.s8.corollary.3;fga.182.s8.corollary.3.n02,More than one target fits the printed label.,fr/182.tex:1370 corollaire 3,Human mathematical resolution; do not guess.,AMBIGUOUS
res.ref.fr.000389,reference_resolution,fga.182.s8.remark.u.n03,ref.fr.000389,fga.182.s3.corollary.2;fga.182.s3.corollary.2.n02;fga.182.s4.corollary.2;fga.182.s5.corollary.2;fga.182.s6.corollary.2;fga.182.s6.corollary.2.n02;fga.182.s8.corollary.2;fga.182.s8.corollary.2.n02,More than one target fits the printed label.,fr/182.tex:1401 corollaire 2,Human mathematical resolution; do not guess.,AMBIGUOUS
res.ref.fr.000391,reference_resolution,fga.182.s8.remark.u.n03,ref.fr.000391,,No local or declared external target fits the printed reference.,fr/182.tex:1406 remarque 2,Human mathematical resolution; do not guess.,UNRESOLVED
res.ref.en.000404,reference_resolution,fga.182.s3.corollary.1,ref.en.000404,fga.182.s3.corollary.1;fga.182.s3.corollary.1.n02;fga.182.s4.corollary.1;fga.182.s6.corollary.1;fga.182.s6.corollary.1.n02;fga.182.s6.corollary.1.n03;fga.182.s8.corollary.1;fga.182.s8.corollary.1.n02;fga.182.s8.corollary.1.n03,More than one target fits the printed label.,en/182.tex:204 Corollary 1,Human mathematical resolution; do not guess.,AMBIGUOUS
res.ref.en.000406,reference_resolution,fga.182.s3.theorem.3,ref.en.000406,fga.182.s3.corollary.3;fga.182.s5.corollary.3;fga.182.s6.corollary.3;fga.182.s6.corollary.3.n02;fga.182.s8.corollary.3;fga.182.s8.corollary.3.n02,More than one target fits the printed label.,en/182.tex:248 Corollary 3,Human mathematical resolution; do not guess.,AMBIGUOUS
res.ref.en.000407,reference_resolution,fga.182.s3.corollary.1.n02,ref.en.000407,fga.182.s3.corollary.1;fga.182.s3.corollary.1.n02;fga.182.s4.corollary.1;fga.182.s6.corollary.1;fga.182.s6.corollary.1.n02;fga.182.s6.corollary.1.n03;fga.182.s8.corollary.1;fga.182.s8.corollary.1.n02;fga.182.s8.corollary.1.n03,More than one target fits the printed label.,en/182.tex:257 Corollary 1,Human mathematical resolution; do not guess.,AMBIGUOUS
res.ref.en.000412,reference_resolution,fga.182.s4,ref.en.000412,fga.182.s3.corollary.1;fga.182.s3.corollary.1.n02;fga.182.s4.corollary.1;fga.182.s6.corollary.1;fga.182.s6.corollary.1.n02;fga.182.s6.corollary.1.n03;fga.182.s8.corollary.1;fga.182.s8.corollary.1.n02;fga.182.s8.corollary.1.n03,More than one target fits the printed label.,en/182.tex:328 Corollary 1,Human mathematical resolution; do not guess.,AMBIGUOUS
res.ref.en.000413,reference_resolution,fga.182.s4.corollary.2,ref.en.000413,fga.182.s3.corollary.1;fga.182.s3.corollary.1.n02;fga.182.s4.corollary.1;fga.182.s6.corollary.1;fga.182.s6.corollary.1.n02;fga.182.s6.corollary.1.n03;fga.182.s8.corollary.1;fga.182.s8.corollary.1.n02;fga.182.s8.corollary.1.n03,More than one target fits the printed label.,en/182.tex:369 Corollary 1,Human mathematical resolution; do not guess.,AMBIGUOUS
res.ref.en.000418,reference_resolution,fga.182.s5.proposition.2,ref.en.000418,fga.182.s3.corollary.3;fga.182.s5.corollary.3;fga.182.s6.corollary.3;fga.182.s6.corollary.3.n02;fga.182.s8.corollary.3;fga.182.s8.corollary.3.n02,More than one target fits the printed label.,en/182.tex:474 Corollary 3,Human mathematical resolution; do not guess.,AMBIGUOUS
res.ref.en.000426,reference_resolution,fga.182.s6.corollary.1.n03,ref.en.000426,fga.182.s3.corollary.2;fga.182.s3.corollary.2.n02;fga.182.s4.corollary.2;fga.182.s5.corollary.2;fga.182.s6.corollary.2;fga.182.s6.corollary.2.n02;fga.182.s8.corollary.2;fga.182.s8.corollary.2.n02,More than one target fits the printed label.,en/182.tex:679 Corollary 2,Human mathematical resolution; do not guess.,AMBIGUOUS
res.ref.en.000428,reference_resolution,fga.182.s6.corollary.2.n02,ref.en.000428,fga.182.s3.corollary.1;fga.182.s3.corollary.1.n02;fga.182.s4.corollary.1;fga.182.s6.corollary.1;fga.182.s6.corollary.1.n02;fga.182.s6.corollary.1.n03;fga.182.s8.corollary.1;fga.182.s8.corollary.1.n02;fga.182.s8.corollary.1.n03,More than one target fits the printed label.,en/182.tex:686 Corollary 1,Human mathematical resolution; do not guess.,AMBIGUOUS
res.ref.en.000432,reference_resolution,fga.182.s6.remark.u.n01,ref.en.000432,fga.182.s3.corollary.1;fga.182.s3.corollary.1.n02;fga.182.s4.corollary.1;fga.182.s6.corollary.1;fga.182.s6.corollary.1.n02;fga.182.s6.corollary.1.n03;fga.182.s8.corollary.1;fga.182.s8.corollary.1.n02;fga.182.s8.corollary.1.n03,More than one target fits the printed label.,en/182.tex:735 Corollary 1,Human mathematical resolution; do not guess.,AMBIGUOUS
res.ref.en.000449,reference_resolution,fga.182.s8.corollary.1,ref.en.000449,fga.182.s3.corollary.1;fga.182.s3.corollary.1.n02;fga.182.s4.corollary.1;fga.182.s6.corollary.1;fga.182.s6.corollary.1.n02;fga.182.s6.corollary.1.n03;fga.182.s8.corollary.1;fga.182.s8.corollary.1.n02;fga.182.s8.corollary.1.n03,More than one target fits the printed label.,en/182.tex:1067 Corollary 1,Human mathematical resolution; do not guess.,AMBIGUOUS
res.ref.en.000455,reference_resolution,fga.182.s8.corollary.3,ref.en.000455,fga.182.s3.corollary.3;fga.182.s5.corollary.3;fga.182.s6.corollary.3;fga.182.s6.corollary.3.n02;fga.182.s8.corollary.3;fga.182.s8.corollary.3.n02,More than one target fits the printed label.,en/182.tex:1103 Corollary 3,Human mathematical resolution; do not guess.,AMBIGUOUS
res.ref.en.000457,reference_resolution,fga.182.s8.remark.u.n02,ref.en.000457,fga.182.s6.corollary.4;fga.182.s8.corollary.4;fga.182.s8.corollary.4.n02,More than one target fits the printed label.,en/182.tex:1150 Corollary 4,Human mathematical resolution; do not guess.,AMBIGUOUS
res.ref.en.000465,reference_resolution,fga.182.s8.corollary.2.n02,ref.en.000465,fga.182.s6.corollary.4;fga.182.s8.corollary.4;fga.182.s8.corollary.4.n02,More than one target fits the printed label.,en/182.tex:1218 Corollary 4,Human mathematical resolution; do not guess.,AMBIGUOUS
res.ref.en.000466,reference_resolution,fga.182.s8.corollary.5.n02,ref.en.000466,fga.182.s8.corollary.5;fga.182.s8.corollary.5.n02,More than one target fits the printed label.,en/182.tex:1289 Corollary 5,Human mathematical resolution; do not guess.,AMBIGUOUS
res.ref.en.000468,reference_resolution,fga.182.s8.theorem.13,ref.en.000468,fga.182.s3.corollary.2;fga.182.s3.corollary.2.n02;fga.182.s4.corollary.2;fga.182.s5.corollary.2;fga.182.s6.corollary.2;fga.182.s6.corollary.2.n02;fga.182.s8.corollary.2;fga.182.s8.corollary.2.n02,More than one target fits the printed label.,en/182.tex:1303 Corollary 2,Human mathematical resolution; do not guess.,AMBIGUOUS
res.ref.en.000472,reference_resolution,fga.182.s8.theorem.14,ref.en.000472,fga.182.s6.corollary.4;fga.182.s8.corollary.4;fga.182.s8.corollary.4.n02,More than one target fits the printed label.,en/182.tex:1336 Corollary 4,Human mathematical resolution; do not guess.,AMBIGUOUS
res.ref.en.000475,reference_resolution,fga.182.s8.theorem.14,ref.en.000475,fga.182.s3.corollary.3;fga.182.s5.corollary.3;fga.182.s6.corollary.3;fga.182.s6.corollary.3.n02;fga.182.s8.corollary.3;fga.182.s8.corollary.3.n02,More than one target fits the printed label.,en/182.tex:1337 Corollary 3,Human mathematical resolution; do not guess.,AMBIGUOUS
res.ref.en.000478,reference_resolution,fga.182.s8.remark.u.n03,ref.en.000478,fga.182.s3.corollary.2;fga.182.s3.corollary.2.n02;fga.182.s4.corollary.2;fga.182.s5.corollary.2;fga.182.s6.corollary.2;fga.182.s6.corollary.2.n02;fga.182.s8.corollary.2;fga.182.s8.corollary.2.n02,More than one target fits the printed label.,en/182.tex:1367 Corollary 2,Human mathematical resolution; do not guess.,AMBIGUOUS
res.ref.en.000480,reference_resolution,fga.182.s8.remark.u.n03,ref.en.000480,,No local or declared external target fits the printed reference.,en/182.tex:1373 Remark 2,Human mathematical resolution; do not guess.,UNRESOLVED
res.ref.fr.000484,reference_resolution,fga.e182.item.u.n02,ref.fr.000484,,No local or declared external target fits the printed reference.,fr/e182.tex:13 théorème 6,Human mathematical resolution; do not guess.,UNRESOLVED
res.ref.fr.000485,reference_resolution,fga.e182.item.u.n03,ref.fr.000485,,No local or declared external target fits the printed reference.,fr/e182.tex:19 remarque 1,Human mathematical resolution; do not guess.,UNRESOLVED
res.ref.fr.000486,reference_resolution,fga.e182,ref.fr.000486,,No local or declared external target fits the printed reference.,fr/e182.tex:32 remarque 3,Human mathematical resolution; do not guess.,UNRESOLVED
res.ref.fr.000487,reference_resolution,fga.e182,ref.fr.000487,,No local or declared external target fits the printed reference.,fr/e182.tex:37 théorème 10,Human mathematical resolution; do not guess.,UNRESOLVED
res.ref.fr.000488,reference_resolution,fga.e182.item.u.n06,ref.fr.000488,,No local or declared external target fits the printed reference.,fr/e182.tex:40 corollaire 5,Human mathematical resolution; do not guess.,UNRESOLVED
res.ref.fr.000489,reference_resolution,fga.e182,ref.fr.000489,,No local or declared external target fits the printed reference.,fr/e182.tex:47 théorème 14,Human mathematical resolution; do not guess.,UNRESOLVED
res.ref.fr.000490,reference_resolution,fga.e182,ref.fr.000490,,No local or declared external target fits the printed reference.,fr/e182.tex:48 théorème 14,Human mathematical resolution; do not guess.,UNRESOLVED
res.ref.en.000498,reference_resolution,fga.e182.item.u.n02,ref.en.000498,,No local or declared external target fits the printed reference.,en/e182.tex:13 Theorem 6,Human mathematical resolution; do not guess.,UNRESOLVED
res.ref.en.000499,reference_resolution,fga.e182.item.u.n03,ref.en.000499,,No local or declared external target fits the printed reference.,en/e182.tex:19 Remark 1,Human mathematical resolution; do not guess.,UNRESOLVED
res.ref.en.000500,reference_resolution,fga.e182,ref.en.000500,,No local or declared external target fits the printed reference.,en/e182.tex:31 Remark 3,Human mathematical resolution; do not guess.,UNRESOLVED
res.ref.en.000501,reference_resolution,fga.e182,ref.en.000501,,No local or declared external target fits the printed reference.,en/e182.tex:36 Theorem 10,Human mathematical resolution; do not guess.,UNRESOLVED
res.ref.en.000502,reference_resolution,fga.e182.item.u.n06,ref.en.000502,,No local or declared external target fits the printed reference.,en/e182.tex:40 Corollary 5,Human mathematical resolution; do not guess.,UNRESOLVED
res.ref.en.000503,reference_resolution,fga.e182,ref.en.000503,,No local or declared external target fits the printed reference.,en/e182.tex:47 Theorem 14,Human mathematical resolution; do not guess.,UNRESOLVED
res.ref.en.000504,reference_resolution,fga.e182,ref.en.000504,,No local or declared external target fits the printed reference.,en/e182.tex:48 Theorem 14,Human mathematical resolution; do not guess.,UNRESOLVED
res.ref.fr.000524,reference_resolution,fga.190,ref.fr.000524,,No local or declared external target fits the printed reference.,fr/190.tex:10 théorème 90,Human mathematical resolution; do not guess.,UNRESOLVED
res.ref.fr.000531,reference_resolution,fga.190.sa.remark.u.n01,ref.fr.000531,,No local or declared external target fits the printed reference.,fr/190.tex:484 paragraphe 2,Human mathematical resolution; do not guess.,UNRESOLVED
res.ref.fr.000532,reference_resolution,fga.190.sa.remark.u.n01,ref.fr.000532,,No local or declared external target fits the printed reference.,fr/190.tex:574 paragraphe 2,Human mathematical resolution; do not guess.,UNRESOLVED
res.ref.fr.000533,reference_resolution,fga.190.sa.remark.u.n01,ref.fr.000533,,No local or declared external target fits the printed reference.,fr/190.tex:602 lemme 6,Human mathematical resolution; do not guess.,UNRESOLVED
res.ref.fr.000534,reference_resolution,fga.190.sa.remark.u.n01,ref.fr.000534,,No local or declared external target fits the printed reference.,fr/190.tex:660 définition 2.1,Human mathematical resolution; do not guess.,UNRESOLVED
res.ref.fr.000537,reference_resolution,fga.190.sa.result.2.n02,ref.fr.000537,,No local or declared external target fits the printed reference.,fr/190.tex:784 paragraphe 2,Human mathematical resolution; do not guess.,UNRESOLVED
res.ref.fr.000538,reference_resolution,fga.190.sa.result.2.n02,ref.fr.000538,,No local or declared external target fits the printed reference.,fr/190.tex:809 paragraphe 2,Human mathematical resolution; do not guess.,UNRESOLVED
res.ref.fr.000539,reference_resolution,fga.190.sa.result.2.n02,ref.fr.000539,,No local or declared external target fits the printed reference.,fr/190.tex:846 paragraphe 2,Human mathematical resolution; do not guess.,UNRESOLVED
res.ref.fr.000540,reference_resolution,fga.190.sa.result.2.n02,ref.fr.000540,,No local or declared external target fits the printed reference.,fr/190.tex:846 théorème 90,Human mathematical resolution; do not guess.,UNRESOLVED
res.ref.fr.000542,reference_resolution,fga.190.sb.theorem.1,ref.fr.000542,,No local or declared external target fits the printed reference.,fr/190.tex:927 paragraphe 1,Human mathematical resolution; do not guess.,UNRESOLVED
res.ref.fr.000544,reference_resolution,fga.190.sb.corollary.1,ref.fr.000544,,No local or declared external target fits the printed reference.,fr/190.tex:958 définition 1,Human mathematical resolution; do not guess.,UNRESOLVED
res.ref.fr.000547,reference_resolution,fga.190.sb.corollary.2,ref.fr.000547,,No local or declared external target fits the printed reference.,fr/190.tex:968 paragraphe 4,Human mathematical resolution; do not guess.,UNRESOLVED
res.ref.fr.000549,reference_resolution,fga.190.sb.corollary.2,ref.fr.000549,,No local or declared external target fits the printed reference.,fr/190.tex:969 théorème 90,Human mathematical resolution; do not guess.,UNRESOLVED
res.ref.fr.000551,reference_resolution,fga.190.sb.lemma.1-1,ref.fr.000551,,No local or declared external target fits the printed reference.,fr/190.tex:982 paragraphe 4,Human mathematical resolution; do not guess.,UNRESOLVED
res.ref.fr.000552,reference_resolution,fga.190.sb.lemma.1-1,ref.fr.000552,,No local or declared external target fits the printed reference.,fr/190.tex:991 paragraphe 4,Human mathematical resolution; do not guess.,UNRESOLVED
res.ref.fr.000553,reference_resolution,fga.190.sb.lemma.1-1,ref.fr.000553,,No local or declared external target fits the printed reference.,fr/190.tex:992 paragraphe 4,Human mathematical resolution; do not guess.,UNRESOLVED
res.ref.fr.000555,reference_resolution,fga.190.sb.corollary.u.n01,ref.fr.000555,,No local or declared external target fits the printed reference.,fr/190.tex:1002 paragraphe 1,Human mathematical resolution; do not guess.,UNRESOLVED
res.ref.fr.000565,reference_resolution,fga.190.sb.remark.u.n01,ref.fr.000565,,No local or declared external target fits the printed reference.,fr/190.tex:1122 paragraphe 1,Human mathematical resolution; do not guess.,UNRESOLVED
res.ref.fr.000566,reference_resolution,fga.190.sb.remark.u.n01,ref.fr.000566,,No local or declared external target fits the printed reference.,fr/190.tex:1165 paragraphe 1,Human mathematical resolution; do not guess.,UNRESOLVED
res.ref.fr.000571,reference_resolution,fga.190.sb.remark.u.n02,ref.fr.000571,,No local or declared external target fits the printed reference.,fr/190.tex:1521 paragraphe 2,Human mathematical resolution; do not guess.,UNRESOLVED
res.ref.fr.000573,reference_resolution,fga.190.sb.remark.u.n02,ref.fr.000573,,No local or declared external target fits the printed reference.,fr/190.tex:1536 paragraphe 4,Human mathematical resolution; do not guess.,UNRESOLVED
res.ref.fr.000574,reference_resolution,fga.190.sb.proposition.6-1,ref.fr.000574,,No local or declared external target fits the printed reference.,fr/190.tex:1571 paragraphe 3,Human mathematical resolution; do not guess.,UNRESOLVED
res.ref.en.000596,reference_resolution,fga.190,ref.en.000596,,No local or declared external target fits the printed reference.,en/190.tex:10 Theorem 90,Human mathematical resolution; do not guess.,UNRESOLVED
res.ref.en.000603,reference_resolution,fga.190.sa.remark.u.n01,ref.en.000603,,No local or declared external target fits the printed reference.,en/190.tex:465 Section 2,Human mathematical resolution; do not guess.,UNRESOLVED
res.ref.en.000604,reference_resolution,fga.190.sa.remark.u.n01,ref.en.000604,,No local or declared external target fits the printed reference.,en/190.tex:552 Section 2,Human mathematical resolution; do not guess.,UNRESOLVED
res.ref.en.000605,reference_resolution,fga.190.sa.remark.u.n01,ref.en.000605,,No local or declared external target fits the printed reference.,en/190.tex:579 Lemma 6,Human mathematical resolution; do not guess.,UNRESOLVED
res.ref.en.000606,reference_resolution,fga.190.sa.remark.u.n01,ref.en.000606,,No local or declared external target fits the printed reference.,en/190.tex:634 Definition 2.1,Human mathematical resolution; do not guess.,UNRESOLVED
res.ref.en.000609,reference_resolution,fga.190.sa.result.2.n02,ref.en.000609,,No local or declared external target fits the printed reference.,en/190.tex:754 Section 2,Human mathematical resolution; do not guess.,UNRESOLVED
res.ref.en.000610,reference_resolution,fga.190.sa.result.2.n02,ref.en.000610,,No local or declared external target fits the printed reference.,en/190.tex:778 Section 2,Human mathematical resolution; do not guess.,UNRESOLVED
