id,item,page,printed,reading,reason
C023,195,376,m_xi/m_xi^2,quotient of m_xi/m_xi^2 by the image of n_xi/n_xi^2,The linked 1962 erratum states that the printed formula is valid only when Lambda is a field and prescribes this quotient in general.
C024,195,376,O simple over Lambda without a residue-field qualification,O simple over Lambda only when k-prime/k is separable,The linked 1962 erratum restricts the printed definition and refers the general case to SGA III 1.1.
C025,195,379,y in Y; closed points of Y,y in S; closed points of S,The paragraph defines a prescheme X over S and no base Y; both occurrences must name the base of X.
C026,195,384,every point of Y,every point of S,No base Y is defined in the Picard paragraph; the local-section condition is on the base S.
C027,195,382-383,projective representability stated as an expectation,Hilbert-scheme solution and Nagata-Hironaka nonprojective counterexamples recorded,The linked 1962 erratum supplies the later disposition of the problem and ties nonrepresentability to possible failure of the symmetric square.
C028,195,383,no later-study cross-reference,TDTE V cross-reference,The linked 1962 erratum explicitly directs readers to TDTE V for a fuller study of Picard schemes.
C029,195,384,if f is proper,if f is proper and separable,The linked 1962 erratum explicitly adds separability to Proposition 3.1.
C030,195,386-387,smoothness of the abelian formal moduli scheme over the Witt ring posed as an open question,later proof and lifting statement recorded,The linked 1962 erratum reports the proof using variance of the lifting-obstruction class from Exposé 182 and notes Mumford's moduli constructions.
C031,195,387,defining section non-zero-divisor on the formal prescheme,defining section non-zero-divisor on every X_n,The linked 1962 erratum strengthens the hypothesis in section 5 to every infinitesimal thickening.
C032,195,388,G_x equal to completed-local term; O-prime_0x uncompleted,G_x from the local ring included in the completed-local term; O-prime_0x completed,The linked 1962 erratum prescribes both the inclusion and the missing completion hat.
C033,212,103,non-effective epimorphisms described parenthetically as strict,non-effective epimorphisms described as non-strict,"The printed parenthesis omits 'non': the immediately preceding definition states that an epimorphism is effective exactly when it is strict once the fiber product exists, and the present category has fiber products. Both editions record the printed reading in a footnote."
C034,212,113,quasi-projectivity asserted when S is noetherian,quasi-projectivity asserted when S is noetherian and R comes from an equivalence relation,The linked erratum to Exposé 212 says the claim appears proved only under the added equivalence-relation hypothesis; both editions state the restriction and identify the printed reading.
C035,212,114,B tensor_V A,B tensor_V K,B is a V-scheme and the asserted good reduction identifies B-prime with its generic fiber B tensor_V K; the printed A is type-inconsistent. Both editions record the printed reading in a footnote.
C036,212,116,projective group said to act freely on S,projective group acts freely on X,The paragraph defines an action on X and the line bundle L; freeness on the base S is not the quotient hypothesis and would force an unrelated condition. Both editions identify the printed S in a footnote.
C037,212,117-118,Conjecture 8.1 presented without its later disposition,linked erratum records that the conjecture is false and that the positive affine characteristic-zero result was later proved,The linked erratum explicitly supplies both later facts and points to Mumford's theorem and subsequent refinements; the conjecture remains visible as historical source text with an immediate caution in both editions.
C038,221,250,X_0,X,Only X is defined at the start of the section and all base changes are denoted X_K; the isolated subscript 0 is a typographical inconsistency. Both editions record the printed reading in a footnote.
C039,221,254,il faut,il faut et il suffit,The linked 1962 erratum to Exposé 221 explicitly replaces the one-way wording in Theorem 2.1 with the necessary-and-sufficient criterion. Both editions identify the printed wording in a footnote.
C040,221,254,N_r/N_{r+1},N_{r+1}/N_r,"The text has just defined an increasing filtration N_r by support dimension, so only N_{r+1}/N_r is a defined successive factor and has associated prime cycles of dimension r. Both editions identify the printed reversal in a footnote."
C041,221,256,n,s,"The proof fixes L=O(k)^s and obtains 0 <= a_F <= s, but the printed exterior-power line abruptly uses an undefined n. The coherent continuation is wedge^a O^s with N=binomial(s,a); both editions identify the printed symbol in a footnote."
C042,221,257,degré r,dimension r,"The filtration F_(r) and the immediately following support argument are indexed by support dimension; degree is separately measured by the coefficient a_F. Both editions use dimension, and the French edition identifies the printed term in a footnote."
C043,221,263,P not equal Q,P less than Q,The linked 1962 erratum replaces the first case in the proof of Lemma 3.5 by the eventual strict polynomial inequality needed to force U_N empty. Both editions identify the printed comparison in a footnote.
C044,221,263,if P equals Q,in the complementary case P(n) is at least Q(n) for large n,"The linked 1962 erratum supplies the logically exhaustive complementary case, under which the rank inequalities stabilize. Both editions include it in the same source note."
C045,221,263,strict inequalities in formula (*),non-strict inequalities <= and >=,The linked 1962 erratum explicitly changes both comparison signs in the rank condition. Both editions use the corrected signs and attribute them in the same source note.
C046,221,266,connectedness of absolute Hilbert schemes posed without later disposition,Hartshorne's connectedness theorem and nonemptiness classification recorded,"The linked 1962 erratum reports Hartshorne's study over an algebraically closed field. The historical question remains visible, with the later result attributed in both editions."
C047,221,269,O_X,O_X0,"The group sheaf A is explicitly defined as Hom over O_X0, and K_0 and G_0 are Modules on X_0; the repeated formula for A(X) has an inconsistent O_X subscript. Both editions identify the printed subscript in a footnote."
C048,221,269,Corollaire 3.3,Corollaire 5.3,"The result follows Proposition 5.1 and Corollary 5.2 inside section 5, so the printed leading numeral 3 is a local numbering error. Both editions identify the printed number in a footnote."
C049,221,270,O_S,O_S-prime,The deformation formula is functorial in an O_S-prime Module M and both G and M live over S-prime; tensoring over O_S-prime is the base-linear construction used by D(M). Both editions identify the printed base ring in a footnote.
C050,221,271-272,Zappa example only,Mumford's generically nonreduced Hilbert component and resulting nonreduced formal moduli example recorded,"The linked 1962 erratum adds the later examples and their precise degree, genus, and dimension data. Both editions retain the historical discussion and append the linked update."
C051,221,272,Z/K,Z/X,"Proposition 5.7 and every surrounding occurrence concern the section functor Pi_{X/S}(Z/X), while K is undefined in this passage. Both editions identify the printed denominator in a footnote."
C052,221,273,Pi_{T_n/S},Pi_{T_n/T},The construction invokes Proposition 5.7 with the finite flat map p_1:T_n to T and immediately states that the result is a T-prescheme. Both editions identify the printed denominator in a footnote.
C053,221,274,n at least 1,n greater than 1,"The preceding sentence proves the morphism is an isomorphism for n=1, so the noninjectivity discussion can begin only at n>1. Both editions identify the printed bound in a footnote."
C054,221,263,r,Z,The linked 1962 erratum explicitly corrects the fifth line from the bottom of page 15; the corrected scheme variable is used in both editions and reproduced in the standalone erratum.
C055,221,271,une composante,d'une composante,The linked 1962 erratum corrects the syntax identifying the classical parameter variety with the reduced structure of an irreducible component of D. Both editions follow the corrected construction and reproduce it in the standalone erratum.
C056,232,147,Modules inversibles g-rigidifiés sur S,Modules inversibles g-rigidifiés sur X,Remark 2.5 defines a g-rigidification of an invertible Module L on X by pulling it back along g:S to X. The printed base S in the subsequent classification is type-inconsistent; both editions use X and identify the printed reading in a footnote.
C057,232,149,finite-type decomposition posed without disposition,Mumford's affirmative solution recorded,The linked 1962 erratum states that Mumford solved the question in Remark 3.3 affirmatively using the Picard-scheme theory developed in the exposé. Both editions retain the historical question and immediately record the linked update.
C058,232,152,Hom over O_X of Q into O_S,Hom over O_S of Q into O_S,The paragraph constructs Q as a coherent Module on S and identifies f_*(L) with its dual. The printed O_X subscript is type-inconsistent; both editions use the required O_S-linear dual and identify the printed subscript in a footnote.
C059,232,155,existence conjecture in Remark 5.2 left as plausible,linked erratum records that the conjecture is false and Mumford proves a slightly weaker theorem,The linked 1962 erratum expressly reverses the conjectural expectation. Both editions retain the historical source wording and attach the later disposition; the standalone erratum reproduces it.
C060,232,156,complete local ring,complete local ring with algebraically closed residue field,The linked 1962 erratum adds the residue-field hypothesis and says Mumford's counterexample makes it indispensable. Both editions use the corrected hypothesis and identify the printed omission in a footnote.
C061,232,158,Z flat over X,Z flat over S,The quotient O_X/(I_1+I_2) defines the intersection Z and the stated hypothesis is its flatness over the base S; flatness over the ambient X is not the asserted relative condition. Both editions use S and identify the printed X in a footnote.
C062,232,159,existence question for Pic_X/k left open in Remark 6.6,linked erratum records Murre's affirmative solution,The linked 1962 erratum reports that Murre had just answered the question affirmatively. Both editions retain the historical question with the update and reproduce the erratum separately.
C063,232,160,affineness question in Remark 6.7 left open,linked erratum records an affirmative answer,The linked 1962 erratum gives the affirmative disposition and points to the last paragraph of the Comments on the following exposé. Both editions retain the historical question with the update.
C064,232,160,regular,smooth over k,"The linked 1962 erratum explicitly replaces the hypothesis in Remark 6.8. The French edition uses 'simple sur k' and the English edition uses 'smooth over k', each with the printed reading identified in a footnote."
C065,236,226,x in X,x in G,"The proof is classifying the four loci G-circ, G-tau, G-sigma, and G-rho inside G, while X is undefined in the passage. Both editions use G and identify the printed X in a footnote."
C066,236,227,g(y')=x',g'(y')=x',The generic fiber being computed is that of the newly constructed section g'=g_1g'_2. Both editions use g' and identify the missing prime in a footnote.
C067,236,227,images under phi_(n^h),images under phi_(p^h),"For x in G-rho, the definition on printed page 223 gives a power of the characteristic exponent p that sends x into G-circ; n has not yet been introduced in this argument. Both editions use p^h and identify the printed n^h in a footnote."
C068,236,228,residue characteristic prime to p,residue characteristic prime to n,Corollary 1.5 quantifies over the n-th power map; its etaleness locus and the proof by the kernels _nG require residue characteristic prime to n. Both editions use n and identify the printed p in a footnote.
C069,236,231,every divisor on S is Cartier,every divisor on X is Cartier,The preceding clause invokes factoriality of the local rings of X and the next sentence extends a divisor from V to X. Both editions use X and identify the printed S in a footnote.
C070,236,231,Pic-circ_(X/S) proper over k,Pic-circ_(X/k) proper over k,Theorem 2.1(ii) concerns a prescheme X over the field k and contains no base S. Both editions use X/k and identify the printed X/S in a footnote.
C071,236,232,morphism from the affine line,morphism from the affine line with the origin removed,The linked erratum to Expose 236 explicitly supplies 'privee de l'origine'. Both editions apply it and identify the printed reading in a footnote.
C072,236,232,invertible Module on X[t],invertible Module on X[t,"t^{-1}],The linked erratum to Expose 236 explicitly replaces X[t] by X[t,t^{-1}]. Both editions apply it and identify the printed reading in a footnote."
C073,236,233,points x in X,points x in Pic_(X/S),"Theorem 2.5 defines phi_n as the n-th power endomorphism of the Picard prescheme, so its points lie in Pic_(X/S), not in the original family X. Both editions use the Picard prescheme and identify the printed X in a footnote."
C074,236,234,f:X to Y,f:X to S,Corollary 2.7 assumes Pic_(X/S) exists and defines a function on S; Y occurs nowhere else in the statement. Both editions use S and identify the printed Y in a footnote.
C075,236,242,Soient : X to S,Soit f:X to S,Theorem 4.1 subsequently uses the morphism f and grammatically requires the singular 'Soit'. Both editions supply f and identify the malformed printed opening in a footnote.
C076,236,242,Q is quasi-compact,E is quasi-compact,"The theorem introduces E as the subset of Pic_(X/S) corresponding to the family (L_i), and conditions (b) and the boundedness gloss also concern E. Both editions use E and identify the printed Q in a footnote."
C077,236,236,Or l'hypothese ... resulte,"Or, de l'hypothese ... resulte",The linked erratum to Expose 236 explicitly inserts 'de' after 'Or'. The French edition applies the prescribed construction and the English edition records the correction while translating its grammatical sense.
