priority,filename,pages,text_chars_median,blankish_pages,low_text_pages,visual_note,completeness_note,recommended_action,contact_sheet
P2 scope clarification,10-18 English Translation - al-Muqaddasi - Ahsan al-Taqasim.pdf,15,1243,[],[14],,Reference/context translation; verify whether this is intentionally excerpted or should be complete.,Clarify scope in metadata/README or convert to full work-level target.,contact_sheets/10-18_English_Translation_-_al-Muqaddasi_-_Ahsan_al-Taqasim_selected_pages.jpg
P2 scope clarification,10-19 English Translation - Ibn al-Nadim - Kitab al-Fihrist.pdf,19,2091,[],[],,Reference/context translation; verify whether this is intentionally excerpted or should be complete.,Clarify scope in metadata/README or convert to full work-level target.,contact_sheets/10-19_English_Translation_-_Ibn_al-Nadim_-_Kitab_al-Fihrist_selected_pages.jpg
P2 scope clarification,10-20 English Translation - Said al-Andalusi - Tabaqat al-Umam.pdf,12,2190,[],[],,Reference/context translation; verify whether this is intentionally excerpted or should be complete.,Clarify scope in metadata/README or convert to full work-level target.,contact_sheets/10-20_English_Translation_-_Said_al-Andalusi_-_Tabaqat_al-Umam_selected_pages.jpg
OK or spot-check,10-21 English Translation - Smith-Karpinski - Numerals.pdf,16,2172,[],[],,,Spot-check only.,
OK or spot-check,"20-01 Modern Chinese - Nine Chapters, vols. 1-9.pdf",35,1090,[],"[1, 28]",,,Spot-check only.,
OK or spot-check,"20-02 Modern Chinese - Li Ye - Ceyuan Haijing, vols. 1-12.pdf",84,1617,[],"[1, 18, 19]",,,Spot-check only.,
OK or spot-check,20-03 Modern Chinese - Li Ye - Ceyuan Haijing Fenlei Shishu.pdf,104,849,[],"[1, 2, 5, 13, 18, 37, 100]",,,Spot-check only.,
P1 completeness/source extension,"20-04 Modern Chinese - Qin - Shuxue Jiuzhang, fasc. 1 and 5-9.pdf",105,872,[],"[14, 48, 50]",,"Partial by filename: modern Chinese Qin says fasc. 1 and 5-9, apparently missing fasc. 2-4.",Decide whether to complete missing source sections now or relabel scope more clearly; prefer completion when source is available.,contact_sheets/20-04_Modern_Chinese_-_Qin_-_Shuxue_Jiuzhang_fasc._1_and_5-9_selected_pages.jpg
P1 visual verification,20-05 Modern Chinese - Sunzi Suanjing.pdf,16,730,[],"[1, 2]",Modern Chinese Sunzi may contain empty brackets or placeholder-looking marks; inspect against source.,,Render-check selected pages; fix spacing/brackets/overlap if confirmed; otherwise annotate as visually checked.,contact_sheets/20-05_Modern_Chinese_-_Sunzi_Suanjing_selected_pages.jpg
P1 visual verification,"20-06 Modern Chinese - Yang Hui - Xiangjie, parts 1-3.pdf",77,668,[],"[1, 12, 18, 22, 35, 46, 53, 58, 60, 62, 64, 75]",Modern Chinese Yang Hui may have bracket/spacing artifacts; inspect against source.,,Render-check selected pages; fix spacing/brackets/overlap if confirmed; otherwise annotate as visually checked.,contact_sheets/20-06_Modern_Chinese_-_Yang_Hui_-_Xiangjie_parts_1-3_selected_pages.jpg
P1 visual verification,"20-07 Modern Chinese - Zhu Shijie - Suanxue Qimeng, parts 1-2.pdf",38,1349,[38],"[9, 29, 38]",Possible wide spacing between Chinese characters; verify if this is acceptable style or bad CJK typesetting.,,Render-check selected pages; fix spacing/brackets/overlap if confirmed; otherwise annotate as visually checked.,contact_sheets/20-07_Modern_Chinese_-_Zhu_Shijie_-_Suanxue_Qimeng_parts_1-2_selected_pages.jpg
P0 visual repair,"30-01 Arabic Translation - Li Ye - Ceyuan Haijing, vols. 1-6 and 10-12.pdf",83,1946,[],"[63, 79]",Arabic Li Ye definitely looked wrong to user: missing/overlapping parts and text in strange places.,"Partial by filename: Arabic Li Ye says vols. 1-6 and 10-12, missing vols. 7-9.",Repair before next public upload; compare against source and regenerate PDF/TeX.,contact_sheets/30-01_Arabic_Translation_-_Li_Ye_-_Ceyuan_Haijing_vols._1-6_and_10-12_selected_pages.jpg
P1 completeness/source extension,"30-02 Arabic Translation - Qin - Shuxue Jiuzhang, fasc. 1 and 4.pdf",26,3478,[],[],Arabic Qin might have alignment issues; inspect visually and against source.,"Partial by filename: Arabic Qin says fasc. 1 and 4 only, missing most fascicles.",Decide whether to complete missing source sections now or relabel scope more clearly; prefer completion when source is available.,contact_sheets/30-02_Arabic_Translation_-_Qin_-_Shuxue_Jiuzhang_fasc._1_and_4_selected_pages.jpg
P1 completeness/source extension,"30-03 Arabic Translation - Yang Hui - Xiangjie, part 1.pdf",27,1366,[],[27],Arabic Yang Hui might have alignment/completeness issues; inspect visually and against source.,"Partial by filename: Arabic Yang Hui says part 1 only, missing parts 2-3.",Decide whether to complete missing source sections now or relabel scope more clearly; prefer completion when source is available.,contact_sheets/30-03_Arabic_Translation_-_Yang_Hui_-_Xiangjie_part_1_selected_pages.jpg
P1 completeness/source extension,30-04 Arabic Translation - al-Kashi - Miftah al-Hisab.pdf,29,834,[],[6],,Likely not full Miftah al-Hisab: Arabic translation reader is tiny; full Kashi source intake exists and OCR is weak.,Decide whether to complete missing source sections now or relabel scope more clearly; prefer completion when source is available.,contact_sheets/30-04_Arabic_Translation_-_al-Kashi_-_Miftah_al-Hisab_selected_pages.jpg
OK or spot-check,30-05 Arabic Translation - al-Khwarizmi - Algebra.pdf,42,1487,[],"[28, 31, 42]",,,Spot-check only.,
OK or spot-check,30-06 Arabic Translation - Omar Khayyam - Treatise on Algebra.pdf,14,1231,[],[2],,,Spot-check only.,
OK or spot-check,"40-01 Chinese Original - Nine Chapters, vols. 1-9.pdf",77,1156,"[1, 2, 77]","[1, 2, 10, 43, 54, 77]",,,Spot-check only.,
OK or spot-check,"40-02 Chinese Original - Li Ye - Ceyuan Haijing, vols. 1-12.pdf",90,1119,[],"[5, 23, 29, 77, 89]",,,Spot-check only.,
OK or spot-check,40-03 Chinese Original - Li Ye - Ceyuan Haijing Fenlei Shishu.pdf,111,953,"[33, 35, 84]","[2, 7, 24, 33, 35, 45, 50, 84]",,,Spot-check only.,
OK or spot-check,40-04 Chinese Original - Li Ye - Ceyuan Haijing geometry.pdf,6,1119,[],[],,,Spot-check only.,
OK or spot-check,"40-05 Chinese Original - Qin - Shuxue Jiuzhang, fasc. 1-9.pdf",102,1212,"[1, 101]","[1, 72, 89, 92, 101]",,,Spot-check only.,
OK or spot-check,40-06 Chinese Original - Sunzi Suanjing.pdf,32,824,[],[25],,,Spot-check only.,
OK or spot-check,"40-07 Chinese Original - Yang Hui - Xiangjie, parts 1-3.pdf",85,1022,[],"[63, 84]",,,Spot-check only.,
OK or spot-check,"40-08 Chinese Original - Zhu Shijie - Suanxue Qimeng, parts 1-2.pdf",49,1122,[],[1],,,Spot-check only.,
P1 visual verification,50-01 Indian Original - Aryabhata - Aryabhatiya.pdf,18,1657,[],[],Indian original seems acceptable but very short/sparse; verify source completeness and typography.,,Render-check selected pages; fix spacing/brackets/overlap if confirmed; otherwise annotate as visually checked.,contact_sheets/50-01_Indian_Original_-_Aryabhata_-_Aryabhatiya_selected_pages.jpg
P1 visual verification,"50-02 Indian Original - Bhaskara II - Bijaganita, parts 1-3.pdf",59,789,[],"[2, 37]",Indian original has sparse pages; likely style/script issue but should be checked.,,Render-check selected pages; fix spacing/brackets/overlap if confirmed; otherwise annotate as visually checked.,contact_sheets/50-02_Indian_Original_-_Bhaskara_II_-_Bijaganita_parts_1-3_selected_pages.jpg
P1 visual verification,50-03 Indian Original - Bhaskara II - Lilavati.pdf,16,1887,[],[4],Indian original has sparse pages; likely style/script issue but should be checked.,,Render-check selected pages; fix spacing/brackets/overlap if confirmed; otherwise annotate as visually checked.,contact_sheets/50-03_Indian_Original_-_Bhaskara_II_-_Lilavati_selected_pages.jpg
P1 visual verification,50-04 Indian Original - Brahmagupta - Brahmasphutasiddhanta.pdf,279,1134,"[52, 71, 72, 90, 91, 92, 93, 94, 95, 111, 119, 121, 133, 137, 148, 170, 198, 223, 237, 261, 262, 279]","[2, 52, 70, 71, 72, 89, 90, 91, 92, 93, 94, 95, 111, 119, 120, 121, 133, 137, 148, 170, 198, 202, 222, 223, 225, 237, 239, 261, 262, 272, 279]",Brahmagupta/Sanskrit material is a known hard lane; verify source-backed completeness and rendering.,,Render-check selected pages; fix spacing/brackets/overlap if confirmed; otherwise annotate as visually checked.,contact_sheets/50-04_Indian_Original_-_Brahmagupta_-_Brahmasphutasiddhanta_selected_pages.jpg
P1 completeness/source extension,60-01 Islamic Original - al-Kashi - Miftah al-Hisab.pdf,27,1289,[],[6],,Likely not full Miftah al-Hisab: original reader is tiny relative to full source; transcription-first source work needed.,Decide whether to complete missing source sections now or relabel scope more clearly; prefer completion when source is available.,contact_sheets/60-01_Islamic_Original_-_al-Kashi_-_Miftah_al-Hisab_selected_pages.jpg
OK or spot-check,60-02 Islamic Original - al-Khwarizmi - Algebra.pdf,31,1369,[],"[8, 24]",,,Spot-check only.,
OK or spot-check,60-03 Islamic Original - al-Tusi - Shakl al-Qatta.pdf,16,1993,[],[16],,,Spot-check only.,
OK or spot-check,60-04 Islamic Original - Omar Khayyam - Treatise on Algebra.pdf,15,1257,[],[],,,Spot-check only.,
P0 visual repair,60-05 Islamic Original - Ruska - Oldest Arabic Algebra (1917).pdf,60,3612,[],[],Ruska / Oldest Arabic Algebra original looks weird on device; needs formatting/title audit.,,Repair before next public upload; compare against source and regenerate PDF/TeX.,contact_sheets/60-05_Islamic_Original_-_Ruska_-_Oldest_Arabic_Algebra_(1917)_selected_pages.jpg
OK or spot-check,60-06 Islamic Original - Rosen - Algebra of Mohammed Ben Musa.pdf,42,4115,[],"[19, 39, 40, 42]",,,Spot-check only.,
OK or spot-check,60-07 Islamic Original - Robert of Chester and Karpinski.pdf,28,1970,[28],"[6, 28]",,,Spot-check only.,
P1 completeness/source extension,"60-08 Islamic and Arabic Work - al-Battani - Opus Astronomicum, Segments 1-5.pdf",59,1888,[],[20],,Partial but intentionally current: al-Battani Opus Astronomicum only segments 1-5 so far.,Decide whether to complete missing source sections now or relabel scope more clearly; prefer completion when source is available.,contact_sheets/60-08_Islamic_and_Arabic_Work_-_al-Battani_-_Opus_Astronomicum_Segments_1-5_selected_pages.jpg
P2 scope clarification,70-01 Reference Text - Said al-Andalusi - Tabaqat al-Umam.pdf,15,2108,[],[],,"Reference/context reader, not a complete critical mathematical work unless source scope is explicitly expanded.",Clarify scope in metadata/README or convert to full work-level target.,contact_sheets/70-01_Reference_Text_-_Said_al-Andalusi_-_Tabaqat_al-Umam_selected_pages.jpg
P2 scope clarification,70-02 Reference Text - al-Muqaddasi - Ahsan al-Taqasim.pdf,10,2271,[],[],,"Reference/context reader, not a complete critical mathematical work unless source scope is explicitly expanded.",Clarify scope in metadata/README or convert to full work-level target.,contact_sheets/70-02_Reference_Text_-_al-Muqaddasi_-_Ahsan_al-Taqasim_selected_pages.jpg
P2 scope clarification,70-03 Reference Text - Ibn al-Nadim - Kitab al-Fihrist.pdf,11,1727,[],[],,"Reference/context reader, not a complete critical mathematical work unless source scope is explicitly expanded.",Clarify scope in metadata/README or convert to full work-level target.,contact_sheets/70-03_Reference_Text_-_Ibn_al-Nadim_-_Kitab_al-Fihrist_selected_pages.jpg
P2 scope clarification,70-04 Reference Text - Ibn al-Qifti - Tarikh al-Hukama.pdf,10,2330,[],[],,"Reference/context reader, not a complete critical mathematical work unless source scope is explicitly expanded.",Clarify scope in metadata/README or convert to full work-level target.,contact_sheets/70-04_Reference_Text_-_Ibn_al-Qifti_-_Tarikh_al-Hukama_selected_pages.jpg
OK or spot-check,70-05 Reference Text - Smith-Karpinski - Numerals.pdf,23,4062,[],[1],,,Spot-check only.,
