physical_page	kind	opcode	source_index	french_index	source_formula	french_formula	source_skeleton	french_skeleton	review_status	review_note
13	INLINE	insert		17		T^F		T^F	ACCEPTED_EQUIVALENT_AFTER_PAIRED_PAGE_REVIEW	Paired page review confirms a French word-order, punctuation, math-span boundary, or repeated-symbol relocation only; no mathematical object, relation, hypothesis, formula, tag, or diagram is lost.
13	INLINE	delete	18		T^F		T^F		ACCEPTED_EQUIVALENT_AFTER_PAIRED_PAGE_REVIEW	Paired page review confirms a French word-order, punctuation, math-span boundary, or repeated-symbol relocation only; no mathematical object, relation, hypothesis, formula, tag, or diagram is lost.
13	INLINE	insert		49		\mathbf T(w)^F		\mathbfT(w)^F	ACCEPTED_EQUIVALENT_AFTER_PAIRED_PAGE_REVIEW	Paired page review confirms a French word-order, punctuation, math-span boundary, or repeated-symbol relocation only; no mathematical object, relation, hypothesis, formula, tag, or diagram is lost.
13	INLINE	delete	50		\mathbf T(w)^F		\mathbfT(w)^F		ACCEPTED_EQUIVALENT_AFTER_PAIRED_PAGE_REVIEW	Paired page review confirms a French word-order, punctuation, math-span boundary, or repeated-symbol relocation only; no mathematical object, relation, hypothesis, formula, tag, or diagram is lost.
13	INLINE	insert		53		T^F		T^F	ACCEPTED_EQUIVALENT_AFTER_PAIRED_PAGE_REVIEW	Paired page review confirms a French word-order, punctuation, math-span boundary, or repeated-symbol relocation only; no mathematical object, relation, hypothesis, formula, tag, or diagram is lost.
13	INLINE	insert		54		G^F		G^F	ACCEPTED_EQUIVALENT_AFTER_PAIRED_PAGE_REVIEW	Paired page review confirms a French word-order, punctuation, math-span boundary, or repeated-symbol relocation only; no mathematical object, relation, hypothesis, formula, tag, or diagram is lost.
13	INLINE	insert		55		\widetilde X_{T\subset B}		\widetildeX_{T\subsetB}	ACCEPTED_EQUIVALENT_AFTER_PAIRED_PAGE_REVIEW	Paired page review confirms a French word-order, punctuation, math-span boundary, or repeated-symbol relocation only; no mathematical object, relation, hypothesis, formula, tag, or diagram is lost.
13	INLINE	insert		56		X_{T\subset B}		X_{T\subsetB}	ACCEPTED_EQUIVALENT_AFTER_PAIRED_PAGE_REVIEW	Paired page review confirms a French word-order, punctuation, math-span boundary, or repeated-symbol relocation only; no mathematical object, relation, hypothesis, formula, tag, or diagram is lost.
13	INLINE	delete	56		X_{T\subset B}		X_{T\subsetB}		ACCEPTED_EQUIVALENT_AFTER_PAIRED_PAGE_REVIEW	Paired page review confirms a French word-order, punctuation, math-span boundary, or repeated-symbol relocation only; no mathematical object, relation, hypothesis, formula, tag, or diagram is lost.
13	INLINE	delete	57		\widetilde X_{T\subset B}		\widetildeX_{T\subsetB}		ACCEPTED_EQUIVALENT_AFTER_PAIRED_PAGE_REVIEW	Paired page review confirms a French word-order, punctuation, math-span boundary, or repeated-symbol relocation only; no mathematical object, relation, hypothesis, formula, tag, or diagram is lost.
13	INLINE	delete	58		G^F		G^F		ACCEPTED_EQUIVALENT_AFTER_PAIRED_PAGE_REVIEW	Paired page review confirms a French word-order, punctuation, math-span boundary, or repeated-symbol relocation only; no mathematical object, relation, hypothesis, formula, tag, or diagram is lost.
13	INLINE	delete	59		T^F		T^F		ACCEPTED_EQUIVALENT_AFTER_PAIRED_PAGE_REVIEW	Paired page review confirms a French word-order, punctuation, math-span boundary, or repeated-symbol relocation only; no mathematical object, relation, hypothesis, formula, tag, or diagram is lost.
13	INLINE	insert		71		T		T	ACCEPTED_EQUIVALENT_AFTER_PAIRED_PAGE_REVIEW	Paired page review confirms a French word-order, punctuation, math-span boundary, or repeated-symbol relocation only; no mathematical object, relation, hypothesis, formula, tag, or diagram is lost.
13	INLINE	delete	72		T		T		ACCEPTED_EQUIVALENT_AFTER_PAIRED_PAGE_REVIEW	Paired page review confirms a French word-order, punctuation, math-span boundary, or repeated-symbol relocation only; no mathematical object, relation, hypothesis, formula, tag, or diagram is lost.
15	INLINE	insert		47		\mathbf T		\mathbfT	ACCEPTED_EQUIVALENT_AFTER_PAIRED_PAGE_REVIEW	Paired page review confirms a French word-order, punctuation, math-span boundary, or repeated-symbol relocation only; no mathematical object, relation, hypothesis, formula, tag, or diagram is lost.
15	INLINE	delete	48		\mathbf T		\mathbfT		ACCEPTED_EQUIVALENT_AFTER_PAIRED_PAGE_REVIEW	Paired page review confirms a French word-order, punctuation, math-span boundary, or repeated-symbol relocation only; no mathematical object, relation, hypothesis, formula, tag, or diagram is lost.
16	INLINE	insert		24		X(w)		X(w)	ACCEPTED_EQUIVALENT_AFTER_PAIRED_PAGE_REVIEW	Paired page review confirms a French word-order, punctuation, math-span boundary, or repeated-symbol relocation only; no mathematical object, relation, hypothesis, formula, tag, or diagram is lost.
16	INLINE	delete	25		X(w)		X(w)		ACCEPTED_EQUIVALENT_AFTER_PAIRED_PAGE_REVIEW	Paired page review confirms a French word-order, punctuation, math-span boundary, or repeated-symbol relocation only; no mathematical object, relation, hypothesis, formula, tag, or diagram is lost.
17	INLINE	insert		49		X(w)		X(w)	ACCEPTED_EQUIVALENT_AFTER_PAIRED_PAGE_REVIEW	Paired page review confirms a French word-order, punctuation, math-span boundary, or repeated-symbol relocation only; no mathematical object, relation, hypothesis, formula, tag, or diagram is lost.
17	INLINE	delete	50		X(w)		X(w)		ACCEPTED_EQUIVALENT_AFTER_PAIRED_PAGE_REVIEW	Paired page review confirms a French word-order, punctuation, math-span boundary, or repeated-symbol relocation only; no mathematical object, relation, hypothesis, formula, tag, or diagram is lost.
30	INLINE	insert		57		x\in X^{\mathrm{ad}}		x\inX^{\TEXT{}}	ACCEPTED_EQUIVALENT_AFTER_PAIRED_PAGE_REVIEW	Paired page review confirms a French word-order, punctuation, math-span boundary, or repeated-symbol relocation only; no mathematical object, relation, hypothesis, formula, tag, or diagram is lost.
30	INLINE	delete	58		x\in X^{\mathrm{ad}}		x\inX^{\TEXT{}}		ACCEPTED_EQUIVALENT_AFTER_PAIRED_PAGE_REVIEW	Paired page review confirms a French word-order, punctuation, math-span boundary, or repeated-symbol relocation only; no mathematical object, relation, hypothesis, formula, tag, or diagram is lost.
34	INLINE	delete	53		F		F		ACCEPTED_EQUIVALENT_AFTER_PAIRED_PAGE_REVIEW	French writes 'Frobenius acts' instead of repeating an isolated inline F; all fixed-point formulas are intact.
41	DISPLAY	replace	3	3	\n\begin{aligned}\n\langle\mu,\mu\rangle\n&=\frac1{\operatorname{St}_G(s)^2}\n\sum_{\substack{T\ni s\\T'\ni s}}\n\sum_{\substack{\theta\in(T^F)^\vee\\\theta'\in(T'^F)^\vee}}\n\theta(s^{-1})\theta'(s)\n\#\{n\in N(T,T')^F\mid \operatorname{ad}n(\theta')=\theta\}|T^F|^{-1}\\\n&=\frac1{\operatorname{St}_G(s)^2}\n\sum_{\substack{T\ni s\\\theta\in(T^F)^\vee\\n\in G^F\\nsn^{-1}\in T}}\n\theta(s^{-1})\theta(nsn^{-1})|T^F|^{-1}\\\n&=\frac1{\operatorname{St}_G(s)^2}\n\#\{T\ni s,\ n\in G^F\mid sn=ns\}\\\n&=\frac{|Z(s)^F|}{\operatorname{St}_G(s)^2}\n\#\{F\text{-stable maximal tori in }Z^0(s)\}\n=|Z(s)^F|\n\end{aligned}\n	\n\begin{aligned}\n\langle\mu,\mu\rangle\n&=\frac1{\operatorname{St}_G(s)^2}\n\sum_{\substack{T\ni s\\T'\ni s}}\n\sum_{\substack{\theta\in(T^F)^\vee\\\theta'\in(T'^F)^\vee}}\n\theta(s^{-1})\theta'(s)\n\#\{n\in N(T,T')^F\mid \operatorname{ad}n(\theta')=\theta\}|T^F|^{-1}\\\n&=\frac1{\operatorname{St}_G(s)^2}\n\sum_{\substack{T\ni s\\\theta\in(T^F)^\vee\\n\in G^F\\nsn^{-1}\in T}}\n\theta(s^{-1})\theta(nsn^{-1})|T^F|^{-1}\\\n&=\frac1{\operatorname{St}_G(s)^2}\n\#\{T\ni s,\ n\in G^F\mid sn=ns\}\\\n&=\frac{|Z(s)^F|}{\operatorname{St}_G(s)^2}\n\#\{\text{tores maximaux }F\text{-stables de }Z^0(s)\}\n=|Z(s)^F|\n\end{aligned}\n	\begin{aligned}\langle\mu,\mu\rangle&=\frac1{\operatorname{St}_G(s)^2}\sum_{\substack{T\nis\\T'\nis}}\sum_{\substack{\theta\in(T^F)^\vee\\\theta'\in(T'^F)^\vee}}\theta(s^{-1})\theta'(s)\#\{n\inN(T,T')^F\mid\operatorname{ad}n(\theta')=\theta\}|T^F|^{-1}\\&=\frac1{\operatorname{St}_G(s)^2}\sum_{\substack{T\nis\\\theta\in(T^F)^\vee\\n\inG^F\\nsn^{-1}\inT}}\theta(s^{-1})\theta(nsn^{-1})|T^F|^{-1}\\&=\frac1{\operatorname{St}_G(s)^2}\#\{T\nis,\n\inG^F\midsn=ns\}\\&=\frac{|Z(s)^F|}{\operatorname{St}_G(s)^2}\#\{F\TEXT{}Z^0(s)\}=|Z(s)^F|\end{aligned}	\begin{aligned}\langle\mu,\mu\rangle&=\frac1{\operatorname{St}_G(s)^2}\sum_{\substack{T\nis\\T'\nis}}\sum_{\substack{\theta\in(T^F)^\vee\\\theta'\in(T'^F)^\vee}}\theta(s^{-1})\theta'(s)\#\{n\inN(T,T')^F\mid\operatorname{ad}n(\theta')=\theta\}|T^F|^{-1}\\&=\frac1{\operatorname{St}_G(s)^2}\sum_{\substack{T\nis\\\theta\in(T^F)^\vee\\n\inG^F\\nsn^{-1}\inT}}\theta(s^{-1})\theta(nsn^{-1})|T^F|^{-1}\\&=\frac1{\operatorname{St}_G(s)^2}\#\{T\nis,\n\inG^F\midsn=ns\}\\&=\frac{|Z(s)^F|}{\operatorname{St}_G(s)^2}\#\{\TEXT{}F\TEXT{}Z^0(s)\}=|Z(s)^F|\end{aligned}	ACCEPTED_EQUIVALENT_AFTER_PAIRED_PAGE_REVIEW	The two displays differ only in translated text describing F-stable maximal tori; every non-text mathematical token is retained.
41	DISPLAY	replace	4	4	\n\begin{aligned}\n\langle\mu,\mu'\rangle=\mu(s)\n&=\frac1{\operatorname{St}_G(s)}\n\sum_{\substack{T\\s\in T}}\n\sum_{\theta\in(T^F)^\vee}\n\theta(s^{-1})\n\frac{(-1)^{\sigma(G)-\sigma(Z^0(s))}}{\operatorname{St}_{Z^0(s)}(e)|T^F|}\n\sum_{\substack{g\in G^F\\g^{-1}sg\in T^F}}\theta(g^{-1}sg)\\\n&=\frac1{\operatorname{St}_G(s)^2}\n\sum_{\substack{T\\s\in T}}\n\sum_{\substack{g\in G^F\\g^{-1}sg\in T^F}}\n|T^F|^{-1}\theta(s^{-1})\theta(g^{-1}sg)\\\n&=\frac1{\operatorname{St}_G(s)^2}\n\#\{T\ni s,\ g\in G^F\mid sg=gs\}\\\n&=\frac{|Z(s)^F|}{\operatorname{St}_G(s)^2}\n\#\{F\text{-stable maximal tori in }Z^0(s)\}\n=|Z(s)^F|,\n\end{aligned}\n	\n\begin{aligned}\n\langle\mu,\mu'\rangle=\mu(s)\n&=\frac1{\operatorname{St}_G(s)}\n\sum_{\substack{T\\s\in T}}\n\sum_{\theta\in(T^F)^\vee}\n\theta(s^{-1})\n\frac{(-1)^{\sigma(G)-\sigma(Z^0(s))}}{\operatorname{St}_{Z^0(s)}(e)|T^F|}\n\sum_{\substack{g\in G^F\\g^{-1}sg\in T^F}}\theta(g^{-1}sg)\\\n&=\frac1{\operatorname{St}_G(s)^2}\n\sum_{\substack{T\\s\in T}}\n\sum_{\substack{g\in G^F\\g^{-1}sg\in T^F}}\n|T^F|^{-1}\theta(s^{-1})\theta(g^{-1}sg)\\\n&=\frac1{\operatorname{St}_G(s)^2}\n\#\{T\ni s,\ g\in G^F\mid sg=gs\}\\\n&=\frac{|Z(s)^F|}{\operatorname{St}_G(s)^2}\n\#\{\text{tores maximaux }F\text{-stables de }Z^0(s)\}\n=|Z(s)^F|,\n\end{aligned}\n	\begin{aligned}\langle\mu,\mu'\rangle=\mu(s)&=\frac1{\operatorname{St}_G(s)}\sum_{\substack{T\\s\inT}}\sum_{\theta\in(T^F)^\vee}\theta(s^{-1})\frac{(-1)^{\sigma(G)-\sigma(Z^0(s))}}{\operatorname{St}_{Z^0(s)}(e)|T^F|}\sum_{\substack{g\inG^F\\g^{-1}sg\inT^F}}\theta(g^{-1}sg)\\&=\frac1{\operatorname{St}_G(s)^2}\sum_{\substack{T\\s\inT}}\sum_{\substack{g\inG^F\\g^{-1}sg\inT^F}}|T^F|^{-1}\theta(s^{-1})\theta(g^{-1}sg)\\&=\frac1{\operatorname{St}_G(s)^2}\#\{T\nis,\g\inG^F\midsg=gs\}\\&=\frac{|Z(s)^F|}{\operatorname{St}_G(s)^2}\#\{F\TEXT{}Z^0(s)\}=|Z(s)^F|,\end{aligned}	\begin{aligned}\langle\mu,\mu'\rangle=\mu(s)&=\frac1{\operatorname{St}_G(s)}\sum_{\substack{T\\s\inT}}\sum_{\theta\in(T^F)^\vee}\theta(s^{-1})\frac{(-1)^{\sigma(G)-\sigma(Z^0(s))}}{\operatorname{St}_{Z^0(s)}(e)|T^F|}\sum_{\substack{g\inG^F\\g^{-1}sg\inT^F}}\theta(g^{-1}sg)\\&=\frac1{\operatorname{St}_G(s)^2}\sum_{\substack{T\\s\inT}}\sum_{\substack{g\inG^F\\g^{-1}sg\inT^F}}|T^F|^{-1}\theta(s^{-1})\theta(g^{-1}sg)\\&=\frac1{\operatorname{St}_G(s)^2}\#\{T\nis,\g\inG^F\midsg=gs\}\\&=\frac{|Z(s)^F|}{\operatorname{St}_G(s)^2}\#\{\TEXT{}F\TEXT{}Z^0(s)\}=|Z(s)^F|,\end{aligned}	ACCEPTED_EQUIVALENT_AFTER_PAIRED_PAGE_REVIEW	The two displays differ only in translated text describing F-stable maximal tori; every non-text mathematical token is retained.
45	INLINE	insert		31		G		G	ACCEPTED_EQUIVALENT_AFTER_PAIRED_PAGE_REVIEW	Paired page review confirms a French word-order, punctuation, math-span boundary, or repeated-symbol relocation only; no mathematical object, relation, hypothesis, formula, tag, or diagram is lost.
45	INLINE	delete	32		G		G		ACCEPTED_EQUIVALENT_AFTER_PAIRED_PAGE_REVIEW	Paired page review confirms a French word-order, punctuation, math-span boundary, or repeated-symbol relocation only; no mathematical object, relation, hypothesis, formula, tag, or diagram is lost.
46	INLINE	delete	12		T		T		ACCEPTED_EQUIVALENT_AFTER_PAIRED_PAGE_REVIEW	French elides a repeated subject T and repositions P/U_P with French syntax; Theorem 8.3 and both induction displays are intact.
46	INLINE	insert		21		P/U_P		P/U_P	ACCEPTED_EQUIVALENT_AFTER_PAIRED_PAGE_REVIEW	French elides a repeated subject T and repositions P/U_P with French syntax; Theorem 8.3 and both induction displays are intact.
46	INLINE	delete	23		P/U_P		P/U_P		ACCEPTED_EQUIVALENT_AFTER_PAIRED_PAGE_REVIEW	French elides a repeated subject T and repositions P/U_P with French syntax; Theorem 8.3 and both induction displays are intact.
51	INLINE	replace	51	51	T(w)^F\xrightarrow{\sim}T'^{F}	T(w)^F\xrightarrow{\sim}T'^F	T(w)^F\xrightarrow{\sim}T'^{F}	T(w)^F\xrightarrow{\sim}T'^F	ACCEPTED_EQUIVALENT_AFTER_PAIRED_PAGE_REVIEW	T'^{F} and T'^F are TeX-equivalent notations for the same exponent.
53	DISPLAY	replace	1	1	\n\nu(g)=\n\begin{cases}\n|Z^0Z^0(s)^F|\,q^{l(Z^0(s))}\dfrac{|Z(s)^F|}{|Z^0(s)^F|},\n&\text{if }g\in G^F\text{ is regular with semisimple}\\\n&\text{part conjugate in }G^F\text{ to }s,\\[2mm]\n0,&\text{otherwise}.\n\end{cases}\n	\n\nu(g)=\n\begin{cases}\n|Z^0Z^0(s)^F|\,q^{l(Z^0(s))}\dfrac{|Z(s)^F|}{|Z^0(s)^F|},\n&\text{si }g\in G^F\text{ est régulier, de partie semi-simple}\\\n&\text{conjuguée à }s\text{ dans }G^F,\\[2mm]\n0,&\text{sinon}.\n\end{cases}\n	\nu(g)=\begin{cases}|Z^0Z^0(s)^F|\,q^{l(Z^0(s))}\dfrac{|Z(s)^F|}{|Z^0(s)^F|},&\TEXT{}g\inG^F\TEXT{}\\&\TEXT{}G^F\TEXT{}s,\\[2mm]0,&\TEXT{}.\end{cases}	\nu(g)=\begin{cases}|Z^0Z^0(s)^F|\,q^{l(Z^0(s))}\dfrac{|Z(s)^F|}{|Z^0(s)^F|},&\TEXT{}g\inG^F\TEXT{}\\&\TEXT{}s\TEXT{}G^F,\\[2mm]0,&\TEXT{}.\end{cases}	ACCEPTED_EQUIVALENT_AFTER_PAIRED_PAGE_REVIEW	The cases display translates only its prose conditions; nu(g), the regular/semisimple conditions, Z-factors, q-power, and zero branch are intact.
54	INLINE	delete	12		\prod_\alpha U_\alpha^*		\prod_\alphaU_\alpha^*		ACCEPTED_EQUIVALENT_AFTER_PAIRED_PAGE_REVIEW	French verbalizes the direct product indexed by simple roots instead of isolating the product as inline math; every U_alpha factor and the later indexed product formulas are retained.
57	INLINE	replace	30	30	(T'\subset S^*)	T'\subset S^*	(T'\subsetS^*)	T'\subsetS^*	ACCEPTED_EQUIVALENT_AFTER_PAIRED_PAGE_REVIEW	French removes only redundant parentheses around T' subset S^*; the mathematical relation is unchanged.
59	INLINE	delete	58		G^{F'}		G^{F'}		ACCEPTED_EQUIVALENT_AFTER_PAIRED_PAGE_REVIEW	Paired page review confirms a French word-order, punctuation, math-span boundary, or repeated-symbol relocation only; no mathematical object, relation, hypothesis, formula, tag, or diagram is lost.
59	INLINE	insert		60		G^{F'}		G^{F'}	ACCEPTED_EQUIVALENT_AFTER_PAIRED_PAGE_REVIEW	Paired page review confirms a French word-order, punctuation, math-span boundary, or repeated-symbol relocation only; no mathematical object, relation, hypothesis, formula, tag, or diagram is lost.
