edge_id,pdf_page,annotation_index,source_rectangle,visible_text,action_type,target_id,target_label,target_kind,target_page,status,pdf_sha256
ega1.edge.sha256.968295cf792b7a44086c117fb0926ec191afac60e63fa3a3c34dea810c747171,1,10,"512.038,493.289,522.0,500.133",19,GoTo,ega1.reader.generated.section-2,,generated,19,active_resolved,0DC301F1998AA4E6A97ABD92197BB94A3F7FBEE1847261CC7BB69E0F8E6D8C58
ega1.edge.sha256.56552528083b1af20657f51e3857cbc0c827fba52d4d208ce490408991db2ce8,1,11,"512.038,480.736,522.0,487.58",19,GoTo,ega1.reader.generated.subsection-2-1,,generated,19,active_resolved,0DC301F1998AA4E6A97ABD92197BB94A3F7FBEE1847261CC7BB69E0F8E6D8C58
ega1.edge.sha256.2ac49dd53b4c49ca84d2afa2384a89683901d08d44a0b90bed3fc8b3fbabbdf6,1,12,"512.038,468.183,522.0,475.027",20,GoTo,ega1.reader.generated.subsection-2-2,,generated,20,active_resolved,0DC301F1998AA4E6A97ABD92197BB94A3F7FBEE1847261CC7BB69E0F8E6D8C58
ega1.edge.sha256.f27dda2b565359cded7571f225717015f80da824db36ec3097d13f6dd371414e,1,13,"512.038,455.63,522.0,462.474",21,GoTo,ega1.reader.generated.subsection-2-3,,generated,21,active_resolved,0DC301F1998AA4E6A97ABD92197BB94A3F7FBEE1847261CC7BB69E0F8E6D8C58
ega1.edge.sha256.82b8b634496d6655ab103d3ec17617407b77620422153578d7776bad62e42892,1,14,"512.037,443.077,522.0,449.921",22,GoTo,ega1.reader.generated.subsection-2-4,,generated,21,active_resolved,0DC301F1998AA4E6A97ABD92197BB94A3F7FBEE1847261CC7BB69E0F8E6D8C58
ega1.edge.sha256.8195dab502c669adc309d0c82c4a0476116a0a4939a83932bec02cc766b1208b,1,15,"512.038,430.524,522.0,437.368",23,GoTo,ega1.reader.generated.subsection-2-5,,generated,23,active_resolved,0DC301F1998AA4E6A97ABD92197BB94A3F7FBEE1847261CC7BB69E0F8E6D8C58
ega1.edge.sha256.9be8127a6cc9d96d4b4a987a41954a89f591e02836bd7a5c7624ff72c95f08a2,1,16,"512.038,417.971,522.0,424.815",24,GoTo,ega1.reader.generated.section-3,,generated,24,active_resolved,0DC301F1998AA4E6A97ABD92197BB94A3F7FBEE1847261CC7BB69E0F8E6D8C58
ega1.edge.sha256.1cb4bb7117c519b21d936fd5be931546efd313e94ae3932c85f55c22affac5ec,1,17,"512.038,405.418,522.0,412.262",24,GoTo,ega1.reader.generated.subsection-3-1,,generated,24,active_resolved,0DC301F1998AA4E6A97ABD92197BB94A3F7FBEE1847261CC7BB69E0F8E6D8C58
ega1.edge.sha256.b353e45ba75896aa924e9dba98e8e6ae30b58f1b05595254eee2b3279b4c3278,1,18,"512.038,392.865,522.0,399.71",24,GoTo,ega1.reader.generated.subsection-3-2,,generated,24,active_resolved,0DC301F1998AA4E6A97ABD92197BB94A3F7FBEE1847261CC7BB69E0F8E6D8C58
ega1.edge.sha256.09fd11fbd683972671a3c798cac14158b2b52d3a153b46e921b4e64a199361c3,1,19,"512.038,380.312,522.0,387.157",27,GoTo,ega1.reader.generated.subsection-3-3,,generated,27,active_resolved,0DC301F1998AA4E6A97ABD92197BB94A3F7FBEE1847261CC7BB69E0F8E6D8C58
ega1.edge.sha256.bcc331f0844c1f1e9175a477806cef56402651dd42cad0bfb1affdeca2c3f995,1,20,"512.038,367.759,522.0,374.604",30,GoTo,ega1.reader.generated.subsection-3-4,,generated,29,active_resolved,0DC301F1998AA4E6A97ABD92197BB94A3F7FBEE1847261CC7BB69E0F8E6D8C58
ega1.edge.sha256.7707fe2b70afd01002347d2a42daca9b6f8e5e249c55fc462ba1ca6899d17ef1,1,21,"512.038,355.206,522.0,362.051",32,GoTo,ega1.reader.generated.subsection-3-5,,generated,32,active_resolved,0DC301F1998AA4E6A97ABD92197BB94A3F7FBEE1847261CC7BB69E0F8E6D8C58
ega1.edge.sha256.d13f98b3a5c73127ed8269d6750256421edb8168ae5923d04446e3afa587c88d,1,22,"512.037,342.653,522.0,349.498",34,GoTo,ega1.reader.generated.subsection-3-6,,generated,34,active_resolved,0DC301F1998AA4E6A97ABD92197BB94A3F7FBEE1847261CC7BB69E0F8E6D8C58
ega1.edge.sha256.9edd19fa77d6ab68b145e71416f6c7dc880b6c59b14aeb05bca014775b730606,1,23,"512.038,330.1,522.0,336.945",35,GoTo,ega1.reader.generated.subsection-3-7,,generated,35,active_resolved,0DC301F1998AA4E6A97ABD92197BB94A3F7FBEE1847261CC7BB69E0F8E6D8C58
ega1.edge.sha256.37dfde75dbca0abd47c735a4a444cca03ee4eda39ed5fe70b54cd31ea54de757,1,24,"512.038,317.547,522.0,324.392",36,GoTo,ega1.reader.generated.section-4,,generated,36,active_resolved,0DC301F1998AA4E6A97ABD92197BB94A3F7FBEE1847261CC7BB69E0F8E6D8C58
ega1.edge.sha256.0a85290bda63a2b5450a4dca19afc899fcbab15616941dfa2d8d717a2fb1e290,1,25,"512.038,304.994,522.0,311.839",36,GoTo,ega1.reader.generated.subsection-4-1,,generated,36,active_resolved,0DC301F1998AA4E6A97ABD92197BB94A3F7FBEE1847261CC7BB69E0F8E6D8C58
ega1.edge.sha256.f24e4672f360ce5c737c9c4ff6cf38acb85061042453ac4a08ab921943211d50,1,26,"512.038,292.442,522.0,299.286",38,GoTo,ega1.reader.generated.subsection-4-2,,generated,38,active_resolved,0DC301F1998AA4E6A97ABD92197BB94A3F7FBEE1847261CC7BB69E0F8E6D8C58
ega1.edge.sha256.6cd731aa6254b599dbf622c0b11991c7e8354c9f903387eb23bebb69fc081066,1,27,"512.038,279.889,522.0,286.733",40,GoTo,ega1.reader.generated.subsection-4-3,,generated,39,active_resolved,0DC301F1998AA4E6A97ABD92197BB94A3F7FBEE1847261CC7BB69E0F8E6D8C58
ega1.edge.sha256.94223a803c5c2fb4e7004f9751f11f4fc18f8c30417c97871e173543090207c4,1,28,"512.038,267.336,522.0,274.18",41,GoTo,ega1.reader.generated.subsection-4-4,,generated,40,active_resolved,0DC301F1998AA4E6A97ABD92197BB94A3F7FBEE1847261CC7BB69E0F8E6D8C58
ega1.edge.sha256.c99b4db6fe85a07028f844081de64c054bbfd75c4818502984ff052c8811349c,1,29,"512.038,254.783,522.0,261.627",42,GoTo,ega1.reader.generated.subsection-4-5,,generated,41,active_resolved,0DC301F1998AA4E6A97ABD92197BB94A3F7FBEE1847261CC7BB69E0F8E6D8C58
ega1.edge.sha256.fb0c3d67e4df9541f265132961e5bc7d926b2937058bc874d39f963fc6f98b4e,1,30,"512.038,242.23,522.0,249.074",42,GoTo,ega1.reader.generated.section-5,,generated,42,active_resolved,0DC301F1998AA4E6A97ABD92197BB94A3F7FBEE1847261CC7BB69E0F8E6D8C58
ega1.edge.sha256.8b11215fac8dac92220ee79b452ede12226cc8a09ee6dc6aa97d6e7939a32e7e,1,31,"512.038,229.677,522.0,236.521",42,GoTo,ega1.reader.generated.subsection-5-1,,generated,42,active_resolved,0DC301F1998AA4E6A97ABD92197BB94A3F7FBEE1847261CC7BB69E0F8E6D8C58
ega1.edge.sha256.7d3ee7b4aefc87ee5ce49d00f7a8fa18d05f5cd5a4318581c1fc7a441ed1301f,1,32,"512.038,217.124,522.0,223.968",45,GoTo,ega1.reader.generated.subsection-5-2,,generated,45,active_resolved,0DC301F1998AA4E6A97ABD92197BB94A3F7FBEE1847261CC7BB69E0F8E6D8C58
ega1.edge.sha256.025b7d5c24023fb7de1fdf113429ede57440c74fc5494b510f4ef6b204d7f1a9,1,33,"512.038,204.571,522.0,211.415",46,GoTo,ega1.reader.generated.subsection-5-3,,generated,46,active_resolved,0DC301F1998AA4E6A97ABD92197BB94A3F7FBEE1847261CC7BB69E0F8E6D8C58
ega1.edge.sha256.fd74a885b6eddf64774ee90847da6cb7a48c7f06e628270eb979ee0a82987ed9,1,34,"512.038,192.018,522.0,198.862",49,GoTo,ega1.reader.generated.subsection-5-4,,generated,48,active_resolved,0DC301F1998AA4E6A97ABD92197BB94A3F7FBEE1847261CC7BB69E0F8E6D8C58
ega1.edge.sha256.6dee9fc490cf4a0940e8a97a6dbda21f34e50677b8620aa0e4b1f1cf32e7c7b5,1,35,"512.038,179.465,522.0,186.309",50,GoTo,ega1.reader.generated.subsection-5-5,,generated,49,active_resolved,0DC301F1998AA4E6A97ABD92197BB94A3F7FBEE1847261CC7BB69E0F8E6D8C58
ega1.edge.sha256.fcf4b68038c291fcd7009a65f74ad3e26ee74de4a2985a4aa743d1b08a9abc35,1,36,"512.038,166.912,522.0,173.756",53,GoTo,ega1.reader.generated.section-6,,generated,53,active_resolved,0DC301F1998AA4E6A97ABD92197BB94A3F7FBEE1847261CC7BB69E0F8E6D8C58
ega1.edge.sha256.2fc4066d2228ef391df3c516eb81e661c058b8639eb99d8d52c34995058af7b9,1,37,"512.038,154.359,522.0,161.203",53,GoTo,ega1.reader.generated.subsection-6-1,,generated,53,active_resolved,0DC301F1998AA4E6A97ABD92197BB94A3F7FBEE1847261CC7BB69E0F8E6D8C58
ega1.edge.sha256.0f25f595f4e187309442fac840a6d907eabec439a1cfe9a92b47d8d4bb1b1d3f,1,38,"512.038,141.806,522.0,148.65",55,GoTo,ega1.reader.generated.subsection-6-2,,generated,55,active_resolved,0DC301F1998AA4E6A97ABD92197BB94A3F7FBEE1847261CC7BB69E0F8E6D8C58
ega1.edge.sha256.2a5a869a6139caab459dfd14dbee6a339c1d5bca4f6470a5dbef5adf9eb1ea2f,1,39,"512.038,129.253,522.0,136.097",56,GoTo,ega1.reader.generated.subsection-6-3,,generated,56,active_resolved,0DC301F1998AA4E6A97ABD92197BB94A3F7FBEE1847261CC7BB69E0F8E6D8C58
ega1.edge.sha256.48bc7a3c299639cf8baaf1660f62ee0483c9cd79351727cf80d1070c682d4587,1,40,"512.038,116.7,522.0,123.544",58,GoTo,ega1.reader.generated.subsection-6-4,,generated,58,active_resolved,0DC301F1998AA4E6A97ABD92197BB94A3F7FBEE1847261CC7BB69E0F8E6D8C58
ega1.edge.sha256.b4453ae95ae25ca7ae22f9ddcb9c6fea070e84ca2b1a433b1dc66baa35f1b77f,1,41,"512.038,104.147,522.0,110.991",60,GoTo,ega1.reader.generated.subsection-6-5,,generated,60,active_resolved,0DC301F1998AA4E6A97ABD92197BB94A3F7FBEE1847261CC7BB69E0F8E6D8C58
ega1.edge.sha256.d293aa36abd59db15098af61db5ae24f86412bf10709d0000a2f213ea80c04aa,1,42,"512.038,91.594,522.0,98.438",62,GoTo,ega1.reader.generated.subsection-6-6,,generated,62,active_resolved,0DC301F1998AA4E6A97ABD92197BB94A3F7FBEE1847261CC7BB69E0F8E6D8C58
ega1.edge.sha256.86eccd02ba9905ea959e5ce567f1ac4ae792c5e47021720d0a5c349f46d66ae3,1,43,"512.037,79.041,522.0,85.885",64,GoTo,ega1.reader.generated.section-7,,generated,64,active_resolved,0DC301F1998AA4E6A97ABD92197BB94A3F7FBEE1847261CC7BB69E0F8E6D8C58
ega1.edge.sha256.e7ae26f393986b81b9e73ec059a760b5dc881af54fab6ac2878b103b2400ad62,1,44,"512.038,66.488,522.0,73.332",64,GoTo,ega1.reader.generated.subsection-7-1,,generated,64,active_resolved,0DC301F1998AA4E6A97ABD92197BB94A3F7FBEE1847261CC7BB69E0F8E6D8C58
ega1.edge.sha256.bfb6c97e27ac9a5690ab196539ad72e26b243dc5702a1e59f1f037bf6484f841,1,45,"512.038,53.935,522.0,60.78",67,GoTo,ega1.reader.generated.subsection-7-2,,generated,67,active_resolved,0DC301F1998AA4E6A97ABD92197BB94A3F7FBEE1847261CC7BB69E0F8E6D8C58
ega1.edge.sha256.0a7a32e08c4ba1bb12834423a08d5484acdaf12abac184c3f23d8993c0c38f86,2,0,"512.038,727.973,522.0,734.817",69,GoTo,ega1.reader.generated.subsection-7-3,,generated,69,active_resolved,0DC301F1998AA4E6A97ABD92197BB94A3F7FBEE1847261CC7BB69E0F8E6D8C58
ega1.edge.sha256.fb493c02d69b85e16b110fa1ce162bfff857929f2177a1bfaa65769affde7891,2,1,"512.038,715.42,522.0,722.264",70,GoTo,ega1.reader.generated.subsection-7-4,,generated,70,active_resolved,0DC301F1998AA4E6A97ABD92197BB94A3F7FBEE1847261CC7BB69E0F8E6D8C58
ega1.edge.sha256.ccc2281a88aec068f5b38c1197e05d55a6d6379d63f3f1a0881f5320d930d025,2,2,"512.038,702.867,522.0,709.711",71,GoTo,ega1.reader.generated.section-8,,generated,71,active_resolved,0DC301F1998AA4E6A97ABD92197BB94A3F7FBEE1847261CC7BB69E0F8E6D8C58
ega1.edge.sha256.5d839bd03300a9178deb26ef2bfa1fa9679ffcb30329b5dc8e2eb18fa652264b,2,3,"512.038,690.314,522.0,697.158",71,GoTo,ega1.reader.generated.subsection-8-1,,generated,71,active_resolved,0DC301F1998AA4E6A97ABD92197BB94A3F7FBEE1847261CC7BB69E0F8E6D8C58
ega1.edge.sha256.7a92504783f42a2c43b5d4c49813669d13ab18cff8e96bea2e649528f4e49a97,2,4,"512.038,677.761,522.0,684.605",72,GoTo,ega1.reader.generated.subsection-8-2,,generated,72,active_resolved,0DC301F1998AA4E6A97ABD92197BB94A3F7FBEE1847261CC7BB69E0F8E6D8C58
ega1.edge.sha256.8e7f71da341f5d6742f282cbdecda3b1b45a516c89a4613cff7e5cf412093786,2,5,"512.038,665.208,522.0,672.052",74,GoTo,ega1.reader.generated.subsection-8-3,,generated,74,active_resolved,0DC301F1998AA4E6A97ABD92197BB94A3F7FBEE1847261CC7BB69E0F8E6D8C58
ega1.edge.sha256.ddee669b6eb94342c14171eeb5658cf85558fb8ba3539e19db6b4fd463063df6,2,6,"512.038,652.655,522.0,659.499",75,GoTo,ega1.reader.generated.section-9,,generated,75,active_resolved,0DC301F1998AA4E6A97ABD92197BB94A3F7FBEE1847261CC7BB69E0F8E6D8C58
ega1.edge.sha256.40133ead5b6aec732d26ae2894fbe417a6f5e0d3362d4d055bade2159938b0ca,2,7,"512.038,640.102,522.0,646.946",75,GoTo,ega1.reader.generated.subsection-9-1,,generated,75,active_resolved,0DC301F1998AA4E6A97ABD92197BB94A3F7FBEE1847261CC7BB69E0F8E6D8C58
ega1.edge.sha256.e198f27b71b849897668b752c915a6af96ba09e9a9874cf4312e9a814ab8738b,2,8,"512.038,627.549,522.0,634.393",77,GoTo,ega1.reader.generated.subsection-9-2,,generated,77,active_resolved,0DC301F1998AA4E6A97ABD92197BB94A3F7FBEE1847261CC7BB69E0F8E6D8C58
ega1.edge.sha256.01d344412d3513acb2d6547dbc44f21583f51d73149db03ec7cc804620e3439d,2,9,"512.038,614.996,522.0,621.84",78,GoTo,ega1.reader.generated.subsection-9-3,,generated,78,active_resolved,0DC301F1998AA4E6A97ABD92197BB94A3F7FBEE1847261CC7BB69E0F8E6D8C58
ega1.edge.sha256.c322325616249785e3a6793239262d57468a0ae3b9179f1f4605d4cc2ac70ad2,2,10,"512.038,602.443,522.0,609.287",79,GoTo,ega1.reader.generated.subsection-9-4,,generated,79,active_resolved,0DC301F1998AA4E6A97ABD92197BB94A3F7FBEE1847261CC7BB69E0F8E6D8C58
ega1.edge.sha256.5431d1343aa8ec60fd662ce1da73a88a4d99494f0f845a303fceb4f5e16dfbf1,2,11,"512.038,589.89,522.0,596.734",81,GoTo,ega1.reader.generated.subsection-9-5,,generated,80,active_resolved,0DC301F1998AA4E6A97ABD92197BB94A3F7FBEE1847261CC7BB69E0F8E6D8C58
ega1.edge.sha256.fa74b7f8b1e75b3d25f06538983a09abcffc88e42cef60b6806b285aa669a23e,2,12,"512.038,577.337,522.001,584.181",83,GoTo,ega1.reader.generated.subsection-9-6,,generated,82,active_resolved,0DC301F1998AA4E6A97ABD92197BB94A3F7FBEE1847261CC7BB69E0F8E6D8C58
ega1.edge.sha256.0f6d6c4e9e44fb92fc9b7077b7ed79af0c94b59797f7b87e6e9b41efa9decb47,2,13,"512.037,564.784,522.0,571.628",84,GoTo,ega1.reader.generated.section-10,,generated,84,active_resolved,0DC301F1998AA4E6A97ABD92197BB94A3F7FBEE1847261CC7BB69E0F8E6D8C58
ega1.edge.sha256.ff6b6db1e6e50f8218654788e31b0e892d11cad8baeb4499b58bb3b2a1bc6dc0,2,14,"512.037,552.231,522.0,559.075",84,GoTo,ega1.reader.generated.subsection-10-1,,generated,84,active_resolved,0DC301F1998AA4E6A97ABD92197BB94A3F7FBEE1847261CC7BB69E0F8E6D8C58
ega1.edge.sha256.7874b8b034a9e5ba7168ae5d6035a1e6fd8e6cdd480dc2202d4836f90946f376,2,15,"512.038,539.678,522.0,546.522",85,GoTo,ega1.reader.generated.subsection-10-2,,generated,85,active_resolved,0DC301F1998AA4E6A97ABD92197BB94A3F7FBEE1847261CC7BB69E0F8E6D8C58
ega1.edge.sha256.a29d896343e9d14b48be8b15b7591d3dd5d925c60c057e62ff7fa06139ce4875,2,16,"512.038,527.125,522.0,533.969",86,GoTo,ega1.reader.generated.subsection-10-3,,generated,86,active_resolved,0DC301F1998AA4E6A97ABD92197BB94A3F7FBEE1847261CC7BB69E0F8E6D8C58
ega1.edge.sha256.923d6b2b4d689cc529d708f9fead89c6721229265ade4ed777c1e0e55aa19a08,2,17,"512.038,514.572,522.0,521.416",87,GoTo,ega1.reader.generated.subsection-10-4,,generated,87,active_resolved,0DC301F1998AA4E6A97ABD92197BB94A3F7FBEE1847261CC7BB69E0F8E6D8C58
ega1.edge.sha256.0945d575eea43a3a64cdb5757b7f730efc8fe8c09b07dc8b93f0759e8b31d8ef,2,18,"512.038,502.019,522.0,508.864",88,GoTo,ega1.reader.generated.subsection-10-5,,generated,88,active_resolved,0DC301F1998AA4E6A97ABD92197BB94A3F7FBEE1847261CC7BB69E0F8E6D8C58
ega1.edge.sha256.8d1a29ff701fd33ba75cdd5f51fd368c8446219003dd46eafa4aee1dab6cfcdf,2,19,"512.038,489.466,522.0,496.311",90,GoTo,ega1.reader.generated.subsection-10-6,,generated,90,active_resolved,0DC301F1998AA4E6A97ABD92197BB94A3F7FBEE1847261CC7BB69E0F8E6D8C58
ega1.edge.sha256.71379bdc982ae7fd260b24eb4755b0157155e8eb85a3122d04d85142ac62d112,2,20,"512.038,476.913,522.0,483.758",93,GoTo,ega1.reader.generated.subsection-10-7,,generated,93,active_resolved,0DC301F1998AA4E6A97ABD92197BB94A3F7FBEE1847261CC7BB69E0F8E6D8C58
ega1.edge.sha256.44ee4b5008fee7414b3ead6c02b21a48e8708f95ca25d523ecd7dbfb63c5bf41,2,21,"512.038,464.36,522.0,471.205",94,GoTo,ega1.reader.generated.subsection-10-8,,generated,94,active_resolved,0DC301F1998AA4E6A97ABD92197BB94A3F7FBEE1847261CC7BB69E0F8E6D8C58
ega1.edge.sha256.15caebe098d665fe3a4508e24c6c433390c498b4fc50e28b6aa44a2113e939ea,2,22,"512.038,451.807,522.0,458.652",97,GoTo,ega1.reader.generated.subsection-10-9,,generated,97,active_resolved,0DC301F1998AA4E6A97ABD92197BB94A3F7FBEE1847261CC7BB69E0F8E6D8C58
ega1.edge.sha256.6e74cf500c49f1802d755109482f4086b96e84781e16f993483b7c31bc3704ba,2,23,"512.038,439.254,522.0,446.099",99,GoTo,ega1.reader.generated.subsection-10-10,,generated,99,active_resolved,0DC301F1998AA4E6A97ABD92197BB94A3F7FBEE1847261CC7BB69E0F8E6D8C58
ega1.edge.sha256.d58b7696a004c5bdd8a995129b3115c832fd9bc151c16432d1bff9f235862564,2,24,"507.056,426.701,522.0,433.546",101,GoTo,ega1.reader.generated.subsection-10-11,,generated,101,active_resolved,0DC301F1998AA4E6A97ABD92197BB94A3F7FBEE1847261CC7BB69E0F8E6D8C58
ega1.edge.sha256.5a2155c8f6d5259b2c667cf718b222ac0a93456d67bb7cb0ec348c314603b0c5,2,25,"507.056,414.149,522.0,420.993",103,GoTo,ega1.reader.generated.subsection-10-12,,generated,103,active_resolved,0DC301F1998AA4E6A97ABD92197BB94A3F7FBEE1847261CC7BB69E0F8E6D8C58
ega1.edge.sha256.fd9b039f837cc544bc617a9b536ded0f8ca82874665301ab3131f27318fc05d5,2,26,"507.056,401.596,522.0,408.44",104,GoTo,ega1.reader.generated.subsection-10-13,,generated,104,active_resolved,0DC301F1998AA4E6A97ABD92197BB94A3F7FBEE1847261CC7BB69E0F8E6D8C58
ega1.edge.sha256.ab647feb55ba7d03345732a4dbe1da4e5c461300e6de0fc17bb13395ae16f314,2,27,"507.056,389.043,522.0,395.887",106,GoTo,ega1.reader.generated.subsection-10-14,,generated,105,active_resolved,0DC301F1998AA4E6A97ABD92197BB94A3F7FBEE1847261CC7BB69E0F8E6D8C58
ega1.edge.sha256.6f0d7e81f692809080a99c85c5fff0c0c5cd9f586bfcb073a146b06c85cb5c2b,2,28,"507.056,376.49,522.0,383.334",108,GoTo,ega1.reader.generated.subsection-10-15,,generated,107,active_resolved,0DC301F1998AA4E6A97ABD92197BB94A3F7FBEE1847261CC7BB69E0F8E6D8C58
ega1.edge.sha256.4758a5d2344084ae5307519b8c400aab2e5f7778b5cca5396e0124e903bd6635,2,29,"507.056,363.937,522.0,370.781",109,GoTo,ega1.reader.generated.sectionstar-713,,generated,109,active_resolved,0DC301F1998AA4E6A97ABD92197BB94A3F7FBEE1847261CC7BB69E0F8E6D8C58
ega1.edge.sha256.95b6201fb1d37e54b83d8fa9807991817a8c34cf7718c842c3271517a0b0bd52,2,30,"507.056,351.384,522.0,358.228",110,GoTo,ega1.reader.generated.sectionstar-714,,generated,110,active_resolved,0DC301F1998AA4E6A97ABD92197BB94A3F7FBEE1847261CC7BB69E0F8E6D8C58
ega1.edge.sha256.3cf71c8867477e03839b20cba71a1ea586734759cedaa903a1e35b7c5a2569ed,2,31,"507.056,338.831,522.0,345.675",111,GoTo,ega1.reader.generated.sectionstar-721,,generated,111,active_resolved,0DC301F1998AA4E6A97ABD92197BB94A3F7FBEE1847261CC7BB69E0F8E6D8C58
ega1.edge.sha256.92abd9668d0641607f4e5695dedc63d9e6d0640bc1d6cec97e473ed590aa4d47,2,32,"188.606,263.584,198.569,272.829",§1.,GoTo,ega1.c01.sec.1,section:I.1,sec,3,active_resolved,0DC301F1998AA4E6A97ABD92197BB94A3F7FBEE1847261CC7BB69E0F8E6D8C58
ega1.edge.sha256.3eda2a896ae30425c2dd22c1c3faf0a1af486dbc01e4b8415001e8839e9695ec,2,33,"188.606,251.031,198.569,260.277",§2.,GoTo,ega1.c01.sec.2,section:I.2,sec,19,active_resolved,0DC301F1998AA4E6A97ABD92197BB94A3F7FBEE1847261CC7BB69E0F8E6D8C58
ega1.edge.sha256.78cb168b4cb9314b044b6211a261d28d0c3a378c9d46a473b50a3193ed730ca1,2,34,"188.606,238.478,198.569,247.724",§3.,GoTo,ega1.c01.sec.3,section:I.3,sec,24,active_resolved,0DC301F1998AA4E6A97ABD92197BB94A3F7FBEE1847261CC7BB69E0F8E6D8C58
ega1.edge.sha256.c0d9d7d3e4b2e569b1ce290d8e23e04275551651d92e6ce8b91bf9247e735706,2,35,"188.606,225.925,198.569,235.171",§4.,GoTo,ega1.c01.sec.4,section:I.4,sec,36,active_resolved,0DC301F1998AA4E6A97ABD92197BB94A3F7FBEE1847261CC7BB69E0F8E6D8C58
ega1.edge.sha256.cfea0ae64334337e2551cb5c2e2c31b4038b23ed8ce7c02bc5cfc164852a9a43,2,36,"188.606,213.372,198.569,222.618",§5.,GoTo,ega1.c01.sec.5,section:I.5,sec,42,active_resolved,0DC301F1998AA4E6A97ABD92197BB94A3F7FBEE1847261CC7BB69E0F8E6D8C58
ega1.edge.sha256.32438e2fa1225809830c9ad12aedd5a51ceed9e788b3e9cff17f2eb03b6e1906,2,37,"188.606,200.82,198.569,210.065",§6.,GoTo,ega1.c01.sec.6,section:I.6,sec,53,active_resolved,0DC301F1998AA4E6A97ABD92197BB94A3F7FBEE1847261CC7BB69E0F8E6D8C58
ega1.edge.sha256.e5e6f614193607ad4236ee33c3f7136e1186652fd350a66cb8bbab848b53c9df,2,38,"188.606,188.267,198.569,197.512",§7.,GoTo,ega1.c01.sec.7,section:I.7,sec,64,active_resolved,0DC301F1998AA4E6A97ABD92197BB94A3F7FBEE1847261CC7BB69E0F8E6D8C58
