component_audit_id,component_id,source_tex_lines,bounded_tex_found_exact,source_normalized_sha256,target_normalized_sha256,target_start_line,target_end_line,exact_body,status
SGA2-VIII-CUM-R5-IND-COMP-011,SGA2-VIII-CUM-C11,2661-2668,true,8C32EE2A5C2C7D8DECEEB1CE6924C5616879E3AA42995494D88879696C261F3A,8C32EE2A5C2C7D8DECEEB1CE6924C5616879E3AA42995494D88879696C261F3A,411,430,true,pass
SGA2-VIII-CUM-R5-IND-COMP-012,SGA2-VIII-CUM-C12,2670-2681,true,D6FE0BBDEFA485BE18328A12108F587AAB70910B713A67F49D040AD20CC8ABA3,D6FE0BBDEFA485BE18328A12108F587AAB70910B713A67F49D040AD20CC8ABA3,436,455,true,pass
SGA2-VIII-CUM-R5-IND-COMP-013,SGA2-VIII-CUM-C13,2683-2713,true,13FCE185A4E2AF6DEB6EE2A0894878C06E0F3D8149A3264F6EDB9C0085900F4C,13FCE185A4E2AF6DEB6EE2A0894878C06E0F3D8149A3264F6EDB9C0085900F4C,461,492,true,pass
SGA2-VIII-CUM-R5-IND-COMP-014,SGA2-VIII-CUM-C14,2715-2721,true,3281943C68354F7E02D6B797BDA6633DDF986317C680453C2388383698A4E546,3281943C68354F7E02D6B797BDA6633DDF986317C680453C2388383698A4E546,501,514,true,pass
SGA2-VIII-CUM-R5-IND-COMP-015,SGA2-VIII-CUM-C15,2723-2731,true,9702C4D4222AB4A0F79C630FFED43D8ABF29EB889C998D21EAFDB375548F484D,9702C4D4222AB4A0F79C630FFED43D8ABF29EB889C998D21EAFDB375548F484D,520,551,true,pass
SGA2-VIII-CUM-R5-IND-COMP-016,SGA2-VIII-CUM-C16,2733-2750,true,B994A0720E584CC38AE5F1AB87F1AD1E17443964B3ACE47553FA85EE0494BB14,B994A0720E584CC38AE5F1AB87F1AD1E17443964B3ACE47553FA85EE0494BB14,557,596,true,pass
SGA2-VIII-CUM-R5-IND-COMP-017,SGA2-VIII-CUM-C17,2751-2794,true,2C9D792DA995EFC48B748CE5EC38ECEC85B162E29D3943740661BD55A5180089,2C9D792DA995EFC48B748CE5EC38ECEC85B162E29D3943740661BD55A5180089,600,685,true,pass
SGA2-VIII-CUM-R5-IND-COMP-018,SGA2-VIII-CUM-C18,2796-2805,true,1368184C90B34BC45E1762EA0450C21A5BB3B1411AEBB0543507AEBAD425314B,1368184C90B34BC45E1762EA0450C21A5BB3B1411AEBB0543507AEBAD425314B,691,717,true,pass
SGA2-VIII-CUM-R5-IND-COMP-019,SGA2-VIII-CUM-C19,2807-2819,true,E164754EB6CC37010AA2469039D1C93A777B0EF423B178FB44E75F29DF9603FD,E164754EB6CC37010AA2469039D1C93A777B0EF423B178FB44E75F29DF9603FD,723,751,true,pass
SGA2-VIII-CUM-R5-IND-COMP-020,SGA2-VIII-CUM-C20,2820-2826,true,AD84302F7253B0A4862BC5EAADB091AA8C69F6DB4C6A0537C9300BC3F9F97B63,AD84302F7253B0A4862BC5EAADB091AA8C69F6DB4C6A0537C9300BC3F9F97B63,755,768,true,pass
SGA2-VIII-CUM-R5-IND-COMP-021,SGA2-VIII-CUM-C21,2828-2854,true,132DED99A1E265D70C16EE60D20C1984C509CEC2AAAB2CDC57D4D16A68323ABA,132DED99A1E265D70C16EE60D20C1984C509CEC2AAAB2CDC57D4D16A68323ABA,774,840,true,pass
SGA2-VIII-CUM-R5-IND-COMP-022,SGA2-VIII-CUM-C22,2856-2872,true,B729B1A1F9A9DA55395E44060C6997FDA650D3705A1CF1FD1282519DE8A5D902,B729B1A1F9A9DA55395E44060C6997FDA650D3705A1CF1FD1282519DE8A5D902,846,910,true,pass
SGA2-VIII-CUM-R5-IND-COMP-023,SGA2-VIII-CUM-C23,2874-2886,true,02474FB0BF332BFD7571762E86CE112A47946CF581DB15FC9A3885D08C4C3EC7,02474FB0BF332BFD7571762E86CE112A47946CF581DB15FC9A3885D08C4C3EC7,916,951,true,pass
SGA2-VIII-CUM-R5-IND-COMP-024,SGA2-VIII-CUM-C24,2888-2899,true,972A7B6BE41F353600812D736368DAA5F943011AC9D4B5F8107FD15B047C9EB7,972A7B6BE41F353600812D736368DAA5F943011AC9D4B5F8107FD15B047C9EB7,957,970,true,pass
SGA2-VIII-CUM-R5-IND-COMP-025,SGA2-VIII-CUM-C25,2901-2907,true,CC0A723B69BC62578197CE516075F5FD4E25691CACB9DEC9BE5EC51F4C2A0D73,CC0A723B69BC62578197CE516075F5FD4E25691CACB9DEC9BE5EC51F4C2A0D73,976,987,true,pass
SGA2-VIII-CUM-R5-IND-COMP-026,SGA2-VIII-CUM-C26,2909,true,B065D63E87510B0460DC93BDB074EDD6CACCC3CE195075AE2F8915E52291059B,B065D63E87510B0460DC93BDB074EDD6CACCC3CE195075AE2F8915E52291059B,993,998,true,pass
SGA2-VIII-CUM-R5-IND-COMP-027,SGA2-VIII-CUM-C27,2911-2914,true,49DDAE1C40A775C058FE37663F58D12B8232E97B64C303B111E6B3F2DD23ABBE,49DDAE1C40A775C058FE37663F58D12B8232E97B64C303B111E6B3F2DD23ABBE,1004,1011,true,pass
SGA2-VIII-CUM-R5-IND-COMP-028,SGA2-VIII-CUM-C28,2915-2917,true,481F47542DB52EE26D6E151296E15CD840F63F1336696D2A77C755C20E7B3918,481F47542DB52EE26D6E151296E15CD840F63F1336696D2A77C755C20E7B3918,1015,1021,true,pass
SGA2-VIII-CUM-R5-IND-COMP-029,SGA2-VIII-CUM-C29,2918-2922,true,83F9A482A83D2C15B7DBD0E5BA297D857E14D7EFB4CD63F4A9205ADA4755D733,83F9A482A83D2C15B7DBD0E5BA297D857E14D7EFB4CD63F4A9205ADA4755D733,1025,1034,true,pass
SGA2-VIII-CUM-R5-IND-COMP-030,SGA2-VIII-CUM-C30,2924-2928,true,92D3C7B39C521C431DE8328FF5BD43225C18D6B5E6B943EA2C403FA9AA169AF0,92D3C7B39C521C431DE8328FF5BD43225C18D6B5E6B943EA2C403FA9AA169AF0,1043,1048,true,pass
