concept,stratum,C2,de,en,uk,ru,isv,isv_cyr,cs,sk,pl,sl,hr_sr,bg,es,fr,pt,gl,ca,it,ro,rm,ar,fa,my_id,branch_coverage_slavic,action_class,sensitivity,best_alt_mean_MAG,lane_count
degree,,,Grad eines Primideals; beschränkt in x_i / den Grad k nicht erreichen,degree,зведений степінь,ограниченный по x_i / не достигает степени k,ograničeny po x_i / ne dosega stepena k,ограничены по x_i / не досега степени k,,,,,,,,,,,,,,,,,derajat/darjah,1,,,,2
determinant,curriculum_algebra,yes,Determinante eines hyperkomplexen Systems; Determinanten aus je n Basiselementen und ihren Konjugierten,determinant,k_i-рядні детермінанти,k_i-рядные детерминанты,determinanta hiperkompleksnogo sistema,детерминанта хиперкомплексного система,≈determinanta hiperkompleksnogo sistema [S],≈determinanta hiperkompleksnogo sistema [S],wyznacznik [C],≈determinanta hiperkompleksnogo sistema [S],≈determinanta hiperkompleksnogo sistema [S],,,,,,,,,,محدد,دترمینان,penentu/determinan,3,variant_or_doublet_note,stable,-0.599,4
dimension,curriculum_algebra,yes,Arithmetische Fassung des Dimensionsbegriffes; Dimension schlechthin,dimension,Арифметичне формулювання поняття розмірності,Арифметическая формулировка понятия размерности,Aritmetična formulacija pojma dimenzije,Аритметична формулација појма димензије,≈Aritmetična formulacija pojma dimenzije [S],≈Aritmetična formulacija pojma dimenzije [S],wymiar [C],≈Aritmetična formulacija pojma dimenzije [S],≈Aritmetična formulacija pojma dimenzije [S],,,,,,,,,,بعد,بعد,dimensi,3,confirm_current,stable,-0.705,4
direct product,algebra_general,,,direct product,,,,,,,,,,,,,,,,,,,الضرب المباشر,ضرب مستقیم,,0,,,,2
direct sum,curriculum_algebra,yes,direkte Summe; direkte Summe / direkter Summand,direct sum,пряма сума / прямий доданок,прямая сумма / прямое слагаемое,direktna suma,директна сума,,,,,,,,,,,,,,,مجموع مباشر,جمع مستقیم,,1,,,,3
distributive,,,,distributive,,,,,,,,,,,,,,,,,,,,,distributif/agihan,0,,,,1
divisibility,algebra_invariant_theory,,,divisibility,,,,,,,,,,,divisibilidad,divisibilite,divisibilidade,divisibilidade,divisibilitat,divisibilita,divizibilitate,,,,,0,,,,1
division ring,algebra_invariant_theory,,,division ring,,,,,≈? [S]; marker/těleso [C],≈? [S],ciało(niepr.) [C],marker [C],≈? [S]; marker/tijelo [C],≈? [S]; tjalo [C],anillo de division / cuerpo no conmutativo,corps gauche / anneau de division,anel de divisao,,anell de divisio,,,,,,,2,confirm_current,stable,-0.376,1
domain,algebra_invariant_theory,,,domain,,,,,,,,,,,dominio,domaine,dominio,dominio,domini,dominio,domeniu,,,,,0,,,,1
eigenvalue,,,,eigenvalue,,,,,,,,,,,,,,,,,,,,,nilai eigen/nilai ciri,0,,,,1
element,curriculum_algebra,yes,,element,,,,,≈? [S]; prvek/(infl) [C],≈? [S]; (infl) [C],≈? [S],≈? [S],≈? [S],≈? [S],,,,,,,,,عناصر,عضو,unsur/elemen,2,confirm_current,stable,-0.789,3
elementary divisor,noether_corpus,yes,Elementarteiler; Elementarteilerform,elementary divisor,елементарний дільник,высший элементарный делитель,elementarne dělitelje,елементарне делителје,,,,,,,divisor elemental,diviseur elementaire,,divisor elemental,,,,,,,,1,,,,2
equation,proof_grammar,yes,Gleichung niedrigsten Grades; Nullstelle / Wurzel einer Gleichung,equation,"рівняння ""без афекту""","уравнения ""без аффекта""",dělimy nerazložimym uravnenjem,неразложимо уравненье взходно к Omega_i,,,,,,,,,,,,,,,,,persamaan,1,,,,2
equivalence,sets_maps,,,equivalence,,,,,,,,,,,,,,,,,,,مكافئة,,,0,,,,1
example,proof_grammar,yes,,example,,,,,≈? [S],,≈? [S],≈? [S],≈? [S],≈? [S],,,,,,,,,أمثلة,مثال,contoh,2,confirm_current,stable,-999,3
exercise,proof_grammar,yes,,exercise,,,,,,,,,,,,,,,,,,,تمارين,,,0,,,,1
exists,proof_grammar,yes,,exists,,,,,,,,,,,existe,existe,existe,existe,existeix,esiste,exista,,,,,0,,,,1
extension,algebra_invariant_theory,,,extension,,,,,,,,,,,extension,extension,extensao,extension,extensio,estensione,,extensiun,,,,0,,,,1
factor,"algebra_general,algebra_",,,factor,,,,,,,,,,,factor,facteur,fator,factor,factor,fattore,factor,factur,عامل,عامل,,0,,,,2
factor ring,,,,factor ring,,,,,,,,,,,,,,,,,,,,,gelanggang faktor/ring faktor,0,,,,1
field,curriculum_algebra,yes,(endlicher) algebraischer Körper über; Abelsche Gruppen/Körper,field,Поля та системи раціональних функцій,Поля и системы рациональных функций,Abelove grupy/polja,Галоисова польа / Галоисово разширјено полье,≈Abelove grupy/polja [S]; těleso [C],(ascii) [C],ciało(field) [C],≈Abelove grupy/polja [S]; obseg [C],≈Abelove grupy/polja [S],≈Abelove grupy/polja [S]; pole [C],cuerpo,corps,corpo,campo,camp,campo,corp,camp,حقل,میدان,lapangan/medan,3,confirm_current,stable,-0.765,5
finite,curriculum_algebra,yes,,finite,,,,,,,,,,,finito,fini,finito,finita,finit,finito,finite,finit,,متناهی,terhingga,0,,,,3
finite group,group_theory,,,finite group,,,,,,,,,,,,,,,,,,,,,,0,,,,1
for all,proof_grammar,yes,,for all,,,,,,,,,,,para todo,pour tout,para todo,para todo,per a tot,per ogni,pentru orice,,,,,0,,,,1
form system,noether_corpus,yes,,form system,,,,,,,,,,,,,,,,,,,منظومة الأشكال,دستگاه صورت‌ها,,0,,,,1
formula,proof_grammar,yes,,formula,,,,,,,,,,,,,,,,,,,,,formula/rumus,0,,,,1
function,curriculum_algebra,yes,,function,,,,,,,,,,,,,,,,,,,دالة,تابع,fungsi,0,,,,3
galois,algebra_invariant_theory,,,galois,,,,,,,,,,,Galois,Galois,galois,,galois,galois,,,,,,0,,,,2
greatest common divisor,algebra_invariant_theory,,,greatest common divisor,,,,,,,,,,,maximo comun divisor,diviseur commun,mdc,maximo comun divisor,mcd,mcd,cel mai mare divizor comun,,,,,0,,,,1
ground form,noether_corpus,yes,Grundform; Grundform / Grundformensystem,ground form,основна форма,основная форма,osnovna forma,основна форма,,,,,,,,,,,,,,,شكل أساسي,صورت پایه,,1,,,,2
group,curriculum_algebra,yes,Faktorgruppe; Gleichungen mit vorgeschriebener Gruppe,group,група Брауера,группа Брауэра,Brauerova grupa,властна подгрупа,≈Brauerova grupa [S],≈Brauerova grupa [S],≈Brauerova grupa [S],≈Brauerova grupa [S],≈Brauerova grupa [S],≈Brauerova grupa [S],grupo,groupe,grupo,grupo,grup,gruppo,grup,gruppa,زمرة,گروه,kumpulan/grup,3,confirm_current,stable,-999,5
group action,group_theory,,,group action,,,,,,,,,,,,,,,,,,,,,,0,,,,1
group representation,representation_theory,,,group representation,,,,,,,,,,,,,,,,,,,تمثيل الزمر,,,0,,,,1
homomorphism,curriculum_algebra,yes,Durch den Homomorphismus geht die Diskriminante ... über; R homomorph zu K_i / durch Elemente aus K_i ausdrücken,homomorphism,,,R jest homomorfno k K_i / izraziti črez elementy iz K_i,R јест хомоморфно к K_i / изразити чрез елементы из K_i,≈R jest homomorfno k K_i / izraziti črez elementy iz K_i [S],≈R jest homomorfno k K_i / izraziti črez elementy iz K_i [S],≈R jest homomorfno k K_i / izraziti črez elementy iz K_i [S],≈R jest homomorfno k K_i / izraziti črez elementy iz K_i [S],≈R jest homomorfno k K_i / izraziti črez elementy iz K_i [S],≈R jest homomorfno k K_i / izraziti črez elementy iz K_i [S],homomorfismo,homomorphisme,homomorfismo,homomorfismo,homomorfisme,omomorfismo,,,تشاكل,همریختی,homomorfisma/homomorfisme,2,confirm_current,stable,-999,5
ideal,curriculum_algebra,yes,(p)^alpha oder Einheitsideal; Diskriminantenideal,ideal,власний первинний ідеал,вполне редуцируемые идеалы,(p)^alpha abo jediničny ideal,(p)^alpha або јединичны идеал,≈(p)^alpha abo jediničny ideal [S],≈(p)^alpha abo jediničny ideal [S],≈(p)^alpha abo jediničny ideal [S],≈(p)^alpha abo jediničny ideal [S],≈(p)^alpha abo jediničny ideal [S],≈(p)^alpha abo jediničny ideal [S],ideal,ideal,ideal,ideal,ideal,ideale,ideal,ideal,مثالي,ایده‌آل,ideal/unggulan,3,confirm_current,stable,-999,5
identity,proof_grammar,yes,,identity,,,,,,,,,,,unidad / identidad,unite / identite,identidade,unidade,unitat,unita,unitate,identitad,,,identitas/identiti,0,,,,2
if and only if,proof_grammar,yes,,if and only if,,,,,,,,,,,si y solo si,si et seulement si,se e somente se,se e so se,si i nomes si,se e solo se,daca si numai daca,,,,,0,,,,1
image,curriculum_algebra,yes,,image,,,,,,,,,,,,,,,,,,,مدى,تصویر,imej/citra,0,,,,3
infinite,,,,infinite,,,,,,,,,,,,,,,,,,,,,tak terhingga/tak hingga,0,,,,1
injective,sets_maps,,,injective,,,,,,,,,,,,,,,,,,,,,,0,,,,1
integral domain,,,Integritaetsbereich; Integritätsbereich,integral domain,область цілісності,область целостности,integritetna oblast / kolco bez nulovyh děliteljev,област целости,,,,,,,,,,,,,,,,,daerah integral/domain integral,1,,,,2
invariant,noether_corpus,yes,Invariante Variationsprobleme; Invariante der Gruppe / invariantes Integral,invariant,однорідні ізобарні інваріанти,однородные изобарные инварианты,cěločislovy invariant,хомогенны изобарны инварианты,≈cěločislovy invariant [S],,,,≈cěločislovy invariant [S],,invariante,invariant,invariante,invariante,invariant,invariante,invariant,,ثابت,ناوردا,tak berubah/tak varian/invarian,3,confirm_current,stable,-999,5
invariant theory,noether_corpus,yes,,invariant theory,,,,,,,,,,,,,,,,,,,نظرية الثوابت,نظریهٔ ناورداها,,0,,,,2
inverse,,,,inverse,,,,,,,,,,,,,,,,,,,,,invers/songsang,0,,,,1
irreducible ideal,algebra_invariant_theory,,,irreducible ideal,,,,,,,,,,,ideal irreducible,ideal irreductible,irredutivel,irreducible,irreductible,irriducibile,ireductibil,,,,,0,,,,1
irreducible representation,representation_theory,,,irreducible representation,,,,,,,,,,,,,,,,,,,,,,0,,,,1
isomorphism,curriculum_algebra,yes,Restgruppen isomorph; Unterkörper P isomorph zu o/op,isomorphism,ізоморфний / ізоморфізм,изоморфный / изоморфизм,baza ... prirěđena posrědstvom izomorfizma,база ... приредјена посредством изоморфизма,≈baza ... prirěđena posrědstvom izomorfizma [S],≈baza ... prirěđena posrědstvom izomorfizma [S],≈baza ... prirěđena posrědstvom izomorfizma [S],≈baza ... prirěđena posrědstvom izomorfizma [S],≈baza ... prirěđena posrědstvom izomorfizma [S],≈baza ... prirěđena posrědstvom izomorfizma [S],isomorfismo,isomorphisme,isomorfismo,isomorfismo,isomorfisme,isomorfismo,izomorfism,,تماثل,یکریختی,isomorfisma/isomorfisme,3,confirm_current,stable,-999,5
kernel,curriculum_algebra,yes,,kernel,,,,,≈? [S],≈? [S],≈? [S],≈? [S],,,,,,,,,,,نواة,هسته,kernel/teras,2,confirm_current,stable,-999,3
least common multiple,algebra_invariant_theory,,Darstellung als kleinstes gemeinsames Vielfaches; groesster gemeinsamer Teiler / kleinstes gemeinsames Vielfaches,least common multiple,найменше спільне кратне,наименьшее общее кратное,najmene obče mnogokratno,највечши обчи делитель / најмене обче многократно,,,,,,,minimo comun multiplo,plus petit commun multiple,mmc,minimo comun multiplo,mcm,minimo comune multiplo,,,,,,1,,,,2
left,algebra_invariant_theory,,,left,,,,,,,,,,,izquierda,gauche,esquerdo,esquerdo,esquerra,sinistra,stanga,sanester,,,,0,,,,1
lemma,proof_grammar,yes,Hauptsatz / Hilfssatz / Zusatz / Bemerkung; Hilfssatz,lemma,обернення леми I,обращение леммы I,Pomočny teorem,Помочны теорем,≈Pomočny teorem [S],≈Pomočny teorem [S],≈Pomočny teorem [S]; lemat [C],≈Pomočny teorem [S],≈Pomočny teorem [S],≈Pomočny teorem [S],lema,lemme,lema,lema,lema,lemma,lema,,لمّة,لم,lemma,3,confirm_current,stable,-0.765,5
lie algebra,lie_theory,,,lie algebra,,,,,,,,,,,,,,,,,,,جبر لي,جبر لی,,0,,,,2
lie group,lie_theory,,,lie group,,,,,,,,,,,,,,,,,,,زمر لي,گروه لی,,0,,,,2
linear,,,,linear,,,,,,,,,,,,,,,,,,,,,linear,0,,,,1
linear map,linear_algebra,,,linear map,,,,,,,,,,,,,,,,,,,تطبيق خطي,نگاشت خطی,,0,,,,2
map,,,,map,,,,,,,,,,,,,,,,,,,,,pemetaan,0,,,,1
map/application,sets_maps,,,map/application,,,,,,,,,,,,,,,,,,,تطبيق,نگاشت,,0,,,,2
matrix,curriculum_algebra,yes,,matrix,,,,,matice [C],matice [C],≈? [S],,≈? [S],≈? [S],matriz,matrice,matriz,matriz,matriu,matrice,matrice,matriza,مصفوفة,ماتریس,matriks,2,confirm_current,stable,-0.654,4
maximal ideal,,,,maximal ideal,,,,,,,,,,,,,,,,,,,,,ideal maksimal/unggulan maksimum,0,,,,1
module,curriculum_algebra,yes,Einheitsmodul; Endlichkeitsbedingung; endlicher Modul; Modulbasis,module,головний модуль,главный модуль,K jest razsmatrjany kako Omega-modul,K јест разсматрјаны како Omega-модул,≈K jest razsmatrjany kako Omega-modul [S],≈K jest razsmatrjany kako Omega-modul [S],≈K jest razsmatrjany kako Omega-modul [S],≈K jest razsmatrjany kako Omega-modul [S],≈K jest razsmatrjany kako Omega-modul [S],,modulo,module,modulo,modulo,modul,modulo,modul,modul,مقاسات,مدول,modul,3,confirm_current,stable,-999,5
modulus,noether_corpus,yes,,modulus,,,,,,,,,,,,,,,,,,,مودول,مودول,,0,,,,1
noetherian,algebra_invariant_theory,,,noetherian,,,,,≈? [S]; noetherovský [C],,≈? [S]; noetherowski [C],≈? [S]; noetherski [C],≈? [S],,noetheriano,noetherien,noether,,noether,noether,,,,,Noetherian/Noether,2,confirm_current,stable,-0.705,2
noetherian module,rings_modules,,,noetherian module,,,,,,,,,,,,,,,,,,,المقاسات النوثيرية,مدول نوتری,,0,,,,2
normal subgroup,group_theory,,Normalteiler,normal subgroup,нормальний дільник,нормальный делитель,normalny dělitelj,нормалны делитель,,,,,,,,,,,,,,,,,,1,,,,2
notation,proof_grammar,yes,,notation,,,,,,,,,,,,,,,,,,,,,,0,,,,1
one-sided,algebra_invariant_theory,,,one-sided,,,,,,,,,,,unilateral,unilatere(s),,unilateral,,,,unilateral,,,,0,,,,1
polynomial,curriculum_algebra,yes,Bereich aller geraden Polynome; Polynombereich / Polynome,polynomial,алгебраїчно-цілочисельні поліноми,алгебраически-целочисленные полиномы,algebraično-celočislene polinomy,алгебраично-целочислене полиномы,≈algebraično-celočislene polinomy [S],≈algebraično-celočislene polinomy [S],wielomian [C],≈algebraično-celočislene polinomy [S],≈algebraično-celočislene polinomy [S],,,,,,,,,,كثير حدود,چندجمله‌ای,polinomial,3,variant_or_doublet_note,stable,-0.599,4
power,algebra_invariant_theory,,,power,,,,,,,,,,,potencia,puissance,potencia,potencia,potencia,potenza,putere,potenza,,,,0,,,,1
primary ideal,algebra_invariant_theory,,Komplementpotenz / durch ein Primärideal teilbar; Primärideal,primary ideal,первинний ідеал,первичный идеал,primarny ideal,властны примарны идеал / властно примарна компонента,,,,,,,ideal primario,ideal primaire,ideal primario,,ideal primari,ideale primario,,,,,,1,,,,2
prime ideal,curriculum_algebra,yes,Ausnahmeprimzahlen / Ausnahme-Primideale; Gruppeneinteilung der zugehörigen Primideale,prime ideal,поділ належних простих ідеалів на групи,простой идеал,grupno razděljenje pridruženih prostyh idealov,властно примарне идеалы або просте идеалы,≈grupno razděljenje pridruženih prostyh idealov [S]; prvoideál [C],≈grupno razděljenje pridruženih prostyh idealov [S],ideał pierwszy [C],≈grupno razděljenje pridruženih prostyh idealov [S],≈grupno razděljenje pridruženih prostyh idealov [S],prost ideal [C],ideal primo,ideal premier,ideal primo,,ideal primer,ideale primo,ideal prim,,,,ideal prima/unggulan perdana,3,confirm_current,stable,-0.705,3
problem,proof_grammar,yes,,problem,,,,,,,,,,,,,,,,,,,مسائل,مسئله,,0,,,,2
product,algebra_invariant_theory,,,product,,,,,,,,,,,producto,produit,produto,produto,producte,prodotto,produs,product,,,,0,,,,1
proof,proof_grammar,yes,,proof,,,,,≈? [S]; důkaz [C],≈? [S],dowód/(ascii) [C],≈? [S],≈? [S],≈? [S],demostracion / prueba,demonstration / preuve,prova,demostracion,demostracio,dimostrazione,demonstratie,cumprova,برهان,برهان,bukti/pembuktian,2,confirm_current,stable,-0.658,4
proposition,proof_grammar,yes,,proposition,,,,,,,,,,,,,,,,,,,,,proposisi/pernyataan,0,,,,1
quotient,,,,quotient,,,,,,,,,,,,,,,,,,,,,hasil bagi/kuosien,0,,,,1
quotient group,group_theory,,,quotient group,,,,,,,,,,,,,,,,,,,زمرة خارجية,گروه خارج‌قسمتی,,0,,,,2
quotient module,rings_modules,,,quotient module,,,,,,,,,,,,,,,,,,,,,,0,,,,1
rank,algebra_invariant_theory,,Rang; algebraischer Rang,rank,алгебраїчний ранг,алгебраический ранг,algebraičny rang,алгебраичны ранг,,,,,,,rango,rang,posto,rango,rang,rango,rang,rang,,,,1,,,,2
reduced,algebra_invariant_theory,,,reduced,,,,,,,,,,,reducido,reduit,reduzida,reducida,reduit,ridotta,redus,,,,,0,,,,1
reducible,algebra_general,,,reducible,,,,,,,,,,,,,,,,,,,قابل للاختزال,فروکاستنی/تحویل‌پذیر,,0,,,,1
reduction,noether_corpus,yes,,reduction,,,,,,,,,,,,,,,,,,,ردّ/اختزال,فروکاست/کاهش,,0,,,,1
relation,proof_grammar,yes,,relation,,,,,,,,,,,,,,,,,,,,,hubungan/relasi,0,,,,1
relatively complete system,noether_corpus,yes,,relatively complete system,,,,,,,,,,,,,,,,,,,نظام كامل نسبياً,دستگاه نسبتاً کامل,,0,,,,1
relatively prime,algebra_invariant_theory,,,relatively prime,,,,,,,,,,,relativamente primo,premiers entre eux,,,,,,,,,,0,,,,1
representation,curriculum_algebra,yes,Block-Dreiecksform / Matrizendarstellung; Darstellung mit festem Nenner,representation,добуткове подання / подання у вигляді добутку,интегральность представления,absolutno ireducibilno predstavjenje,абсолутно иредуцибилно представјенье,≈absolutno ireducibilno predstavjenje [S]; zobrazení(map!) [C],zobrazení(map!) [C],≈absolutno ireducibilno predstavjenje [S]; przedstawienie [C],≈absolutno ireducibilno predstavjenje [S],≈absolutno ireducibilno predstavjenje [S],≈absolutno ireducibilno predstavjenje [S],representacion,representation,representacao,representacion,representacio,rappresentazione,,represchentaziun,تمثيل,نمایش,perwakilan/representasi,3,confirm_current,stable,-0.765,5
residue class,algebra_invariant_theory,,Gesamtheit aller / Gesamtheit der Restklassen; Restklasse,residue class,клас лишків,класс вычетов,cělokupnost,класы остатков,,,,,,,clase residual / clase de restos,classe residuelle,,clase residual,,,,,,,,1,,,,2
respectively,proof_grammar,yes,,respectively,,,,,,,,,,,respectivamente,respectivement,respectivamente,,respectivament,rispettivamente,respectiv,respectivamain,,,,0,,,,1
resultant,noether_corpus,yes,Resultante der Glieder höchster Dimension; homogene Resultante der Glieder höchster Dimension,resultant,однорідна результанта членів найвищого степеня,однородная результанта членов наивысшей степени,homogena rezultanta členov najvyššego stepena,резултант членов највысшеј димензије,,,,,,,,,,,,,,,,,paduan/resultan,1,,,,2
right,algebra_invariant_theory,,,right,,,,,,,,,,,derecha,droite,direita,dereita,dret,destra,dreapta,dretg,,,,0,,,,1
ring,curriculum_algebra,yes,Automorphismenring; Dieselben Überlegungen gelten für den Multiplikationsring,ring,власне підкільце,двусторонне неразложимые кольца,Zato najprvo treba razsmotriti diskriminantne idealy primarnyh kolc.,Зато најпрво треба разсмотрити дискриминантне идеалы примарных колц.,okruh [C],okruh [C],pierścień [C],kolobar [C],prsten [C],prăsten [C],anillo,anneau,aneis,anel,anell,anelli,inele,rintg,حلقة,حلقه,gelanggang,3,review_priority,weight_sensitive,0.125,5
root,,,,root,,,,,,,,,,,,,,,,,,,,,akar,0,,,,1
set,curriculum_algebra,yes,,set,,,,,≈? [S]; up [C],≈? [S],zbiór/(ascii) [C],≈? [S]; up [C],≈? [S]; up [C],≈? [S],,,,,,,,,مجموعة,مجموعه,himpunan,2,confirm_current,stable,-0.429,3
statement,proof_grammar,yes,,statement,,,,,,,,,,,,,,,,,,,,,pernyataan,0,,,,1
subgroup,curriculum_algebra,yes,,subgroup,,,,,,,,,,,subgrupo,sous-groupe,subgrupo,subgrupo,subgrup,sottogruppo,subgrup,,زمرة جزئية,زیرگروه,subkumpulan/subgrup,0,,,,4
submodule,rings_modules,,,submodule,,,,,,,,,,,,,,,,,,,مقاس جزئي,زیرمدول,,0,,,,2
subset,curriculum_algebra,yes,,subset,,,,,≈? [S],≈? [S],podzbiór/(ascii) [C],≈? [S],podskup [C],≈? [S],,,,,,,,,جزئية,زیرمجموعه,subset/subhimpunan,2,confirm_current,stable,-0.586,3
surjective,sets_maps,,,surjective,,,,,,,,,,,,,,,,,,,,,,0,,,,1
tensor product,algebra_general,,,tensor product,,,,,,,,,,,,,,,,,,,الجداء التنسوري,,,0,,,,1
ternary form,noether_corpus,yes,,ternary form,,,,,,,,,,,,,,,,,,,شكل ثلاثي,صورت سه‌متغیره,,0,,,,1
theorem,proof_grammar,yes,Damit ist der Satz bewiesen; Hilbertscher Satz von der Modulbasis,theorem,Теорема I,Теорема I,Hilbertov teorem o bazisu modula,Теорем ВИ / Теорем ВИИ,věta [C],(ascii) [C],twierdzenie [C],,≈Hilbertov teorem o bazisu modula [S],≈Hilbertov teorem o bazisu modula [S],teorema,theoreme,teorema,teorema,teorema,teorema,teorema,,مبرهنات,قضیه,teorem/teorema,3,variant_or_doublet_note,stable,-0.312,5
therefore,proof_grammar,yes,,therefore,,,,,,,,,,,por tanto / por consiguiente,donc / par consequent,portanto,por conseguinte,per tant,quindi,deci,damai,,,,0,,,,1
transvection,noether_corpus,yes,einmalige Überschiebung; Überschiebung,transvection,,,jednokratna transvekcija,,,,,,,,,,,,,,,,ترانسفكشن,ترانسوکسیون,,0,,,,2
