concept,clusters,lane_count,pan_romance,controlled_arabic,arabic_farsi_persianate,malay_indonesian,interslavic
definition,"algebra_invariant_theory,proof_grammar",5,definicion,تعريف,تعریف,definisi/takrif,"definicija se pokryva s definicijeju v §7, 1"
degree,,2,,,,derajat/darjah,ograničeny po x_i / ne dosega stepena k
determinant,linear_algebra,4,,محدد,دترمینان,penentu/determinan,determinanta hiperkompleksnogo sistema
dimension,linear_algebra,4,,بعد,بعد,dimensi,Aritmetična formulacija pojma dimenzije
direct product,algebra_general,2,,الضرب المباشر,ضرب مستقیم,,
direct sum,algebra_general,3,,"مجموع مباشر, جمع مباشر",جمع مستقیم,,direktna suma
distributive,,1,,,,distributif/agihan,
divisibility,algebra_invariant_theory,1,divisibilidad,,,,
division ring,algebra_invariant_theory,1,anillo de division / cuerpo no conmutativo,,,,
domain,algebra_invariant_theory,1,dominio,,,,
eigenvalue,,1,,,,nilai eigen/nilai ciri,
element,sets_maps,3,,عناصر,عضو/عنصر,unsur/elemen,
elementary divisor,algebra_invariant_theory,2,divisor elemental,,,,elementarne dělitelje
equation,,2,,,,persamaan,dělimy nerazložimym uravnenjem
equivalence,sets_maps,1,,مكافئة,,,
example,proof_grammar,3,,أمثلة,مثال,contoh,
exercise,proof_grammar,1,,تمارين,,,
exists,algebra_invariant_theory,1,existe,,,,
extension,algebra_invariant_theory,1,extension,,,,
factor,"algebra_general,algebra_invariant_theory",2,factor,,عامل,,
factor ring,,1,,,,gelanggang faktor/ring faktor,
field,"algebra_invariant_theory,linear_algebra",5,cuerpo,حقل,میدان,lapangan/medan,Abelove grupy/polja
finite,"algebra_general,algebra_invariant_theory",3,finito,,متناهی,terhingga,
finite group,group_theory,1,,"زمرة منتهية, زمر منتهية",,,
for all,algebra_invariant_theory,1,para todo,,,,
form system,invariant_theory,1,,,دستگاه/سامانهٔ صورت‌ها,,
formula,,1,,,,formula/rumus,
function,sets_maps,3,,دالة,تابع,fungsi,
galois,"algebra_invariant_theory,noether_adjacent",2,Galois,"غالوا, غالو",,,
greatest common divisor,algebra_invariant_theory,1,maximo comun divisor,,,,
ground form,invariant_theory,2,,,صورت پایه,,osnovna forma
group,"algebra_invariant_theory,group_theory",5,grupo,زمرة,گروه,kumpulan/grup,Brauerova grupa
group action,group_theory,1,,"تأثير الزمر, تأثير زمرة",,,
group representation,representation_theory,1,,تمثيل الزمر,,,
homomorphism,"algebra_invariant_theory,morphisms",5,homomorfismo,تشاكل,همریختی,homomorfisma/homomorfisme,R jest homomorfno k K_i / izraziti črez elementy iz K_i
ideal,"algebra_invariant_theory,rings_modules",5,ideal,"مثالي, مثاليات",ایده‌آل,ideal/unggulan,(p)^alpha abo jediničny ideal
identity,algebra_invariant_theory,2,unidad / identidad,,,identitas/identiti,
if and only if,algebra_invariant_theory,1,si y solo si,,,,
image,morphisms,3,,مدى,تصویر,imej/citra,
infinite,,1,,,,tak terhingga/tak hingga,
injective,sets_maps,1,,"متباين, أحادي",,,
integral domain,,2,,,,daerah integral/domain integral,integritetna oblast / kolco bez nulovyh děliteljev
invariant,"algebra_invariant_theory,invariant_theory",5,invariante,ثابت,ناوردا,tak berubah/tak varian/invarian,cěločislovy invariant
invariant theory,invariant_theory,2,,"نظرية الثوابت, نظرية اللامتغيرات",نظریهٔ ناورداها,,
inverse,,1,,,,invers/songsang,
irreducible ideal,algebra_invariant_theory,1,ideal irreducible,,,,
irreducible representation,representation_theory,1,,"تمثيل غير قابل للاختزال, تمثيل غير قابل للاختزال",,,
isomorphism,"algebra_invariant_theory,morphisms",5,isomorfismo,تماثل,یکریختی,isomorfisma/isomorfisme,baza ... prirěđena posrědstvom izomorfizma
kernel,morphisms,3,,نواة,هسته,kernel/teras,
least common multiple,algebra_invariant_theory,2,minimo comun multiplo,,,,najmene obče mnogokratno
left,algebra_invariant_theory,1,izquierda,,,,
lemma,"algebra_invariant_theory,proof_grammar",5,lema,"لمّة, نتيجة مساعدة",لم/نتیجهٔ کمکی,lemma,Pomočny teorem
lie algebra,lie_theory,2,,جبر لي,جبر لی,,
lie group,lie_theory,2,,زمر لي,گروه لی,,
linear,,1,,,,linear,
linear map,linear_algebra,2,,تطبيق خطي,نگاشت خطی,,
map,,1,,,,pemetaan,
map/application,sets_maps,2,,تطبيق,نگاشت,,
matrix,"algebra_invariant_theory,linear_algebra",4,matriz,مصفوفة,ماتریس,matriks,
maximal ideal,,1,,,,ideal maksimal/unggulan maksimum,
module,"algebra_invariant_theory,rings_modules",5,modulo,مقاسات,مدول,modul,K jest razsmatrjany kako Omega-modul
modulus,invariant_theory,1,,,مودول,,
noetherian,algebra_invariant_theory,2,noetheriano,,,Noetherian/Noether,
noetherian module,rings_modules,2,,المقاسات النوثيرية,مدول نوتری,,
normal subgroup,group_theory,2,,"زمرة جزئية نظامية, زمر جزئية نظامية",,,normalny dělitelj
notation,proof_grammar,1,,"ترميز, اصطلاح",,,
one-sided,algebra_invariant_theory,1,unilateral,,,,
polynomial,algebra_general,4,,"كثير حدود, كثيرات الحدود",چندجمله‌ای,polinomial,algebraično-celočislene polinomy
power,algebra_invariant_theory,1,potencia,,,,
primary ideal,algebra_invariant_theory,2,ideal primario,,,,primarny ideal
prime ideal,algebra_invariant_theory,3,ideal primo,,,ideal prima/unggulan perdana,grupno razděljenje pridruženih prostyh idealov
problem,proof_grammar,2,,مسائل,مسئله,,
product,algebra_invariant_theory,1,producto,,,,
proof,"algebra_invariant_theory,proof_grammar",4,demostracion / prueba,برهان,برهان,bukti/pembuktian,
proposition,,1,,,,proposisi/pernyataan,
quotient,,1,,,,hasil bagi/kuosien,
quotient group,group_theory,2,,"زمرة خارجية, زمرة حاصل",گروه خارج‌قسمتی,,
quotient module,rings_modules,1,,"مقاس خارج, مقاس حاصل",,,
rank,algebra_invariant_theory,2,rango,,,,algebraičny rang
reduced,algebra_invariant_theory,1,reducido,,,,
reducible,algebra_general,1,,,فروکاستنی,,
reduction,algebra_general,1,,,فروکاست,,
relation,,1,,,,hubungan/relasi,
relatively complete system,invariant_theory,1,,,دستگاه نسبتاً کامل,,
relatively prime,algebra_invariant_theory,1,relativamente primo,,,,
representation,"algebra_invariant_theory,representation_theory",5,representacion,تمثيل,نمایش,perwakilan/representasi,absolutno ireducibilno predstavjenje
residue class,algebra_invariant_theory,2,clase residual / clase de restos,,,,cělokupnost
respectively,algebra_invariant_theory,1,respectivamente,,,,
resultant,,2,,,,paduan/resultan,homogena rezultanta členov najvyššego stepena
right,algebra_invariant_theory,1,derecha,,,,
ring,"algebra_invariant_theory,rings_modules",5,anillo,حلقة,حلقه,gelanggang,Zato najprvo treba razsmotriti diskriminantne idealy primarnyh kolc.
root,,1,,,,akar,
set,sets_maps,3,,مجموعة,مجموعه,himpunan,
statement,,1,,,,pernyataan,
subgroup,"algebra_invariant_theory,group_theory",4,subgrupo,زمرة جزئية,زیرگروه,subkumpulan/subgrup,
submodule,rings_modules,2,,"مقاس جزئي, مقاسات جزئية",زیرمدول,,
subset,sets_maps,3,,جزئية,زیرمجموعه,subset/subhimpunan,
surjective,sets_maps,1,,"غامر, شامل",,,
tensor product,algebra_general,1,,الجداء التنسوري,,,
ternary form,invariant_theory,1,,,صورت سه‌متغیره/سه‌تایی,,
theorem,"algebra_invariant_theory,proof_grammar",5,teorema,مبرهنات,قضیه,teorem/teorema,Hilbertov teorem o bazisu modula
therefore,algebra_invariant_theory,1,por tanto / por consiguiente,,,,
transvection,invariant_theory,2,,,ترانسوکسیون,,jednokratna transvekcija
two-sided,algebra_invariant_theory,1,bilateral,,,,
unique,algebra_invariant_theory,1,unico,,,,
unit ideal,algebra_invariant_theory,2,ideal unitario,,,,jediničny ideal
variable,algebra_general,2,,,متغیر,pemboleh ubah/variabel,
vector,linear_algebra,3,,متجه,بردار,vektor,
vector space,linear_algebra,3,,فضاء شعاعي,فضای برداری,ruang vektor,
zero,,1,,,,nol/sifar,
zero divisor,algebra_invariant_theory,2,divisor de cero,,,,izomorfna prirědba / nulovy klas / dělitelji nuly
