concept_id,stratum,en,de,uk,ru,isv,isv_cyr,rows,f10_flags
discriminant,curriculum_algebra,discriminant,"Darstellung von Spur, Norm und Diskriminante | Diskriminante D_{T_P} | Nichtverschwinden der Diskriminante | Verhalten von Spur und Diskriminante bei direkter Summe der Klassen",,,"diskriminant D_{T_P} | nenulovost diskriminanta | ponašanje slěda i diskriminanta pri direktnoj sumě klasov | predstavjenje slěda, normy i diskriminanta","дискриминант D_{T_P} | ненуловост дискриминанта | понашанье следа и дискриминанта при директној суме класов | представјенье следа, нормы и дискриминанта",4,"F10-0,F10-1"
division-algebra,curriculum_algebra,division algebra,Divisionsalgebra; zugeordnete Divisionsalgebra | normale Divisionsalgebra,алгебра з діленням; приєднана алгебра з діленням | нормальна алгебра з діленням,алгебра с делением; присоединенная алгебра с делением | нормальная алгебра с делением,dělitvena algebra; prirěđena dělitvena algebra | normalna dělitvena algebra,,2,F10-1
double-module,noether_corpus,two-sided module,Doppelmodul,бімодуль | подвійний модуль / бімодуль,бимодуль | двойной модуль / бимодуль,dvojny modul odnosno bimodul | dvomodul,двомодул,2,"F10-0,F10-1"
double-reduction,noether_corpus,double reduction,doppelte Reduktion | durch doppelte Reduktion,подвійна редукція,двойная редукция,dvojna redukcija | črez dvojnu redukciju,двојна редукција,2,"F10-0,F10-1"
elementary-divisor,noether_corpus,elementary divisor,Elementarteiler | Elementarteilerform | Elementarteilerform / Norm | Resultante i-ter Stufe / Elementarteiler i-ter Stufe | Resultantenform / Elementarteilerform | höchster Elementarteiler,елементарний дільник | елементарні дільники | найвищий елементарний дільник | результант i-го рівня / елементарний дільник i-го рівня,высший элементарный делитель | результант i-го уровня / элементарный делитель i-го уровня | результантная форма / форма элементарных делителей | форма элементарных делителей,elementarne dělitelje | elementarny dělitelj | forma elementarnyh děliteljev | forma elementarnyh děliteljev / norma,елементарне делителје | елементарны делитель | највышши елементарны делитель | резултант i-го нивоја / елементарны делитель i-го нивоја,7,"F10-0,F10-1"
elimination,curriculum_algebra,elimination,Elimination | sukzessive Elimination,елімінація | послідовне елімінування,исключение | последовательное исключение | элиминация,eliminacija | sukcesivna eliminacija,елиминација | сукцесивна елиминација,2,F10-0
equation,proof_grammar,equation,Gleichung niedrigsten Grades | Nullstelle / Wurzel einer Gleichung | affektlose Gleichungen | irreduzible Gleichung in bezug auf Omega_i | teilbar durch eine irreduzible Gleichung,"рівняння ""без афекту""","уравнения ""без аффекта""","dělimy nerazložimym uravnenjem | jednačenja ""bez afekta"" | korenj uravnenja | nerazložimo uravnenje vzhodno k Omega_i","неразложимо уравненье взходно к Omega_i | уравненье најнижшего степена | једначеньа ""без афекта""",5,F10-1
extension-first-kind,noether_corpus,extension of the first kind,Diskriminantenkriterium der vollständigen Reduzibilität erster Art | Erweiterung erster Art | Erweiterung erster Art / zweiter Art | Funktion erster Art / Körper erster Art | erster Art | ganzzahliger relativ-ganzer Bereich erster Art | relativ-ganze Funktionen / Bereiche erster Art | vollständige Reduzibilität erster Art,відносно цілі функції / області першого роду | першого роду | розширення першого роду | розширення першого роду / другого роду,относительно целые функции / области первого рода | первого рода | расширение первого рода | расширение первого рода / второго рода,celočislena relativno cěla oblast prvogo roda | diskriminantny kriterij polnoj razložimosti prvogo roda | funkcija prvogo roda / polje prvogo roda | polna razložimost prvogo roda,дискриминантны критериј полној разложимости првого рода | полна разложимост првого рода | разширенье првого рода | разширјенье првого рода / второго рода,8,"F10-0,F10-1"
factor-system,noether_corpus,factor system,Faktorensystem,фактор-система,фактор-система,faktorna sistema,,2,F10-1
field,curriculum_algebra,field,"(endlicher) algebraischer Körper über | Abelsche Gruppen/Körper | Charakteristik Null / Primkörper | Durchschnittskörper | Erweiterungskörper | Erweiterungsring eines Körpers / Erweiterungskörper | Galoissche Körper / Galoisscher Erweiterungskörper | Identität der Körper | Invariantenkörper | Koeffizientenbereich / Körper P(u) | Kreiskörper | Kroneckerscher Satz / relativ-Abelsche Körper | Körper | Körper (nicht notwendig kommutativ) | Körper / Funktionenkörper / Zahlkörper | Körper K_{nho} | Körper aller komplexen Zahlen | Körper und Systeme rationaler Funktionen | Körper; kommutativer Körper | Nullstelle / Nullstellenkörper | Nullstellenkörper | Primkörper | Rationale Funktionenkörper / rationaler Funktionenkörper | Sylowkörper | Unterkörper | Unterring / Oberring / Oberkörper | Vereinigungskörper | Zahl- und Funktionenkörper | Zerfällungskörper; Separationskörper | Zwischenkörper | Zwischenkörper / Durchschnittskörper | absolut algebraischer Körper | algebraisch abgeschlossener Körper | algebraisch-abgeschlossener / algebraischer Erweiterungskörper | endlicher algebraischer Erweiterungskörper | kleinster Erweiterungskörper | kleinster enthaltender Körper | kommutativer Körper K | kommutativer Körper P | projektive Invariantenkörper | unzerlegbare Komponenten / zu \overline P isomorphe Körper | vollkommener / unvollkommener Körper | vollkommener/unvollkommener Körper | zu Q isomorphe Körper | Übergang von der Ordnung zu den Ringen endlichen Ranges in bezug auf einen Körper",Поля та системи раціональних функцій | алгебраїчно замкнене поле / алгебраїчне розширення поля | алгебрично замкнене поле | досконале/недосконале поле,Поля и системы рациональных функций | алгебраически замкнутое поле | алгебраически замкнутое поле / алгебраическое расширение поля | коммутативное поле K,Abelove grupy/polja | Galoisova polja / Galoisovo razširjeno polje | Polja i sistemy racionalnyh funkcij | Sylowovo polje,Галоисова польа / Галоисово разширјено полье | Польа и системы рационалных функциј | абсолютно алгебраично полье | алгебраично замкньено полье,47,"F10-0,F10-1,F10-3"
field-of-automorphisms,noether_corpus,field of automorphisms,Automorphismenkörper K_ν,тіло автоморфізмів K_ν,тело автоморфизмов K_ν,tělo avtomorfizmov K_ν,тело автоморфизмов K_ν,1,F10-0
finiteness-theorem,noether_corpus,finiteness theorem,Endlichkeitssatz,теорема про скінченність,теорема конечности,teorem o konečnosti,теорем о конечности,1,F10-1
folding,noether_corpus,folding,"Defekt der Faltung | Faltung | Faltung von $\theta$ mit $\nu$ | Faltung von $f$ mit $\nu$ | Faltung von $s$ mit $\nu; H; L; H^2$ | Faltung von K,j,\A mit \nu; f mit H | Faltung von s mit den Formen 7. Ordnung | Faltung von s mit den Formen fünfter Ordnung und dem Produkt | Faltung von s mit den Formen sechster Ordnung | Faltungsprozeß / Faltung | Faltungsprozeß/Faltung | Faltungsprozeß/Faltungen | Faltungsprozeß/Grundfaltungen | Reduktionen folgen direkt ... durch einmalige Faltung | Schema zur Faltung | direkte Faltung | einmalige Faltung | kogrediente Faltung vom Defekt \rho | spezielle zweimalige Faltung | sukzessive einmalige Faltung | tritt nicht in Faltung ein",згортання | згортання $s$ з $\nu; H; L; H^2$ | згортання s з формами 5-го порядку і з добутком | згортання s з формами 6-го порядку,не входит в свертку | однократная свертка | процесс свёртки / свёртка | редукции непосредственно следуют ... посредством однократной свертки,"Svijanje $\theta$ s $\nu$ | Svijanje $f$ s $\nu$ | Svijanje K,j,\A s \nu; f s H | defekt svijanja",не входи в свијанье | процес свијаньа / свијанье | редукције следујут непосредно ... чрез једнократно свијанье | свијанье,23,"F10-0,F10-1"
form,noether_corpus,form,Bereich aller homogenen Formen | Formen von n Variabeln | Fundamentalgleichung / Fundamentalform | Involutionsform | Normalform | Produkte von Formen niedrigeren Grades ausgelassen | Produktsatz in allgemeinster Form | Reduzibilitätsform | Relationen für die zerfallenden Formen | Resultantenform | Zerfallen oder Reduzibilität der übrigen Formen | Zerlegungsidentitäten in expliziter Form | basisfreie Form | beliebige Formen | binäre Form / binäre Linearform | die übrigen Formen | dualistischen Formen | durch Zurückgehen ... auf niedrigere Formen | einzelne Formen | entsprechenden Formen | höhere Form | höhere Formen | induzierte Transformationen / totale Differentialform | kontragrediente Formen | lineare Verbindung / Linearform | quadratische Relationen / quadratische Formen | ternäre biquadratische Form | übernommene Formen,безбазисна форма | вища форма | відповідні форми | дуалістичні форми,безбазисная форма | более высокая форма | дуалистические формы | заимствованные формы,Razkladanje ili reducibilnost ostalyh form | bezbazisna forma | binarna forma / binarna linearna forma | dualistične formy,безбазисна форма | взете формы | выша форма | дуалистичне формы,29,"F10-0,F10-1,F10-4"
form-sequence,noether_corpus,form sequence,Formenreihe | Formenreihe/Formenreihen | zerfallende Formenreihe | zerfallende Formenreihen oder Formen,"розкладний ряд форм | ряд форм | ряд форм / ряди форм | ряди форм чи форми, що розкладаються на множники","разложимый ряд форм | ряд форм | ряд форм / ряды форм | ряды форм или формы, распадающиеся на множители",razkladny ręd form | razložime rědy form ili formy | ręd form | ręd form / rędy form,разкладны ряд форм | разложиме реды форм или формы | ряд форм | ряд форм / ряды форм,6,"F10-1,F10-2"
form-system,noether_corpus,system of forms,Formensystem,,,sistem form | sistema form,,3,F10-1
functional-determinant,noether_corpus,functional determinant,Funktionaldeterminante | Funktionaldeterminante / Funktionalmatrix | Funktionaldeterminanten | Zerfallen von Überschiebungen mit Funktionaldeterminanten | Überschiebung über Funktionaldeterminanten | Überschiebung über eine Funktionaldeterminante | Überschiebungen über Funktionaldeterminanten,трансвекція через функціональний детермінант | функціональний детермінант | функціональні детермінанти,трансвекция через функциональный детерминант | функциональные детерминанты | функциональный детерминант,funkcionalne determinanty | funkcionalny determinant | funkcionalny determinant / funkcionalna matrica | razkladanje transvekcij s funkcionalnymi determinantami,трансвекција чрез функционалны детерминант | функционалне детерминанты | функционалны детерминант,8,"F10-0,F10-1"
general-ideal-theory,noether_corpus,general ideal theory,"Idealtheorie in T | Idealtheorie, §7, 3 | Idealtheorie, §9, 7 footnote | Idealtheorie, §9. und §3, 1 footnote | Zur Axiomatik ... Idealtheorie | abstrakte Idealtheorie | allgemeine Idealtheorie",абстрактна теорія ідеалів | загальна теорія ідеалів,абстрактная теория идеалов | общая теория идеалов,"Idealtheorie, §7, 3 | Idealtheorie, §9 i §3, 1 | Idealtheorie, §9, 7 | K aksiomatice ... Idealtheorie","Idealtheorie, §7, 3 | Idealtheorie, §9 и §3, 1 | Idealtheorie, §9, 7 | К аксиоматике ... Idealtheorie",7,"F10-0,F10-1"
ground-field-extension,curriculum_algebra,extension of the ground field,Erweiterung des Grundkörpers,розширення основного поля,расширение основного поля,razširenje osnovnogo těla,разширенье основного тела,1,F10-1
ground-form,noether_corpus,ground form,Grundform | Grundform / Grundformensystem | Grundformen,основна форма | основні форми,основная форма | основные формы,osnovna forma | osnovna forma / sistema osnovnyh form | osnovne formy,основна форма | основне формы,3,F10-1
group,curriculum_algebra,group,Faktorgruppe | Gleichungen mit vorgeschriebener Gruppe | Klassen ähnlicher Algebren; Gruppe der Klassen | Komponenten in Gruppen zusammenfassen | Moduleigenschaft der Restgruppe | Ordnung der Gruppe | Primgruppe | R. Brauersche Gruppe | Transformationsgruppe | Untergruppe der Restgruppe | Untergruppen der projektiven Gruppe | Verschiebungsgruppe | Vierergruppe / Achtergruppe | echte Untergruppe | eindeutige additive Zerlegung der Restgruppe | einfache Gruppe | endliche / unendliche Restgruppe | endliche / unendliche kontinuierliche Gruppe | endliche Abelsche Gruppe | endliche Gruppe | gemischte Gruppe | kontinuierliche Gruppe im Lieschen Sinne | lineare Basis der Restgruppe | natürliche zur Gruppe gehörige Irrationalitäten | vollstaendig reduzible Gruppe | zyklische Gruppen,група Брауера | класи подібних алгебр; група класів | об’єднати компоненти в групи | порядок групи,группа Брауэра | классы подобных алгебр; группа классов | конечная группа | объединить компоненты в группы,Brauerova grupa | ciklične grupy | faktorgrupa | grupa posunov,властна подгрупа | конечна / бесконечна група остатков | конечна Абелова група | конечна група,26,"F10-0,F10-1"
group-ring,curriculum_algebra,group ring,Gruppenring,групове кільце,групповое кольцо,grupno kolco | grupovo kolco,групно колцо | групово колцо,2,F10-3
homomorphism,curriculum_algebra,homomorphism,Durch den Homomorphismus geht die Diskriminante ... über | R homomorph zu K_i / durch Elemente aus K_i ausdrücken,,,R jest homomorfno k K_i / izraziti črez elementy iz K_i | črez homomorfizm diskriminant prěhodi,R јест хомоморфно к K_i / изразити чрез елементы из K_i | чрез хомоморфизм дискриминант преходи,2,"F10-0,F10-1"
hypercomplex-system,noether_corpus,hypercomplex system,Einordnung der hyperkomplexen Systeme | Hyperkomplexes System,Впорядкування гіперкомплексних систем у теорії | гіперкомплексна система,Встраивание гиперкомплексных систем в теорию | гиперкомплексная система,Uvrstjenje hiperkompleksnyh sistemov v teoriju | hiperkompleksny sistem,Уврстјенье хиперкомплексных системов в теорију | хиперкомплексны систем,2,F10-1
ideal,curriculum_algebra,ideal,(p)^alpha oder Einheitsideal | Diskriminantenideal | Erweiterungsideal | Grundideal | Grundmodul / Grundideal | Ideal / Modul / Formenmodul | Ideal aus Polynomen | Komponenten als für sich betrachtete Ringe und nicht als Ideale von \overline{\mathfrak R} | Linksideale / Rechtsideal | Null- bzw. Einheitsideal | Nullteilerideal | Quotient by the basic ideal | Transformed ideal | Verengungsideal | Verzweigungstheorie / Verzweigungsideal | abgeleitetes Hauptideal | absolutes Primideal | aus S in T abgeleiteter Ring / Ideal / P-Modul | das zum Nullideal gehörige Primideal | durch ein Ideal teilbar / f ≡ 0 (M) | eigentliches Primärideal | endliches Ideal / Idealbasis | größte primäre Ideale | größte primäre Komponenten / Ideale | homomorphe Matrizenring ... durch ein Ideal ... erzeugt | irreduzibles Ideal | isolierte Ideale | isolierte größte primäre Ideale | isoliertes Ideal / nicht-isoliertes Ideal | m / definierendes Ideal (implicit in scan context) | nicht-isolierte (imbedded) primäre Ideale | nilpotentes Ideal | o_p has only one prime ideal different from zero and unit ideals | primäre Ideale / primärer Faktor | rechtsseitige / linksseitige / zweiseitige Moduln und Ideale | schwaches / starkes Primideal | schwaches / starkes Primärideal | transformiertes Ideal | vollständig reduzible Ideale | vollständig-reduzible Ideale | vom Nullideal verschiedenes Ideal | zulässiges Ideal | zweiseitige Ideale,власний первинний ідеал | двосторонні ідеали | допустимий ідеал | ділиться на ідеал / f ≡ 0 (M),вполне редуцируемые идеалы | двусторонние идеалы | делится на идеал / f ≡ 0 (M) | допустимый идеал,(p)^alpha abo jediničny ideal | absolutny prosty ideal | definujuči ideal | diskriminantny ideal,"(p)^alpha або јединичны идеал | o_p имаје само једин просты идеал, различны од нулового и јединичного | властны примарны идеал | главны идеал, изведены из p",44,"F10-0,F10-1,F10-3,F10-4"
identity-matrix,curriculum_algebra,identity matrix,Einheitsmatrix,одинична матриця,единичная матрица,jedinična matrica,јединична матрица,1,F10-4
identity-operator,curriculum_algebra,identity operator,Einheitsoperator,одиничний оператор,единичный оператор,jediničny operator,јединичны оператор,1,F10-1
identity-relation,proof_grammar,identity (relation),Gesamtheit der unzerlegbaren Identitäten erschöpft | Identitäten entstehen nicht | irreduzible unzerlegbare Identitäten | symbolische Identitäten | zerlegbare Identität | zusammengesetzte Identitäten,,,identičnosti ne nastavajut | nereduktibilne nerazložime identičnosti | razložima identičnost | simbolične identičnosti,,6,F10-1
indecomposable,curriculum_algebra,indecomposable,direkt-unzerlegbar | direkt-unzerlegbar / zerlegbar,прямо нерозкладний | прямо нерозкладний / розкладний,прямо неразложимый | прямо неразложимый / разложимый,direktno nerazložimy | direktno nerazložimy / razložimy,директно неразложимы | директно неразложимы / разложимы,2,F10-1
initial-form,noether_corpus,initial form,Anfangsform,початкова форма,начальная форма,početna forma,почетна форма,1,F10-1
integral-domain,curriculum_algebra,integral domain,Integritaetsbereich | Integritätsbereich | Integritätsbereich (Ring ohne Nullteiler) | Integritätsbereich / Bereich der Integrität | Integritätsbereich [Theta],область цілісності,область целостности,integritetna oblast / kolco bez nulovyh děliteljev | oblast cělosti | oblast cělosti [Theta],област целости | област целости [Theta],5,"F10-0,F10-1,F10-3"
invariant,noether_corpus,invariant,"Invariante Variationsprobleme | Invariante der Gruppe / invariantes Integral | ganze rationale (absolute) Invariante | ganzrationale Zahlkoeffizienten / ganzrationalzahlige Invarianten | ganzzahlige Invariante | homogene, isobare Invarianten | invariante Bildungen",однорідні ізобарні інваріанти | цілий раціональний (абсолютний) інваріант,однородные изобарные инварианты | целый рациональный (абсолютный) инвариант,cěločislovy invariant | cěly racionalny (absolutny) invariant | homogenny izobarny invarianty | invarianta grupy / invariantny integral,хомогенны изобарны инварианты | целы рационалны (абсолютны) инвариант,7,"F10-0,F10-1,F10-2"
irreducible,curriculum_algebra,irreducible,Irreduzible Formen | Irreduzible Formen / Ordnung | absolut-irreduzibel | absolute Irreduzibilität / absolut irreduzibel | irreduzibel | irreduzibel / reduzibel | reduzibel / irreduzibel | relativprim-irreduzibel | teilerfremd-irreduzibel | teilerfremd-irreduzibel / relativprim-irreduzibel,абсолютна незвідність / абсолютно незвідний | абсолютно незвідний | взаємно-просто нерозкладний / відносно-просто нерозкладний | взаємно-просто-нерозкладний,абсолютная неприводимость / абсолютно неприводимый | абсолютно неприводимый | взаимно-просто неразложимый / относительно-просто неразложимый | взаимно-просто-неразложимый,absolutna nerazložimost / absolutno nerazložimy | absolutno ireducibilny | nerazložimy / nerazložimo | nerazložimy / razložimy,абсолутна неразложимост / абсолутно неразложимы | абсолутно иредуцибилны | взаимно-просто неразложимы / релативно-просто неразложимы | взаимно-просто-неразложимы,13,"F10-0,F10-1,F10-4"
