residual_id,source_file,source_line,start_column_1based,end_column_1based_exclusive,current_expose,reference_scope,visible_text,base_number,suffix,kind_cue,candidate_labels,destination_label,classification,reason,context
SGA5-R9-RESIDUAL-000031,SGA5_English_sync_workpass.tex,471,51,54,I,I,2.4,2.4,,,,,external_work_citation,external_citation_context,"Part (b) follows trivially from SGA A, Exposé IX, 2.4. We prove (a). Either hypothesis on $(F,G)$ implies that the spectral sequence"
SGA5-R9-RESIDUAL-000032,SGA5_English_sync_workpass.tex,476,236,239,I,I,2.7,2.7,,,,,external_work_citation,external_citation_context,"es. The question is local, so one may suppose $X$ noetherian. Then $F$ admits, by SGA A, Exposé IX, 2.7, a left resolution $F'$ in which the $F'^i$ are of the form $A_{U,X}$ with $U$ étale and of finite "
SGA5-R9-RESIDUAL-000033,SGA5_English_sync_workpass.tex,483,71,75,I,I,1.10,1.10,,notation,sga5:I:notation:1.10,,structural_declaration_tag,target_or_formula_declaration,\phantomsection\label{sga5:I:notation:1.10}\begin{statement}{Notation 1.10}
SGA5-R9-RESIDUAL-000034,SGA5_English_sync_workpass.tex,487,77,81,I,I,1.11,1.11,,proposition,sga5:I:proposition:1.11,,structural_declaration_tag,target_or_formula_declaration,"\phantomsection\label{sga5:I:proposition:1.11}\begin{statement}{Proposition 1.11, cf. [H] V.2.6}"
SGA5-R9-RESIDUAL-000035,SGA5_English_sync_workpass.tex,487,91,96,I,I,V.2.6,V.2.6,,,,,external_work_citation,external_citation_context,"\phantomsection\label{sga5:I:proposition:1.11}\begin{statement}{Proposition 1.11, cf. [H] V.2.6}"
SGA5-R9-RESIDUAL-000036,SGA5_English_sync_workpass.tex,522,62,65,I,I,7.4,7.4,,,sga5:I:lemma:7.4,,external_work_citation,external_citation_context,"Part (a) is precisely Cartan's adjunction formula, SGA 6, I, 7.4."
SGA5-R9-RESIDUAL-000037,SGA5_English_sync_workpass.tex,535,70,76,I,I,1.11.1,1.11.1,,,sga5:I:remark:1.11.1,,structural_declaration_tag,target_or_formula_declaration,\phantomsection\label{sga5:I:remark:1.11.1}\begin{statement}{Remarks 1.11.1}
SGA5-R9-RESIDUAL-000038,SGA5_English_sync_workpass.tex,542,77,81,I,I,1.12,1.12,,proposition,sga5:I:proposition:1.12,,structural_declaration_tag,target_or_formula_declaration,\phantomsection\label{sga5:I:proposition:1.12}\begin{statement}{Proposition 1.12}
SGA5-R9-RESIDUAL-000039,SGA5_English_sync_workpass.tex,547,41,44,I,I,3.1,3.1,,,sga5:I:subsection:3.1,,external_work_citation,external_citation_context,"in the notation of SGA A, Exposé XVIII, 3.1."
SGA5-R9-RESIDUAL-000040,SGA5_English_sync_workpass.tex,558,202,205,I,I,4.3,4.3,,,sga5:I:subsection:4.3|sga5:I:lemma:4.3|sga5:I:equation:4.3,,external_work_citation,external_citation_context,"e cohomological dimension, as for example when $Y$ is of finite type over a field (SGA A, Exposé X, 4.3 and Exposé XVIII, 3.1.7), the isomorphism (b)(i) is valid for $F\in\ob\D_c(Y)$.}"
SGA5-R9-RESIDUAL-000041,SGA5_English_sync_workpass.tex,558,224,229,I,I,3.1.7,3.1.7,,,,,external_work_citation,source_checked_external_citation_override,"ion, as for example when $Y$ is of finite type over a field (SGA A, Exposé X, 4.3 and Exposé XVIII, 3.1.7), the isomorphism (b)(i) is valid for $F\in\ob\D_c(Y)$.}"
SGA5-R9-RESIDUAL-000042,SGA5_English_sync_workpass.tex,570,80,87,I,I,3.1.9.6,3.1.9.6,,,,,external_work_citation,external_citation_context,"The isomorphism (a)(i) is just the duality isomorphism of SGA A, Exposé XVIII, 3.1.9.6."
SGA5-R9-RESIDUAL-000043,SGA5_English_sync_workpass.tex,572,185,190,I,I,5.3.6,5.3.6,,,,,external_work_citation,external_citation_context,")(i), written with argument $\underline D_XF$, and using the finiteness theorem SGA A, Exposé XVII, 5.3.6, which asserts that $\R_!f(\underline D_X(F))\in\ob\D_c(Y)$."
SGA5-R9-RESIDUAL-000044,SGA5_English_sync_workpass.tex,574,73,81,I,I,3.1.12.2,3.1.12.2,,,,,external_work_citation,external_citation_context,"The isomorphism (b)(i) is the induction formula of SGA A, Exposé XVIII, 3.1.12.2."
SGA5-R9-RESIDUAL-000045,SGA5_English_sync_workpass.tex,579,73,79,I,I,1.12.1,1.12.1,,scholium,sga5:I:scholium:1.12.1,,structural_declaration_tag,target_or_formula_declaration,\phantomsection\label{sga5:I:scholium:1.12.1}\begin{statement}{Scholium 1.12.1}
SGA5-R9-RESIDUAL-000046,SGA5_English_sync_workpass.tex,583,73,77,I,I,1.13,1.13,,corollary,sga5:I:corollary:1.13,,structural_declaration_tag,target_or_formula_declaration,\phantomsection\label{sga5:I:corollary:1.13}\begin{statement}{Corollary 1.13}
SGA5-R9-RESIDUAL-000047,SGA5_English_sync_workpass.tex,607,65,69,I,I,1.14,1.14,,lemma,sga5:I:lemma:1.14,,structural_declaration_tag,target_or_formula_declaration,\phantomsection\label{sga5:I:lemma:1.14}\begin{statement}{Lemma 1.14}
SGA5-R9-RESIDUAL-000048,SGA5_English_sync_workpass.tex,616,228,231,I,I,5.5,5.5,,,,,external_work_citation,external_citation_context,"en follows immediately from the computation of the fibres of $f_*F$ and $f_*G$, SGA A, Exposé VIII, 5.5."
SGA5-R9-RESIDUAL-000049,SGA5_English_sync_workpass.tex,618,125,129,I,I,2.14,2.14,,,,,external_work_citation,external_citation_context,"estrict to the case where $F$ is concentrated in degree zero. Necessity is known, SGA A, Exposé IX, 2.14. We prove sufficiency: $f_*F$ constructible implies $F$ constructible. The question is local upstai"
SGA5-R9-RESIDUAL-000050,SGA5_English_sync_workpass.tex,618,317,324,I,I,17.16.6,17.16.6,,,,,external_work_citation,external_citation_context,"local upstairs, hence a fortiori downstairs, so we may suppose $Y$ and hence $X$ affine. By EGA IV, 17.16.6, there exists a finite family $(Y_i)$ of affine subpreschemes of $Y$, pairwise disjoint and with un"
SGA5-R9-RESIDUAL-000051,SGA5_English_sync_workpass.tex,622,163,166,I,I,5.5,5.5,,,,,external_work_citation,external_citation_context,"ite étale. Put $F|_{X_i}=F_i$. By the base-change theorem for finite morphisms, SGA A, Exposé VIII, 5.5, one has"
SGA5-R9-RESIDUAL-000052,SGA5_English_sync_workpass.tex,626,26,29,I,I,2.8,2.8,,,,,external_work_citation,external_citation_context,"and by SGA A, Exposé IX, 2.8, one is reduced to proving the assertion for $(f_i,F_i)$. Put $F'_i=u_{i*}(F_i)$, so that $f_{i*}(F"
SGA5-R9-RESIDUAL-000053,SGA5_English_sync_workpass.tex,626,247,250,I,I,1.1,1.1,,,sga5:I:definition:1.1|sga5:I:paragraph:1.1,,external_work_citation,external_citation_context," It is clear from the definition of constructibility, respectively follows from SGA A, Exposé VIII, 1.1, that $F_i$, respectively $F'_i$, is constructible if and only if $F'_i$, respectively $v_{i*}(F'_i"
SGA5-R9-RESIDUAL-000054,SGA5_English_sync_workpass.tex,629,73,77,I,I,1.15,1.15,,corollary,sga5:I:corollary:1.15,,structural_declaration_tag,target_or_formula_declaration,\phantomsection\label{sga5:I:corollary:1.15}\begin{statement}{Corollary 1.15}
SGA5-R9-RESIDUAL-000055,SGA5_English_sync_workpass.tex,640,30,36,I,I,8.12.6,8.12.6,,,,,external_work_citation,external_citation_context,"By the Main Theorem, EGA IV, 8.12.6, $f$ factors as $f=f'i$, where $i$ is an open immersion and $f'$ is finite. Since"
SGA5-R9-RESIDUAL-000056,SGA5_English_sync_workpass.tex,646,217,221,I,I,2.14,2.14,,,,,external_work_citation,external_citation_context,"sfies (iii), then $K_X$ satisfies (iii), taking account of the finiteness theorem SGA A, Exposé IX, 2.14. It remains to prove that if $K_Y$ satisfies (ii), then $K_X$ satisfies (ii). Let $F\in\ob\D_c^-(X)"
SGA5-R9-RESIDUAL-000057,SGA5_English_sync_workpass.tex,667,68,71,I,I,2.1,2.1,,theorem,sga5:I:theorem:2.1,,structural_declaration_tag,target_or_formula_declaration,"\phantomsection\label{sga5:I:theorem:2.1}\begin{statement}{Theorem 2.1, cf. [H] V.3.1}"
SGA5-R9-RESIDUAL-000058,SGA5_English_sync_workpass.tex,667,81,86,I,I,V.3.1,V.3.1,,,,,external_work_citation,external_citation_context,"\phantomsection\label{sga5:I:theorem:2.1}\begin{statement}{Theorem 2.1, cf. [H] V.3.1}"
SGA5-R9-RESIDUAL-000059,SGA5_English_sync_workpass.tex,730,64,67,I,I,2.2,2.2,,lemma,sga5:I:lemma:2.2,,structural_declaration_tag,target_or_formula_declaration,"\phantomsection\label{sga5:I:lemma:2.2}\begin{statement}{Lemma 2.2, cf. [H] V.3.3}"
SGA5-R9-RESIDUAL-000060,SGA5_English_sync_workpass.tex,730,77,82,I,I,V.3.3,V.3.3,,,,,external_work_citation,external_citation_context,"\phantomsection\label{sga5:I:lemma:2.2}\begin{statement}{Lemma 2.2, cf. [H] V.3.3}"
SGA5-R9-RESIDUAL-000061,SGA5_English_sync_workpass.tex,744,162,167,I,I,5.4.3,5.4.3,,,,,external_work_citation,external_citation_context,"ne merely repeats the easy proof given in [H]. The essential point is this: by EGA $0_{\mathrm I}$, 5.4.3, if $M$ and $M'$ are finite-type $A$-modules such that"
SGA5-R9-RESIDUAL-000062,SGA5_English_sync_workpass.tex,778,438,442,I,I,2.13,2.13,,,,,external_work_citation,external_citation_context,". Hence $u^*$ is an isomorphism, and $u'^*$ is the contragredient isomorphism. By SGA A, Exposé IX, 2.13, it follows that $L$ and $L'$ are locally constant, hence of finite presentation as $A_X$-modules. "
SGA5-R9-RESIDUAL-000063,SGA5_English_sync_workpass.tex,791,28,31,I,I,2.4,2.4,,,,,external_work_citation,external_citation_context,"Thus, by SGA A, Exposé IX, 2.4, the function $r$ is locally constructible. Therefore, to verify that it is locally constant, EGA I"
SGA5-R9-RESIDUAL-000064,SGA5_English_sync_workpass.tex,791,134,140,I,I,1.10.1,1.10.1,,,,,external_work_citation,external_citation_context,"he function $r$ is locally constructible. Therefore, to verify that it is locally constant, EGA IV, 1.10.1, allows one to suppose that $X$ is local. Let $x$ be its closed point and $U$ the open complement."
SGA5-R9-RESIDUAL-000065,SGA5_English_sync_workpass.tex,831,14,17,I,I,3.1,3.1,,,sga5:I:subsection:3.1,,structural_declaration_tag,target_or_formula_declaration,\subsection*{3.1. Preliminaries}\phantomsection\label{sga5:I:subsection:3.1}
SGA5-R9-RESIDUAL-000066,SGA5_English_sync_workpass.tex,839,64,69,I,I,3.1.1,3.1.1,,,sga5:I:statement:3.1.1,,structural_declaration_tag,target_or_formula_declaration,\phantomsection\label{sga5:I:statement:3.1.1}\begin{statement}{3.1.1. Singular locus}
SGA5-R9-RESIDUAL-000067,SGA5_English_sync_workpass.tex,840,153,159,I,I,6.12.3,6.12.3,,,,,external_work_citation,external_citation_context," say that $X$ satisfies condition \emph{(reg)} if the following equivalent properties hold (EGA IV, 6.12.3):"
SGA5-R9-RESIDUAL-000068,SGA5_English_sync_workpass.tex,845,140,146,I,I,6.12.8,6.12.8,,,,,external_work_citation,external_citation_context," is locally of finite type over a complete noetherian local ring, for example over a field (EGA IV, 6.12.8), or over a Dedekind ring whose field of fractions has characteristic zero, for example over $\ZZ$ "
SGA5-R9-RESIDUAL-000069,SGA5_English_sync_workpass.tex,845,255,261,I,I,6.12.6,6.12.6,,,,,external_work_citation,external_citation_context,"r a Dedekind ring whose field of fractions has characteristic zero, for example over $\ZZ$ (EGA IV, 6.12.6); more generally, it is satisfied if $X$ is excellent (EGA IV, 7.8.6)."
SGA5-R9-RESIDUAL-000070,SGA5_English_sync_workpass.tex,845,325,330,I,I,7.8.6,7.8.6,,,,,external_work_citation,external_citation_context,"r example over $\ZZ$ (EGA IV, 6.12.6); more generally, it is satisfied if $X$ is excellent (EGA IV, 7.8.6)."
SGA5-R9-RESIDUAL-000071,SGA5_English_sync_workpass.tex,848,64,69,I,I,3.1.2,3.1.2,,,sga5:I:statement:3.1.2,,structural_declaration_tag,target_or_formula_declaration,\phantomsection\label{sga5:I:statement:3.1.2}\begin{statement}{3.1.2. Dévissage of constructible sheaves}
SGA5-R9-RESIDUAL-000072,SGA5_English_sync_workpass.tex,864,63,66,I,I,2.5,2.5,,,,,external_work_citation,external_citation_context,"The equivalence of (i)--(iii) was proved in SGA A, Exposé IX, 2.5 and 5.8. The remaining assertions follow by noetherian induction. \qedtext"
SGA5-R9-RESIDUAL-000073,SGA5_English_sync_workpass.tex,864,71,74,I,I,5.8,5.8,,,,,external_work_citation,source_checked_external_citation_override,"The equivalence of (i)--(iii) was proved in SGA A, Exposé IX, 2.5 and 5.8. The remaining assertions follow by noetherian induction. \qedtext"
SGA5-R9-RESIDUAL-000074,SGA5_English_sync_workpass.tex,867,64,69,I,I,3.1.3,3.1.3,,,sga5:I:statement:3.1.3,,structural_declaration_tag,target_or_formula_declaration,\phantomsection\label{sga5:I:statement:3.1.3}\begin{statement}{3.1.3. Cohomological dimension}
SGA5-R9-RESIDUAL-000075,SGA5_English_sync_workpass.tex,872,93,96,I,I,7.1,7.1,,,sga5:I:lemma:7.1,,external_work_citation,external_citation_context,"where $\wt Y(\ol y)$ denotes the strict localization of $Y$ at $\ol y$ (SGA A, Exposé VIII, 7.1), one has"
SGA5-R9-RESIDUAL-000076,SGA5_English_sync_workpass.tex,876,48,53,I,I,6.1.3,6.1.3,,,,,external_work_citation,external_citation_context,"       \quad (=\dim \cO_{Y,y}\text{ by EGA IV, 6.1.3}),"
SGA5-R9-RESIDUAL-000077,SGA5_English_sync_workpass.tex,880,115,118,I,I,3.5,3.5,,,,,external_work_citation,external_citation_context,"$(\mathrm{cdloc})_n$ is satisfied if $X$ is locally of finite type over a field (SGA A, Exposé XIV, 3.5), or is an excellent prescheme of characteristic zero (SGA A, Exposé XIX, 6.2).\footnote{Added in 1"
SGA5-R9-RESIDUAL-000078,SGA5_English_sync_workpass.tex,880,193,196,I,I,6.2,6.2,,,,,external_work_citation,external_citation_context,"d (SGA A, Exposé XIV, 3.5), or is an excellent prescheme of characteristic zero (SGA A, Exposé XIX, 6.2).\footnote{Added in 1977: or, by a recent result of G. Ofer, if $X$ is excellent, regular, and of d"
SGA5-R9-RESIDUAL-000079,SGA5_English_sync_workpass.tex,883,64,69,I,I,3.1.4,3.1.4,,,sga5:I:statement:3.1.4,,structural_declaration_tag,target_or_formula_declaration,\phantomsection\label{sga5:I:statement:3.1.4}\begin{statement}{3.1.4. Absolute cohomological purity}
SGA5-R9-RESIDUAL-000080,SGA5_English_sync_workpass.tex,888,75,78,I,I,2.2,2.2,,,sga5:I:lemma:2.2,,external_work_citation,external_citation_context,"and if the ``local fundamental class'' homomorphism (SGA $4^{1/2}$, Cycle 2.2)"
SGA5-R9-RESIDUAL-000081,SGA5_English_sync_workpass.tex,896,121,124,I,I,3.9,3.9,,,,,external_work_citation,external_citation_context,"rue on $X$ if $X$ is smooth over a perfect field of characteristic prime to $n$ (SGA A, Exposé XVI, 3.9), or if $X$ is an excellent prescheme of characteristic zero (SGA A, Exposé XIX, 3.2), or if $X$ is"
SGA5-R9-RESIDUAL-000082,SGA5_English_sync_workpass.tex,896,206,209,I,I,3.2,3.2,,,sga5:I:subsection:3.2,,external_work_citation,external_citation_context,"A, Exposé XVI, 3.9), or if $X$ is an excellent prescheme of characteristic zero (SGA A, Exposé XIX, 3.2), or if $X$ is regular of dimension $1$ (cf. \hyperref[sga5:I:theorem:5.1]{5.1}).\footnote{Added in"
SGA5-R9-RESIDUAL-000083,SGA5_English_sync_workpass.tex,899,64,69,I,I,3.1.5,3.1.5,,,sga5:I:statement:3.1.5,,structural_declaration_tag,target_or_formula_declaration,\phantomsection\label{sga5:I:statement:3.1.5}\begin{statement}{3.1.5. Hironaka-style resolution of singularities}
SGA5-R9-RESIDUAL-000084,SGA5_English_sync_workpass.tex,919,64,69,I,I,3.1.6,3.1.6,,,sga5:I:statement:3.1.6,,structural_declaration_tag,target_or_formula_declaration,\phantomsection\label{sga5:I:statement:3.1.6}\begin{statement}{3.1.6. Cohomological finiteness}
SGA5-R9-RESIDUAL-000085,SGA5_English_sync_workpass.tex,922,68,71,I,I,1.1,1.1,,,sga5:I:definition:1.1|sga5:I:paragraph:1.1,,external_work_citation,external_citation_context,"\item $f$ is proper and of finite presentation (SGA A, Exposé XIV, 1.1);"
SGA5-R9-RESIDUAL-000086,SGA5_English_sync_workpass.tex,925,150,153,I,I,5.1,5.1,,,sga5:I:theorem:5.1|sga5:I:proposition:5.1,,external_work_citation,external_citation_context,"ver a field $k$ of characteristic zero and $f$ is a $k$-morphism of finite type (SGA A, Exposé XVI, 5.1);"
SGA5-R9-RESIDUAL-000087,SGA5_English_sync_workpass.tex,926,96,99,I,I,5.1,5.1,,,sga5:I:theorem:5.1|sga5:I:proposition:5.1,,external_work_citation,external_citation_context,"\item if $Y$ is excellent of characteristic zero and $f$ is of finite type (SGA A, Exposé XIX, 5.1);"
SGA5-R9-RESIDUAL-000088,SGA5_English_sync_workpass.tex,927,91,94,I,I,5.1,5.1,,,sga5:I:theorem:5.1|sga5:I:proposition:5.1,,external_work_citation,external_citation_context,"\item if $X$ is locally of finite type over a field and $\dim(X)\le2$ (SGA A, Exposé XIX, 5.1)."
SGA5-R9-RESIDUAL-000089,SGA5_English_sync_workpass.tex,932,14,17,I,I,3.2,3.2,,,sga5:I:subsection:3.2,,structural_declaration_tag,target_or_formula_declaration,\subsection*{3.2. The quasi-injective dimension of $A_X$}\phantomsection\label{sga5:I:subsection:3.2}
SGA5-R9-RESIDUAL-000090,SGA5_English_sync_workpass.tex,934,78,83,I,I,3.2.1,3.2.1,,proposition,sga5:I:proposition:3.2.1,,structural_declaration_tag,target_or_formula_declaration,\phantomsection\label{sga5:I:proposition:3.2.1}\begin{statement}{Proposition 3.2.1}
SGA5-R9-RESIDUAL-000091,SGA5_English_sync_workpass.tex,970,56,62,I,I,9.5.10,9.5.10,,,,,external_work_citation,external_citation_context,"Let $Z$ be the schematic closure of $Y$ in $X$ (EGA I, 9.5.10). Then $Y=Z\cap D(f)$ (EGA $0_{\mathrm I}$, 2.1.6). Denote by $j:Y\to Z$ and $k:Z\to X$ the canonic"
SGA5-R9-RESIDUAL-000092,SGA5_English_sync_workpass.tex,970,107,112,I,I,2.1.6,2.1.6,,,,,external_work_citation,external_citation_context,"$ be the schematic closure of $Y$ in $X$ (EGA I, 9.5.10). Then $Y=Z\cap D(f)$ (EGA $0_{\mathrm I}$, 2.1.6). Denote by $j:Y\to Z$ and $k:Z\to X$ the canonical immersions. We have $\R i_*=k_*\R j_*$, so we a"
SGA5-R9-RESIDUAL-000093,SGA5_English_sync_workpass.tex,970,552,555,I,I,5.2,5.2,,,,,external_work_citation,external_citation_context,", and let $\wt{\mathcal H}$ be the inverse image of $\mathcal H$ on $\wt Y$. By SGA A, Exposé VIII, 5.2,"
SGA5-R9-RESIDUAL-000094,SGA5_English_sync_workpass.tex,988,10,15,I,I,5.1.3,5.1.3,,,sga5:I:equation:5.1.3,,external_work_citation,external_citation_context,"(EGA IV, 5.1.3) and"
SGA5-R9-RESIDUAL-000095,SGA5_English_sync_workpass.tex,993,25,32,I,I,16.5.12,16.5.12,,,,,external_work_citation,external_citation_context,"(EGA $0_{\mathrm{IV}}$, 16.5.12 and EGA IV, 5.1.9), one obtains"
SGA5-R9-RESIDUAL-000096,SGA5_English_sync_workpass.tex,993,45,50,I,I,5.1.9,5.1.9,,,sga5:I:lemma:5.1.9,,external_work_citation,external_citation_context,"(EGA $0_{\mathrm{IV}}$, 16.5.12 and EGA IV, 5.1.9), one obtains"
