candidate_id,source_file,source_line,source_column,visible_token,final_class,edge_id,target_id,adjudication_status,rationale
CAND-000015,components/sga4half_1_en.tex,1689,23,definition i,other_positively_demonstrated_nonreference,,,final,"The detector crossed a word boundary into a following word such as 'is'/'in', or captured a generic anaphoric noun; the source contains no numbered locator at this occurrence."
CAND-000016,components/sga4half_1_en.tex,1737,33,definition i,other_positively_demonstrated_nonreference,,,final,"The detector crossed a word boundary into a following word such as 'is'/'in', or captured a generic anaphoric noun; the source contains no numbered locator at this occurrence."
CAND-000017,components/sga4half_1_en.tex,1757,23,4.5.4.1,structural_declaration,,,final,"The token declares an equation/statement/section number on a line already carrying its structural label; it is a target declaration, not a reference edge."
CAND-000018,components/sga4half_1_en.tex,1794,23,4.6.2.1,structural_declaration,,,final,"The token declares an equation/statement/section number on a line already carrying its structural label; it is a target declaration, not a reference edge."
CAND-000019,components/sga4half_1_en.tex,1837,6,theorem i,other_positively_demonstrated_nonreference,,,final,"The detector crossed a word boundary into a following word such as 'is'/'in', or captured a generic anaphoric noun; the source contains no numbered locator at this occurrence."
CAND-000020,components/sga4half_1_en.tex,1898,6,chapter i,other_positively_demonstrated_nonreference,,,final,"The detector crossed a word boundary into a following word such as 'is'/'in', or captured a generic anaphoric noun; the source contains no numbered locator at this occurrence."
CAND-000021,components/sga4half_1_en.tex,1940,23,5.1.3.1,structural_declaration,,,final,"The token declares an equation/statement/section number on a line already carrying its structural label; it is a target declaration, not a reference edge."
CAND-000022,components/sga4half_1_en.tex,2020,23,5.1.6.1,structural_declaration,,,final,"The token declares an equation/statement/section number on a line already carrying its structural label; it is a target declaration, not a reference edge."
CAND-000023,components/sga4half_1_en.tex,2174,38,theorem i,other_positively_demonstrated_nonreference,,,final,"The detector crossed a word boundary into a following word such as 'is'/'in', or captured a generic anaphoric noun; the source contains no numbered locator at this occurrence."
CAND-000024,components/sga4half_1_en.tex,2302,55,theorem i,other_positively_demonstrated_nonreference,,,final,"The detector crossed a word boundary into a following word such as 'is'/'in', or captured a generic anaphoric noun; the source contains no numbered locator at this occurrence."
CAND-000025,components/sga4half_1_en.tex,2319,23,5.3.4.1,structural_declaration,,,final,"The token declares an equation/statement/section number on a line already carrying its structural label; it is a target declaration, not a reference edge."
CAND-000026,components/sga4half_1_en.tex,2595,27,6.2.3.1,structural_declaration,,,final,"The token declares an equation/statement/section number on a line already carrying its structural label; it is a target declaration, not a reference edge."
CAND-000027,components/sga4half_1_en.tex,2621,23,6.2.3.2,structural_declaration,,,final,"The token declares an equation/statement/section number on a line already carrying its structural label; it is a target declaration, not a reference edge."
CAND-000028,components/sga4half_1_en.tex,2626,23,6.2.2.3,structural_declaration,,,final,"The token declares an equation/statement/section number on a line already carrying its structural label; it is a target declaration, not a reference edge."
CAND-000029,components/sga4half_1_en.tex,2640,5,definition i,other_positively_demonstrated_nonreference,,,final,"The detector crossed a word boundary into a following word such as 'is'/'in', or captured a generic anaphoric noun; the source contains no numbered locator at this occurrence."
CAND-000030,components/sga4half_1_en.tex,2652,23,6.3.1.1,structural_declaration,,,final,"The token declares an equation/statement/section number on a line already carrying its structural label; it is a target declaration, not a reference edge."
CAND-000031,components/sga4half_1_en.tex,2660,23,6.3.1.2,structural_declaration,,,final,"The token declares an equation/statement/section number on a line already carrying its structural label; it is a target declaration, not a reference edge."
CAND-000032,components/sga4half_2_en.tex,70,23,1.2.1,structural_declaration,,,final,"The token declares an equation/statement/section number on a line already carrying its structural label; it is a target declaration, not a reference edge."
CAND-000033,components/sga4half_2_en.tex,221,23,1.8.1,structural_declaration,,,final,"The token declares an equation/statement/section number on a line already carrying its structural label; it is a target declaration, not a reference edge."
CAND-000034,components/sga4half_2_en.tex,459,27,2.2),linked_internal_edge,REF-000762,TARGET-000473,final,The visible locator 'VI 2.2' identifies the declared local target VI:2-2; only an invisible hyperlink wrapper was inserted.
CAND-000035,components/sga4half_2_en.tex,552,23,3.3.1,structural_declaration,,,final,"The token declares an equation/statement/section number on a line already carrying its structural label; it is a target declaration, not a reference edge."
CAND-000036,components/sga4half_2_en.tex,580,23,3.4.1,structural_declaration,,,final,"The token declares an equation/statement/section number on a line already carrying its structural label; it is a target declaration, not a reference edge."
CAND-000037,components/sga4half_2_en.tex,685,1,theorem i,other_positively_demonstrated_nonreference,,,final,"The detector crossed a word boundary into a following word such as 'is'/'in', or captured a generic anaphoric noun; the source contains no numbered locator at this occurrence."
CAND-000038,components/sga4half_2_en.tex,761,23,4.2.1,structural_declaration,,,final,"The token declares an equation/statement/section number on a line already carrying its structural label; it is a target declaration, not a reference edge."
CAND-000039,components/sga4half_2_en.tex,769,23,4.2.2,structural_declaration,,,final,"The token declares an equation/statement/section number on a line already carrying its structural label; it is a target declaration, not a reference edge."
CAND-000040,components/sga4half_2_en.tex,784,23,4.3.1,structural_declaration,,,final,"The token declares an equation/statement/section number on a line already carrying its structural label; it is a target declaration, not a reference edge."
CAND-000041,components/sga4half_2_en.tex,789,23,4.3.2,structural_declaration,,,final,"The token declares an equation/statement/section number on a line already carrying its structural label; it is a target declaration, not a reference edge."
CAND-000042,components/sga4half_2_en.tex,831,23,4.4.1,structural_declaration,,,final,"The token declares an equation/statement/section number on a line already carrying its structural label; it is a target declaration, not a reference edge."
CAND-000043,components/sga4half_2_en.tex,956,8,IX.2.10,external_work_citation,,,final,The locator is inside a bibliographic citation to another work or SGA volume.  It remains visible in the standalone reader and is reserved for the cumulative cross-volume resolution pass where applicable.
CAND-000044,components/sga4half_2_en.tex,986,23,4.9.1,structural_declaration,,,final,"The token declares an equation/statement/section number on a line already carrying its structural label; it is a target declaration, not a reference edge."
CAND-000045,components/sga4half_2_en.tex,1057,53,2.10,structural_declaration,,,final,"The token declares an equation/statement/section number on a line already carrying its structural label; it is a target declaration, not a reference edge."
CAND-000046,components/sga4half_2_en.tex,1069,23,4.11.1,structural_declaration,,,final,"The token declares an equation/statement/section number on a line already carrying its structural label; it is a target declaration, not a reference edge."
CAND-000047,components/sga4half_2_en.tex,1077,25,XI.3.3,external_work_citation,,,final,The locator is inside a bibliographic citation to another work or SGA volume.  It remains visible in the standalone reader and is reserved for the cumulative cross-volume resolution pass where applicable.
CAND-000048,components/sga4half_2_en.tex,1103,61,(4.11.1),structural_declaration,,,final,"The token declares an equation/statement/section number on a line already carrying its structural label; it is a target declaration, not a reference edge."
CAND-000049,components/sga4half_2_en.tex,1118,51,4.2.12,external_work_citation,,,final,The locator is inside a bibliographic citation to another work or SGA volume.  It remains visible in the standalone reader and is reserved for the cumulative cross-volume resolution pass where applicable.
CAND-000050,components/sga4half_2_en.tex,1135,24,XVII.4.2.10,external_work_citation,,,final,The locator is inside a bibliographic citation to another work or SGA volume.  It remains visible in the standalone reader and is reserved for the cumulative cross-volume resolution pass where applicable.
CAND-000051,components/sga4half_2_en.tex,1148,54,(3.2),structural_declaration,,,final,"The token declares an equation/statement/section number on a line already carrying its structural label; it is a target declaration, not a reference edge."
CAND-000052,components/sga4half_2_en.tex,1167,7,XV.3.3,external_work_citation,,,final,The locator is inside a bibliographic citation to another work or SGA volume.  It remains visible in the standalone reader and is reserved for the cumulative cross-volume resolution pass where applicable.
CAND-000053,components/sga4half_2_en.tex,1259,6,theorem i,other_positively_demonstrated_nonreference,,,final,"The detector crossed a word boundary into a following word such as 'is'/'in', or captured a generic anaphoric noun; the source contains no numbered locator at this occurrence."
CAND-000054,components/sga4half_2_en.tex,1362,27,5.7.1,structural_declaration,,,final,"The token declares an equation/statement/section number on a line already carrying its structural label; it is a target declaration, not a reference edge."
CAND-000055,components/sga4half_2_en.tex,1403,23,5.9.1,structural_declaration,,,final,"The token declares an equation/statement/section number on a line already carrying its structural label; it is a target declaration, not a reference edge."
CAND-000056,components/sga4half_2_en.tex,1412,23,5.9.2,structural_declaration,,,final,"The token declares an equation/statement/section number on a line already carrying its structural label; it is a target declaration, not a reference edge."
CAND-000057,components/sga4half_2_en.tex,1537,23,5.12.1,structural_declaration,,,final,"The token declares an equation/statement/section number on a line already carrying its structural label; it is a target declaration, not a reference edge."
CAND-000058,components/sga4half_3_en.tex,8,42,5.5,external_work_citation,,,final,The locator is inside a bibliographic citation to another work or SGA volume.  It remains visible in the standalone reader and is reserved for the cumulative cross-volume resolution pass where applicable.
CAND-000059,components/sga4half_3_en.tex,29,12,5.5.1,external_work_citation,,,final,The locator is inside a bibliographic citation to another work or SGA volume.  It remains visible in the standalone reader and is reserved for the cumulative cross-volume resolution pass where applicable.
CAND-000060,components/sga4half_3_en.tex,48,12,5.5.7,external_work_citation,,,final,The locator is inside a bibliographic citation to another work or SGA volume.  It remains visible in the standalone reader and is reserved for the cumulative cross-volume resolution pass where applicable.
CAND-000061,components/sga4half_3_en.tex,88,12,5.5.3,external_work_citation,,,final,The locator is inside a bibliographic citation to another work or SGA volume.  It remains visible in the standalone reader and is reserved for the cumulative cross-volume resolution pass where applicable.
CAND-000062,components/sga4half_3_en.tex,127,49,5.5.14,external_work_citation,,,final,The locator is inside a bibliographic citation to another work or SGA volume.  It remains visible in the standalone reader and is reserved for the cumulative cross-volume resolution pass where applicable.
CAND-000063,components/sga4half_3_en.tex,170,23,1.8.1,structural_declaration,,,final,"The token declares an equation/statement/section number on a line already carrying its structural label; it is a target declaration, not a reference edge."
CAND-000064,components/sga4half_3_en.tex,266,23,1.12.1,structural_declaration,,,final,"The token declares an equation/statement/section number on a line already carrying its structural label; it is a target declaration, not a reference edge."
CAND-000065,components/sga4half_3_en.tex,349,23,2.2.1,structural_declaration,,,final,"The token declares an equation/statement/section number on a line already carrying its structural label; it is a target declaration, not a reference edge."
CAND-000066,components/sga4half_3_en.tex,418,34,3.1,external_work_citation,,,final,The locator is inside a bibliographic citation to another work or SGA volume.  It remains visible in the standalone reader and is reserved for the cumulative cross-volume resolution pass where applicable.
CAND-000067,components/sga4half_3_en.tex,446,51,5.5.21,external_work_citation,,,final,The locator is inside a bibliographic citation to another work or SGA volume.  It remains visible in the standalone reader and is reserved for the cumulative cross-volume resolution pass where applicable.
CAND-000068,components/sga4half_3_en.tex,484,23,2.10.1,structural_declaration,,,final,"The token declares an equation/statement/section number on a line already carrying its structural label; it is a target declaration, not a reference edge."
CAND-000069,components/sga4half_3_en.tex,522,15,formula i,other_positively_demonstrated_nonreference,,,final,"The detector crossed a word boundary into a following word such as 'is'/'in', or captured a generic anaphoric noun; the source contains no numbered locator at this occurrence."
CAND-000070,components/sga4half_3_en.tex,531,33,5.5.12,external_work_citation,,,final,The locator is inside a bibliographic citation to another work or SGA volume.  It remains visible in the standalone reader and is reserved for the cumulative cross-volume resolution pass where applicable.
CAND-000071,components/sga4half_3_en.tex,545,5,theorem i,other_positively_demonstrated_nonreference,,,final,"The detector crossed a word boundary into a following word such as 'is'/'in', or captured a generic anaphoric noun; the source contains no numbered locator at this occurrence."
CAND-000072,components/sga4half_3_en.tex,549,66,formula i,other_positively_demonstrated_nonreference,,,final,"The detector crossed a word boundary into a following word such as 'is'/'in', or captured a generic anaphoric noun; the source contains no numbered locator at this occurrence."
CAND-000073,components/sga4half_3_en.tex,576,10,3.5,external_work_citation,,,final,The locator is inside a bibliographic citation to another work or SGA volume.  It remains visible in the standalone reader and is reserved for the cumulative cross-volume resolution pass where applicable.
CAND-000074,components/sga4half_3_en.tex,612,23,3.3.1,structural_declaration,,,final,"The token declares an equation/statement/section number on a line already carrying its structural label; it is a target declaration, not a reference edge."
CAND-000075,components/sga4half_3_en.tex,616,23,3.3.2,structural_declaration,,,final,"The token declares an equation/statement/section number on a line already carrying its structural label; it is a target declaration, not a reference edge."
CAND-000076,components/sga4half_3_en.tex,713,16,lemma i,other_positively_demonstrated_nonreference,,,final,"The detector crossed a word boundary into a following word such as 'is'/'in', or captured a generic anaphoric noun; the source contains no numbered locator at this occurrence."
CAND-000077,components/sga4half_3_en.tex,790,23,3.7.1,structural_declaration,,,final,"The token declares an equation/statement/section number on a line already carrying its structural label; it is a target declaration, not a reference edge."
CAND-000078,components/sga4half_3_en.tex,845,23,4.1.1,structural_declaration,,,final,"The token declares an equation/statement/section number on a line already carrying its structural label; it is a target declaration, not a reference edge."
CAND-000079,components/sga4half_3_en.tex,883,23,4.3.1,structural_declaration,,,final,"The token declares an equation/statement/section number on a line already carrying its structural label; it is a target declaration, not a reference edge."
CAND-000080,components/sga4half_3_en.tex,887,23,4.3.2,structural_declaration,,,final,"The token declares an equation/statement/section number on a line already carrying its structural label; it is a target declaration, not a reference edge."
CAND-000081,components/sga4half_3_en.tex,907,23,4.4.1,structural_declaration,,,final,"The token declares an equation/statement/section number on a line already carrying its structural label; it is a target declaration, not a reference edge."
CAND-000082,components/sga4half_3_en.tex,924,23,4.4.2,structural_declaration,,,final,"The token declares an equation/statement/section number on a line already carrying its structural label; it is a target declaration, not a reference edge."
CAND-000083,components/sga4half_3_en.tex,939,23,4.4.3,structural_declaration,,,final,"The token declares an equation/statement/section number on a line already carrying its structural label; it is a target declaration, not a reference edge."
CAND-000084,components/sga4half_3_en.tex,945,49,formula i,other_positively_demonstrated_nonreference,,,final,"The detector crossed a word boundary into a following word such as 'is'/'in', or captured a generic anaphoric noun; the source contains no numbered locator at this occurrence."
CAND-000085,components/sga4half_3_en.tex,948,23,4.4.4,structural_declaration,,,final,"The token declares an equation/statement/section number on a line already carrying its structural label; it is a target declaration, not a reference edge."
CAND-000086,components/sga4half_4_en.tex,232,23,1.2.1.1,structural_declaration,,,final,"The token declares an equation/statement/section number on a line already carrying its structural label; it is a target declaration, not a reference edge."
CAND-000087,components/sga4half_4_en.tex,243,23,1.2.1.2,structural_declaration,,,final,"The token declares an equation/statement/section number on a line already carrying its structural label; it is a target declaration, not a reference edge."
CAND-000088,components/sga4half_4_en.tex,258,23,1.2.2.1,structural_declaration,,,final,"The token declares an equation/statement/section number on a line already carrying its structural label; it is a target declaration, not a reference edge."
CAND-000089,components/sga4half_4_en.tex,262,23,1.2.2.2,structural_declaration,,,final,"The token declares an equation/statement/section number on a line already carrying its structural label; it is a target declaration, not a reference edge."
CAND-000090,components/sga4half_4_en.tex,266,23,1.2.2.3,structural_declaration,,,final,"The token declares an equation/statement/section number on a line already carrying its structural label; it is a target declaration, not a reference edge."
CAND-000091,components/sga4half_4_en.tex,311,23,1.2.4.1,structural_declaration,,,final,"The token declares an equation/statement/section number on a line already carrying its structural label; it is a target declaration, not a reference edge."
CAND-000092,components/sga4half_4_en.tex,357,23,1.2.5.1,structural_declaration,,,final,"The token declares an equation/statement/section number on a line already carrying its structural label; it is a target declaration, not a reference edge."
CAND-000093,components/sga4half_4_en.tex,362,23,1.2.5.2,structural_declaration,,,final,"The token declares an equation/statement/section number on a line already carrying its structural label; it is a target declaration, not a reference edge."
CAND-000094,components/sga4half_4_en.tex,394,17,1.1,external_work_citation,,,final,The locator is inside a bibliographic citation to another work or SGA volume.  It remains visible in the standalone reader and is reserved for the cumulative cross-volume resolution pass where applicable.
CAND-000095,components/sga4half_4_en.tex,413,17,Example 1,structural_declaration,,TARGET-000791,final,This unnumbered Example 1 heading is a source-visible structural declaration.  A zero-content stable destination sga4half.e04.example.1-3-1 was added without changing the heading text.
CAND-000096,components/sga4half_4_en.tex,429,17,Example 2,structural_declaration,,TARGET-000792,final,This unnumbered Example 2 heading is a source-visible structural declaration.  A zero-content stable destination sga4half.e04.example.1-3-2 was added without changing the heading text.
CAND-000097,components/sga4half_4_en.tex,443,17,Example 3,structural_declaration,,TARGET-000793,final,This unnumbered Example 3 heading is a source-visible structural declaration.  A zero-content stable destination sga4half.e04.example.1-3-3 was added without changing the heading text.
CAND-000098,components/sga4half_4_en.tex,450,23,1.3.1,structural_declaration,,,final,"The token declares an equation/statement/section number on a line already carrying its structural label; it is a target declaration, not a reference edge."
CAND-000099,components/sga4half_4_en.tex,457,23,1.3.2,structural_declaration,,,final,"The token declares an equation/statement/section number on a line already carrying its structural label; it is a target declaration, not a reference edge."
CAND-000100,components/sga4half_4_en.tex,468,23,1.3.4,structural_declaration,,,final,"The token declares an equation/statement/section number on a line already carrying its structural label; it is a target declaration, not a reference edge."
CAND-000101,components/sga4half_4_en.tex,473,23,1.3.5,structural_declaration,,,final,"The token declares an equation/statement/section number on a line already carrying its structural label; it is a target declaration, not a reference edge."
CAND-000102,components/sga4half_4_en.tex,481,23,1.3.6,structural_declaration,,,final,"The token declares an equation/statement/section number on a line already carrying its structural label; it is a target declaration, not a reference edge."
CAND-000103,components/sga4half_4_en.tex,534,23,2.1.1,structural_declaration,,,final,"The token declares an equation/statement/section number on a line already carrying its structural label; it is a target declaration, not a reference edge."
CAND-000104,components/sga4half_4_en.tex,775,52,1.8,external_work_citation,,,final,The locator is inside a bibliographic citation to another work or SGA volume.  It remains visible in the standalone reader and is reserved for the cumulative cross-volume resolution pass where applicable.
CAND-000105,components/sga4half_4_en.tex,775,57,1.10,external_work_citation,,,final,The locator is inside a bibliographic citation to another work or SGA volume.  It remains visible in the standalone reader and is reserved for the cumulative cross-volume resolution pass where applicable.
CAND-000106,components/sga4half_4_en.tex,775,63,1.15,external_work_citation,,,final,The locator is inside a bibliographic citation to another work or SGA volume.  It remains visible in the standalone reader and is reserved for the cumulative cross-volume resolution pass where applicable.
CAND-000107,components/sga4half_4_en.tex,806,13,3.17,external_work_citation,,,final,The locator is inside a bibliographic citation to another work or SGA volume.  It remains visible in the standalone reader and is reserved for the cumulative cross-volume resolution pass where applicable.
CAND-000108,components/sga4half_4_en.tex,909,31,2.9,external_work_citation,,,final,The locator is inside a bibliographic citation to another work or SGA volume.  It remains visible in the standalone reader and is reserved for the cumulative cross-volume resolution pass where applicable.
CAND-000109,components/sga4half_4_en.tex,910,23,2.3.1.1,structural_declaration,,,final,"The token declares an equation/statement/section number on a line already carrying its structural label; it is a target declaration, not a reference edge."
CAND-000110,components/sga4half_4_en.tex,916,23,2.1.3.2,structural_declaration,,,final,"The token declares an equation/statement/section number on a line already carrying its structural label; it is a target declaration, not a reference edge."
CAND-000111,components/sga4half_4_en.tex,930,23,2.3.1.3,structural_declaration,,,final,"The token declares an equation/statement/section number on a line already carrying its structural label; it is a target declaration, not a reference edge."
CAND-000112,components/sga4half_4_en.tex,1035,23,2.3.3.1,structural_declaration,,,final,"The token declares an equation/statement/section number on a line already carrying its structural label; it is a target declaration, not a reference edge."
CAND-000113,components/sga4half_4_en.tex,1056,16,XVII.6.2.5,external_work_citation,,,final,The locator is inside a bibliographic citation to another work or SGA volume.  It remains visible in the standalone reader and is reserved for the cumulative cross-volume resolution pass where applicable.
CAND-000114,components/sga4half_4_en.tex,1068,23,2.3.4,structural_declaration,,,final,"The token declares an equation/statement/section number on a line already carrying its structural label; it is a target declaration, not a reference edge."
CAND-000115,components/sga4half_4_en.tex,1074,7,XVIII.2.9,external_work_citation,,,final,The locator is inside a bibliographic citation to another work or SGA volume.  It remains visible in the standalone reader and is reserved for the cumulative cross-volume resolution pass where applicable.
CAND-000116,components/sga4half_4_en.tex,1090,34,XVIII.2.9,external_work_citation,,,final,The locator is inside a bibliographic citation to another work or SGA volume.  It remains visible in the standalone reader and is reserved for the cumulative cross-volume resolution pass where applicable.
CAND-000117,components/sga4half_4_en.tex,1201,44,XVIII.2.12,external_work_citation,,,final,The locator is inside a bibliographic citation to another work or SGA volume.  It remains visible in the standalone reader and is reserved for the cumulative cross-volume resolution pass where applicable.
CAND-000118,components/sga4half_4_en.tex,1204,14,0.5,typography_layout_geometry_value,,,final,"The token is a TeX page or xymatrix sizing value, not a mathematical or bibliographic locator."
CAND-000119,components/sga4half_4_en.tex,1299,43,formula i,other_positively_demonstrated_nonreference,,,final,"The detector crossed a word boundary into a following word such as 'is'/'in', or captured a generic anaphoric noun; the source contains no numbered locator at this occurrence."
CAND-000120,components/sga4half_5_en.tex,7,24,I.5.1,external_work_citation,,,final,The locator is inside a bibliographic citation to another work or SGA volume.  It remains visible in the standalone reader and is reserved for the cumulative cross-volume resolution pass where applicable.
CAND-000121,components/sga4half_5_en.tex,54,23,1.2.1,structural_declaration,,,final,"The token declares an equation/statement/section number on a line already carrying its structural label; it is a target declaration, not a reference edge."
CAND-000122,components/sga4half_5_en.tex,117,14,0.7,typography_layout_geometry_value,,,final,"The token is a TeX page or xymatrix sizing value, not a mathematical or bibliographic locator."
CAND-000123,components/sga4half_5_en.tex,176,23,2.1.1,structural_declaration,,,final,"The token declares an equation/statement/section number on a line already carrying its structural label; it is a target declaration, not a reference edge."
CAND-000124,components/sga4half_5_en.tex,193,23,2.2.1,structural_declaration,,,final,"The token declares an equation/statement/section number on a line already carrying its structural label; it is a target declaration, not a reference edge."
CAND-000125,components/sga4half_5_en.tex,246,41,2.5.1,structural_declaration,,,final,"The token declares an equation/statement/section number on a line already carrying its structural label; it is a target declaration, not a reference edge."
CAND-000126,components/sga4half_5_en.tex,256,23,2.5.2,structural_declaration,,,final,"The token declares an equation/statement/section number on a line already carrying its structural label; it is a target declaration, not a reference edge."
CAND-000127,components/sga4half_5_en.tex,275,23,2.5.3,structural_declaration,,,final,"The token declares an equation/statement/section number on a line already carrying its structural label; it is a target declaration, not a reference edge."
CAND-000128,components/sga4half_5_en.tex,290,21,theorem i,other_positively_demonstrated_nonreference,,,final,"The detector crossed a word boundary into a following word such as 'is'/'in', or captured a generic anaphoric noun; the source contains no numbered locator at this occurrence."
CAND-000129,components/sga4half_5_en.tex,413,23,3.2.1,structural_declaration,,,final,"The token declares an equation/statement/section number on a line already carrying its structural label; it is a target declaration, not a reference edge."
CAND-000130,components/sga4half_5_en.tex,428,23,3.2.2,structural_declaration,,,final,"The token declares an equation/statement/section number on a line already carrying its structural label; it is a target declaration, not a reference edge."
CAND-000131,components/sga4half_5_en.tex,474,23,3.2.3,structural_declaration,,,final,"The token declares an equation/statement/section number on a line already carrying its structural label; it is a target declaration, not a reference edge."
CAND-000132,components/sga4half_5_en.tex,534,23,3.4.1,structural_declaration,,,final,"The token declares an equation/statement/section number on a line already carrying its structural label; it is a target declaration, not a reference edge."
CAND-000133,components/sga4half_5_en.tex,544,23,3.4.2,structural_declaration,,,final,"The token declares an equation/statement/section number on a line already carrying its structural label; it is a target declaration, not a reference edge."
CAND-000134,components/sga4half_5_en.tex,605,41,3.1.10.3,external_work_citation,,,final,The locator 3.1.10.3 belongs to the explicit SGA 4 XVIII citation in the local section title; it is not this section's own number.
CAND-000135,components/sga4half_6_en.tex,20,1,Section 3,linked_internal_edge,REF-000763,TARGET-000501,final,The visible locator 'Section 3' identifies the declared local target VI:3; only an invisible hyperlink wrapper was inserted.
CAND-000136,components/sga4half_6_en.tex,96,23,1.1.1,structural_declaration,,,final,"The token declares an equation/statement/section number on a line already carrying its structural label; it is a target declaration, not a reference edge."
CAND-000137,components/sga4half_6_en.tex,129,23,1.2.1,structural_declaration,,,final,"The token declares an equation/statement/section number on a line already carrying its structural label; it is a target declaration, not a reference edge."
CAND-000138,components/sga4half_6_en.tex,138,23,1.2.2,structural_declaration,,,final,"The token declares an equation/statement/section number on a line already carrying its structural label; it is a target declaration, not a reference edge."
CAND-000139,components/sga4half_6_en.tex,150,23,1.2.3,structural_declaration,,,final,"The token declares an equation/statement/section number on a line already carrying its structural label; it is a target declaration, not a reference edge."
CAND-000140,components/sga4half_6_en.tex,175,23,1.3.1,structural_declaration,,,final,"The token declares an equation/statement/section number on a line already carrying its structural label; it is a target declaration, not a reference edge."
CAND-000141,components/sga4half_6_en.tex,210,23,1.4.1,structural_declaration,,,final,"The token declares an equation/statement/section number on a line already carrying its structural label; it is a target declaration, not a reference edge."
CAND-000142,components/sga4half_6_en.tex,228,20,1.4.2,structural_declaration,,,final,"The token declares an equation/statement/section number on a line already carrying its structural label; it is a target declaration, not a reference edge."
CAND-000143,components/sga4half_6_en.tex,236,6,1.4.3,structural_declaration,,,final,"The token declares an equation/statement/section number on a line already carrying its structural label; it is a target declaration, not a reference edge."
CAND-000144,components/sga4half_6_en.tex,256,23,1.5.1,structural_declaration,,,final,"The token declares an equation/statement/section number on a line already carrying its structural label; it is a target declaration, not a reference edge."
CAND-000145,components/sga4half_6_en.tex,273,23,1.6.1,structural_declaration,,,final,"The token declares an equation/statement/section number on a line already carrying its structural label; it is a target declaration, not a reference edge."
CAND-000146,components/sga4half_6_en.tex,289,23,1.6.2,structural_declaration,,,final,"The token declares an equation/statement/section number on a line already carrying its structural label; it is a target declaration, not a reference edge."
CAND-000147,components/sga4half_6_en.tex,306,24,1.7.1,structural_declaration,,,final,"The token declares an equation/statement/section number on a line already carrying its structural label; it is a target declaration, not a reference edge."
CAND-000148,components/sga4half_6_en.tex,308,12,1.7.2,structural_declaration,,,final,"The token declares an equation/statement/section number on a line already carrying its structural label; it is a target declaration, not a reference edge."
CAND-000149,components/sga4half_6_en.tex,314,27,1.7.3,structural_declaration,,,final,"The token declares an equation/statement/section number on a line already carrying its structural label; it is a target declaration, not a reference edge."
CAND-000150,components/sga4half_6_en.tex,321,27,1.7.4,structural_declaration,,,final,"The token declares an equation/statement/section number on a line already carrying its structural label; it is a target declaration, not a reference edge."
