target_id,label,target_kind,target_file,target_line,target_column,compiled_number,compiled_page,aux_resolved
TARGET-000052,I:2-4-3,proposition,components/sga4half_1_en.tex,825,20,2.4.3,12,true
TARGET-000053,I:2-4-4,proposition,components/sga4half_1_en.tex,845,20,2.4.4,12,true
TARGET-000054,I:2-4-5,subsubsection,components/sga4half_1_en.tex,876,25,2.4.5,12,true
TARGET-000055,I:3,section,components/sga4half_1_en.tex,888,35,3,12,true
TARGET-000056,I:3-1,subsection,components/sga4half_1_en.tex,902,30,3.1,13,true
TARGET-000057,I:3-1-1,definition,components/sga4half_1_en.tex,906,19,3.1.1,13,true
TARGET-000058,I:3-1-2,subsubsection,components/sga4half_1_en.tex,927,17,3.1.2,13,true
TARGET-000059,I:eq:3-1-2-1,equation*,components/sga4half_1_en.tex,946,31,3.1.2.1,13,true
TARGET-000060,I:3-1-3,proposition,components/sga4half_1_en.tex,964,20,3.1.3,13,true
TARGET-000061,I:3-1-4,lemma,components/sga4half_1_en.tex,970,14,3.1.4,13,true
TARGET-000062,I:3-1-5,lemma,components/sga4half_1_en.tex,986,14,3.1.5,14,true
TARGET-000063,I:3-1-6,proposition,components/sga4half_1_en.tex,1034,20,3.1.6,14,true
TARGET-000064,I:3-2,subsection,components/sga4half_1_en.tex,1047,28,3.2,14,true
TARGET-000065,I:3-2-1,definition,components/sga4half_1_en.tex,1049,19,3.2.1,14,true
TARGET-000066,I:3-2-2,proposition,components/sga4half_1_en.tex,1054,20,3.2.2,14,true
TARGET-000067,I:3-2-3,theorem,components/sga4half_1_en.tex,1079,22,3.2.3,15,true
TARGET-000068,I:3-2-4,corollary,components/sga4half_1_en.tex,1114,18,3.2.4,15,true
TARGET-000069,I:3-3-1,proposition,components/sga4half_1_en.tex,1125,20,3.3.1,15,true
TARGET-000070,I:eq:3-3-1-1,equation*,components/sga4half_1_en.tex,1143,31,3.3.1.1,16,true
TARGET-000071,I:3-3-2,lemma,components/sga4half_1_en.tex,1153,14,3.3.2,16,true
TARGET-000072,I:3-3-3,lemma,components/sga4half_1_en.tex,1168,14,3.3.3,16,true
TARGET-000073,I:3-3-4,lemma,components/sga4half_1_en.tex,1179,14,3.3.4,16,true
TARGET-000074,I:3-3-5,corollary,components/sga4half_1_en.tex,1210,18,3.3.5,16,true
TARGET-000075,I:3-3-6,proposition,components/sga4half_1_en.tex,1263,43,3.3.6,17,true
TARGET-000076,I:3-4,subsection,components/sga4half_1_en.tex,1275,24,3.4,17,true
TARGET-000077,I:3-4-1,subsubsection,components/sga4half_1_en.tex,1282,17,3.4.1,17,true
TARGET-000078,I:3-4-2,subsubsection,components/sga4half_1_en.tex,1292,17,3.4.2,17,true
TARGET-000079,I:3-4-3,subsubsection,components/sga4half_1_en.tex,1319,17,3.4.3,18,true
TARGET-000080,I:3-4-4,subsubsection,components/sga4half_1_en.tex,1345,17,3.4.4,18,true
TARGET-000081,I:4,section,components/sga4half_1_en.tex,1353,41,4,18,true
TARGET-000082,I:4-1,subsection,components/sga4half_1_en.tex,1355,26,4.1,18,true
TARGET-000083,I:4-1-1,theorem,components/sga4half_1_en.tex,1360,16,4.1.1,18,true
TARGET-000084,I:4-1-2,theorem,components/sga4half_1_en.tex,1386,16,4.1.2,19,true
TARGET-000085,I:4-2,subsection,components/sga4half_1_en.tex,1405,120,4.2,19,true
TARGET-000086,I:4-2-1,proposition,components/sga4half_1_en.tex,1410,20,4.2.1,19,true
TARGET-000087,I:4-2-2,proposition,components/sga4half_1_en.tex,1453,20,4.2.2,20,true
TARGET-000088,I:4-3,subsection,components/sga4half_1_en.tex,1496,35,4.3,20,true
TARGET-000089,I:4-3-1,definition,components/sga4half_1_en.tex,1501,19,4.3.1,20,true
TARGET-000090,I:4-3-2,definition,components/sga4half_1_en.tex,1506,19,4.3.2,20,true
TARGET-000091,I:4-3-3,lemma,components/sga4half_1_en.tex,1523,14,4.3.3,20,true
TARGET-000092,I:4-3-4,definition,components/sga4half_1_en.tex,1534,19,4.3.4,20,true
TARGET-000093,I:4-3-5,lemma,components/sga4half_1_en.tex,1542,14,4.3.5,21,true
TARGET-000094,I:4-3-6,lemma,components/sga4half_1_en.tex,1558,14,4.3.6,21,true
TARGET-000095,I:4-3-7,proposition,components/sga4half_1_en.tex,1577,20,4.3.7,21,true
TARGET-000096,I:4-4,subsection,components/sga4half_1_en.tex,1599,30,4.4,21,true
TARGET-000097,I:4-4-1,proposition,components/sga4half_1_en.tex,1630,20,4.4.1,22,true
TARGET-000098,I:4-4-2,subsubsection,components/sga4half_1_en.tex,1667,23,4.4.2,22,true
TARGET-000099,I:4-5,subsection,components/sga4half_1_en.tex,1676,44,4.5,22,true
TARGET-000100,I:4-5-1,definition,components/sga4half_1_en.tex,1678,19,4.5.1,22,true
TARGET-000101,I:4-5-2,lemma,components/sga4half_1_en.tex,1711,14,4.5.2,23,true
TARGET-000102,I:4-5-3,subsubsection,components/sga4half_1_en.tex,1727,17,4.5.3,23,true
TARGET-000103,I:4-5-4,theorem,components/sga4half_1_en.tex,1740,16,4.5.4,23,true
TARGET-000104,I:eq:4-5-4-1,equation*,components/sga4half_1_en.tex,1757,31,4.5.4.1,24,true
TARGET-000105,I:4-6,subsection,components/sga4half_1_en.tex,1761,26,4.6,24,true
TARGET-000106,I:4-6-1,theorem,components/sga4half_1_en.tex,1763,35,4.6.1,24,true
TARGET-000107,I:4-6-2,theorem,components/sga4half_1_en.tex,1778,36,4.6.2,24,true
TARGET-000108,I:eq:4-6-2-1,equation*,components/sga4half_1_en.tex,1794,31,4.6.2.1,24,true
TARGET-000109,I:4-6-3,theorem,components/sga4half_1_en.tex,1802,54,4.6.3,24,true
TARGET-000110,I:4-6-4,theorem,components/sga4half_1_en.tex,1827,59,4.6.4,24,true
TARGET-000111,I:4-6-5,subsubsection,components/sga4half_1_en.tex,1835,23,4.6.5,25,true
TARGET-000112,I:5,section,components/sga4half_1_en.tex,1845,47,5,25,true
TARGET-000113,I:5-1,subsection,components/sga4half_1_en.tex,1915,39,5.1,26,true
TARGET-000114,I:5-1-1,subsubsection,components/sga4half_1_en.tex,1917,25,5.1.1,26,true
TARGET-000115,I:5-1-2,definition,components/sga4half_1_en.tex,1922,19,5.1.2,26,true
TARGET-000116,I:5-1-3,definition,components/sga4half_1_en.tex,1930,19,5.1.3,26,true
TARGET-000117,I:eq:5-1-3-1,equation*,components/sga4half_1_en.tex,1940,31,5.1.3.1,26,true
TARGET-000118,I:5-1-4,lemma,components/sga4half_1_en.tex,1947,14,5.1.4,26,true
TARGET-000119,I:5-1-5,lemma,components/sga4half_1_en.tex,1957,14,5.1.5,26,true
TARGET-000120,I:5-1-6,subsubsection,components/sga4half_1_en.tex,1994,17,5.1.6,27,true
TARGET-000121,I:eq:5-1-6-1,equation*,components/sga4half_1_en.tex,2020,31,5.1.6.1,27,true
TARGET-000122,I:5-1-7,theorem,components/sga4half_1_en.tex,2033,16,5.1.7,27,true
TARGET-000123,I:5-1-8,lemma,components/sga4half_1_en.tex,2064,14,5.1.8,27,true
TARGET-000124,I:5-1-9,corollary,components/sga4half_1_en.tex,2091,18,5.1.9,28,true
TARGET-000125,I:5-1-10,corollary,components/sga4half_1_en.tex,2100,18,5.1.10,28,true
TARGET-000126,I:5-2,subsection,components/sga4half_1_en.tex,2118,51,5.2,28,true
TARGET-000127,I:5-2-1,theorem,components/sga4half_1_en.tex,2120,16,5.2.1,28,true
TARGET-000128,I:5-2-2,proposition,components/sga4half_1_en.tex,2144,20,5.2.2,28,true
TARGET-000129,I:5-2-3,proposition,components/sga4half_1_en.tex,2166,20,5.2.3,29,true
TARGET-000130,I:5-2-4,lemma,components/sga4half_1_en.tex,2174,64,5.2.4,29,true
TARGET-000131,I:5-2-5,lemma,components/sga4half_1_en.tex,2187,49,5.2.5,29,true
TARGET-000132,I:5-2-6,subsubsection,components/sga4half_1_en.tex,2204,17,5.2.6,29,true
TARGET-000133,I:5-2-7,lemma,components/sga4half_1_en.tex,2229,14,5.2.7,29,true
TARGET-000134,I:5-3,subsection,components/sga4half_1_en.tex,2264,26,5.3,30,true
TARGET-000135,I:5-3-1,theorem,components/sga4half_1_en.tex,2266,53,5.3.1,30,true
TARGET-000136,I:5-3-2,theorem,components/sga4half_1_en.tex,2277,50,5.3.2,30,true
TARGET-000137,I:5-3-3,corollary,components/sga4half_1_en.tex,2306,18,5.3.3,30,true
TARGET-000138,I:5-3-4,theorem,components/sga4half_1_en.tex,2317,33,5.3.4,31,true
TARGET-000139,I:eq:5-3-4-1,equation*,components/sga4half_1_en.tex,2319,31,5.3.4.1,31,true
TARGET-000140,I:5-3-5,subsubsection,components/sga4half_1_en.tex,2375,17,5.3.5,31,true
TARGET-000141,I:5-3-6,theorem,components/sga4half_1_en.tex,2380,16,5.3.6,32,true
TARGET-000142,I:5-3-7,theorem,components/sga4half_1_en.tex,2390,16,5.3.7,32,true
TARGET-000143,I:6-1,subsection,components/sga4half_1_en.tex,2406,26,6.1,32,true
TARGET-000144,I:eq:6-1,equation,components/sga4half_1_en.tex,2416,21,1,32,true
TARGET-000145,I:eq:6-2,equation,components/sga4half_1_en.tex,2425,21,2,32,true
TARGET-000146,I:eq:6-3,equation,components/sga4half_1_en.tex,2448,17,3,32,true
TARGET-000147,I:eq:6-4,equation,components/sga4half_1_en.tex,2459,21,4,33,true
TARGET-000148,I:eq:6-5,equation,components/sga4half_1_en.tex,2472,17,5,33,true
TARGET-000149,I:eq:6-5',equation,components/sga4half_1_en.tex,2492,17,6,33,true
TARGET-000150,I:eq:6-5'',equation,components/sga4half_1_en.tex,2498,17,7,33,true
TARGET-000151,I:6-2,subsection,components/sga4half_1_en.tex,2505,32,6.2,33,true
TARGET-000152,I:6-2-1,subsubsection,components/sga4half_1_en.tex,2507,17,6.2.1,33,true
TARGET-000153,I:6-2-2,theorem,components/sga4half_1_en.tex,2542,16,6.2.2,34,true
TARGET-000154,I:6-2-3,subsubsection,components/sga4half_1_en.tex,2572,32,6.2.3,34,true
TARGET-000155,I:eq:6-2-3-1,equation*,components/sga4half_1_en.tex,2595,35,6.2.3.1,34,true
TARGET-000156,I:eq:6-2-3-2,equation*,components/sga4half_1_en.tex,2621,31,6.2.3.2,34,true
TARGET-000157,I:eq:6-2-3-3,equation*,components/sga4half_1_en.tex,2626,31,6.2.2.3,34,true
TARGET-000158,I:6-3,subsection,components/sga4half_1_en.tex,2632,30,6.3,35,true
TARGET-000159,I:6-3-1,theorem,components/sga4half_1_en.tex,2643,16,6.3.1,35,true
TARGET-000160,I:eq:6-3-1-1,equation*,components/sga4half_1_en.tex,2652,31,6.3.1.1,35,true
TARGET-000161,I:eq:6-3-1-2,equation*,components/sga4half_1_en.tex,2660,31,6.3.1.2,35,true
TARGET-000162,I:6-4,subsection,components/sga4half_1_en.tex,2705,39,6.4,35,true
TARGET-000163,I:6-4-1,corollary,components/sga4half_1_en.tex,2720,18,6.4.1,36,true
TARGET-000164,II,chapter,components/sga4half_2_en.tex,3,38,2,37,true
TARGET-000165,II:1,section,components/sga4half_2_en.tex,24,25,1,37,true
TARGET-000166,II:1-1,subsection,components/sga4half_2_en.tex,30,22,1.1,37,true
TARGET-000167,II:1-2,subsection,components/sga4half_2_en.tex,65,38,1.2,37,true
TARGET-000168,II:eq:1-2-1,equation*,components/sga4half_2_en.tex,70,29,1.2.1,37,true
TARGET-000169,II:1-3,subsection,components/sga4half_2_en.tex,97,14,1.3,38,true
TARGET-000170,II:1-4,subsection,components/sga4half_2_en.tex,126,14,1.4,38,true
TARGET-000171,II:1-5,subsection,components/sga4half_2_en.tex,156,36,1.5,39,true
TARGET-000172,II:1-6,subsection,components/sga4half_2_en.tex,182,46,1.6,39,true
TARGET-000173,II:1-7,subsection,components/sga4half_2_en.tex,200,20,1.7,39,true
TARGET-000174,II:1-8,subsection,components/sga4half_2_en.tex,213,38,1.8,39,true
TARGET-000175,II:eq:1-8-1,equation*,components/sga4half_2_en.tex,221,29,1.8.1,39,true
TARGET-000176,II:2,section,components/sga4half_2_en.tex,251,50,2,40,true
TARGET-000177,II:2-1,definition_,components/sga4half_2_en.tex,261,20,2.1,40,true
TARGET-000178,II:2-2,subsection,components/sga4half_2_en.tex,284,14,2.2,40,true
TARGET-000179,II:2-3,subsection,components/sga4half_2_en.tex,299,14,2.3,40,true
TARGET-000180,II:2-4,proposition_,components/sga4half_2_en.tex,313,21,2.4,40,true
TARGET-000181,II:2-5,proposition_,components/sga4half_2_en.tex,325,21,2.5,40,true
TARGET-000182,II:2-6,subsection,components/sga4half_2_en.tex,347,14,2.6,40,true
TARGET-000183,II:2-7,subsection,components/sga4half_2_en.tex,379,14,2.7,41,true
TARGET-000184,II:2-8,subsection,components/sga4half_2_en.tex,399,14,2.8,41,true
TARGET-000185,II:2-9,subsection,components/sga4half_2_en.tex,413,14,2.9,41,true
TARGET-000186,II:2-10,subsection,components/sga4half_2_en.tex,433,14,2.10,41,true
TARGET-000187,II:2-11,subsection,components/sga4half_2_en.tex,452,14,2.11,42,true
TARGET-000188,II:3,section,components/sga4half_2_en.tex,484,62,3,42,true
TARGET-000189,II:3-1,theorem_,components/sga4half_2_en.tex,498,17,3.1,42,true
TARGET-000190,II:3-2,theorem_,components/sga4half_2_en.tex,509,17,3.2,42,true
TARGET-000191,II:3-3,proposition_,components/sga4half_2_en.tex,548,21,3.3,42,true
TARGET-000192,II:eq:3-3-1,equation*,components/sga4half_2_en.tex,552,29,3.3.1,42,true
TARGET-000193,II:3-4,corollary_,components/sga4half_2_en.tex,576,19,3.4,43,true
TARGET-000194,II:eq:3-4-1,equation*,components/sga4half_2_en.tex,580,29,3.4.1,43,true
TARGET-000195,II:3-5,subsection,components/sga4half_2_en.tex,603,20,3.5,43,true
TARGET-000196,II:3-6,subsection,components/sga4half_2_en.tex,615,20,3.6,43,true
TARGET-000197,II:3-7,subsection,components/sga4half_2_en.tex,632,20,3.7,43,true
TARGET-000198,II:3-8,subsection,components/sga4half_2_en.tex,646,14,3.8,43,true
TARGET-000199,II:4,section,components/sga4half_2_en.tex,682,83,4,44,true
TARGET-000200,II:4-1,subsection,components/sga4half_2_en.tex,699,14,4.1,44,true
TARGET-000201,II:4-2,subsection,components/sga4half_2_en.tex,724,14,4.2,44,true
TARGET-000202,II:eq:4-2-1,equation*,components/sga4half_2_en.tex,761,29,4.2.1,45,true
TARGET-000203,II:eq:4-2-2,equation*,components/sga4half_2_en.tex,769,29,4.2.2,45,true
TARGET-000204,II:4-3,subsection,components/sga4half_2_en.tex,779,14,4.3,45,true
TARGET-000205,II:eq:4-3-1,equation*,components/sga4half_2_en.tex,784,29,4.3.1,45,true
TARGET-000206,II:eq:4-3-2,equation*,components/sga4half_2_en.tex,789,29,4.3.2,45,true
TARGET-000207,II:4-4,subsection,components/sga4half_2_en.tex,808,14,4.4,45,true
TARGET-000208,II:eq:4-4-1,equation*,components/sga4half_2_en.tex,831,29,4.4.1,45,true
TARGET-000209,II:4-5,subsection,components/sga4half_2_en.tex,840,14,4.5,46,true
TARGET-000210,II:4-5-1,lemma,components/sga4half_2_en.tex,855,14,4.5.1,46,true
TARGET-000211,II:4-6,prop-def_,components/sga4half_2_en.tex,886,18,4.6,46,true
TARGET-000212,II:4-7,lemma_,components/sga4half_2_en.tex,906,15,4.7,46,true
TARGET-000213,II:4-8,lemma_,components/sga4half_2_en.tex,948,15,4.8,47,true
TARGET-000214,II:4-9,theorem_,components/sga4half_2_en.tex,964,17,4.9,47,true
TARGET-000215,II:eq:4-9-1,equation*,components/sga4half_2_en.tex,986,29,4.9.1,47,true
TARGET-000216,II:4-10,theorem_,components/sga4half_2_en.tex,1038,17,4.10,48,true
TARGET-000217,II:eq:4-10,equation*,components/sga4half_2_en.tex,1044,18,4.10,48,true
TARGET-000218,II:4-11,subsection,components/sga4half_2_en.tex,1057,59,4.11,48,true
TARGET-000219,II:eq:4-11-1,equation*,components/sga4half_2_en.tex,1069,30,4.11.1,48,true
TARGET-000220,II:4-12,subsection,components/sga4half_2_en.tex,1103,71,4.12,49,true
TARGET-000221,II:4-13,subsection,components/sga4half_2_en.tex,1148,61,4.13,49,true
TARGET-000222,II:5,section,components/sga4half_2_en.tex,1195,37,5,50,true
TARGET-000223,II:5-1,lemma_,components/sga4half_2_en.tex,1205,15,5.1,50,true
TARGET-000224,II:5-2,lemma_,components/sga4half_2_en.tex,1229,15,5.2,50,true
TARGET-000225,II:5-3,theorem_,components/sga4half_2_en.tex,1247,17,5.3,50,true
TARGET-000226,II:5-4,corollary_,components/sga4half_2_en.tex,1269,19,5.4,50,true
TARGET-000227,II:5-5,subsection,components/sga4half_2_en.tex,1312,14,5.5,51,true
TARGET-000228,II:5-6,proposition_,components/sga4half_2_en.tex,1333,21,5.6,51,true
TARGET-000229,II:5-7,subsection,components/sga4half_2_en.tex,1347,14,5.7,51,true
TARGET-000230,II:eq:5-7-1,equation*,components/sga4half_2_en.tex,1362,33,5.7.1,51,true
TARGET-000231,II:5-8,proposition_,components/sga4half_2_en.tex,1372,21,5.8,51,true
TARGET-000232,II:5-9,subsection,components/sga4half_2_en.tex,1391,14,5.9,52,true
TARGET-000233,II:eq:5-9-1,equation*,components/sga4half_2_en.tex,1403,29,5.9.1,52,true
TARGET-000234,II:eq:5-9-2,equation*,components/sga4half_2_en.tex,1412,29,5.9.2,52,true
TARGET-000235,II:5-10,subsection,components/sga4half_2_en.tex,1421,14,5.10,52,true
TARGET-000236,II:5-11,proposition_,components/sga4half_2_en.tex,1434,21,5.11,52,true
TARGET-000237,II:5-11-1,subsubsection,components/sga4half_2_en.tex,1476,23,5.11.1,52,true
TARGET-000238,II:5-12,subsection,components/sga4half_2_en.tex,1486,14,5.12,53,true
TARGET-000239,II:eq:5-12-1,equation*,components/sga4half_2_en.tex,1537,30,5.12.1,53,true
TARGET-000240,II:5-13,subsection,components/sga4half_2_en.tex,1546,14,5.13,53,true
TARGET-000241,II:6,section,components/sga4half_2_en.tex,1581,44,6,54,true
TARGET-000242,III,chapter,components/sga4half_3_en.tex,3,117,3,55,true
TARGET-000243,III:1,section,components/sga4half_3_en.tex,19,28,1,55,true
TARGET-000244,III:1-1,subsection,components/sga4half_3_en.tex,25,14,1.1,55,true
TARGET-000245,III:1-2,subsection,components/sga4half_3_en.tex,40,14,1.2,55,true
TARGET-000246,III:1-3,lemma_,components/sga4half_3_en.tex,59,15,1.3,55,true
TARGET-000247,III:1-4,subsection,components/sga4half_3_en.tex,81,14,1.4,56,true
TARGET-000248,III:1-5,subsection,components/sga4half_3_en.tex,103,21,1.5,56,true
TARGET-000249,III:1-6,subsection,components/sga4half_3_en.tex,113,14,1.6,56,true
TARGET-000250,III:1-7,subsection,components/sga4half_3_en.tex,134,14,1.7,56,true
TARGET-000251,III:1-7-1,subsubsection,components/sga4half_3_en.tex,146,17,1.7.1,56,true
TARGET-000252,III:1-7-2,subsubsection,components/sga4half_3_en.tex,155,17,1.7.2,56,true
TARGET-000253,III:1-8,proposition_,components/sga4half_3_en.tex,167,21,1.8,57,true
TARGET-000254,III:eq:1-8-1,equation*,components/sga4half_3_en.tex,170,29,1.8.1,57,true
TARGET-000255,III:1-9,lemma_,components/sga4half_3_en.tex,182,15,1.9,57,true
TARGET-000256,III:1-10,lemma_,components/sga4half_3_en.tex,209,15,1.10,57,true
TARGET-000257,III:1-11,lemma_,components/sga4half_3_en.tex,222,15,1.11,57,true
TARGET-000258,III:1-12,subsection,components/sga4half_3_en.tex,253,14,1.12,57,true
TARGET-000259,III:eq:1-12-1,equation*,components/sga4half_3_en.tex,266,30,1.12.1,58,true
TARGET-000260,III:1-13,corollary_,components/sga4half_3_en.tex,286,19,1.13,58,true
TARGET-000261,III:1-14,subsection,components/sga4half_3_en.tex,304,14,1.14,58,true
TARGET-000262,III:2,section,components/sga4half_3_en.tex,321,22,2,58,true
TARGET-000263,III:2-1,subsection,components/sga4half_3_en.tex,328,14,2.1,58,true
TARGET-000264,III:2-2,theorem_,components/sga4half_3_en.tex,342,17,2.2,58,true
TARGET-000265,III:eq:2-2-1,equation*,components/sga4half_3_en.tex,349,29,2.2.1,58,true
TARGET-000266,III:2-3,subsection,components/sga4half_3_en.tex,359,20,2.3,59,true
TARGET-000267,III:2-4,subsection,components/sga4half_3_en.tex,371,20,2.4,59,true
TARGET-000268,III:2-4-1,subsubsection,components/sga4half_3_en.tex,388,17,2.4.1,59,true
TARGET-000269,III:2-5,subsection,components/sga4half_3_en.tex,400,20,2.5,59,true
TARGET-000270,III:2-6,subsection,components/sga4half_3_en.tex,410,20,2.6,59,true
TARGET-000271,III:2-7,subsection,components/sga4half_3_en.tex,427,20,2.7,59,true
TARGET-000272,III:2-8,subsection,components/sga4half_3_en.tex,438,51,2.8,60,true
TARGET-000273,III:2-9,subsection,components/sga4half_3_en.tex,462,44,2.9,60,true
TARGET-000274,III:2-10,subsection,components/sga4half_3_en.tex,474,32,2.10,60,true
TARGET-000275,III:eq:2-10-1,equation*,components/sga4half_3_en.tex,484,30,2.10.1,60,true
TARGET-000276,III:2-11,lemma_,components/sga4half_3_en.tex,501,15,2.11,60,true
TARGET-000277,III:2-12,subsection,components/sga4half_3_en.tex,529,33,2.12,61,true
TARGET-000278,III:2-13,subsection,components/sga4half_3_en.tex,543,14,2.13,61,true
TARGET-000279,III:3,section,components/sga4half_3_en.tex,561,33,3,61,true
TARGET-000280,III:3-1,subsection,components/sga4half_3_en.tex,568,14,3.1,61,true
TARGET-000281,III:3-2,subsection,components/sga4half_3_en.tex,598,14,3.2,61,true
TARGET-000282,III:3-3,lemma_,components/sga4half_3_en.tex,610,15,3.3,61,true
TARGET-000283,III:eq:3-3-1,equation*,components/sga4half_3_en.tex,612,29,3.3.1,61,true
TARGET-000284,III:eq:3-3-2,equation*,components/sga4half_3_en.tex,616,29,3.3.2,61,true
TARGET-000285,III:3-4,subsection,components/sga4half_3_en.tex,668,37,3.4,62,true
TARGET-000286,III:3-5,lemma_,components/sga4half_3_en.tex,701,15,3.5,62,true
TARGET-000287,III:3-6,subsection,components/sga4half_3_en.tex,722,14,3.6,63,true
TARGET-000288,III:3-7,subsection,components/sga4half_3_en.tex,778,14,3.7,63,true
TARGET-000289,III:eq:3-7-1,equation*,components/sga4half_3_en.tex,790,29,3.7.1,63,true
TARGET-000290,III:3-8,lemma_,components/sga4half_3_en.tex,799,15,3.8,63,true
TARGET-000291,III:4,section,components/sga4half_3_en.tex,834,55,4,64,true
TARGET-000292,III:4-1,theorem_,components/sga4half_3_en.tex,841,17,4.1,64,true
TARGET-000293,III:eq:4-1-1,equation*,components/sga4half_3_en.tex,845,29,4.1.1,64,true
TARGET-000294,III:4-2,subsection,components/sga4half_3_en.tex,855,83,4.2,64,true
TARGET-000295,III:4-3,subsection,components/sga4half_3_en.tex,872,75,4.3,64,true
