"current_id","record_kind","source_layer","target_language_or_access_target","source_title_or_cluster","topic_tags","evidence_tier","source_type","row_count","url_or_path","sha256_or_hash","license_or_access_signal","source_level_tex_or_archive_count_or_flag","pdf_docx_text_fallback_count_or_flag","package_or_git_status","upload_policy","open_gap_or_action","non_claim_boundary"
"AR-CURRENT-011","artifact_index","R3 GitHub/source-archive probe","Controlled Arabic / Arabic RTL","R3 GitHub/source-archive probe Arabic-relevant rows","Arabic math rendering; Arabic equation tooling; Arabic LaTeX sample; invariant theory source-archive gap","cross_lane_github_source_archive_probe","csv","11 total R3 rows; 4 Arabic-relevant rows plus 1 Persian exclusion note in Arabic intake","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\outputs\R3_SOURCE_CANON_GITHUB_ARCHIVE_PROBE_20260704T203912Z\R3_SOURCE_CANON_GITHUB_ARCHIVE_PROBE_REQUIRED_SHAPE_20260704T203912Z.csv","C1E9F2E256436D47EA94D929C83A1766C029C0BA01CB94E628E41ADBE6FC852C","mixed; MIT/LPPL/no-SPDX support rows; no license clearance claimed","3 Arabic support/tooling source-level rows; 0 Arabic mathematical source-text rows","0 Arabic PDF/DOCX/text fallback rows in this probe","R3 local output; B3 package frontier moving; Arabic lane did not push","metadata/hash/URL provenance only; no raw source body copied into Arabic lane","Record support rows separately and keep Arabic mathematical GitHub/TeX/source-archive gap open","Draft/source-canon provenance only; no translation expansion, term approval, native review, canonical approval, license clearance, gate promotion, completion claim, reviewer packet population, or Git push"
"AR-CURRENT-012","support_archive_addendum","R3 GitHub/source-archive probe","Controlled Arabic / Arabic RTL","OmarIthawi/arabic-mathjax source archive","Arabic math rendering; MathJax; RTL equations; support tooling","A_source_archive_script_render_support_not_mathematical_text","github_zip_source_archive","1","https://github.com/OmarIthawi/arabic-mathjax","EBFC433392C879D1283CCDF122024DA625990347E4AA39AE0BEFD7F4FC7E87C2","GitHub API observed MIT license; verify before reuse beyond source-canon citation","true support archive; false mathematical witness","false","R3 GitHub probe support row; not copied as raw source body by Arabic lane","manifest/hash/source-archive pointer only","Useful for Arabic RTL/math-rendering support; not an Arabic algebra/invariant-theory source witness","Draft/source-canon provenance only; no translation expansion, term approval, native review, canonical approval, license clearance, gate promotion, completion claim, reviewer packet population, or Git push"
"AR-CURRENT-013","support_archive_addendum","R3 GitHub/source-archive probe","Controlled Arabic / Arabic RTL","Mohamed1984/ArabicMath source archive","Arabic math editor; equation authoring; support tooling","A_source_archive_math_tooling_not_mathematical_text","github_zip_source_archive","1","https://github.com/Mohamed1984/ArabicMath","A803C69A82D5F9AC4C884B278761CE5C9BAB821DD3119BE92FB9CAD8D7CD00F4","GitHub API did not expose SPDX license; README/license terms need separate review","true support archive; false mathematical witness","false","R3 GitHub probe support row; large archive not copied as raw source body by Arabic lane","manifest/hash/source-archive pointer only","Useful for Arabic equation-tooling support; not an Arabic algebra/invariant-theory source witness","Draft/source-canon provenance only; no translation expansion, term approval, native review, canonical approval, license clearance, gate promotion, completion claim, reviewer packet population, or Git push"
"AR-CURRENT-014","support_archive_addendum","R3 GitHub/source-archive probe","Controlled Arabic / Arabic RTL","latex3/babel sample lua-arabic.tex","Arabic LaTeX sample; babel; LuaLaTeX; script/render support","A_source_level_tex_sample_script_support_not_mathematical_text","raw_tex_source_file","1","https://github.com/latex3/babel/blob/main/samples/lua-arabic.tex","DBB194BF186C76242EBCD9082E592107F5DC326CA45AB4DCCDF06BF6C78228DE","GitHub API observed LPPL-1.3c for latex3/babel; verify per file before reuse","true support TeX sample; false mathematical witness","false","R3 GitHub probe support row; not copied as raw source body by Arabic lane","manifest/hash/source-file pointer only","Useful for future Arabic TeX/PDF rendering support; not an Arabic mathematical source witness","Draft/source-canon provenance only; no translation expansion, term approval, native review, canonical approval, license clearance, gate promotion, completion claim, reviewer packet population, or Git push"
"AR-CURRENT-015","explicit_gap","R3 GitHub/source-archive probe","Controlled Arabic / Arabic RTL","Arabic invariant-theory / Noetherian-ring GitHub TeX/source archive","Arabic; invariant theory; Noetherian ring; GitHub; TeX; source archive","G_explicit_gap_no_github_source_archive_found","gap","1","","","not applicable: explicit GitHub/source-archive gap","false","false","R3 GitHub probe explicit gap; aligned with Arabic lane probe","gap row only","R3 searches returned no usable Arabic mathematical source archive for invariant theory, Noetherian ring, or Arabic/LaTeX math source packages","Draft/source-canon provenance only; no translation expansion, term approval, native review, canonical approval, license clearance, gate promotion, completion claim, reviewer packet population, or Git push"
"AR-CURRENT-016","artifact_index","R3 policy/payload sync intake","Arabic RTL","Arabic R3 policy-sync and external-pointer payload-probe intake","R3 policy sync; upload policy; external payload probe; hash drift; Arabic pointers; source archive gaps","policy_sync_and_payload_probe_intake","csv","8","C:\Users\memo_\Documents\Codex\2026-07-04\noether-arabic-rtl-source-evidence-draft-lane\outputs\NOETHER_ARABIC_RTL_R3_POLICY_PAYLOAD_SYNC_INTAKE_20260704.csv","C4B6DBCA804C1DA115F1AAB566D47F3D61FE5126976682D587E5B2596C9D52CC","per-row normalized license/access signals only; no blanket license clearance","0 new Arabic mathematical TeX/source-package rows; 3 support/tooling source rows only","13 external pointer payloads fetched by R3 probe; 9 hash matches; 4 drift/blocker rows","B3 package 349 contains R3 policy/payload audits; checkout observed ahead 1; Arabic lane did not stage, commit, package, or push","metadata/hash/URL provenance only; no raw payload copy from Arabic lane","Keep R3 policy classes and payload-drift blockers visible; Arabic invariant-theory source-package gaps remain open","Draft/source-canon provenance only; no translation expansion, term approval, native review, canonical approval, license clearance, gate promotion, completion claim, reviewer packet population, or Git push"
"AR-CURRENT-017","artifact_index","R3 current pointer refresh","Arabic RTL","Arabic R3 current policy/payload/omit refresh","R3 current pointers; upload policy; payload probe; source-body omit manifest; package safety; hash drift","current_pointer_refresh","csv","5","C:\Users\memo_\Documents\Codex\2026-07-04\noether-arabic-rtl-source-evidence-draft-lane\outputs\NOETHER_ARABIC_RTL_R3_CURRENT_POINTER_REFRESH_20260704.csv","87757752B09DBB2468A2153ACB17D6A29F728BC80173367E73FBAE8B474498EF","per-row normalized license/access and omit-manifest signals only; no blanket license clearance","0 new Arabic mathematical TeX/source-package rows; source archives remain support/tooling or non-Arabic","R3 current payload probe has 13 external-pointer payloads; source-body omit manifest has 33 Arabic-targeted raw body/cache rows","B3 package frontier observed moving through package 352; Arabic lane did not stage, commit, package, or push","metadata/hash/URL/path provenance only; raw payloads omitted unless B3 gated payload artifact exists","Refreshes current R3 policy/payload/omit pointers; Arabic invariant-theory source-package gaps remain open","Draft/source-canon provenance only; no translation expansion, term approval, native review, canonical approval, license clearance, gate promotion, completion claim, reviewer packet population, or Git push"
"AR-CURRENT-018","artifact_index","R3 cross-lane sync intake","Arabic RTL","Arabic R3 cross-lane sync/action intake","R3 cross-lane sync; owner-lane refresh action; open gaps; drift blockers; source shelves; durable row log","cross_lane_sync_intake","csv","6","C:\Users\memo_\Documents\Codex\2026-07-04\noether-arabic-rtl-source-evidence-draft-lane\outputs\NOETHER_ARABIC_RTL_R3_CROSS_LANE_SYNC_INTAKE_20260704.csv","C72D72F99DFB6FC0E82909677A08BCF1A6FD40530AD3A500EF973F2D6DB6FD0A","cross-lane provenance/action signals only; no blanket license clearance","0 new Arabic mathematical TeX/source-package rows; source shelves are comparison only","R3 cross-lane sync has 16 sync rows, 33 gap/action rows, and 70 durable append rows; Arabic-relevant action rows absorbed","B3 package frontier observed through package 352; Arabic lane did not stage, commit, package, or push","metadata/hash/URL/path provenance only; raw payloads omitted unless B3 gated payload artifact exists","Records R3 owner-lane refresh action as addressed by current-pointer refresh sidecar; Arabic invariant-theory source-package gaps remain open","Draft/source-canon provenance only; no translation expansion, term approval, native review, canonical approval, license clearance, gate promotion, completion claim, reviewer packet population, or Git push"
"AR-CURRENT-019","artifact_index","20260705 source-canon heartbeat probe","Arabic RTL","Arabic source-canon heartbeat probe: OMU Modern Algebra witness and TeX/source-package gap refresh","modern algebra;groups;rings;fields;modules;matrices;linear algebra;TeX source-package gap;blocked ResearchGate candidate","heartbeat_source_canon_probe","csv","8","C:\Users\memo_\Documents\Codex\2026-07-04\noether-arabic-rtl-source-evidence-draft-lane\outputs\NOETHER_ARABIC_RTL_SOURCE_CANON_HEARTBEAT_PROBE_20260705.csv","5EF9D10A6D46848EEB219CA7BA9F4F4B9FF075922BE8E7DA7C10BE1056FA52B5","OMU metadata/PDF carries CC BY-NC-ND 4.0 signal; Milne revalidation has existing page/license signals; ResearchGate candidate blocked; no blanket license clearance","0 Arabic mathematical TeX/source-package hits from 8 exact GitHub code searches","1 new Arabic PDF fallback witness; 1 derived text extract; 1 existing Milne PDF revalidation; 1 blocked candidate; 2 refreshed open gap rows","B3/package steward owns staging and push; Arabic lane cached local sources and updated outputs only","metadata/hash/URL/path provenance only; raw source bodies not placed in outputs","OMU broad modern-algebra PDF strengthens fallback provenance but does not close invariant-theory, Artinian, homomorphism/isomorphism, or source-package gaps","Draft/source-canon provenance only; no translation expansion, term approval, native review, canonical approval, license clearance, gate promotion, completion claim, reviewer packet population, or Git push"
"AR-CURRENT-020","artifact_index","20260705 MediaWiki raw source-text probe","Arabic RTL","Arabic MediaWiki revision-pinned raw source-text probe","rings;groups;fields;modules;abstract algebra;group theory;linear algebra;homomorphism-adjacent;TeX source-package gap","mediawiki_source_text_probe","csv","10","C:\Users\memo_\Documents\Codex\2026-07-04\noether-arabic-rtl-source-evidence-draft-lane\outputs\NOETHER_ARABIC_RTL_MEDIAWIKI_SOURCE_TEXT_PROBE_20260705.csv","DB80BD30AC4B38EE6ADFEDE2B2C54929FBB41B8D9A6DCE96FB6B4AFB91737943","Wikimedia CC BY-SA/GFDL license signals through Wikimedia terms; signal only, no blanket license clearance","0 Arabic mathematical TeX/source-package witnesses admitted; 1 false-positive i18n TeX corpus; 1 GitHub code-search 403 blocker","7 active Arabic raw wikitext fallback witnesses; 1 existing linear-algebra raw-text revalidation; 1 cautioned homomorphism-adjacent raw-text witness; 1 open gap row","B3/package steward owns staging and push; Arabic lane cached local revision-pinned raw text and updated outputs only","metadata/hash/URL/path provenance only; raw source bodies not placed in outputs","MediaWiki raw text strengthens fallback provenance but does not close direct Arabic TeX/source-package, invariant-theory, Artinian, or ring-homomorphism/isomorphism specialist gaps","Draft/source-canon provenance only; no translation expansion, term approval, native review, canonical approval, license clearance, gate promotion, completion claim, reviewer packet population, or Git push"
"AR-CURRENT-021","artifact_index","20260705 Wikibooks raw source-text probe","Arabic RTL","Arabic Wikibooks revision-pinned raw source-text probe","algebra;abstract algebra;rings;linear algebra;vector spaces;linear systems;matrices;TeX source-package gap","wikibooks_source_text_probe","csv","10","C:\Users\memo_\Documents\Codex\2026-07-04\noether-arabic-rtl-source-evidence-draft-lane\outputs\NOETHER_ARABIC_RTL_WIKIBOOKS_SOURCE_TEXT_PROBE_20260705.csv","59CD07B8C51732A7DD2548D92297F25D2BA49A167AA2C4538AB8ADD722E370A5","Wikibooks/Wikimedia CC BY-SA/GFDL license signals through Wikimedia terms; signal only, no blanket license clearance","0 Arabic mathematical TeX/source-package witnesses admitted; final GitHub query hit 403 blocker","5 active Arabic Wikibooks raw wikitext fallback witnesses; 2 existing linear-algebra raw-text revalidations; 2 open gap rows","B3/package steward owns staging and push; Arabic lane cached local revision-pinned raw text and updated outputs only","metadata/hash/URL/path provenance only; raw source bodies not placed in outputs","Wikibooks raw text strengthens fallback provenance but does not close direct Arabic TeX/source-package, dedicated group/field/module Wikibooks specialist, invariant-theory, Artinian, or ring-homomorphism/isomorphism gaps","Draft/source-canon provenance only; no translation expansion, term approval, native review, canonical approval, license clearance, gate promotion, completion claim, reviewer packet population, or Git push"
"AR-CURRENT-022","artifact_index","20260705 official PDF source probe","Arabic RTL","Arabic official university PDF fallback probe","official university PDFs;ring theory;group theory;homomorphism;isomorphism;course specification;TeX source-package gap","official_pdf_source_probe","csv","8","C:\Users\memo_\Documents\Codex\2026-07-04\noether-arabic-rtl-source-evidence-draft-lane\outputs\NOETHER_ARABIC_RTL_OFFICIAL_PDF_SOURCE_PROBE_20260705.csv","7D0FC1F76DD78E485F56BFE1AF4B114A4F7CE8ABC9CA006DD1D4ADF8EF7925D7","Official university-hosted PDFs/metadata; no explicit open reuse license found except access signals; no blanket license clearance","0 Arabic mathematical TeX/source-package witnesses admitted in this pass","3 official Arabic PDF fallback witnesses; 1 official metadata page; 3 derived first-page text extracts; exclusion/gap rows for weaker mirrors and source-package gaps","B3/package steward owns staging and push; Arabic lane cached local official PDFs and updated outputs only","metadata/hash/URL/path provenance only; raw source bodies not placed in outputs","Official PDFs strengthen ring/group/homomorphism-adjacent fallback provenance but do not close TeX/source-package, invariant-theory, Artinian, or ring-homomorphism/isomorphism specialist gaps","Draft/source-canon provenance only; no translation expansion, term approval, native review, canonical approval, license clearance, gate promotion, completion claim, reviewer packet population, or Git push"
"AR-CURRENT-023","artifact_index","20260705 Damascus linear algebra source probe","Arabic RTL","Arabic Damascus University linear-algebra PDF fallback probe","official repository PDFs;linear algebra;statistics;probability;license signal;TeX source-package gap","damascus_linear_algebra_source_probe","csv","8","C:\Users\memo_\Documents\Codex\2026-07-04\noether-arabic-rtl-source-evidence-draft-lane\outputs\NOETHER_ARABIC_RTL_DAMASCUS_LINEAR_ALGEBRA_SOURCE_PROBE_20260705.csv","7D6F0AF0CFF2596BB5DC11655B05BE0A90A05C3A0951CBDEC4837204C7EE1385","Official Damascus University repository metadata/PDFs plus one nonexclusive distribution-license text signal; no blanket license clearance","0 Arabic mathematical TeX/source-package witnesses admitted in this pass","2 official Arabic PDF fallback witnesses; 2 official metadata pages; 1 license/access text signal; 2 poor/empty derived text extracts recorded as caveats","B3/package steward owns staging and push; Arabic lane cached local official PDFs/metadata/license text and updated outputs only","metadata/hash/URL/path provenance only; raw source bodies not placed in outputs","Official Damascus PDFs strengthen linear-algebra fallback provenance but do not close TeX/source-package, invariant-theory, Artinian, or ring-homomorphism/isomorphism specialist gaps; poor pdftotext extracts are not content evidence","Draft/source-canon provenance only; no translation expansion, term approval, native review, canonical approval, license clearance, gate promotion, completion claim, reviewer packet population, or Git push"
"AR-CURRENT-024","artifact_index","20260705 abstract algebra / module source probe","Arabic RTL","Arabic abstract-algebra and module-context PDF fallback probe","abstract algebra;groups;rings;fields;modules;crossed modules;module homomorphism;license signal;TeX source-package gap","abstract_algebra_module_source_probe","csv","8","C:\Users\memo_\Documents\Codex\2026-07-04\noether-arabic-rtl-source-evidence-draft-lane\outputs\NOETHER_ARABIC_RTL_ABSTRACT_ALGEBRA_MODULE_SOURCE_PROBE_20260705.csv","7730A3185BB2B9FD0CF4C7A4549B37F0069A5DF91645B012EEA30BE7C748A38F","HIAST/Mustansiriyah PDF carries in-text CC-BY-ND 4.0 signal; Basrah and SyriaMath have access signals only; no blanket license clearance","0 Arabic mathematical TeX/source-package witnesses admitted in this pass","3 Arabic PDF fallback witnesses; 3 derived text extracts; 1 source-package search gap row; 1 mixed license/access signal row","B3/package steward owns staging and push; Arabic lane cached local PDFs/text extracts and updated outputs only","metadata/hash/URL/path provenance only; raw source bodies not placed in outputs","Strengthens broad abstract-algebra and module-context fallback provenance, including crossed modules and module homomorphism, but does not close source-package, invariant-theory, Artinian, or direct ring-homomorphism/isomorphism authority gaps","Draft/source-canon provenance only; no translation expansion, term approval, native review, canonical approval, license clearance, gate promotion, completion claim, reviewer packet population, or Git push"
"AR-CURRENT-025","artifact_index","20260705 HIAST official algebra shelf source probe","Arabic RTL","Arabic HIAST official algebra shelf PDF/metadata probe","HIAST;Omran Kouba;abstract algebra;linear algebra;vector spaces;linear maps;matrices;determinants;CC-BY-ND signal;TeX source-package gap","hiast_algebra_shelf_source_probe","csv","8","C:\Users\memo_\Documents\Codex\2026-07-04\noether-arabic-rtl-source-evidence-draft-lane\outputs\NOETHER_ARABIC_RTL_HIAST_ALGEBRA_SHELF_SOURCE_PROBE_20260705.csv","C9C397A8421E60C6F9BEA7A6758DFCA8BB6323E2E51C78F95DED619E098A5AA8","Official HIAST pages/PDFs carry CC-BY-ND 4.0 signals; no blanket license clearance","0 Arabic mathematical TeX/source-package witnesses exposed by HIAST pages in this pass","2 official HIAST metadata pages; 2 official HIAST PDFs; 2 derived text extracts; Algebra I is duplicate-body official-origin upgrade","B3/package steward owns staging and push; Arabic lane cached official HIAST pages/PDFs/extracts and updated outputs only","metadata/hash/URL/path provenance only; raw source bodies not placed in outputs","Upgrades Algebra I official-origin provenance and adds strong official Arabic linear-algebra fallback, but does not close source-package, invariant-theory, Artinian, or direct ring-homomorphism/isomorphism authority gaps","Draft/source-canon provenance only; no translation expansion, term approval, native review, canonical approval, license clearance, gate promotion, completion claim, reviewer packet population, or Git push"
"AR-CURRENT-026","artifact_index","20260705 HIAST author bibliography source probe","Arabic RTL","Arabic Omran Kouba author bibliography/DOI provenance probe","author bibliography;HIAST;Omran Kouba;abstract algebra;linear algebra;DOI signals;source-package gap;tag-page blocker","hiast_author_bibliography_source_probe","csv","7","C:\Users\memo_\Documents\Codex\2026-07-04\noether-arabic-rtl-source-evidence-draft-lane\outputs\NOETHER_ARABIC_RTL_HIAST_AUTHOR_BIBLIOGRAPHY_SOURCE_PROBE_20260705.csv","A1DCF49609D9EA30CD46151EEE54C3EA7E63C05B9968482487D1463EBCDD1D1A","Author Google Sites page has access/DOI/direct-link metadata only; HIAST tag page timed out; no blanket license clearance","0 Arabic mathematical TeX/source-package witnesses exposed by cached author page in this pass","1 cached author bibliography HTML page; 2 DOI/direct-link metadata rows; 1 HIAST tag-page access blocker; 1 gap row; no new mathematical text body","B3/package steward owns staging and push; Arabic lane cached author metadata and updated outputs only","metadata/hash/URL/path provenance only; raw source bodies not placed in outputs","Corroborates Algebra I/II provenance and DOI signals but does not add a new source body or close source-package, invariant-theory, Artinian, or direct ring-homomorphism/isomorphism authority gaps","Draft/source-canon provenance only; no translation expansion, term approval, native review, canonical approval, license clearance, gate promotion, completion claim, reviewer packet population, or Git push"
