decision_id,record_revision,supersedes,component_id,source_unit_record_id,evidence_class,authority_role,source_tex_lines,printed_volume_pages,physical_source_pdf_pages,recomposed_running_pages,source_locator,target_locator,source_term_or_delta,chosen_english_or_action,normalization_class,beneficial_convention,adverse_delta,rejected_alternative,rationale,decision,status,confidence,cross_references,continuation_cursor,review_state,closure_id
SGA2-V-CUM-TERM-0011,1,,SGA2-V-C01,SGA2-VOPEN-TERM-011,adverse_delta,french_authority_over_comparison_candidate,1770-1812,60-62,55-56,47-48,French lines1802-1807 and candidate lines71-83,SGA2_Expose_V_English_SourceAligned_Cumulative_Checkpoint.tex:lines 114-200; component SGA2-V-C01; inherited locator: TeX lines87-100,source h_0 versus candidate h^0,retain h_0 as a subscript,comparison_witness_negative_control,,candidate changes index placement,candidate h^0,French TeX and direct page agree on subscript h_0,retain independently reviewed bounded choice,applied_with_rejection,high,,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,source unit independently sealed; cumulative assembly pending independent package audit,SGA2-V-CUM-ASSEMBLY-SELF-GATE-20260718
SGA2-V-CUM-TERM-0012,1,,SGA2-V-C01,SGA2-VOPEN-TERM-012,adverse_delta,direct_compiled_pdf_over_candidate_page_comments,1770-1812,60-62,55-56,47-48,candidate page comments and French physical55-56,SGA2_Expose_V_English_SourceAligned_Cumulative_Checkpoint.tex:lines 114-200; component SGA2-V-C01; inherited locator: all coordinate ledgers and TeX locators,candidate calls recomposed47-48 original pages,record original61-62 physical55-56 recomposed47-48 separately,coordinate_normalization,,candidate page role is mislabeled,reuse candidate original-page labels,direct marginal markers and running headers expose distinct systems,retain independently reviewed bounded choice,applied_with_rejection,high,,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,source unit independently sealed; cumulative assembly pending independent package audit,SGA2-V-CUM-ASSEMBLY-SELF-GATE-20260718
SGA2-V-CUM-TERM-0013,1,,SGA2-V-C01,SGA2-VOPEN-TERM-013,editorial_choice,corrected_french_tex_plus_editor_note,1770-1812,60-62,55-56,47-48,French lines1799-1801,SGA2_Expose_V_English_SourceAligned_Cumulative_Checkpoint.tex:lines 114-200; component SGA2-V-C01; inherited locator: TeX lines81-85,strange original numbering,retain tag (1.3) and translate the note,source_numbering_preservation,,nonsequential number is intentional,renumber as (5),editor explicitly states that the strange original numbering is preserved,retain independently reviewed bounded choice,applied_production_draft,high,,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,source unit independently sealed; cumulative assembly pending independent package audit,SGA2-V-CUM-ASSEMBLY-SELF-GATE-20260718
SGA2-V-CUM-TERM-0014,1,,SGA2-V-C01,SGA2-VOPEN-TERM-014,adverse_delta_and_branch_choice,corrected_french_tex_plus_direct_compiled_pdf,1770-1812,60-62,55-56,47-48,French lines1784 1804 1807,SGA2_Expose_V_English_SourceAligned_Cumulative_Checkpoint.tex:lines 114-200; component SGA2-V-C01; inherited locator: TeX lines48-49 91-100,original sign branches versus corrected convention,use exponent s+1 and omit both later old sign factors,authority_branch_selection,,three original-branch forms are rejected,exponent s or either obsolete multiplier,corrected TeX and compiled authority agree at every branch,retain independently reviewed bounded choice,applied_with_rejection,high,,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,source unit independently sealed; cumulative assembly pending independent package audit,SGA2-V-CUM-ASSEMBLY-SELF-GATE-20260718
SGA2-V-CUM-TERM-0015,1,,SGA2-V-C01,SGA2-VOPEN-DEC-015,independent_terminology_register_review,corrected_french_tex_primary_comparison_candidate_secondary,1770-1812,60-62,55-56,47-48,French TeX lines1770-1812 and direct physical pages55-56,SGA2_Expose_V_English_SourceAligned_Cumulative_Checkpoint.tex:lines 114-200; component SGA2-V-C01; inherited locator: English TeX lines23-109 and INDEPENDENT_REVIEW_SEAL_20260718.md,complete bounded terminology notation and register set,retain all fourteen recorded terminology normalization adverse and rejected choices without lexical revision,independent_register_no_change,,no English-body delta; the banner now records the passed independent review,replace accurate source-controlled wording to create a cosmetic review delta or promote comparison-only notation,every choice was rechecked against the corrected French authority and direct pages; no beneficial correction was found,retain independently reviewed bounded choice,independent_register_review_passed_not_cumulative_not_release_ready,high,,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,source unit independently sealed; cumulative assembly pending independent package audit,SGA2-V-CUM-ASSEMBLY-SELF-GATE-20260718
SGA2-V-CUM-TERM-0016,1,,SGA2-V-C02,SGA2-V1COMP-TERM-001,terminology_normalization_adverse_rejected_choice,corrected_french_tex_primary_candidate_comparison_only,1814-1870,62-64,56-57,48-49,1814-1819,SGA2_Expose_V_English_SourceAligned_Cumulative_Checkpoint.tex:lines 204-302; component SGA2-V-C02; inherited locator: TeX25-33,suite exacte,exact sequence,standard_mathematical_term,,none,exact series,standard homological algebra,retain independently reviewed bounded choice,production_draft_self_audit_pass,high,,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,source unit independently sealed; cumulative assembly pending independent package audit,SGA2-V-CUM-ASSEMBLY-SELF-GATE-20260718
SGA2-V-CUM-TERM-0017,1,,SGA2-V-C02,SGA2-V1COMP-TERM-002,terminology_normalization_adverse_rejected_choice,corrected_french_tex_primary_candidate_comparison_only,1814-1870,62-64,56-57,48-49,1817-1819,SGA2_Expose_V_English_SourceAligned_Cumulative_Checkpoint.tex:lines 204-302; component SGA2-V-C02; inherited locator: TeX29-33,resolution injective,injective resolution,standard_mathematical_term,,none,injective presentation,continuity with source and predecessor unit,retain independently reviewed bounded choice,production_draft_self_audit_pass,high,,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,source unit independently sealed; cumulative assembly pending independent package audit,SGA2-V-CUM-ASSEMBLY-SELF-GATE-20260718
SGA2-V-CUM-TERM-0018,1,,SGA2-V-C02,SGA2-V1COMP-TERM-003,terminology_normalization_adverse_rejected_choice,corrected_french_tex_primary_candidate_comparison_only,1814-1870,62-64,56-57,48-49,1827-1832,SGA2_Expose_V_English_SourceAligned_Cumulative_Checkpoint.tex:lines 204-302; component SGA2-V-C02; inherited locator: TeX47-57,accouplement,pairing,standard_mathematical_term,,none,coupling,standard English mathematical register,retain independently reviewed bounded choice,production_draft_self_audit_pass,high,,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,source unit independently sealed; cumulative assembly pending independent package audit,SGA2-V-CUM-ASSEMBLY-SELF-GATE-20260718
SGA2-V-CUM-TERM-0019,1,,SGA2-V-C02,SGA2-V1COMP-TERM-004,terminology_normalization_adverse_rejected_choice,corrected_french_tex_primary_candidate_comparison_only,1814-1870,62-64,56-57,48-49,1833-1836|1868,SGA2_Expose_V_English_SourceAligned_Cumulative_Checkpoint.tex:lines 204-302; component SGA2-V-C02; inherited locator: TeX58-65|117-118,homomorphisme de foncteurs,homomorphism of functors,source_register_preservation,,none,natural transformation,avoid silently strengthening or recasting source wording,retain independently reviewed bounded choice,production_draft_self_audit_pass,high,,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,source unit independently sealed; cumulative assembly pending independent package audit,SGA2-V-CUM-ASSEMBLY-SELF-GATE-20260718
SGA2-V-CUM-TERM-0020,1,,SGA2-V-C02,SGA2-V1COMP-TERM-005,terminology_normalization_adverse_rejected_choice,corrected_french_tex_primary_candidate_comparison_only,1814-1870,62-64,56-57,48-49,1836|1841|1868,SGA2_Expose_V_English_SourceAligned_Cumulative_Checkpoint.tex:lines 204-302; component SGA2-V-C02; inherited locator: TeX64-65|88-89|117-118,delta-foncteur,delta-functor,notation_preservation,,none,derived functor,retain exact source structure,retain independently reviewed bounded choice,production_draft_self_audit_pass,high,,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,source unit independently sealed; cumulative assembly pending independent package audit,SGA2-V-CUM-ASSEMBLY-SELF-GATE-20260718
SGA2-V-CUM-TERM-0021,1,,SGA2-V-C02,SGA2-V1COMP-TERM-006,terminology_normalization_adverse_rejected_choice,corrected_french_tex_primary_candidate_comparison_only,1814-1870,62-64,56-57,48-49,1836,SGA2_Expose_V_English_SourceAligned_Cumulative_Checkpoint.tex:lines 204-302; component SGA2-V-C02; inherited locator: TeX65-83,diagramme commutatif,commutative diagram,standard_mathematical_term,,uniform scaling only,commuting schema,standard term and editable diagram,retain independently reviewed bounded choice,production_draft_self_audit_pass,high,,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,source unit independently sealed; cumulative assembly pending independent package audit,SGA2-V-CUM-ASSEMBLY-SELF-GATE-20260718
SGA2-V-CUM-TERM-0022,1,,SGA2-V-C02,SGA2-V1COMP-TERM-007,terminology_normalization_adverse_rejected_choice,corrected_french_tex_primary_candidate_comparison_only,1814-1870,62-64,56-57,48-49,1841|1858,SGA2_Expose_V_English_SourceAligned_Cumulative_Checkpoint.tex:lines 204-302; component SGA2-V-C02; inherited locator: TeX84-85|106,cycle,cycle,source_term_precision,,none,cocycle,source names cycles in Hom complex,retain independently reviewed bounded choice,production_draft_self_audit_pass,high,,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,source unit independently sealed; cumulative assembly pending independent package audit,SGA2-V-CUM-ASSEMBLY-SELF-GATE-20260718
SGA2-V-CUM-TERM-0023,1,,SGA2-V-C02,SGA2-V1COMP-TERM-008,terminology_normalization_adverse_rejected_choice,corrected_french_tex_primary_candidate_comparison_only,1814-1870,62-64,56-57,48-49,1845,SGA2_Expose_V_English_SourceAligned_Cumulative_Checkpoint.tex:lines 204-302; component SGA2-V-C02; inherited locator: TeX93,cobord,coboundary,cohomological_term,,none,boundary,source is cohomological complex,retain independently reviewed bounded choice,production_draft_self_audit_pass,high,,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,source unit independently sealed; cumulative assembly pending independent package audit,SGA2-V-CUM-ASSEMBLY-SELF-GATE-20260718
SGA2-V-CUM-TERM-0024,1,,SGA2-V-C02,SGA2-V1COMP-TERM-009,terminology_normalization_adverse_rejected_choice,corrected_french_tex_primary_candidate_comparison_only,1814-1870,62-64,56-57,48-49,1851,SGA2_Expose_V_English_SourceAligned_Cumulative_Checkpoint.tex:lines 204-302; component SGA2-V-C02; inherited locator: TeX100,notations evidentes,with the obvious notation,source_era_register,,none,notation as usual,close source-era English,retain independently reviewed bounded choice,production_draft_self_audit_pass,high,,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,source unit independently sealed; cumulative assembly pending independent package audit,SGA2-V-CUM-ASSEMBLY-SELF-GATE-20260718
SGA2-V-CUM-TERM-0025,1,,SGA2-V-C02,SGA2-V1COMP-TERM-010,terminology_normalization_adverse_rejected_choice,corrected_french_tex_primary_candidate_comparison_only,1814-1870,62-64,56-57,48-49,1866,SGA2_Expose_V_English_SourceAligned_Cumulative_Checkpoint.tex:lines 204-302; component SGA2-V-C02; inherited locator: TeX115,termine la demonstration,completes the proof,proof_boundary,,none,QED only,preserve explicit sentence,retain independently reviewed bounded choice,production_draft_self_audit_pass,high,,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,source unit independently sealed; cumulative assembly pending independent package audit,SGA2-V-CUM-ASSEMBLY-SELF-GATE-20260718
SGA2-V-CUM-TERM-0026,1,,SGA2-V-C02,SGA2-V1COMP-TERM-011,terminology_normalization_adverse_rejected_choice,corrected_french_tex_primary_candidate_comparison_only,1814-1870,62-64,56-57,48-49,1822|1831|1834,SGA2_Expose_V_English_SourceAligned_Cumulative_Checkpoint.tex:lines 204-302; component SGA2-V-C02; inherited locator: TeX36|55|60-61,under-tilded H,under-tilded H via UH macro,notation_preservation,,none,ordinary H,authority distinguishes symbol; candidate flattens it,retain independently reviewed bounded choice,production_draft_self_audit_pass,high,,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,source unit independently sealed; cumulative assembly pending independent package audit,SGA2-V-CUM-ASSEMBLY-SELF-GATE-20260718
SGA2-V-CUM-TERM-0027,1,,SGA2-V-C02,SGA2-V1COMP-TERM-012,terminology_normalization_adverse_rejected_choice,corrected_french_tex_primary_candidate_comparison_only,1814-1870,62-64,56-57,48-49,1823,SGA2_Expose_V_English_SourceAligned_Cumulative_Checkpoint.tex:lines 204-302; component SGA2-V-C02; inherited locator: TeX38-45,equation9 resolution arguments,preserve literal R(M-prime) R(N) and disclose,source_anomaly_control,,mathematical expectation may favor unresolved module arguments,silent emendation to M-prime N,source reading is unambiguous but suspected defect,retain independently reviewed bounded choice,production_draft_self_audit_pass,high,,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,source unit independently sealed; cumulative assembly pending independent package audit,SGA2-V-CUM-ASSEMBLY-SELF-GATE-20260718
SGA2-V-CUM-TERM-0028,1,,SGA2-V-C02,SGA2-V1COMP-TERM-013,terminology_normalization_adverse_rejected_choice,corrected_french_tex_primary_candidate_comparison_only,1814-1870,62-64,56-57,48-49,1849-1864,SGA2_Expose_V_English_SourceAligned_Cumulative_Checkpoint.tex:lines 204-302; component SGA2-V-C02; inherited locator: TeX97-113,sisi corrected sign branches,use corrected i+1 j+1 j i i+1 sequence,authority_branch_selection,,obsolete original signs rejected,old i j j+1 i+1 i sequence,corrected compiled French controls all five sites,retain independently reviewed bounded choice,production_draft_self_audit_pass,high,,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,source unit independently sealed; cumulative assembly pending independent package audit,SGA2-V-CUM-ASSEMBLY-SELF-GATE-20260718
SGA2-V-CUM-TERM-0029,1,,SGA2-V-C02,SGA2-V1COMP-TERM-014,terminology_normalization_adverse_rejected_choice,corrected_french_tex_primary_candidate_comparison_only,1814-1870,62-64,56-57,48-49,1828-1864,SGA2_Expose_V_English_SourceAligned_Cumulative_Checkpoint.tex:lines 204-302; component SGA2-V-C02; inherited locator: TeX49-113,composition order,preserve written composition order,formula_fidelity,,none,reverse for prose convention,formulas outrank stylistic preference,retain independently reviewed bounded choice,production_draft_self_audit_pass,high,,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,source unit independently sealed; cumulative assembly pending independent package audit,SGA2-V-CUM-ASSEMBLY-SELF-GATE-20260718
SGA2-V-CUM-TERM-0030,1,,SGA2-V-C02,SGA2-V1COMP-TERM-015,terminology_normalization_adverse_rejected_choice,corrected_french_tex_primary_candidate_comparison_only,1814-1870,62-64,56-57,48-49,page markers62-64,SGA2_Expose_V_English_SourceAligned_Cumulative_Checkpoint.tex:lines 204-302; component SGA2-V-C02; inherited locator: margin locators TeX25 47 106,page comments,original printed62-64; physical56-57; recomposed48-49,coordinate_separation,,candidate calls recomposed pages original,candidate page48-50 as original,direct page matching controls,retain independently reviewed bounded choice,production_draft_self_audit_pass,high,,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,source unit independently sealed; cumulative assembly pending independent package audit,SGA2-V-CUM-ASSEMBLY-SELF-GATE-20260718
SGA2-V-CUM-TERM-0031,1,,SGA2-V-C02,SGA2-V1COMP-TERM-016,terminology_normalization_adverse_rejected_choice,corrected_french_tex_primary_candidate_comparison_only,1814-1870,62-64,56-57,48-49,1836,SGA2_Expose_V_English_SourceAligned_Cumulative_Checkpoint.tex:lines 204-302; component SGA2-V-C02; inherited locator: TeX64,on va voir,we shall see,source_register_preservation,,none,we now prove,avoid overstating the immediate step,retain independently reviewed bounded choice,production_draft_self_audit_pass,high,,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,source unit independently sealed; cumulative assembly pending independent package audit,SGA2-V-CUM-ASSEMBLY-SELF-GATE-20260718
SGA2-V-CUM-TERM-0032,1,,SGA2-V-C02,SGA2-V1COMP-TERM-017,terminology_normalization_adverse_rejected_choice,corrected_french_tex_primary_candidate_comparison_only,1814-1870,62-64,56-57,48-49,whole unit,SGA2_Expose_V_English_SourceAligned_Cumulative_Checkpoint.tex:lines 204-302; component SGA2-V-C02; inherited locator: whole target,US spelling policy,US mathematical English,lane_normalization,,none,unrecorded mixed spelling,standing SGA-wide policy,retain independently reviewed bounded choice,production_draft_self_audit_pass,high,,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,source unit independently sealed; cumulative assembly pending independent package audit,SGA2-V-CUM-ASSEMBLY-SELF-GATE-20260718
SGA2-V-CUM-TERM-0033,1,,SGA2-V-C02,SGA2-V1COMP-TERM-018,terminology_normalization_adverse_rejected_choice,corrected_french_tex_primary_direct_pdf_confirmation_candidate_comparison_only,1814-1870,62-64,56-57,48-49,1823-1825,SGA2_Expose_V_English_SourceAligned_Cumulative_Checkpoint.tex:lines 204-302; component SGA2-V-C02; inherited locator: TeX39-47,equation9 disclosure precision,name literal R(M-prime) and R(N) in the source term plus R(M-double-prime) and R(N) in the target term,source_anomaly_disclosure,,first note incorrectly implied R(M-prime) occurred in both terms,silent module-argument emendation or imprecise two-term description,separate certain source reading from open mathematical adjudication,retain independently reviewed bounded choice,bounded_independent_review_passed_not_cumulative_not_release_ready,high,,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,source unit independently sealed; cumulative assembly pending independent package audit,SGA2-V-CUM-ASSEMBLY-SELF-GATE-20260718
SGA2-V-CUM-TERM-0034,1,,SGA2-V-C03,SGA2-V2-TERM-001,terminology_normalization_adverse_choice,corrected_french_tex_plus_comparison_control,1872-1894,64-65,58,50,French lines1872-1894; printed64-65; physical58,SGA2_Expose_V_English_SourceAligned_Cumulative_Checkpoint.tex:lines 306-357; component SGA2-V-C03; inherited locator: target TeX lines24-75,anneau local regulier,regular local ring,standard_commutative_algebra,,none,regular local algebra,standard English and SGA-wide terminology,retain independently reviewed bounded choice,accepted_and_independently_reviewed,high,,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,source unit independently sealed; cumulative assembly pending independent package audit,SGA2-V-CUM-ASSEMBLY-SELF-GATE-20260718
SGA2-V-CUM-TERM-0035,1,,SGA2-V-C03,SGA2-V2-TERM-002,terminology_normalization_adverse_choice,corrected_french_tex_plus_comparison_control,1872-1894,64-65,58,50,French lines1872-1894; printed64-65; physical58,SGA2_Expose_V_English_SourceAligned_Cumulative_Checkpoint.tex:lines 306-357; component SGA2-V-C03; inherited locator: target TeX lines24-75,module de type fini,finitely generated module,standard_commutative_algebra,,none,finite-type module,standard module terminology,retain independently reviewed bounded choice,accepted_and_independently_reviewed,high,,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,source unit independently sealed; cumulative assembly pending independent package audit,SGA2-V-CUM-ASSEMBLY-SELF-GATE-20260718
SGA2-V-CUM-TERM-0036,1,,SGA2-V-C03,SGA2-V2-TERM-003,terminology_normalization_adverse_choice,corrected_french_tex_plus_comparison_control,1872-1894,64-65,58,50,French lines1872-1894; printed64-65; physical58,SGA2_Expose_V_English_SourceAligned_Cumulative_Checkpoint.tex:lines 306-357; component SGA2-V-C03; inherited locator: target TeX lines24-75,ideal maximal,maximal ideal,standard_commutative_algebra,,none,maximum ideal,standard English,retain independently reviewed bounded choice,accepted_and_independently_reviewed,high,,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,source unit independently sealed; cumulative assembly pending independent package audit,SGA2-V-CUM-ASSEMBLY-SELF-GATE-20260718
SGA2-V-CUM-TERM-0037,1,,SGA2-V-C03,SGA2-V2-TERM-004,terminology_normalization_adverse_choice,corrected_french_tex_plus_comparison_control,1872-1894,64-65,58,50,French lines1872-1894; printed64-65; physical58,SGA2_Expose_V_English_SourceAligned_Cumulative_Checkpoint.tex:lines 306-357; component SGA2-V-C03; inherited locator: target TeX lines24-75,module dualisant,dualizing module,SGA_duality_register,,none,duality module,standard English duality terminology,retain independently reviewed bounded choice,accepted_and_independently_reviewed,high,,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,source unit independently sealed; cumulative assembly pending independent package audit,SGA2-V-CUM-ASSEMBLY-SELF-GATE-20260718
SGA2-V-CUM-TERM-0038,1,,SGA2-V-C03,SGA2-V2-TERM-005,terminology_normalization_adverse_choice,corrected_french_tex_plus_comparison_control,1872-1894,64-65,58,50,French lines1872-1894; printed64-65; physical58,SGA2_Expose_V_English_SourceAligned_Cumulative_Checkpoint.tex:lines 306-357; component SGA2-V-C03; inherited locator: target TeX lines24-75,foncteur dualisant,dualizing functor,SGA_duality_register,,none,duality functor,standard English and prior unit consistency,retain independently reviewed bounded choice,accepted_and_independently_reviewed,high,,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,source unit independently sealed; cumulative assembly pending independent package audit,SGA2-V-CUM-ASSEMBLY-SELF-GATE-20260718
