comparison_id,record_revision,supersedes,component_id,source_unit_record_id,evidence_class,authority_role,object_type,source_tex_lines,printed_volume_pages,physical_source_pdf_pages,recomposed_running_pages,source_locator,target_locator,critical_controls,external_candidate_delta,decision,result,status,confidence,adverse_or_choice,rejected_alternative,continuation_cursor,review_state,closure_id
SGA2-V-CUM-CMP-0013,1,,SGA2-V-C01,SGA2-VOPEN-CMP-013,source_formula_branch,corrected_french_tex_plus_direct_compiled_pdf,t_s_family,1804,62,55-56,47-48,French line1804; printed62; physical56,SGA2_Expose_V_English_SourceAligned_Cumulative_Checkpoint.tex:lines 114-200; component SGA2-V-C01; inherited locator: t_s family sentence,corrected family is (t_s) for s>=0 with no multiplier,original branch has ((-1)^s t_s),suppress obsolete original factor (-1)^s,pass,production_comparison_passed_independent_review_pending,high,original branch has ((-1)^s t_s),retain original multiplier,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,source unit independently sealed; cumulative assembly pending independent package audit,SGA2-V-CUM-ASSEMBLY-SELF-GATE-20260718
SGA2-V-CUM-CMP-0014,1,,SGA2-V-C01,SGA2-VOPEN-CMP-014,source_formula_branch,corrected_french_tex_plus_direct_compiled_pdf,chain_map_identity,1805-1807,62,55-56,47-48,French lines1805-1807; printed62; physical56,SGA2_Expose_V_English_SourceAligned_Cumulative_Checkpoint.tex:lines 114-200; component SGA2-V-C01; inherited locator: displayed chain map and following identity,(dh)_0 o i = d_2 o h_0 o i with no leading sign,original branch has leading (-1),suppress obsolete original factor (-1),pass,production_comparison_passed_independent_review_pending,high,original branch has leading (-1),retain obsolete minus sign,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,source unit independently sealed; cumulative assembly pending independent package audit,SGA2-V-CUM-ASSEMBLY-SELF-GATE-20260718
SGA2-V-CUM-CMP-0015,1,,SGA2-V-C01,SGA2-VOPEN-CMP-015,source_note_structure,corrected_french_tex_plus_direct_compiled_pdf,editor_note_M_zero,1804,62,55-56,47-48,French line1804 note; printed62; physical56,SGA2_Expose_V_English_SourceAligned_Cumulative_Checkpoint.tex:lines 114-200; component SGA2-V-C01; inherited locator: footnote after ordinary complexes,M also denotes M[0] with M in degree zero,none,translate note in full,pass,production_comparison_passed_independent_review_pending,high,none,omit as routine convention,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,source unit independently sealed; cumulative assembly pending independent package audit,SGA2-V-CUM-ASSEMBLY-SELF-GATE-20260718
SGA2-V-CUM-CMP-0016,1,,SGA2-V-C01,SGA2-VOPEN-CMP-016,source_formula_structure,corrected_french_tex_plus_direct_compiled_pdf,cohomology_consequence,1809-1812,62,55-56,47-48,French lines1809-1812; printed62; physical56,SGA2_Expose_V_English_SourceAligned_Cumulative_Checkpoint.tex:lines 114-200; component SGA2-V-C01; inherited locator: final cohomology display and resolution-independence sentence,t induces isomorphism; under-tilded H bullet; chosen resolutions R(M) and R(N); cautionary quotation marks,none,retain isomorphism-level independence wording,pass,production_comparison_passed_independent_review_pending,high,none,state literal equality across resolutions,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,source unit independently sealed; cumulative assembly pending independent package audit,SGA2-V-CUM-ASSEMBLY-SELF-GATE-20260718
SGA2-V-CUM-CMP-0017,1,,SGA2-V-C01,SGA2-VOPEN-COMP-017,independent_formula_symbol_note_structure_review,corrected_french_tex_plus_direct_compiled_pdf_independently_audited,independent_full_bounded_audit,1770-1812,60-62,55-56,47-48,French TeX lines1770-1812; direct physical pages55-56; original printed61-62,SGA2_Expose_V_English_SourceAligned_Cumulative_Checkpoint.tex:lines 114-200; component SGA2-V-C01; inherited locator: all headings prose formulas notes labels locators and final two-page render,equations1-4; exponent s+1; under-tilded H; partial/delta labels; tag1.3; h_0; sign-free t_s family and chain identity; three notes; page systems,only the stale review-state banner changed,retain the English mathematical body without correction after complete independent comparison,pass: no sentence formula symbol note numbering structure or locator defect,bounded_independent_review_passed_not_cumulative_not_release_ready,high,only the stale review-state banner changed,adopt candidate ordinary H or h^0; restore obsolete signs; renumber1.3; conflate page systems,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,source unit independently sealed; cumulative assembly pending independent package audit,SGA2-V-CUM-ASSEMBLY-SELF-GATE-20260718
SGA2-V-CUM-CMP-0018,1,,SGA2-V-C02,SGA2-V1COMP-CMP-001,formula_symbol_note_structure_comparison,corrected_french_tex_plus_direct_compiled_pdf,structural_numbering,1820,62,56-57,48-49,French setcounter equation7 before labels8 and9,SGA2_Expose_V_English_SourceAligned_Cumulative_Checkpoint.tex:lines 204-302; component SGA2-V-C02; inherited locator: explicit tags8 and9 with no tag7,displayed numbering,missing7 is intentional,retain source gap,pass,production_draft_self_audit_pass,high,missing7 is intentional,renumber sequentially,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,source unit independently sealed; cumulative assembly pending independent package audit,SGA2-V-CUM-ASSEMBLY-SELF-GATE-20260718
SGA2-V-CUM-CMP-0019,1,,SGA2-V-C02,SGA2-V1COMP-CMP-002,formula_symbol_note_structure_comparison,corrected_french_tex_plus_direct_compiled_pdf,formula,1814-1816,62,56-57,48-49,0 to M-prime to M to M-double-prime to0,SGA2_Expose_V_English_SourceAligned_Cumulative_Checkpoint.tex:lines 204-302; component SGA2-V-C02; inherited locator: equation5,objects primes arrows tag,none,reproduce exactly,pass,production_draft_self_audit_pass,high,none,reverse or omit arrow,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,source unit independently sealed; cumulative assembly pending independent package audit,SGA2-V-CUM-ASSEMBLY-SELF-GATE-20260718
SGA2-V-CUM-CMP-0020,1,,SGA2-V-C02,SGA2-V1COMP-CMP-003,formula_symbol_note_structure_comparison,corrected_french_tex_plus_direct_compiled_pdf,formula,1817-1819,62,56-57,48-49,0 to R(M-prime) to R(M) to R(M-double-prime) to0,SGA2_Expose_V_English_SourceAligned_Cumulative_Checkpoint.tex:lines 204-302; component SGA2-V-C02; inherited locator: equation6,R notation arrows tag,none,reproduce exactly,pass,production_draft_self_audit_pass,high,none,flatten resolutions,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,source unit independently sealed; cumulative assembly pending independent package audit,SGA2-V-CUM-ASSEMBLY-SELF-GATE-20260718
SGA2-V-CUM-CMP-0021,1,,SGA2-V-C02,SGA2-V1COMP-CMP-004,formula_symbol_note_structure_comparison,corrected_french_tex_plus_direct_compiled_pdf,formula_symbol,1821-1824,62,56-57,48-49,under-tilded H degree s to degree s+1,SGA2_Expose_V_English_SourceAligned_Cumulative_Checkpoint.tex:lines 204-302; component SGA2-V-C02; inherited locator: equation8,under-tilde degrees arguments,under-tilded H retained,retain source symbol geometry,pass,production_draft_self_audit_pass,high,under-tilded H retained,ordinary H,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,source unit independently sealed; cumulative assembly pending independent package audit,SGA2-V-CUM-ASSEMBLY-SELF-GATE-20260718
SGA2-V-CUM-CMP-0022,1,,SGA2-V-C02,SGA2-V1COMP-CMP-005,formula_symbol_note_structure_comparison,corrected_french_tex_plus_direct_compiled_pdf,formula_source_anomaly,1823-1825,62,56-57,48-49,Ext of R(M-prime) R(N) to Ext of R(M-double-prime) R(N),SGA2_Expose_V_English_SourceAligned_Cumulative_Checkpoint.tex:lines 204-302; component SGA2-V-C02; inherited locator: equation9 plus source note,literal TeX and direct page agreement,open scholarly anomaly,preserve and disclose; no silent emendation,controlled_open,production_draft_self_audit_pass,high,open scholarly anomaly,module arguments M-prime N and M-double-prime N,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,source unit independently sealed; cumulative assembly pending independent package audit,SGA2-V-CUM-ASSEMBLY-SELF-GATE-20260718
SGA2-V-CUM-CMP-0023,1,,SGA2-V-C02,SGA2-V1COMP-CMP-006,formula_symbol_note_structure_comparison,corrected_french_tex_plus_direct_compiled_pdf,page_marker,1827,63,56-57,48-49,pageoriginale transition63 after P,SGA2_Expose_V_English_SourceAligned_Cumulative_Checkpoint.tex:lines 204-302; component SGA2-V-C02; inherited locator: margin locator63 after P,exact transition position,physical56 and recomposed48 kept separate,place marker at source locus,pass,production_draft_self_audit_pass,high,physical56 and recomposed48 kept separate,candidate original page49,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,source unit independently sealed; cumulative assembly pending independent package audit,SGA2-V-CUM-ASSEMBLY-SELF-GATE-20260718
SGA2-V-CUM-CMP-0024,1,,SGA2-V-C02,SGA2-V1COMP-CMP-007,formula_symbol_note_structure_comparison,corrected_french_tex_plus_direct_compiled_pdf,formula,1828-1829,63,56-57,48-49,Hom degree i times Hom degree j to Hom degree i+j,SGA2_Expose_V_English_SourceAligned_Cumulative_Checkpoint.tex:lines 204-302; component SGA2-V-C02; inherited locator: equation10,factor order degrees arguments arrow,none,reproduce exactly,pass,production_draft_self_audit_pass,high,none,reverse pairing order,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,source unit independently sealed; cumulative assembly pending independent package audit,SGA2-V-CUM-ASSEMBLY-SELF-GATE-20260718
SGA2-V-CUM-CMP-0025,1,,SGA2-V-C02,SGA2-V1COMP-CMP-008,formula_symbol_note_structure_comparison,corrected_french_tex_plus_direct_compiled_pdf,formula_symbol,1830-1832,63,56-57,48-49,under-tilded H pairing degrees i j and i+j,SGA2_Expose_V_English_SourceAligned_Cumulative_Checkpoint.tex:lines 204-302; component SGA2-V-C02; inherited locator: equation11,under-tilde factors target degree,none,reproduce exactly,pass,production_draft_self_audit_pass,high,none,ordinary H,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,source unit independently sealed; cumulative assembly pending independent package audit,SGA2-V-CUM-ASSEMBLY-SELF-GATE-20260718
SGA2-V-CUM-CMP-0026,1,,SGA2-V-C02,SGA2-V1COMP-CMP-009,formula_symbol_note_structure_comparison,corrected_french_tex_plus_direct_compiled_pdf,formula,1833-1835,63,56-57,48-49,under-tilded H to nested Hom of two under-tilded H groups,SGA2_Expose_V_English_SourceAligned_Cumulative_Checkpoint.tex:lines 204-302; component SGA2-V-C02; inherited locator: equation1.4,arguments degrees nonsequential tag,none,retain 1.4,pass,production_draft_self_audit_pass,high,none,renumber sequentially,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,source unit independently sealed; cumulative assembly pending independent package audit,SGA2-V-CUM-ASSEMBLY-SELF-GATE-20260718
SGA2-V-CUM-CMP-0027,1,,SGA2-V-C02,SGA2-V1COMP-CMP-010,formula_symbol_note_structure_comparison,corrected_french_tex_plus_direct_compiled_pdf,corrected_branch_reference,1836,63,56-57,48-49,sisi old5.4 corrected reference1.4,SGA2_Expose_V_English_SourceAligned_Cumulative_Checkpoint.tex:lines 204-302; component SGA2-V-C02; inherited locator: lead sentence before diagram,current sisi branch,old 5.4 rejected,use corrected 1.4,pass,production_draft_self_audit_pass,high,old 5.4 rejected,old branch5.4,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,source unit independently sealed; cumulative assembly pending independent package audit,SGA2-V-CUM-ASSEMBLY-SELF-GATE-20260718
SGA2-V-CUM-CMP-0028,1,,SGA2-V-C02,SGA2-V1COMP-CMP-011,formula_symbol_note_structure_comparison,corrected_french_tex_plus_direct_compiled_pdf,diagram_structure,1837-1840,63,56-57,48-49,three rows by two columns with horizontal and vertical arrows,SGA2_Expose_V_English_SourceAligned_Cumulative_Checkpoint.tex:lines 204-302; component SGA2-V-C02; inherited locator: tikz-cd six-node diagram,six nodes six arrows commutativity,uniform width scaling only,preserve topology and orientation,pass,production_draft_self_audit_pass,high,uniform width scaling only,comparison ASCII diagram,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,source unit independently sealed; cumulative assembly pending independent package audit,SGA2-V-CUM-ASSEMBLY-SELF-GATE-20260718
SGA2-V-CUM-CMP-0029,1,,SGA2-V-C02,SGA2-V1COMP-CMP-012,formula_symbol_note_structure_comparison,corrected_french_tex_plus_direct_compiled_pdf,diagram_label,1838,63,56-57,48-49,"right top vertical Hom(q,id)",SGA2_Expose_V_English_SourceAligned_Cumulative_Checkpoint.tex:lines 204-302; component SGA2-V-C02; inherited locator: top-right downward arrow label,label q and identity,none,retain exact label and downward arrow,pass,production_draft_self_audit_pass,high,none,candidate visually ambiguous upward label,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,source unit independently sealed; cumulative assembly pending independent package audit,SGA2-V-CUM-ASSEMBLY-SELF-GATE-20260718
SGA2-V-CUM-CMP-0030,1,,SGA2-V-C02,SGA2-V1COMP-CMP-013,formula_symbol_note_structure_comparison,corrected_french_tex_plus_direct_compiled_pdf,corrected_branch_label,1839,63,56-57,48-49,middle-left vertical sisi oldP correctedp,SGA2_Expose_V_English_SourceAligned_Cumulative_Checkpoint.tex:lines 204-302; component SGA2-V-C02; inherited locator: middle-left downward arrow p,current sisi branch,old uppercase P rejected,use lowercase p,pass,production_draft_self_audit_pass,high,old uppercase P rejected,old branch P,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,source unit independently sealed; cumulative assembly pending independent package audit,SGA2-V-CUM-ASSEMBLY-SELF-GATE-20260718
SGA2-V-CUM-CMP-0031,1,,SGA2-V-C02,SGA2-V1COMP-CMP-014,formula_symbol_note_structure_comparison,corrected_french_tex_plus_direct_compiled_pdf,symbol_membership,1841,63,56-57,48-49,h degree i and g degree j are cycles,SGA2_Expose_V_English_SourceAligned_Cumulative_Checkpoint.tex:lines 204-302; component SGA2-V-C02; inherited locator: cycle/lift paragraph,domains degrees primes,none,retain both respectively clauses,pass,production_draft_self_audit_pass,high,none,collapse memberships,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,source unit independently sealed; cumulative assembly pending independent package audit,SGA2-V-CUM-ASSEMBLY-SELF-GATE-20260718
SGA2-V-CUM-CMP-0032,1,,SGA2-V-C02,SGA2-V1COMP-CMP-015,formula_symbol_note_structure_comparison,corrected_french_tex_plus_direct_compiled_pdf,symbol_lifts,1841,63,56-57,48-49,h-prime and g-prime with p(h-prime)=h q(g-prime)=g,SGA2_Expose_V_English_SourceAligned_Cumulative_Checkpoint.tex:lines 204-302; component SGA2-V-C02; inherited locator: cycle/lift paragraph,domains equations primes,none,retain exact lifts,pass,production_draft_self_audit_pass,high,none,omit p or q equation,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,source unit independently sealed; cumulative assembly pending independent package audit,SGA2-V-CUM-ASSEMBLY-SELF-GATE-20260718
SGA2-V-CUM-CMP-0033,1,,SGA2-V-C02,SGA2-V1COMP-CMP-016,formula_symbol_note_structure_comparison,corrected_french_tex_plus_direct_compiled_pdf,formula,1842-1845,63,56-57,48-49,g composed dh-prime minus dg-prime composed h,SGA2_Expose_V_English_SourceAligned_Cumulative_Checkpoint.tex:lines 204-302; component SGA2-V-C02; inherited locator: equation12 and coboundary sentence,term order subtraction Hom-complex target,coboundary not zero,retain exact expression,pass,production_draft_self_audit_pass,high,coboundary not zero,reverse subtraction,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,source unit independently sealed; cumulative assembly pending independent package audit,SGA2-V-CUM-ASSEMBLY-SELF-GATE-20260718
SGA2-V-CUM-CMP-0034,1,,SGA2-V-C02,SGA2-V1COMP-CMP-017,formula_symbol_note_structure_comparison,corrected_french_tex_plus_direct_compiled_pdf,corrected_sign,1849,63,56-57,48-49,dh-prime equals h-prime d1 plus exponent sisi i or i+1 d2 h-prime,SGA2_Expose_V_English_SourceAligned_Cumulative_Checkpoint.tex:lines 204-302; component SGA2-V-C02; inherited locator: first differential display,corrected sisi branch exponent i+1,old exponent i rejected,use i+1,pass,production_draft_self_audit_pass,high,old exponent i rejected,old branch i,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,source unit independently sealed; cumulative assembly pending independent package audit,SGA2-V-CUM-ASSEMBLY-SELF-GATE-20260718
SGA2-V-CUM-CMP-0035,1,,SGA2-V-C02,SGA2-V1COMP-CMP-018,formula_symbol_note_structure_comparison,corrected_french_tex_plus_direct_compiled_pdf,corrected_sign,1850,63,56-57,48-49,dg-prime equals g-prime d2 plus exponent sisi j or j+1 d3 g-prime,SGA2_Expose_V_English_SourceAligned_Cumulative_Checkpoint.tex:lines 204-302; component SGA2-V-C02; inherited locator: second differential display,corrected sisi branch exponent j+1,old exponent j rejected,use j+1,pass,production_draft_self_audit_pass,high,old exponent j rejected,old branch j,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,source unit independently sealed; cumulative assembly pending independent package audit,SGA2-V-CUM-ASSEMBLY-SELF-GATE-20260718
SGA2-V-CUM-CMP-0036,1,,SGA2-V-C02,SGA2-V1COMP-CMP-019,formula_symbol_note_structure_comparison,corrected_french_tex_plus_direct_compiled_pdf,corrected_formula_branch,1852-1856,63,56-57,48-49,corrected four-term expansion,SGA2_Expose_V_English_SourceAligned_Cumulative_Checkpoint.tex:lines 204-302; component SGA2-V-C02; inherited locator: four-term unnumbered display,term order coefficients signs exponents,plus plus minus minus retained,use complete corrected branch,pass,production_draft_self_audit_pass,high,plus plus minus minus retained,old multiline branch with exponent i and j,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,source unit independently sealed; cumulative assembly pending independent package audit,SGA2-V-CUM-ASSEMBLY-SELF-GATE-20260718
SGA2-V-CUM-CMP-0037,1,,SGA2-V-C02,SGA2-V1COMP-CMP-020,formula_symbol_note_structure_comparison,corrected_french_tex_plus_direct_compiled_pdf,page_marker,1858,64,56-57,48-49,pageoriginale transition64 after D-autre part,SGA2_Expose_V_English_SourceAligned_Cumulative_Checkpoint.tex:lines 204-302; component SGA2-V-C02; inherited locator: margin locator64 after On the other hand,exact transition position,physical57 recomposed49 separate,place marker at source locus,pass,production_draft_self_audit_pass,high,physical57 recomposed49 separate,candidate original page50,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,source unit independently sealed; cumulative assembly pending independent package audit,SGA2-V-CUM-ASSEMBLY-SELF-GATE-20260718
