alignment_id,record_revision,supersedes,component_id,source_unit_record_id,evidence_class,authority_role,source_tex_lines,printed_volume_pages,physical_source_pdf_pages,recomposed_running_pages,source_locator,target_locator,coverage_status,decision,status,confidence,adverse_delta,rejected_alternative,cross_references,continuation_cursor,review_state,closure_id
SGA2-V-CUM-ALN-0011,1,,SGA2-V-C02,SGA2-V1COMP-ALN-001,source_alignment_coverage,corrected_french_tex_plus_direct_compiled_pdf,1814-1870,62-64,56-57,48-49,corrected French TeX lines 1814-1870,SGA2_Expose_V_English_SourceAligned_Cumulative_Checkpoint.tex:lines 204-302; component SGA2-V-C02; inherited locator: complete target body after authority box,complete,cover every sentence display diagram note locator and proof boundary through line1870; exclude section2,production_draft_gate_closed_self_review_only,high,equation9 literal source anomaly is disclosed and remains open,claim that section2 or the full Expose is covered,OUTBOUND:SGA2-VOPEN|OUTBOUND:SGA2-V-LINE1872,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,source unit independently sealed; cumulative assembly pending independent package audit,SGA2-V-CUM-ASSEMBLY-SELF-GATE-20260718
SGA2-V-CUM-ALN-0012,1,,SGA2-V-C02,SGA2-V1COMP-ALN-002,source_alignment_coverage,corrected_french_tex_plus_direct_compiled_pdf,1814-1816,62,56-57,48-49,corrected French TeX lines 1814-1816,SGA2_Expose_V_English_SourceAligned_Cumulative_Checkpoint.tex:lines 204-302; component SGA2-V-C02; inherited locator: equation (5),complete,preserve exact sequence objects primes arrow order and tag5,production_draft_gate_closed_self_review_only,high,none,renumber as equation7,SGA2-V1COMP-SEQ-6,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,source unit independently sealed; cumulative assembly pending independent package audit,SGA2-V-CUM-ASSEMBLY-SELF-GATE-20260718
SGA2-V-CUM-ALN-0013,1,,SGA2-V-C02,SGA2-V1COMP-ALN-003,source_alignment_coverage,corrected_french_tex_plus_direct_compiled_pdf,1817-1819,62,56-57,48-49,corrected French TeX lines 1817-1819,SGA2_Expose_V_English_SourceAligned_Cumulative_Checkpoint.tex:lines 204-302; component SGA2-V-C02; inherited locator: equation (6),complete,preserve injective-resolution sequence and tag6,production_draft_gate_closed_self_review_only,high,none,collapse R(M-prime) notation,SGA2-V1COMP-SEQ-5|SGA2-V1COMP-MAPS-8-9,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,source unit independently sealed; cumulative assembly pending independent package audit,SGA2-V-CUM-ASSEMBLY-SELF-GATE-20260718
SGA2-V-CUM-ALN-0014,1,,SGA2-V-C02,SGA2-V1COMP-ALN-004,source_alignment_coverage,corrected_french_tex_plus_direct_compiled_pdf,1820-1825,62,56-57,48-49,corrected French TeX lines 1820-1825,SGA2_Expose_V_English_SourceAligned_Cumulative_Checkpoint.tex:lines 204-302; component SGA2-V-C02; inherited locator: maps (8) and (9) plus source note,complete,retain numbering gap under-tilded H degrees and literal resolution arguments,production_draft_gate_closed_self_review_only,high,equation9 is mathematically suspicious but source reading is certain,silently replace R(M-prime) and R(N) with modules,SGA2-V1COMP-SEQ-5|SGA2-V1COMP-SEQ-6|OUTBOUND:SGA2-VOPEN-ISO-1-3,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,source unit independently sealed; cumulative assembly pending independent package audit,SGA2-V-CUM-ASSEMBLY-SELF-GATE-20260718
SGA2-V-CUM-ALN-0015,1,,SGA2-V-C02,SGA2-V1COMP-ALN-005,source_alignment_coverage,corrected_french_tex_plus_direct_compiled_pdf,1827-1829,63,56-57,48-49,corrected French TeX lines 1827-1829,SGA2_Expose_V_English_SourceAligned_Cumulative_Checkpoint.tex:lines 204-302; component SGA2-V-C02; inherited locator: pairing (10),complete,retain graded Hom factors composition direction and summed degree,production_draft_gate_closed_self_review_only,high,none,reverse factor order,SGA2-V1COMP-PAIR-11,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,source unit independently sealed; cumulative assembly pending independent package audit,SGA2-V-CUM-ASSEMBLY-SELF-GATE-20260718
SGA2-V-CUM-ALN-0016,1,,SGA2-V-C02,SGA2-V1COMP-ALN-006,source_alignment_coverage,corrected_french_tex_plus_direct_compiled_pdf,1830-1832,63,56-57,48-49,corrected French TeX lines 1830-1832,SGA2_Expose_V_English_SourceAligned_Cumulative_Checkpoint.tex:lines 204-302; component SGA2-V-C02; inherited locator: pairing (11),complete,retain under-tilded cohomology factors and degree sum,production_draft_gate_closed_self_review_only,high,none,flatten under-tilded H,SGA2-V1COMP-PAIR-10|SGA2-V1COMP-NAT-1-4,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,source unit independently sealed; cumulative assembly pending independent package audit,SGA2-V-CUM-ASSEMBLY-SELF-GATE-20260718
SGA2-V-CUM-ALN-0017,1,,SGA2-V-C02,SGA2-V1COMP-ALN-007,source_alignment_coverage,corrected_french_tex_plus_direct_compiled_pdf,1833-1835,63,56-57,48-49,corrected French TeX lines 1833-1835,SGA2_Expose_V_English_SourceAligned_Cumulative_Checkpoint.tex:lines 204-302; component SGA2-V-C02; inherited locator: homomorphism (1.4),complete,preserve functor variable nested Hom and strange numbering,production_draft_gate_closed_self_review_only,high,none,renumber as equation12,SGA2-V1COMP-PAIR-11|SGA2-V1COMP-DIAGRAM,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,source unit independently sealed; cumulative assembly pending independent package audit,SGA2-V-CUM-ASSEMBLY-SELF-GATE-20260718
SGA2-V-CUM-ALN-0018,1,,SGA2-V-C02,SGA2-V1COMP-ALN-008,source_alignment_coverage,corrected_french_tex_plus_direct_compiled_pdf,1836-1840,63,56-57,48-49,corrected French TeX lines 1836-1840,SGA2_Expose_V_English_SourceAligned_Cumulative_Checkpoint.tex:lines 204-302; component SGA2-V-C02; inherited locator: six-node commutative diagram,complete,select corrected 1.4 reference and p label; preserve all nodes and arrows,production_draft_gate_closed_self_review_only,high,diagram is uniformly scaled for legibility,use comparison text diagram as substrate,SGA2-V1COMP-NAT-1-4|SGA2-V1COMP-CYCLE-SETUP,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,source unit independently sealed; cumulative assembly pending independent package audit,SGA2-V-CUM-ASSEMBLY-SELF-GATE-20260718
SGA2-V-CUM-ALN-0019,1,,SGA2-V-C02,SGA2-V1COMP-ALN-009,source_alignment_coverage,corrected_french_tex_plus_direct_compiled_pdf,1841,63,56-57,48-49,corrected French TeX lines 1841,SGA2_Expose_V_English_SourceAligned_Cumulative_Checkpoint.tex:lines 204-302; component SGA2-V-C02; inherited locator: cycle and lift paragraph,complete,retain all four graded Hom memberships and both lifting equalities,production_draft_gate_closed_self_review_only,high,none,drop respectively clauses,SGA2-V1COMP-DIAGRAM|SGA2-V1COMP-COBOUNDARY-12,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,source unit independently sealed; cumulative assembly pending independent package audit,SGA2-V-CUM-ASSEMBLY-SELF-GATE-20260718
SGA2-V-CUM-ALN-0020,1,,SGA2-V-C02,SGA2-V1COMP-ALN-010,source_alignment_coverage,corrected_french_tex_plus_direct_compiled_pdf,1842-1845,63,56-57,48-49,corrected French TeX lines 1842-1845,SGA2_Expose_V_English_SourceAligned_Cumulative_Checkpoint.tex:lines 204-302; component SGA2-V-C02; inherited locator: equation (12) and coboundary assertion,complete,retain subtraction order and Hom-complex target,production_draft_gate_closed_self_review_only,high,none,call expression itself zero,SGA2-V1COMP-CYCLE-SETUP|SGA2-V1COMP-SIGN-CALC,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,source unit independently sealed; cumulative assembly pending independent package audit,SGA2-V-CUM-ASSEMBLY-SELF-GATE-20260718
SGA2-V-CUM-ALN-0021,1,,SGA2-V-C02,SGA2-V1COMP-ALN-011,source_alignment_coverage,corrected_french_tex_plus_direct_compiled_pdf,1847-1856,63,56-57,48-49,corrected French TeX lines 1847-1856,SGA2_Expose_V_English_SourceAligned_Cumulative_Checkpoint.tex:lines 204-302; component SGA2-V-C02; inherited locator: two differentials and four-term expansion,complete,select corrected i+1 and j+1 branches and exact term order,production_draft_gate_closed_self_review_only,high,obsolete original signs rejected,use old i and j branches,SGA2-V1COMP-COBOUNDARY-12|SGA2-V1COMP-CYCLE-IDENTITIES,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,source unit independently sealed; cumulative assembly pending independent package audit,SGA2-V-CUM-ASSEMBLY-SELF-GATE-20260718
SGA2-V-CUM-ALN-0022,1,,SGA2-V-C02,SGA2-V1COMP-ALN-012,source_alignment_coverage,corrected_french_tex_plus_direct_compiled_pdf,1858-1866,64,56-57,48-49,corrected French TeX lines 1858-1866,SGA2_Expose_V_English_SourceAligned_Cumulative_Checkpoint.tex:lines 204-302; component SGA2-V-C02; inherited locator: cycle identities primitive and proof close,complete,select corrected j i and i+1 exponents and preserve proof boundary,production_draft_gate_closed_self_review_only,high,none,retain old j+1 i+1 or i branches,SGA2-V1COMP-SIGN-CALC|SGA2-V1COMP-NAT-1-5,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,source unit independently sealed; cumulative assembly pending independent package audit,SGA2-V-CUM-ASSEMBLY-SELF-GATE-20260718
SGA2-V-CUM-ALN-0023,1,,SGA2-V-C02,SGA2-V1COMP-ALN-013,source_alignment_coverage,corrected_french_tex_plus_direct_compiled_pdf,1868-1870,64,56-57,48-49,corrected French TeX lines 1868-1870,SGA2_Expose_V_English_SourceAligned_Cumulative_Checkpoint.tex:lines 204-302; component SGA2-V-C02; inherited locator: homomorphism (1.5),complete,retain Ext argument order degrees and final section1 boundary,production_draft_gate_closed_self_review_only,high,none,continue into section2 line1872,SGA2-V1COMP-CYCLE-IDENTITIES|OUTBOUND:SGA2-V-LINE1872,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,source unit independently sealed; cumulative assembly pending independent package audit,SGA2-V-CUM-ASSEMBLY-SELF-GATE-20260718
SGA2-V-CUM-ALN-0024,1,,SGA2-V-C02,SGA2-V1COMP-ALN-014,source_alignment_coverage,corrected_french_tex_plus_direct_compiled_pdf_independently_audited,1814-1870,62-64,56-57,48-49,corrected French TeX lines 1814-1870,SGA2_Expose_V_English_SourceAligned_Cumulative_Checkpoint.tex:lines 204-302; component SGA2-V-C02; inherited locator: complete final body plus independent receipt,complete,independently verify every sentence formula sign diagram note locator proof boundary and equation9 disclosure,bounded_independent_review_passed_not_cumulative_not_release_ready,high,equation9 literal source anomaly remains open; explanatory note wording corrected,silently emend equation9 or claim cumulative or public completion,SGA2-V1COMP@2|SGA2-V1COMP-IREVIEW|SGA2-V1COMP-ISSUE-EQ9-001,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,source unit independently sealed; cumulative assembly pending independent package audit,SGA2-V-CUM-ASSEMBLY-SELF-GATE-20260718
SGA2-V-CUM-ALN-0025,1,,SGA2-V-C03,SGA2-V2-ALN-001,source_alignment_coverage,corrected_french_tex_plus_direct_compiled_pdf,1872-1894,64-65,58,50,corrected French TeX lines 1872-1894,SGA2_Expose_V_English_SourceAligned_Cumulative_Checkpoint.tex:lines 306-357; component SGA2-V-C03; inherited locator: complete target body after authority box,complete,cover section heading setup equations13-14 theorem2.1 and complete proof; stop before section3,independently_source_reviewed_sealed_bounded_unit,high,none,continue into line1896 or stop before proof closes,OUTBOUND:SGA2-V-1.5|OUTBOUND:SGA2-IV-5.4|OUTBOUND:SGA2-III-3.4,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,source unit independently sealed; cumulative assembly pending independent package audit,SGA2-V-CUM-ASSEMBLY-SELF-GATE-20260718
SGA2-V-CUM-ALN-0026,1,,SGA2-V-C03,SGA2-V2-ALN-002,source_alignment_coverage,corrected_french_tex_plus_direct_compiled_pdf,1872,64,58,50,corrected French TeX lines 1872,SGA2_Expose_V_English_SourceAligned_Cumulative_Checkpoint.tex:lines 306-357; component SGA2-V-C03; inherited locator: section 2 heading,complete,preserve visible section number and regular-local-ring title,independently_source_reviewed_sealed_bounded_unit,high,none,flatten heading into prose,,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,source unit independently sealed; cumulative assembly pending independent package audit,SGA2-V-CUM-ASSEMBLY-SELF-GATE-20260718
SGA2-V-CUM-ALN-0027,1,,SGA2-V-C03,SGA2-V2-ALN-003,source_alignment_coverage,corrected_french_tex_plus_direct_compiled_pdf,1876,64,58,50,corrected French TeX lines 1876,SGA2_Expose_V_English_SourceAligned_Cumulative_Checkpoint.tex:lines 306-357; component SGA2-V-C03; inherited locator: setup and local-cohomology definition,complete,retain dimension maximal ideal finite generation local support direct limit and IV5.4 dependency,independently_source_reviewed_sealed_bounded_unit,high,none,omit support subscript or quotient exponent,OUTBOUND:SGA2-IV-5.4|OUTBOUND:SGA2-V-1.5,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,source unit independently sealed; cumulative assembly pending independent package audit,SGA2-V-CUM-ASSEMBLY-SELF-GATE-20260718
SGA2-V-CUM-ALN-0028,1,,SGA2-V-C03,SGA2-V2-ALN-004,source_alignment_coverage,corrected_french_tex_plus_direct_compiled_pdf,1877-1878,64,58,50,corrected French TeX lines 1877-1878,SGA2_Expose_V_English_SourceAligned_Cumulative_Checkpoint.tex:lines 306-357; component SGA2-V-C03; inherited locator: equation (13),complete,retain varphi_k map all Ext degrees argument order and Hom nesting,independently_source_reviewed_sealed_bounded_unit,high,none,candidate Unicode formula as target substrate,SGA2-V2-SETUP,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,source unit independently sealed; cumulative assembly pending independent package audit,SGA2-V-CUM-ASSEMBLY-SELF-GATE-20260718
SGA2-V-CUM-ALN-0029,1,,SGA2-V-C03,SGA2-V2-ALN-005,source_alignment_coverage,corrected_french_tex_plus_direct_compiled_pdf,1879-1881,64,58,50,corrected French TeX lines 1879-1881,SGA2_Expose_V_English_SourceAligned_Cumulative_Checkpoint.tex:lines 306-357; component SGA2-V-C03; inherited locator: equation (14),complete,retain direct-limit consequence delta-functor status varphi and degree r-i,independently_source_reviewed_sealed_bounded_unit,high,none,normalize varphi to phi,SGA2-V2-EQ13,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,source unit independently sealed; cumulative assembly pending independent package audit,SGA2-V-CUM-ASSEMBLY-SELF-GATE-20260718
SGA2-V-CUM-ALN-0030,1,,SGA2-V-C03,SGA2-V2-ALN-006,source_alignment_coverage,corrected_french_tex_plus_direct_compiled_pdf,1883-1885,64,58,50,corrected French TeX lines 1883-1885,SGA2_Expose_V_English_SourceAligned_Cumulative_Checkpoint.tex:lines 306-357; component SGA2-V-C03; inherited locator: Theorem 2.1,complete,retain functoriality and isomorphism assertion,independently_source_reviewed_sealed_bounded_unit,high,none,state only objectwise isomorphism,SGA2-V2-EQ14,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,source unit independently sealed; cumulative assembly pending independent package audit,SGA2-V-CUM-ASSEMBLY-SELF-GATE-20260718
SGA2-V-CUM-ALN-0031,1,,SGA2-V-C03,SGA2-V2-ALN-007,source_alignment_coverage,corrected_french_tex_plus_direct_compiled_pdf,1887-1888,64-65,58,50,corrected French TeX lines 1887-1888,SGA2_Expose_V_English_SourceAligned_Cumulative_Checkpoint.tex:lines 306-357; component SGA2-V-C03; inherited locator: proof case i greater than r,complete,retain both zero sides direct limit Ext vanishing syzygy theorem and exact page65 transition,independently_source_reviewed_sealed_bounded_unit,high,none,assign the whole proof to printed64,SGA2-V2-EQ14,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,source unit independently sealed; cumulative assembly pending independent package audit,SGA2-V-CUM-ASSEMBLY-SELF-GATE-20260718
SGA2-V-CUM-ALN-0032,1,,SGA2-V-C03,SGA2-V2-ALN-008,source_alignment_coverage,corrected_french_tex_plus_direct_compiled_pdf,1890,65,58,50,corrected French TeX lines 1890,SGA2_Expose_V_English_SourceAligned_Cumulative_Checkpoint.tex:lines 306-357; component SGA2-V-C03; inherited locator: proof case i equals r,complete,retain right exactness noetherian finite-generation reduction and M=A check,independently_source_reviewed_sealed_bounded_unit,high,none,drop the functor hypotheses as routine,SGA2-V2-EQ14,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,source unit independently sealed; cumulative assembly pending independent package audit,SGA2-V-CUM-ASSEMBLY-SELF-GATE-20260718
SGA2-V-CUM-ALN-0033,1,,SGA2-V-C03,SGA2-V2-ALN-009,source_alignment_coverage,corrected_french_tex_plus_direct_compiled_pdf,1892-1894,65,58,50,corrected French TeX lines 1892-1894,SGA2_Expose_V_English_SourceAligned_Cumulative_Checkpoint.tex:lines 306-357; component SGA2-V-C03; inherited locator: descending-induction proof close,complete,retain finite presentation finite-free vanishing finite sums H^i(A) vanishing prof notation and III3.4,independently_source_reviewed_sealed_bounded_unit,high,none,replace source prof symbol with new depth notation,OUTBOUND:SGA2-III-3.4,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,source unit independently sealed; cumulative assembly pending independent package audit,SGA2-V-CUM-ASSEMBLY-SELF-GATE-20260718
SGA2-V-CUM-ALN-0034,1,,SGA2-V-C04,SGA2-V31OPEN-ALN-001,source_alignment_coverage,corrected_french_tex_plus_direct_compiled_pdf,1896-1919,65-66,58-59,50-51,corrected French TeX lines 1896-1919,SGA2_Expose_V_English_SourceAligned_Cumulative_Checkpoint.tex:lines 361-392; component SGA2-V-C04; inherited locator: complete target body after authority box,complete,cover the section heading Theorem 3.1 statement and proof reduction through line1919; exclude Lemma 3.2,production_draft_machine_evidence_in_progress,high,none,extend into Lemma 3.2 without a new bounded unit,OUTBOUND:SGA2-V-LINE1921,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,source unit independently sealed; cumulative assembly pending independent package audit,SGA2-V-CUM-ASSEMBLY-SELF-GATE-20260718
SGA2-V-CUM-ALN-0035,1,,SGA2-V-C04,SGA2-V31OPEN-ALN-002,source_alignment_coverage,corrected_french_tex,1896-1899,65,58-59,50-51,corrected French TeX lines 1896-1899,SGA2_Expose_V_English_SourceAligned_Cumulative_Checkpoint.tex:lines 361-392; component SGA2-V-C04; inherited locator: section 3 heading,complete,preserve section number title and H superscript notation,production_source_comparison_passed_independent_review_pending,high,none,flatten heading hierarchy,,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,source unit independently sealed; cumulative assembly pending independent package audit,SGA2-V-CUM-ASSEMBLY-SELF-GATE-20260718
SGA2-V-CUM-ALN-0036,1,,SGA2-V-C04,SGA2-V31OPEN-ALN-003,source_alignment_coverage,corrected_french_tex_plus_direct_compiled_pdf,1900-1909,65,58-59,50-51,corrected French TeX lines 1900-1909,SGA2_Expose_V_English_SourceAligned_Cumulative_Checkpoint.tex:lines 361-392; component SGA2-V-C04; inherited locator: Theorem 3.1 statement,complete,preserve hypotheses three clauses completions dimension and associated-prime condition,production_formula_comparison_passed_independent_review_pending,high,none,adopt comparison witness plain-text completion marks,OUTBOUND:SGA2-IV-5-4,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,source unit independently sealed; cumulative assembly pending independent package audit,SGA2-V-CUM-ASSEMBLY-SELF-GATE-20260718
SGA2-V-CUM-ALN-0037,1,,SGA2-V-C04,SGA2-V31OPEN-ALN-004,source_alignment_coverage,corrected_french_tex,1911-1912,65,58-59,50-51,corrected French TeX lines 1911-1912,SGA2_Expose_V_English_SourceAligned_Cumulative_Checkpoint.tex:lines 361-392; component SGA2-V-C04; inherited locator: proof opening and dualizing module statement,complete,preserve relationship between D I and their completions,production_source_comparison_passed_independent_review_pending,high,none,replace dualizing module with canonical module,,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,source unit independently sealed; cumulative assembly pending independent package audit,SGA2-V-CUM-ASSEMBLY-SELF-GATE-20260718
