target_id,corpus,work,volume,kind,parent_id,source_number,visible_title,printed_page,pdf_page,coordinate_basis,fr_tex_path,fr_locator,en_tex_path,en_locator,authority_sha256,statement_status,provenance,review_status
illusie:I:front:p002:catalogue:vol01,illusie,cotangent-complex,I,external_catalogue_entry,illusie:I:front:p002:catalogue,Vol. 1,J. C. Erdmann — Wärmeleitung in Kristallen,inside-cover,2,pdf-physical,tex/common/publisher_p002_text.tex,catalogue-v01,tex/common/publisher_p002_text.tex,catalogue-v01,1855B49FE461B13B1CBAEE1341C8FC3E3E0CDDC034C54ABEC1165AF061B90A56,complete,publisher catalogue listing,lead_reviewed
illusie:I:front:p002:catalogue:vol02,illusie,cotangent-complex,I,external_catalogue_entry,illusie:I:front:p002:catalogue,Vol. 2,K. Hepp — Théorie de la renormalisation,inside-cover,2,pdf-physical,tex/common/publisher_p002_text.tex,catalogue-v02,tex/common/publisher_p002_text.tex,catalogue-v02,1855B49FE461B13B1CBAEE1341C8FC3E3E0CDDC034C54ABEC1165AF061B90A56,complete,publisher catalogue listing,lead_reviewed
illusie:I:front:p002:catalogue:vol03,illusie,cotangent-complex,I,external_catalogue_entry,illusie:I:front:p002:catalogue,Vol. 3,A. Martin — Scattering Theory: Unitarity Analytic and Crossing,inside-cover,2,pdf-physical,tex/common/publisher_p002_text.tex,catalogue-v03,tex/common/publisher_p002_text.tex,catalogue-v03,1855B49FE461B13B1CBAEE1341C8FC3E3E0CDDC034C54ABEC1165AF061B90A56,complete,publisher catalogue listing,lead_reviewed
illusie:I:front:p002:catalogue:vol04,illusie,cotangent-complex,I,external_catalogue_entry,illusie:I:front:p002:catalogue,Vol. 4,G. Ludwig — Deutung des Begriffs physikalische Theorie,inside-cover,2,pdf-physical,tex/common/publisher_p002_text.tex,catalogue-v04,tex/common/publisher_p002_text.tex,catalogue-v04,1855B49FE461B13B1CBAEE1341C8FC3E3E0CDDC034C54ABEC1165AF061B90A56,complete,publisher catalogue listing,lead_reviewed
illusie:I:front:p002:catalogue:vol05,illusie,cotangent-complex,I,external_catalogue_entry,illusie:I:front:p002:catalogue,Vol. 5,M. Schaaf — The Reduction of the Product of Two Irreducible Unitary Representations,inside-cover,2,pdf-physical,tex/common/publisher_p002_text.tex,catalogue-v05,tex/common/publisher_p002_text.tex,catalogue-v05,1855B49FE461B13B1CBAEE1341C8FC3E3E0CDDC034C54ABEC1165AF061B90A56,complete,publisher catalogue listing,lead_reviewed
illusie:I:front:p002:catalogue:vol06,illusie,cotangent-complex,I,external_catalogue_entry,illusie:I:front:p002:catalogue,Vol. 6,Group Representations in Mathematics and Physics — edited by V. Bargmann,inside-cover,2,pdf-physical,tex/common/publisher_p002_text.tex,catalogue-v06,tex/common/publisher_p002_text.tex,catalogue-v06,1855B49FE461B13B1CBAEE1341C8FC3E3E0CDDC034C54ABEC1165AF061B90A56,complete,publisher catalogue listing,lead_reviewed
illusie:I:front:p002:catalogue:vol07,illusie,cotangent-complex,I,external_catalogue_entry,illusie:I:front:p002:catalogue,Vol. 7,R. Balescu et al. — Lectures in Statistical Physics,inside-cover,2,pdf-physical,tex/common/publisher_p002_text.tex,catalogue-v07,tex/common/publisher_p002_text.tex,catalogue-v07,1855B49FE461B13B1CBAEE1341C8FC3E3E0CDDC034C54ABEC1165AF061B90A56,complete,publisher catalogue listing,lead_reviewed
illusie:I:front:p002:catalogue:vol08,illusie,cotangent-complex,I,external_catalogue_entry,illusie:I:front:p002:catalogue,Vol. 8,Proceedings of the Second International Conference on Numerical Methods in Fluid Dynamics — edited by M. Holt,inside-cover,2,pdf-physical,tex/common/publisher_p002_text.tex,catalogue-v08,tex/common/publisher_p002_text.tex,catalogue-v08,1855B49FE461B13B1CBAEE1341C8FC3E3E0CDDC034C54ABEC1165AF061B90A56,complete,publisher catalogue listing,lead_reviewed
illusie:I:front:p005,illusie,cotangent-complex,I,dedication_page,illusie:I:front,,Dedication,III,5,pdf-physical,tex/volume_I/fr_corrected/front/004_ded.tex,illusie:I:front:p005,tex/volume_I/en/front/004_ded.tex,illusie:I:front:p005,1855B49FE461B13B1CBAEE1341C8FC3E3E0CDDC034C54ABEC1165AF061B90A56,complete,Springer print scan; direct 1100 dpi-equivalent review,lead_reviewed
illusie:I:front:p005:dedication,illusie,cotangent-complex,I,dedication,illusie:I:front:p005,,A MES PARENTS,III,5,pdf-physical,tex/volume_I/fr_corrected/front/004_ded.tex,dedication,tex/volume_I/en/front/004_ded.tex,dedication,1855B49FE461B13B1CBAEE1341C8FC3E3E0CDDC034C54ABEC1165AF061B90A56,complete,Direct rendered authority; source-aligned English TO MY PARENTS,lead_reviewed
illusie:I:front:p006,illusie,cotangent-complex,I,blank_preliminary_page,illusie:I:front,,Blank preliminary page,IV,6,pdf-physical,tex/volume_I/fr_corrected/front/005_blank.tex,illusie:I:front:p006,tex/volume_I/en/front/005_blank.tex,illusie:I:front:p006,1855B49FE461B13B1CBAEE1341C8FC3E3E0CDDC034C54ABEC1165AF061B90A56,complete,Underlying blank leaf preserved; repository insert source-only,lead_reviewed
illusie:I:front:p006:ia,illusie,cotangent-complex,I,digitization_insert,illusie:I:front:p006,2024,Internet Archive digitization insert,IV,6,pdf-physical,,,,,1855B49FE461B13B1CBAEE1341C8FC3E3E0CDDC034C54ABEC1165AF061B90A56,source_only,Direct rendered authority; excluded from editions,lead_reviewed
illusie:I:outline,illusie,cotangent-complex,I,volume_outline,illusie:I:volume,,Volume I semantic outline,V–VII,7-9,pdf-physical,tex/volume_I/fr_corrected/front/006_toc.tex,outline.csv,tex/volume_I/en/front/006_toc.tex,outline.csv,1855B49FE461B13B1CBAEE1341C8FC3E3E0CDDC034C54ABEC1165AF061B90A56,complete,72 stable units with target printed and physical pages,lead_reviewed
illusie:I:front:p007,illusie,cotangent-complex,I,table_of_contents_page,illusie:I:outline,V,Table of contents — Chapter I,V,7,pdf-physical,tex/volume_I/fr_corrected/front/006_toc.tex,illusie:I:front:p007,tex/volume_I/en/front/006_toc.tex,illusie:I:front:p007,1855B49FE461B13B1CBAEE1341C8FC3E3E0CDDC034C54ABEC1165AF061B90A56,complete,Direct rendered authority at 1100 dpi-equivalent,lead_reviewed
illusie:I:front:p008,illusie,cotangent-complex,I,table_of_contents_page,illusie:I:outline,VI,Table of contents — Chapters II–III,VI,8,pdf-physical,tex/volume_I/fr_corrected/front/006_toc.tex,illusie:I:front:p008,tex/volume_I/en/front/006_toc.tex,illusie:I:front:p008,1855B49FE461B13B1CBAEE1341C8FC3E3E0CDDC034C54ABEC1165AF061B90A56,complete,Direct rendered authority at 1100 dpi-equivalent,lead_reviewed
illusie:I:front:p009,illusie,cotangent-complex,I,table_of_contents_page,illusie:I:outline,VII,Table of contents — Chapters IV–V,VII,9,pdf-physical,tex/volume_I/fr_corrected/front/006_toc.tex,illusie:I:front:p009,tex/volume_I/en/front/006_toc.tex,illusie:I:front:p009,1855B49FE461B13B1CBAEE1341C8FC3E3E0CDDC034C54ABEC1165AF061B90A56,complete,Direct rendered authority at 1100 dpi-equivalent,lead_reviewed
illusie:I:front:p010,illusie,cotangent-complex,I,blank_preliminary_page,illusie:I:front,VIII,Blank preliminary page,VIII,10,pdf-physical,tex/volume_I/fr_corrected/front/007_blank.tex,illusie:I:front:p010,tex/volume_I/en/front/007_blank.tex,illusie:I:front:p010,1855B49FE461B13B1CBAEE1341C8FC3E3E0CDDC034C54ABEC1165AF061B90A56,complete,Direct rendered authority at 1100 dpi-equivalent; reverse bleed-through excluded,lead_reviewed
illusie:I:intro,illusie,cotangent-complex,I,introduction,illusie:I:volume,,Introduction,IX-XIII,11-15,pdf-physical,tex/volume_I/fr_corrected/front/008_intro.tex,illusie:I:intro,tex/volume_I/en/front/008_intro.tex,illusie:I:intro,1855B49FE461B13B1CBAEE1341C8FC3E3E0CDDC034C54ABEC1165AF061B90A56,complete,Physical pp.11-15 complete by direct rendered authority and source-aligned review,lead_reviewed
illusie:I:intro:p011,illusie,cotangent-complex,I,introduction_page,illusie:I:intro,IX,Introduction page IX,IX,11,pdf-physical,tex/volume_I/fr_corrected/front/008_intro.tex,illusie:I:intro:p011,tex/volume_I/en/front/008_intro.tex,illusie:I:intro:p011,1855B49FE461B13B1CBAEE1341C8FC3E3E0CDDC034C54ABEC1165AF061B90A56,complete,Direct rendered authority at 1100 dpi-equivalent,lead_reviewed
illusie:I:intro:p011:p1,illusie,cotangent-complex,I,paragraph,illusie:I:intro:p011,1,Purpose and applications,IX,11,pdf-physical,tex/volume_I/fr_corrected/front/008_intro.tex,illusie:I:intro:p011:p1,tex/volume_I/en/front/008_intro.tex,illusie:I:intro:p011:p1,1855B49FE461B13B1CBAEE1341C8FC3E3E0CDDC034C54ABEC1165AF061B90A56,complete,Direct rendered authority and source-aligned translation,lead_reviewed
illusie:I:intro:p011:p2,illusie,cotangent-complex,I,paragraph,illusie:I:intro:p011,2,Announcement of chapter overview,IX,11,pdf-physical,tex/volume_I/fr_corrected/front/008_intro.tex,illusie:I:intro:p011:p2,tex/volume_I/en/front/008_intro.tex,illusie:I:intro:p011:p2,1855B49FE461B13B1CBAEE1341C8FC3E3E0CDDC034C54ABEC1165AF061B90A56,complete,Direct rendered authority and source-aligned translation,lead_reviewed
illusie:I:intro:p011:p3,illusie,cotangent-complex,I,paragraph,illusie:I:intro:p011,3,Overview of Chapter I,IX,11,pdf-physical,tex/volume_I/fr_corrected/front/008_intro.tex,illusie:I:intro:p011:p3,tex/volume_I/en/front/008_intro.tex,illusie:I:intro:p011:p3,1855B49FE461B13B1CBAEE1341C8FC3E3E0CDDC034C54ABEC1165AF061B90A56,complete,Direct rendered authority and source-aligned translation,lead_reviewed
illusie:I:intro:p011:n1,illusie,cotangent-complex,I,author_note,illusie:I:intro:p011,1,A. Grothendieck reference,IX,11,pdf-physical,tex/volume_I/fr_corrected/front/008_intro.tex,illusie:I:intro:p011:n1,tex/volume_I/en/front/008_intro.tex,illusie:I:intro:p011:n1,1855B49FE461B13B1CBAEE1341C8FC3E3E0CDDC034C54ABEC1165AF061B90A56,complete,Explicit external-work note,lead_reviewed
illusie:I:intro:p011:n2,illusie,cotangent-complex,I,author_note,illusie:I:intro:p011,2,W. Messing reference,IX,11,pdf-physical,tex/volume_I/fr_corrected/front/008_intro.tex,illusie:I:intro:p011:n2,tex/volume_I/en/front/008_intro.tex,illusie:I:intro:p011:n2,1855B49FE461B13B1CBAEE1341C8FC3E3E0CDDC034C54ABEC1165AF061B90A56,complete,Explicit external-work note,lead_reviewed
illusie:I:intro:p012,illusie,cotangent-complex,I,introduction_page,illusie:I:intro,X,Introduction page X,X,12,pdf-physical,tex/volume_I/fr_corrected/front/009_intro.tex,illusie:I:intro:p012,tex/volume_I/en/front/009_intro.tex,illusie:I:intro:p012,1855B49FE461B13B1CBAEE1341C8FC3E3E0CDDC034C54ABEC1165AF061B90A56,complete,Direct rendered authority at 1100 dpi-equivalent,lead_reviewed
illusie:I:intro:p012:p1,illusie,cotangent-complex,I,paragraph,illusie:I:intro:p012,1,Overview of Chapter II,X,12,pdf-physical,tex/volume_I/fr_corrected/front/009_intro.tex,illusie:I:intro:p012:p1,tex/volume_I/en/front/009_intro.tex,illusie:I:intro:p012:p1,1855B49FE461B13B1CBAEE1341C8FC3E3E0CDDC034C54ABEC1165AF061B90A56,complete,Direct rendered authority and source-aligned translation,lead_reviewed
illusie:I:intro:p012:d1,illusie,cotangent-complex,I,diagram,illusie:I:intro:p012:p1,unnumbered,Transitivity triangle,X,12,pdf-physical,tex/volume_I/fr_corrected/front/009_intro.tex,illusie:I:intro:p012:d1,tex/volume_I/en/front/009_intro.tex,illusie:I:intro:p012:d1,1855B49FE461B13B1CBAEE1341C8FC3E3E0CDDC034C54ABEC1165AF061B90A56,complete,Direct source geometry reconstructed in native TikZ,lead_reviewed
illusie:I:intro:p012:p2,illusie,cotangent-complex,I,paragraph,illusie:I:intro:p012,2,Overview of Chapter III,X,12,pdf-physical,tex/volume_I/fr_corrected/front/009_intro.tex,illusie:I:intro:p012:p2,tex/volume_I/en/front/009_intro.tex,illusie:I:intro:p012:p2,1855B49FE461B13B1CBAEE1341C8FC3E3E0CDDC034C54ABEC1165AF061B90A56,complete,Direct rendered authority and source-aligned translation,lead_reviewed
illusie:I:intro:p012:p3,illusie,cotangent-complex,I,paragraph,illusie:I:intro:p012,3,Overview of Chapters IV and V,X-XI,12-13,pdf-physical,tex/volume_I/fr_corrected/front/009_intro.tex,illusie:I:intro:p012:p3,tex/volume_I/en/front/009_intro.tex,illusie:I:intro:p012:p3,1855B49FE461B13B1CBAEE1341C8FC3E3E0CDDC034C54ABEC1165AF061B90A56,complete,Direct rendered authority across pp.12-13; p.13 carrier child closes the paragraph,lead_reviewed
illusie:I:intro:p013,illusie,cotangent-complex,I,introduction_page,illusie:I:intro,XI,Introduction page XI,XI,13,pdf-physical,tex/volume_I/fr_corrected/front/010_intro.tex,illusie:I:intro:p013,tex/volume_I/en/front/010_intro.tex,illusie:I:intro:p013,1855B49FE461B13B1CBAEE1341C8FC3E3E0CDDC034C54ABEC1165AF061B90A56,complete,Direct rendered authority at 1100 dpi-equivalent,lead_reviewed
illusie:I:intro:p013:p1,illusie,cotangent-complex,I,paragraph_continuation_fragment,illusie:I:intro:p012:p3,3-cont,Conclusion of Chapters IV-V overview,XI,13,pdf-physical,tex/volume_I/fr_corrected/front/010_intro.tex,illusie:I:intro:p013:p1,tex/volume_I/en/front/010_intro.tex,illusie:I:intro:p013:p1,1855B49FE461B13B1CBAEE1341C8FC3E3E0CDDC034C54ABEC1165AF061B90A56,complete,Physical carrier child; same stable paragraph begins at p.12,lead_reviewed
illusie:I:intro:p013:p2,illusie,cotangent-complex,I,paragraph,illusie:I:intro:p013,2,Overview of Chapter VI,XI,13,pdf-physical,tex/volume_I/fr_corrected/front/010_intro.tex,illusie:I:intro:p013:p2,tex/volume_I/en/front/010_intro.tex,illusie:I:intro:p013:p2,1855B49FE461B13B1CBAEE1341C8FC3E3E0CDDC034C54ABEC1165AF061B90A56,complete,Direct rendered authority and source-aligned translation,lead_reviewed
illusie:I:intro:p013:p3,illusie,cotangent-complex,I,paragraph,illusie:I:intro:p013,3,Overview of Chapter VII,XI-XII,13-14,pdf-physical,tex/volume_I/fr_corrected/front/010_intro.tex,illusie:I:intro:p013:p3,tex/volume_I/en/front/010_intro.tex,illusie:I:intro:p013:p3,1855B49FE461B13B1CBAEE1341C8FC3E3E0CDDC034C54ABEC1165AF061B90A56,complete,Direct rendered authority across pp.13-14; p.14 carrier child closes the paragraph,lead_reviewed
illusie:I:intro:p013:ns,illusie,cotangent-complex,I,publication_note,illusie:I:intro:p013:p2,*,Publication note for Chapters VI-VIII,XI,13,pdf-physical,tex/volume_I/fr_corrected/front/010_intro.tex,illusie:I:intro:p013:ns,tex/volume_I/en/front/010_intro.tex,illusie:I:intro:p013:ns,1855B49FE461B13B1CBAEE1341C8FC3E3E0CDDC034C54ABEC1165AF061B90A56,complete,Historical second-volume announcement linked to bounded LNM 283,lead_reviewed
illusie:I:intro:p013:n3,illusie,cotangent-complex,I,author_note,illusie:I:intro:p013:p2,3,S. Mac-Lane reference,XI,13,pdf-physical,tex/volume_I/fr_corrected/front/010_intro.tex,illusie:I:intro:p013:n3,tex/volume_I/en/front/010_intro.tex,illusie:I:intro:p013:n3,1855B49FE461B13B1CBAEE1341C8FC3E3E0CDDC034C54ABEC1165AF061B90A56,complete,Explicit 1956 Louvain reference,lead_reviewed
illusie:I:intro:p013:n4,illusie,cotangent-complex,I,author_note,illusie:I:intro:p013:p2,4,L. Breen reference,XI,13,pdf-physical,tex/volume_I/fr_corrected/front/010_intro.tex,illusie:I:intro:p013:n4,tex/volume_I/en/front/010_intro.tex,illusie:I:intro:p013:n4,1855B49FE461B13B1CBAEE1341C8FC3E3E0CDDC034C54ABEC1165AF061B90A56,complete,Work in preparation as printed,lead_reviewed
illusie:I:intro:p013:n5,illusie,cotangent-complex,I,author_note,illusie:I:intro:p013:p3,5,M. F. Atiyah reference,XI,13,pdf-physical,tex/volume_I/fr_corrected/front/010_intro.tex,illusie:I:intro:p013:n5,tex/volume_I/en/front/010_intro.tex,illusie:I:intro:p013:n5,1855B49FE461B13B1CBAEE1341C8FC3E3E0CDDC034C54ABEC1165AF061B90A56,complete,Explicit Mexico Symposium 1958 reference,lead_reviewed
illusie:I:intro:p014,illusie,cotangent-complex,I,introduction_page,illusie:I:intro,XII,Introduction page XII,XII,14,pdf-physical,tex/volume_I/fr_corrected/front/011_intro.tex,illusie:I:intro:p014,tex/volume_I/en/front/011_intro.tex,illusie:I:intro:p014,1855B49FE461B13B1CBAEE1341C8FC3E3E0CDDC034C54ABEC1165AF061B90A56,complete,Direct rendered authority at 1100 dpi-equivalent,lead_reviewed
illusie:I:intro:p014:p1,illusie,cotangent-complex,I,paragraph_continuation_fragment,illusie:I:intro:p013:p3,3-cont,Conclusion of Chapter VII overview,XII,14,pdf-physical,tex/volume_I/fr_corrected/front/011_intro.tex,illusie:I:intro:p014:p1,tex/volume_I/en/front/011_intro.tex,illusie:I:intro:p014:p1,1855B49FE461B13B1CBAEE1341C8FC3E3E0CDDC034C54ABEC1165AF061B90A56,complete,Physical carrier child; same stable paragraph begins at p.13,lead_reviewed
illusie:I:intro:p014:p2,illusie,cotangent-complex,I,paragraph,illusie:I:intro:p014,2,Overview of Chapter VIII,XII,14,pdf-physical,tex/volume_I/fr_corrected/front/011_intro.tex,illusie:I:intro:p014:p2,tex/volume_I/en/front/011_intro.tex,illusie:I:intro:p014:p2,1855B49FE461B13B1CBAEE1341C8FC3E3E0CDDC034C54ABEC1165AF061B90A56,complete,Direct rendered authority and source-aligned translation,lead_reviewed
illusie:I:intro:p014:p3,illusie,cotangent-complex,I,paragraph,illusie:I:intro:p014,3,Comptes Rendus summaries of Chapters I-V,XII,14,pdf-physical,tex/volume_I/fr_corrected/front/011_intro.tex,illusie:I:intro:p014:p3,tex/volume_I/en/front/011_intro.tex,illusie:I:intro:p014:p3,1855B49FE461B13B1CBAEE1341C8FC3E3E0CDDC034C54ABEC1165AF061B90A56,complete,Direct note calls 9 and double-star,lead_reviewed
illusie:I:intro:p014:n6,illusie,cotangent-complex,I,author_note,illusie:I:intro:p014:p1,6,Grothendieck letters reference,XII,14,pdf-physical,tex/volume_I/fr_corrected/front/011_intro.tex,illusie:I:intro:p014:n6,tex/volume_I/en/front/011_intro.tex,illusie:I:intro:p014:n6,1855B49FE461B13B1CBAEE1341C8FC3E3E0CDDC034C54ABEC1165AF061B90A56,complete,Letters to Giraud and Illusie with printed dates,lead_reviewed
illusie:I:intro:p014:n7,illusie,cotangent-complex,I,author_note,illusie:I:intro:p014:p1,7,Mazur and Roberts reference,XII,14,pdf-physical,tex/volume_I/fr_corrected/front/011_intro.tex,illusie:I:intro:p014:n7,tex/volume_I/en/front/011_intro.tex,illusie:I:intro:p014:n7,1855B49FE461B13B1CBAEE1341C8FC3E3E0CDDC034C54ABEC1165AF061B90A56,complete,Local Euler Characteristics citation,lead_reviewed
illusie:I:intro:p014:n8,illusie,cotangent-complex,I,author_note,illusie:I:intro:p014:p2,8,P. Berthelot reference,XII,14,pdf-physical,tex/volume_I/fr_corrected/front/011_intro.tex,illusie:I:intro:p014:n8,tex/volume_I/en/front/011_intro.tex,illusie:I:intro:p014:n8,1855B49FE461B13B1CBAEE1341C8FC3E3E0CDDC034C54ABEC1165AF061B90A56,complete,Forthcoming thesis reference,lead_reviewed
illusie:I:intro:p014:n9,illusie,cotangent-complex,I,author_note,illusie:I:intro:p014:p3,9,L. Illusie's four Comptes Rendus notes,XII,14,pdf-physical,tex/volume_I/fr_corrected/front/011_intro.tex,illusie:I:intro:p014:n9,tex/volume_I/en/front/011_intro.tex,illusie:I:intro:p014:n9,1855B49FE461B13B1CBAEE1341C8FC3E3E0CDDC034C54ABEC1165AF061B90A56,complete,Two titles and four page ranges,lead_reviewed
illusie:I:intro:p014:nss,illusie,cotangent-complex,I,consultation_note,illusie:I:intro:p014:p3,**,Orsay mimeographed summary note,XII,14,pdf-physical,tex/volume_I/fr_corrected/front/011_intro.tex,illusie:I:intro:p014:nss,tex/volume_I/en/front/011_intro.tex,illusie:I:intro:p014:nss,1855B49FE461B13B1CBAEE1341C8FC3E3E0CDDC034C54ABEC1165AF061B90A56,complete,Source-form-only consultation note,lead_reviewed
illusie:I:intro:p015,illusie,cotangent-complex,I,introduction_page,illusie:I:intro,XIII,Introduction page XIII,XIII,15,pdf-physical,tex/volume_I/fr_corrected/front/012_intro.tex,illusie:I:intro:p015,tex/volume_I/en/front/012_intro.tex,illusie:I:intro:p015,1855B49FE461B13B1CBAEE1341C8FC3E3E0CDDC034C54ABEC1165AF061B90A56,complete,Direct rendered authority at 1100 dpi-equivalent,lead_reviewed
illusie:I:intro:p015:p1,illusie,cotangent-complex,I,acknowledgement_paragraph,illusie:I:intro:p015,1,Acknowledgements to advisers and seminar participants,XIII,15,pdf-physical,tex/volume_I/fr_corrected/front/012_intro.tex,illusie:I:intro:p015:p1,tex/volume_I/en/front/012_intro.tex,illusie:I:intro:p015:p1,1855B49FE461B13B1CBAEE1341C8FC3E3E0CDDC034C54ABEC1165AF061B90A56,complete,Named persons and M. I. T. seminar directly visible,lead_reviewed
illusie:I:intro:p015:p2,illusie,cotangent-complex,I,acknowledgement_paragraph,illusie:I:intro:p015,2,Acknowledgements to the thesis committee,XIII,15,pdf-physical,tex/volume_I/fr_corrected/front/012_intro.tex,illusie:I:intro:p015:p2,tex/volume_I/en/front/012_intro.tex,illusie:I:intro:p015:p2,1855B49FE461B13B1CBAEE1341C8FC3E3E0CDDC034C54ABEC1165AF061B90A56,complete,"Cartan, Serre, and Demazure roles directly visible",lead_reviewed
illusie:I:intro:p015:p3,illusie,cotangent-complex,I,acknowledgement_paragraph,illusie:I:intro:p015,3,Acknowledgement to Madame Michon,XIII,15,pdf-physical,tex/volume_I/fr_corrected/front/012_intro.tex,illusie:I:intro:p015:p3,tex/volume_I/en/front/012_intro.tex,illusie:I:intro:p015:p3,1855B49FE461B13B1CBAEE1341C8FC3E3E0CDDC034C54ABEC1165AF061B90A56,complete,Manuscript-preparation acknowledgement directly visible,lead_reviewed
illusie:I:front:p016,illusie,cotangent-complex,I,blank_preliminary_page,illusie:I:volume,XIV,Blank preliminary page XIV,XIV,16,pdf-physical,tex/volume_I/fr_corrected/front/013_blank.tex,illusie:I:front:p016,tex/volume_I/en/front/013_blank.tex,illusie:I:front:p016,1855B49FE461B13B1CBAEE1341C8FC3E3E0CDDC034C54ABEC1165AF061B90A56,complete,Direct rendered authority at 1100 dpi-equivalent; carrier artifacts excluded,lead_reviewed
illusie:I:front:p017,illusie,cotangent-complex,I,preliminary_page,illusie:I:volume,XV,Preliminary page XV,XV,17,pdf-physical,tex/volume_I/fr_corrected/front/014_prelim.tex,illusie:I:front:p017,tex/volume_I/en/front/014_prelim.tex,illusie:I:front:p017,1855B49FE461B13B1CBAEE1341C8FC3E3E0CDDC034C54ABEC1165AF061B90A56,complete,Direct rendered authority at 1100 dpi-equivalent,lead_reviewed
illusie:I:prereq,illusie,cotangent-complex,I,front_unit,illusie:I:volume,*,Prerequisites,XV,17,pdf-physical,tex/volume_I/fr_corrected/front/014_prelim.tex,illusie:I:prereq,tex/volume_I/en/front/014_prelim.tex,illusie:I:prereq,1855B49FE461B13B1CBAEE1341C8FC3E3E0CDDC034C54ABEC1165AF061B90A56,complete,Heading and body directly verified,lead_reviewed
