id,parent,kind,no,fr,en,toc_physical,target_printed,target_physical,status
ILL-CCD:LNM239:CH3:S3,ILL-CCD:LNM239:CH3,section,3,"Calcul du complexe cotangent de quelques types de morphismes","Computation of the cotangent complex for several types of morphisms",8,203,221,toc_verified_body_pending
ILL-CCD:LNM239:CH3:S3:1,ILL-CCD:LNM239:CH3:S3,subsection,3.1,"Morphismes lisses, étales","Smooth and étale morphisms",8,203,221,toc_verified_body_pending
ILL-CCD:LNM239:CH3:S3:2,ILL-CCD:LNM239:CH3:S3,subsection,3.2,"Immersions régulières, morphismes localement d'intersection complète","Regular immersions, locally complete-intersection morphisms",8,205,223,toc_verified_body_pending
ILL-CCD:LNM239:CH3:S3:3,ILL-CCD:LNM239:CH3:S3,subsection,3.3,"Morphismes faiblement d'intersection complète","Weakly complete-intersection morphisms",8,210,228,toc_verified_body_pending
ILL-CCD:LNM239:CH3:S4,ILL-CCD:LNM239:CH3,appendix,4,"Appendice : cohomologie relative","Appendix: relative cohomology",8,214,232,toc_verified_body_pending
ILL-CCD:LNM239:CH4,ILL-CCD:LNM239:VOL,chapter,IV,"Déformations de Modules","Deformations of modules",9,225,243,toc_verified_body_pending
ILL-CCD:LNM239:CH4:S0,ILL-CCD:LNM239:CH4,introduction,,"Introduction","Introduction",9,225,243,toc_verified_body_pending
ILL-CCD:LNM239:CH4:S1,ILL-CCD:LNM239:CH4,section,1,"Catégories dérivées de Modules gradués","Derived categories of graded modules",9,226,244,toc_verified_body_pending
ILL-CCD:LNM239:CH4:S1:1,ILL-CCD:LNM239:CH4:S1,subsection,1.1,"Anneaux et Modules gradués","Graded rings and modules",9,226,244,toc_verified_body_pending
ILL-CCD:LNM239:CH4:S1:2,ILL-CCD:LNM239:CH4:S1,subsection,1.2,"Catégories dérivées","Derived categories",9,230,248,toc_verified_body_pending
ILL-CCD:LNM239:CH4:S1:3,ILL-CCD:LNM239:CH4:S1,subsection,1.3,"Résolutions standard","Standard resolutions",9,233,251,toc_verified_body_pending
ILL-CCD:LNM239:CH4:S2,ILL-CCD:LNM239:CH4,section,2,"Complexe cotangent d'une Algèbre graduée","Cotangent complex of a graded algebra",9,235,253,toc_verified_body_pending
ILL-CCD:LNM239:CH4:S2:1,ILL-CCD:LNM239:CH4:S2,subsection,2.1,"Modules de différentielles gradués","Modules of graded differentials",9,235,253,toc_verified_body_pending
ILL-CCD:LNM239:CH4:S2:2,ILL-CCD:LNM239:CH4:S2,subsection,2.2,"Définition du complexe cotangent gradué","Definition of the graded cotangent complex",9,236,254,toc_verified_body_pending
ILL-CCD:LNM239:CH4:S2:3,ILL-CCD:LNM239:CH4:S2,subsection,2.3,"Triangle de transitivité gradué et classe d'Atiyah","Graded transitivity triangle and Atiyah class",9,238,256,toc_verified_body_pending
ILL-CCD:LNM239:CH4:S2:4,ILL-CCD:LNM239:CH4:S2,subsection,2.4,"Complexe cotangent et extensions graduées","Cotangent complex and graded extensions",9,244,262,toc_verified_body_pending
ILL-CCD:LNM239:CH4:S3,ILL-CCD:LNM239:CH4,section,3,"Déformations de Modules et de morphismes de Modules","Deformations of modules and module morphisms",9,246,264,toc_verified_body_pending
ILL-CCD:LNM239:CH4:S3:1,ILL-CCD:LNM239:CH4:S3,subsection,3.1,"Déformations de Modules","Deformations of modules",9,246,264,toc_verified_body_pending
ILL-CCD:LNM239:CH4:S3:2,ILL-CCD:LNM239:CH4:S3,subsection,3.2,"Déformations de morphismes de Modules","Deformations of module morphisms",9,256,274,toc_verified_body_pending
ILL-CCD:LNM239:CH5,ILL-CCD:LNM239:VOL,chapter,V,"Classes de Chern des complexes parfaits","Chern classes of perfect complexes",9,263,281,toc_verified_body_pending
ILL-CCD:LNM239:CH5:S0,ILL-CCD:LNM239:CH5,introduction,0,"Introduction","Introduction",9,263,281,toc_verified_body_pending
ILL-CCD:LNM239:CH5:S1,ILL-CCD:LNM239:CH5,section,1,"Extensions filtrées (resp. graduées)","Filtered (resp. graded) extensions",9,268,286,toc_verified_body_pending
ILL-CCD:LNM239:CH5:S2,ILL-CCD:LNM239:CH5,section,2,"Les foncteurs L-tensoriel et RHom filtrés (resp. gradués)","The functors derived tensor product and RHom in filtered (resp. graded) settings",9,285,303,toc_verified_body_pending
ILL-CCD:LNM239:CH5:S2:1,ILL-CCD:LNM239:CH5:S2,subsection,2.1,"Le foncteur L-tensoriel filtré (resp. gradué)","The filtered (resp. graded) derived tensor-product functor",9,285,303,toc_verified_body_pending
ILL-CCD:LNM239:CH5:S2:2,ILL-CCD:LNM239:CH5:S2,subsection,2.2,"Le foncteur RHom filtré (resp. gradué)","The filtered (resp. graded) RHom functor",9,289,307,toc_verified_body_pending
ILL-CCD:LNM239:CH5:S2:3,ILL-CCD:LNM239:CH5:S2,subsection,2.3,"Formules d'adjonction chères à Cartan et composition des homomorphismes","Adjunction formulas dear to Cartan and composition of homomorphisms",9,294,312,toc_verified_body_pending
ILL-CCD:LNM239:CH5:S3,ILL-CCD:LNM239:CH5,section,3,"Complexes filtrés (resp. gradués) parfaits : traces et cup-produits","Perfect filtered (resp. graded) complexes: traces and cup products",9,304,322,toc_verified_body_pending
ILL-CCD:LNM239:CH5:S4,ILL-CCD:LNM239:CH5,section,4,"Les foncteurs S^n, Lambda^n, Gamma^n filtrés (resp. gradués)","The functors S^n, Lambda^n, Gamma^n in filtered (resp. graded) settings",9,316,334,toc_verified_body_pending
ILL-CCD:LNM239:CH5:S5,ILL-CCD:LNM239:CH5,section,5,"Construction de classes de Chern","Construction of Chern classes",9,326,344,toc_verified_body_pending
ILL-CCD:LNM239:CH5:S6,ILL-CCD:LNM239:CH5,section,6,"Construction de classes de cohomologie locale","Construction of local cohomology classes",9,338,356,toc_verified_body_pending
ILL-CCD:LNM239:BIB,ILL-CCD:LNM239:VOL,bibliography,,"Bibliographie","Bibliography",9,343,361,toc_verified_body_pending
ILL-CCD:LNM239:IDX:NOT,ILL-CCD:LNM239:VOL,index,,"Index des notations","Index of notation",9,346,364,toc_verified_body_pending
ILL-CCD:LNM239:IDX:TERM,ILL-CCD:LNM239:VOL,index,,"Index terminologique","Terminological index",9,351,369,toc_verified_body_pending
