edge_id,from_entity_id,to_entity_id_or_external_id,relation_type,direction,source_span_id,evidence,confidence,status,decision_id,verified_by,verified_at
ILL-REFE-20260804-0011,ILL-CCD:LNM239:INTRO:p012:p1,ILL-CCD:LNM239:BIB:25#5.1,cites_specific_result,unit_to_bibliography,ILL-SP-239-012-02,"Visible locator ([25] 5.1) for the result generalized by the transitivity triangle; entry pending bibliography.",high,pending_bibliography_verification,ILL-TX-20260804-0009,lead,2026-08-04T20:02:52Z
ILL-REFE-20260804-0012,ILL-CCD:LNM239:INTRO:p012:p2,ILL-CCD:LNM239:BIB:17,cites,unit_to_bibliography,ILL-SP-239-012-04,"Visible token [17] associated with Grothendieck's earlier complex; exact entry pending bibliography.",high,pending_bibliography_verification,ILL-TX-20260804-0009,lead,2026-08-04T20:02:52Z
ILL-REFE-20260804-0013,ILL-CCD:LNM239:INTRO:p012:p2,ILL-CCD:LNM239:BIB:16,cites,unit_to_bibliography,ILL-SP-239-012-04,"Visible token [16] following the Kodaira-Spencer invariant; exact entry pending bibliography.",high,pending_bibliography_verification,ILL-TX-20260804-0009,lead,2026-08-04T20:02:52Z
ILL-REFE-20260805-0014,ILL-CCD:LNM239:INTRO:p013:p1,external:sga6:xiv,cites_external_expose,unit_to_external,ILL-SP-239-013-02,Visible locator (SGA 6 XIV).,high,verified_direct,ILL-TX-20260804-0010,lead,2026-08-05T03:34:04Z
ILL-REFE-20260805-0015,ILL-CCD:LNM239:INTRO:p013:p2,ILL-CCD:LNM239:INTRO:p013:ns,calls_note,unit_to_note,ILL-SP-239-013-03,Visible star-note call after Chapitre VI.,high,verified_internal,ILL-TX-20260804-0010,lead,2026-08-05T03:34:04Z
ILL-REFE-20260805-0016,ILL-CCD:LNM239:INTRO:p013:p2,external:sga4:vi:deligne-saint-donat,cites_external_expose,unit_to_external,ILL-SP-239-013-03,Visible locator (SGA 4 VI) associated with Deligne-Saint-Donat.,high,verified_direct,ILL-TX-20260804-0010,lead,2026-08-05T03:34:04Z
ILL-REFE-20260805-0017,ILL-CCD:LNM239:INTRO:p013:p2,external:sga7:vii:3.5.4,cites_specific_external_result,unit_to_external,ILL-SP-239-013-03,Visible locator (SGA 7 VII 3.5.4).,high,verified_direct,ILL-TX-20260804-0010,lead,2026-08-05T03:34:04Z
ILL-REFE-20260805-0018,ILL-CCD:LNM239:INTRO:p013:p2,ILL-CCD:LNM239:INTRO:p013:n3,calls_note,unit_to_note,ILL-SP-239-013-03,Visible note call (3) after Mac-Lane.,high,verified_internal,ILL-TX-20260804-0010,lead,2026-08-05T03:34:04Z
ILL-REFE-20260805-0019,ILL-CCD:LNM239:INTRO:p013:p2,ILL-CCD:LNM239:INTRO:p013:n4,calls_note,unit_to_note,ILL-SP-239-013-03,Visible note call (4) after Ext^1(G_a G_a).,high,verified_internal,ILL-TX-20260804-0010,lead,2026-08-05T03:34:04Z
ILL-REFE-20260805-0020,ILL-CCD:LNM239:INTRO:p013:p3,ILL-CCD:LNM239:INTRO:p013:n5,calls_note,unit_to_note,ILL-SP-239-013-04,Visible note call (5) after Atiyah.,high,verified_internal,ILL-TX-20260804-0010,lead,2026-08-05T03:34:04Z
ILL-REFE-20260805-0021,ILL-CCD:LNM239:INTRO:p013:ns,ILL-CCD:LNM283:VOL,announces_future_volume,note_to_volume,ILL-SP-239-013-05,Historical note announces Chapters VI-VIII in the bounded second volume.,high,verified_intra_corpus,ILL-TX-20260804-0010,lead,2026-08-05T03:34:04Z
ILL-REFE-20260805-0022,ILL-CCD:LNM239:INTRO:p013:n3,external:mac-lane:homologie-anneaux-modules:1956,author_note_cites,unit_to_external,ILL-SP-239-013-06,Explicit author title venue year and page range in note 3.,high,verified_direct,ILL-TX-20260804-0010,lead,2026-08-05T03:34:04Z
ILL-REFE-20260805-0023,ILL-CCD:LNM239:INTRO:p013:n4,external:breen:work-in-preparation:1971,author_note_cites,unit_to_external,ILL-SP-239-013-07,Explicit author and work-in-preparation status in note 4.,high,verified_direct,ILL-TX-20260804-0010,lead,2026-08-05T03:34:04Z
ILL-REFE-20260805-0024,ILL-CCD:LNM239:INTRO:p013:n5,external:atiyah:analytic-connexions:1958,author_note_cites,unit_to_external,ILL-SP-239-013-08,Explicit author title venue and year in note 5.,high,verified_direct,ILL-TX-20260804-0010,lead,2026-08-05T03:34:04Z
ILL-REFE-20260805-0025,ILL-CCD:LNM239:INTRO:p014:p1,external:sga3:iii:demazure,cites_external_expose,unit_to_external,ILL-SP-239-014-02,Visible locator (SGA 3 III) associated with Demazure.,high,verified_direct,ILL-TX-20260804-0011,lead,2026-08-05T03:58:08Z
ILL-REFE-20260805-0026,ILL-CCD:LNM239:INTRO:p014:p1,ILL-CCD:LNM239:BIB:13,cites,unit_to_bibliography,ILL-SP-239-014-02,Visible token [13] associated with Giraud; exact entry pending bibliography.,high,pending_bibliography_verification,ILL-TX-20260804-0011,lead,2026-08-05T03:58:08Z
ILL-REFE-20260805-0027,ILL-CCD:LNM239:INTRO:p014:p1,ILL-CCD:LNM239:INTRO:p014:n6,calls_note,unit_to_note,ILL-SP-239-014-02,Visible note call (6) after Grothendieck.,high,verified_internal,ILL-TX-20260804-0011,lead,2026-08-05T03:58:08Z
ILL-REFE-20260805-0028,ILL-CCD:LNM239:INTRO:p014:p1,ILL-CCD:LNM239:INTRO:p014:n7,calls_note,unit_to_note,ILL-SP-239-014-02,Visible note call (7) after Mazur-Roberts.,high,verified_internal,ILL-TX-20260804-0011,lead,2026-08-05T03:58:08Z
ILL-REFE-20260805-0029,ILL-CCD:LNM239:INTRO:p014:p2,ILL-CCD:LNM239:INTRO:p014:n8,calls_note,unit_to_note,ILL-SP-239-014-03,Visible note call (8) after crystalline cohomology.,high,verified_internal,ILL-TX-20260804-0011,lead,2026-08-05T03:58:08Z
ILL-REFE-20260805-0030,ILL-CCD:LNM239:INTRO:p014:p3,ILL-CCD:LNM239:INTRO:p014:n9,calls_note,unit_to_note,ILL-SP-239-014-04,Visible note call (9) after Comptes-Rendus.,high,verified_internal,ILL-TX-20260804-0011,lead,2026-08-05T03:58:08Z
ILL-REFE-20260805-0031,ILL-CCD:LNM239:INTRO:p014:p3,ILL-CCD:LNM239:INTRO:p014:nss,calls_note,unit_to_note,ILL-SP-239-014-04,Visible double-star consultation-note call.,high,verified_internal,ILL-TX-20260804-0011,lead,2026-08-05T03:58:08Z
ILL-REFE-20260805-0032,ILL-CCD:LNM239:INTRO:p014:n6,external:grothendieck:letters-giraud-illusie:1969,author_note_cites,unit_to_external,ILL-SP-239-014-05,Explicit correspondents and dates in note 6.,high,verified_direct,ILL-TX-20260804-0011,lead,2026-08-05T03:58:08Z
ILL-REFE-20260805-0033,ILL-CCD:LNM239:INTRO:p014:n7,external:mazur-roberts:local-euler-characteristics:1970,author_note_cites,unit_to_external,ILL-SP-239-014-06,Explicit authors title journal volume pages and year in note 7.,high,verified_direct,ILL-TX-20260804-0011,lead,2026-08-05T03:58:08Z
ILL-REFE-20260805-0034,ILL-CCD:LNM239:INTRO:p014:n8,external:berthelot:cohomologie-cristalline-these:pending,author_note_cites,unit_to_external,ILL-SP-239-014-07,Explicit author title thesis type and forthcoming status in note 8.,high,verified_direct,ILL-TX-20260804-0011,lead,2026-08-05T03:58:08Z
ILL-REFE-20260805-0035,ILL-CCD:LNM239:INTRO:p014:n9,external:illusie:algebre-homotopique-relative:cras-268,author_note_cites,unit_to_external,ILL-SP-239-014-08,First explicit title and its two page ranges in note 9.,high,verified_direct,ILL-TX-20260804-0011,lead,2026-08-05T03:58:08Z
ILL-REFE-20260805-0036,ILL-CCD:LNM239:INTRO:p014:n9,external:illusie:complexe-cotangent-relatif-faisceau-algebres:cras-268,author_note_cites,unit_to_external,ILL-SP-239-014-08,Second explicit title and its two page ranges in note 9.,high,verified_direct,ILL-TX-20260804-0011,lead,2026-08-05T03:58:08Z
ILL-REFE-20260805-0037,ILL-CCD:LNM239:INTRO:p014:nss,external:orsay:mimeographed-summary,consultation_note_cites,note_to_external,ILL-SP-239-014-09,Source identifies only a mimeographed whole-work summary prepared at Orsay.,high,verified_direct_source_form_only,ILL-TX-20260804-0011,lead,2026-08-05T03:58:08Z
ILL-REFE-20260805-0038,ILL-CCD:LNM239:INTRO:p015:p1,illusie:person:grothendieck,acknowledges_advice_and_encouragement,unit_to_person,ILL-SP-239-015-02,Conjectures advice and encouragement are directly acknowledged.,high,verified_direct,ILL-TX-20260804-0012,lead,2026-08-05T04:13:36Z
ILL-REFE-20260805-0039,ILL-CCD:LNM239:INTRO:p015:p1,illusie:person:deligne,acknowledges_help_and_suggestions,unit_to_person,ILL-SP-239-015-02,Help conversations and illuminating suggestions are directly acknowledged.,high,verified_direct,ILL-TX-20260804-0012,lead,2026-08-05T04:13:36Z
ILL-REFE-20260805-0040,ILL-CCD:LNM239:INTRO:p015:p1,illusie:person:breen,acknowledges_useful_conversations,unit_to_person,ILL-SP-239-015-02,Useful conversations are directly acknowledged.,high,verified_direct,ILL-TX-20260804-0012,lead,2026-08-05T04:13:36Z
ILL-REFE-20260805-0041,ILL-CCD:LNM239:INTRO:p015:p1,illusie:person:quillen,acknowledges_useful_conversations,unit_to_person,ILL-SP-239-015-02,Useful conversations are directly acknowledged.,high,verified_direct,ILL-TX-20260804-0012,lead,2026-08-05T04:13:36Z
ILL-REFE-20260805-0042,ILL-CCD:LNM239:INTRO:p015:p1,illusie:person:verdier,acknowledges_useful_conversations,unit_to_person,ILL-SP-239-015-02,Useful conversations are directly acknowledged.,high,verified_direct,ILL-TX-20260804-0012,lead,2026-08-05T04:13:36Z
ILL-REFE-20260805-0043,ILL-CCD:LNM239:INTRO:p015:p1,external:institution:m-i-t,hosted_seminar_at,unit_to_institution,ILL-SP-239-015-02,The source prints M. I. T. as the seminar location.,high,verified_direct_source_form_only,ILL-TX-20260804-0012,lead,2026-08-05T04:13:36Z
ILL-REFE-20260805-0044,ILL-CCD:LNM239:INTRO:p015:p1,external:collective:m-i-t-seminar-participants:1970-71,acknowledges_seminar_participants,unit_to_collective,ILL-SP-239-015-02,The questions remarks and suggestions of the seminar participants are directly acknowledged.,high,verified_direct_source_form_only,ILL-TX-20260804-0012,lead,2026-08-05T04:13:36Z
ILL-REFE-20260805-0045,ILL-CCD:LNM239:INTRO:p015:p2,illusie:person:henri-cartan,acknowledges_research_guidance,unit_to_person,ILL-SP-239-015-03,Guidance in the author's first steps and progress is directly acknowledged.,high,verified_direct,ILL-TX-20260804-0012,lead,2026-08-05T04:13:36Z
ILL-REFE-20260805-0046,ILL-CCD:LNM239:INTRO:p015:p2,illusie:person:henri-cartan,acknowledges_jury_presidency,unit_to_person,ILL-SP-239-015-03,Cartan's presidency of the thesis Jury is directly acknowledged.,high,verified_direct,ILL-TX-20260804-0012,lead,2026-08-05T04:13:36Z
ILL-REFE-20260805-0047,ILL-CCD:LNM239:INTRO:p015:p2,illusie:person:jean-pierre-serre,acknowledges_second_subject_proposal,unit_to_person,ILL-SP-239-015-03,Serre's proposal of a second subject is directly acknowledged.,high,verified_direct,ILL-TX-20260804-0012,lead,2026-08-05T04:13:36Z
ILL-REFE-20260805-0048,ILL-CCD:LNM239:INTRO:p015:p2,illusie:person:demazure,acknowledges_jury_membership,unit_to_person,ILL-SP-239-015-03,Demazure's agreement to serve on the Jury is directly acknowledged.,high,verified_direct,ILL-TX-20260804-0012,lead,2026-08-05T04:13:36Z
ILL-REFE-20260805-0049,ILL-CCD:LNM239:INTRO:p015:p3,illusie:person:madame-michon,acknowledges_manuscript_preparation,unit_to_person,ILL-SP-239-015-04,Care in preparing the manuscript is directly acknowledged.,high,verified_direct,ILL-TX-20260804-0012,lead,2026-08-05T04:13:36Z
ILL-REFE-20260805-0050,ILL-CCD:LNM239:PREREQ:p1,external:sga4:part1,cites_external_work,unit_to_external,ILL-SP-239-017-03,The first part of SGA 4 is named as the general source for the language of topoi.,high,verified_direct,ILL-TX-20260804-0014,lead,2026-08-05T04:44:28Z
ILL-REFE-20260805-0051,ILL-CCD:LNM239:PREREQ:p1,external:sga4:iv,cites_external_expose,unit_to_external,ILL-SP-239-017-03,Exposé IV is singled out parenthetically.,high,verified_direct,ILL-TX-20260804-0014,lead,2026-08-05T04:44:28Z
ILL-REFE-20260805-0052,ILL-CCD:LNM239:PREREQ:p1,ILL-CCD:LNM239:BIB:27,cites,unit_to_bibliography,ILL-SP-239-017-03,"Visible token [27] associated with Verdier's derived-category formalism; exact entry pending bibliography.",high,pending_bibliography_verification,ILL-TX-20260804-0014,lead,2026-08-05T04:44:28Z
ILL-REFE-20260805-0053,ILL-CCD:LNM239:PREREQ:p1,external:sga4:xvii,cites_external_expose,unit_to_external,ILL-SP-239-017-03,SGA 4 Exposé XVII is associated with Verdier's derived-category formalism.,high,verified_direct,ILL-TX-20260804-0014,lead,2026-08-05T04:44:28Z
ILL-REFE-20260805-0054,ILL-CCD:LNM239:PREREQ:p1,ILL-CCD:LNM239:BIB:10,cites,unit_to_bibliography,ILL-SP-239-017-03,Visible token [10] for simplicial techniques; exact entry pending bibliography.,high,pending_bibliography_verification,ILL-TX-20260804-0014,lead,2026-08-05T04:44:28Z
ILL-REFE-20260805-0055,ILL-CCD:LNM239:PREREQ:p1,ILL-CCD:LNM239:BIB:11,cites,unit_to_bibliography,ILL-SP-239-017-03,Visible token [11] for simplicial techniques; exact entry pending bibliography.,high,pending_bibliography_verification,ILL-TX-20260804-0014,lead,2026-08-05T04:44:28Z
ILL-REFE-20260805-0056,ILL-CCD:LNM239:PREREQ:p1,ILL-CCD:LNM239:BIB:23,cites,unit_to_bibliography,ILL-SP-239-017-03,Visible token [23] for simplicial techniques; exact entry pending bibliography.,high,pending_bibliography_verification,ILL-TX-20260804-0014,lead,2026-08-05T04:44:28Z
ILL-REFE-20260805-0057,ILL-CCD:LNM239:PREREQ:p1,ILL-CCD:LNM239:BIB:1,cites,unit_to_bibliography,ILL-SP-239-017-03,Visible token [1] associated with André; exact entry pending bibliography.,high,pending_bibliography_verification,ILL-TX-20260804-0014,lead,2026-08-05T04:44:28Z
ILL-REFE-20260805-0058,ILL-CCD:LNM239:PREREQ:p1,ILL-CCD:LNM239:BIB:2,cites,unit_to_bibliography,ILL-SP-239-017-03,Visible token [2] associated with André; exact entry pending bibliography.,high,pending_bibliography_verification,ILL-TX-20260804-0014,lead,2026-08-05T04:44:28Z
ILL-REFE-20260805-0059,ILL-CCD:LNM239:PREREQ:p1,ILL-CCD:LNM239:BIB:17,cites,unit_to_bibliography,ILL-SP-239-017-03,Visible token [17] associated with Grothendieck; exact entry pending bibliography.,high,pending_bibliography_verification,ILL-TX-20260804-0014,lead,2026-08-05T04:44:28Z
ILL-REFE-20260805-0060,ILL-CCD:LNM239:PREREQ:p1,ILL-CCD:LNM239:BIB:24,cites,unit_to_bibliography,ILL-SP-239-017-03,Visible token [24] associated with Quillen; exact entry pending bibliography.,high,pending_bibliography_verification,ILL-TX-20260804-0014,lead,2026-08-05T04:44:28Z
ILL-REFE-20260805-0061,ILL-CCD:LNM239:PREREQ:p1,ILL-CCD:LNM239:BIB:25,cites,unit_to_bibliography,ILL-SP-239-017-03,Visible token [25] associated with Quillen; exact entry pending bibliography.,high,pending_bibliography_verification,ILL-TX-20260804-0014,lead,2026-08-05T04:44:28Z
ILL-REFE-20260805-0062,ILL-CCD:LNM239:CONV:p1,external:sga4:xvii:0.1,cites_specific_external_result,unit_to_external,ILL-SP-239-017-07,The source directly attributes the equality-sign convention to SGA 4 XVII 0.1.,high,verified_direct,ILL-TX-20260804-0014,lead,2026-08-05T04:44:28Z
ILL-REFE-20260805-0063,ILL-CCD:LNM239:CH1:S1:1,ILL-CCD:LNM239:BIB:10,cites,unit_to_bibliography,ILL-SP-239-019-04,Visible token [10] in the subsection heading; exact entry pending terminal bibliography.,high,pending_bibliography_verification,ILL-TX-20260804-0016,lead,2026-08-05T05:24:56Z
ILL-REFE-20260805-0064,ILL-CCD:LNM239:CH1:S1:1,ILL-CCD:LNM239:BIB:11,cites,unit_to_bibliography,ILL-SP-239-019-04,Visible token [11] in the subsection heading; exact entry pending terminal bibliography.,high,pending_bibliography_verification,ILL-TX-20260804-0016,lead,2026-08-05T05:24:56Z
ILL-REFE-20260805-0065,ILL-CCD:LNM239:CH1:S1:1,ILL-CCD:LNM239:BIB:23,cites,unit_to_bibliography,ILL-SP-239-019-04,Visible token [23] in the subsection heading; exact entry pending terminal bibliography.,high,pending_bibliography_verification,ILL-TX-20260804-0016,lead,2026-08-05T05:24:56Z
ILL-REFE-20260805-0066,ILL-CCD:LNM239:CH1:S1:1:p7,ILL-CCD:LNM239:BIB:10,cites_specific_bibliography_locator,unit_to_bibliography,ILL-SP-239-021-06,Visible locator ([10]1.7) in definition 1.1.5; exact entry pending terminal bibliography.,high,pending_bibliography_verification,ILL-TX-20260804-0018,lead,2026-08-05T08:04:11Z
ILL-REFE-20260805-0067,ILL-CCD:LNM239:CH1:S1:1:p15,ILL-CCD:LNM239:BIB:12,cites_specific_bibliography_locator,unit_to_bibliography,ILL-SP-239-023-04,Visible author-plus-locator Giraud [12] 1.16 for preservation by Simpl; exact entry pending terminal bibliography.,high,pending_bibliography_verification,ILL-TX-20260804-0020,lead,2026-08-05T12:00:00Z
