target_id,entity_id,target_kind,canonical_label,source_number,source_span_id,volume_id,parent_id,language_neutral_status,notes
ILL-RT-0024,ILL-CCD:LNM239:SUB:IC:MS:CORRECTIONS,publisher_statement,Corrections to the typescript should be made by sticking the amended text,,ILL-SP-239-002-16,ILL-CCD:LNM239:VOL,ILL-CCD:LNM239:SUB:IC:MS,verified,Stable pre-Stacks target; no official Stacks tag is asserted.
ILL-RT-0025,ILL-CCD:LNM239:SUB:IC:MS:COPIES,publisher_statement,Authors receive 75 free copies,,ILL-SP-239-002-17,ILL-CCD:LNM239:VOL,ILL-CCD:LNM239:SUB:IC:MS,verified,Stable pre-Stacks target; no official Stacks tag is asserted.
ILL-RT-0026,ILL-CCD:LNM239:SUB:IC:MS:DIMENSIONS,publisher_statement,18 x 26.5 cm (7 x 10½ inches),,ILL-SP-239-002-18,ILL-CCD:LNM239:VOL,ILL-CCD:LNM239:SUB:IC:MS,verified,Stable pre-Stacks target; no official Stacks tag is asserted.
ILL-RT-0027,ILL-CCD:LNM239:SUB:IC:MS:STATIONERY,publisher_statement,The publishers will be pleased to supply on request special stationery,,ILL-SP-239-002-19,ILL-CCD:LNM239:VOL,ILL-CCD:LNM239:SUB:IC:MS,verified,Stable pre-Stacks target; no official Stacks tag is asserted.
ILL-RT-0028,ILL-CCD:LNM239:SUB:IC:MS:SUBMISSION,publisher_statement,"Manuscripts in English, German or French should be sent to Prof. Dr. A. Dold or Prof. Dr. B. Eckmann",,ILL-SP-239-002-20,ILL-CCD:LNM239:VOL,ILL-CCD:LNM239:SUB:IC:MS,verified,Stable pre-Stacks target; no official Stacks tag is asserted.
ILL-RT-0029,ILL-CCD:LNM239:SUB:IC:CAT,publisher_catalogue,Lecture Notes in Physics,,ILL-SP-239-002-21,ILL-CCD:LNM239:VOL,ILL-CCD:LNM239:FM:IC,verified,Stable pre-Stacks target; no official Stacks tag is asserted.
ILL-RT-0030,ILL-CCD:LNM239:SUB:IC:CAT:HEAD,publisher_catalogue_heading,Bisher erschienen/Already published,,ILL-SP-239-002-22,ILL-CCD:LNM239:VOL,ILL-CCD:LNM239:SUB:IC:CAT,verified,Stable pre-Stacks target; no official Stacks tag is asserted.
ILL-RT-0031,ILL-CCD:LNM239:SUB:IC:CAT:V01,external_catalogue_entry,"J. C. Erdmann, Wärmeleitung in Kristallen, theoretische Grundlagen und fortgeschrittene experimentelle Methoden",Vol. 1,ILL-SP-239-002-23,ILL-CCD:LNM239:VOL,ILL-CCD:LNM239:SUB:IC:CAT,verified,Stable pre-Stacks target; no official Stacks tag is asserted.
ILL-RT-0032,ILL-CCD:LNM239:SUB:IC:CAT:V02,external_catalogue_entry,"K. Hepp, Théorie de la renormalisation",Vol. 2,ILL-SP-239-002-24,ILL-CCD:LNM239:VOL,ILL-CCD:LNM239:SUB:IC:CAT,verified,Stable pre-Stacks target; no official Stacks tag is asserted.
ILL-RT-0033,ILL-CCD:LNM239:SUB:IC:CAT:V03,external_catalogue_entry,"A. Martin, Scattering Theory: Unitarity, Analytic and Crossing",Vol. 3,ILL-SP-239-002-25,ILL-CCD:LNM239:VOL,ILL-CCD:LNM239:SUB:IC:CAT,verified,Stable pre-Stacks target; no official Stacks tag is asserted.
ILL-RT-0034,ILL-CCD:LNM239:SUB:IC:CAT:V04,external_catalogue_entry,"G. Ludwig, Deutung des Begriffs physikalische Theorie und axiomatische Grundlegung der Hilbertraumstruktur der Quantenmechanik durch Hauptsätze des Messens",Vol. 4,ILL-SP-239-002-26,ILL-CCD:LNM239:VOL,ILL-CCD:LNM239:SUB:IC:CAT,verified,Stable pre-Stacks target; no official Stacks tag is asserted.
ILL-RT-0035,ILL-CCD:LNM239:SUB:IC:CAT:V05,external_catalogue_entry,"M. Schaaf, The Reduction of the Product of Two Irreducible Unitary Representations of the Proper Orthochronous Quantummechanical Poincaré Group",Vol. 5,ILL-SP-239-002-27,ILL-CCD:LNM239:VOL,ILL-CCD:LNM239:SUB:IC:CAT,verified,Stable pre-Stacks target; no official Stacks tag is asserted.
ILL-RT-0036,ILL-CCD:LNM239:SUB:IC:CAT:V06,external_catalogue_entry,"Group Representations in Mathematics and Physics, edited by V. Bargmann",Vol. 6,ILL-SP-239-002-28,ILL-CCD:LNM239:VOL,ILL-CCD:LNM239:SUB:IC:CAT,verified,Stable pre-Stacks target; no official Stacks tag is asserted.
ILL-RT-0037,ILL-CCD:LNM239:SUB:IC:CAT:V07,external_catalogue_entry,"R. Balescu, J. L. Lebowitz, I. Prigogine, P. Résibois, Z. W. Salsburg, Lectures in Statistical Physics",Vol. 7,ILL-SP-239-002-29,ILL-CCD:LNM239:VOL,ILL-CCD:LNM239:SUB:IC:CAT,verified,Stable pre-Stacks target; no official Stacks tag is asserted.
ILL-RT-0038,ILL-CCD:LNM239:SUB:IC:CAT:V08,external_catalogue_entry,"Proceedings of the Second International Conference on Numerical Methods in Fluid Dynamics, edited by M. Holt",Vol. 8,ILL-SP-239-002-30,ILL-CCD:LNM239:VOL,ILL-CCD:LNM239:SUB:IC:CAT,verified,Stable pre-Stacks target; no official Stacks tag is asserted.
ILL-RT-0039,ILL-CCD:LNM239:FM:TP,title_page,Title page,I,ILL-SP-239-003-01,ILL-CCD:LNM239:VOL,ILL-CCD:LNM239:FM:FRONT,verified,Stable structural target for later conversion.
ILL-RT-0040,ILL-CCD:LNM239:FM:TP:SERIES,series_statement,Lecture Notes in Mathematics 239,239,ILL-SP-239-003-02,ILL-CCD:LNM239:VOL,ILL-CCD:LNM239:FM:TP,verified,Publisher metadata.
ILL-RT-0041,ILL-CCD:LNM239:FM:TP:AUTHOR,author_credit,Luc Illusie,Luc Illusie,ILL-SP-239-003-03,ILL-CCD:LNM239:VOL,ILL-CCD:LNM239:FM:TP,verified,Author metadata.
ILL-RT-0042,ILL-CCD:LNM239:FM:TP:AFFIL,affiliation,Centre National de la Recherche Scientifique,CNRS,ILL-SP-239-003-04,ILL-CCD:LNM239:VOL,ILL-CCD:LNM239:FM:TP,verified,Affiliation metadata.
ILL-RT-0043,ILL-CCD:LNM239:FM:TP:TITLE,work_title,Cotangent Complex and Deformations I,I,ILL-SP-239-003-05,ILL-CCD:LNM239:VOL,ILL-CCD:LNM239:FM:TP,verified,Language-neutral title target.
ILL-RT-0044,ILL-CCD:LNM239:FM:TP:IMPRINT,publisher_imprint,Springer-Verlag 1971,1971,ILL-SP-239-003-06,ILL-CCD:LNM239:VOL,ILL-CCD:LNM239:FM:TP,verified,Publisher metadata.
ILL-RT-0045,ILL-CCD:LNM239:FM:TP:DGM:p003:d01,publisher_device,Springer device,d01,ILL-SP-239-003-07,ILL-CCD:LNM239:VOL,ILL-CCD:LNM239:FM:TP,verified,Native TeX non-mathematical graphic.
ILL-RT-0046,ILL-CCD:LNM239:FM:TP:OVR,holding_copy_overlay,Non-authorial holding-copy overlays,copy-specific,ILL-SP-239-003-08,ILL-CCD:LNM239:VOL,ILL-CCD:LNM239:FM:TP,verified_source_only,Excluded from both edition readers.
ILL-RT-0047,ILL-CCD:LNM239:FM:CP,copyright_page,Copyright page,II,ILL-SP-239-004-01,ILL-CCD:LNM239:VOL,ILL-CCD:LNM239:FM:FRONT,verified,Stable structural target for later conversion.
ILL-RT-0048,ILL-CCD:LNM239:FM:CP:AMS,subject_classification,AMS Subject Classifications 1970,1970,ILL-SP-239-004-02,ILL-CCD:LNM239:VOL,ILL-CCD:LNM239:FM:CP,verified,Publisher metadata.
ILL-RT-0049,ILL-CCD:LNM239:FM:CP:ISBN,isbn_statement,ISBN statements,ISBN,ILL-SP-239-004-03,ILL-CCD:LNM239:VOL,ILL-CCD:LNM239:FM:CP,verified,Publisher metadata.
ILL-RT-0050,ILL-CCD:LNM239:FM:CP:LEGAL,copyright_notice,Copyright notice,§54,ILL-SP-239-004-04,ILL-CCD:LNM239:VOL,ILL-CCD:LNM239:FM:CP,verified,Publisher metadata.
ILL-RT-0051,ILL-CCD:LNM239:FM:CP:IMPRINT,publisher_imprint,Springer-Verlag 1971,1971,ILL-SP-239-004-05,ILL-CCD:LNM239:VOL,ILL-CCD:LNM239:FM:CP,verified,Publisher metadata.
ILL-RT-0052,ILL-CCD:LNM239:FM:CP:PRINTER,printer_credit,"Julius Beltz, Hemsbach/Bergstr.",Offsetdruck,ILL-SP-239-004-06,ILL-CCD:LNM239:VOL,ILL-CCD:LNM239:FM:CP,verified,Printer metadata.
ILL-RT-0053,ILL-CCD:LNM239:FM:CP:OVR,holding_copy_overlay,Non-authorial library material,copy-specific,ILL-SP-239-004-07,ILL-CCD:LNM239:VOL,ILL-CCD:LNM239:FM:CP,verified_source_only,Excluded from both edition readers.
ILL-RT-0054,ILL-CCD:LNM239:FM:DED,dedication_page,Dedication,III,ILL-SP-239-005-01,ILL-CCD:LNM239:VOL,ILL-CCD:LNM239:FM:FRONT,verified,Stable structural target for later conversion.
ILL-RT-0055,ILL-CCD:LNM239:FM:DED:TEXT,dedication,A MES PARENTS,A MES PARENTS,ILL-SP-239-005-02,ILL-CCD:LNM239:VOL,ILL-CCD:LNM239:FM:DED,verified,English occurrence is TO MY PARENTS.
ILL-RT-0056,ILL-CCD:LNM239:FM:IV,blank_preliminary_page,Blank preliminary page,IV,ILL-SP-239-006-01,ILL-CCD:LNM239:VOL,ILL-CCD:LNM239:FM:FRONT,verified,Intentional blank in both edition readers.
ILL-RT-0057,ILL-CCD:LNM239:FM:IV:IA,digitization_insert,Internet Archive digitization insert,2024,ILL-SP-239-006-02,ILL-CCD:LNM239:VOL,ILL-CCD:LNM239:FM:IV,verified_source_only,Repository workflow material excluded from both readers.
ILL-RT-0058,ILL-CCD:LNM239:FM:TOC,table_of_contents,Table of contents,V–VII,ILL-SP-239-007-01,ILL-CCD:LNM239:VOL,ILL-CCD:LNM239:FM:FRONT,verified,The complete stable outline is in outline.csv.
ILL-RT-0059,ILL-CCD:LNM239:FM:TOC:V,table_of_contents_page,Table of contents page V,V,ILL-SP-239-007-01,ILL-CCD:LNM239:VOL,ILL-CCD:LNM239:FM:TOC,verified,Introduction through Chapter I.
ILL-RT-0060,ILL-CCD:LNM239:FM:TOC:VI,table_of_contents_page,Table of contents page VI,VI,ILL-SP-239-008-01,ILL-CCD:LNM239:VOL,ILL-CCD:LNM239:FM:TOC,verified,Chapters II and III.
ILL-RT-0061,ILL-CCD:LNM239:FM:TOC:VII,table_of_contents_page,Table of contents page VII,VII,ILL-SP-239-009-01,ILL-CCD:LNM239:VOL,ILL-CCD:LNM239:FM:TOC,verified,Chapters IV and V bibliography and indexes.
ILL-RT-0062,ILL-CCD:LNM239:FM:VIII,blank_preliminary_page,Blank preliminary page,VIII,ILL-SP-239-010-01,ILL-CCD:LNM239:VOL,ILL-CCD:LNM239:FM:FRONT,verified,Intentional blank in both edition readers; verso bleed-through is not text.
ILL-RT-0063,ILL-CCD:LNM239:INTRO,introduction,Introduction,IX-XIII,ILL-SP-239-011-01,ILL-CCD:LNM239:VOL,ILL-CCD:LNM239:VOL,verified,Stable outline target; pp.11-15 directly verified and complete.
ILL-RT-0064,ILL-CCD:LNM239:INTRO:p011,introduction_page,Introduction page IX,IX,ILL-SP-239-011-01,ILL-CCD:LNM239:VOL,ILL-CCD:LNM239:INTRO,verified,First introduction page.
ILL-RT-0065,ILL-CCD:LNM239:INTRO:p011:p1,paragraph,Purpose and applications,1,ILL-SP-239-011-02,ILL-CCD:LNM239:VOL,ILL-CCD:LNM239:INTRO:p011,verified,Contains numbered citations and two author-note calls.
ILL-RT-0066,ILL-CCD:LNM239:INTRO:p011:p2,paragraph,Announcement of chapter overview,2,ILL-SP-239-011-03,ILL-CCD:LNM239:VOL,ILL-CCD:LNM239:INTRO:p011,verified,Transition paragraph.
ILL-RT-0067,ILL-CCD:LNM239:INTRO:p011:p3,paragraph,Overview of Chapter I,3,ILL-SP-239-011-04,ILL-CCD:LNM239:VOL,ILL-CCD:LNM239:INTRO:p011,verified,Contains notation and numbered citations.
ILL-RT-0068,ILL-CCD:LNM239:INTRO:p011:n1,author_note,A. Grothendieck reference,1,ILL-SP-239-011-05,ILL-CCD:LNM239:VOL,ILL-CCD:LNM239:INTRO:p011,verified,External work explicitly named.
ILL-RT-0069,ILL-CCD:LNM239:INTRO:p011:n2,author_note,W. Messing reference,2,ILL-SP-239-011-06,ILL-CCD:LNM239:VOL,ILL-CCD:LNM239:INTRO:p011,verified,External thesis explicitly named.
ILL-RT-0070,ILL-CCD:LNM239:INTRO:p012,introduction_page,Introduction page X,X,ILL-SP-239-012-01,ILL-CCD:LNM239:VOL,ILL-CCD:LNM239:INTRO,verified,Second introduction page.
ILL-RT-0071,ILL-CCD:LNM239:INTRO:p012:p1,paragraph,Overview of Chapter II,1,ILL-SP-239-012-02,ILL-CCD:LNM239:VOL,ILL-CCD:LNM239:INTRO:p012,verified,Contains the transitivity triangle and locator [25] 5.1.
ILL-RT-0072,ILL-CCD:LNM239:INTRO:p012:d1,diagram,Transitivity triangle,unnumbered,ILL-SP-239-012-03,ILL-CCD:LNM239:VOL,ILL-CCD:LNM239:INTRO:p012:p1,verified,Native-TeX diagram target.
ILL-RT-0073,ILL-CCD:LNM239:INTRO:p012:p2,paragraph,Overview of Chapter III,2,ILL-SP-239-012-04,ILL-CCD:LNM239:VOL,ILL-CCD:LNM239:INTRO:p012,verified,Contains hyper-Ext truncation obstruction theory and citations [17] and [16].
ILL-RT-0074,ILL-CCD:LNM239:INTRO:p012:p3,paragraph,Overview of Chapters IV and V,3,ILL-SP-239-012-05,ILL-CCD:LNM239:VOL,ILL-CCD:LNM239:INTRO:p012,verified,Spans physical pp.12-13; p.13 continuation carrier is a child target.
ILL-RT-0075,ILL-CCD:LNM239:INTRO:p013,introduction_page,Introduction page XI,XI,ILL-SP-239-013-01,ILL-CCD:LNM239:VOL,ILL-CCD:LNM239:INTRO,verified,Third introduction page.
ILL-RT-0076,ILL-CCD:LNM239:INTRO:p013:p1,paragraph_continuation_fragment,Conclusion of Chapters IV-V overview,3-cont,ILL-SP-239-013-02,ILL-CCD:LNM239:VOL,ILL-CCD:LNM239:INTRO:p012:p3,verified,Physical carrier child of the paragraph beginning on p.12.
ILL-RT-0077,ILL-CCD:LNM239:INTRO:p013:p2,paragraph,Overview of Chapter VI,2,ILL-SP-239-013-03,ILL-CCD:LNM239:VOL,ILL-CCD:LNM239:INTRO:p013,verified,Contains explicit SGA locators and note calls.
ILL-RT-0078,ILL-CCD:LNM239:INTRO:p013:p3,paragraph,Overview of Chapter VII,3,ILL-SP-239-013-04,ILL-CCD:LNM239:VOL,ILL-CCD:LNM239:INTRO:p013,verified,Spans physical pp.13-14; p.14 continuation carrier is a child target.
ILL-RT-0079,ILL-CCD:LNM239:INTRO:p013:ns,publication_note,Publication note for Chapters VI-VIII,*,ILL-SP-239-013-05,ILL-CCD:LNM239:VOL,ILL-CCD:LNM239:INTRO:p013:p2,verified,Historical announcement of the bounded second volume.
ILL-RT-0080,ILL-CCD:LNM239:INTRO:p013:n3,author_note,S. Mac-Lane reference,3,ILL-SP-239-013-06,ILL-CCD:LNM239:VOL,ILL-CCD:LNM239:INTRO:p013:p2,verified,Explicit external work note.
ILL-RT-0081,ILL-CCD:LNM239:INTRO:p013:n4,author_note,L. Breen reference,4,ILL-SP-239-013-07,ILL-CCD:LNM239:VOL,ILL-CCD:LNM239:INTRO:p013:p2,verified,Work in preparation; later identity not invented.
ILL-RT-0082,ILL-CCD:LNM239:INTRO:p013:n5,author_note,M. F. Atiyah reference,5,ILL-SP-239-013-08,ILL-CCD:LNM239:VOL,ILL-CCD:LNM239:INTRO:p013:p3,verified,Explicit external work note.
ILL-RT-0083,ILL-CCD:LNM239:INTRO:p014,introduction_page,Introduction page XII,XII,ILL-SP-239-014-01,ILL-CCD:LNM239:VOL,ILL-CCD:LNM239:INTRO,verified,Fourth introduction page.
ILL-RT-0084,ILL-CCD:LNM239:INTRO:p014:p1,paragraph_continuation_fragment,Conclusion of Chapter VII overview,3-cont,ILL-SP-239-014-02,ILL-CCD:LNM239:VOL,ILL-CCD:LNM239:INTRO:p013:p3,verified,Physical carrier child of the paragraph beginning on p.13.
ILL-RT-0085,ILL-CCD:LNM239:INTRO:p014:p2,paragraph,Overview of Chapter VIII,2,ILL-SP-239-014-03,ILL-CCD:LNM239:VOL,ILL-CCD:LNM239:INTRO:p014,verified,Formal groupoids and de Rham/crystalline relations.
ILL-RT-0086,ILL-CCD:LNM239:INTRO:p014:p3,paragraph,Comptes Rendus summaries of Chapters I-V,3,ILL-SP-239-014-04,ILL-CCD:LNM239:VOL,ILL-CCD:LNM239:INTRO:p014,verified,Calls note 9 and double-star note.
ILL-RT-0087,ILL-CCD:LNM239:INTRO:p014:n6,author_note,Grothendieck letters reference,6,ILL-SP-239-014-05,ILL-CCD:LNM239:VOL,ILL-CCD:LNM239:INTRO:p014:p1,verified,Explicit correspondence note.
ILL-RT-0088,ILL-CCD:LNM239:INTRO:p014:n7,author_note,Mazur and Roberts reference,7,ILL-SP-239-014-06,ILL-CCD:LNM239:VOL,ILL-CCD:LNM239:INTRO:p014:p1,verified,Explicit journal reference.
ILL-RT-0089,ILL-CCD:LNM239:INTRO:p014:n8,author_note,P. Berthelot reference,8,ILL-SP-239-014-07,ILL-CCD:LNM239:VOL,ILL-CCD:LNM239:INTRO:p014:p2,verified,Forthcoming thesis as printed.
ILL-RT-0090,ILL-CCD:LNM239:INTRO:p014:n9,author_note,L. Illusie's four Comptes Rendus notes,9,ILL-SP-239-014-08,ILL-CCD:LNM239:VOL,ILL-CCD:LNM239:INTRO:p014:p3,verified,Two explicit titles and four page ranges.
ILL-RT-0091,ILL-CCD:LNM239:INTRO:p014:nss,consultation_note,Orsay mimeographed summary note,**,ILL-SP-239-014-09,ILL-CCD:LNM239:VOL,ILL-CCD:LNM239:INTRO:p014:p3,verified,Source-form-only external summary reference.
ILL-RT-0092,ILL-CCD:LNM239:INTRO:p015,introduction_page,Introduction page XIII,XIII,ILL-SP-239-015-01,ILL-CCD:LNM239:VOL,ILL-CCD:LNM239:INTRO,verified,Fifth and terminal Introduction page.
ILL-RT-0093,ILL-CCD:LNM239:INTRO:p015:p1,acknowledgement_paragraph,Acknowledgements to advisers and seminar participants,1,ILL-SP-239-015-02,ILL-CCD:LNM239:VOL,ILL-CCD:LNM239:INTRO:p015,verified,Named-person and seminar acknowledgements.
ILL-RT-0094,ILL-CCD:LNM239:INTRO:p015:p2,acknowledgement_paragraph,Acknowledgements to the thesis committee,2,ILL-SP-239-015-03,ILL-CCD:LNM239:VOL,ILL-CCD:LNM239:INTRO:p015,verified,Thesis mentor and jury roles.
ILL-RT-0095,ILL-CCD:LNM239:INTRO:p015:p3,acknowledgement_paragraph,Acknowledgement to Madame Michon,3,ILL-SP-239-015-04,ILL-CCD:LNM239:VOL,ILL-CCD:LNM239:INTRO:p015,verified,Manuscript-preparation acknowledgement.
ILL-RT-0096,ILL-CCD:LNM239:FM:XIV,blank_preliminary_page,Blank preliminary page XIV,XIV,ILL-SP-239-016-01,ILL-CCD:LNM239:VOL,ILL-CCD:LNM239:VOL,verified,No printed text or numeral; carrier artifacts excluded.
ILL-RT-0097,ILL-CCD:LNM239:FM:XV,preliminary_page,Preliminary page XV,XV,ILL-SP-239-017-01,ILL-CCD:LNM239:VOL,ILL-CCD:LNM239:VOL,verified,"Prerequisites, guide, and conventions page."
ILL-RT-0098,ILL-CCD:LNM239:PREREQ,front_unit,Prerequisites,*,ILL-SP-239-017-02,ILL-CCD:LNM239:VOL,ILL-CCD:LNM239:VOL,verified,Stable front-matter unit.
ILL-RT-0099,ILL-CCD:LNM239:PREREQ:p1,prerequisite_paragraph,Mathematical prerequisites,1,ILL-SP-239-017-03,ILL-CCD:LNM239:VOL,ILL-CCD:LNM239:PREREQ,verified,All visible citation tokens have candidate and edge rows.
ILL-RT-0100,ILL-CCD:LNM239:PREREQ:GUIDE,guide_heading,Chapter guide,*,ILL-SP-239-017-04,ILL-CCD:LNM239:VOL,ILL-CCD:LNM239:PREREQ,verified,Source heading Leitfaden.
ILL-RT-0101,ILL-CCD:LNM239:PREREQ:GUIDE:d1,dependency_diagram,Chapter-dependency diagram,1,ILL-SP-239-017-05,ILL-CCD:LNM239:VOL,ILL-CCD:LNM239:PREREQ:GUIDE,verified,Native TikZ with source topology.
ILL-RT-0102,ILL-CCD:LNM239:CONV,front_unit,Standard conventions,*,ILL-SP-239-017-06,ILL-CCD:LNM239:VOL,ILL-CCD:LNM239:VOL,verified,Printed French heading retained.
ILL-RT-0103,ILL-CCD:LNM239:CONV:p1,convention_paragraph,Deligne equality-sign convention,1,ILL-SP-239-017-07,ILL-CCD:LNM239:VOL,ILL-CCD:LNM239:CONV,verified,Canonical functorial isomorphism convention.
ILL-RT-0104,ILL-CCD:LNM239:CONV:p2,convention_paragraph,Ambient-universe convention,2,ILL-SP-239-017-08,ILL-CCD:LNM239:VOL,ILL-CCD:LNM239:CONV,verified,Natural numbers object in the fixed universe.
