subject_id,target_id,volume,preferred_label,fr_label,en_label,scope,review_status
illusie:subject:chapter-dependency-guide,ILL-CCD:LNM239:PREREQ:GUIDE:d1,I,chapter dependency guide,diagramme de dépendance des chapitres,chapter dependency guide,Front matter,lead_reviewed
illusie:subject:deligne-equality-convention,ILL-CCD:LNM239:CONV:p1,I,Deligne equality-sign convention,convention de Deligne pour le signe égal,Deligne equality-sign convention,Standard conventions,lead_reviewed
illusie:subject:universe-smallness-convention,ILL-CCD:LNM239:CONV:p2,I,universe and smallness convention,convention d'univers et de petitesse,universe and smallness convention,Standard conventions,lead_reviewed
illusie:subject:scheme-terminology,ILL-CCD:LNM239:CONV:p3,I,scheme terminology,terminologie schéma et préschéma,scheme terminology,Standard conventions,lead_reviewed
illusie:subject:relative-homotopical-algebra,ILL-CCD:LNM239:CH1,I,relative homotopical algebra,algèbre homotopique relative,relative homotopical algebra,Chapter I,lead_reviewed
illusie:subject:simplicial-category,ILL-CCD:LNM239:CH1:S1:1:p1,I,simplicial indexing category,catégorie simpliciale,simplicial indexing category,Chapter I section 1.1,lead_reviewed
illusie:subject:coface-codegeneracy-maps,ILL-CCD:LNM239:CH1:S1:1:p1,I,coface and codegeneracy maps,applications de coface et de codégénérescence,coface and codegeneracy maps,Chapter I section 1.1,lead_reviewed_7000dpi
illusie:subject:simplicial-objects,ILL-CCD:LNM239:CH1:S1:1:p2,I,simplicial objects,objets simpliciaux,simplicial objects,Chapter I section 1.1,lead_reviewed
illusie:subject:cosimplicial-objects,ILL-CCD:LNM239:CH1:S1:1:p2,I,cosimplicial objects,objets cosimpliciaux,cosimplicial objects,Chapter I section 1.1,lead_reviewed
illusie:subject:multisimplicial-objects,ILL-CCD:LNM239:CH1:S1:1:p2,I,multisimplicial and mixed simplicial objects,objets multisimpliciaux et simpliciaux mixtes,multisimplicial and mixed simplicial objects,Chapter I section 1.1,lead_reviewed
illusie:subject:mixed-simplicial-types,ILL-CCD:LNM239:CH1:S1:1:p2c1,I,mixed simplicial variance types,types de variance simpliciale mixte,mixed simplicial variance types,Chapter I section 1.1,lead_reviewed
illusie:subject:diagonal-simplicial-object,ILL-CCD:LNM239:CH1:S1:1:p2c1,I,diagonal simplicial and cosimplicial objects,objets diagonaux simpliciaux et cosimpliciaux,diagonal simplicial and cosimplicial objects,Chapter I section 1.1,lead_reviewed
illusie:subject:constant-simplicial-object,ILL-CCD:LNM239:CH1:S1:1:p3,I,constant simplicial objects,objets simpliciaux constants,constant simplicial objects,Chapter I section 1.1,lead_reviewed
illusie:subject:constant-object-adjunction,ILL-CCD:LNM239:CH1:S1:1:eq2,I,constant-object adjunction,adjonction de l'objet constant,constant-object adjunction,Chapter I section 1.1,lead_reviewed_5000dpi
illusie:subject:equalizer-restriction-maps,ILL-CCD:LNM239:CH1:S1:1:eq3,I,equalizer of restriction maps,égalisateur des flèches de restriction,equalizer of restriction maps,Chapter I section 1.1,lead_reviewed_5000dpi
illusie:subject:augmented-simplicial-objects,ILL-CCD:LNM239:CH1:S1:1:p5,I,augmented simplicial objects,objets simpliciaux augmentés,augmented simplicial objects,Chapter I section 1.1,lead_reviewed_open
illusie:subject:pi0-coequalizer,ILL-CCD:LNM239:CH1:S1:1:p6,I,pi_0 and representable coequalizers,pi_0 et conoyaux représentables,pi_0 and representable coequalizers,Chapter I section 1.1,lead_reviewed_5000dpi
illusie:subject:pi0-adjunction,ILL-CCD:LNM239:CH1:S1:1:d4,I,adjunction triple for constant simplicial objects,suite d'adjonctions pour les objets simpliciaux constants,adjunction triple for constant simplicial objects,Chapter I section 1.1,lead_reviewed_5000dpi
illusie:subject:simplicial-homotopies,ILL-CCD:LNM239:CH1:S1:1:p7,I,simplicial homotopies,homotopies simpliciales,simplicial homotopies,Chapter I section 1.1,lead_reviewed_5000dpi
illusie:subject:homotopy-naturality,ILL-CCD:LNM239:CH1:S1:1:d6,I,naturality of homotopy components,naturalité des composantes d'une homotopie,naturality of homotopy components,Chapter I section 1.1,lead_reviewed_5000dpi
illusie:subject:homotopy-precomposition,ILL-CCD:LNM239:CH1:S1:1:p9,I,precomposition of homotopies,précomposition des homotopies,precomposition of homotopies,Chapter I section 1.1,lead_reviewed_completed_p022
illusie:subject:homotopy-congruence,ILL-CCD:LNM239:CH1:S1:1:p9c1,I,homotopy as a congruence,homotopie comme congruence,homotopy as a congruence,Chapter I section 1.1,lead_reviewed_5000dpi
illusie:subject:simplicial-homotopy-category,ILL-CCD:LNM239:CH1:S1:1:eq5,I,simplicial homotopy category,catégorie homotopique simpliciale,simplicial homotopy category,Chapter I section 1.1,lead_reviewed_5000dpi
illusie:subject:homotopy-equivalences,ILL-CCD:LNM239:CH1:S1:1:p11,I,homotopy equivalences,équivalences d'homotopie,homotopy equivalences,Chapter I section 1.1,lead_reviewed_5000dpi
illusie:subject:homotopy-category-functoriality,ILL-CCD:LNM239:CH1:S1:1:p11,I,functoriality of homotopy categories,fonctorialité des catégories homotopiques,functoriality of homotopy categories,Chapter I section 1.1,lead_reviewed_5000dpi
illusie:subject:cosimplicial-homotopies,ILL-CCD:LNM239:CH1:S1:1:p12,I,cosimplicial homotopies,homotopies cosimpliciales,cosimplicial homotopies,Chapter I section 1.1,lead_reviewed_5000dpi
illusie:subject:relative-homotopies,ILL-CCD:LNM239:CH1:S1:1:p13,I,relative homotopies,homotopies relatives,relative homotopies,Chapter I section 1.1,lead_reviewed_5000dpi
illusie:subject:relative-homotopy-stability,ILL-CCD:LNM239:CH1:S1:1:p14c1,I,stability of relative homotopies,stabilité des homotopies relatives,stability of relative homotopies,Chapter I section 1.1,lead_reviewed_5000dpi
illusie:subject:fibrewise-simplicial-homotopy,ILL-CCD:LNM239:CH1:S1:1:eq6,I,fibrewise simplicial homotopy categories,catégories homotopiques simpliciales fibrales,fibrewise simplicial homotopy categories,Chapter I section 1.1,lead_reviewed_5000dpi
illusie:subject:fibrance-under-Simpl,ILL-CCD:LNM239:CH1:S1:1:p15,I,preservation of fibrance and cofibrance by Simpl,préservation de la fibrance et cofibrance par Simpl,preservation of fibredness and cofibredness by Simpl,Chapter I section 1.1,lead_reviewed_5000dpi
illusie:subject:adjoint-relative-homotopies,ILL-CCD:LNM239:CH1:S1:1:p16,I,adjoint descriptions of relative homotopies,descriptions adjointes des homotopies relatives,adjoint descriptions of relative homotopies,Chapter I section 1.1,lead_reviewed_5000dpi
illusie:subject:base-change-homotopies,ILL-CCD:LNM239:CH1:S1:1:p17,I,base change of homotopies,changement de base des homotopies,base change of homotopies,Chapter I section 1.1,lead_reviewed_5000dpi
illusie:subject:homotopy-category-base-change,ILL-CCD:LNM239:CH1:S1:1:eq7,I,base-change functors on homotopy categories,foncteurs de changement de base sur les catégories d'homotopie,base-change functors on homotopy categories,Chapter I section 1.1,lead_reviewed_5000dpi
illusie:subject:total-fibred-homotopy-category,ILL-CCD:LNM239:CH1:S1:1:p18,I,total fibred homotopy category,catégorie homotopique fibrée totale,total fibred homotopy category,Chapter I section 1.1,lead_reviewed_5000dpi
illusie:subject:B-functoriality,ILL-CCD:LNM239:CH1:S1:1:p19,I,functoriality under B-functors,fonctorialité par les B-foncteurs,functoriality under B-functors,Chapter I section 1.1,lead_reviewed_open_p024
