bib_id,target_id,volume,visible_key,author,title,publication,printed_page,pdf_page,relation,review_status
ILL-BIB-239-0003,external:sga6:xiv,I,(SGA 6 XIV),,Séminaire de Géométrie Algébrique 6 — Exposé XIV,source locator only,XI,13,explicit_cross_work_locator,lead_reviewed_source_locator_only
ILL-BIB-239-0004,external:sga4:vi:deligne-saint-donat,I,(SGA 4 VI),P. Deligne; B. Saint-Donat,Séminaire de Géométrie Algébrique 4 — Exposé VI,source locator only,XI,13,explicit_cross_work_locator,lead_reviewed_source_locator_only
ILL-BIB-239-0005,external:sga7:vii:3.5.4,I,(SGA 7 VII 3.5.4),,Séminaire de Géométrie Algébrique 7 — Exposé VII §3.5.4,source locator only,XI,13,explicit_cross_work_result_locator,lead_reviewed_source_locator_only
ILL-BIB-239-0006,external:mac-lane:homologie-anneaux-modules:1956,I,(3),S. Mac-Lane,Homologie des anneaux et des modules,"Colloque de Topologie algébrique, Louvain, 1956, p. 55-80",XI,13,author_note_reference,lead_reviewed
ILL-BIB-239-0007,external:breen:work-in-preparation:1971,I,(4),L. Breen,travail en préparation,work in preparation,XI,13,author_note_reference,lead_reviewed_source_form_only
ILL-BIB-239-0008,external:atiyah:analytic-connexions:1958,I,(5),M. F. Atiyah,Analytic connexions on fibre bundles,"Mexico Symposium, 1958",XI,13,author_note_reference,lead_reviewed
ILL-BIB-239-0009,external:sga3:iii:demazure,I,(SGA 3 III),Demazure,Séminaire de Géométrie Algébrique 3 — Exposé III,source locator only,XII,14,explicit_cross_work_locator,lead_reviewed_source_locator_only
ILL-BIB-239-0010,external:grothendieck:letters-giraud-illusie:1969,I,(6),A. Grothendieck,letters to J. Giraud and L. Illusie,"13.6.69; 2.12.69",XII,14,author_note_correspondence,lead_reviewed_source_form_only
ILL-BIB-239-0011,external:mazur-roberts:local-euler-characteristics:1970,I,(7),B. Mazur; L. Roberts,Local Euler Characteristics,"Inventiones math. 9, 201-234 (1970)",XII,14,author_note_reference,lead_reviewed
ILL-BIB-239-0012,external:berthelot:cohomologie-cristalline-these:pending,I,(8),P. Berthelot,Cohomologie cristalline des schémas,"Thèse, à paraître",XII,14,author_note_reference,lead_reviewed_source_form_only
ILL-BIB-239-0013,external:illusie:algebre-homotopique-relative:cras-268,I,(9a),L. Illusie,Algèbre homotopique relative,"C. R. Acad. Sc. Paris, t. 268, p. 11-14 et 206-209",XII,14,author_note_reference,lead_reviewed
ILL-BIB-239-0014,external:illusie:complexe-cotangent-relatif-faisceau-algebres:cras-268,I,(9b),L. Illusie,Complexe cotangent relatif d'un faisceau d'algèbres,"C. R. Acad. Sc. Paris, t. 268, p. 278-281 et 323-326",XII,14,author_note_reference,lead_reviewed
ILL-BIB-239-0015,external:orsay:mimeographed-summary,I,(**),Faculty of Sciences at Orsay,mimeographed summary of the whole work,source description only,XII,14,consultation_note_reference,lead_reviewed_source_form_only
