term_id,target_id,volume,language,source_form,normalized_lookup,english_equivalent,printed_page,pdf_page,review_status
illusie:term:eilenberg-mac-lane-spectrum,ILL-CCD:LNM239:INTRO:p013:p2,I,fr,spectres d'Eilenberg-Mac-Lane,spectre d'Eilenberg-Mac-Lane,Eilenberg-Mac-Lane spectra,XI,13,lead_reviewed
illusie:term:flat-group-scheme-torsor,ILL-CCD:LNM239:INTRO:p013:p3,I,fr,torseurs sous un schéma en groupes plat,torseur sous un schéma en groupes plat,torsors under a flat group scheme,XI-XII,13-14,lead_reviewed
illusie:term:noncommutative-flat-group-scheme,ILL-CCD:LNM239:INTRO:p013:p3,I,fr,schémas en groupes plats non commutatifs,schéma en groupes plat non commutatif,noncommutative flat group schemes,XI-XII,13-14,lead_reviewed
illusie:term:operator-ring-scheme,ILL-CCD:LNM239:INTRO:p013:p3,I,fr,schéma en anneaux d'opérateurs,schéma en anneaux d'opérateurs,scheme of operator rings,XI-XII,13-14,lead_reviewed
illusie:term:fundamental-class,ILL-CCD:LNM239:INTRO:p013:p3,I,fr,classes fondamentales,classe fondamentale,fundamental classes,XI-XII,13-14,lead_reviewed
illusie:term:diagram-deformation,ILL-CCD:LNM239:INTRO:p014:p1,I,fr,déformer un diagramme convenable,déformation d'un diagramme,deforming a suitable diagram,XII,14,lead_reviewed
illusie:term:simplicial-scheme,ILL-CCD:LNM239:INTRO:p014:p1,I,fr,schéma simplicial,schéma simplicial,simplicial scheme,XII,14,lead_reviewed
illusie:term:diagram-ringed-topos,ILL-CCD:LNM239:INTRO:p014:p1,I,fr,topos annelé de ce diagramme,topos annelé d'un diagramme,ringed topos of a diagram,XII,14,lead_reviewed
illusie:term:lie-algebra,ILL-CCD:LNM239:INTRO:p014:p1,I,fr,Algèbre de Lie,algèbre de lie,Lie algebra,XII,14,lead_reviewed
illusie:term:lie-complex,ILL-CCD:LNM239:INTRO:p014:p1,I,fr,complexe de Lie,complexe de lie,Lie complex,XII,14,lead_reviewed
illusie:term:formal-groupoid,ILL-CCD:LNM239:INTRO:p014:p2,I,fr,groupoïdes formels,groupoïde formel,formal groupoids,XII,14,lead_reviewed
illusie:term:local-complete-intersection,ILL-CCD:LNM239:INTRO:p014:p2,I,fr,intersections complètes locales,intersection complète locale,local complete intersections,XII,14,lead_reviewed
illusie:term:de-rham-complex,ILL-CCD:LNM239:INTRO:p014:p2,I,fr,complexe de de Rham,complexe de de rham,de Rham complex,XII,14,lead_reviewed
illusie:term:crystalline-cohomology,ILL-CCD:LNM239:INTRO:p014:p2,I,fr,cohomologie cristalline,cohomologie cristalline,crystalline cohomology,XII,14,lead_reviewed
illusie:term:acknowledgements,ILL-CCD:LNM239:INTRO:p015:p1,I,fr,reconnaissance et remerciements,reconnaissance remerciements,gratitude and thanks,XIII,15,lead_reviewed
illusie:term:seminar-participants,ILL-CCD:LNM239:INTRO:p015:p1,I,fr,auditeurs d'un séminaire,auditeurs seminaire,seminar participants,XIII,15,lead_reviewed
illusie:term:thesis-jury,ILL-CCD:LNM239:INTRO:p015:p2,I,fr,Jury,jury,thesis committee,XIII,15,lead_reviewed
illusie:term:second-subject,ILL-CCD:LNM239:INTRO:p015:p2,I,fr,second sujet,second sujet,second subject,XIII,15,lead_reviewed
illusie:term:manuscript-preparation,ILL-CCD:LNM239:INTRO:p015:p3,I,fr,préparation du manuscrit,preparation du manuscrit,preparation of the manuscript,XIII,15,lead_reviewed
illusie:term:language-of-topoi,ILL-CCD:LNM239:PREREQ:p1,I,fr,langage des topos,langage des topos,language of topoi,XV,17,lead_reviewed
illusie:term:derived-category-formalism,ILL-CCD:LNM239:PREREQ:p1,I,fr,formalisme des catégories dérivées,formalisme categories derivees,formalism of derived categories,XV,17,lead_reviewed
illusie:term:simplicial-techniques,ILL-CCD:LNM239:PREREQ:p1,I,fr,techniques simpliciales,techniques simpliciales,simplicial techniques,XV,17,lead_reviewed
illusie:term:ambient-universe,ILL-CCD:LNM239:CONV:p2,I,fr,univers ambiant,univers ambiant,ambient universe,XV,17,lead_reviewed
illusie:term:smallness,ILL-CCD:LNM239:CONV:p2,I,fr,petitesse,petitesse,smallness,XV,17,lead_reviewed
illusie:term:canonical-functorial-isomorphism,ILL-CCD:LNM239:CONV:p1,I,fr,isomorphisme fonctoriel canonique,isomorphisme fonctoriel canonique,canonical functorial isomorphism,XV,17,lead_reviewed
illusie:term:scheme-prescheme,ILL-CCD:LNM239:CONV:p3,I,fr,schéma et préschéma,schema preschema,scheme and prescheme,XV,17,lead_reviewed
illusie:term:relative-homotopical-algebra,ILL-CCD:LNM239:CH1,I,fr,algèbre homotopique relative,algebre homotopique relative,relative homotopical algebra,1,19,lead_reviewed
illusie:term:simplicial-object,ILL-CCD:LNM239:CH1:S1:1:p2,I,fr,objet simplicial,objet simplicial,simplicial object,1,19,lead_reviewed
illusie:term:homotopy,ILL-CCD:LNM239:CH1:S1:1,I,fr,homotopies,homotopies,homotopies,1,19,lead_reviewed_heading
illusie:term:face-map,ILL-CCD:LNM239:CH1:S1:1:p2,I,fr,flèche de face,fleche de face,face map,1,19,lead_reviewed
illusie:term:degeneracy-map,ILL-CCD:LNM239:CH1:S1:1:p2,I,fr,flèche de dégénérescence,fleche de degenerescence,degeneracy map,1,19,lead_reviewed
illusie:term:cosimplicial-object,ILL-CCD:LNM239:CH1:S1:1:p2,I,fr,objet cosimplicial,objet cosimplicial,cosimplicial object,1,19,lead_reviewed
illusie:term:p-simplicial-object,ILL-CCD:LNM239:CH1:S1:1:p2,I,fr,objet p-simplicial,objet p simplicial,p-simplicial object,1,19,lead_reviewed
illusie:term:mixed-simplicial-object,ILL-CCD:LNM239:CH1:S1:1:p2,I,fr,objet simplicial mixte,objet simplicial mixte,mixed simplicial object,1-2,19-20,lead_reviewed
illusie:term:diagonal-subobject,ILL-CCD:LNM239:CH1:S1:1:p2c1,I,fr,sous-objet diagonal,sous objet diagonal,diagonal subobject,2,20,lead_reviewed
illusie:term:constant-functor,ILL-CCD:LNM239:CH1:S1:1:p3,I,fr,foncteur constant,foncteur constant,constant functor,2,20,lead_reviewed
illusie:term:trivial-simplicial-object,ILL-CCD:LNM239:CH1:S1:1:p3,I,fr,objet simplicial trivial,objet simplicial trivial,trivial simplicial object,2,20,lead_reviewed
illusie:term:constant-simplicial-object,ILL-CCD:LNM239:CH1:S1:1:p3,I,fr,objet constant,objet constant,constant object,2,20,lead_reviewed
illusie:term:fully-faithful,ILL-CCD:LNM239:CH1:S1:1:p3,I,fr,pleinement fidèle,pleinement fidele,fully faithful,2,20,lead_reviewed
illusie:term:essential-image,ILL-CCD:LNM239:CH1:S1:1:p3,I,fr,image essentielle,image essentielle,essential image,2,20,lead_reviewed
illusie:term:augmentation,ILL-CCD:LNM239:CH1:S1:1:p5,I,fr,augmentation,augmentation,augmentation,2,20,lead_reviewed
illusie:term:augmented-simplicial-object,ILL-CCD:LNM239:CH1:S1:1:p5,I,fr,objet simplicial augmenté,objet simplicial augmente,augmented simplicial object,2,20,lead_reviewed
illusie:term:slice-category,ILL-CCD:LNM239:CH1:S1:1:p5,I,fr,catégorie C/X,categorie C X,slice category C/X,2,20,lead_reviewed_open
illusie:term:presheaf,ILL-CCD:LNM239:CH1:S1:1:p5,I,fr,préfaisceau,prefaisceau,presheaf,2,20,lead_reviewed_open
illusie:term:coequalizer,ILL-CCD:LNM239:CH1:S1:1:p6,I,fr,conoyau,conoyau,coequalizer,3,21,lead_reviewed_5000dpi
illusie:term:representable-coequalizer,ILL-CCD:LNM239:CH1:S1:1:p6,I,fr,conoyau représentable,conoyau representable,representable coequalizer,3,21,lead_reviewed_5000dpi
illusie:term:adjoint-triple,ILL-CCD:LNM239:CH1:S1:1:d4,I,fr,suite de foncteurs adjoints,suite de foncteurs adjoints,sequence of adjoint functors,3,21,lead_reviewed_5000dpi
illusie:term:homotopy-definition,ILL-CCD:LNM239:CH1:S1:1:p7,I,fr,homotopie entre,homotopie entre,homotopy between,3,21,lead_reviewed_5000dpi
illusie:term:commutative-triangle,ILL-CCD:LNM239:CH1:S1:1:d5,I,fr,triangle commutatif,triangle commutatif,commutative triangle,3,21,lead_reviewed_5000dpi
illusie:term:commutative-square,ILL-CCD:LNM239:CH1:S1:1:d6,I,fr,carré commutatif,carre commutatif,commutative square,3,21,lead_reviewed_5000dpi
illusie:term:homotopic,ILL-CCD:LNM239:CH1:S1:1:p9c1,I,fr,homotopes,homotopes,homotopic,4,22,lead_reviewed_5000dpi
illusie:term:homotopy-class,ILL-CCD:LNM239:CH1:S1:1:p10,I,fr,classe d'homotopie,classe homotopie,homotopy class,4,22,lead_reviewed
illusie:term:simplicial-homotopy-category,ILL-CCD:LNM239:CH1:S1:1:eq5,I,fr,catégorie des objets simpliciaux à homotopie près,categorie objets simpliciaux homotopie pres,category of simplicial objects up to homotopy,4,22,lead_reviewed_5000dpi
illusie:term:homotopy-equivalence,ILL-CCD:LNM239:CH1:S1:1:p11,I,fr,équivalence d'homotopie,equivalence homotopie,homotopy equivalence,4,22,lead_reviewed_5000dpi
illusie:term:homotopism,ILL-CCD:LNM239:CH1:S1:1:p11,I,fr,homotopisme,homotopisme,homotopism,4,22,lead_reviewed_5000dpi
illusie:term:induced-homotopy-functor,ILL-CCD:LNM239:CH1:S1:1:p11,I,fr,foncteur de Hotsimpl(C) dans Hotsimpl(C'),foncteur hotsimpl,induced functor on homotopy categories,4,22,lead_reviewed_5000dpi
illusie:term:cosimplicial-homotopy-category,ILL-CCD:LNM239:CH1:S1:1:p12,I,fr,catégorie Hotcosimpl(C),categorie hotcosimpl,cosimplicial homotopy category,4,22,lead_reviewed_5000dpi
illusie:term:relative-homotopy,ILL-CCD:LNM239:CH1:S1:1:p14,I,fr,homotopie relativement à f,homotopie relativement f,homotopy relative to f,4,22,lead_reviewed_5000dpi
illusie:term:f-homotopy,ILL-CCD:LNM239:CH1:S1:1:p14,I,fr,f-homotopie,f homotopie,f-homotopy,4,22,lead_reviewed_5000dpi
illusie:term:constant-homotopy,ILL-CCD:LNM239:CH1:S1:1:p14,I,fr,homotopie constante de valeur f,homotopie constante valeur f,homotopy constant with value f,4,22,lead_reviewed_5000dpi
illusie:term:S-homotopy,ILL-CCD:LNM239:CH1:S1:1:p15,I,fr,S-homotopie,S homotopie,S-homotopy,5,23,lead_reviewed_5000dpi
illusie:term:S-morphism,ILL-CCD:LNM239:CH1:S1:1:p15,I,fr,S-flèche,S fleche,S-morphism,5,23,lead_reviewed_5000dpi
illusie:term:fibred-functor,ILL-CCD:LNM239:CH1:S1:1:p15,I,fr,foncteur fibrant,foncteur fibrant,fibred functor,5,23,lead_reviewed_5000dpi
illusie:term:cofibred-functor,ILL-CCD:LNM239:CH1:S1:1:p15,I,fr,foncteur cofibrant,foncteur cofibrant,cofibred functor,5,23,lead_reviewed_5000dpi
illusie:term:adjoint-relative-homotopy,ILL-CCD:LNM239:CH1:S1:1:p16,I,fr,flèches correspondantes,homotopie adjointe,corresponding adjoint morphisms,5,23,lead_reviewed_5000dpi
illusie:term:base-change-homotopy,ILL-CCD:LNM239:CH1:S1:1:p17,I,fr,changement de base d'une homotopie,changement base homotopie,base change of a homotopy,5,23,lead_reviewed_5000dpi
illusie:term:fibred-homotopy-category,ILL-CCD:LNM239:CH1:S1:1:p18,I,fr,catégorie Hotsimpl(E_/B) fibrée,categorie hotsimpl fibree,fibred homotopy category Hotsimpl(E_/B),5,23,lead_reviewed_5000dpi
illusie:term:cofibred-homotopy-category,ILL-CCD:LNM239:CH1:S1:1:p18,I,fr,catégorie Hotsimpl(E_/B) cofibrée,categorie hotsimpl cofibree,cofibred homotopy category Hotsimpl(E_/B),5,23,lead_reviewed_5000dpi
illusie:term:B-functor,ILL-CCD:LNM239:CH1:S1:1:p19,I,fr,B-foncteur,B foncteur,B-functor,5,23,lead_reviewed_5000dpi
