occurrence_id,person_id,entity_id,source_span_id,visible_form,role,physical_page,status
ILL-PO-0018,illusie:person:andre,ILL-CCD:LNM239:INTRO:p011:p1,ILL-SP-239-011-02,André,cited author,11,verified
ILL-PO-0019,illusie:person:quillen,ILL-CCD:LNM239:INTRO:p011:p1,ILL-SP-239-011-02,Quillen,cited author,11,verified
ILL-PO-0020,illusie:person:grothendieck,ILL-CCD:LNM239:INTRO:p011:p1,ILL-SP-239-011-02,Grothendieck,cited author,11,verified
ILL-PO-0021,illusie:person:messing,ILL-CCD:LNM239:INTRO:p011:p1,ILL-SP-239-011-02,Messing,cited author,11,verified
ILL-PO-0022,illusie:person:barsotti,ILL-CCD:LNM239:INTRO:p011:p1,ILL-SP-239-011-02,Barsotti,eponym,11,verified
ILL-PO-0023,illusie:person:tate,ILL-CCD:LNM239:INTRO:p011:p1,ILL-SP-239-011-02,Tate,eponym,11,verified
ILL-PO-0024,illusie:person:whitehead,ILL-CCD:LNM239:INTRO:p011:p3,ILL-SP-239-011-04,Whitehead,eponym and cited author,11,verified
ILL-PO-0025,illusie:person:verdier,ILL-CCD:LNM239:INTRO:p011:p3,ILL-SP-239-011-04,Verdier,cited author,11,verified
ILL-PO-0026,illusie:person:quillen,ILL-CCD:LNM239:INTRO:p011:p3,ILL-SP-239-011-04,Quillen,cited author,11,verified
ILL-PO-0027,illusie:person:whitehead,ILL-CCD:LNM239:INTRO:p012:p1,ILL-SP-239-012-02,Whitehead,eponymous theorem,12,verified
ILL-PO-0028,illusie:person:grothendieck,ILL-CCD:LNM239:INTRO:p012:p2,ILL-SP-239-012-04,Grothendieck,cited author,12,verified
ILL-PO-0029,illusie:person:grothendieck,ILL-CCD:LNM239:INTRO:p012:p2,ILL-SP-239-012-04,Grothendieck,conjecture originator,12,verified
ILL-PO-0030,illusie:person:kodaira,ILL-CCD:LNM239:INTRO:p012:p2,ILL-SP-239-012-04,Kodaira,eponym,12,verified
ILL-PO-0031,illusie:person:spencer,ILL-CCD:LNM239:INTRO:p012:p2,ILL-SP-239-012-04,Spencer,eponym,12,verified
ILL-PO-0032,illusie:person:chern,ILL-CCD:LNM239:INTRO:p013:p1,ILL-SP-239-013-02,Chern,eponym,13,verified
ILL-PO-0033,illusie:person:deligne,ILL-CCD:LNM239:INTRO:p013:p2,ILL-SP-239-013-03,Deligne,cited_name,13,verified
ILL-PO-0034,illusie:person:saint-donat,ILL-CCD:LNM239:INTRO:p013:p2,ILL-SP-239-013-03,Saint-Donat,cited_name,13,verified
ILL-PO-0035,illusie:person:eilenberg,ILL-CCD:LNM239:INTRO:p013:p2,ILL-SP-239-013-03,Eilenberg,eponym,13,verified
ILL-PO-0036,illusie:person:mac-lane,ILL-CCD:LNM239:INTRO:p013:p2,ILL-SP-239-013-03,Mac-Lane,eponym_in_Eilenberg-Mac-Lane,13,verified
ILL-PO-0037,illusie:person:grothendieck,ILL-CCD:LNM239:INTRO:p013:p2,ILL-SP-239-013-03,Grothendieck,cited_name,13,verified
ILL-PO-0038,illusie:person:mac-lane,ILL-CCD:LNM239:INTRO:p013:p2,ILL-SP-239-013-03,Mac-Lane,cited_name,13,verified
ILL-PO-0039,illusie:person:breen,ILL-CCD:LNM239:INTRO:p013:p2,ILL-SP-239-013-03,L. Breen,cited_name,13,verified
ILL-PO-0040,illusie:person:mac-lane,ILL-CCD:LNM239:INTRO:p013:n3,ILL-SP-239-013-06,S. Mac-Lane,author_note_author,13,verified
ILL-PO-0041,illusie:person:breen,ILL-CCD:LNM239:INTRO:p013:n4,ILL-SP-239-013-07,L. Breen,author_note_subject,13,verified
ILL-PO-0042,illusie:person:atiyah,ILL-CCD:LNM239:INTRO:p013:p3,ILL-SP-239-013-04,Atiyah,cited_name,13,verified
ILL-PO-0043,illusie:person:atiyah,ILL-CCD:LNM239:INTRO:p013:n5,ILL-SP-239-013-08,M. F. Atiyah,author_note_author,13,verified
ILL-PO-0044,illusie:person:demazure,ILL-CCD:LNM239:INTRO:p014:p1,ILL-SP-239-014-02,Demazure,cited_name,14,verified
ILL-PO-0045,illusie:person:giraud,ILL-CCD:LNM239:INTRO:p014:p1,ILL-SP-239-014-02,Giraud,cited_name,14,verified
ILL-PO-0046,illusie:person:grothendieck,ILL-CCD:LNM239:INTRO:p014:p1,ILL-SP-239-014-02,Grothendieck,cited_name,14,verified
ILL-PO-0047,illusie:person:lie,ILL-CCD:LNM239:INTRO:p014:p1,ILL-SP-239-014-02,Lie,eponym_in_Lie_algebra,14,verified
ILL-PO-0048,illusie:person:lie,ILL-CCD:LNM239:INTRO:p014:p1,ILL-SP-239-014-02,Lie,eponym_in_Lie_complex,14,verified
ILL-PO-0049,illusie:person:mazur,ILL-CCD:LNM239:INTRO:p014:p1,ILL-SP-239-014-02,Mazur,cited_name,14,verified
ILL-PO-0050,illusie:person:roberts,ILL-CCD:LNM239:INTRO:p014:p1,ILL-SP-239-014-02,Roberts,cited_name,14,verified
ILL-PO-0051,illusie:person:quillen,ILL-CCD:LNM239:INTRO:p014:p2,ILL-SP-239-014-03,Quillen,cited_name,14,verified
ILL-PO-0052,illusie:person:de-rham,ILL-CCD:LNM239:INTRO:p014:p2,ILL-SP-239-014-03,de Rham,eponym,14,verified
ILL-PO-0053,illusie:person:grothendieck,ILL-CCD:LNM239:INTRO:p014:n6,ILL-SP-239-014-05,A. Grothendieck,correspondence_author,14,verified
ILL-PO-0054,illusie:person:giraud,ILL-CCD:LNM239:INTRO:p014:n6,ILL-SP-239-014-05,J. Giraud,correspondence_recipient,14,verified
ILL-PO-0055,illusie:person:luc-illusie,ILL-CCD:LNM239:INTRO:p014:n6,ILL-SP-239-014-05,L. Illusie,correspondence_recipient,14,verified
ILL-PO-0056,illusie:person:mazur,ILL-CCD:LNM239:INTRO:p014:n7,ILL-SP-239-014-06,B. Mazur,author_note_author,14,verified
ILL-PO-0057,illusie:person:roberts,ILL-CCD:LNM239:INTRO:p014:n7,ILL-SP-239-014-06,L. Roberts,author_note_author,14,verified
ILL-PO-0058,illusie:person:berthelot,ILL-CCD:LNM239:INTRO:p014:n8,ILL-SP-239-014-07,P. Berthelot,author_note_author,14,verified
ILL-PO-0059,illusie:person:luc-illusie,ILL-CCD:LNM239:INTRO:p014:n9,ILL-SP-239-014-08,L. Illusie,author_note_author,14,verified
ILL-PO-0060,illusie:person:grothendieck,ILL-CCD:LNM239:INTRO:p015:p1,ILL-SP-239-015-02,A. Grothendieck,acknowledged_adviser,15,verified
ILL-PO-0061,illusie:person:deligne,ILL-CCD:LNM239:INTRO:p015:p1,ILL-SP-239-015-02,P. Deligne,acknowledged_adviser,15,verified
ILL-PO-0062,illusie:person:breen,ILL-CCD:LNM239:INTRO:p015:p1,ILL-SP-239-015-02,L. Breen,acknowledged_interlocutor,15,verified
ILL-PO-0063,illusie:person:quillen,ILL-CCD:LNM239:INTRO:p015:p1,ILL-SP-239-015-02,D. Quillen,acknowledged_interlocutor,15,verified
ILL-PO-0064,illusie:person:verdier,ILL-CCD:LNM239:INTRO:p015:p1,ILL-SP-239-015-02,J.L. Verdier,acknowledged_interlocutor,15,verified
ILL-PO-0065,illusie:person:henri-cartan,ILL-CCD:LNM239:INTRO:p015:p2,ILL-SP-239-015-03,Henri Cartan,acknowledged_mentor_and_jury_president,15,verified
ILL-PO-0066,illusie:person:jean-pierre-serre,ILL-CCD:LNM239:INTRO:p015:p2,ILL-SP-239-015-03,Jean-Pierre Serre,acknowledged_second_subject_proposer,15,verified
ILL-PO-0067,illusie:person:demazure,ILL-CCD:LNM239:INTRO:p015:p2,ILL-SP-239-015-03,Michel Demazure,acknowledged_jury_member,15,verified
ILL-PO-0068,illusie:person:madame-michon,ILL-CCD:LNM239:INTRO:p015:p3,ILL-SP-239-015-04,Madame Michon,acknowledged_manuscript_preparer,15,verified
ILL-PO-0069,illusie:person:verdier,ILL-CCD:LNM239:PREREQ:p1,ILL-SP-239-017-03,Verdier,named_derived_category_formalism_source,17,verified
ILL-PO-0070,illusie:person:andre,ILL-CCD:LNM239:PREREQ:p1,ILL-SP-239-017-03,André,cited_prerequisite_author,17,verified
ILL-PO-0071,illusie:person:grothendieck,ILL-CCD:LNM239:PREREQ:p1,ILL-SP-239-017-03,Grothendieck,cited_prerequisite_author,17,verified
ILL-PO-0072,illusie:person:quillen,ILL-CCD:LNM239:PREREQ:p1,ILL-SP-239-017-03,Quillen,cited_prerequisite_author,17,verified
ILL-PO-0073,illusie:person:deligne,ILL-CCD:LNM239:CONV:p1,ILL-SP-239-017-07,Deligne,named_convention_source,17,verified
ILL-PO-0074,illusie:person:giraud,ILL-CCD:LNM239:CH1:S1:1:p15,ILL-SP-239-023-04,Giraud,cited_author_with_section_locator,23,verified_5000dpi
