"PackageNumber","DistinctPackageRoots","FileCount","TotalBytes","ZipCount","ManifestHashLikeCount","SourceBodyWitnessLikeCount","LogbookHeartbeatLikeCount"
"380","1","13","158501","0","5","0","2"
"381","1","7","464071","0","3","0","0"
"382","1","16","126268","0","7","0","0"
"383","1","17","268495","0","3","9","2"
"384","1","24","395155","0","6","15","0"
"385","1","21","411158","0","3","15","0"
"386","1","12","169623","0","3","6","0"
"387","1","18","289499","0","6","12","0"
"388","1","13","380124","0","7","3","3"
"389","1","9","43053","0","6","0","0"
"390","1","8","43869","0","3","2","0"
"391","1","11","103798","0","3","1","2"
"392","1","14","169686","0","6","2","1"
"393","1","26","223368","0","17","6","2"
"394","1","10","160888","0","3","0","1"
"395","1","13","170972","0","6","0","1"
"396","1","6","6298","0","3","0","0"
"397","1","11","117546","0","4","4","2"
"398","1","15","88089","0","7","0","0"
"399","1","14","91238","0","6","0","0"
"400","1","30","1138995","0","13","20","5"
"401","1","19","613053","0","5","13","4"
"402","1","7","91260","0","3","0","1"
"403","1","14","158296","0","6","7","1"
"404","1","44","1087385","0","10","16","13"
"405","1","9","64503","0","5","0","0"
"406","1","18","290510","0","6","12","0"
"407","1","11","336357","0","7","3","1"
"408","1","8","21655","0","3","0","0"
"409","1","8","53123","0","3","2","0"
"410","1","7","73784","0","3","0","1"
"411","1","21","110542","0","17","4","2"
"412","1","20","39611","0","17","4","1"
"413","1","9","56733","0","3","0","0"
"414","1","12","128036","0","6","0","1"
"415","1","9","104730","0","3","2","1"
"416","1","8","89561","0","4","0","1"
"417","1","7","7521","0","3","1","1"
"418","1","13","145400","0","5","0","0"
"419","1","37","1769533","0","14","31","7"
"420","1","9","93152","0","5","0","1"
"421","1","9","117122","0","3","0","1"
"422","1","8","23744","0","5","0","0"
"423","1","8","29761","0","3","0","0"
"424","1","8","32124","0","3","0","0"
"425","1","14","232312","0","4","2","0"
"426","1","16","281425","0","7","6","2"
"427","1","7","98366","0","3","0","1"
"428","1","18","268151","0","3","4","2"
"429","1","9","62304","0","5","0","0"
"430","1","8","12134","0","3","0","0"
"431","1","21","306464","0","9","10","2"
"432","1","7","487311","0","3","0","0"
"433","1","118","3465581","0","46","67","13"
"434","1","14","325872","0","3","1","2"
"435","1","15","161513","0","5","1","1"
"436","1","13","91598","0","4","3","0"
"437","1","12","131025","0","3","3","0"
"438","1","9","154179","0","3","0","2"
"439","1","25","107165","0","21","4","1"
"440","1","6","6207","0","3","0","0"
"441","1","6","6204","0","3","0","0"
"442","1","9","32514","0","3","0","0"
"443","1","10","118139","0","6","0","1"
"444","1","7","101257","0","3","0","1"
"445","1","9","20793","0","6","0","0"
"446","1","6","10181","0","3","0","0"
"447","1","8","35974","0","3","2","0"
"448","1","11","130888","0","3","2","1"
"449","1","9","54849","0","4","2","0"
"450","1","26","571607","0","3","20","0"
"451","1","12","131201","0","4","6","0"
"452","1","12","465531","0","7","3","2"
"453","1","6","4858","0","3","0","0"
"454","1","19","183237","0","8","13","0"
"455","1","9","97889","0","4","1","2"
"456","1","7","7969","0","4","0","0"
"457","1","13","105671","0","5","0","0"
"458","1","13","105816","0","5","0","0"
"459","1","19","938213","0","5","13","4"
"460","1","27","1453261","0","12","21","4"
"461","1","7","17288","0","3","1","0"
"462","1","12","201099","0","3","6","1"
"463","1","9","51824","0","6","2","0"
"464","1","8","23723","0","3","0","0"
"465","1","22","454572","0","4","5","1"
"466","1","7","12188","0","3","0","0"
"467","1","7","49200","0","3","0","1"
"468","1","11","102616","0","6","1","0"
"469","1","8","17592","0","3","0","0"
"470","1","8","63544","0","3","2","0"
"471","1","7","84771","0","3","0","1"
"472","1","23","48471","0","20","4","1"
"473","1","7","502227","0","3","0","0"
"474","1","14","666133","0","5","0","2"
"475","1","6","12525","0","3","0","0"
"476","1","9","60425","0","3","0","0"
"477","1","7","105138","0","3","0","1"
"478","1","10","125477","0","6","0","1"
"479","1","6","4765","0","3","0","0"
"480","1","6","29818","0","3","0","0"
"481","1","8","23733","0","3","2","0"
"482","1","9","22726","0","4","1","0"
"483","1","15","287004","0","3","8","1"
"484","1","23","461556","0","4","16","0"
"485","1","9","100649","0","3","3","0"
"486","1","8","17373","0","3","2","0"
"487","1","12","374595","0","8","4","1"
"488","1","7","114177","0","3","0","1"
"489","1","6","4902","0","3","0","0"
"490","1","14","38926","0","11","0","0"
"491","1","17","422687","0","12","2","0"
"492","1","8","19634","0","4","1","0"
"493","1","39","3149434","0","14","32","9"
"494","1","15","134501","0","7","0","0"
"495","1","33","1898526","0","14","20","4"
"496","1","7","18397","0","3","1","0"
"497","1","11","134492","0","3","4","0"
"498","1","11","138540","0","6","3","1"
"499","1","7","20155","0","3","0","0"
"500","1","9","49814","0","4","1","0"
"501","1","13","166070","0","5","2","1"
"502","1","7","21478","0","3","1","0"
"503","1","9","68565","0","5","0","0"
"504","1","9","524520","0","3","0","0"
"505","1","9","152302","0","3","2","1"
"506","1","24","51770","0","21","4","1"
"507","1","8","15833","0","3","2","0"
"508","1","11","257930","0","3","0","0"
"509","1","9","214544","0","3","0","3"
"510","1","12","94710","0","8","0","0"
"511","1","8","20608","0","3","2","0"
"512","1","7","5251","0","4","1","0"
"627","1","9","46783","0","6","0","0"
"628","1","7","547642","0","3","0","0"
"629","1","21","332013","0","9","3","3"
"630","1","10","155505","0","6","0","1"
"631","1","14","500058","0","7","3","1"
"632","1","12","208897","0","4","2","1"
"633","1","138","3564078","0","60","29","16"
"634","1","114","6521617","0","32","25","10"
"635","1","55","1275685","0","35","15","5"
"636","1","101","2309030","0","15","30","5"
"637","1","10","606878","0","3","0","0"
