"language","bcp47","body_id","source_use_label","source_type","topic_tags","source_url","access_signal","hard_row_relevance","gap_or_blocker_note","non_claim_boundary"
"Azerbaijani","az","WIKITEXT-GAP-20260629-AZ-RING-MATHEMATICS","pointer-only","wikitext-langlink-gap","Azerbaijani; Ring (mathematics); Wikipedia wikitext; Pan-Turkic source-canon recovery","https://en.wikipedia.org/wiki/Ring_%28mathematics%29","metadata row status=no_langlink_from_enwiki; no local target-language body","source-acquisition gap; no local target-language wikitext body from this shelf","No target-language wikitext body in this shelf: status=no_langlink_from_enwiki from English concept 'Ring (mathematics)'.","draft/source-corpus package only; no native review, canonical approval, accepted terminology, license clearance, gate promotion, bridge/pilot, source-certified/final status, or translation-completion claim"
"Azerbaijani","az","WIKITEXT-GAP-20260629-AZ-FIELD-MATHEMATICS","pointer-only","wikitext-langlink-gap","Azerbaijani; Field (mathematics); Wikipedia wikitext; Pan-Turkic source-canon recovery","https://en.wikipedia.org/wiki/Field_%28mathematics%29","metadata row status=no_langlink_from_enwiki; no local target-language body","source-acquisition gap; no local target-language wikitext body from this shelf","No target-language wikitext body in this shelf: status=no_langlink_from_enwiki from English concept 'Field (mathematics)'.","draft/source-corpus package only; no native review, canonical approval, accepted terminology, license clearance, gate promotion, bridge/pilot, source-certified/final status, or translation-completion claim"
"Azerbaijani","az","WIKITEXT-GAP-20260629-AZ-IDEAL-RING-THEORY","pointer-only","wikitext-langlink-gap","Azerbaijani; Ideal (ring theory); Wikipedia wikitext; Pan-Turkic source-canon recovery","https://en.wikipedia.org/wiki/Ideal_%28ring_theory%29","metadata row status=no_langlink_from_enwiki; no local target-language body","source-acquisition gap; no local target-language wikitext body from this shelf","No target-language wikitext body in this shelf: status=no_langlink_from_enwiki from English concept 'Ideal (ring theory)'.","draft/source-corpus package only; no native review, canonical approval, accepted terminology, license clearance, gate promotion, bridge/pilot, source-certified/final status, or translation-completion claim"
"Azerbaijani","az","WIKITEXT-GAP-20260629-AZ-INVARIANT-THEORY","pointer-only","wikitext-langlink-gap","Azerbaijani; Invariant theory; Wikipedia wikitext; Pan-Turkic source-canon recovery","https://en.wikipedia.org/wiki/Invariant_theory","metadata row status=no_langlink_from_enwiki; no local target-language body","source-acquisition gap; no local target-language wikitext body from this shelf","No target-language wikitext body in this shelf: status=no_langlink_from_enwiki from English concept 'Invariant theory'.","draft/source-corpus package only; no native review, canonical approval, accepted terminology, license clearance, gate promotion, bridge/pilot, source-certified/final status, or translation-completion claim"
"Uzbek","uz","WIKITEXT-GAP-20260629-UZ-GROUP-THEORY","pointer-only","wikitext-langlink-gap","Uzbek; Group theory; Wikipedia wikitext; Pan-Turkic source-canon recovery","https://en.wikipedia.org/wiki/Group_theory","metadata row status=no_langlink_from_enwiki; no local target-language body","source-acquisition gap; no local target-language wikitext body from this shelf","No target-language wikitext body in this shelf: status=no_langlink_from_enwiki from English concept 'Group theory'.","draft/source-corpus package only; no native review, canonical approval, accepted terminology, license clearance, gate promotion, bridge/pilot, source-certified/final status, or translation-completion claim"
"Uzbek","uz","WIKITEXT-GAP-20260629-UZ-RING-MATHEMATICS","pointer-only","wikitext-langlink-gap","Uzbek; Ring (mathematics); Wikipedia wikitext; Pan-Turkic source-canon recovery","https://en.wikipedia.org/wiki/Ring_%28mathematics%29","metadata row status=no_langlink_from_enwiki; no local target-language body","source-acquisition gap; no local target-language wikitext body from this shelf","No target-language wikitext body in this shelf: status=no_langlink_from_enwiki from English concept 'Ring (mathematics)'.","draft/source-corpus package only; no native review, canonical approval, accepted terminology, license clearance, gate promotion, bridge/pilot, source-certified/final status, or translation-completion claim"
"Uzbek","uz","WIKITEXT-GAP-20260629-UZ-FIELD-MATHEMATICS","pointer-only","wikitext-langlink-gap","Uzbek; Field (mathematics); Wikipedia wikitext; Pan-Turkic source-canon recovery","https://en.wikipedia.org/wiki/Field_%28mathematics%29","metadata row status=no_langlink_from_enwiki; no local target-language body","source-acquisition gap; no local target-language wikitext body from this shelf","No target-language wikitext body in this shelf: status=no_langlink_from_enwiki from English concept 'Field (mathematics)'.","draft/source-corpus package only; no native review, canonical approval, accepted terminology, license clearance, gate promotion, bridge/pilot, source-certified/final status, or translation-completion claim"
"Uzbek","uz","WIKITEXT-GAP-20260629-UZ-IDEAL-RING-THEORY","pointer-only","wikitext-langlink-gap","Uzbek; Ideal (ring theory); Wikipedia wikitext; Pan-Turkic source-canon recovery","https://en.wikipedia.org/wiki/Ideal_%28ring_theory%29","metadata row status=no_langlink_from_enwiki; no local target-language body","source-acquisition gap; no local target-language wikitext body from this shelf","No target-language wikitext body in this shelf: status=no_langlink_from_enwiki from English concept 'Ideal (ring theory)'.","draft/source-corpus package only; no native review, canonical approval, accepted terminology, license clearance, gate promotion, bridge/pilot, source-certified/final status, or translation-completion claim"
"Uzbek","uz","WIKITEXT-GAP-20260629-UZ-INVARIANT-THEORY","pointer-only","wikitext-langlink-gap","Uzbek; Invariant theory; Wikipedia wikitext; Pan-Turkic source-canon recovery","https://en.wikipedia.org/wiki/Invariant_theory","metadata row status=no_langlink_from_enwiki; no local target-language body","source-acquisition gap; no local target-language wikitext body from this shelf","No target-language wikitext body in this shelf: status=no_langlink_from_enwiki from English concept 'Invariant theory'.","draft/source-corpus package only; no native review, canonical approval, accepted terminology, license clearance, gate promotion, bridge/pilot, source-certified/final status, or translation-completion claim"
"Kazakh","kk","WIKITEXT-GAP-20260629-KK-GROUP-THEORY","pointer-only","wikitext-langlink-gap","Kazakh; Group theory; Wikipedia wikitext; Pan-Turkic source-canon recovery","https://en.wikipedia.org/wiki/Group_theory","metadata row status=no_langlink_from_enwiki; no local target-language body","source-acquisition gap; no local target-language wikitext body from this shelf","No target-language wikitext body in this shelf: status=no_langlink_from_enwiki from English concept 'Group theory'.","draft/source-corpus package only; no native review, canonical approval, accepted terminology, license clearance, gate promotion, bridge/pilot, source-certified/final status, or translation-completion claim"
"Kazakh","kk","WIKITEXT-GAP-20260629-KK-RING-MATHEMATICS","pointer-only","wikitext-langlink-gap","Kazakh; Ring (mathematics); Wikipedia wikitext; Pan-Turkic source-canon recovery","https://en.wikipedia.org/wiki/Ring_%28mathematics%29","metadata row status=no_langlink_from_enwiki; no local target-language body","source-acquisition gap; no local target-language wikitext body from this shelf","No target-language wikitext body in this shelf: status=no_langlink_from_enwiki from English concept 'Ring (mathematics)'.","draft/source-corpus package only; no native review, canonical approval, accepted terminology, license clearance, gate promotion, bridge/pilot, source-certified/final status, or translation-completion claim"
"Kazakh","kk","WIKITEXT-GAP-20260629-KK-FIELD-MATHEMATICS","pointer-only","wikitext-langlink-gap","Kazakh; Field (mathematics); Wikipedia wikitext; Pan-Turkic source-canon recovery","https://en.wikipedia.org/wiki/Field_%28mathematics%29","metadata row status=no_langlink_from_enwiki; no local target-language body","source-acquisition gap; no local target-language wikitext body from this shelf","No target-language wikitext body in this shelf: status=no_langlink_from_enwiki from English concept 'Field (mathematics)'.","draft/source-corpus package only; no native review, canonical approval, accepted terminology, license clearance, gate promotion, bridge/pilot, source-certified/final status, or translation-completion claim"
"Kazakh","kk","WIKITEXT-GAP-20260629-KK-INVARIANT-THEORY","pointer-only","wikitext-langlink-gap","Kazakh; Invariant theory; Wikipedia wikitext; Pan-Turkic source-canon recovery","https://en.wikipedia.org/wiki/Invariant_theory","metadata row status=no_langlink_from_enwiki; no local target-language body","source-acquisition gap; no local target-language wikitext body from this shelf","No target-language wikitext body in this shelf: status=no_langlink_from_enwiki from English concept 'Invariant theory'.","draft/source-corpus package only; no native review, canonical approval, accepted terminology, license clearance, gate promotion, bridge/pilot, source-certified/final status, or translation-completion claim"
"Kyrgyz","ky","WIKITEXT-GAP-20260629-KY-MATHEMATICS","pointer-only","wikitext-langlink-gap","Kyrgyz; Mathematics; Wikipedia wikitext; Pan-Turkic source-canon recovery","https://en.wikipedia.org/wiki/Mathematics","metadata row status=no_langlink_from_enwiki; no local target-language body","source-acquisition gap; no local target-language wikitext body from this shelf","No target-language wikitext body in this shelf: status=no_langlink_from_enwiki from English concept 'Mathematics'.","draft/source-corpus package only; no native review, canonical approval, accepted terminology, license clearance, gate promotion, bridge/pilot, source-certified/final status, or translation-completion claim"
"Kyrgyz","ky","WIKITEXT-GAP-20260629-KY-LINEAR-ALGEBRA","pointer-only","wikitext-langlink-gap","Kyrgyz; Linear algebra; Wikipedia wikitext; Pan-Turkic source-canon recovery","https://en.wikipedia.org/wiki/Linear_algebra","metadata row status=no_langlink_from_enwiki; no local target-language body","source-acquisition gap; no local target-language wikitext body from this shelf","No target-language wikitext body in this shelf: status=no_langlink_from_enwiki from English concept 'Linear algebra'.","draft/source-corpus package only; no native review, canonical approval, accepted terminology, license clearance, gate promotion, bridge/pilot, source-certified/final status, or translation-completion claim"
"Kyrgyz","ky","WIKITEXT-GAP-20260629-KY-GROUP-THEORY","pointer-only","wikitext-langlink-gap","Kyrgyz; Group theory; Wikipedia wikitext; Pan-Turkic source-canon recovery","https://en.wikipedia.org/wiki/Group_theory","metadata row status=no_langlink_from_enwiki; no local target-language body","source-acquisition gap; no local target-language wikitext body from this shelf","No target-language wikitext body in this shelf: status=no_langlink_from_enwiki from English concept 'Group theory'.","draft/source-corpus package only; no native review, canonical approval, accepted terminology, license clearance, gate promotion, bridge/pilot, source-certified/final status, or translation-completion claim"
"Kyrgyz","ky","WIKITEXT-GAP-20260629-KY-RING-MATHEMATICS","pointer-only","wikitext-langlink-gap","Kyrgyz; Ring (mathematics); Wikipedia wikitext; Pan-Turkic source-canon recovery","https://en.wikipedia.org/wiki/Ring_%28mathematics%29","metadata row status=no_langlink_from_enwiki; no local target-language body","source-acquisition gap; no local target-language wikitext body from this shelf","No target-language wikitext body in this shelf: status=no_langlink_from_enwiki from English concept 'Ring (mathematics)'.","draft/source-corpus package only; no native review, canonical approval, accepted terminology, license clearance, gate promotion, bridge/pilot, source-certified/final status, or translation-completion claim"
"Kyrgyz","ky","WIKITEXT-GAP-20260629-KY-FIELD-MATHEMATICS","pointer-only","wikitext-langlink-gap","Kyrgyz; Field (mathematics); Wikipedia wikitext; Pan-Turkic source-canon recovery","https://en.wikipedia.org/wiki/Field_%28mathematics%29","metadata row status=no_langlink_from_enwiki; no local target-language body","source-acquisition gap; no local target-language wikitext body from this shelf","No target-language wikitext body in this shelf: status=no_langlink_from_enwiki from English concept 'Field (mathematics)'.","draft/source-corpus package only; no native review, canonical approval, accepted terminology, license clearance, gate promotion, bridge/pilot, source-certified/final status, or translation-completion claim"
"Kyrgyz","ky","WIKITEXT-GAP-20260629-KY-IDEAL-RING-THEORY","pointer-only","wikitext-langlink-gap","Kyrgyz; Ideal (ring theory); Wikipedia wikitext; Pan-Turkic source-canon recovery","https://en.wikipedia.org/wiki/Ideal_%28ring_theory%29","metadata row status=no_langlink_from_enwiki; no local target-language body","source-acquisition gap; no local target-language wikitext body from this shelf","No target-language wikitext body in this shelf: status=no_langlink_from_enwiki from English concept 'Ideal (ring theory)'.","draft/source-corpus package only; no native review, canonical approval, accepted terminology, license clearance, gate promotion, bridge/pilot, source-certified/final status, or translation-completion claim"
"Kyrgyz","ky","WIKITEXT-GAP-20260629-KY-INVARIANT-THEORY","pointer-only","wikitext-langlink-gap","Kyrgyz; Invariant theory; Wikipedia wikitext; Pan-Turkic source-canon recovery","https://en.wikipedia.org/wiki/Invariant_theory","metadata row status=no_langlink_from_enwiki; no local target-language body","source-acquisition gap; no local target-language wikitext body from this shelf","No target-language wikitext body in this shelf: status=no_langlink_from_enwiki from English concept 'Invariant theory'.","draft/source-corpus package only; no native review, canonical approval, accepted terminology, license clearance, gate promotion, bridge/pilot, source-certified/final status, or translation-completion claim"
"Kyrgyz","ky","WIKITEXT-GAP-20260629-KY-MATRIX-MATHEMATICS","pointer-only","wikitext-langlink-gap","Kyrgyz; Matrix (mathematics); Wikipedia wikitext; Pan-Turkic source-canon recovery","https://en.wikipedia.org/wiki/Matrix_%28mathematics%29","metadata row status=no_langlink_from_enwiki; no local target-language body","source-acquisition gap; no local target-language wikitext body from this shelf","No target-language wikitext body in this shelf: status=no_langlink_from_enwiki from English concept 'Matrix (mathematics)'.","draft/source-corpus package only; no native review, canonical approval, accepted terminology, license clearance, gate promotion, bridge/pilot, source-certified/final status, or translation-completion claim"
"Kyrgyz","ky","WIKITEXT-GAP-20260629-KY-POLYNOMIAL","pointer-only","wikitext-langlink-gap","Kyrgyz; Polynomial; Wikipedia wikitext; Pan-Turkic source-canon recovery","https://en.wikipedia.org/wiki/Polynomial","metadata row status=no_langlink_from_enwiki; no local target-language body","source-acquisition gap; no local target-language wikitext body from this shelf","No target-language wikitext body in this shelf: status=no_langlink_from_enwiki from English concept 'Polynomial'.","draft/source-corpus package only; no native review, canonical approval, accepted terminology, license clearance, gate promotion, bridge/pilot, source-certified/final status, or translation-completion claim"
"Kyrgyz","ky","WIKITEXT-GAP-20260629-KY-EQUATION","pointer-only","wikitext-langlink-gap","Kyrgyz; Equation; Wikipedia wikitext; Pan-Turkic source-canon recovery","https://en.wikipedia.org/wiki/Equation","metadata row status=no_langlink_from_enwiki; no local target-language body","source-acquisition gap; no local target-language wikitext body from this shelf","No target-language wikitext body in this shelf: status=no_langlink_from_enwiki from English concept 'Equation'.","draft/source-corpus package only; no native review, canonical approval, accepted terminology, license clearance, gate promotion, bridge/pilot, source-certified/final status, or translation-completion claim"
"Kyrgyz","ky","WIKITEXT-GAP-20260629-KY-FUNCTION-MATHEMATICS","pointer-only","wikitext-langlink-gap","Kyrgyz; Function (mathematics); Wikipedia wikitext; Pan-Turkic source-canon recovery","https://en.wikipedia.org/wiki/Function_%28mathematics%29","metadata row status=no_langlink_from_enwiki; no local target-language body","source-acquisition gap; no local target-language wikitext body from this shelf","No target-language wikitext body in this shelf: status=no_langlink_from_enwiki from English concept 'Function (mathematics)'.","draft/source-corpus package only; no native review, canonical approval, accepted terminology, license clearance, gate promotion, bridge/pilot, source-certified/final status, or translation-completion claim"
"Kyrgyz","ky","WIKITEXT-GAP-20260629-KY-SET-MATHEMATICS","pointer-only","wikitext-langlink-gap","Kyrgyz; Set (mathematics); Wikipedia wikitext; Pan-Turkic source-canon recovery","https://en.wikipedia.org/wiki/Set_%28mathematics%29","metadata row status=no_langlink_from_enwiki; no local target-language body","source-acquisition gap; no local target-language wikitext body from this shelf","No target-language wikitext body in this shelf: status=no_langlink_from_enwiki from English concept 'Set (mathematics)'.","draft/source-corpus package only; no native review, canonical approval, accepted terminology, license clearance, gate promotion, bridge/pilot, source-certified/final status, or translation-completion claim"
"Kyrgyz","ky","WIKITEXT-GAP-20260629-KY-DIFFERENTIAL-EQUATION","pointer-only","wikitext-langlink-gap","Kyrgyz; Differential equation; Wikipedia wikitext; Pan-Turkic source-canon recovery","https://en.wikipedia.org/wiki/Differential_equation","metadata row status=no_langlink_from_enwiki; no local target-language body","source-acquisition gap; no local target-language wikitext body from this shelf","No target-language wikitext body in this shelf: status=no_langlink_from_enwiki from English concept 'Differential equation'.","draft/source-corpus package only; no native review, canonical approval, accepted terminology, license clearance, gate promotion, bridge/pilot, source-certified/final status, or translation-completion claim"
"Kyrgyz","ky","WIKITEXT-GAP-20260629-KY-PROBABILITY","pointer-only","wikitext-langlink-gap","Kyrgyz; Probability; Wikipedia wikitext; Pan-Turkic source-canon recovery","https://en.wikipedia.org/wiki/Probability","metadata row status=no_langlink_from_enwiki; no local target-language body","source-acquisition gap; no local target-language wikitext body from this shelf","No target-language wikitext body in this shelf: status=no_langlink_from_enwiki from English concept 'Probability'.","draft/source-corpus package only; no native review, canonical approval, accepted terminology, license clearance, gate promotion, bridge/pilot, source-certified/final status, or translation-completion claim"
"Kyrgyz","ky","WIKITEXT-GAP-20260629-KY-STATISTICS","pointer-only","wikitext-langlink-gap","Kyrgyz; Statistics; Wikipedia wikitext; Pan-Turkic source-canon recovery","https://en.wikipedia.org/wiki/Statistics","metadata row status=no_langlink_from_enwiki; no local target-language body","source-acquisition gap; no local target-language wikitext body from this shelf","No target-language wikitext body in this shelf: status=no_langlink_from_enwiki from English concept 'Statistics'.","draft/source-corpus package only; no native review, canonical approval, accepted terminology, license clearance, gate promotion, bridge/pilot, source-certified/final status, or translation-completion claim"
"Turkmen","tk","WIKITEXT-GAP-20260629-TK-LINEAR-ALGEBRA","pointer-only","wikitext-langlink-gap","Turkmen; Linear algebra; Wikipedia wikitext; Pan-Turkic source-canon recovery","https://en.wikipedia.org/wiki/Linear_algebra","metadata row status=no_langlink_from_enwiki; no local target-language body","source-acquisition gap; no local target-language wikitext body from this shelf","No target-language wikitext body in this shelf: status=no_langlink_from_enwiki from English concept 'Linear algebra'.","draft/source-corpus package only; no native review, canonical approval, accepted terminology, license clearance, gate promotion, bridge/pilot, source-certified/final status, or translation-completion claim"
"Turkmen","tk","WIKITEXT-GAP-20260629-TK-GROUP-THEORY","pointer-only","wikitext-langlink-gap","Turkmen; Group theory; Wikipedia wikitext; Pan-Turkic source-canon recovery","https://en.wikipedia.org/wiki/Group_theory","metadata row status=no_langlink_from_enwiki; no local target-language body","source-acquisition gap; no local target-language wikitext body from this shelf","No target-language wikitext body in this shelf: status=no_langlink_from_enwiki from English concept 'Group theory'.","draft/source-corpus package only; no native review, canonical approval, accepted terminology, license clearance, gate promotion, bridge/pilot, source-certified/final status, or translation-completion claim"
