source_term,spanish,japanese,notes
Reihen von Größen,filas de cantidades,量の行,Preserve row-of-quantities language.
Determinanten der Linearformen,determinantes de las formas lineales,線形形式の行列式,The determinants (ik).
Restklasse,clase residual,剰余類,Module normalization argument.
Normalisierung,normalización,正規化,Normalized polynomial of a residue class.
Modulbasis,base de módulo / base de un módulo,加群基底,Module-theoretic proof in §3.
Primmodul,módulo primo,素加群,Keep module terminology rather than ideal-theoretic modernization.
Spezielle Endlichkeitssätze,teoremas especiales de finitud,特殊な有限性定理,Section 1 heading/content.
endliche Gruppe,grupo finito,有限群,§4 finite group setting.
algebraisch-ganze Koeffizienten,coeficientes algebraico-enteros,代数的整数係数,Finite group substitutions and invariants.
Formentheorie,teoría de formas,形式論,Paper 16 title and core context; do not modernize to representation theory.
Reihenentwicklung,desarrollo en serie,級数展開,Reaffirm existing glossary term for Paper 16 title.
Clebsch-Gordansche Reihenentwicklung,desarrollo en serie de Clebsch--Gordan,Clebsch--Gordan の級数展開,Named historical expansion.
Normalform,forma normal,正規形,Coordinate/form-normalization context.
Komplexkoordinaten,coordenadas complejas,複素座標,Historical invariant-theory coordinate term.
Linienkoordinaten,coordenadas de recta,直線座標,Line coordinates p_{ik}; avoid “coordenadas lineales”.
Potenzprodukte,productos de potencias,冪積,Products of powers appearing in forms.
identische Relationen,relaciones idénticas,恒等関係,Relations among p_{ik} or f_i(xi) that vanish identically.
Modulbasis,base de módulo / base de un módulo,加群基底,Needed for complete expansion; maintain module terminology.
Eigenwerte / Eigenfunktionen,valores propios / funciones propias,固有値 / 固有関数,Fischer linear-operation discussion.
Zahlkoeffizienten,coeficientes numéricos,数係数,Explicit representation up to numerical coefficients.
ganzrationale Zahlkoeffizienten,coeficientes numéricos racionales enteros,有理整数の数係数,Paper 16 rationality of a_i.
Trägheitsformen,formas de inercia,慣性形式,Kerim footnote; literal technical translation.
Reduktionssatz,teorema de reducción,還元定理,Correction paragraph and Paper 12 established term.
Rationalitätsbereich,dominio de racionalidad / campo de racionalidad,有理性領域,Correction note to Paper 11 terminology.
Modul,módulo,加群,Paper17 central term; kept historical module/ideal sense.
rechtsseitiger Modul,módulo por la derecha,右加群,Right-sided one-sided module.
linksseitiger Modul,módulo por la izquierda,左加群,Left-sided one-sided module.
einseitiger Modul,módulo unilateral,片側加群,Generic one-sided module.
zweiseitig,bilateral,両側,Two-sided module.
Restgruppe,grupo residual,剰余群,Residue group of a module.
Restklasse,clase residual,剰余類,Residue class modulo a module.
Einheitsklasse / Einheit,clase unidad / unidad,単位類 / 単位,Unit class and unit in residue group.
kleinstes gemeinsames Vielfaches,mínimo común múltiplo,最小公倍,Least common multiple of modules.
größter gemeinsamer Teiler,máximo común divisor,最大公約,Greatest common divisor in module setting.
teilerfremd,primos entre sí,互いに素,Relatively prime modules.
isomorph,isomorfo,同型,Structure-preserving residue-class correspondence.
vollständig reduzibel,completamente reducible,完全可約,Completely reducible modules/groups.
Differenzenausdruck,expresión de diferencias,差分式,Difference expression.
nichtkommutativer Bereich,dominio no conmutativo,非可換領域,Noncommutative domain.
Differential- und Differenzenausdrücke,expresiones diferenciales y de diferencias,微分式および差分式,Retroactive title standardization for Paper 17 cumulative output.
Zerlegung einer Gruppe,descomposición de un grupo,群の分解,Paper 17 §10.
vollständig reduzibel,completamente reducible,完全可約,Continue Paper 17 convention.
irreduzibel / vollständig irreduzibel,irreducible / completamente irreducible,既約 / 完全既約,Theorem IX and §10 proof.
Restgruppe / endliche Restgruppe,grupo residual / grupo residual finito,剰余群 / 有限剰余群,Paper 17 §11 definition.
Differentialgleichungssystem,sistema de ecuaciones diferenciales,微分方程式系,Paper 17 §11.
Integrale,integrales,積分,In ODE-system sense; not integral elements.
gewöhnliche Differentialgleichung,ecuación diferencial ordinaria,常微分方程式,Paper 17 §12 examples.
gemeinsames Vielfaches,múltiplo común,公倍元,Paper 17 §12 module divisibility.
Resultantenform,forma resultante,終結式形式,Paper 18 Hentzelt note.
Grundmodul,módulo básico,基礎加群,Paper 18 elimination-theory module norm.
Primärideal,ideal primario,準素イデアル,Use Japanese 準素 rather than 一次.
primärer Faktor,factor primario,準素因子,Paper 18 abstract ideal-theory interpretation.
Komplement,complemento,補元,Paper 18 decomposition notation [Q,L].
