source_id,term_probe,pattern,count,first_line,first_context
KZ-STK-159,IDEAL,\bideal\w*|идеал\w*,14,2870,уақыты қысқа болады. Өндірушілер көбінесе «идеалды уақытты» 25-30 минут
KZ-STK-159,POLYNOMIAL,polinom\w*|полином\w*|polynomial\w*|көпмүше\w*|көпмүш\w*,1,6875,"анықталды. Параллель манипуляторларға тән тура есепті шешу үшін, полиномдар"
KZ-STK-159,MODULE,\bmodul\w*|модул\w*|module\w*,30,1630,тиімді жылу бөлуі және біркелкі салқындатылуы ірі модульді тістің шамадан тыс
KZ-STK-159,OPERATOR,operator\w*|оператор\w*,4,4800,"испытаниями среди операторов, выполняющих задачи, связанные с подъемом"
KZ-TOU-42159,NOETHER_LATIN,Noether|Noeter|Nyoter|N[oö]ter,0,,
KZ-TOU-42159,NOETHER_CYRILLIC,Н[ёе]тер|Н[её]терл,0,,
KZ-TOU-42159,RING_LATIN_TURKIC,\bhalqa\w*|\bhalqasi\b|\bhalqa\b|\bhalqalar\w*,0,,
KZ-TOU-42159,RING_AZ,\bhalqa\b|\bhalqanın\b|\bhalqalar\b,0,,
KZ-TOU-42159,RING_KZ_CYR,сақина\w*|сакина\w*|кольц\w*|колец\w*|кольцо\w*,8,52,"– топ, сақина, өріс ұғымдары, матрицалар және оларға амалдар қолдану, өрістегі"
KZ-TOU-42159,IDEAL,\bideal\w*|идеал\w*,0,,
KZ-TOU-42159,POLYNOMIAL,polinom\w*|полином\w*|polynomial\w*|көпмүше\w*|көпмүш\w*,14,53,"көпмүшеліктер, сызықтық кеңістіктер, евклидтік және унитар кеңістіктер жөнінде"
KZ-TOU-42159,MODULE,\bmodul\w*|модул\w*|module\w*,0,,
KZ-TOU-42159,OPERATOR,operator\w*|оператор\w*,0,,
UZ-BUXDU-2025-11,NOETHER_LATIN,Noether|Noeter|Nyoter|N[oö]ter,1,1558,mathematicians like David Hilbert and Emmy Noether in abstract algebra and ring theory further generalized
UZ-BUXDU-2025-11,NOETHER_CYRILLIC,Н[ёе]тер|Н[её]терл,0,,
UZ-BUXDU-2025-11,RING_LATIN_TURKIC,\bhalqa\w*|\bhalqasi\b|\bhalqa\b|\bhalqalar\w*,10,8533,SQUID magnetometri yordamida namunalarning gisterezis halqasi olindi va T = 400 K haroratda qoldiq
UZ-BUXDU-2025-11,RING_AZ,\bhalqa\b|\bhalqanın\b|\bhalqalar\b,3,13213,"morfologik xususiyatlariga (rang, shakl, o‘sish zichligi, atrofi halqa hosil qilishi) ko‘ra tanlab olindi va"
UZ-BUXDU-2025-11,RING_KZ_CYR,сақина\w*|сакина\w*|кольц\w*|колец\w*|кольцо\w*,2,11408,трубах кольцевого сечения. Реологические постоянные характеристики вязкоупругой жидкост
UZ-BUXDU-2025-11,IDEAL,\bideal\w*|идеал\w*,3,6728,"2. Donoho D.L., Johnstone I.M. Ideal spatial adaptation by wavelet shrinkage. // Biometrika. 1994."
UZ-BUXDU-2025-11,POLYNOMIAL,polinom\w*|полином\w*|polynomial\w*|көпмүше\w*|көпмүш\w*,71,87,Tokhirjonova Sh.D. Olympiad problems on irreducible polynomials 24
UZ-BUXDU-2025-11,MODULE,\bmodul\w*|модул\w*|module\w*,24,1500,"st method, deduction based on degree, Eisenstein's criterion, and the modulo reduction"
UZ-BUXDU-2025-11,OPERATOR,operator\w*|оператор\w*,199,94,Баракаев Д.У. дифференциал операторлар
UZ-BUXDU-2025-3,NOETHER_LATIN,Noether|Noeter|Nyoter|N[oö]ter,6,9791,Annotatsiya. Maqolada singular integral operatorlarning Nyoter operatori bo'lishlik shartlarida
UZ-BUXDU-2025-3,NOETHER_CYRILLIC,Н[ёе]тер|Н[её]терл,23,9779,"при которых сингулярные интегральные операторы являются операторами Нётера. Известно, что"
UZ-BUXDU-2025-3,RING_LATIN_TURKIC,\bhalqa\w*|\bhalqasi\b|\bhalqa\b|\bhalqalar\w*,1,11056,maydon ta’sirida gisterezis halqasi hosil qilishiga olib keladi. To‘yingan magnitlanish: Mₛ = ±1.47·10⁻⁴
UZ-BUXDU-2025-3,RING_AZ,\bhalqa\b|\bhalqanın\b|\bhalqalar\b,0,,
UZ-BUXDU-2025-3,RING_KZ_CYR,сақина\w*|сакина\w*|кольц\w*|колец\w*|кольцо\w*,0,,
UZ-BUXDU-2025-3,IDEAL,\bideal\w*|идеал\w*,6,3892,"rings and ideals, and developing unified terminology of primes and irreducibles. In 18"
UZ-BUXDU-2025-3,POLYNOMIAL,polinom\w*|полином\w*|polynomial\w*|көпмүше\w*|көпмүш\w*,106,170,On an irreducible polynomials
UZ-BUXDU-2025-3,MODULE,\bmodul\w*|модул\w*|module\w*,13,3853,"eveloped in the context of “higher congruences”, polynomial equations modulo primes and their"
UZ-BUXDU-2025-3,OPERATOR,operator\w*|оператор\w*,263,206,Дискретный спектр оператора некоторой системы
