"branch_head","authority_table","lane","category","required_surface","coverage_status","required_next_action","evidence_path","source_gated_routing_rows","boundary"
"212dfb1c7728f7c23274714434aa35d590e1aab7","LANE_CATEGORY_COVERAGE_AUDIT_212DFB.csv","Arabic","marginal-intelligibility","marginal_intelligibility.csv","shared-rule-present; exact lane-current-head-application-gap","produce marginal_intelligibility.csv application rows linked to lane source bodies and hashes","C:\Users\memo_\Documents\Codex\2026-07-04\noether-interlanguage-method-authority\outputs\INTERLANGUAGE_WHOLE_CORPUS_212DFB_AUTHORITY_RECOVERY_20260706\212DFB_MARGINAL_INTELLIGIBILITY_LEDGER.csv","554","generated-draft/noncanonical/source-use/provenance/gap only; no native review, community consent, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
"212dfb1c7728f7c23274714434aa35d590e1aab7","LANE_CATEGORY_COVERAGE_AUDIT_212DFB.csv","Arabic","source-use","source_use_status.csv / source_documents.csv","shared-rule-present; exact lane-current-head-application-gap","produce source_use_status.csv / source_documents.csv application rows linked to lane source bodies and hashes","C:\Users\memo_\Documents\Codex\2026-07-04\noether-interlanguage-method-authority\outputs\INTERLANGUAGE_WHOLE_CORPUS_212DFB_AUTHORITY_RECOVERY_20260706\212DFB_SOURCE_USE_LEDGER.csv","554","generated-draft/noncanonical/source-use/provenance/gap only; no native review, community consent, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
"212dfb1c7728f7c23274714434aa35d590e1aab7","LANE_CATEGORY_COVERAGE_AUDIT_212DFB.csv","Arabic","adverse-evidence","adverse_evidence_ledger.csv","shared-rule-present; exact lane-current-head-application-gap","produce adverse_evidence_ledger.csv application rows linked to lane source bodies and hashes","C:\Users\memo_\Documents\Codex\2026-07-04\noether-interlanguage-method-authority\outputs\INTERLANGUAGE_WHOLE_CORPUS_212DFB_AUTHORITY_RECOVERY_20260706\212DFB_ADVERSE_DO_NOT_USE_LEDGER.csv","554","generated-draft/noncanonical/source-use/provenance/gap only; no native review, community consent, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
"212dfb1c7728f7c23274714434aa35d590e1aab7","LANE_CATEGORY_COVERAGE_AUDIT_212DFB.csv","Arabic","normalization","normalization_decisions / forms.csv","shared-rule-present; exact lane-current-head-application-gap","produce normalization_decisions / forms.csv application rows linked to lane source bodies and hashes","C:\Users\memo_\Documents\Codex\2026-07-04\noether-interlanguage-method-authority\outputs\INTERLANGUAGE_WHOLE_CORPUS_212DFB_AUTHORITY_RECOVERY_20260706\212DFB_NORMALIZATION_LEDGER.csv","554","generated-draft/noncanonical/source-use/provenance/gap only; no native review, community consent, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
"212dfb1c7728f7c23274714434aa35d590e1aab7","LANE_CATEGORY_COVERAGE_AUDIT_212DFB.csv","Arabic","marker-table","marker-table / interlinear scaffolding rows","shared-rule-present; exact lane-current-head-application-gap","produce marker-table / interlinear scaffolding rows application rows linked to lane source bodies and hashes","C:\Users\memo_\Documents\Codex\2026-07-04\noether-interlanguage-method-authority\outputs\INTERLANGUAGE_WHOLE_CORPUS_212DFB_AUTHORITY_RECOVERY_20260706\212DFB_MARKER_INTERLINEAR_LEDGER.csv","554","generated-draft/noncanonical/source-use/provenance/gap only; no native review, community consent, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
"212dfb1c7728f7c23274714434aa35d590e1aab7","LANE_CATEGORY_COVERAGE_AUDIT_212DFB.csv","Arabic","do-not-use","do_not_use.csv / false_friend_ledger.csv","shared-rule-present; exact lane-current-head-application-gap","produce do_not_use.csv / false_friend_ledger.csv application rows linked to lane source bodies and hashes","C:\Users\memo_\Documents\Codex\2026-07-04\noether-interlanguage-method-authority\outputs\INTERLANGUAGE_WHOLE_CORPUS_212DFB_AUTHORITY_RECOVERY_20260706\DO_NOT_USE_APPLICATION_ROWS_212DFB.csv","554","generated-draft/noncanonical/source-use/provenance/gap only; no native review, community consent, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
"212dfb1c7728f7c23274714434aa35d590e1aab7","LANE_CATEGORY_COVERAGE_AUDIT_212DFB.csv","Arabic","Interslavic-correction","Interslavic correction ledger; current State C row","not-lane-owned; monitor only","no owner-lane application unless this lane proposes Slavic/Interslavic forms","C:\Users\memo_\Documents\Codex\2026-07-04\noether-interlanguage-method-authority\outputs\INTERLANGUAGE_WHOLE_CORPUS_212DFB_AUTHORITY_RECOVERY_20260706\212DFB_BRANCH_WEIGHT_LEDGER.csv","554","generated-draft/noncanonical/source-use/provenance/gap only; no native review, community consent, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
"212dfb1c7728f7c23274714434aa35d590e1aab7","LANE_ENFORCEMENT_TABLE_212DFB.csv","Persianate/Tajik","lane-enforcement","current-head lane enforcement packet with source witness/body paths, source-use labels, branch/marginal/adverse/normalization/marker/do-not-use application rows, and draft/noncanonical boundaries","present","owner lane may begin or continue generated-draft/noncanonical rendering rows only after formula-neighboring and adverse/do-not-use checks; authority lane does not approve wording","C:\Users\memo_\Documents\Codex\2026-07-04\noether-interlanguage-method-authority\outputs\INTERLANGUAGE_WHOLE_CORPUS_33B23_ENFORCEMENT_20260706\SOURCE_WITNESS_TO_INTERLINEAR_ROUTING_QUEUE.csv","474","generated-draft/noncanonical/source-use/provenance/gap only; no native review, community consent, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
"212dfb1c7728f7c23274714434aa35d590e1aab7","LANE_ENFORCEMENT_TABLE_212DFB.csv","Arabic","lane-enforcement","current-head lane enforcement packet with source witness/body paths, source-use labels, branch/marginal/adverse/normalization/marker/do-not-use application rows, and draft/noncanonical boundaries","missing-current-212DFB-lane-specific-packet","create current-head lane packet applying branch-weight, marginal-intelligibility, source-use, adverse/do-not-use, normalization, marker-table, and formula-neighboring checks to actual lane bodies","C:\Users\memo_\Documents\Codex\2026-07-04\noether-interlanguage-method-authority\outputs\INTERLANGUAGE_WHOLE_CORPUS_33B23_ENFORCEMENT_20260706\SOURCE_WITNESS_TO_INTERLINEAR_ROUTING_QUEUE.csv","554","generated-draft/noncanonical/source-use/provenance/gap only; no native review, community consent, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
"212dfb1c7728f7c23274714434aa35d590e1aab7","BLOCKER_RECOVERY_REQUIREMENTS_212DFB.csv","Persianate/Tajik","lane-current-head-application-needed","blocker/recovery","authority-blocker-recovery-row","owner lane may begin or continue generated-draft/noncanonical rendering rows only after formula-neighboring and adverse/do-not-use checks; authority lane does not approve wording","C:\Users\memo_\Documents\Codex\2026-07-04\noether-interlanguage-method-authority\outputs\INTERLANGUAGE_WHOLE_CORPUS_212DFB_AUTHORITY_RECOVERY_20260706","474","generated-draft/noncanonical/source-use/provenance/gap only; no native review, community consent, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
"212dfb1c7728f7c23274714434aa35d590e1aab7","BLOCKER_RECOVERY_REQUIREMENTS_212DFB.csv","Arabic","lane-current-head-application-needed","blocker/recovery","authority-blocker-recovery-row","create current-head lane packet applying branch-weight, marginal-intelligibility, source-use, adverse/do-not-use, normalization, marker-table, and formula-neighboring checks to actual lane bodies","C:\Users\memo_\Documents\Codex\2026-07-04\noether-interlanguage-method-authority\outputs\INTERLANGUAGE_WHOLE_CORPUS_212DFB_AUTHORITY_RECOVERY_20260706","554","generated-draft/noncanonical/source-use/provenance/gap only; no native review, community consent, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
"212dfb1c7728f7c23274714434aa35d590e1aab7","EXACT_ARTIFACT_GAPS_212DFB.csv","Arabic","branch-weighting","branch_weight_ledger.csv","shared-rule-present; exact lane-current-head-application-gap","produce branch_weight_ledger.csv application rows linked to lane source bodies and hashes","C:\Users\memo_\Documents\Codex\2026-07-04\noether-interlanguage-method-authority\outputs\INTERLANGUAGE_WHOLE_CORPUS_212DFB_AUTHORITY_RECOVERY_20260706\212DFB_BRANCH_WEIGHT_LEDGER.csv","554","generated-draft/noncanonical/source-use/provenance/gap only; no native review, community consent, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
"212dfb1c7728f7c23274714434aa35d590e1aab7","EXACT_ARTIFACT_GAPS_212DFB.csv","Arabic","marginal-intelligibility","marginal_intelligibility.csv","shared-rule-present; exact lane-current-head-application-gap","produce marginal_intelligibility.csv application rows linked to lane source bodies and hashes","C:\Users\memo_\Documents\Codex\2026-07-04\noether-interlanguage-method-authority\outputs\INTERLANGUAGE_WHOLE_CORPUS_212DFB_AUTHORITY_RECOVERY_20260706\212DFB_MARGINAL_INTELLIGIBILITY_LEDGER.csv","554","generated-draft/noncanonical/source-use/provenance/gap only; no native review, community consent, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
"212dfb1c7728f7c23274714434aa35d590e1aab7","EXACT_ARTIFACT_GAPS_212DFB.csv","Arabic","source-use","source_use_status.csv / source_documents.csv","shared-rule-present; exact lane-current-head-application-gap","produce source_use_status.csv / source_documents.csv application rows linked to lane source bodies and hashes","C:\Users\memo_\Documents\Codex\2026-07-04\noether-interlanguage-method-authority\outputs\INTERLANGUAGE_WHOLE_CORPUS_212DFB_AUTHORITY_RECOVERY_20260706\212DFB_SOURCE_USE_LEDGER.csv","554","generated-draft/noncanonical/source-use/provenance/gap only; no native review, community consent, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
"212dfb1c7728f7c23274714434aa35d590e1aab7","EXACT_ARTIFACT_GAPS_212DFB.csv","Arabic","adverse-evidence","adverse_evidence_ledger.csv","shared-rule-present; exact lane-current-head-application-gap","produce adverse_evidence_ledger.csv application rows linked to lane source bodies and hashes","C:\Users\memo_\Documents\Codex\2026-07-04\noether-interlanguage-method-authority\outputs\INTERLANGUAGE_WHOLE_CORPUS_212DFB_AUTHORITY_RECOVERY_20260706\212DFB_ADVERSE_DO_NOT_USE_LEDGER.csv","554","generated-draft/noncanonical/source-use/provenance/gap only; no native review, community consent, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
"212dfb1c7728f7c23274714434aa35d590e1aab7","EXACT_ARTIFACT_GAPS_212DFB.csv","Arabic","normalization","normalization_decisions / forms.csv","shared-rule-present; exact lane-current-head-application-gap","produce normalization_decisions / forms.csv application rows linked to lane source bodies and hashes","C:\Users\memo_\Documents\Codex\2026-07-04\noether-interlanguage-method-authority\outputs\INTERLANGUAGE_WHOLE_CORPUS_212DFB_AUTHORITY_RECOVERY_20260706\212DFB_NORMALIZATION_LEDGER.csv","554","generated-draft/noncanonical/source-use/provenance/gap only; no native review, community consent, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
"212dfb1c7728f7c23274714434aa35d590e1aab7","EXACT_ARTIFACT_GAPS_212DFB.csv","Arabic","marker-table","marker-table / interlinear scaffolding rows","shared-rule-present; exact lane-current-head-application-gap","produce marker-table / interlinear scaffolding rows application rows linked to lane source bodies and hashes","C:\Users\memo_\Documents\Codex\2026-07-04\noether-interlanguage-method-authority\outputs\INTERLANGUAGE_WHOLE_CORPUS_212DFB_AUTHORITY_RECOVERY_20260706\212DFB_MARKER_INTERLINEAR_LEDGER.csv","554","generated-draft/noncanonical/source-use/provenance/gap only; no native review, community consent, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
"212dfb1c7728f7c23274714434aa35d590e1aab7","EXACT_ARTIFACT_GAPS_212DFB.csv","Arabic","do-not-use","do_not_use.csv / false_friend_ledger.csv","shared-rule-present; exact lane-current-head-application-gap","produce do_not_use.csv / false_friend_ledger.csv application rows linked to lane source bodies and hashes","C:\Users\memo_\Documents\Codex\2026-07-04\noether-interlanguage-method-authority\outputs\INTERLANGUAGE_WHOLE_CORPUS_212DFB_AUTHORITY_RECOVERY_20260706\DO_NOT_USE_APPLICATION_ROWS_212DFB.csv","554","generated-draft/noncanonical/source-use/provenance/gap only; no native review, community consent, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
