lane,category,required_surface,branch_head,shared_212dfb_rule_rows,shared_212dfb_source_linked_rows,lane_source_gated_rows,coverage_status,evidence_path,required_next_action,boundary,b3_route
Persianate/Tajik,adverse-evidence,adverse_evidence_ledger.csv,212dfb1c7728f7c23274714434aa35d590e1aab7,131,131,474,shared-rule-and-current-routing-present; owner-lane application still noncanonical,C:\Users\memo_\Documents\Codex\2026-07-04\noether-interlanguage-method-authority\outputs\INTERLANGUAGE_WHOLE_CORPUS_212DFB_AUTHORITY_RECOVERY_20260706\212DFB_ADVERSE_DO_NOT_USE_LEDGER.csv,fill term/register/formula-neighboring rows only under owner-lane source context,"generated-draft/noncanonical/source-use/provenance/gap only; no native review, community consent, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion",B3/package steward packages; this lane does not push and does not use GitHub Issues
Persianate/Tajik,normalization,normalization_decisions / forms.csv,212dfb1c7728f7c23274714434aa35d590e1aab7,59,59,474,shared-rule-and-current-routing-present; owner-lane application still noncanonical,C:\Users\memo_\Documents\Codex\2026-07-04\noether-interlanguage-method-authority\outputs\INTERLANGUAGE_WHOLE_CORPUS_212DFB_AUTHORITY_RECOVERY_20260706\212DFB_NORMALIZATION_LEDGER.csv,fill term/register/formula-neighboring rows only under owner-lane source context,"generated-draft/noncanonical/source-use/provenance/gap only; no native review, community consent, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion",B3/package steward packages; this lane does not push and does not use GitHub Issues
Persianate/Tajik,marker-table,marker-table / interlinear scaffolding rows,212dfb1c7728f7c23274714434aa35d590e1aab7,17,17,474,shared-rule-and-current-routing-present; owner-lane application still noncanonical,C:\Users\memo_\Documents\Codex\2026-07-04\noether-interlanguage-method-authority\outputs\INTERLANGUAGE_WHOLE_CORPUS_212DFB_AUTHORITY_RECOVERY_20260706\212DFB_MARKER_INTERLINEAR_LEDGER.csv,fill term/register/formula-neighboring rows only under owner-lane source context,"generated-draft/noncanonical/source-use/provenance/gap only; no native review, community consent, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion",B3/package steward packages; this lane does not push and does not use GitHub Issues
Persianate/Tajik,do-not-use,do_not_use.csv / false_friend_ledger.csv,212dfb1c7728f7c23274714434aa35d590e1aab7,131,131,474,shared-rule-and-current-routing-present; owner-lane application still noncanonical,C:\Users\memo_\Documents\Codex\2026-07-04\noether-interlanguage-method-authority\outputs\INTERLANGUAGE_WHOLE_CORPUS_212DFB_AUTHORITY_RECOVERY_20260706\DO_NOT_USE_APPLICATION_ROWS_212DFB.csv,fill term/register/formula-neighboring rows only under owner-lane source context,"generated-draft/noncanonical/source-use/provenance/gap only; no native review, community consent, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion",B3/package steward packages; this lane does not push and does not use GitHub Issues
Persianate/Tajik,Interslavic-correction,Interslavic correction ledger; current State C row,212dfb1c7728f7c23274714434aa35d590e1aab7,195,195,474,not-lane-owned; monitor only,C:\Users\memo_\Documents\Codex\2026-07-04\noether-interlanguage-method-authority\outputs\INTERLANGUAGE_WHOLE_CORPUS_212DFB_AUTHORITY_RECOVERY_20260706\212DFB_BRANCH_WEIGHT_LEDGER.csv,no owner-lane application unless this lane proposes Slavic/Interslavic forms,"generated-draft/noncanonical/source-use/provenance/gap only; no native review, community consent, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion",B3/package steward packages; this lane does not push and does not use GitHub Issues
OLP,branch-weighting,branch_weight_ledger.csv,212dfb1c7728f7c23274714434aa35d590e1aab7,195,195,390,shared-rule-present; exact lane-current-head-application-gap,C:\Users\memo_\Documents\Codex\2026-07-04\noether-interlanguage-method-authority\outputs\INTERLANGUAGE_WHOLE_CORPUS_212DFB_AUTHORITY_RECOVERY_20260706\212DFB_BRANCH_WEIGHT_LEDGER.csv,produce branch_weight_ledger.csv application rows linked to lane source bodies and hashes,"generated-draft/noncanonical/source-use/provenance/gap only; no native review, community consent, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion",B3/package steward packages; this lane does not push and does not use GitHub Issues
OLP,marginal-intelligibility,marginal_intelligibility.csv,212dfb1c7728f7c23274714434aa35d590e1aab7,195,195,390,shared-rule-present; exact lane-current-head-application-gap,C:\Users\memo_\Documents\Codex\2026-07-04\noether-interlanguage-method-authority\outputs\INTERLANGUAGE_WHOLE_CORPUS_212DFB_AUTHORITY_RECOVERY_20260706\212DFB_MARGINAL_INTELLIGIBILITY_LEDGER.csv,produce marginal_intelligibility.csv application rows linked to lane source bodies and hashes,"generated-draft/noncanonical/source-use/provenance/gap only; no native review, community consent, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion",B3/package steward packages; this lane does not push and does not use GitHub Issues
OLP,source-use,source_use_status.csv / source_documents.csv,212dfb1c7728f7c23274714434aa35d590e1aab7,74,74,390,shared-rule-present; exact lane-current-head-application-gap,C:\Users\memo_\Documents\Codex\2026-07-04\noether-interlanguage-method-authority\outputs\INTERLANGUAGE_WHOLE_CORPUS_212DFB_AUTHORITY_RECOVERY_20260706\212DFB_SOURCE_USE_LEDGER.csv,produce source_use_status.csv / source_documents.csv application rows linked to lane source bodies and hashes,"generated-draft/noncanonical/source-use/provenance/gap only; no native review, community consent, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion",B3/package steward packages; this lane does not push and does not use GitHub Issues
OLP,adverse-evidence,adverse_evidence_ledger.csv,212dfb1c7728f7c23274714434aa35d590e1aab7,131,131,390,shared-rule-present; exact lane-current-head-application-gap,C:\Users\memo_\Documents\Codex\2026-07-04\noether-interlanguage-method-authority\outputs\INTERLANGUAGE_WHOLE_CORPUS_212DFB_AUTHORITY_RECOVERY_20260706\212DFB_ADVERSE_DO_NOT_USE_LEDGER.csv,produce adverse_evidence_ledger.csv application rows linked to lane source bodies and hashes,"generated-draft/noncanonical/source-use/provenance/gap only; no native review, community consent, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion",B3/package steward packages; this lane does not push and does not use GitHub Issues
OLP,normalization,normalization_decisions / forms.csv,212dfb1c7728f7c23274714434aa35d590e1aab7,59,59,390,shared-rule-present; exact lane-current-head-application-gap,C:\Users\memo_\Documents\Codex\2026-07-04\noether-interlanguage-method-authority\outputs\INTERLANGUAGE_WHOLE_CORPUS_212DFB_AUTHORITY_RECOVERY_20260706\212DFB_NORMALIZATION_LEDGER.csv,produce normalization_decisions / forms.csv application rows linked to lane source bodies and hashes,"generated-draft/noncanonical/source-use/provenance/gap only; no native review, community consent, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion",B3/package steward packages; this lane does not push and does not use GitHub Issues
OLP,marker-table,marker-table / interlinear scaffolding rows,212dfb1c7728f7c23274714434aa35d590e1aab7,17,17,390,shared-rule-present; exact lane-current-head-application-gap,C:\Users\memo_\Documents\Codex\2026-07-04\noether-interlanguage-method-authority\outputs\INTERLANGUAGE_WHOLE_CORPUS_212DFB_AUTHORITY_RECOVERY_20260706\212DFB_MARKER_INTERLINEAR_LEDGER.csv,produce marker-table / interlinear scaffolding rows application rows linked to lane source bodies and hashes,"generated-draft/noncanonical/source-use/provenance/gap only; no native review, community consent, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion",B3/package steward packages; this lane does not push and does not use GitHub Issues
OLP,do-not-use,do_not_use.csv / false_friend_ledger.csv,212dfb1c7728f7c23274714434aa35d590e1aab7,131,131,390,shared-rule-present; exact lane-current-head-application-gap,C:\Users\memo_\Documents\Codex\2026-07-04\noether-interlanguage-method-authority\outputs\INTERLANGUAGE_WHOLE_CORPUS_212DFB_AUTHORITY_RECOVERY_20260706\DO_NOT_USE_APPLICATION_ROWS_212DFB.csv,produce do_not_use.csv / false_friend_ledger.csv application rows linked to lane source bodies and hashes,"generated-draft/noncanonical/source-use/provenance/gap only; no native review, community consent, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion",B3/package steward packages; this lane does not push and does not use GitHub Issues
OLP,Interslavic-correction,Interslavic correction ledger; current State C row,212dfb1c7728f7c23274714434aa35d590e1aab7,195,195,390,not-lane-owned; monitor only,C:\Users\memo_\Documents\Codex\2026-07-04\noether-interlanguage-method-authority\outputs\INTERLANGUAGE_WHOLE_CORPUS_212DFB_AUTHORITY_RECOVERY_20260706\212DFB_BRANCH_WEIGHT_LEDGER.csv,no owner-lane application unless this lane proposes Slavic/Interslavic forms,"generated-draft/noncanonical/source-use/provenance/gap only; no native review, community consent, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion",B3/package steward packages; this lane does not push and does not use GitHub Issues
CJK,branch-weighting,branch_weight_ledger.csv,212dfb1c7728f7c23274714434aa35d590e1aab7,195,195,426,shared-rule-present; exact lane-current-head-application-gap,C:\Users\memo_\Documents\Codex\2026-07-04\noether-interlanguage-method-authority\outputs\INTERLANGUAGE_WHOLE_CORPUS_212DFB_AUTHORITY_RECOVERY_20260706\212DFB_BRANCH_WEIGHT_LEDGER.csv,produce branch_weight_ledger.csv application rows linked to lane source bodies and hashes,"generated-draft/noncanonical/source-use/provenance/gap only; no native review, community consent, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion",B3/package steward packages; this lane does not push and does not use GitHub Issues
CJK,marginal-intelligibility,marginal_intelligibility.csv,212dfb1c7728f7c23274714434aa35d590e1aab7,195,195,426,shared-rule-present; exact lane-current-head-application-gap,C:\Users\memo_\Documents\Codex\2026-07-04\noether-interlanguage-method-authority\outputs\INTERLANGUAGE_WHOLE_CORPUS_212DFB_AUTHORITY_RECOVERY_20260706\212DFB_MARGINAL_INTELLIGIBILITY_LEDGER.csv,produce marginal_intelligibility.csv application rows linked to lane source bodies and hashes,"generated-draft/noncanonical/source-use/provenance/gap only; no native review, community consent, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion",B3/package steward packages; this lane does not push and does not use GitHub Issues
CJK,source-use,source_use_status.csv / source_documents.csv,212dfb1c7728f7c23274714434aa35d590e1aab7,74,74,426,shared-rule-present; exact lane-current-head-application-gap,C:\Users\memo_\Documents\Codex\2026-07-04\noether-interlanguage-method-authority\outputs\INTERLANGUAGE_WHOLE_CORPUS_212DFB_AUTHORITY_RECOVERY_20260706\212DFB_SOURCE_USE_LEDGER.csv,produce source_use_status.csv / source_documents.csv application rows linked to lane source bodies and hashes,"generated-draft/noncanonical/source-use/provenance/gap only; no native review, community consent, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion",B3/package steward packages; this lane does not push and does not use GitHub Issues
CJK,adverse-evidence,adverse_evidence_ledger.csv,212dfb1c7728f7c23274714434aa35d590e1aab7,131,131,426,shared-rule-present; exact lane-current-head-application-gap,C:\Users\memo_\Documents\Codex\2026-07-04\noether-interlanguage-method-authority\outputs\INTERLANGUAGE_WHOLE_CORPUS_212DFB_AUTHORITY_RECOVERY_20260706\212DFB_ADVERSE_DO_NOT_USE_LEDGER.csv,produce adverse_evidence_ledger.csv application rows linked to lane source bodies and hashes,"generated-draft/noncanonical/source-use/provenance/gap only; no native review, community consent, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion",B3/package steward packages; this lane does not push and does not use GitHub Issues
CJK,normalization,normalization_decisions / forms.csv,212dfb1c7728f7c23274714434aa35d590e1aab7,59,59,426,shared-rule-present; exact lane-current-head-application-gap,C:\Users\memo_\Documents\Codex\2026-07-04\noether-interlanguage-method-authority\outputs\INTERLANGUAGE_WHOLE_CORPUS_212DFB_AUTHORITY_RECOVERY_20260706\212DFB_NORMALIZATION_LEDGER.csv,produce normalization_decisions / forms.csv application rows linked to lane source bodies and hashes,"generated-draft/noncanonical/source-use/provenance/gap only; no native review, community consent, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion",B3/package steward packages; this lane does not push and does not use GitHub Issues
CJK,marker-table,marker-table / interlinear scaffolding rows,212dfb1c7728f7c23274714434aa35d590e1aab7,17,17,426,shared-rule-present; exact lane-current-head-application-gap,C:\Users\memo_\Documents\Codex\2026-07-04\noether-interlanguage-method-authority\outputs\INTERLANGUAGE_WHOLE_CORPUS_212DFB_AUTHORITY_RECOVERY_20260706\212DFB_MARKER_INTERLINEAR_LEDGER.csv,produce marker-table / interlinear scaffolding rows application rows linked to lane source bodies and hashes,"generated-draft/noncanonical/source-use/provenance/gap only; no native review, community consent, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion",B3/package steward packages; this lane does not push and does not use GitHub Issues
CJK,do-not-use,do_not_use.csv / false_friend_ledger.csv,212dfb1c7728f7c23274714434aa35d590e1aab7,131,131,426,shared-rule-present; exact lane-current-head-application-gap,C:\Users\memo_\Documents\Codex\2026-07-04\noether-interlanguage-method-authority\outputs\INTERLANGUAGE_WHOLE_CORPUS_212DFB_AUTHORITY_RECOVERY_20260706\DO_NOT_USE_APPLICATION_ROWS_212DFB.csv,produce do_not_use.csv / false_friend_ledger.csv application rows linked to lane source bodies and hashes,"generated-draft/noncanonical/source-use/provenance/gap only; no native review, community consent, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion",B3/package steward packages; this lane does not push and does not use GitHub Issues
CJK,Interslavic-correction,Interslavic correction ledger; current State C row,212dfb1c7728f7c23274714434aa35d590e1aab7,195,195,426,not-lane-owned; monitor only,C:\Users\memo_\Documents\Codex\2026-07-04\noether-interlanguage-method-authority\outputs\INTERLANGUAGE_WHOLE_CORPUS_212DFB_AUTHORITY_RECOVERY_20260706\212DFB_BRANCH_WEIGHT_LEDGER.csv,no owner-lane application unless this lane proposes Slavic/Interslavic forms,"generated-draft/noncanonical/source-use/provenance/gap only; no native review, community consent, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion",B3/package steward packages; this lane does not push and does not use GitHub Issues
Arabic,branch-weighting,branch_weight_ledger.csv,212dfb1c7728f7c23274714434aa35d590e1aab7,195,195,554,shared-rule-present; exact lane-current-head-application-gap,C:\Users\memo_\Documents\Codex\2026-07-04\noether-interlanguage-method-authority\outputs\INTERLANGUAGE_WHOLE_CORPUS_212DFB_AUTHORITY_RECOVERY_20260706\212DFB_BRANCH_WEIGHT_LEDGER.csv,produce branch_weight_ledger.csv application rows linked to lane source bodies and hashes,"generated-draft/noncanonical/source-use/provenance/gap only; no native review, community consent, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion",B3/package steward packages; this lane does not push and does not use GitHub Issues
Arabic,marginal-intelligibility,marginal_intelligibility.csv,212dfb1c7728f7c23274714434aa35d590e1aab7,195,195,554,shared-rule-present; exact lane-current-head-application-gap,C:\Users\memo_\Documents\Codex\2026-07-04\noether-interlanguage-method-authority\outputs\INTERLANGUAGE_WHOLE_CORPUS_212DFB_AUTHORITY_RECOVERY_20260706\212DFB_MARGINAL_INTELLIGIBILITY_LEDGER.csv,produce marginal_intelligibility.csv application rows linked to lane source bodies and hashes,"generated-draft/noncanonical/source-use/provenance/gap only; no native review, community consent, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion",B3/package steward packages; this lane does not push and does not use GitHub Issues
Arabic,source-use,source_use_status.csv / source_documents.csv,212dfb1c7728f7c23274714434aa35d590e1aab7,74,74,554,shared-rule-present; exact lane-current-head-application-gap,C:\Users\memo_\Documents\Codex\2026-07-04\noether-interlanguage-method-authority\outputs\INTERLANGUAGE_WHOLE_CORPUS_212DFB_AUTHORITY_RECOVERY_20260706\212DFB_SOURCE_USE_LEDGER.csv,produce source_use_status.csv / source_documents.csv application rows linked to lane source bodies and hashes,"generated-draft/noncanonical/source-use/provenance/gap only; no native review, community consent, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion",B3/package steward packages; this lane does not push and does not use GitHub Issues
Arabic,adverse-evidence,adverse_evidence_ledger.csv,212dfb1c7728f7c23274714434aa35d590e1aab7,131,131,554,shared-rule-present; exact lane-current-head-application-gap,C:\Users\memo_\Documents\Codex\2026-07-04\noether-interlanguage-method-authority\outputs\INTERLANGUAGE_WHOLE_CORPUS_212DFB_AUTHORITY_RECOVERY_20260706\212DFB_ADVERSE_DO_NOT_USE_LEDGER.csv,produce adverse_evidence_ledger.csv application rows linked to lane source bodies and hashes,"generated-draft/noncanonical/source-use/provenance/gap only; no native review, community consent, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion",B3/package steward packages; this lane does not push and does not use GitHub Issues
Arabic,normalization,normalization_decisions / forms.csv,212dfb1c7728f7c23274714434aa35d590e1aab7,59,59,554,shared-rule-present; exact lane-current-head-application-gap,C:\Users\memo_\Documents\Codex\2026-07-04\noether-interlanguage-method-authority\outputs\INTERLANGUAGE_WHOLE_CORPUS_212DFB_AUTHORITY_RECOVERY_20260706\212DFB_NORMALIZATION_LEDGER.csv,produce normalization_decisions / forms.csv application rows linked to lane source bodies and hashes,"generated-draft/noncanonical/source-use/provenance/gap only; no native review, community consent, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion",B3/package steward packages; this lane does not push and does not use GitHub Issues
Arabic,marker-table,marker-table / interlinear scaffolding rows,212dfb1c7728f7c23274714434aa35d590e1aab7,17,17,554,shared-rule-present; exact lane-current-head-application-gap,C:\Users\memo_\Documents\Codex\2026-07-04\noether-interlanguage-method-authority\outputs\INTERLANGUAGE_WHOLE_CORPUS_212DFB_AUTHORITY_RECOVERY_20260706\212DFB_MARKER_INTERLINEAR_LEDGER.csv,produce marker-table / interlinear scaffolding rows application rows linked to lane source bodies and hashes,"generated-draft/noncanonical/source-use/provenance/gap only; no native review, community consent, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion",B3/package steward packages; this lane does not push and does not use GitHub Issues
Arabic,do-not-use,do_not_use.csv / false_friend_ledger.csv,212dfb1c7728f7c23274714434aa35d590e1aab7,131,131,554,shared-rule-present; exact lane-current-head-application-gap,C:\Users\memo_\Documents\Codex\2026-07-04\noether-interlanguage-method-authority\outputs\INTERLANGUAGE_WHOLE_CORPUS_212DFB_AUTHORITY_RECOVERY_20260706\DO_NOT_USE_APPLICATION_ROWS_212DFB.csv,produce do_not_use.csv / false_friend_ledger.csv application rows linked to lane source bodies and hashes,"generated-draft/noncanonical/source-use/provenance/gap only; no native review, community consent, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion",B3/package steward packages; this lane does not push and does not use GitHub Issues
Arabic,Interslavic-correction,Interslavic correction ledger; current State C row,212dfb1c7728f7c23274714434aa35d590e1aab7,195,195,554,not-lane-owned; monitor only,C:\Users\memo_\Documents\Codex\2026-07-04\noether-interlanguage-method-authority\outputs\INTERLANGUAGE_WHOLE_CORPUS_212DFB_AUTHORITY_RECOVERY_20260706\212DFB_BRANCH_WEIGHT_LEDGER.csv,no owner-lane application unless this lane proposes Slavic/Interslavic forms,"generated-draft/noncanonical/source-use/provenance/gap only; no native review, community consent, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion",B3/package steward packages; this lane does not push and does not use GitHub Issues
Romance,branch-weighting,branch_weight_ledger.csv,212dfb1c7728f7c23274714434aa35d590e1aab7,195,195,975,shared-rule-present; exact lane-current-head-application-gap,C:\Users\memo_\Documents\Codex\2026-07-04\noether-interlanguage-method-authority\outputs\INTERLANGUAGE_WHOLE_CORPUS_212DFB_AUTHORITY_RECOVERY_20260706\212DFB_BRANCH_WEIGHT_LEDGER.csv,produce branch_weight_ledger.csv application rows linked to lane source bodies and hashes,"generated-draft/noncanonical/source-use/provenance/gap only; no native review, community consent, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion",B3/package steward packages; this lane does not push and does not use GitHub Issues
