blocker_id,lane,blocker_type,exact_checked_root,source_gated_routing_rows,next_action,boundary,b3_route
212DFB-IN-027,cross-lane standardization input,branch-input-body-download-blocker,interlanguage-sidecar/whole-corpus-authority-routing-continuation-20260706/INTERLANGUAGE_WHOLE_CORPUS_8F7D1CB_CONTINUATION_20260706/branch_inputs/010__interlanguage-sidecar__20260705__fable_chatgpt_interlingua_program_full__interlingua_program_20260704__DO_NOT_USE_LEDGER_20260704.json,,retry raw download or ask B3 to package source/provenance body,gap/recovery only; no source certification or completion,B3/package steward packages; this lane does not push and does not use GitHub Issues
212DFB-IN-028,cross-lane standardization input,branch-input-body-download-blocker,interlanguage-sidecar/whole-corpus-authority-routing-continuation-20260706/INTERLANGUAGE_WHOLE_CORPUS_8F7D1CB_CONTINUATION_20260706/branch_inputs/011__interlanguage-sidecar__20260705__fable_chatgpt_interlingua_program_full__interlingua_program_20260704__DO_NOT_USE_LEDGER_20260704.md,,retry raw download or ask B3 to package source/provenance body,gap/recovery only; no source certification or completion,B3/package steward packages; this lane does not push and does not use GitHub Issues
212DFB-IN-029,cross-lane standardization input,branch-input-body-download-blocker,interlanguage-sidecar/whole-corpus-authority-routing-continuation-20260706/INTERLANGUAGE_WHOLE_CORPUS_8F7D1CB_CONTINUATION_20260706/branch_inputs/012__interlanguage-sidecar__20260705__fable_chatgpt_interlingua_program_full__interlingua_program_20260704__user__made__flr__with__chat__web__stuff__WEIGHTED_INTELLIGIBILITY_SCORES_v3_20260704.json,,retry raw download or ask B3 to package source/provenance body,gap/recovery only; no source certification or completion,B3/package steward packages; this lane does not push and does not use GitHub Issues
212DFB-IN-030,cross-lane standardization input,branch-input-body-download-blocker,interlanguage-sidecar/whole-corpus-authority-routing-continuation-20260706/INTERLANGUAGE_WHOLE_CORPUS_8F7D1CB_CONTINUATION_20260706/branch_inputs/013__interlanguage-sidecar__20260705__fable_chatgpt_interlingua_program_full__interlingua_program_20260704__user__made__flr__with__chat__web__stuff__WEIGHTED_INTELLIGIBILITY_SCORES_v3_20260704.md,,retry raw download or ask B3 to package source/provenance body,gap/recovery only; no source certification or completion,B3/package steward packages; this lane does not push and does not use GitHub Issues
212DFB-IN-031,cross-lane standardization input,branch-input-body-download-blocker,interlanguage-sidecar/whole-corpus-authority-routing-continuation-20260706/INTERLANGUAGE_WHOLE_CORPUS_8F7D1CB_CONTINUATION_20260706/branch_inputs/014__interlanguage-sidecar__20260705__fable_chatgpt_interlingua_program_full__interlingua_program_20260704__user__made__flr__with__chat__web__stuff__enclosures__WEIGHTED_INTELLIGIBILITY_SCORES_v3_20260704.md,,retry raw download or ask B3 to package source/provenance body,gap/recovery only; no source certification or completion,B3/package steward packages; this lane does not push and does not use GitHub Issues
212DFB-IN-032,cross-lane standardization input,branch-input-body-download-blocker,interlanguage-sidecar/whole-corpus-authority-routing-continuation-20260706/INTERLANGUAGE_WHOLE_CORPUS_8F7D1CB_CONTINUATION_20260706/branch_inputs/017__interlanguage-sidecar__20260706__claude_chatgpt_interlingua_program_full_provenance_dump__interlingua_program_20260704__DO_NOT_USE_LEDGER_20260704.json,,retry raw download or ask B3 to package source/provenance body,gap/recovery only; no source certification or completion,B3/package steward packages; this lane does not push and does not use GitHub Issues
212DFB-IN-033,cross-lane standardization input,branch-input-body-download-blocker,interlanguage-sidecar/whole-corpus-authority-routing-continuation-20260706/INTERLANGUAGE_WHOLE_CORPUS_8F7D1CB_CONTINUATION_20260706/branch_inputs/018__interlanguage-sidecar__20260706__claude_chatgpt_interlingua_program_full_provenance_dump__interlingua_program_20260704__DO_NOT_USE_LEDGER_20260704.md,,retry raw download or ask B3 to package source/provenance body,gap/recovery only; no source certification or completion,B3/package steward packages; this lane does not push and does not use GitHub Issues
212DFB-IN-034,cross-lane standardization input,branch-input-body-download-blocker,interlanguage-sidecar/whole-corpus-authority-routing-continuation-20260706/INTERLANGUAGE_WHOLE_CORPUS_8F7D1CB_CONTINUATION_20260706/branch_inputs/019__interlanguage-sidecar__20260706__claude_chatgpt_interlingua_program_full_provenance_dump__interlingua_program_20260704__INTERLINGUAL_MARKER_TABLE_v3_4_20260705.csv,,retry raw download or ask B3 to package source/provenance body,gap/recovery only; no source certification or completion,B3/package steward packages; this lane does not push and does not use GitHub Issues
212DFB-IN-035,cross-lane standardization input,branch-input-body-download-blocker,interlanguage-sidecar/whole-corpus-authority-routing-continuation-20260706/INTERLANGUAGE_WHOLE_CORPUS_8F7D1CB_CONTINUATION_20260706/branch_inputs/020__interlanguage-sidecar__20260706__claude_chatgpt_interlingua_program_full_provenance_dump__interlingua_program_20260704__INTERLINGUAL_MARKER_TABLE_v3_4_20260705.json,,retry raw download or ask B3 to package source/provenance body,gap/recovery only; no source certification or completion,B3/package steward packages; this lane does not push and does not use GitHub Issues
212DFB-IN-036,cross-lane standardization input,branch-input-body-download-blocker,interlanguage-sidecar/whole-corpus-authority-routing-continuation-20260706/INTERLANGUAGE_WHOLE_CORPUS_8F7D1CB_CONTINUATION_20260706/branch_inputs/021__interlanguage-sidecar__20260706__claude_chatgpt_interlingua_program_full_provenance_dump__interlingua_program_20260704__NORMALIZATION_DECISIONS_R1_DRAFT_v1_20260705.json,,retry raw download or ask B3 to package source/provenance body,gap/recovery only; no source certification or completion,B3/package steward packages; this lane does not push and does not use GitHub Issues
212DFB-IN-037,cross-lane standardization input,branch-input-body-download-blocker,interlanguage-sidecar/whole-corpus-authority-routing-continuation-20260706/INTERLANGUAGE_WHOLE_CORPUS_8F7D1CB_CONTINUATION_20260706/branch_inputs/022__interlanguage-sidecar__20260706__claude_chatgpt_interlingua_program_full_provenance_dump__interlingua_program_20260704__NORMALIZATION_DECISIONS_R1_DRAFT_v1_20260705.md,,retry raw download or ask B3 to package source/provenance body,gap/recovery only; no source certification or completion,B3/package steward packages; this lane does not push and does not use GitHub Issues
212DFB-IN-038,cross-lane standardization input,branch-input-body-download-blocker,interlanguage-sidecar/whole-corpus-authority-routing-continuation-20260706/INTERLANGUAGE_WHOLE_CORPUS_8F7D1CB_CONTINUATION_20260706/branch_inputs/024__interlanguage-sidecar__20260706__claude_chatgpt_interlingua_program_full_provenance_dump__interlingua_program_20260704__user__made__flr__with__chat__web__stuff__WEIGHTED_INTELLIGIBILITY_SCORES_v3_20260704.json,,retry raw download or ask B3 to package source/provenance body,gap/recovery only; no source certification or completion,B3/package steward packages; this lane does not push and does not use GitHub Issues
212DFB-IN-039,cross-lane standardization input,branch-input-body-download-blocker,interlanguage-sidecar/whole-corpus-authority-routing-continuation-20260706/INTERLANGUAGE_WHOLE_CORPUS_8F7D1CB_CONTINUATION_20260706/branch_inputs/025__interlanguage-sidecar__20260706__claude_chatgpt_interlingua_program_full_provenance_dump__interlingua_program_20260704__user__made__flr__with__chat__web__stuff__WEIGHTED_INTELLIGIBILITY_SCORES_v3_20260704.md,,retry raw download or ask B3 to package source/provenance body,gap/recovery only; no source certification or completion,B3/package steward packages; this lane does not push and does not use GitHub Issues
212DFB-IN-040,cross-lane standardization input,branch-input-body-download-blocker,interlanguage-sidecar/whole-corpus-authority-routing-continuation-20260706/INTERLANGUAGE_WHOLE_CORPUS_8F7D1CB_CONTINUATION_20260706/branch_inputs/026__interlanguage-sidecar__20260706__claude_chatgpt_interlingua_program_full_provenance_dump__interlingua_program_20260704__user__made__flr__with__chat__web__stuff__enclosures__WEIGHTED_INTELLIGIBILITY_SCORES_v3_20260704.md,,retry raw download or ask B3 to package source/provenance body,gap/recovery only; no source certification or completion,B3/package steward packages; this lane does not push and does not use GitHub Issues
