entry_id,lemma,class,policy_class,variant_count,variants,branch_profile,draft_verdict,note,status,action_band,recommended_action
reg-izčezati,izčezati,vanishing_predicate,inflectional_or_orthographic_cluster,5,izcezn; izčezaje; izčezajut; izčezati; izčeznu,,"orthography/inflection cluster — normalize citation form only, no branch decision needed",,decision_input_needs_review,R3_orthographic_or_unclassified,mechanical/orthographic grouping only or needs additional evidence
reg-vměsto,vměsto,discourse_connective,inflectional_or_orthographic_cluster,5,namesto; naměsto; vmesto; vměsto; vměstě,,"orthography/inflection cluster — normalize citation form only, no branch decision needed",,decision_input_needs_review,R3_orthographic_or_unclassified,mechanical/orthographic grouping only or needs additional evidence
expresses,vyražati,proof_predicate,inflectional_or_orthographic_cluster,5,izraza; izraža; vyraza; vyraža; vyražen,,"orthography/inflection cluster — normalize citation form only, no branch decision needed",,decision_input_needs_review,R3_orthographic_or_unclassified,mechanical/orthographic grouping only or needs additional evidence
well-defined,jednoznačno oprěděljeny,proof_grammar,inflectional_or_orthographic_cluster,4,jednoznacn; jednoznačn; opredel; oprěděl,jednoznačn-: W191/S4/E0; definovan/definiran-: W135/S233/E1,"pan-root anchor: jednoznačn-, definovan/definiran-",,decision_input_needs_review,R2_pan_anchor_with_aliases,use pan-root as internal normalization key; retain branch aliases as accepted variants
reg-naležati,naležati,set_membership_predicate,inflectional_or_orthographic_cluster,4,nalez; nalež; naležati; naleži,,"orthography/inflection cluster — normalize citation form only, no branch decision needed",,decision_input_needs_review,R3_orthographic_or_unclassified,mechanical/orthographic grouping only or needs additional evidence
consequence,poslědstvije,proof_grammar,inflectional_or_orthographic_cluster,4,posledic; posledstv; poslědic; poslědstv,důsledek(cs): W142/S4/E0; konsekwencja(pl): W10/S0/E0; posledica(S): W0/S180/E0; следстви(E/bg): W0/S3/E2,"pan-root anchor: důsledek(cs); branch aliases: W=['konsekwencja(pl)'] S=['posledica(S)', 'следстви(E/bg)']",,decision_input_needs_review,R2_pan_anchor_with_aliases,use pan-root as internal normalization key; retain branch aliases as accepted variants
reg-pytanje,pytanje,discourse_noun,inflectional_or_orthographic_cluster,4,pytanja; pytanje; vprasanj; vprašanj,pytanie(pl)/pytanje-: W4/S0/E0; otázka(cs/sk): W8/S0/E0; vprašanje(sl): W0/S37/E0; pitanje(hr/sr): W0/S15/E0; вопрос/въпрос(E/bg): W0/S0/E0,"W/S doublet (F12b): keep both — W=pytanie(pl)/pytanje-, otázka(cs/sk) | S=vprašanje(sl), pitanje(hr/sr); dropping either costs that branch",,decision_input_needs_review,R1_review_doublet_required,preserve both branch variants in the review ledger; do not normalize to a single pan form without authority review
reg-rěšenje,rěšenje,math_general,inflectional_or_orthographic_cluster,4,reseno; rěšena; rěšenje; rěšeno,řešení(cs/sk): W115/S0/E0; rozwiązanie(pl): W112/S0/E0; rešitev(sl): W0/S44/E0; rješenje/rešenje(S): W0/S31/E0,"W/S doublet (F12b): keep both — W=řešení(cs/sk), rozwiązanie(pl) | S=rešitev(sl), rješenje/rešenje(S); dropping either costs that branch",,decision_input_needs_review,R1_review_doublet_required,preserve both branch variants in the review ledger; do not normalize to a single pan form without authority review
reg-sadržati,sadržati,containment_predicate,inflectional_or_orthographic_cluster,4,obsahuje; sadržati; sadrže; sadrži,,"orthography/inflection cluster — normalize citation form only, no branch decision needed",,decision_input_needs_review,R3_orthographic_or_unclassified,mechanical/orthographic grouping only or needs additional evidence
assumption-noun,prědpoloženje,proof_grammar,inflectional_or_orthographic_cluster,4,predpoloz; predpostav; prědpolož; prědpostav,předpoklad(cs/sk): W63/S0/E0; założenie(pl): W44/S0/E0; pretpostavka(S): W0/S102/E0; предполож(E/bg): W0/S4/E0,"W/S doublet (F12b): keep both — W=předpoklad(cs/sk), założenie(pl) | S=pretpostavka(S), предполож(E/bg); dropping either costs that branch",,decision_input_needs_review,R1_review_doublet_required,preserve both branch variants in the review ledger; do not normalize to a single pan form without authority review
contrary,protivno,proof_connective,inflectional_or_orthographic_cluster,4,proti; protiv; protivn; protivno,protivn-: W0/S4/E0; naopak(cs): W31/S1/E0; przeciwnie(pl): W38/S0/E0; naprotiv-: W0/S22/E0; obratno-: W0/S89/E0,"W/S doublet (F12b): keep both — W=naopak(cs), przeciwnie(pl) | S=protivn-, naprotiv-, obratno-; dropping either costs that branch",,decision_input_needs_review,R1_review_doublet_required,preserve both branch variants in the review ledger; do not normalize to a single pan form without authority review
set-put,postaviti,proof_operation,inflectional_or_orthographic_cluster,4,poloz; polož; postavi; postavim,,"orthography/inflection cluster — normalize citation form only, no branch decision needed",,decision_input_needs_review,R3_orthographic_or_unclassified,mechanical/orthographic grouping only or needs additional evidence
as-said,rečeno,proof_reference,inflectional_or_orthographic_cluster,4,receno; rečen; rečeno; rěč,,"orthography/inflection cluster — normalize citation form only, no branch decision needed",,decision_input_needs_review,R3_orthographic_or_unclassified,mechanical/orthographic grouping only or needs additional evidence
further-daljny,daljny,proof_sequence,inflectional_or_orthographic_cluster,4,daljnj; daljny; dalsi; dalši,,"orthography/inflection cluster — normalize citation form only, no branch decision needed",,decision_input_needs_review,R3_orthographic_or_unclassified,mechanical/orthographic grouping only or needs additional evidence
transfer,prěnesti,proof_operation,inflectional_or_orthographic_cluster,4,prenes; prenos; prěnes; prěnos,,"orthography/inflection cluster — normalize citation form only, no branch decision needed",,decision_input_needs_review,R3_orthographic_or_unclassified,mechanical/orthographic grouping only or needs additional evidence
form-shape,oblik,math_general,inflectional_or_orthographic_cluster,4,oblici; oblik; oblika; obliku,,"orthography/inflection cluster — normalize citation form only, no branch decision needed",,decision_input_needs_review,R3_orthographic_or_unclassified,mechanical/orthographic grouping only or needs additional evidence
curve,kriva,math_general,inflectional_or_orthographic_cluster,4,kriva; krive; krivoj; krivyh,kriv-: W8/S632/E0; krzywa(pl): W5/S0/E0,pan-root anchor: kriv-; branch aliases: W=['krzywa(pl)'] S=[],,decision_input_needs_review,R2_pan_anchor_with_aliases,use pan-root as internal normalization key; retain branch aliases as accepted variants
preceding,prědhodny,proof_reference,inflectional_or_orthographic_cluster,4,predhodn; predydu; prědhodn; prědydu,,"orthography/inflection cluster — normalize citation form only, no branch decision needed",,decision_input_needs_review,R3_orthographic_or_unclassified,mechanical/orthographic grouping only or needs additional evidence
assign,prirěditi,proof_operation,inflectional_or_orthographic_cluster,4,prirad; prirađ; prired; prirěd,,"orthography/inflection cluster — normalize citation form only, no branch decision needed",,decision_input_needs_review,R3_orthographic_or_unclassified,mechanical/orthographic grouping only or needs additional evidence
corollary-borrowed,korolar,proof_grammar,inflectional_or_orthographic_cluster,4,korolar; korolara; korolaru; korolarě,,"orthography/inflection cluster — normalize citation form only, no branch decision needed",,decision_input_needs_review,R3_orthographic_or_unclassified,mechanical/orthographic grouping only or needs additional evidence
image-obraz,obraz,curriculum_algebra,inflectional_or_orthographic_cluster,4,obraz; obraza; obrazov; obrazy,,"orthography/inflection cluster — normalize citation form only, no branch decision needed",,decision_input_needs_review,R3_orthographic_or_unclassified,mechanical/orthographic grouping only or needs additional evidence
letter-symbol,bukva,proof_grammar,inflectional_or_orthographic_cluster,4,bukva; bukvami; bukvoju; bukvy,,"orthography/inflection cluster — normalize citation form only, no branch decision needed",,decision_input_needs_review,R3_orthographic_or_unclassified,mechanical/orthographic grouping only or needs additional evidence
pass-over,prějdti,proof_sequence,inflectional_or_orthographic_cluster,4,prejd; prejti; prějd; prějti,,"orthography/inflection cluster — normalize citation form only, no branch decision needed",,decision_input_needs_review,R3_orthographic_or_unclassified,mechanical/orthographic grouping only or needs additional evidence
generality,obščnost,proof_grammar,inflectional_or_orthographic_cluster,4,obščnost; obscnost; obščejš; obscejs,,"orthography/inflection cluster — normalize citation form only, no branch decision needed",,decision_input_needs_review,R3_orthographic_or_unclassified,mechanical/orthographic grouping only or needs additional evidence
beginning,početek,proof_reference,inflectional_or_orthographic_cluster,4,početk; pocetk; počat; pocat,,"orthography/inflection cluster — normalize citation form only, no branch decision needed",,decision_input_needs_review,R3_orthographic_or_unclassified,mechanical/orthographic grouping only or needs additional evidence
reg-obći,obći,discourse_adverb,lexical_doublet_or_register_scatter,12,najobcejs; najobčejš; obcego; obcu; obće; obći; občego; obču; vobce; vobče; voobce; voobče,obecn/všeobecn(cs/sk): W86/S0/E0; ogóln(pl): W27/S0/E0; opći/opšti/obšt(S): W0/S33/E1; splošn(sl): W0/S82/E0; aguln(be): W0/S0/E3,"W/S doublet (F12b): keep both — W=obecn/všeobecn(cs/sk), ogóln(pl) | S=opći/opšti/obšt(S), splošn(sl); dropping either costs that branch",,decision_input_needs_review,R1_review_doublet_required,preserve both branch variants in the review ledger; do not normalize to a single pan form without authority review
is-called,nazyvaje se,proof_grammar,lexical_doublet_or_register_scatter,10,naziva; nazva; nazyva; nazyvaje; nazyvajut; nazyvati; zove; zovemo; zovut; zvana,nazyv/naziva-: W152/S67/E0; zove-: W0/S85/E0; imenuje(sl): W0/S96/E0; nazywa(pl): W322/S0/E0; нарича(bg): W0/S9/E0; vika(mk): W0/S0/E0,"pan-root anchor: nazyv/naziva-; branch aliases: W=['nazywa(pl)'] S=['zove-', 'imenuje(sl)', 'нарича(bg)']",,decision_input_needs_review,R2_pan_anchor_with_aliases,use pan-root as internal normalization key; retain branch aliases as accepted variants
series-sequence-red,ręd,technical_general,lexical_doublet_or_register_scatter,10,red; redu; redy; ręd; ręda; rędami; rędov; rěda; rědov; rědu,řada(cs)/!rad(sk): W31/S1/E0; szereg(pl): W9/S0/E0; niz(hr/sr): W1/S172/E0; zaporedje(sl): W0/S47/E0; !ред(order-homograph): W0/S10/E0,"W/S doublet (F12b): keep both — W=řada(cs)/!rad(sk), szereg(pl) | S=niz(hr/sr), zaporedje(sl); dropping either costs that branch","HOMOGRAPH ZONE: ред(S/E)=order/row, sk rad ambiguous, hr rad=work. Series lexemes are fully split: řada(cs)/szereg(pl)/niz(hr,sr)/zaporedje(sl) — NO pan root; ISV ręd leans E; four-way branch decision, review required.",decision_input_needs_review,R1_review_doublet_required,preserve both branch variants in the review ledger; do not normalize to a single pan form without authority review
lemma-noun,lema,proof_grammar,lexical_doublet_or_register_scatter,9,lema; lemah; leme; lemi; lemoju; lemou; lemu; lemy; lemě,lema/lemma-: W469/S112/E0; lemat(pl): W183/S1/E0,pan-root anchor: lema/lemma-; branch aliases: W=['lemat(pl)'] S=[],,decision_input_needs_review,R2_pan_anchor_with_aliases,use pan-root as internal normalization key; retain branch aliases as accepted variants
reg-prvy,prvy,ordinal,lexical_doublet_or_register_scatter,7,prva; prve; prvi; prvoj; prvom; prvu; prvy,pierwsz(pl): W106/S0/E0; první(cs)/prvý(sk): W68/S13/E0; prvi(S): W0/S68/E0; pъrv(bg): W0/S2/E0; perš(be): W0/S0/E0,pan-root anchor: první(cs)/prvý(sk); branch aliases: W=['pierwsz(pl)'] S=['prvi(S)'],,decision_input_needs_review,R2_pan_anchor_with_aliases,use pan-root as internal normalization key; retain branch aliases as accepted variants
forms-constitutes,tvori,proof_grammar,lexical_doublet_or_register_scatter,7,tvore; tvoret; tvori; tvoriti; tvorjen; utvoriti; utvorjen,tvoř/tvori-: W76/S6/E0; tworzy(pl): W24/S0/E0; formira-: W0/S72/E0; образу(E/bg): W0/S7/E0,"pan-root anchor: tvoř/tvori-; branch aliases: W=['tworzy(pl)'] S=['formira-', 'образу(E/bg)']",,decision_input_needs_review,R2_pan_anchor_with_aliases,use pan-root as internal normalization key; retain branch aliases as accepted variants
remain-ostati,ostati,proof_predicate,lexical_doublet_or_register_scatter,7,nastal; nastalo; obstava; ostaje; ostaju; ostalo; ostane,zůstá(cs): W5/S0/E0; pozostaje(pl): W44/S0/E0; ostaje/ostane(S): W1/S71/E0,"W/S doublet (F12b): keep both — W=zůstá(cs), pozostaje(pl) | S=ostaje/ostane(S); dropping either costs that branch",,decision_input_needs_review,R1_review_doublet_required,preserve both branch variants in the review ledger; do not normalize to a single pan form without authority review
body-telo-infl,tělo (algebra: body/division ring),curriculum_algebra,lexical_doublet_or_register_scatter,7,telesa; telom; telu; tělesa; tělese; tělom; tělu,těleso(cs/sk): W667/S10/E0; ciało(pl): W360/S0/E0; tijelo/telo/tjalo(S): W0/S121/E0,pan-root anchor: těleso(cs/sk); branch aliases: W=['ciało(pl)'] S=['tijelo/telo/tjalo(S)'],"concept-layer probe (ws_witness_backfill v0/v1) already typed this; register layer agrees: těleso(W-cs/sk) / ciało(pl) / tijelo-telo(S) — three-way, ISV tělo transparent to S+cs/sk, pl ciało is the odd one out.",decision_input_needs_review,R2_pan_anchor_with_aliases,use pan-root as internal normalization key; retain branch aliases as accepted variants
reg-davati,davati,proof_operation,lexical_doublet_or_register_scatter,6,dade; dati; dava; davaje; davajut; davati,dává/dava-: W25/S49/E0; daje-: W14/S30/E0,"pan-root anchor: dává/dava-, daje-",,decision_input_needs_review,R2_pan_anchor_with_aliases,use pan-root as internal normalization key; retain branch aliases as accepted variants
power-exponent,potęga,curriculum_algebra,lexical_doublet_or_register_scatter,6,poteg; potęg; stepen; stepenj; stupnja; stupnje,potęga(pl)/potenca(sl): W10/S39/E1; stepen-: W0/S267/E1; stupanj(hr): W217/S25/E0; mocnina(cs/sk): W46/S0/E0,"pan-root anchor: potęga(pl)/potenca(sl), stupanj(hr); branch aliases: W=['mocnina(cs/sk)'] S=['stepen-']","CAUTION: stup- root in W = cs/sk 'stupeň' (degree), not the power operation; operation words split mocnina(cs/sk)/potęga(pl)/степен(S+E) — three-way, no pan root.",decision_input_needs_review,R0_homograph_or_four_way_review,block automatic normalization; require context/homograph audit and reviewer decision
integral-whole,cěly,curriculum_algebra,lexical_doublet_or_register_scatter,5,cel; cěl; cěla; cělo; cělu,"cel- (pan, orthography scatter): W159/S264/E4","pan-root anchor: cel- (pan, orthography scatter)","single pan root cel- across all 9 langs — orthography scatter, not a doublet.",decision_input_needs_review,R2_pan_anchor_with_aliases,use pan-root as internal normalization key; retain branch aliases as accepted variants
reg-morati,morati,modal,lexical_doublet_or_register_scatter,5,mora; morajut; morati; muset; musi,mora-: W0/S177/E0; musi-: W145/S0/E0; treba-: W31/S100/E0,pan-root anchor: treba-; branch aliases: W=['musi-'] S=['mora-'],,decision_input_needs_review,R2_pan_anchor_with_aliases,use pan-root as internal normalization key; retain branch aliases as accepted variants
foundation-basis,osnova,proof_grammar,lexical_doublet_or_register_scatter,5,baze; bazoj; bazoju; bazě; osnov,baza-: W308/S112/E1; osnova-: W0/S519/E1,pan-root anchor: baza-; branch aliases: W=[] S=['osnova-'],,decision_input_needs_review,R2_pan_anchor_with_aliases,use pan-root as internal normalization key; retain branch aliases as accepted variants
follows-from,slěduje,proof_grammar,lexical_doublet_or_register_scatter,5,sledi; sleduj; slijedi; slěduj; vyplyva,sled-: W1/S443/E0; vyplývá(cs)/wynika(pl): W153/S0/E0; izhaja(sl): W0/S2/E0,W/S doublet (F12b): keep both — W=vyplývá(cs)/wynika(pl) | S=sled-; dropping either costs that branch,,decision_input_needs_review,R1_review_doublet_required,preserve both branch variants in the review ledger; do not normalize to a single pan form without authority review
reg-suma,suma,math_general,lexical_doublet_or_register_scatter,5,suma; sumi; sumoju; sumu; sumy,suma-: W55/S55/E0; součet(cs/sk): W216/S0/E0; vsota(sl): W0/S119/E0; zbir/sbor(S): W0/S153/E0,"pan-root anchor: suma-; branch aliases: W=['součet(cs/sk)'] S=['vsota(sl)', 'zbir/sbor(S)']",,decision_input_needs_review,R2_pan_anchor_with_aliases,use pan-root as internal normalization key; retain branch aliases as accepted variants
exists-eksist,eksistovati,existence_predicate,lexical_doublet_or_register_scatter,5,eksistenc; eksistuj; suscestvuj; suščestvuj; suščstvuj,eksist/exist-: W414/S18/E0; suščestv-: W0/S18/E3; obstaja(sl)-: W0/S218/E0; postoji-: W0/S268/E0; istnieje(pl): W272/S0/E0,"pan-root anchor: eksist/exist-; branch aliases: W=['istnieje(pl)'] S=['suščestv-', 'obstaja(sl)-', 'postoji-']","four-lexeme field: internationalism (W-tilted 414/18), istnieje (pl-only), postoji (S 268), obstaja (sl 218). suščestv- = 0 outside E. ISV doublet policy must pick coverage set, not single winner.",decision_input_needs_review,R2_pan_anchor_with_aliases,use pan-root as internal normalization key; retain branch aliases as accepted variants
zero-noun,nula,math_general,lexical_doublet_or_register_scatter,5,nula; nuli; nulou; nulu; nuly,nul-: W53/S195/E1; zero(pl): W85/S11/E0,"pan-root anchor: nul-, zero(pl)",,decision_input_needs_review,R2_pan_anchor_with_aliases,use pan-root as internal normalization key; retain branch aliases as accepted variants
length,dlugost,math_general,lexical_doublet_or_register_scatter,5,dlugost; dlugosti; dolzin; dolžin; duljin,dług(pl): W34/S0/E0; délka(cs)/dĺžka(sk): W24/S0/E0; dolžina/duljina(S): W0/S20/E1,"W/S doublet (F12b): keep both — W=dług(pl), délka(cs)/dĺžka(sk) | S=dolžina/duljina(S); dropping either costs that branch",,decision_input_needs_review,R1_review_doublet_required,preserve both branch variants in the review ledger; do not normalize to a single pan form without authority review
generates,porođati,construction_predicate,lexical_doublet_or_register_scatter,5,porada; porađa; porodza; porođaje; poroža,gener-: W52/S207/E0; porod/porađ-: W0/S14/E0; generowany/tworzy(pl): W80/S0/E0,pan-root anchor: gener-; branch aliases: W=['generowany/tworzy(pl)'] S=['porod/porađ-'],,decision_input_needs_review,R2_pan_anchor_with_aliases,use pan-root as internal normalization key; retain branch aliases as accepted variants
work-paper,dělo,proof_reference,lexical_doublet_or_register_scatter,5,dělo; děla; dělu; delo; dela,!delo-: W10/S133/E0; prác/praca(W): W46/S0/E0; !rad(hr/sr): W0/S11/E0; trud-: W8/S19/E0,"pan-root anchor: !delo-, trud-; branch aliases: W=['prác/praca(W)'] S=['!rad(hr/sr)']",delo/rad/praca all noisy homographs; treat counts as indicative only.,decision_input_needs_review,R0_homograph_or_four_way_review,block automatic normalization; require context/homograph audit and reviewer decision
take-vzeti,vzęti,proof_operation,lexical_doublet_or_register_scatter,5,vzęti; vzeti; vzęto; vzeto; vzęv,vzít/vezm(cs): W78/S0/E0; wziąć/weźm(pl): W19/S0/E0; uzeti/uzme(S): W0/S15/E0; vzeti/vzame(sl): W0/S12/E0; vzema(bg)/zeme(mk): W0/S2/E0; uzjać(be): W0/S0/E0,"W/S doublet (F12b): keep both — W=vzít/vezm(cs), wziąć/weźm(pl) | S=uzeti/uzme(S), vzeti/vzame(sl); dropping either costs that branch",,decision_input_needs_review,R1_review_doublet_required,preserve both branch variants in the review ledger; do not normalize to a single pan form without authority review
becomes,stati,proof_predicate,lexical_doublet_or_register_scatter,4,staje; stane; stati; stava,!postane/postaje-: W0/S46/E0; stává(cs): W0/S0/E0; staje się(pl): W1/S0/E0; става(bg): W0/S0/E0,S-specific only: !postane/postaje- — W transparency unverified,postan-/postaj- root also feeds 'exists (postojati)' surfaces in S — counts overlap slightly.,decision_input_needs_review,R1_branch_specific_unbalanced,record as branch-specific; seek missing branch evidence before normalizing
type,tip,math_general,lexical_doublet_or_register_scatter,4,tipa; tipov; tipu; tipy,typ(W): W81/S2/E2; tip(S/E): W0/S23/E0,W/S doublet (F12b): keep both — W=typ(W) | S=tip(S/E); dropping either costs that branch,"same lexeme, orthography split typ(W)/tip(S,E) — normalize citation form only.",decision_input_needs_review,R1_review_doublet_required,preserve both branch variants in the review ledger; do not normalize to a single pan form without authority review
however,však,proof_connective,lexical_doublet_or_register_scatter,4,ipak; odnako; vsak_however; však,však-: W40/S0/E0; jednak(pl): W19/S58/E0; ipak-: W0/S9/E0; međutim-: W0/S0/E0; vendar(sl): W0/S55/E0; obače/odnako-: W0/S0/E0; megjutoa(mk): W0/S0/E0,W/S doublet (F12b) after homograph correction — see note,"AUDITOR CORRECTION: 'jednak' S-hits are hr/sr 'jednak'=EQUAL (homograph of pl jednak=however) — false pan signal. Real structure: W=však/totiž vs S=ipak/vendar/međutim → W/S doublet (F12b), not pan.",decision_input_needs_review,R1_review_doublet_required,preserve both branch variants in the review ledger; do not normalize to a single pan form without authority review
reduce-to,svesti,proof_operation,lexical_doublet_or_register_scatter,4,svede; svedeno; svesti; svodi,sved/svod-: W0/S72/E0; reduk/reduc-: W9/S31/E1; sprowadz(pl): W12/S0/E0; převést(cs): W5/S15/E0,"pan-root anchor: reduk/reduc-, převést(cs); branch aliases: W=['sprowadz(pl)'] S=['sved/svod-']",,decision_input_needs_review,R2_pan_anchor_with_aliases,use pan-root as internal normalization key; retain branch aliases as accepted variants
inner,vnutrny,math_general,lexical_doublet_or_register_scatter,4,unutar; vnitrn; vnitřn; vnutrn,vnutr/vnitř-: W5/S16/E0; wewnętrzny(pl): W17/S0/E0; unutar/notranj(S): W0/S85/E0,pan-root anchor: vnutr/vnitř-; branch aliases: W=['wewnętrzny(pl)'] S=['unutar/notranj(S)'],,decision_input_needs_review,R2_pan_anchor_with_aliases,use pan-root as internal normalization key; retain branch aliases as accepted variants
weight-of-form,vaga,noether_corpus,lexical_doublet_or_register_scatter,4,vaga; vagi; vagoju; vag,vaga/váha(W+be): W0/S0/E13; teža/težina/teglo(S): W0/S17/E0; вес(E): W0/S0/E0,S-specific only: teža/težina/teglo(S),vaga/váha/waga = W+be lexeme; S uses teža/težina/тегло — W/S doublet on a Noether-stratum term (vaga was a held-word win; this confirms its W+be currency).,decision_input_needs_review,R1_branch_specific_unbalanced,record as branch-specific; seek missing branch evidence before normalizing
pair,par,math_general,lexical_doublet_or_register_scatter,4,pary; paru; parov; parami,!par- (steam/couple homographs): W95/S170/E0; dvojice(cs): W49/S0/E0,W-specific only: dvojice(cs),par- counts include steam/couple homographs (flagged); dvojice(cs) is the W math-register alternative.,decision_input_needs_review,R0_homograph_or_four_way_review,block automatic normalization; require context/homograph audit and reviewer decision
reg-dopuščati,dopuščati,modal/proof_predicate,variant_scatter_review,7,dopusca; dopuska; dopuskaje; dopusča; dopušća; dopušča; dopuščati,dopušt/dopuszcz-: W3/S1/E0; připouští(cs): W0/S0/E0,W-specific only: dopušt/dopuszcz-,,decision_input_needs_review,R1_branch_specific_unbalanced,record as branch-specific; seek missing branch evidence before normalizing
reg-odnovrěmenno,odnovrěmenno,discourse_adverb,variant_scatter_review,5,istocasno; istočasno; odnovocasno; odnovočasno; odnovrěmenno,odnovremen-: W0/S0/E0; istočasno/istovremeno-: W0/S33/E0; současně/zároveň(cs): W57/S0/E0; jednocześnie(pl): W3/S0/E0,"W/S doublet (F12b): keep both — W=současně/zároveň(cs), jednocześnie(pl) | S=istočasno/istovremeno-; dropping either costs that branch",,decision_input_needs_review,R1_review_doublet_required,preserve both branch variants in the review ledger; do not normalize to a single pan form without authority review
case-instance,slučaj,proof_grammar,variant_scatter_review,5,padě; pripad; slucaj; slućaj; slučaj,slučaj-: W0/S97/E1; případ-: W200/S31/E0; primer(sl!collides-example): W0/S637/E0,W/S doublet (F12b) after homograph correction — see note,sl 'primer' collides with 'example' — S count inflated; slučaj is the honest S anchor (97). AUDITOR CORRECTION: 'případ-' S-hits are hr 'pripada'=belongs (homograph) — false pan signal. Real structure: W=případ/przypadek vs S=slučaj → W/S doublet (F12b). sl 'primer' collision already noted.,decision_input_needs_review,R1_review_doublet_required,preserve both branch variants in the review ledger; do not normalize to a single pan form without authority review
