concept_id,concept,stratum,fill_status_recommendation,es_forms,fr_forms,es_count,fr_count,first_es_file,first_fr_file
C2-ground_form,ground form,noether_corpus,witness_candidate_sourcebody_context_review,forma fundamental,,103,0,sources/es_apuntes_uam_infomat/apuntes-c67591e4e78aaf31bc5335e5a4ef6ca2cb436447/Geometria Diferencial/tex/GD_V_GeometriaRiemann.tex,
C2-invariant_theory,invariant theory,noether_corpus,witness_candidate_sourcebody_context_review,teoría de invariantes; teoria de invariantes,théorie des invariants; theorie des invariants,4,2,sources/es_notas_san_salvador/notas-san-salvador-1af5935f72a3533f03e28c70a142464e03c8e401/algebra-2018/12-anillos-conmutativos.tex,sources/fr_es_expanded_validated/tex_corpus_expanded_validated_20260628/french/math_0107137v2/2002-20.tex
C2-modulus,modulus,noether_corpus,witness_candidate_sourcebody_context_review,módulo; modulo,module; modulo,1968,1891,sources/es_apuntes_uam_infomat/apuntes-c67591e4e78aaf31bc5335e5a4ef6ca2cb436447/Algebra Conmutativa/tex/2_AnillosII.tex,sources/fr_es_compact_corpus/tex_corpus/french/0611861v1/0611861_unpacked/article3-introb.tex
C2-reduction,reduction,noether_corpus,witness_candidate_sourcebody_context_review,reducción; reduccion; reducciones,réduction; reduction; réductions; reductions,502,112,sources/es_apuntes_uam_infomat/apuntes-c67591e4e78aaf31bc5335e5a4ef6ca2cb436447/Algebra Conmutativa/tex/1_AnillosI.tex,sources/fr_es_compact_corpus/tex_corpus/french/1605.01289v1/Local_dim_2_04_05_2016.tex
C2-relatively_complete_system,relatively complete system,noether_corpus,gap_after_probe,,,0,0,,
C2-resultant,resultant,noether_corpus,witness_candidate_sourcebody_context_review,resultante; resultantes,résultante; resultante,76,16,sources/es_apuntes_uam_infomat/apuntes-c67591e4e78aaf31bc5335e5a4ef6ca2cb436447/Analisis Matematico/CALII/CALII.tex,sources/fr_es_expanded_validated/tex_corpus_expanded_validated_20260628/spanish/github_alexey-beshenov_cimat-tna/3-algebra-lineal.tex
C2-ternary_form,ternary form,noether_corpus,gap_after_probe,,,0,0,,
C2-transvection,transvection,noether_corpus,gap_after_probe,,,0,0,,
C2-assumption,assumption,proof_grammar,witness_candidate_sourcebody_context_review,hipótesis; hipotesis; suposición; suposicion,hypothèse; hypothese; hypothèses; hypotheses,1870,788,sources/es_apuntes_uam_infomat/apuntes-c67591e4e78aaf31bc5335e5a4ef6ca2cb436447/Algebra Conmutativa/tex/1_AnillosI.tex,sources/fr_es_compact_corpus/tex_corpus/french/1508.04495v1/1508_unpacked/chapitre2.tex
C2-corollary,corollary,proof_grammar,witness_candidate_sourcebody_context_review,corolario; corolarios,corollaire; corollaires,359,831,sources/es_apuntes_uam_infomat/apuntes-c67591e4e78aaf31bc5335e5a4ef6ca2cb436447/Algebra Conmutativa/tex/1_AnillosI.tex,sources/fr_es_compact_corpus/tex_corpus/french/0605499v2/indice1.tex
C2-equation,equation,proof_grammar,witness_candidate_sourcebody_context_review,ecuación; ecuacion; ecuaciones,équation; equation; équations; equations,4656,3948,sources/es_apuntes_uam_infomat/apuntes-c67591e4e78aaf31bc5335e5a4ef6ca2cb436447/Algebra Conmutativa/tex/2_AnillosII.tex,sources/fr_es_compact_corpus/tex_corpus/french/0611861v1/0611861_unpacked/f-nab.tex
C2-example,example,proof_grammar,witness_candidate_sourcebody_context_review,ejemplo; ejemplos,exemple; exemples,4826,755,sources/es_apuntes_uam_infomat/apuntes-c67591e4e78aaf31bc5335e5a4ef6ca2cb436447/Algebra Conmutativa/tex/1_AnillosI.tex,sources/fr_es_compact_corpus/tex_corpus/french/0605499v2/indice1.tex
C2-exercise,exercise,proof_grammar,witness_candidate_sourcebody_context_review,ejercicio; ejercicios,exercice; exercices,2391,42,sources/es_apuntes_uam_infomat/apuntes-c67591e4e78aaf31bc5335e5a4ef6ca2cb436447/Algebra Conmutativa/tex/1_AnillosI.tex,sources/fr_es_compact_corpus/tex_corpus/french/1508.04495v1/1508_unpacked/chapitre1.tex
C2-formula,formula,proof_grammar,witness_candidate_sourcebody_context_review,fórmula; formula; fórmulas; formulas,formule; formules,2536,250,sources/es_apuntes_uam_infomat/apuntes-c67591e4e78aaf31bc5335e5a4ef6ca2cb436447/Analisis Funcional/AnalisisFuncional.tex,sources/fr_es_compact_corpus/tex_corpus/french/0605499v2/indice1.tex
C2-notation,notation,proof_grammar,witness_candidate_sourcebody_context_review,notación; notacion,notation,1046,166,sources/es_apuntes_uam_infomat/apuntes-c67591e4e78aaf31bc5335e5a4ef6ca2cb436447/Algebra Conmutativa/tex/1_AnillosI.tex,sources/fr_es_compact_corpus/tex_corpus/french/0611861v1/0611861_unpacked/art-djament-3.tex
C2-problem,problem,proof_grammar,witness_candidate_sourcebody_context_review,problema; problemas,problème; probleme; problèmes; problemes,3111,154,sources/es_apuntes_uam_infomat/apuntes-c67591e4e78aaf31bc5335e5a4ef6ca2cb436447/Algebra Conmutativa/tex/AlgebraConmutativa_Ejs.tex,sources/fr_es_compact_corpus/tex_corpus/french/1508.04495v1/1508_unpacked/annexeB.tex
C2-proposition,proposition,proof_grammar,witness_candidate_sourcebody_context_review,proposición; proposicion; proposiciones,proposition; propositions,1584,1884,sources/es_apuntes_uam_infomat/apuntes-c67591e4e78aaf31bc5335e5a4ef6ca2cb436447/Algebra Conmutativa/tex/1_AnillosI.tex,sources/fr_es_compact_corpus/tex_corpus/french/0605499v2/indice1.tex
C2-relation,relation,proof_grammar,witness_candidate_sourcebody_context_review,relación; relacion; relaciones,relation; relations,1687,508,sources/es_apuntes_uam_infomat/apuntes-c67591e4e78aaf31bc5335e5a4ef6ca2cb436447/Algebra Conmutativa/tex/1_AnillosI.tex,sources/fr_es_compact_corpus/tex_corpus/french/0611861v1/0611861_unpacked/grom.tex
C2-statement,statement,proof_grammar,witness_candidate_sourcebody_context_review,enunciado; enunciados,énoncé; enonce; énoncés; enonces,428,232,sources/es_apuntes_uam_infomat/apuntes-c67591e4e78aaf31bc5335e5a4ef6ca2cb436447/Algebra Conmutativa/tex/4_Tma_ceros_Hilbert.tex,sources/fr_es_compact_corpus/tex_corpus/french/1508.04495v1/1508_unpacked/chapitre1.tex
