"delta_id","category","manager_baseline","selected_sga1_form","rejected_regression_category","evidence_channel","scope","status"
"N-038","source-defect logical criterion","apply a cited theorem with every required hypothesis and disclose any source-original omission","surjective étale and radicial with immediate source-defect note","surjective and radicial without étale; silent correction","I.5.1 requires étale and radicial for an open immersion; surjectivity then gives an isomorphism; the nilpotent closed immersion Spec(k) to Spec(k[epsilon]/epsilon^2) disproves the uncorrected criterion","I.5 Corollary I.5.3","closed_source_defect_corrected_disclosed_independent_pass"
"N-039","historical unit register","retain number for French numéro in Grothendieck's editorial discussion","number","section as an unmarked modernization","the repeated editorial argument concerns preserving the present numbered unit at this location","I.6 opening lines 1171-1177","closed_source_checked_independent_pass"
"N-040","coined historical terminology","preserve the source coinage multiplodoque in italics","multiplodoque","multiplodocus","the coined French project name is source content and needs no Latinizing normalization","I.6 opening lines 1171-1177","closed_source_checked_independent_pass"
"N-041","mathematical adjective capitalization","use lowercase noetherian and artinian in running English","noetherian; artinian","Noetherian; Artinian","the lowercase forms match the cumulative SGA English convention and do not change named-object content","I.6 Theorem I.6.1 and I.6.2 justification","closed_source_checked_independent_pass"
"N-042","proof hierarchy","preserve source-unheaded proof continuations and do not add QED","plain fully-faithful bridge; unheaded A/m^n reduction; unheaded essential-surjectivity continuation","added proof heading or QED","the French TeX and original print show no proof environment or printed closure in I.6","I.6 lines 1190-1215","closed_source_structure_checked_independent_pass"
"N-043","category description and emphasis","preserve the source order and emphasis of the target category","algebras of finite rank and separable over k","separable k-algebras of finite rank as the selected final form","French lines 1185-1187 emphasize de rang fini séparables and independent review requested exact order","I.6 Theorem I.6.1","closed_source_checked_independent_pass"
"N-044","bounded forward-reference rendering","retain the correct locator while avoiding an undefined TeX reference to an excluded later unit","plain no. I.7 in the bounded cumulative target","undefined ref I.7 warning or deletion of the locator","the French locator is unambiguous and the current clean build ends before I.7","I.6 opening line 1175","closed_build_safe_source_checked_independent_pass"
"N-045","source proof compression","record standard omitted steps without inserting source-external explanations into the body","retain the concise source proof and ledger both standard ellipses as noncorrective","classify either compression as a defect or add an unmarked proof note","independent review found both steps standard valid and unambiguous","I.6 lines 1208-1215","closed_noncorrective_independent_pass"
"N-046","running technical term","use unramified as the SGA-wide English form while preserving historical variants in notes","unramified","net as unmarked running terminology","French non ramifié and established SGA English convention; controls are not authority","I.7 throughout","closed_source_checked_independent_pass"
"N-047","capitalization","lowercase noetherian in ordinary prose","noetherian","Noetherian mid-sentence","manager-controlled SGA-wide normalization baseline and French context","I.7 Proposition I.7.1 and Theorem I.7.6","closed_source_checked_independent_pass"
"N-048","calculus terminology","use formal derivative for the derivative of a polynomial","formal derivative","derived polynomial","French dérivé and standard algebraic English; formula review preserves every prime","I.7 lines 1223-1231 and 1408-1426","closed_source_checked_independent_pass"
"N-049","commutative-algebra term","use different ideal for the ideal defined by the universal derivation","different ideal with its formula retained","discriminant as a substitution","French idéal différente and the exact Omega quotient formula distinguish the construction","I.7 Corollary I.7.2","closed_source_checked_independent_pass"
"N-050","prime-ideal relation","use contraction for trace of an ideal under a ring map","contraction","trace","standard English avoids confusion with field trace and matches the displayed preimage relation","I.7 Proposition I.7.1","closed_source_checked_independent_pass"
"N-051","source hierarchy","preserve headed and unheaded source units without imported proof wrappers or QED","exact source hierarchy and no QED","candidate-added proof wrappers and QED symbols","French TeX environment sequence and original print were audited unit by unit","I.7 complete unit","closed_source_checked_independent_pass"
"N-052","mathematical typography","render schemes rings ideals primes and localizations in TeX mathematics","mathematical TeX with exact primes and subscripts","code-formatted or plaintext formulas","formula-sensitive source comparison and final render audit","I.7 complete unit","closed_source_checked_independent_pass"
"N-053","source-register disclosure","preserve unusual source register in an explicit editorial note while keeping technical body prose standard","jargon in disclosure and surjective homomorphism in body","silent deletion or unmarked jargon in body","French line 1378 and independent terminology review","I.7 Theorem I.7.6 proof","closed_source_checked_independent_pass"
"N-054","compound spelling","use closed semilocal as one word","semilocal","semi-local","established mathematical English and SGA-wide spelling policy","I.7 starred remark","closed_source_checked_independent_pass"
"N-055","algebra terminology","use monogenic for generated by one element","monogenic","monogenous","standard algebraic English and established SGA-wide choice","I.7 starred remark","closed_source_checked_independent_pass"
"N-056","logical connective","render c'est-à-dire as that is where it asserts an equivalent reformulation","that is must induce","or must induce","French lines 1460-1466 and independent correction recheck","I.7 final localization argument","closed_source_checked_independent_pass"
