"record_id","record_type","lineage_group","revision_or_unit","measurement","sha256_or_commit","evidence_basis","rights_or_quality_caveat","classification"
"TH_SNAPSHOT","frozen_control","HOSGOOD_DERIVATIVE_LINEAGE","HEAD c4fd0e8","113 tracked files","DE7BC923FE5BDA51CD253561ABFA4A47A391FD4EFD40FB4BF6F3A62FF12110AA","tar and expanded tree agree","personal-use comparison witness excluded from payload","verified_control_only"
"TH_USAGE_NOTICE","usage_notice","HOSGOOD_DERIVATIVE_LINEAGE","accessed 2026-07-18","web notice","https://thosgood.net/translations/","author translation page and tracked repository","not generally fully proofread and personal-use only","verified_notice"
"JCR_TEX","external_english_control","JCREINHOLD_LLM_LINEAGE","recovered snapshot","1026712 bytes","231178EAD9F0F73959342018FC1998277D1FBAA12AE25655B180B0833899FCC0","internal provenance header","LLM-derived and not mathematically proofed","verified_control_only"
"JCR_PDF","external_visual_control","JCREINHOLD_LLM_LINEAGE","recovered snapshot","321 pages and 1258496 bytes","AF6AA94AC6489F1FA75495FC25727193631E3C281D752389C0A4A93A0DB21ABF","page count and file hash","compiled appearance does not establish provenance or source alignment","verified_control_only"
"JM_COV_I01","coverage","HOSGOOD_DERIVATIVE_LINEAGE","Exposé I opening and I.1","8 nonblank I.1 body lines plus opening sentence","29ac35daa1c5096203eb89377ce008c59c717dc1","tracked body count and unresolved-marker audit","incomplete and not source-reviewed","control_only_not_reviewed"
"JM_COV_I02","coverage","HOSGOOD_DERIVATIVE_LINEAGE","I.2","17 nonblank body lines","29ac35daa1c5096203eb89377ce008c59c717dc1","tracked body count","unresolved markers remain","incomplete_control"
"JM_COV_I03","coverage","HOSGOOD_DERIVATIVE_LINEAGE","I.3","65 nonblank body lines","29ac35daa1c5096203eb89377ce008c59c717dc1","tracked body count","unresolved markers and malformed expressions remain","incomplete_control"
"JM_COV_I04","coverage","HOSGOOD_DERIVATIVE_LINEAGE","I.4","65 nonblank body lines","29ac35daa1c5096203eb89377ce008c59c717dc1","tracked body count","unresolved wording remains","incomplete_control"
"JM_COV_I05","coverage","HOSGOOD_DERIVATIVE_LINEAGE","I.5","5 nonblank body lines","29ac35daa1c5096203eb89377ce008c59c717dc1","tracked body count","abandoned start","fragment"
"JM_COV_I06_I11","coverage","HOSGOOD_DERIVATIVE_LINEAGE","I.6-I.11","zero headings and zero bodies","29ac35daa1c5096203eb89377ce008c59c717dc1","tracked tree audit","absent","absent"
"JM_COV_VI0","coverage","HOSGOOD_DERIVATIVE_LINEAGE","VI.0","14 nonblank body lines","29ac35daa1c5096203eb89377ce008c59c717dc1","tracked body count","not source-reviewed here","control_only"
"JM_COV_VI1","coverage","HOSGOOD_DERIVATIVE_LINEAGE","VI.1","22 nonblank body lines","29ac35daa1c5096203eb89377ce008c59c717dc1","tracked body count","not source-reviewed here","control_only"
"JM_COV_VI2_VI7","coverage","HOSGOOD_DERIVATIVE_LINEAGE","VI.2-VI.7","headings with zero body lines","29ac35daa1c5096203eb89377ce008c59c717dc1","tracked tree audit","headings do not establish coverage","stubs"
"JM_COV_VI8","coverage","HOSGOOD_DERIVATIVE_LINEAGE","VI.8","124 nonblank body lines","29ac35daa1c5096203eb89377ce008c59c717dc1","tracked body count","not source-reviewed here","control_only"
"JM_COV_VI9_VI13","coverage","HOSGOOD_DERIVATIVE_LINEAGE","VI.9-VI.13","zero headings and zero bodies","29ac35daa1c5096203eb89377ce008c59c717dc1","tracked tree audit","absent","absent"
"JM_COV_OTHER","coverage","HOSGOOD_DERIVATIVE_LINEAGE","II-V and VIII-XIII","title-only files of 128-185 bytes","29ac35daa1c5096203eb89377ce008c59c717dc1","tracked byte counts","compiled PDF cannot expand coverage","stubs"
"TH_COV_FRONT","coverage","HOSGOOD_DERIVATIVE_LINEAGE","foreword and introduction","4523-byte foreword and 15766-byte introduction","c4fd0e84d4387a6d6f337efaf31cbd9788ed4ff7","tracked byte counts","not generally fully proofread","control_only"
"TH_COV_I","coverage","HOSGOOD_DERIVATIVE_LINEAGE","I.1-I.11","eleven non-stub editable unit files","c4fd0e84d4387a6d6f337efaf31cbd9788ed4ff7","tracked tree audit","same translator lineage as earlier repository","control_only_not_independent"
"TH_COV_II","coverage","HOSGOOD_DERIVATIVE_LINEAGE","II.1-II.5","title-only files of 133 159 142 164 and 141 bytes","c4fd0e84d4387a6d6f337efaf31cbd9788ed4ff7","tracked byte counts","status metadata overstates II.1-II.3 coverage","stubs_status_overclaim"
"TH_COV_III_XIII","coverage","HOSGOOD_DERIVATIVE_LINEAGE","III-XIII","zero SGA1 unit bodies","c4fd0e84d4387a6d6f337efaf31cbd9788ed4ff7","tracked tree audit","planned headings do not establish coverage","absent"
"JCR_COVERAGE","coverage","JCREINHOLD_LLM_LINEAGE","full-volume-looking TeX and PDF","1026712-byte TeX and 321-page PDF","231178EAD9F0F73959342018FC1998277D1FBAA12AE25655B180B0833899FCC0","internal header page count and file hash","no unitwise provenance or source audit","control_only_coverage_unproven"
"FR_ORIGINAL_PRINT_SCAN","source_witness","FRENCH_ORIGINAL_PRINT","original print audited through physical pp.24 / printed Expose I p.13","44035689 bytes and 464 image-only pages","B97308E4DA3542CDCA400FD965B59033F8E236D76D0B7102F8D76FEFB8ADB7E0","bounded visual adjudication through I.7; scan and all derivatives excluded from payload","scan and all derivatives excluded from public payload; no rights conclusion","audit_only_source_witness"
"JCR_CURRENT","external_candidate","JCREINHOLD_LLM_LINEAGE","commit e7a259f3f8608ad3edf9bf6eead3fd504dd2d23e","19 SGA1 Markdown files with declared full readable scope","978FB9CE9313F0AAED37E945234A0E2A11234321366E3713747FDFEB5BC40636","current archive README LICENSE and measured inventory","LLM-generated target-language candidate; CC BY 4.0 claim covers translation only; no source corroboration","control_only_not_independent"
"FR_SLICE_I_5","source_slice","FRENCH_ARXIV_AUTHORITY","Expose I section I.5 lines 952-1167","8131 LF-normalized bytes","4E0A4AA4FBB2C5F74E83C626A1DCCF0D20456E28922F65F08E5AD7016824F285","exact source-unit receipt against arXiv math/0206203v2 French TeX","hash and coordinates only; French source body excluded from payload","verified_authority_slice_not_distributed"
"FR_SLICE_I_6","source_slice","FRENCH_ARXIV_AUTHORITY","Expose I section I.6 lines 1168-1216","1983 LF-normalized bytes","7F9831D26582DB33861D2C9D48F6DD09C6956F639C566A92FAFA0514F08DDFCD","exact source-unit receipt against arXiv math/0206203v2 French TeX","hash and coordinates only; French source body excluded from payload","verified_authority_slice_not_distributed"
"FR_SLICE_I_7","source_slice","FRENCH_ARXIV_AUTHORITY","Expose I section I.7 lines 1217-1492","11657 LF-normalized bytes","3D058327D83BC14D60A40BC46AA3B468BAD9D31AB0A749598EE70CEF7F2112F4","exact source-unit receipt against arXiv math/0206203v2 French TeX","hash and coordinates only; French source body excluded from payload","verified_authority_slice_not_distributed"
"ORIG_SCAN_SGA1_I7","original_print_audit_witness","ORIGINAL_FRENCH_PRINT_LINEAGE","physical pp.21-24 / printed Expose I pp.10-13","2593116 bytes","7898CBEABA04C4BF1DFF6D784B6366103EEA482F724BAFA594BE791AD4AEE1F6","bounded pagination hierarchy formula diagram and shared-defect adjudication","audit witness only; scan and derivatives excluded from payload","verified_audit_only_not_distributed"
"COV-022","external_candidate_coverage","HOSGOOD_DERIVATIVE_LINEAGE","SGA1 I.7","absent; 12973-byte Exposé I chapter SHA 5607E758966B31A5DB558C33506CB0A60413F7295B0F506F7215888C65CFF8B3 stops before I.7","not_applicable","repository and chapter filenames do not establish body coverage","target-language comparison control only; never source authority or independent corroboration","absent_verified"
"COV-023","external_candidate_coverage","HOSGOOD_DERIVATIVE_LINEAGE","SGA1 I.7","substantive target-language control; 12058-byte tree SHA 934172CFF13378BDE495776DD14A24747728ECB35E69A9C7E6749AB8B9D98C1D spans the bounded unit","not_applicable","correlated with JM lineage and contains hierarchy terminology and source-defect regressions","target-language comparison control only; never source authority or independent corroboration","control_only_source_compared"
"COV-024","external_candidate_coverage","JCREINHOLD_LLM_LINEAGE","SGA1 I.7","substantive current Markdown control; whole file 68737 bytes SHA 9F9D34E6D38B5730E9C3A248245AB775CB342EBA524D134CF317FDB00FC7541A; I.7 slice lines 478-660 is 10103 bytes SHA 9690E08683FAC96C532224DDE20C028E2F5D0DF01E4AFC4AEF69365EE27B0438","not_applicable","one LLM lineage; omits diagram and corrupts some notation; never source evidence","target-language comparison control only; never source authority or independent corroboration","control_only_source_compared"
"COV-025","external_candidate_coverage","JCREINHOLD_LLM_LINEAGE","SGA1 I.7","stale TeX-conversion control; whole file 1026712 bytes SHA 231178EAD9F0F73959342018FC1998277D1FBAA12AE25655B180B0833899FCC0; I.7 slice lines 1123-1342 is 10564 bytes SHA 429B071884FDE21DFFE88362F1412956077E2A201958B1C9483C76073D389D1A","not_applicable","same lineage as current Markdown and contains poor conversion constructs; no independent agreement","target-language comparison control only; never source authority or independent corroboration","stale_control_only_source_compared"
