file,start_line,end_line,chars,possible_translated_python_keywords,sample
iq_files.rst,171,172,0,,
iq_files.rst,196,197,0,,
iq_files.rst,202,203,0,,
iq_files.rst,241,242,0,,
iq_files.rst,267,268,0,,
iq_files.rst,318,340,504,,"    { |         ""collection"": { |             ""core:version"": ""1.2.0"", |             ""core:description"": ""a 4-element phased array recording"", |             ""core:streams"": [ |                 { |                     ""name"": ""channe"
iq_files.rst,355,364,421,\bякщо\b,"    import tarfile |     import os |  |     target_dir = '/mnt/c/Users/marclichtman/Downloads/exampletar/' # SigMF файли тут |     with tarfile.open(os.path.join(target_dir, '4_element_recording.sigmf'), 'x') as tar: # x означає"
iq_files.rst,367,378,470,,    import tarfile |     import json |  |     collection_file = '/mnt/c/Users/marclichtman/Downloads/exampletar/4_element_recording.sigmf' |     tar_obj = tarfile.open(collection_file) |     print(tar_obj.getnames()) # список рядк
iq_files.rst,381,393,477,\bв\b,    import tarfile |     import numpy as np |  |     collection_file = '/mnt/c/Users/marclichtman/Downloads/exampletar/4_element_recording.sigmf' |     tar_obj = tarfile.open(collection_file) |     channel_0_data_f = tar_obj.extra
noise.rst,63,64,0,,
noise.rst,76,77,0,,
noise.rst,138,139,0,,
noise.rst,170,171,0,,
noise.rst,176,177,0,,
noise.rst,182,183,0,,
noise.rst,188,189,0,,
noise.rst,205,206,0,,
pulse_shaping.rst,154,174,492,\bдля\b;\bв\b,"    import numpy as np |     import matplotlib.pyplot as plt |     з scipy імпортуємо сигнал |  |     num_symbols = 10 |     sps = 8 |  |     bits = np.random.randint(0, 2, num_symbols) # Наші дані для передачі, 1 та 0 |  |     x = np.arr"
pulse_shaping.rst,182,183,0,,
pulse_shaping.rst,190,202,411,,"    # Створюємо наш фільтр підвищеного косинуса |     num_taps = 101 |     beta = 0.35 |     Ts = sps # Припустимо, що частота дискретизації дорівнює 1 Гц, період дискретизації дорівнює 1, період *символу* дорівнює 8 |     t = n"
pulse_shaping.rst,211,221,302,,"    # Фільтруємо наш сигнал, щоб застосувати формування імпульсу |     x_shaped = np.convolve(x, h) |     plt.figure(2) |     plt.plot(x_shaped, '.-') |     for i in range(num_symbols): |         plt.plot([i*sps+num_taps//2,i*sps+"
sampling.rst,321,322,0,,
sampling.rst,328,329,0,,
sampling.rst,352,353,0,,
sampling.rst,364,365,0,,
sampling.rst,376,377,0,,
sampling.rst,392,393,0,,
sync.rst,33,59,959,\bдля\b;\bв\b,    import numpy as np |     import matplotlib.pyplot as plt |     з scipy import signal |     import math |  |     # ця частина прийшла з вправи на формування пульсу |     num_symbols = 100 |     sps = 8 |     bits = np.random.randint(
sync.rst,71,81,531,,"    # Створити і застосувати фільтр дробової затримки |     delay = 0.4 # дробова затримка, у відліках |     N = 21 # кількість відведень |     n = np.arange(-N/2, N//2) # ...-3,-2,-1,0,1,2,3... |     h = np.sinc(n - delay) # об"
sync.rst,95,103,329,,"    # застосовуємо зсув частоти |     fs = 1e6 # вважаємо, що наша частота дискретизації дорівнює 1 МГц |     fo = 13000 # імітуємо зсув частоти |     Ts = 1/fs # обчислюємо період дискретизації |     t = np.arange(0, Ts*len(sam"
sync.rst,137,156,1246,\bякщо\b,"    mu = 0 # початкова оцінка фази зразка |     out = np.zeros(len(samples) + 10, dtype=np.complex) |     out_rail = np.zeros(len(samples) + 10, dtype=np.complex) # зберігає значення, на кожній ітерації нам потрібні 2 попере"
sync.rst,184,185,0,,
sync.rst,204,205,0,,
sync.rst,299,305,138,,"    psd = np.fft.fftshift(np.abs(np.fft.fft(samples))) |     f = np.linspace(-fs/2.0, fs/2.0, len(psd)) |     plt.plot(f, psd) |     plt.show() | "
sync.rst,314,318,59,,    # Додаємо це перед рядком ШПФ |     samples = samples**2 | 
sync.rst,333,339,208,,"    max_freq = f[np.argmax(psd)] |     Ts = 1/fs # розраховуємо період дискретизації |     t = np.arange(0, Ts*len(samples), Ts) # створюємо вектор часу |     samples = samples * np.exp(-1j*2*np.pi*max_freq*t/2.0) | "
sync.rst,359,387,1227,\bдля\b,"    N = len(samples) |     phase = 0 |     freq = 0 |     # Наступні два параметри - це те, що потрібно налаштувати, щоб зробити цикл зворотного зв'язку швидшим або повільнішим (що впливає на стабільність) |     alpha = 0.132 |   "
sync.rst,395,408,264,,    # Для QPSK |     def phase_detector_4(sample): |         if sample.real > 0: |             a = 1.0 |         else |             a = -1.0 |         if sample.imag > 0 |             b = 1.0 |         else |             b = -1.0    |      
sync.rst,455,458,37,,    +1 +1 +1 -1 -1 -1 +1 -1 -1 +1 -1 | 
sync.rst,461,469,175,,"    import numpy as np |     import matplotlib.pyplot as plt |     x = [1,1,1,-1,-1,-1,1,-1,-1,1,-1] |     plt.plot(np.correlate(x,x,'same'),'.-') |     plt.grid() |     plt.show() |     "
