segment_id,source_line_start,source_line_end,logic_role,scope_constraints,target_sentence_ids,review_status,source_text_sha256,source_text
S008,21051,21051,new_applications,opens new application domains,T-010,accounted,517D9D64E036552142EADA2144CF14A0314018FC1645B0D60F973B6197836070,"Man kann, weil nicht die Gruppe, sondern der Gruppenring, allgemeiner ein hyperkomplexes System oder ein beliebiger Ring betrachtet wird, die Theorie der Ringe und Ideale verwenden, was zu einer Befreiung der Theorie von vielen unübersichtlichen Rechnungen führt. Diese Verwendung der allgemeinen Ring- und Idealtheorie vereinfacht aber nicht nur die Theorie, sondern bringt sie auch weiter --- z.B. in der Frage nach den Beziehungen einer Gruppe mit ihren Untergruppen --- und erschließt ihr neue Anwendungsgebiete. Man kann mit Hilfe der allgemeinen Darstellungstheorie eine neue, sehr elegante Begründung der galoisschen Theorie geben und --- das ist vielleicht noch wichtiger --- eine galoissche Theorie der nichtkommutativen Körper aufstellen."
S009,21051,21051,galois_application,new elegant foundation,T-011,accounted,517D9D64E036552142EADA2144CF14A0314018FC1645B0D60F973B6197836070,"Man kann, weil nicht die Gruppe, sondern der Gruppenring, allgemeiner ein hyperkomplexes System oder ein beliebiger Ring betrachtet wird, die Theorie der Ringe und Ideale verwenden, was zu einer Befreiung der Theorie von vielen unübersichtlichen Rechnungen führt. Diese Verwendung der allgemeinen Ring- und Idealtheorie vereinfacht aber nicht nur die Theorie, sondern bringt sie auch weiter --- z.B. in der Frage nach den Beziehungen einer Gruppe mit ihren Untergruppen --- und erschließt ihr neue Anwendungsgebiete. Man kann mit Hilfe der allgemeinen Darstellungstheorie eine neue, sehr elegante Begründung der galoisschen Theorie geben und --- das ist vielleicht noch wichtiger --- eine galoissche Theorie der nichtkommutativen Körper aufstellen."
S010,21051,21051,noncommutative_extension,perhaps-more-important emphasis retained,T-012,accounted,517D9D64E036552142EADA2144CF14A0314018FC1645B0D60F973B6197836070,"Man kann, weil nicht die Gruppe, sondern der Gruppenring, allgemeiner ein hyperkomplexes System oder ein beliebiger Ring betrachtet wird, die Theorie der Ringe und Ideale verwenden, was zu einer Befreiung der Theorie von vielen unübersichtlichen Rechnungen führt. Diese Verwendung der allgemeinen Ring- und Idealtheorie vereinfacht aber nicht nur die Theorie, sondern bringt sie auch weiter --- z.B. in der Frage nach den Beziehungen einer Gruppe mit ihren Untergruppen --- und erschließt ihr neue Anwendungsgebiete. Man kann mit Hilfe der allgemeinen Darstellungstheorie eine neue, sehr elegante Begründung der galoisschen Theorie geben und --- das ist vielleicht noch wichtiger --- eine galoissche Theorie der nichtkommutativen Körper aufstellen."
S011,21053,21053,reference,Noether article and page locator retained,T-013,accounted,39FE8872C2615B23B04EEE2C6D91D2C3E60370E5E859F46AE1769CCC9FEE63C4,"Die grundlegenden Begriffe der Gruppen-, Ring- und Idealtheorie und die allgemeinen Sätze aus der Darstellungstheorie finden sich in der Arbeit von Frl. Noether: Hyperkomplexe Größen und Darstellungstheorie, Mathematische Zeitschrift 30, Seite 641. Diese mit M.Z. zitierte Arbeit ist als Ergänzung zu dieser Ausarbeitung zu betrachten. Das Gleiche wie im M.Z. findet man auch in der Ausarbeitung der Vorlesung von Frl. Noether über Hyperkomplexe Größen und Gruppencharaktere, W.S. 1927/28."
S012,21053,21053,complement_status,M.Z. article described as complement,T-014,accounted,39FE8872C2615B23B04EEE2C6D91D2C3E60370E5E859F46AE1769CCC9FEE63C4,"Die grundlegenden Begriffe der Gruppen-, Ring- und Idealtheorie und die allgemeinen Sätze aus der Darstellungstheorie finden sich in der Arbeit von Frl. Noether: Hyperkomplexe Größen und Darstellungstheorie, Mathematische Zeitschrift 30, Seite 641. Diese mit M.Z. zitierte Arbeit ist als Ergänzung zu dieser Ausarbeitung zu betrachten. Das Gleiche wie im M.Z. findet man auch in der Ausarbeitung der Vorlesung von Frl. Noether über Hyperkomplexe Größen und Gruppencharaktere, W.S. 1927/28."
S013,21053,21053,parallel_witness,1927/28 lecture witness retained,T-015,accounted,39FE8872C2615B23B04EEE2C6D91D2C3E60370E5E859F46AE1769CCC9FEE63C4,"Die grundlegenden Begriffe der Gruppen-, Ring- und Idealtheorie und die allgemeinen Sätze aus der Darstellungstheorie finden sich in der Arbeit von Frl. Noether: Hyperkomplexe Größen und Darstellungstheorie, Mathematische Zeitschrift 30, Seite 641. Diese mit M.Z. zitierte Arbeit ist als Ergänzung zu dieser Ausarbeitung zu betrachten. Das Gleiche wie im M.Z. findet man auch in der Ausarbeitung der Vorlesung von Frl. Noether über Hyperkomplexe Größen und Gruppencharaktere, W.S. 1927/28."
S014,21055,21055,purpose,brief explanation serves introduction of reciprocal notions,T-016,accounted,DBAA01177AC41F6E9652BA2EEC9A68810C4762A740418914A619D9CCAC110BE5,"Die Begriffe Darstellung und Darstellungsmodul sind hier kurz erläutert, um den --- nur formal neues bietenden --- reziproken Darstellungsmodul und die reziproken Darstellungen einzuführen."
S015,21057,21057,chapter_heading,Chapter I heading preserved,T-H2,accounted,AD0E3394A3627F24053B63B492EBE42A219A1BBDE6F5A97F340D4CB6D62FB8BD,\section*{Kapitel I. Darstellungen}\label{kapitel-i.-darstellungen}
S016,21059,21059,symbol_assignment,o represented; T receives representation,T-017,accounted,107D9F5B98D784C8BBD646C786BB6EF76C9EB72EA57EB34B1E28C70313E8804F,"\(\mathfrak{o}\) sei ein Ring --- der Ring, welcher dargestellt wird ---, \(\mathsf T\) ein anderer Ring --- der, in dem dargestellt wird."
S017,21061,21061,section_heading,direct representation heading preserved,T-H3,accounted,65D63518E368870512B8474DC25A013465A779E832297313A937A4DDCF00E7A2,\subsection*{§ 1. Definition der direkten Darstellung}\label{definition-der-direkten-darstellung}
S018,21063,21067,direct_definition,degree n; subring; matrix ring; homomorphic image; displayed inclusion,T-018;T-E1,accounted,FB8049825975AE949C02C84AD6456B2ED6B7CCA8F63D5BFD075B4638DA2B6900,"Eine \emph{direkte Darstellung} \(n\)-ten Grades von \(\mathfrak{o}\) in \(\mathsf T\) ist ein Teilring \(\mathfrak D\) des Rings \(\mathsf T_n\) der Matrizen \(n\)-ten Grades mit Elementen aus \(\mathsf T\), auf den \(\mathfrak{o}\) ringhomomorph abgebildet ist. In Zeichen ⏎  ⏎ \[ ⏎ \mathfrak{o}\to\mathfrak D\subseteq\mathsf T_n. ⏎ \]"
S019,21069,21069,subheading,reciprocal representation heading preserved,T-H4,accounted,D8DCD53A2632A4E640EB6C91DA5176A6970180C01037E19FF7D4DD189519E573,\subsection*{Definition der reziproken Darstellung}\label{definition-der-reziproken-darstellung}
S020,21071,21075,reciprocal_definition,degree n; reciprocal matrix ring; order reversal; addition order retained,T-019;T-020;T-E2,accounted,6CEC4A23DEB2F08E50F8C5BB66D10BDE6E6A438805010CBDF755F6249CC12E11,"Eine \emph{reziproke Darstellung} \(n\)-ten Grades von \(\mathfrak{o}\) in \(\mathsf T^*\) ist ein Teilring \(\mathfrak D^*\) des Ringes \(\mathsf T_n^*\) der Matrizen \(n\)-ten Grades mit Elementen aus \(\mathsf T^*\), auf den \(\mathfrak{o}\) reziprok ringhomomorph abgebildet ist. Reziprok ringhomomorph heißt: Entsprechen den \(\mathfrak{o}\)-Elementen \(c,d\) die \(\mathfrak D^*\)-Elemente \(c^*,d^*\), so soll dem \(\mathfrak{o}\)-Element \(cd\) das \(\mathfrak D^*\)-Element \(d^*\cdot c^*\), dem \(\mathfrak{o}\)-Element \(c+d\) das \(\mathfrak D^*\)-Element \(c^*+d^*\) zugeordnet sein. In Zeichen ⏎  ⏎ \[ ⏎ \mathfrak{o}\mapsto\mathfrak D^*\subseteq\mathsf T_n^*. ⏎ \]"
S021,21077,21077,example,transpose over commutative field gives reciprocal isomorphism,T-021,accounted,A104AB41C8E82576490853B32757D3C3FE22D2DC6B0A745C04ED25EF2933C8EA,"Um ein Beispiel für den Begriff der reziproken Homomorphie zu geben: Ordnet man den \(n\)-reihigen Matrizen in einem kommutativen Körper ihre gespiegelten zu, so ist diese Zuordnung ein reziproker Ringisomorphismus."
S022,21079,21079,construction_lead,arbitrary ring T and reciprocal-isomorphic T-star,T-022,accounted,C2F147A344D272FD835A94FCC6996D6EF0B6475B241B68D3567724610957FB32,Man kann allgemein zu irgendeinem Ring \(\mathsf T\) einen reziprok isomorphen Ring \(\mathsf T^*\) folgendermaßen konstruieren:
S023,21081,21085,operation_definitions,one symbol per element; addition same order; multiplication reversed,T-023;T-E3,accounted,6709F5080945B249D9CC90CBC36A798B185F12759DA6C9FFDA67290E709BE08A,"Jedem \(\mathsf T\)-Element \(c\) ordne man ein Symbol \(c^*\) zu und definiere die Addition dieser Symbole durch \(c^*+d^*=(c+d)^*\), die Multiplikation durch ⏎  ⏎ \[ ⏎ c^*\cdot d^*=(dc)^*. ⏎ \]"
S024,21087,21087,construction_conclusion,symbol set is reciprocal-isomorphic ring,T-024,accounted,81C1BFA1596DBFCA145B25B71192F8B47EAE1EB84DE3B9DD327054C1F049DB59,Die Menge der Symbole \(c^*\) ist ein mit \(\mathsf T\) reziprok isomorpher Ring \(\mathsf T^*\).
