observation_id,scope,source_or_artifact,observed_status,evidence_summary,r9_relevance,next_action_or_blocker,promotion_allowed
R9-P347-LANE-010,July 4 adjacent lane output shelf,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs,output_count=88,NOETHER_R2_PAN_TURKIC_SOURCE_CANON_PACKAGE_FRONTIER_STABLE_SHA256_20260704T2249.txt (2026-07-04T22:53:19); NOETHER_R2_PAN_TURKIC_SOURCE_CANON_PACKAGE_FRONTIER_STABLE_MANIFEST_20260704T2249.json (2026-07-04T22:53:19); NOETHER_R2_PAN_TURKIC_SOURCE_CANON_PACKAGE_FRONTIER_STABLE_MANIFEST_20260704T2249.csv (2026-07-04T22:53:19),adjacent lane; method/frontier awareness only,Do not import adjacent outputs as R9 evidence without source-gated owner handoff,false
R9-P347-LANE-011,July 4 adjacent lane output shelf,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\outputs,output_count=35,R3_ARABIC_EXTERNAL_POINTER_PAYLOAD_PROBE_CURRENT.txt (2026-07-04T22:56:43); R3_SOURCE_CANON_POLICY_SYNC_AUDIT_CURRENT.txt (2026-07-04T22:52:18); R3_SOURCE_CANON_MASTER_INDEX_CURRENT.txt (2026-07-04T22:42:18),adjacent lane; method/frontier awareness only,Do not import adjacent outputs as R9 evidence without source-gated owner handoff,false
R9-P347-LANE-012,July 4 adjacent lane output shelf,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r6-indigenous-creole-sign\outputs,output_count=39,NOETHER_R6_OUTPUT_CHECKSUM_MANIFEST_20260704.json (2026-07-04T22:56:49); NOETHER_R6_OUTPUT_CHECKSUM_MANIFEST_20260704.csv (2026-07-04T22:56:49); NOETHER_R6_ZENODO_CURRENT_READER_INTEGRATION_MANIFEST_20260704.json (2026-07-04T22:56:31),adjacent lane; method/frontier awareness only,Do not import adjacent outputs as R9 evidence without source-gated owner handoff,false
R9-P347-LANE-013,July 4 adjacent lane output shelf,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r7-malay-sea-pacific\outputs,output_count=30,NOETHER_R7_OUTPUT_MANIFEST_AND_CHECKSUMS_20260704.csv (2026-07-04T22:51:46); NOETHER_R7_MALAY_SEA_PACIFIC_DURABLE_RUN_LOG_20260704.md (2026-07-04T22:51:29); NOETHER_R7_SEA_PACIFIC_SOURCE_RETURN_AUDIT_20260704.md (2026-07-04T22:51:14),adjacent lane; method/frontier awareness only,Do not import adjacent outputs as R9 evidence without source-gated owner handoff,false
R9-P347-LANE-014,July 4 adjacent lane output shelf,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r9-africa-horn-west\outputs,output_count=48,R9_ARTIFACT_CHECKSUM_REFRESH_20260704.csv (2026-07-04T22:53:35); R9_SESSION_B_PACKAGE_INDEX_NO_UPLOAD_FIXPASS_20260704.csv (2026-07-04T22:53:34); R9_ARTIFACT_MANIFEST_20260704.json (2026-07-04T22:53:34),R9-owned lane,Do not import adjacent outputs as R9 evidence without source-gated owner handoff,false
R9-P347-LANE-015,July 4 adjacent lane output shelf,C:\Users\memo_\Documents\Codex\2026-07-04\noether-romance-source-evidence-draft-lane\outputs,output_count=39,NOETHER_ROMANCE_CORPUS_TRANSLATION_OUTPUT_MANIFEST_20260704.sha256 (2026-07-04T22:55:38); NOETHER_ROMANCE_BLOCKER_RESOLUTION_OUTPUT_MANIFEST_20260704.sha256 (2026-07-04T22:55:38); NOETHER_ROMANCE_SOURCE_CANON_WITNESS_TABLE_MANIFEST_20260704.sha256 (2026-07-04T22:55:38),adjacent lane; method/frontier awareness only,Do not import adjacent outputs as R9 evidence without source-gated owner handoff,false
R9-P347-LANE-016,July 4 adjacent lane output shelf,C:\Users\memo_\Documents\Codex\2026-07-04\noether-slavic-canonical-baseline\outputs,output_count=174,NOETHER_SLAVIC_CANONICAL_BASELINE_OUTPUT_HASHES_20260704T224713.csv (2026-07-04T22:47:13); NOETHER_SLAVIC_SOURCE_CANON_HANDOFF_MANIFEST_20260704.md (2026-07-04T22:46:44); NOETHER_SLAVIC_SOURCE_CANON_HANDOFF_MANIFEST_20260704.json (2026-07-04T22:46:44),adjacent lane; method/frontier awareness only,Do not import adjacent outputs as R9 evidence without source-gated owner handoff,false
R9-P347-R9ROW-001,R9 rows in package347 delta,R9_ARTIFACT_CHECKSUM_REFRESH_20260704.csv,HASH_CHANGED_AFTER_PACKAGE_FRONTIER,bytes=7719; sha256=EFA8BDB3009EE1A45C742B7A279679866C52045C41BA058E5D5CAC73032B15D4; frontier_package=346; frontier_sha256=7D314742B75978067BC75973D1A37B18CFE821128A33E073D86168EBC29EF3F6,R9 package/frontier status only,No evidence promotion; B3 owns package frontier,false
R9-P347-R9ROW-002,R9 rows in package347 delta,R9_ARTIFACT_MANIFEST_20260704.json,HASH_CHANGED_AFTER_PACKAGE_FRONTIER,bytes=10074; sha256=355A53D1095826A09641A5600044998C43578FB6E1A65BC131C45C9980B2716A; frontier_package=346; frontier_sha256=050A2043A92C6B7DFB678909E70061347C78C16879FEA0A078F9D6660910719D,R9 package/frontier status only,No evidence promotion; B3 owns package frontier,false
R9-P347-R9ROW-003,R9 rows in package347 delta,R9_DURABLE_RUN_LOG_20260704.jsonl,HASH_CHANGED_AFTER_PACKAGE_FRONTIER,bytes=29346; sha256=D1136C310950C8CED74F05F7E6B175CC63F4180AC29EC17A5064B4F1DFE84124; frontier_package=346; frontier_sha256=9EF81996AA4DED78BD2FD1B5F3FF662483B30A232124F0D1F7DBEB8A9CAD8FEA,R9 package/frontier status only,No evidence promotion; B3 owns package frontier,false
R9-P347-R9ROW-004,R9 rows in package347 delta,R9_DURABLE_RUN_LOG_20260704.md,HASH_CHANGED_AFTER_PACKAGE_FRONTIER,bytes=31278; sha256=38F1B7F42F6741D61419344BFEBA8A6713FDCB2BCF9CC9102F793C4C304C7518; frontier_package=346; frontier_sha256=EC666004941DBE1E058C3E780F6306CA0FCF16060D0181C0D50546E4715C9456,R9 package/frontier status only,No evidence promotion; B3 owns package frontier,false
R9-P347-R9ROW-005,R9 rows in package347 delta,R9_GITHUB_RATE_LIMIT_RETRY_SOURCE_ARCHIVE_GAP_RECHECK_20260704.csv,MISSING_FROM_PACKAGE_FRONTIER,bytes=3122; sha256=F7D868F98C68A4D2F6E9912F51F0C8EEF5FEC63B2D8EF88443D078E5A5A608DD; frontier_package=; frontier_sha256=,R9 package/frontier status only,No evidence promotion; B3 owns package frontier,false
R9-P347-R9ROW-006,R9 rows in package347 delta,R9_GITHUB_RATE_LIMIT_RETRY_SOURCE_ARCHIVE_GAP_RECHECK_20260704.md,MISSING_FROM_PACKAGE_FRONTIER,bytes=2175; sha256=28AB3DC155E50B8545F9077891F3CD65148C1A8D084DF4948AF18F7A4BE1886D; frontier_package=; frontier_sha256=,R9 package/frontier status only,No evidence promotion; B3 owns package frontier,false
R9-P347-R9ROW-007,R9 rows in package347 delta,R9_SESSION_B_PACKAGE_INDEX_NO_UPLOAD_FIXPASS_20260704.csv,HASH_CHANGED_AFTER_PACKAGE_FRONTIER,bytes=7213; sha256=04C8ED28710F747F0922B69B22294B0D4C069F78A69C21EA664E874A2860AF2F; frontier_package=346; frontier_sha256=D6045BD79984572FA4F90B754698AD09BA4654CBA532165A6424824D4D56F1CF,R9 package/frontier status only,No evidence promotion; B3 owns package frontier,false
