layer	reader	reader_sha256	pdf_page	printed_page	render	render_sha256	render_dpi	inspection	math_glyphs_and_labels	clipping_and_overlap	page_note_alignment	observation	status
en	readers/PAPER_IV_EN_PP065_074.pdf	1A7C7C903E3AB076F7217C63885084B6E4155B389975FDE8E52505F5F526513E	1	65	qa/visual/en/page01_p065.png	F914EF208822EE1B7C68CABA6EC273FAB4691C3B9C11FCAD83F736D73968C9AB	126	DIRECT_VISUAL_PAGE_INSPECTION	PASS	NONE_OBSERVED	PASS	Title and ordinal heading legible; both rules present; introductory paragraph complete; imprint/signature 9; no invented visible folio.	PASS
en	readers/PAPER_IV_EN_PP065_074.pdf	1A7C7C903E3AB076F7217C63885084B6E4155B389975FDE8E52505F5F526513E	2	66	qa/visual/en/page02_p066.png	7DF32DF051B792D7334ACA9E4C5074DBB144890B9414AF36F8FAA3C1446D431D	126	DIRECT_VISUAL_PAGE_INSPECTION	PASS	NONE_OBSERVED	PASS	Section 1; all exponents and in-text congruences legible; both quoted assertions; no collision of inline fractions or primes.	PASS
en	readers/PAPER_IV_EN_PP065_074.pdf	1A7C7C903E3AB076F7217C63885084B6E4155B389975FDE8E52505F5F526513E	3	67	qa/visual/en/page03_p067.png	0BC294FCE0677904EE9C8B804DE91E32EB49BFBC93237AF5C2F027E6C49F406B	126	DIRECT_VISUAL_PAGE_INSPECTION	PASS	NONE_OBSERVED	PASS	Quoted A,A-prime theorem; section 2; written repeated factors; Legendre definition; page ends mid-sentence at p being / p étant; signature 9*.	PASS
en	readers/PAPER_IV_EN_PP065_074.pdf	1A7C7C903E3AB076F7217C63885084B6E4155B389975FDE8E52505F5F526513E	4	68	qa/visual/en/page04_p068.png	60AE32B999452DC02C9ECA362DD41B4073D2FE0520AC0E33B21EA065A6EED07E	126	DIRECT_VISUAL_PAGE_INSPECTION	PASS	NONE_OBSERVED	PASS	Opening continuation and all four paired relation arrays; g/h denominators, minus signs, and primes visually checked; arrays not clipped.	PASS
en	readers/PAPER_IV_EN_PP065_074.pdf	1A7C7C903E3AB076F7217C63885084B6E4155B389975FDE8E52505F5F526513E	5	69	qa/visual/en/page05_p069.png	2ABF6088402D83C3C04B1CE050A00F230A3196FF2539100C3591D5231F756DC9	126	DIRECT_VISUAL_PAGE_INSPECTION	PASS	NONE_OBSERVED	PASS	Lower-case continuation; both sign cases; all three congruences; parenthesis about (p−1)/4; theorem and final sum-of-squares sentence retained.	PASS
en	readers/PAPER_IV_EN_PP065_074.pdf	1A7C7C903E3AB076F7217C63885084B6E4155B389975FDE8E52505F5F526513E	6	70	qa/visual/en/page06_p070.png	45A65B68B31703046B0E8FD04EC1463658877002D9194953D067B67B9D6B2F26	126	DIRECT_VISUAL_PAGE_INSPECTION	PASS	NONE_OBSERVED	PASS	Two-by-two E,F,K,L identities; primed exponents; legible printed plus in K prose deliberately retained; quoted theorem at end.	PASS
en	readers/PAPER_IV_EN_PP065_074.pdf	1A7C7C903E3AB076F7217C63885084B6E4155B389975FDE8E52505F5F526513E	7	71	qa/visual/en/page07_p071.png	24066733D1BF6E85586027E343BA93FF8E30F27BBE2A422510CAE9935C181BC7	126	DIRECT_VISUAL_PAGE_INSPECTION	PASS	NONE_OBSERVED	PASS	Section 3 and reciprocity displays; *) body anchor and complete bottom footnote; bσ²±1 and both norm-identity ± signs legible; no note overflow.	PASS
en	readers/PAPER_IV_EN_PP065_074.pdf	1A7C7C903E3AB076F7217C63885084B6E4155B389975FDE8E52505F5F526513E	8	72	qa/visual/en/page08_p072.png	82B35A12F47FE5E3BC764962F1C8FC7AB5065A58DF23C56BB503769776431A9A	126	DIRECT_VISUAL_PAGE_INSPECTION	PASS	NONE_OBSERVED	PASS	Left labels α, β, β′; all six-entry arrays and product; last colon announces next page’s reciprocity array; no label/math overlap.	PASS
en	readers/PAPER_IV_EN_PP065_074.pdf	1A7C7C903E3AB076F7217C63885084B6E4155B389975FDE8E52505F5F526513E	9	73	qa/visual/en/page09_p073.png	6023B7DB28C822675601B45862C31F3782871B1726732073D1B600F1E2EE8020	126	DIRECT_VISUAL_PAGE_INSPECTION	PASS	NONE_OBSERVED	PASS	Opening g/b,h/b array; γ label; two-case ν reasoning and equals sign; final congruence; sentence continues to p74; imprint/signature 10.	PASS
en	readers/PAPER_IV_EN_PP065_074.pdf	1A7C7C903E3AB076F7217C63885084B6E4155B389975FDE8E52505F5F526513E	10	74	qa/visual/en/page10_p074.png	9021130AFCE06C4D7DE192DA6DA92D657BADB5E3773F45F17B3823257D9C0034	126	DIRECT_VISUAL_PAGE_INSPECTION	PASS	NONE_OBSERVED	PASS	Initial substitution continuation; theorem and section 4; ψ even and φ odd readings retained; four-identity block complete; no invented terminal rule.	PASS
apparatus	readers/PAPER_IV_APPARATUS_S01.pdf	37136A34A90BE18D573AC2A2C77F93B6724D195C9215B198CBC6B63CBC926293	1	APPARATUS	qa/visual/apparatus/page01.png	DD8CDBCFB6AB46672F7F486784CEF2704792018F9D2BAB6B97D36A3C668E6BFE	126	DIRECT_VISUAL_PAGE_INSPECTION	PASS	NONE_OBSERVED	PASS	Witness policy and retained p66/p70 source issues readable; no clipping.	PASS
apparatus	readers/PAPER_IV_APPARATUS_S01.pdf	37136A34A90BE18D573AC2A2C77F93B6724D195C9215B198CBC6B63CBC926293	2	APPARATUS	qa/visual/apparatus/page02.png	8544431F580ECC57E682BE13C10ECD1BAE84DECDE724961F39B778F168933D40	126	DIRECT_VISUAL_PAGE_INSPECTION	PASS	NONE_OBSERVED	PASS	Corrected path line wraps safely; footnote variants, seam note and layout declaration readable; no clipping.	PASS
