layer	inherited_path	inherited_tex_line	inherited_unit	printed_pages	line	disposition	evidence
fr	inherited/R27/Dirichlet_R27_V1_IVa_div4_20260606/new/orig/tex/04a_div4_fr.tex	41	par.005	66	et l'on prouve facilement que le signe supérieur ou inférieur aura lieu, selon que $p$ divise ou ne divise pas la formule $x^4-A$. On peut donc énoncer ce théorème:	REPLAYED_AGAINST_AUTHORITY; SEE_SOURCE_BACKED_DIFF	qa/source/p066_authority.png
fr	inherited/R27/Dirichlet_R27_V1_IVa_div4_20260606/new/orig/tex/04a_div4_fr.tex	42	par.005			PRESERVED_ONLY_NOT_AUTHOR_CONTENT	
fr	inherited/R27/Dirichlet_R27_V1_IVa_div4_20260606/new/orig/tex/04a_div4_fr.tex	43	thm.001	66	\unitid{dirichlet.v1.p04a.thm.001}»$A$ désignant un nombre résidu quadratique par rapport au nombre premier $p=4n+1$, on aura	REPLAYED_AGAINST_AUTHORITY; SEE_SOURCE_BACKED_DIFF	qa/source/p066_authority.png
fr	inherited/R27/Dirichlet_R27_V1_IVa_div4_20260606/new/orig/tex/04a_div4_fr.tex	44	thm.001	66	\[	REPLAYED_AGAINST_AUTHORITY; SEE_SOURCE_BACKED_DIFF	qa/source/p066_authority.png
fr	inherited/R27/Dirichlet_R27_V1_IVa_div4_20260606/new/orig/tex/04a_div4_fr.tex	45	thm.001	66	 A^{\frac{p-1}{4}}\equiv 1\quad\text{ou}\quad A^{\frac{p-1}{4}}\equiv -1 \pmod p.	REPLAYED_AGAINST_AUTHORITY; SEE_SOURCE_BACKED_DIFF	qa/source/p066_authority.png
fr	inherited/R27/Dirichlet_R27_V1_IVa_div4_20260606/new/orig/tex/04a_div4_fr.tex	46	thm.001	66	\]	REPLAYED_AGAINST_AUTHORITY; SEE_SOURCE_BACKED_DIFF	qa/source/p066_authority.png
fr	inherited/R27/Dirichlet_R27_V1_IVa_div4_20260606/new/orig/tex/04a_div4_fr.tex	47	thm.001	66	Dans le premier cas, $A$ sera résidu biquadratique par rapport à $p$, dans le second, $A$ sera non-résidu biquadratique par rapport à $p$.«	REPLAYED_AGAINST_AUTHORITY; SEE_SOURCE_BACKED_DIFF	qa/source/p066_authority.png
fr	inherited/R27/Dirichlet_R27_V1_IVa_div4_20260606/new/orig/tex/04a_div4_fr.tex	48	thm.001			PRESERVED_ONLY_NOT_AUTHOR_CONTENT	
fr	inherited/R27/Dirichlet_R27_V1_IVa_div4_20260606/new/orig/tex/04a_div4_fr.tex	49	par.006	66	\unitid{dirichlet.v1.p04a.par.006}Si l'on applique ce théorème au cas où $A=-1$, on trouvera que $-1$ est résidu biquadratique par rapport aux nombres premiers $8n+1$, et au contraire non-résidu relativement à ceux de la forme $8n+5$. Du théorème précédent on déduit facilement cet autre, dans l'énoncé duquel on suppose, comme dans tout ce qui suivra, que $p$ soit un nombre premier $4n+1$, et que $A$ et $A'$ désignent des nombres non-divisibles par $p$ et qui sont l'un et l'autre des résidus quadratiques par rapport à $p$.	REPLAYED_AGAINST_AUTHORITY; SEE_SOURCE_BACKED_DIFF	qa/source/p066_authority.png
fr	inherited/R27/Dirichlet_R27_V1_IVa_div4_20260606/new/orig/tex/04a_div4_fr.tex	50	par.006			PRESERVED_ONLY_NOT_AUTHOR_CONTENT	
fr	inherited/R27/Dirichlet_R27_V1_IVa_div4_20260606/new/orig/tex/04a_div4_fr.tex	51	thm.002	67	\unitid{dirichlet.v1.p04a.thm.002}»Si les nombres $A$ et $A'$ sont tous les deux des résidus biquadratiques ou tous les deux des non-résidus biquadratiques par rapport à $p$, le produit $AA'$ sera résidu biquadratique par rapport à $p$; si, au contraire, l'un des nombres $A$ et $A'$ est résidu, l'autre non-résidu biquadratique relativement à $p$, $AA'$ sera non-résidu biquadratique par rapport à $p$.«	REPLAYED_AGAINST_AUTHORITY; SEE_SOURCE_BACKED_DIFF	qa/source/p067_authority.png
fr	inherited/R27/Dirichlet_R27_V1_IVa_div4_20260606/new/orig/tex/04a_div4_fr.tex	52	thm.002			PRESERVED_ONLY_NOT_AUTHOR_CONTENT	
fr	inherited/R27/Dirichlet_R27_V1_IVa_div4_20260606/new/orig/tex/04a_div4_fr.tex	53	par.007	67	\unitid{dirichlet.v1.p04a.par.007}En faisant $A'=-1$, et en ayant égard à ce qui précède, on verra que, si $p$ est de la forme $8n+1$, $A$ sera en même temps que $-A$ résidu ou non-résidu biquadratique, et qu'au contraire, si $p$ est de la forme $8n+5$, l'un des nombres $A$ et $-A$ sera résidu, l'autre non-résidu biquadratique par rapport à $p$.	REPLAYED_AGAINST_AUTHORITY; SEE_SOURCE_BACKED_DIFF	qa/source/p067_authority.png
fr	inherited/R27/Dirichlet_R27_V1_IVa_div4_20260606/new/orig/tex/04a_div4_fr.tex	54	par.007			PRESERVED_ONLY_NOT_AUTHOR_CONTENT	
fr	inherited/R27/Dirichlet_R27_V1_IVa_div4_20260606/new/orig/tex/04a_div4_fr.tex	55	par.007	67	\begin{center}2.\end{center}	REPLAYED_AGAINST_AUTHORITY; SEE_SOURCE_BACKED_DIFF	qa/source/p067_authority.png
fr	inherited/R27/Dirichlet_R27_V1_IVa_div4_20260606/new/orig/tex/04a_div4_fr.tex	56	par.007			PRESERVED_ONLY_NOT_AUTHOR_CONTENT	
fr	inherited/R27/Dirichlet_R27_V1_IVa_div4_20260606/new/orig/tex/04a_div4_fr.tex	57	par.008	67;68	\unitid{dirichlet.v1.p04a.par.008}Après avoir établi ces préliminaires, nous allons nous occuper de la recherche des caractères qui distinguent les diviseurs premiers de la formule $x^4-2$. On sait que les diviseurs premiers de $x^2-2$ sont de l'une de ces deux formes: $8n+1$, $8n+7$, et que réciproquement tout nombre premier de l'une de ces formes divise la formule $x^2-2$. D'après ce que nous avons dit dans le paragraphe précédent, nous n'avons pas besoin d'avoir égard à la dernière de ces deux formes, et il suffira de considérer les nombres premiers $8n+1$. Soit $p$ un nombre premier de cette espèce, et posons, comme il est permis de le faire,	REPLAYED_AGAINST_AUTHORITY; SEE_SOURCE_BACKED_DIFF	qa/source/p067_authority.png;qa/source/p068_authority.png
fr	inherited/R27/Dirichlet_R27_V1_IVa_div4_20260606/new/orig/tex/04a_div4_fr.tex	58	par.008	67;68	\[	REPLAYED_AGAINST_AUTHORITY; SEE_SOURCE_BACKED_DIFF	qa/source/p067_authority.png;qa/source/p068_authority.png
fr	inherited/R27/Dirichlet_R27_V1_IVa_div4_20260606/new/orig/tex/04a_div4_fr.tex	59	par.008	67;68	 p=t^2+2u^2,	REPLAYED_AGAINST_AUTHORITY; SEE_SOURCE_BACKED_DIFF	qa/source/p067_authority.png;qa/source/p068_authority.png
fr	inherited/R27/Dirichlet_R27_V1_IVa_div4_20260606/new/orig/tex/04a_div4_fr.tex	60	par.008	67;68	\]	REPLAYED_AGAINST_AUTHORITY; SEE_SOURCE_BACKED_DIFF	qa/source/p067_authority.png;qa/source/p068_authority.png
fr	inherited/R27/Dirichlet_R27_V1_IVa_div4_20260606/new/orig/tex/04a_div4_fr.tex	61	par.008	67;68	où $u$ sera pair, $t$ impair. Faisons $u=2^\nu kk'k''\cdots$, $2^\nu$ étant la puissance la plus élevée de 2 qui divise $u$, et $k,k',k'',\ldots$ désignant des nombres premiers impairs, dont plusieurs peuvent être égaux entre eux. L'équation $t^2+2u^2=p$ donne immédiatement $t^2\equiv p\pmod k$. Le nombre $p$ est donc résidu quadratique par rapport à $k$, ce que nous écrirons ainsi:	REPLAYED_AGAINST_AUTHORITY; SEE_SOURCE_BACKED_DIFF	qa/source/p067_authority.png;qa/source/p068_authority.png
fr	inherited/R27/Dirichlet_R27_V1_IVa_div4_20260606/new/orig/tex/04a_div4_fr.tex	62	par.008	67;68	\[	REPLAYED_AGAINST_AUTHORITY; SEE_SOURCE_BACKED_DIFF	qa/source/p067_authority.png;qa/source/p068_authority.png
fr	inherited/R27/Dirichlet_R27_V1_IVa_div4_20260606/new/orig/tex/04a_div4_fr.tex	63	par.008	67;68	 \leg{p}{k}=1,	REPLAYED_AGAINST_AUTHORITY; SEE_SOURCE_BACKED_DIFF	qa/source/p067_authority.png;qa/source/p068_authority.png
fr	inherited/R27/Dirichlet_R27_V1_IVa_div4_20260606/new/orig/tex/04a_div4_fr.tex	64	par.008	67;68	\]	REPLAYED_AGAINST_AUTHORITY; SEE_SOURCE_BACKED_DIFF	qa/source/p067_authority.png;qa/source/p068_authority.png
fr	inherited/R27/Dirichlet_R27_V1_IVa_div4_20260606/new/orig/tex/04a_div4_fr.tex	65	par.008	67;68	en adoptant la notation employée par M. \textsc{Legendre}. On se rappelle que, si $c$ désigne un nombre premier et $M$ un nombre quelconque, non divisible par $c$, cet illustre géomètre se sert du signe $\leg{M}{c}$, pour désigner le reste que l'on obtient, en divisant par $c$ la puissance $M^{\frac{c-1}{2}}$, reste que l'on sait être égal à $1$ ou $-1$, selon que $M$ est ou n'est pas résidu quadratique par rapport à $c$. En appliquant à la relation $\leg{p}{k}=1$, le théorème connu sous le nom de loi de réciprocité (\emph{theorema fundamentale} de M. \textsc{Gauss}), on aura, $p$ étant de la forme $4n+1$,	REPLAYED_AGAINST_AUTHORITY; SEE_SOURCE_BACKED_DIFF	qa/source/p067_authority.png;qa/source/p068_authority.png
fr	inherited/R27/Dirichlet_R27_V1_IVa_div4_20260606/new/orig/tex/04a_div4_fr.tex	66	par.008	67;68	\[	REPLAYED_AGAINST_AUTHORITY; SEE_SOURCE_BACKED_DIFF	qa/source/p067_authority.png;qa/source/p068_authority.png
fr	inherited/R27/Dirichlet_R27_V1_IVa_div4_20260606/new/orig/tex/04a_div4_fr.tex	67	par.008	67;68	 \leg{k}{p}=1.	REPLAYED_AGAINST_AUTHORITY; SEE_SOURCE_BACKED_DIFF	qa/source/p067_authority.png;qa/source/p068_authority.png
fr	inherited/R27/Dirichlet_R27_V1_IVa_div4_20260606/new/orig/tex/04a_div4_fr.tex	68	par.008	67;68	\]	REPLAYED_AGAINST_AUTHORITY; SEE_SOURCE_BACKED_DIFF	qa/source/p067_authority.png;qa/source/p068_authority.png
fr	inherited/R27/Dirichlet_R27_V1_IVa_div4_20260606/new/orig/tex/04a_div4_fr.tex	69	par.008	67;68	On trouve de la même manière:	REPLAYED_AGAINST_AUTHORITY; SEE_SOURCE_BACKED_DIFF	qa/source/p067_authority.png;qa/source/p068_authority.png
fr	inherited/R27/Dirichlet_R27_V1_IVa_div4_20260606/new/orig/tex/04a_div4_fr.tex	70	par.008	67;68	\[	REPLAYED_AGAINST_AUTHORITY; SEE_SOURCE_BACKED_DIFF	qa/source/p067_authority.png;qa/source/p068_authority.png
fr	inherited/R27/Dirichlet_R27_V1_IVa_div4_20260606/new/orig/tex/04a_div4_fr.tex	71	par.008	67;68	 \leg{k'}{p}=1,\qquad \leg{k''}{p}=1,\qquad \text{etc.}	REPLAYED_AGAINST_AUTHORITY; SEE_SOURCE_BACKED_DIFF	qa/source/p067_authority.png;qa/source/p068_authority.png
fr	inherited/R27/Dirichlet_R27_V1_IVa_div4_20260606/new/orig/tex/04a_div4_fr.tex	72	par.008	67;68	\]	REPLAYED_AGAINST_AUTHORITY; SEE_SOURCE_BACKED_DIFF	qa/source/p067_authority.png;qa/source/p068_authority.png
fr	inherited/R27/Dirichlet_R27_V1_IVa_div4_20260606/new/orig/tex/04a_div4_fr.tex	73	par.008	67;68	D'un autre côté, comme $p$ est de la forme $8n+1$, on a aussi $\leg{2}{p}=1$, et par conséquent $\leg{2^\nu}{p}=1$. Multipliant cette dernière relation par toutes les précédentes, il viendra:	REPLAYED_AGAINST_AUTHORITY; SEE_SOURCE_BACKED_DIFF	qa/source/p067_authority.png;qa/source/p068_authority.png
fr	inherited/R27/Dirichlet_R27_V1_IVa_div4_20260606/new/orig/tex/04a_div4_fr.tex	74	par.008	67;68	\[	REPLAYED_AGAINST_AUTHORITY; SEE_SOURCE_BACKED_DIFF	qa/source/p067_authority.png;qa/source/p068_authority.png
fr	inherited/R27/Dirichlet_R27_V1_IVa_div4_20260606/new/orig/tex/04a_div4_fr.tex	75	par.008	67;68	 \leg{2^\nu kk'k''\cdots}{p}=\leg{u}{p}=1.	REPLAYED_AGAINST_AUTHORITY; SEE_SOURCE_BACKED_DIFF	qa/source/p067_authority.png;qa/source/p068_authority.png
fr	inherited/R27/Dirichlet_R27_V1_IVa_div4_20260606/new/orig/tex/04a_div4_fr.tex	76	par.008	67;68	\]	REPLAYED_AGAINST_AUTHORITY; SEE_SOURCE_BACKED_DIFF	qa/source/p067_authority.png;qa/source/p068_authority.png
fr	inherited/R27/Dirichlet_R27_V1_IVa_div4_20260606/new/orig/tex/04a_div4_fr.tex	77	par.008			PRESERVED_ONLY_NOT_AUTHOR_CONTENT	
fr	inherited/R27/Dirichlet_R27_V1_IVa_div4_20260606/new/orig/tex/04a_div4_fr.tex	78	par.009	68	\unitid{dirichlet.v1.p04a.par.009}Considérons maintenant les facteurs simples du nombre impair $t$, que nous partagerons en deux classes. La première classe comprendra les diviseurs premiers de l'une de ces deux formes: $8n+1$, $8n+7$, et les nombres qui en font partie seront désignés par $g,g',g'',\ldots$; la seconde classe se composera de nombres $h,h',h'',\ldots$, contenus dans ces deux formes: $8n+3$, $8n+5$. On a d'abord:	REPLAYED_AGAINST_AUTHORITY; SEE_SOURCE_BACKED_DIFF	qa/source/p068_authority.png
fr	inherited/R27/Dirichlet_R27_V1_IVa_div4_20260606/new/orig/tex/04a_div4_fr.tex	79	par.009	68	\[	REPLAYED_AGAINST_AUTHORITY; SEE_SOURCE_BACKED_DIFF	qa/source/p068_authority.png
fr	inherited/R27/Dirichlet_R27_V1_IVa_div4_20260606/new/orig/tex/04a_div4_fr.tex	80	par.009	68	 t=gg'g''\cdots\times hh'h''\cdots,	REPLAYED_AGAINST_AUTHORITY; SEE_SOURCE_BACKED_DIFF	qa/source/p068_authority.png
fr	inherited/R27/Dirichlet_R27_V1_IVa_div4_20260606/new/orig/tex/04a_div4_fr.tex	81	par.009	68	\]	REPLAYED_AGAINST_AUTHORITY; SEE_SOURCE_BACKED_DIFF	qa/source/p068_authority.png
fr	inherited/R27/Dirichlet_R27_V1_IVa_div4_20260606/new/orig/tex/04a_div4_fr.tex	82	par.009	68	et l'on conclura ensuite de l'équation $p=t^2+2u^2$:	REPLAYED_AGAINST_AUTHORITY; SEE_SOURCE_BACKED_DIFF	qa/source/p068_authority.png
fr	inherited/R27/Dirichlet_R27_V1_IVa_div4_20260606/new/orig/tex/04a_div4_fr.tex	83	par.009	68	\[	REPLAYED_AGAINST_AUTHORITY; SEE_SOURCE_BACKED_DIFF	qa/source/p068_authority.png
fr	inherited/R27/Dirichlet_R27_V1_IVa_div4_20260606/new/orig/tex/04a_div4_fr.tex	84	par.009	68	\leg{2p}{g}=1,\\ \leg{2p}{g'}=1,	REPLAYED_AGAINST_AUTHORITY; SEE_SOURCE_BACKED_DIFF	qa/source/p068_authority.png
fr	inherited/R27/Dirichlet_R27_V1_IVa_div4_20260606/new/orig/tex/04a_div4_fr.tex	85	par.009	68	\qquad \leg{2p}{g''}=1,\qquad \text{etc.}	REPLAYED_AGAINST_AUTHORITY; SEE_SOURCE_BACKED_DIFF	qa/source/p068_authority.png
fr	inherited/R27/Dirichlet_R27_V1_IVa_div4_20260606/new/orig/tex/04a_div4_fr.tex	86	par.009	68	\]	REPLAYED_AGAINST_AUTHORITY; SEE_SOURCE_BACKED_DIFF	qa/source/p068_authority.png
fr	inherited/R27/Dirichlet_R27_V1_IVa_div4_20260606/new/orig/tex/04a_div4_fr.tex	87	par.009	68	\[	REPLAYED_AGAINST_AUTHORITY; SEE_SOURCE_BACKED_DIFF	qa/source/p068_authority.png
fr	inherited/R27/Dirichlet_R27_V1_IVa_div4_20260606/new/orig/tex/04a_div4_fr.tex	88	par.009	68	\leg{2p}{h}=1,\qquad \leg{2p}{h'}=1,	REPLAYED_AGAINST_AUTHORITY; SEE_SOURCE_BACKED_DIFF	qa/source/p068_authority.png
