printed_page	authority_pdf_page	scope_leaf	unit_id	structure	fr_tex_lines	en_tex_lines	math_segments	authority_evidence	french_audit	english_audit
69	86	7	p069.u05	paragraph-start	48-50	48-50	4	qa/source/p069_authority.png; full PDF 86; scope leaf 7; region_xyxy_fraction=(0.1, 0.75, 0.76, 0.8)	SOURCE_CONFIRMED	FULL_CORRESPONDENCE_REVIEWED
70	87	8	p070.u01	paragraph-start	3-11	3-11	2	qa/source/p070_authority.png; full PDF 87; scope leaf 8; region_xyxy_fraction=(0.25, 0.14, 0.91, 0.22)	SOURCE_CONFIRMED	FULL_CORRESPONDENCE_REVIEWED
70	87	8	p070.u02	paragraph-start	13-19	13-19	7	qa/source/p070_authority.png; full PDF 87; scope leaf 8; region_xyxy_fraction=(0.25, 0.21, 0.91, 0.29)	SOURCE_CONFIRMED	FULL_CORRESPONDENCE_REVIEWED
70	87	8	p070.u03	continuation	21-30	21-30	10	qa/source/p070_authority.png; full PDF 87; scope leaf 8; region_xyxy_fraction=(0.25, 0.29, 0.91, 0.4)	SOURCE_CONFIRMED	FULL_CORRESPONDENCE_REVIEWED
70	87	8	p070.u04	continuation	32-39	32-39	22	qa/source/p070_authority.png; full PDF 87; scope leaf 8; region_xyxy_fraction=(0.25, 0.4, 0.91, 0.55)	SOURCE_CONFIRMED	FULL_CORRESPONDENCE_REVIEWED
70	87	8	p070.u05	paragraph-start	41-51	41-51	24	qa/source/p070_authority.png; full PDF 87; scope leaf 8; region_xyxy_fraction=(0.25, 0.55, 0.91, 0.74)	SOURCE_CONFIRMED	FULL_CORRESPONDENCE_REVIEWED
70	87	8	p070.u06	paragraph-start	53-56	53-56	10	qa/source/p070_authority.png; full PDF 87; scope leaf 8; region_xyxy_fraction=(0.25, 0.73, 0.91, 0.8)	SOURCE_CONFIRMED	FULL_CORRESPONDENCE_REVIEWED
71	88	9	p071.u01	paragraph-start	3-6	3-6	2	qa/source/p071_authority.png; full PDF 88; scope leaf 9; region_xyxy_fraction=(0.1, 0.14, 0.76, 0.2)	SOURCE_CONFIRMED	FULL_CORRESPONDENCE_REVIEWED
71	88	9	p071.u02	paragraph-start	8-11	8-11	8	qa/source/p071_authority.png; full PDF 88; scope leaf 9; region_xyxy_fraction=(0.1, 0.2, 0.76, 0.26)	SOURCE_CONFIRMED	FULL_CORRESPONDENCE_REVIEWED
71	88	9	p071.u03	paragraph-start	13-18	13-17	0	qa/source/p071_authority.png; full PDF 88; scope leaf 9; region_xyxy_fraction=(0.1, 0.26, 0.76, 0.35)	SOURCE_CONFIRMED	FULL_CORRESPONDENCE_REVIEWED
71	88	9	p071.section	heading	20-20	19-19	0	qa/source/p071_authority.png; full PDF 88; scope leaf 9; region_xyxy_fraction=(0.39, 0.37, 0.44, 0.39)	SOURCE_CONFIRMED	FULL_CORRESPONDENCE_REVIEWED
71	88	9	p071.u04	paragraph-start; note anchor after impair	22-43	21-41	44	qa/source/p071_authority.png; full PDF 88; scope leaf 9; region_xyxy_fraction=(0.1, 0.39, 0.76, 0.58); author note also at page region (0.10,0.67,0.76,0.80); qa/source/p071_footnote_detail.png	SOURCE_CONFIRMED	FULL_CORRESPONDENCE_REVIEWED
71	88	9	p071.u05	continuation	45-48	43-46	3	qa/source/p071_authority.png; full PDF 88; scope leaf 9; region_xyxy_fraction=(0.1, 0.58, 0.76, 0.64)	SOURCE_CONFIRMED	FULL_CORRESPONDENCE_REVIEWED
71	88	9	p071.u06	continuation to p.72	50-50	48-48	1	qa/source/p071_authority.png; full PDF 88; scope leaf 9; region_xyxy_fraction=(0.1, 0.63, 0.76, 0.67)	SOURCE_CONFIRMED	FULL_CORRESPONDENCE_REVIEWED
72	89	10	p072.u01	continuation of p071.u06	3-7	3-7	1	qa/source/p072_authority.png; full PDF 89; scope leaf 10; region_xyxy_fraction=(0.25, 0.14, 0.91, 0.2)	SOURCE_CONFIRMED	FULL_CORRESPONDENCE_REVIEWED
72	89	10	p072.u02	continuation	9-14	9-14	6	qa/source/p072_authority.png; full PDF 89; scope leaf 10; region_xyxy_fraction=(0.25, 0.2, 0.91, 0.29)	SOURCE_CONFIRMED	FULL_CORRESPONDENCE_REVIEWED
72	89	10	p072.u03	continuation	16-20	16-20	5	qa/source/p072_authority.png; full PDF 89; scope leaf 10; region_xyxy_fraction=(0.25, 0.29, 0.91, 0.36)	SOURCE_CONFIRMED	FULL_CORRESPONDENCE_REVIEWED
72	89	10	p072.u04	continuation	22-32	22-32	4	qa/source/p072_authority.png; full PDF 89; scope leaf 10; region_xyxy_fraction=(0.25, 0.36, 0.91, 0.5)	SOURCE_CONFIRMED	FULL_CORRESPONDENCE_REVIEWED
72	89	10	p072.u05	continuation	34-40	34-40	1	qa/source/p072_authority.png; full PDF 89; scope leaf 10; region_xyxy_fraction=(0.25, 0.49, 0.91, 0.58)	SOURCE_CONFIRMED	FULL_CORRESPONDENCE_REVIEWED
72	89	10	p072.u06	continuation	42-48	42-48	1	qa/source/p072_authority.png; full PDF 89; scope leaf 10; region_xyxy_fraction=(0.25, 0.58, 0.91, 0.67)	SOURCE_CONFIRMED	FULL_CORRESPONDENCE_REVIEWED
72	89	10	p072.u07	continuation to p.73	50-56	50-56	9	qa/source/p072_authority.png; full PDF 89; scope leaf 10; region_xyxy_fraction=(0.25, 0.67, 0.91, 0.79)	SOURCE_CONFIRMED	FULL_CORRESPONDENCE_REVIEWED
73	90	11	p073.u01	continuation of p072.u07	3-14	3-14	6	qa/source/p073_authority.png; full PDF 90; scope leaf 11; region_xyxy_fraction=(0.1, 0.14, 0.76, 0.31)	SOURCE_CONFIRMED	FULL_CORRESPONDENCE_REVIEWED
73	90	11	p073.u02	paragraph-start	16-21	16-21	1	qa/source/p073_authority.png; full PDF 90; scope leaf 11; region_xyxy_fraction=(0.1, 0.31, 0.76, 0.39)	SOURCE_CONFIRMED	FULL_CORRESPONDENCE_REVIEWED
73	90	11	p073.u03	continuation	23-31	23-30	4	qa/source/p073_authority.png; full PDF 90; scope leaf 11; region_xyxy_fraction=(0.1, 0.39, 0.76, 0.51)	SOURCE_CONFIRMED	FULL_CORRESPONDENCE_REVIEWED
73	90	11	p073.u04	continuation	33-43	32-43	26	qa/source/p073_authority.png; full PDF 90; scope leaf 11; region_xyxy_fraction=(0.1, 0.5, 0.76, 0.8)	SOURCE_CONFIRMED	FULL_CORRESPONDENCE_REVIEWED
74	91	12	p074.u01	continuation of p073.u04	3-11	3-11	7	qa/source/p074_authority.png; full PDF 91; scope leaf 12; region_xyxy_fraction=(0.25, 0.14, 0.91, 0.29)	SOURCE_CONFIRMED	FULL_CORRESPONDENCE_REVIEWED
74	91	12	p074.u02	paragraph-start	13-18	13-17	11	qa/source/p074_authority.png; full PDF 91; scope leaf 12; region_xyxy_fraction=(0.25, 0.28, 0.91, 0.38)	SOURCE_CONFIRMED	FULL_CORRESPONDENCE_REVIEWED
74	91	12	p074.section	heading	20-20	19-19	0	qa/source/p074_authority.png; full PDF 91; scope leaf 12; region_xyxy_fraction=(0.54, 0.39, 0.59, 0.41)	SOURCE_CONFIRMED	FULL_CORRESPONDENCE_REVIEWED
74	91	12	p074.u03	paragraph-start	22-34	21-33	7	qa/source/p074_authority.png; full PDF 91; scope leaf 12; region_xyxy_fraction=(0.25, 0.41, 0.91, 0.57)	SOURCE_CONFIRMED	FULL_CORRESPONDENCE_REVIEWED
74	91	12	p074.u04	continuation	36-43	35-42	10	qa/source/p074_authority.png; full PDF 91; scope leaf 12; region_xyxy_fraction=(0.25, 0.57, 0.91, 0.68)	SOURCE_CONFIRMED	FULL_CORRESPONDENCE_REVIEWED
74	91	12	p074.u05	continuation; section 4 continues on p.75, not produced in S01	45-54	44-53	9	qa/source/p074_authority.png; full PDF 91; scope leaf 12; region_xyxy_fraction=(0.25, 0.68, 0.91, 0.8)	SOURCE_CONFIRMED	FULL_CORRESPONDENCE_REVIEWED
