layer	page	authority_physical	printed_page	render_path	inspection_result	layout_checks	content_checks	notes
FRENCH	3	4	25	audit/renders/french/page-03.png	PASS	no clipping; no overlap; no missing glyphs; margins clear	ell-adic and de Rham formulae; universal extension; strict p'>p	All displayed sequences complete
FRENCH	4	5	26	audit/renders/french/page-04.png	PASS	no clipping; no overlap; no missing glyphs; margins clear	Examples 1-2; determinant; Legendre relation	Exterior-power indices and multiplication points legible
FRENCH	5	6	27	audit/renders/french/page-05.png	PASS	no clipping; no overlap; no missing glyphs; margins clear	Example 3; n-by-2n matrices; transpose identity; Section 2	Source n/2n and ces wording retained
FRENCH	6	7	28	audit/renders/french/page-06.png	PASS	no clipping; no overlap; no missing glyphs; margins clear	full H_phi definition; sigma inverse; p_E relation	All Hodge-type components visible
FRENCH	7	8	29	audit/renders/french/page-07.png	PASS	no clipping; no overlap; table rules aligned; margins clear	Inf/Res; complete two-column table; p_K; Section 3	All four rows present in both columns
FRENCH	8	9	30	audit/renders/french/page-08.png	PASS	no clipping; no overlap; no missing glyphs; margins clear	absolute Hodge definition; X notation; categories; Künneth	No X-bar/base-change modernization
FRENCH	9	10	31	audit/renders/french/page-09.png	PASS	no clipping; no overlap; underlines clear; margins clear	Theorem 1; unnumbered Borovoï corollary; Section 4; Theorem 2	No invented corollary numbering
FRENCH	10	11	32	audit/renders/french/page-10.png	PASS	no clipping; no overlap; no missing glyphs; margins clear	proof; lemma; C.Q.F.D.; remark; CM corollary/proof; strict inequalities	Exactly one explicit C.Q.F.D.; no automatic square
FRENCH	11	12	33	audit/renders/french/page-11.png	PASS	no clipping; no overlap; references and addresses aligned	References [1]-[7]; Deligne/Brylinski addresses; blank remainder	Terminal blank remainder preserved
ENGLISH	1	2	23	audit/renders/english/page-01.png	PASS	no clipping; no overlap; no missing glyphs; margins clear	standalone title/byline/written-up credit/summary/Section 1	Redactor role not promoted to coauthor
ENGLISH	2	3	24	audit/renders/english/page-02.png	PASS	no clipping; no overlap; no missing glyphs; margins clear	Betti/Hodge formulae and analytic exact sequence	Mathematics aligned with French and authority
ENGLISH	3	4	25	audit/renders/english/page-03.png	PASS	no clipping; no overlap; no missing glyphs; margins clear	ell-adic and de Rham formulae; universal extension; strict p'>p	No silent conventionalization of strict source sign
ENGLISH	4	5	26	audit/renders/english/page-04.png	PASS	no clipping; no overlap; no missing glyphs; margins clear	Examples 1-2; determinant; Legendre relation	All symbols and multiplication points preserved
ENGLISH	5	6	27	audit/renders/english/page-05.png	PASS	no clipping; no overlap; no missing glyphs; margins clear	Example 3; n-by-2n matrices; transpose identity; Section 2	Literal these complex embeddings retained
ENGLISH	6	7	28	audit/renders/english/page-06.png	PASS	no clipping; no overlap; no missing glyphs; margins clear	full H_phi definition; sigma inverse; p_E relation	No clipped definition clause
ENGLISH	7	8	29	audit/renders/english/page-07.png	PASS	no clipping; no overlap; table rules aligned; margins clear	Inf/Res; complete table; p_K; Section 3	All four rows present in both columns
ENGLISH	8	9	30	audit/renders/english/page-08.png	PASS	no clipping; no overlap; no missing glyphs; margins clear	absolute Hodge definition; X notation; categories; Künneth	No inserted base-change or étale notation
ENGLISH	9	10	31	audit/renders/english/page-09.png	PASS	no clipping; no overlap; underlines clear; margins clear	Theorem 1; unnumbered Borovoï corollary; Section 4; Theorem 2	No invented numbering
ENGLISH	10	11	32	audit/renders/english/page-10.png	PASS	no clipping; no overlap; no missing glyphs; margins clear	proof; lemma; Q.E.D.; remark; CM corollary/proof; strict inequalities	Exactly one translated Q.E.D.; no automatic square
ENGLISH	11	12	33	audit/renders/english/page-11.png	PASS	no clipping; no overlap; references and addresses aligned	References [1]-[7]; both addresses; blank remainder	Terminal topology preserved
APPARATUS	1			audit/renders/apparatus/page-1.png	PASS	no clipping; no overlap; no missing glyphs; margins clear	A001-A009; corrected publication line; ZERO_ACCEPTED policy	Copy-matter exclusion and main source hazards legible
APPARATUS	2			audit/renders/apparatus/page-2.png	PASS	no clipping; no overlap; no missing glyphs; margins clear	A010-A018; final audit summary	Restrained two-page apparatus; no parallel transcription
