"source_title","local_or_remote_path","bytes","access_license_signal","source_type","authority_gate","language_gate","next_action","witness_id","branch_floor","sha256","source_use_label"
"Takiyuddin'in Cebir Risalesi Belleten HTML","source-bodies\ota_Arab\OTA-CEBIR-004_Belleten_Takiyuddin_Cebir_Risalesi.html","70495","public web/PDF access signal; no license-clearance claim","HTML provenance lead","source-body-present when body/hash present; draft/noncanonical only","ota_Arab","trace manuscript image/call-number source body for Cebir/Ilm-i Cebir/Hesab Tahlili; keep Pan-Turkic separate","OTA-CEBIR-004","8f7d1cb30ca4347812d05bfbe110b134bb758870","71bb3880161ca340a055547e145a001e64cc11fc24851c3c488e51edbb3cbb83","Ottoman/Turkic RTL-adjacent provenance lead; not literal Ottoman Arabic-script mathematical source body"
"Urdu Wikibooks linear algebra chapter index","https://ur.wikibooks.org/wiki/%D9%84%DA%A9%DB%8C%D8%B1%DB%8C_%D8%A7%D9%84%D8%AC%D8%A8%D8%B1%D8%A7","","web recovery lead; no license-clearance claim","web/native HTML; raw bodies already captured locally in cycle3","pointer-only/recovery-gap until body/hash captured","ur_Arab","Use as captured source-body candidate; continue university/open-course PDF search.","UR-WEB-20260706-001","8f7d1cb30ca4347812d05bfbe110b134bb758870","","source-gated support candidate for Urdu only; not Arabic/Persian/Dari/Tajik/Hindustani authorization"
"Urdu Wikibooks eigenvalue/eigenvector/eigenspace chapter","https://ur.wikibooks.org/wiki/%D9%84%DA%A9%DB%8C%D8%B1%DB%8C_%D8%A7%D9%84%D8%AC%D8%A8%D8%B1%D8%A7/%D8%A8%D8%A7%D8%A8_6","","web recovery lead; no license-clearance claim","web/native HTML with formula-neighboring prose; raw body captured locally in cycle3","pointer-only/recovery-gap until body/hash captured","ur_Arab","Use for draft/non-canonical scaffold rows; seek independent PDF witness.","UR-WEB-20260706-002","8f7d1cb30ca4347812d05bfbe110b134bb758870","","source-gated Urdu eigen/linear-algebra support only"
"Urdu Wikipedia eigenvalue page","https://ur.wikipedia.org/wiki/%D9%88%DB%8C%DA%98%DB%81_%D9%82%D8%AF%D8%B1","","web recovery lead; no license-clearance claim","web encyclopedia comparator","pointer-only/recovery-gap until body/hash captured","ur_Arab","Keep as adverse/comparator lead; do not use to certify terms.","UR-WEB-20260706-003","8f7d1cb30ca4347812d05bfbe110b134bb758870","","comparator/source-context lead only; not accepted terminology"
"NYU Urdu math glossary PDF","https://docs.steinhardt.nyu.edu/pdfs/metrocenter/atn293/pdf/next_generation_math_glossary_terms_only_Urdu.pdf","","web recovery lead; no license-clearance claim","PDF glossary; school-level math terms","pointer-only/recovery-gap until body/hash captured","ur_Arab","Record as glossary lead; not sufficient for R3 proof/lecture witness.","UR-WEB-20260706-004","8f7d1cb30ca4347812d05bfbe110b134bb758870","","glossary comparator only, not advanced linear-algebra source body"
"Elevify Urdu linear algebra course prose","https://www.elevify.com/ur-pk/%DA%A9%D9%88%D8%B1%D8%B3%D8%B2/%D8%B7%D8%A8%DB%8C%D8%B9%DB%8C-%D8%B9%D9%84%D9%88%D9%85-%D8%A7%D9%88%D8%B1-%D8%AA%D8%AD%D9%82%DB%8C%D9%82/%D8%B1%DB%8C%D8%A7%D8%B6%DB%8C/%D8%A8%D9%86%DB%8C%D8%A7%D8%AF%DB%8C-%D9%84%DB%8C%D9%86%D8%A6%D8%B1-%D8%A7%D9%84%D8%AC%D8%A8%D8%B1%D8%A7-%DA%A9%D9%88%D8%B1%D8%B3-6315a","","web recovery lead; no license-clearance claim","web course page; provenance/source-body uncertain","pointer-only/recovery-gap until body/hash captured","ur_Arab","Do not treat as source-body closure; search for institution/open course PDFs.","UR-WEB-20260706-005","8f7d1cb30ca4347812d05bfbe110b134bb758870","","recovery lead only; possible generated/translated web text"
"Belleten article on Takiyuddin Cebir Risalesi","https://belleten.gov.tr/tam-metin/2426/tur","","web recovery lead; no license-clearance claim","modern Turkish article/provenance carrier","pointer-only/recovery-gap until body/hash captured","ota_Arab","Use for manuscript/work tracing; do not draft Ottoman terms from this alone.","OTA-WEB-20260706-001","8f7d1cb30ca4347812d05bfbe110b134bb758870","","Ottoman/Turkic provenance only; not literal Ottoman Arabic-script body"
"DergiPark PDF for Takiyuddin Cebir Risalesi article","https://dergipark.org.tr/en/download/article-file/1641012","","web recovery lead; no license-clearance claim","modern article PDF/provenance carrier","pointer-only/recovery-gap until body/hash captured","ota_Arab","Trace cited manuscript/work details; no source certification.","OTA-WEB-20260706-002","8f7d1cb30ca4347812d05bfbe110b134bb758870","","Ottoman/Turkic provenance only; not literal source body"
"Dört Öge Ottoman mathematics overview","https://dergipark.org.tr/tr/download/article-file/567503","","web recovery lead; no license-clearance claim","modern Turkish PDF with references","pointer-only/recovery-gap until body/hash captured","ota_Arab","Use references for Cebir Risalesi and Hesab-i Tahlili recovery.","OTA-WEB-20260706-003","8f7d1cb30ca4347812d05bfbe110b134bb758870","","provenance/recovery lead only"
"Istanbul University thesis on Vidinli Hüseyin Tevfik Paşa","https://nek.istanbul.edu.tr/ekos/TEZ/52058.pdf","","web recovery lead; no license-clearance claim","modern thesis PDF; points to Usul-i Cebir/Zeyl-i Usul-i Cebir","pointer-only/recovery-gap until body/hash captured","ota_Arab","Trace catalog/scans for literal Ottoman-script algebra bodies.","OTA-WEB-20260706-004","8f7d1cb30ca4347812d05bfbe110b134bb758870","","provenance/recovery lead only"
"Yildiz PDF on Ottoman mathematics education and early mathematicians","https://www.ek.yildiz.edu.tr/images/images/yayinlar/osmanlidailkmatematikciler.pdf","","web recovery lead; no license-clearance claim","modern PDF overview","pointer-only/recovery-gap until body/hash captured","ota_Arab","Use bibliography for source-body search; no term promotion.","OTA-WEB-20260706-005","8f7d1cb30ca4347812d05bfbe110b134bb758870","","provenance/recovery lead only"
