paper,old_chars,new_chars,old_tokens,new_tokens,similarity,delta_band,diff_hunks,inserted_tokens,deleted_tokens,replaced_old_tokens,replaced_new_tokens,equal_tokens,old_normalized_sha256,new_normalized_sha256,translation_sync_status
27,1599,1599,297,297,1.00000000,normalized-identical,0,0,0,0,0,297,95075fa5f573f775cc190996218af40685bef762e7c5592c69114c95765e140f,95075fa5f573f775cc190996218af40685bef762e7c5592c69114c95765e140f,source-identical-no-delta-detected
28,1363,1363,210,210,1.00000000,normalized-identical,0,0,0,0,0,210,aff5f11e95caabf075071bafdb06b2edead5c192cc90c0705bf5da9b6faacb3d,aff5f11e95caabf075071bafdb06b2edead5c192cc90c0705bf5da9b6faacb3d,source-identical-no-delta-detected
29,20826,20864,4866,4865,0.98859316,moderate-delta,12,48,42,14,7,4810,b7598f9d5a96530663b436f465b488be94e746577ed877e7362e9222fb05d6ca,932868ecfe6a3ba06147737eff4961599b2da3fa9bdab94184776f50fb885858,review-and-propagation-required
30,105092,106113,24684,25022,0.98752666,moderate-delta,271,325,18,123,154,24543,9e6e9bec4d911097a4ab64a6fe8a6f6bfc36676f18ac5437099366eef648978d,7c10003b3f7719bdba5ec7bc69315f8f13783c2999a9e693052a6e39924f7dd6,review-and-propagation-required
31,79624,79623,18338,18337,0.99991820,small-delta,1,0,0,2,1,18336,c575f4db162ef03f8e094003e6d85e42b984cd4b8e79f1db6db9c74e56e5f81e,840b88712935716703a40c60bca72d7c7d120c64bee699f6079fa87ec772c1c2,review-and-propagation-required
32,22092,22088,5063,5061,0.99960490,small-delta,1,0,0,3,1,5060,ab5658ff409372cf8aeaae253ead4c5644a4a7b223851e52f2668edfa0b0121f,6a47254c11be4eaf4e16b594b2c63196e76eda82626f3987310679b88c28a287,review-and-propagation-required
33,9252,9252,1699,1699,1.00000000,normalized-identical,0,0,0,0,0,1699,e0b5991e6852dccf6542480ac829f45de157e911c06253724042a228ecfdbfd6,e0b5991e6852dccf6542480ac829f45de157e911c06253724042a228ecfdbfd6,source-identical-no-delta-detected
34,120663,121423,30226,30484,0.99001812,moderate-delta,190,220,25,149,212,30052,43361c23259372a70ffde8a5e0663a292085cf82a28f1db3a04b0eb3591874ce,eb05a8145878d9ca375829bad1bd5dfa81c215beeeab5ffadb63397a7b51eb82,review-and-propagation-required
35,32364,32366,8648,8652,0.99953757,small-delta,2,0,0,2,6,8646,7a7a494e58e01ce84590f8e94c74ac5370c1567f0c8c668fc63f76d2ad0295e0,02000d0785645f524881218aadb644cf335bbecdcb02842e5cc623c9f73db899,review-and-propagation-required
36,565,565,102,102,1.00000000,normalized-identical,0,0,0,0,0,102,ec5e29fc39ab6cb1bf10c74bfc627f4881a9c5656368d59ce04da18b179a3576,ec5e29fc39ab6cb1bf10c74bfc627f4881a9c5656368d59ce04da18b179a3576,source-identical-no-delta-detected
37,21387,21387,4938,4938,1.00000000,normalized-identical,0,0,0,0,0,4938,516792b26d9688745bdd8412ab0289044e3608075597d67b48620a2136f3e043,516792b26d9688745bdd8412ab0289044e3608075597d67b48620a2136f3e043,source-identical-no-delta-detected
38,26191,26191,5930,5930,1.00000000,normalized-identical,0,0,0,0,0,5930,669d87c0596a66e78cef65904ddfaf9fc70d229e6ad7360370fc8375ce30820d,669d87c0596a66e78cef65904ddfaf9fc70d229e6ad7360370fc8375ce30820d,source-identical-no-delta-detected
39,18244,18244,3719,3719,1.00000000,normalized-identical,0,0,0,0,0,3719,b2817cd5586afd84ffa2341d6edddd02395cafff2e9eab135bc9a9020d88827c,b2817cd5586afd84ffa2341d6edddd02395cafff2e9eab135bc9a9020d88827c,source-identical-no-delta-detected
40,80861,81152,17960,18134,0.98925029,moderate-delta,111,184,35,72,97,17853,e2709c4f1e5b78a46447b94fa288639b125d9075395b50cd8125a9baa7552a82,9baf6503db9b264e1f036924519d3e3435780f098aac0c56b3f98296435544af,review-and-propagation-required
41,26569,26569,6041,6041,0.99983446,small-delta,1,0,0,1,1,6040,915cbca3b237c5006b66963addf3fba709cbb80dc64939091712d0f1d29adda6,e5cd45688305d1271f1ff745c26ab9d1eec66ea1e868c585f2b16a236c82f7b7,review-and-propagation-required
42,23372,23372,5539,5539,1.00000000,normalized-identical,0,0,0,0,0,5539,875338c523211e11eecb04106fe5cbce89577472a691d19f3097c5cfa186064c,875338c523211e11eecb04106fe5cbce89577472a691d19f3097c5cfa186064c,source-identical-no-delta-detected
43,93221,90835,22984,22446,0.98815761,moderate-delta,1,0,538,0,0,22446,94b4931b29edf91d4c2d99a487883cc6ecdd63229f070d08adec6078e5ca1ec1,771185a2d84d5e6de334980a0b6d185c98c1983f2c5e33cd9abb316bf16adb47,review-and-propagation-required
