concept,form,source_path,source_label,method,window
bijective,تقابل,extracted-ocr-witnesses/20260705T113500Z_arabic_homomorphism_isomorphism_probe/downloads/svu_mathematical_algebra.textcheck.txt,OCR-witness,direct_text, توزيعيه‪ ،‬ديمورغان‪ ،‬جداء‬ ‫ديكارتي‪ ،‬زوج مرتب‪ ،‬اتبع‪ ،‬متباين‪ ،‬غامر‪ ،‬تقابل‪ ،‬تركيب التوابع‪ ،‬التابع العكسي‪ ،‬بيان اتبع‪ ،‬اتبع عددي‪.‬‬  ‫ملخص‪:‬‬  ‫يه
bijective,تقابل,extracted-ocr-witnesses/20260705T140400Z_arabic_artinian_noetherian_chain_probe/downloads/syriamath_structures3_noetherian_artinian_modules.textcheck.txt,OCR-witness,direct_text,ئيه من التي تحوي‬ ‫حسب مبرهنه التماثل بين المودوالت الجزئيه من‬ ‫وهي سلسله من‬ ‫تقابل السلسله‬ ‫نجد ما يلي ‪ :‬ان السلسله‬ ‫‪.‬‬ ‫المودوالت الجزئيه من التي تحوي بحيث
binary form,صورة ثنائية,extracted-ocr-witnesses/20260705T072800Z_arabic_hindawi_structured_text_probe/downloads/hindawi_what_is_the_use.fulltext.txt,OCR-witness,direct_text,‪ ،‬وكانت الانسجه الرخوه غري مرئيه الي حد كبري‪ .‬لكن‬ ‫الصعوبه الاهم كانت ان الصوره ثنائيه الابعاد‪ .‬في الواقع‪ ،‬لقد سطحت التخطيط الداخلي‪،‬‬ ‫وصنعت ترا كبا لصور جميع ا
coefficient,معامل,extracted-ocr-witnesses/20260705T072800Z_arabic_hindawi_structured_text_probe/downloads/hindawi_numbers.fulltext.txt,OCR-witness,direct_text,ذن ‪ .q = 163 < 2 × 100‬وتوضح املبرهنه الدقيقه التي تتضمن حج م ما‬ ‫يط لق عليه »معاملات ذات الحد ين املركزيه« )املشروحه في الفصل الخامس( ان الفرضيه‬ ‫تنطبق ‬ ‫ايضا ع
coefficient,معامل,extracted-ocr-witnesses/20260705T072800Z_arabic_hindawi_structured_text_probe/downloads/hindawi_what_is_the_use.fulltext.txt,OCR-witness,direct_text,زر ذات بني الحصر املتعدده واملنفصله طبقتني اضافيتني اعلي‬ ‫واسفل السندوتش‪ ،‬مع معامل انكسار اقل من الطبقات الثلاثه الوسطي‪ ،‬مما يحصر‬ ‫الضوء داخل تجويف الليزر‪ .‬م
coefficient,معامل,extracted-ocr-witnesses/20260705T113500Z_arabic_homomorphism_isomorphism_probe/downloads/ens_kouba_alg411.textcheck.txt,OCR-witness,direct_text,وعي‪ :‬دروس ‪ 1 :‬سا ‪ 30‬د‬ ‫اعمال موجهه‪ 1 :‬سا و ‪ 30‬د‬ ‫النظام‪ :‬سنوي‬ ‫المعامل‪2 :‬‬ ‫مقدمه‪:‬‬ ‫ان برنامج الجبر للسنه الرابعه يتناول بالدراسه الحقول التبديلي
coefficient,معامل,extracted-ocr-witnesses/20260705T113500Z_arabic_homomorphism_isomorphism_probe/downloads/svu_mathematical_algebra.textcheck.txt,OCR-witness,direct_text,‬  ‫كثير حدود‪ ،‬خطي‪ ،‬تربيعي‪ ،‬تكعيبي‪ ،‬درجه كثير حدود‪ ،‬الحد الرئيسي‪ ،‬المعامل الرئيسي‪ ،‬خاصه تبديليه‪ ،‬خاصه تجميعيه‪،‬‬ ‫خاصه توزيعيه‪ ،‬قاسم مشترك‪ ،‬قاسم
coefficient,معامل,extracted-ocr-witnesses/20260705T113500Z_arabic_homomorphism_isomorphism_probe/downloads/syriamath_structures2_ring_homomorphism.textcheck.txt,OCR-witness,direct_text,‬ ‫) (‬  ‫∑‬ ‫انه كثره حدود معرفه علي‬  ‫حث‬  ‫عدد طبع و‬ ‫‪+‬‬  ‫سمي‬  ‫*‬  ‫المعامل الرئس للحدوده ) ( ونرمز له ب‪:‬‬ ‫)) ( (‬  ‫فان درجه الحدوده تكون‬ ‫اذا كان‬ ‫)
commutative ring,حلقة تبديلية,extracted-ocr-witnesses/20260705T061900Z_arabic_damascus_specialist_ring_matrix_probe/downloads/damascus_cayley_hamilton_pdf.first5.txt,OCR-witness,direct_text," .1‬تعاريف‪ ،‬ومبرهنات اساسيه‪.‬‬ ‫‪ .1-1‬تعريف ]‪ :[1,2,3,4,5,7,14,16‬لتكن ‪ R‬حلقه تبديليه ذات عنصر محايد( او‬ ‫اختصا ار حلقه واحديه تبديليه)‪ ،‬ونرمز لمجموعه كل العناصر "
commutative ring,حلقة تبديلية,extracted-ocr-witnesses/20260705T061900Z_arabic_damascus_specialist_ring_matrix_probe/downloads/damascus_prufer_ring_pdf.first5.txt,OCR-witness,direct_text,يطه‪ ،‬الراشد‬  ‫حلقه برفير والحلقه الحسابيه‬  ‫‪ 5.1‬تعريف ([‪ :)]2[ ،]1‬لتكنR حلقه تبديليه ذات عنصر محايد‪.‬‬  ‫‪ -‬نقول عن المجموعه R ⊂ S ≠ φ انها مغلقه ضربيا‪ ،‬اذا وفق
commutative ring,حلقة تبديلية,extracted-ocr-witnesses/20260705T113500Z_arabic_homomorphism_isomorphism_probe/downloads/svu_mathematical_algebra.textcheck.txt,OCR-witness,direct_text,ليه‪.‬‬ ‫• مجموعه كثيرات الحدود ابمثال حقيقيه )نرمز لها عاده ب ]‪ (R[X‬عباره عن حلقه تبديليه‪.‬‬  ‫• تشكل اجملموعه )‪ PP(X‬حلقه تبديليه ابلنسبه لقانوني التشكيل الداخليين ال
commutative ring,حلقة تبديلية,extracted-ocr-witnesses/20260705T113500Z_arabic_homomorphism_isomorphism_probe/downloads/syriamath_structures2_ring_homomorphism.textcheck.txt,OCR-witness,direct_text,‬نعلم ان كل DI ال تحوي قواسم الصفر‪ ،‬هل كل ما ليست DI تحوي قواسم الصفر؟‬ ‫‪ 2Z‬حلقه تبديليه ال تحوي قواسم الصفر وليست DI النها ال تحوي ‪1‬‬ ‫الحلقه التامه هي حلقه تبديليه 
commutative ring,حلقة تبديلية,source-bodies/native-text/20260705T023000Z_arabic_mediawiki_source_text_probe/downloads/حقل__رياضيات__oldid_75116379.wiki.txt,native-source-body,direct_text,"ن انشاء ''r''<sub>1</sub>·''r''<sub>2</sub>]]  الاختبار الثلاثي  # (F,+ , .) هو حلقه تبديليه # حلقه لها محايد ضربي هو "" 3<math>\surd </math> 0 + 1 = 1 ومحايد جمعي هو 3<math"
corollary,نتيجة,extracted-ocr-witnesses/20260705T061900Z_arabic_damascus_specialist_ring_matrix_probe/downloads/damascus_cayley_hamilton_pdf.first5.txt,OCR-witness,direct_text,"""‪،""Nakayama‬‬ ‫تبين ان كل منطقه ""‪ ""Pruefer‬تكافئ حلقه الناظميه محليا‬ ‫ومن ثم نتيجه (‪ )4-4‬‬ ‫‪،‬وذلك باالستفاده من الشروط في المبرهنه (‪.)3-4‬‬  ‫الكلمات المفتاح"
corollary,نتيجة,extracted-ocr-witnesses/20260705T061900Z_arabic_damascus_specialist_ring_matrix_probe/downloads/damascus_prufer_ring_pdf.first5.txt,OCR-witness,direct_text,ها حتي‬  ‫تكون حلقه الخارج لها هي حلقه حسابيه‪ ،‬وذلك بواسطه المبرهنه (‪ )1.3‬وكنتيجه عن هذه‬ ‫المبرهنه اذا كانت R منطقه برفير عندئذ حلقه الخارج لها هي حلقه حسابيه‪.
corollary,نتيجة,extracted-ocr-witnesses/20260705T072800Z_arabic_hindawi_structured_text_probe/downloads/hindawi_numbers.fulltext.txt,OCR-witness,direct_text,ر انفسنا بهذه الطريقه‪ ،‬ربما نختار التركيز علي تحليل العدد الي عوامل؛ اي‬ ‫‬ ‫كنتيجه لاعداد اصغر مضروب ه مع ا‪ .‬يكشف‬ ‫الطريقه التي يمكن من خلالها كتابه العدد‬ ‫ال
corollary,نتيجة,extracted-ocr-witnesses/20260705T072800Z_arabic_hindawi_structured_text_probe/downloads/hindawi_what_is_the_use.fulltext.txt,OCR-witness,direct_text,لحه للاستخدام في الابحاث املستقبليه‪ ،‬وان تمتد — بغض النظر عن‬ ‫فروع عديده‬ ‫النتيجه‪ ،‬وسواء تسب ب هذا في سعادتنا او اضاف الي حريتنا — الي‬ ‫‬ ‫من العلم‪.‬‬ ‫يوجني
corollary,نتيجة,extracted-ocr-witnesses/20260705T113500Z_arabic_homomorphism_isomorphism_probe/downloads/ens_kouba_alg411.textcheck.txt,OCR-witness,direct_text,لفصول ‪ -‬نظريه العنصر المولد وبرهانها ‪-‬‬ ‫مميزته صفر هو توسيع جبري بسيط ]وهي نتيجه‬ ‫ان كل توسيع منته لحقل ‬ ‫الاشاره‪ ،‬مع البرهان‪ ،‬الي ‬ ‫لنظريه العنصر المولد
covariant,مصاحب,extracted-ocr-witnesses/20260705T072800Z_arabic_hindawi_structured_text_probe/downloads/hindawi_numbers.fulltext.txt,OCR-witness,direct_text, مثلثات عن طريق الخطوط القطريه التي لا تقطع بعضها‬ ‫‬ ‫بعضا؛ ويوجد تفسريات اخري مصاحبه لهذه الخطوط‪ .‬وكما هي الحال مع معاملات‬ ‫ذات الحدين‪ ،‬توجد معادلات تربط الاع
covariant,مصاحب,extracted-ocr-witnesses/20260705T132600Z_arabic_ring_homomorphism_curriculum_probe/downloads/anbar_mathematics_arabic_program.textcheck.txt,OCR-witness,direct_text,السئله‬ ‫التحفيزيه‬  ‫‪13‬‬  ‫‪ 2‬نظري‬  ‫يتعلم مفهوم المقاس‬ ‫المنته التولد المصاحب‬  ‫المقاس المنته التولد المصاحب‬  ‫محاضره‬ ‫حضوريه‬  ‫‪14‬‬  ‫‪ 2‬نظري‬  ‫التاك
decomposition,تحليل,extracted-ocr-witnesses/20260705T051200Z_arabic_abstract_algebra_module_probe/downloads/mustansiriyah_abstract_algebra_principles.first5.txt,OCR-witness,direct_text,سيون“ في عام ‪ ،1985‬وحصل علي شهاده‬ ‫ادلكتوراه في الرايضيات البحته في اختصاص التحليل‬ ‫التابعي من جامعه بيير وماري كوري في ابريس عام ‪.1990‬‬  ‫الجبر‬  ‫يدرس ادلكتو
decomposition,تحليل,extracted-ocr-witnesses/20260705T054700Z_arabic_hiast_algebra_shelf_probe/downloads/hiast_algebra_I_abstract_algebra.first5.txt,OCR-witness,direct_text,سيون“ في عام ‪ ،1985‬وحصل علي شهاده‬ ‫ادلكتوراه في الرايضيات البحته في اختصاص التحليل‬ ‫التابعي من جامعه بيير وماري كوري في ابريس عام ‪.1990‬‬  ‫الجبر‬  ‫يدرس ادلكتو
decomposition,تحليل,extracted-ocr-witnesses/20260705T054700Z_arabic_hiast_algebra_shelf_probe/downloads/hiast_algebra_II_linear_algebra.first5.txt,OCR-witness,direct_text,ات التي درسها في المعهد العالي‬ ‫في مجالات الجبر العام‪ ،‬والجبر ‬ ‫الخطي‪ ،‬والتحليل‪ ،‬والمعادلات التفاضليه‪ ،‬والتحليل العقدي‪،‬‬ ‫والتحويلات التكامليه وغيرها‪ ،‬
decomposition,تحليل,extracted-ocr-witnesses/20260705T070300Z_arabic_fezzan_shamra_matrix_invariant_probe/downloads/fezzan_matrix_pdf.first5.txt,OCR-witness,direct_text,جامعه غريان‬، ‫ كليه العلوم‬، ‫ قسم الرياضيات‬1 ‫الملخص‬ ،‫يقدم هذا البحث دراسه تحليليه للبنيه الجبريه للمصفوفات الدائريه من خالل تطبيق ضرب كرونكر وضرب هادامار‬ ‫ يو
decomposition,تحليل,extracted-ocr-witnesses/20260705T072800Z_arabic_hindawi_structured_text_probe/downloads/hindawi_numbers.fulltext.txt,OCR-witness,direct_text,التفكري في الاعداد‬ ‫‬ ‫بعد تحرير انفسنا بهذه الطريقه‪ ،‬ربما نختار التركيز علي تحليل العدد الي عوامل؛ اي‬ ‫‬ ‫كنتيجه لاعداد اصغر مضروب ه مع ا‪ .‬يكشف‬ ‫الطريقه التي
definition,تعريف,extracted-ocr-witnesses/20260705T035500Z_arabic_official_pdf_probe/downloads/uotelafer_group_theory_lectures.first5.txt,OCR-witness,direct_text,"                 ‫المحاضره )‪(12‬‬                                           ‫• تعريف‪:‬‬   ‫مركز ‪Center‬الزمره )*‪(G,‬رمز له ب ‪CentG‬‬         ‫•‬ ‫‪CentG = { c "
definition,تعريف,extracted-ocr-witnesses/20260705T051200Z_arabic_abstract_algebra_module_probe/downloads/syriamath_algebraic_structures_3_modules.first5.txt,OCR-witness,direct_text,ووجدنا ان صورته وفق ̅ هو عنصر من‬ ‫(اخذنا عنصر من‬ ‫‪.‬‬ ‫ب‬ ‫هي نفسها وذلك حسب تعريف مقصور تطبيق ) اذا ̅ يصور‬ ‫( هو تطبيق وتشاكل ايضا  وال داعي الثبات ذلك النه مقص
definition,تعريف,extracted-ocr-witnesses/20260705T061900Z_arabic_damascus_specialist_ring_matrix_probe/downloads/damascus_cayley_hamilton_pdf.first5.txt,OCR-witness,direct_text,"ه  المجلد (‪ )36‬ العدد ‪2020 .2‬‬  ‫‪ .1‬تعاريف‪ ،‬ومبرهنات اساسيه‪.‬‬ ‫‪ .1-1‬تعريف ]‪ :[1,2,3,4,5,7,14,16‬لتكن ‪ R‬حلقه تبديليه ذات عنصر محايد( او‬ ‫اختصا ار حلقه"
definition,تعريف,extracted-ocr-witnesses/20260705T061900Z_arabic_damascus_specialist_ring_matrix_probe/downloads/damascus_prufer_ring_pdf.first5.txt,OCR-witness,direct_text,ط لمنطقه‬  ‫برفير المعرف في الحلقات العامه من قبل العالم s‪ ،[3] Fuch‬والذي يعد تعريفا للحلقه‬ ‫الحسابيه وذلك عام ‪.1949‬‬  ‫وهناك شروط اخري لمناطق برفير في الحلقات 
definition,تعريف,extracted-ocr-witnesses/20260705T070300Z_arabic_fezzan_shamra_matrix_invariant_probe/downloads/fezzan_matrix_pdf.first5.txt,OCR-witness,direct_text,"ياق االبحاث الرياضيه حول حلقات المصفوفات وعمليات الضرب المختلفه‪ ،‬تميزت دراسه ""تعريف ضرب‬ ‫كرونكر وضرب هادامار علي حلقه المصفوفات"" (‪ )2021‬للباحثه احالم الصويعي بت"
determinant,محدد,extracted-ocr-witnesses/20260705T051200Z_arabic_abstract_algebra_module_probe/downloads/syriamath_algebraic_structures_3_modules.first5.txt,OCR-witness,direct_text,‬ ‫النص مره اخري النه ياتي كسؤال امتحاني ( اكتب نص مبرهنه الحيه ويطلب برهان جزء محدد منها)‪.‬‬ ‫المبرهنه الحيه ‪ :‬ليكن المخطط التبديلي من التشاكالت المودوليه ‪.‬‬ 
determinant,محدد,extracted-ocr-witnesses/20260705T054700Z_arabic_hiast_algebra_shelf_probe/downloads/hiast_algebra_II_linear_algebra.first5.txt,OCR-witness,direct_text,يا‬  ‫الجبر الخطي‬  ‫‪2‬‬  ‫الفضاءات الشعاعيه والتطبيقات الخطيه‬ ‫المصفوفات والمحددات‬ ‫جمل المعادلات الخطيه‬ ‫اختزال التطبيقات الخطيه‬ ‫فضاءات الجداء السلمي‬  ‫ا
determinant,محدد,extracted-ocr-witnesses/20260705T072800Z_arabic_hindawi_structured_text_probe/downloads/hindawi_numbers.fulltext.txt,OCR-witness,direct_text,لخمسني علي التوالي‪ .‬كان النظام الاغريقي يعتمد علي التجميع بالعشرات‪،‬‬ ‫حروفا محدده للاشاره الي الارقام‪ ،‬واحيانا كانت تمي ز ‬ ‫‬ ‫بشر ‬ ‫طه لتعلم‬ ‫وكانوا يستخد
determinant,محدد,extracted-ocr-witnesses/20260705T072800Z_arabic_hindawi_structured_text_probe/downloads/hindawi_what_is_the_use.fulltext.txt,OCR-witness,direct_text,ط ‬ ‫ثم جعل علماء الرياضيات يخترعون ‬ ‫رقا لحلها‪ .‬ليس هناك خطا في اجراء ابحاث محدده‬ ‫الهدف من هذا النوع‪ ،‬لكن هذا يشبه خوض املرء معركه بذراع واحده‪ ،‬بينما الذر
determinant,محدد,extracted-ocr-witnesses/20260705T113500Z_arabic_homomorphism_isomorphism_probe/downloads/ens_kouba_alg411.textcheck.txt,OCR-witness,direct_text,‬امثله‪.‬‬ ‫‪ .8.1‬حقل جذور كثير حدود من الدرجه ‪ 3‬بمعاملات في حقل اعداد ‪:‬‬ ‫محدد كثير حدود من الدرجه الثالثه ‪ -‬تعيين حقل جذور كثير حدود من‬ ‫محدد كثير حدود ‪ 
dimension,بعد,extracted-ocr-witnesses/20260705T035500Z_arabic_official_pdf_probe/downloads/ksu_group_theory_course_spec.first5.txt,OCR-witness,direct_text,فه والمهارات الذهنيه والعمليه)‬                                  ‫يفترض بالطالب بعد دراسته لهذه المقرر ان يكون قادرا علي‪:‬‬ ‫‪Define and recognize different types
dimension,بعد,extracted-ocr-witnesses/20260705T061900Z_arabic_damascus_specialist_ring_matrix_probe/downloads/damascus_cayley_hamilton_pdf.first5.txt,OCR-witness,direct_text,"لمجلد (‪ )36‬ العدد ‪2020 .2‬‬  ‫تطبيق مبرهنه ""‪ ""Cayley-Hamilton‬وتمهيديات‬  ‫وبعد ""‪ ""Krull‬في دراسه العالقه بين مناطق‬ ‫""‪ ""Nakayama‬‬ ‫برفير والحلقات الناظميه "
dimension,بعد,extracted-ocr-witnesses/20260705T061900Z_arabic_damascus_specialist_ring_matrix_probe/downloads/damascus_prufer_ring_pdf.first5.txt,OCR-witness,direct_text,م ‪.1949‬‬  ‫وهناك شروط اخري لمناطق برفير في الحلقات العامه منها‪ :‬الحلقات ذات بعد شامل ضعيف‬ ‫اصغر او يساوي الواحد‪ ،‬والحلقات نصف الوراثيه‪ ،‬والحلقات الغاوسيه‪
dimension,بعد,extracted-ocr-witnesses/20260705T070300Z_arabic_fezzan_shamra_matrix_invariant_probe/downloads/fezzan_matrix_pdf.first5.txt,OCR-witness,direct_text,"مصفوفه‬ ‫تحقق شرط الحلقه النوثريه (وجود حد نهائي للنمو)‪ ،‬حيث ان التكرار محدود بعدد معين من الكتل االساسيه‪.‬‬ ‫لنفترض ان لدينا مصفوفتين B ‪ A,‬بحجم m × m ‪ n × n"
dimension,بعد,extracted-ocr-witnesses/20260705T072800Z_arabic_hindawi_structured_text_probe/downloads/hindawi_numbers.fulltext.txt,OCR-witness,direct_text, ليه‬ ‫‪ -٥‬الاعداد املهمه‬ ‫‪ -٦‬ما وراء اعداد العد‬ ‫‪ -٧‬نحو عدم التناهي وما بعده!‬ ‫‪ -٨‬الاعداد من منظور مختلف‬ ‫قراءات اضافيه‬  ‫‪7‬‬ ‫‪9‬‬ ‫‪23‬‬ ‫‪33‬‬ ‫‪4
direct product,الضرب المباشر,extracted-ocr-witnesses/20260705T035500Z_arabic_official_pdf_probe/downloads/ksu_group_theory_course_spec.first5.txt,OCR-witness,direct_text,"وتطبيقات عليها‪،‬‬ ‫‪theorem and its generalization,‬‬                         ‫الضرب المباشر‪ ،‬تصنيف الزمر ذوات الرتب الصغيره طبقا ‬ ‫‪permutation groups, action of a grou"
direct product,الضرب المباشر,extracted-ocr-witnesses/20260705T132600Z_arabic_ring_homomorphism_curriculum_probe/downloads/anbar_mathematics_arabic_program.textcheck.txt,OCR-witness,direct_text,لبسيطه‬  ‫محاضره‬ ‫حضوريه‬  ‫الحضور واالسئله‬ ‫التحفيزيه‬  ‫‪14‬‬  ‫‪ 2‬نظري‬  ‫الضرب المباشر الداخلي والخارجي‬  ‫محاضره‬  ‫الحضور واالسئله‬  ‫فهم الماده المقرره فهما‬ ‫صحيح
direct sum,مجموع مباشر,extracted-ocr-witnesses/20260705T113500Z_arabic_homomorphism_isomorphism_probe/downloads/damascus_module_representation_pdf.textcheck.txt,OCR-witness,direct_text,"ئيه بسيطه فيو‪.‬‬  ‫المودول‬  ‫بسيط (اصغري) اذا كان ال يحوي عمي‬  ‫يكتب عمي شكل مجموع مباشر لمودوالت جزئيه بسيطه فيو‪.‬‬  ‫‪ .1.8‬تعريف )‪ ( F.Kasch,1982,p.191‬يدعي المودو"
