concept,stratum,C2,ja_form,ja_hit_count,ja_file_count,ja_status,zh_hans_form,zh_hans_hit_count,zh_hans_file_count,zh_hans_status,ko_form,ko_hit_count,ko_file_count,ko_status,total_native_hit_count,cjk_lane_status,boundary,context_windows_json
commutative ring,cjk_scaffold_only,no,可換環,7,4,native_sourcebody_attested,交换环,10,2,native_sourcebody_attested,가환환,0,0,generated_scaffold_only_no_native_hit,17,ja:native_sourcebody_attested; zh_hans:native_sourcebody_attested; ko:generated_scaffold_only_no_native_hit,native source-body candidate only; no native review or accepted terminology claim,"[{""concept"": ""commutative ring"", ""lane"": ""japanese"", ""form"": ""可換環"", ""source_path"": ""source-files/japanese/imamuray__algebraic-systems/ch03-ring-and-polynomial/ch03-ring-and-polynomial.tex"", ""window"": "" a' R a + a' = 0 -a a' itemize defn defn R : ring, a, b R ab = ba R : 可換環(commutative ring) defn frame frame thm R : ring ! e R a R, ea = ae = ""}, {""concept"": ""commutative ring"", ""lane"": ""japanese"", ""form"": ""可換環"", ""source_path"": ""source-files/japanese/imamuray__algebraic-systems/ch03-ring-and-polynomial/ch03-ring-and-polynomial.tex"", ""window"": ""m lemText R : integral domain R[x] : integral domain lemText defn R : 可換環, R_1 R : 拡大可換環, c R_1, R[x] f(x) = a_0 + a_1 x + + a_m x^m R_1 f(c) a""}]"
complete system,noether_corpus,yes,,0,0,no_scaffold_row,,0,0,no_scaffold_row,,0,0,no_scaffold_row,0,no_cjk_scaffold,native source-body candidate only; no native review or accepted terminology claim,[]
completely reducible,cjk_scaffold_only,no,完全可約,0,0,generated_scaffold_only_no_native_hit,完全可约,0,0,generated_scaffold_only_no_native_hit,,0,0,no_scaffold_row,0,ja:generated_scaffold_only_no_native_hit; zh_hans:generated_scaffold_only_no_native_hit,native source-body candidate only; no native review or accepted terminology claim,[]
contravariant,noether_corpus,yes,,0,0,no_scaffold_row,,0,0,no_scaffold_row,,0,0,no_scaffold_row,0,no_cjk_scaffold,native source-body candidate only; no native review or accepted terminology claim,[]
conversely,proof_grammar,yes,,0,0,no_scaffold_row,,0,0,no_scaffold_row,,0,0,no_scaffold_row,0,no_cjk_scaffold,native source-body candidate only; no native review or accepted terminology claim,[]
corollary,proof_grammar,yes,,0,0,no_scaffold_row,,0,0,no_scaffold_row,,0,0,no_scaffold_row,0,no_cjk_scaffold,native source-body candidate only; no native review or accepted terminology claim,[]
covariant,noether_corpus,yes,,0,0,no_scaffold_row,,0,0,no_scaffold_row,,0,0,no_scaffold_row,0,no_cjk_scaffold,native source-body candidate only; no native review or accepted terminology claim,[]
decomposition,curriculum_algebra,yes,,0,0,no_scaffold_row,,0,0,no_scaffold_row,,0,0,no_scaffold_row,0,no_cjk_scaffold,native source-body candidate only; no native review or accepted terminology claim,[]
definition,proof_grammar,yes,,0,0,no_scaffold_row,,0,0,no_scaffold_row,,0,0,no_scaffold_row,0,no_cjk_scaffold,native source-body candidate only; no native review or accepted terminology claim,[]
determinant,curriculum_algebra,yes,,0,0,no_scaffold_row,,0,0,no_scaffold_row,,0,0,no_scaffold_row,0,no_cjk_scaffold,native source-body candidate only; no native review or accepted terminology claim,[]
dimension,curriculum_algebra,yes,,0,0,no_scaffold_row,,0,0,no_scaffold_row,,0,0,no_scaffold_row,0,no_cjk_scaffold,native source-body candidate only; no native review or accepted terminology claim,[]
division ring,cjk_scaffold_only,no,,0,0,no_scaffold_row,除环,0,0,generated_scaffold_only_no_native_hit,,0,0,no_scaffold_row,0,zh_hans:generated_scaffold_only_no_native_hit,native source-body candidate only; no native review or accepted terminology claim,[]
element,curriculum_algebra,yes,,0,0,no_scaffold_row,,0,0,no_scaffold_row,,0,0,no_scaffold_row,0,no_cjk_scaffold,native source-body candidate only; no native review or accepted terminology claim,[]
elementary divisor,noether_corpus,yes,,0,0,no_scaffold_row,,0,0,no_scaffold_row,,0,0,no_scaffold_row,0,no_cjk_scaffold,native source-body candidate only; no native review or accepted terminology claim,[]
endomorphism,cjk_scaffold_only,no,自己準同型,2,1,native_sourcebody_attested,自同态,0,0,generated_scaffold_only_no_native_hit,,0,0,no_scaffold_row,2,ja:native_sourcebody_attested; zh_hans:generated_scaffold_only_no_native_hit,native source-body candidate only; no native review or accepted terminology claim,"[{""concept"": ""endomorphism"", ""lane"": ""japanese"", ""form"": ""自己準同型"", ""source_path"": ""source-files/japanese/imamuray__algebraic-systems/ch03-ring-and-polynomial/ch03-ring-and-polynomial.tex"", ""window"": "" itemize defn Rem. x S, 0(x) = 0_R defn A : additive group, f A A : : 自己準同型(endomorphism) A f f A A : defn exmText A : additive group, f, g A , x""}, {""concept"": ""endomorphism"", ""lane"": ""japanese"", ""form"": ""自己準同型"", ""source_path"": ""source-files/japanese/imamuray__algebraic-systems/ch03-ring-and-polynomial/ch03-ring-and-polynomial.tex"", ""window"": ""(f + g)(x) = f(x) + g(x), (fg)(x) = f(g(x)) A : ring exmText Rem. A : 自己準同型環(endomorphism ring) frame frame thm R : ring enumerate 0 R, a R a0 = ""}]"
equation,proof_grammar,yes,,0,0,no_scaffold_row,,0,0,no_scaffold_row,,0,0,no_scaffold_row,0,no_cjk_scaffold,native source-body candidate only; no native review or accepted terminology claim,[]
example,proof_grammar,yes,,0,0,no_scaffold_row,,0,0,no_scaffold_row,,0,0,no_scaffold_row,0,no_cjk_scaffold,native source-body candidate only; no native review or accepted terminology claim,[]
exercise,proof_grammar,yes,,0,0,no_scaffold_row,,0,0,no_scaffold_row,,0,0,no_scaffold_row,0,no_cjk_scaffold,native source-body candidate only; no native review or accepted terminology claim,[]
exists,proof_grammar,yes,,0,0,no_scaffold_row,,0,0,no_scaffold_row,,0,0,no_scaffold_row,0,no_cjk_scaffold,native source-body candidate only; no native review or accepted terminology claim,[]
factor,curriculum_algebra,yes,,0,0,no_scaffold_row,,0,0,no_scaffold_row,,0,0,no_scaffold_row,0,no_cjk_scaffold,native source-body candidate only; no native review or accepted terminology claim,[]
field,curriculum_algebra,yes,体,114,14,native_sourcebody_attested,域,70,7,native_sourcebody_attested,체,41,3,native_sourcebody_attested,225,ja:native_sourcebody_attested; zh_hans:native_sourcebody_attested; ko:native_sourcebody_attested,native source-body candidate only; no native review or accepted terminology claim,"[{""concept"": ""field"", ""lane"": ""japanese"", ""form"": ""体"", ""source_path"": ""source-files/japanese/HideakiHosaka__2015_linear_algebra/20150415.tex"", ""window"": ""に取り組むときは、次のようなことを意識してください。 -0.5zw itemize 簡単な計算問題は、授業で扱った定理などを確かめるための具体例です。常に「どの定理を、どう使っているのか」を考えながら解きましょう。 どんな問題であっても、ただ解くだけでなく、見通しの良い解法を探すべ""}, {""concept"": ""field"", ""lane"": ""japanese"", ""form"": ""体"", ""source_path"": ""source-files/japanese/HideakiHosaka__2015_linear_algebra/20150415.tex"", ""window"": ""を利用しています。上に貼ったURLを開くと、古いバージョンのプリントや、そうしたプリントがどう更新されていったかも見ることができます。授業自体の役には立たないと思いますが、興味があれば見てみてください。 複素(数)平面の幾何 複素数と複素平面 複素数の定義 まず、最初に複素数の定義""}]"
finite,curriculum_algebra,yes,,0,0,no_scaffold_row,,0,0,no_scaffold_row,,0,0,no_scaffold_row,0,no_cjk_scaffold,native source-body candidate only; no native review or accepted terminology claim,[]
finite-dimensional,cjk_scaffold_only,no,有限次元,1,1,native_sourcebody_attested,有限维,22,4,native_sourcebody_attested,유한 차원,0,0,generated_scaffold_only_no_native_hit,23,ja:native_sourcebody_attested; zh_hans:native_sourcebody_attested; ko:generated_scaffold_only_no_native_hit,native source-body candidate only; no native review or accepted terminology claim,"[{""concept"": ""finite-dimensional"", ""lane"": ""japanese"", ""form"": ""有限次元"", ""source_path"": ""source-files/japanese/rsato64__relativisticQM/app2.tex"", ""window"": "" SU(2) リー代数について 有限次元の n n 行列、 A_1 、 A_2 、 A_3 が交換関係 align [A_1, A_2] = iA_3, [A_2, A_3] = ""}, {""concept"": ""finite-dimensional"", ""lane"": ""simplified_chinese"", ""form"": ""有限维"", ""source_path"": ""source-files/simplified_chinese/GooduckZ__Linear-Algebra-for-ZJUCKC/讲义/专题/第二十六讲 线性代数与解析几何基础.tex"", ""window"": ""下会研究 欧几里得空间 [Euclidean Space]下的问题. definition [欧几里得空间] 欧几里得空间(欧氏空间)是一个有限维实内积空间. definition 同学们可能对欧氏空间的几何直观更为熟悉.当欧氏空间的维数为 2 或 3 时,我们可以用熟悉的平面直角坐标""}]"
finitely generated,cjk_scaffold_only,no,有限生成,3,2,native_sourcebody_attested,有限生成,2,1,native_sourcebody_attested,,0,0,no_scaffold_row,5,ja:native_sourcebody_attested; zh_hans:native_sourcebody_attested,native source-body candidate only; no native review or accepted terminology claim,"[{""concept"": ""finitely generated"", ""lane"": ""japanese"", ""form"": ""有限生成"", ""source_path"": ""source-files/japanese/Seasawher__matsumura/section11.tex"", ""window"": ""4) (3) したがって定理8.10(i)により ^2 であるから、 proof NAKによっても示せる。 A はNoethernなので は有限生成 A 加群である。もし = ^2 なら、NAKにより a = 0 かつ a 1 なる a の存在がわかる。 (A, ) は局所環なので a ""}, {""concept"": ""finitely generated"", ""lane"": ""japanese"", ""form"": ""有限生成"", ""source_path"": ""source-files/japanese/Seasawher__matsumura/section11.tex"", ""window"": "" であると決定する。したがって、 I_P R_P は単項イデアルである。 comment proof 定理 11.3 (3) (1) I が有限生成なら (I^ -1 )_P = (I_P)^ -1 である。 rem K の部分加群として I^ -1 = (R : I) , (I_P)^""}]"
for all,proof_grammar,yes,,0,0,no_scaffold_row,,0,0,no_scaffold_row,,0,0,no_scaffold_row,0,no_cjk_scaffold,native source-body candidate only; no native review or accepted terminology claim,[]
form system,noether_corpus,yes,,0,0,no_scaffold_row,,0,0,no_scaffold_row,,0,0,no_scaffold_row,0,no_cjk_scaffold,native source-body candidate only; no native review or accepted terminology claim,[]
formula,proof_grammar,yes,,0,0,no_scaffold_row,,0,0,no_scaffold_row,,0,0,no_scaffold_row,0,no_cjk_scaffold,native source-body candidate only; no native review or accepted terminology claim,[]
free module,cjk_scaffold_only,no,自由加群,4,1,native_sourcebody_attested,,0,0,no_scaffold_row,,0,0,no_scaffold_row,4,ja:native_sourcebody_attested,native source-body candidate only; no native review or accepted terminology claim,"[{""concept"": ""free module"", ""lane"": ""japanese"", ""form"": ""自由加群"", ""source_path"": ""source-files/japanese/Seasawher__matsumura/section11.tex"", ""window"": "" より、 _K I K 1 である。また、 I は 0 でないので、 a I なる 0 でない元 a がある。 R は整域なので、 aR は自由加群である。ゆえに K aR K I K が判る。 したがって _K I K = 1 であり、包含関係があって次元が同じなので I K = K ""}, {""concept"": ""free module"", ""lane"": ""japanese"", ""form"": ""自由加群"", ""source_path"": ""source-files/japanese/Seasawher__matsumura/section11.tex"", ""window"": ""= a_i R_P である。 comment すでに、(1) (2)は示したので、 I は R 加群として射影的である。局所環上の射影加群は自由加群である(定理2.5)ことに帰着させる方針で示す。 I は分数イデアルなので、 I は R のあるイデアルと同型であり、はじめから I R と""}]"
function,curriculum_algebra,yes,,0,0,no_scaffold_row,,0,0,no_scaffold_row,,0,0,no_scaffold_row,0,no_cjk_scaffold,native source-body candidate only; no native review or accepted terminology claim,[]
ground form,noether_corpus,yes,,0,0,no_scaffold_row,,0,0,no_scaffold_row,,0,0,no_scaffold_row,0,no_cjk_scaffold,native source-body candidate only; no native review or accepted terminology claim,[]
group,curriculum_algebra,yes,,0,0,no_scaffold_row,群,725,8,native_sourcebody_attested,군,5,2,native_sourcebody_attested,730,zh_hans:native_sourcebody_attested; ko:native_sourcebody_attested,native source-body candidate only; no native review or accepted terminology claim,"[{""concept"": ""group"", ""lane"": ""simplified_chinese"", ""form"": ""群"", ""source_path"": ""source-files/simplified_chinese/ayhe123__algebra-lecturenote/1-4.tex"", ""window"": ""否只要 a 满足 b,ab=e,a 就可逆? 答案是否定的. 设 X 是全体 N N 的映射, 是映射的复合, 则 (X, ) 构成一个幺半群. 考虑 f,g X , [f:n n+1, g:n cases n-1, & n 1, 0, & n=0. cases ] 则 g f=e""}, {""concept"": ""group"", ""lane"": ""simplified_chinese"", ""form"": ""群"", ""source_path"": ""source-files/simplified_chinese/ayhe123__algebra-lecturenote/1-4.tex"", ""window"": ""[f:n n+1, g:n cases n-1, & n 1, 0, & n=0. cases ] 则 g f=e , 但 f g e . 群(对应教材4.2节) 一些记号和定义 下面我们不再区分群和群的集合, 比如说: 设 G=(X,+) 是群, 则 a G 实际上是在说 a X""}]"
group algebra,cjk_scaffold_only,no,,0,0,no_scaffold_row,群代数,0,0,generated_scaffold_only_no_native_hit,,0,0,no_scaffold_row,0,zh_hans:generated_scaffold_only_no_native_hit,native source-body candidate only; no native review or accepted terminology claim,[]
group ring/group algebra,cjk_scaffold_only,no,群環／群代数,0,0,generated_scaffold_only_no_native_hit,,0,0,no_scaffold_row,,0,0,no_scaffold_row,0,ja:generated_scaffold_only_no_native_hit,native source-body candidate only; no native review or accepted terminology claim,[]
homomorphism,curriculum_algebra,yes,準同型,36,4,native_sourcebody_attested,同态,111,4,native_sourcebody_attested,준동형사상,0,0,generated_scaffold_only_no_native_hit,147,ja:native_sourcebody_attested; zh_hans:native_sourcebody_attested; ko:generated_scaffold_only_no_native_hit,native source-body candidate only; no native review or accepted terminology claim,"[{""concept"": ""homomorphism"", ""lane"": ""japanese"", ""form"": ""準同型"", ""source_path"": ""source-files/japanese/imamuray__algebraic-systems/ch02-group/ch02-group.tex"", ""window"": "" = 3 , 3 + 1 = 0 ] exmText thmText N G G/N : 可換群 D(G) N thmText frame 準同型写像 textExmCount 0 frame defn f G G' : 準同型写像 (hom.) x,y G, f(xy) = f(x)""}, {""concept"": ""homomorphism"", ""lane"": ""japanese"", ""form"": ""準同型"", ""source_path"": ""source-files/japanese/imamuray__algebraic-systems/ch02-group/ch02-group.tex"", ""window"": ""N : 可換群 D(G) N thmText frame 準同型写像 textExmCount 0 frame defn f G G' : 準同型写像 (hom.) x,y G, f(xy) = f(x)f(y) defn Rem. 群の算法の種類には関係ない. Exm. G : 加法""}]"
ideal,curriculum_algebra,yes,イデアル,84,10,native_sourcebody_attested,理想,1,1,native_sourcebody_attested,아이디얼,0,0,generated_scaffold_only_no_native_hit,85,ja:native_sourcebody_attested; zh_hans:native_sourcebody_attested; ko:generated_scaffold_only_no_native_hit,native source-body candidate only; no native review or accepted terminology claim,"[{""concept"": ""ideal"", ""lane"": ""japanese"", ""form"": ""イデアル"", ""source_path"": ""source-files/japanese/HideakiHosaka__2015_linear_algebra/20150415.tex"", ""window"": ""る」という操作、より正確には「多項式 f(x) を x^2+1 で割った余りを考える」という操作 代数学の用語では「多項式環 R [x] をイデアル (x^2+1) で割る」という操作に相当します。 をすれば、多項式の変数だった x が -1 の平方根であるかのように振る舞います。これを""}, {""concept"": ""ideal"", ""lane"": ""japanese"", ""form"": ""イデアル"", ""source_path"": ""source-files/japanese/imamuray__algebraic-systems/ch03-ring-and-polynomial/ch03-ring-and-polynomial.tex"", ""window"": ""uaternion ring) thm R : integral domain or field 0, 1 R 0 1 thm frame イデアルと商環 textExmCount 0 frame defn R : ring, J R, J enumerate a, b J a + b ""}]"
identity,proof_grammar,yes,,0,0,no_scaffold_row,,0,0,no_scaffold_row,,0,0,no_scaffold_row,0,no_cjk_scaffold,native source-body candidate only; no native review or accepted terminology claim,[]
if and only if,proof_grammar,yes,,0,0,no_scaffold_row,,0,0,no_scaffold_row,,0,0,no_scaffold_row,0,no_cjk_scaffold,native source-body candidate only; no native review or accepted terminology claim,[]
image,curriculum_algebra,yes,,0,0,no_scaffold_row,,0,0,no_scaffold_row,,0,0,no_scaffold_row,0,no_cjk_scaffold,native source-body candidate only; no native review or accepted terminology claim,[]
invariant,noether_corpus,yes,,0,0,no_scaffold_row,,0,0,no_scaffold_row,,0,0,no_scaffold_row,0,no_cjk_scaffold,native source-body candidate only; no native review or accepted terminology claim,[]
invariant theory,noether_corpus,yes,,0,0,no_scaffold_row,,0,0,no_scaffold_row,,0,0,no_scaffold_row,0,no_cjk_scaffold,native source-body candidate only; no native review or accepted terminology claim,[]
irreducible representation,cjk_scaffold_only,no,既約表現,0,0,generated_scaffold_only_no_native_hit,不可约表示,0,0,generated_scaffold_only_no_native_hit,기약 표현,0,0,generated_scaffold_only_no_native_hit,0,ja:generated_scaffold_only_no_native_hit; zh_hans:generated_scaffold_only_no_native_hit; ko:generated_scaffold_only_no_native_hit,native source-body candidate only; no native review or accepted terminology claim,[]
isomorphism,curriculum_algebra,yes,同型,46,5,native_sourcebody_attested,同构,118,7,native_sourcebody_attested,동형사상,0,0,generated_scaffold_only_no_native_hit,164,ja:native_sourcebody_attested; zh_hans:native_sourcebody_attested; ko:generated_scaffold_only_no_native_hit,native source-body candidate only; no native review or accepted terminology claim,"[{""concept"": ""isomorphism"", ""lane"": ""japanese"", ""form"": ""同型"", ""source_path"": ""source-files/japanese/imamuray__algebraic-systems/ch02-group/ch02-group.tex"", ""window"": ""= 3 , 3 + 1 = 0 ] exmText thmText N G G/N : 可換群 D(G) N thmText frame 準同型写像 textExmCount 0 frame defn f G G' : 準同型写像 (hom.) x,y G, f(xy) = f(x)""}, {""concept"": ""isomorphism"", ""lane"": ""japanese"", ""form"": ""同型"", ""source_path"": ""source-files/japanese/imamuray__algebraic-systems/ch02-group/ch02-group.tex"", ""window"": "" : 可換群 D(G) N thmText frame 準同型写像 textExmCount 0 frame defn f G G' : 準同型写像 (hom.) x,y G, f(xy) = f(x)f(y) defn Rem. 群の算法の種類には関係ない. Exm. G : 加法""}]"
kernel,curriculum_algebra,yes,,0,0,no_scaffold_row,,0,0,no_scaffold_row,,0,0,no_scaffold_row,0,no_cjk_scaffold,native source-body candidate only; no native review or accepted terminology claim,[]
lemma,proof_grammar,yes,,0,0,no_scaffold_row,,0,0,no_scaffold_row,,0,0,no_scaffold_row,0,no_cjk_scaffold,native source-body candidate only; no native review or accepted terminology claim,[]
matrix,curriculum_algebra,yes,,0,0,no_scaffold_row,,0,0,no_scaffold_row,,0,0,no_scaffold_row,0,no_cjk_scaffold,native source-body candidate only; no native review or accepted terminology claim,[]
maximal ideal,cjk_scaffold_only,no,極大イデアル,12,5,native_sourcebody_attested,极大理想,0,0,generated_scaffold_only_no_native_hit,,0,0,no_scaffold_row,12,ja:native_sourcebody_attested; zh_hans:generated_scaffold_only_no_native_hit,native source-body candidate only; no native review or accepted terminology claim,"[{""concept"": ""maximal ideal"", ""lane"": ""japanese"", ""form"": ""極大イデアル"", ""source_path"": ""source-files/japanese/imamuray__algebraic-systems/ch03-ring-and-polynomial/ch03-ring-and-polynomial.tex"", ""window"": ""R : commutative ring , ; J R, ; J R M R, ; J M M = R ; or ; J J : R の 極大イデアル(maximal ideal) defn frame frame thmText R : ring , ; J R, ; J R R/J :""}, {""concept"": ""maximal ideal"", ""lane"": ""japanese"", ""form"": ""極大イデアル"", ""source_path"": ""source-files/japanese/Seasawher__matsumura/section10.tex"", ""window"": "" だから、両辺足して -y -x を得る。 description proof 定理 10.5 直後 R_ は K の付値環で m_ がその極大イデアルである。 proof R_ が K の部分環 ( 1,0 R かつ x,y R なら xy,x-y R ) であり、その商体が K で、付値""}]"
modern algebra,cjk_scaffold_only,no,,0,0,no_scaffold_row,,0,0,no_scaffold_row,현대대수학,0,0,generated_scaffold_only_no_native_hit,0,ko:generated_scaffold_only_no_native_hit,native source-body candidate only; no native review or accepted terminology claim,[]
module,curriculum_algebra,yes,加群,26,2,native_sourcebody_attested,模,20,7,native_sourcebody_attested,가군,1,1,native_sourcebody_attested,47,ja:native_sourcebody_attested; zh_hans:native_sourcebody_attested; ko:native_sourcebody_attested,native source-body candidate only; no native review or accepted terminology claim,"[{""concept"": ""module"", ""lane"": ""japanese"", ""form"": ""加群"", ""source_path"": ""source-files/japanese/Seasawher__matsumura/section11.tex"", ""window"": ""が R になることは見易い。 proof 直感的に成り立ちそうだということは判る。確認していく。 a/b=c/d とする。 K の部分 R 加群として a/b R = c/d R である。一方で a/b R = x^ v(a)-v(b) R であり、 c/d R = x^ v(c)-""}, {""concept"": ""module"", ""lane"": ""japanese"", ""form"": ""加群"", ""source_path"": ""source-files/japanese/Seasawher__matsumura/section11.tex"", ""window"": ""したがって定理8.10(i)により ^2 であるから、 proof NAKによっても示せる。 A はNoethernなので は有限生成 A 加群である。もし = ^2 なら、NAKにより a = 0 かつ a 1 なる a の存在がわかる。 (A, ) は局所環なので a は単元で、""}]"
module homomorphism,cjk_scaffold_only,no,,0,0,no_scaffold_row,模同态,0,0,generated_scaffold_only_no_native_hit,가군 준동형사상,0,0,generated_scaffold_only_no_native_hit,0,zh_hans:generated_scaffold_only_no_native_hit; ko:generated_scaffold_only_no_native_hit,native source-body candidate only; no native review or accepted terminology claim,[]
modulus,noether_corpus,yes,,0,0,no_scaffold_row,,0,0,no_scaffold_row,,0,0,no_scaffold_row,0,no_cjk_scaffold,native source-body candidate only; no native review or accepted terminology claim,[]
notation,proof_grammar,yes,,0,0,no_scaffold_row,,0,0,no_scaffold_row,,0,0,no_scaffold_row,0,no_cjk_scaffold,native source-body candidate only; no native review or accepted terminology claim,[]
polynomial,curriculum_algebra,yes,,0,0,no_scaffold_row,,0,0,no_scaffold_row,,0,0,no_scaffold_row,0,no_cjk_scaffold,native source-body candidate only; no native review or accepted terminology claim,[]
